Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg22886089__SCG3	0.83757	0.053479	0.61057	0.41321	0.90779	0.94549	0.31686	0.95027	0.053033	0.94164	0.1755	0.95311	0.94867	0.11526	0.14503	0.039077	0.20305	0.2282	0.42748	0.91268	0.88636	0.94099	0.043843	0.95371	0.85722	0.90383	0.066227	0.048901	0.84789	0.058831	0.065457	0.03567	0.59231	0.04578	0.079683	0.64004	0.66818	0.87646	0.91641	0.92232
EA_G__NHEDC2	5.1404	4.6241	5.0185	4.8827	6.6627	4.1264	6.27	5.9421	5.7687	5.3737	6.7333	6.1886	5.7758	5.6225	6.4636	6.7411	6.1157	5.8529	7.1676	5.7495	5.4824	4.453	6.4926	5.3535	4.4558	5.0307	4.3183	7.0453	5.1944	7.3446	5.7618	7.2622	6.4832	7.8141	6.5272	4.7038	5.6645	5.6493	4.6542	5.4813
Meth__cg14188232__ITGA11	0.40514	0.03729	0.84258	0.81016	0.12646	0.45779	0.1452	0.29785	0.045695	0.48606	0.40408	0.069934	0.56617	0.040556	0.047396	0.71126	0.082098	0.095144	0.035655	0.56008	0.58747	0.38044	0.064389	0.20865	0.28112	0.72505	0.06895	0.058284	0.19738	0.053759	0.063988	0.040835	0.037308	0.035006	0.10662	0.20506	0.41201	0.35137	0.19166	0.24925
Meth__cg18399321__MGAT3	0.089438	0.043621	0.043005	0.042128	0.4526	0.25456	0.037436	0.032629	0.037523	0.04949	0.029739	0.032571	0.4759	0.038174	0.038616	0.19337	0.039833	0.091743	0.026829	0.95294	0.81849	0.05062	0.032765	0.15061	0.79133	0.053375	0.077025	0.037922	0.8807	0.048315	0.062453	0.038265	0.040274	0.037575	0.040679	0.15028	0.2357	0.053097	0.048293	0.044192
Meth__cg17132967__ZNF83	0.097468	0.29339	0.63885	0.46186	0.29599	0.71719	0.29909	0.79059	0.099693	0.76738	0.088081	0.23484	0.66099	0.042348	0.077216	0.081462	0.093768	0.10467	0.059474	0.58612	0.6295	0.44305	0.072718	0.074962	0.63084	0.73412	0.60273	0.20389	0.54263	0.11375	0.44813	0.050353	0.68503	0.33589	0.095746	0.43141	0.13091	0.047205	0.50432	0.34528
EA_G__AREG	6.2041	5.7836	5.8584	10.9135	5.1731	6.7787	5.4119	6.5017	4.8797	6.199	4.9694	7.338	7.7748	4.7889	5.5203	5.7802	4.7099	5.6865	4.9715	6.0426	5.9791	6.5608	4.6884	5.5337	5.8989	6.7826	5.4017	5.678	5.6694	6.1571	5.462	5.2824	10.2272	6.2371	5.898	5.7593	6.9511	6.4223	6.0466	5.9556
Meth__cg21265783__CYLN2	0.050283	0.13251	0.10291	0.091559	0.37699	0.2174	0.037125	0.062986	0.039684	0.051833	0.081264	0.16918	0.32326	0.037484	0.046433	0.065126	0.039132	0.090712	0.036783	0.5043	0.19361	0.041746	0.046214	0.086545	0.11988	0.34843	0.051927	0.04247	0.66821	0.053956	0.098293	0.037691	0.038576	0.034033	0.065133	0.41743	0.11117	0.078056	0.056456	0.046261
EA_G__ALDH1L2	3.8704	4.6506	3.8029	4.0778	8.2493	3.8382	5.0807	6.0497	8.1465	3.7704	7.1758	5.668	4.2326	5.146	4.624	6.2321	7.7076	8.421	7.2761	3.9378	4.2675	4.6066	7.2696	4.0337	3.8061	3.6811	3.6515	6.6819	4.2305	9.0307	6.1047	8.7186	5.4012	4.4385	5.1538	4.5222	6.1109	4.577	3.9143	3.8966
Meth__cg09009111__EMILIN2	0.95931	0.36212	0.16975	0.6147	0.74647	0.97072	0.040483	0.17908	0.062433	0.5822	0.81768	0.39096	0.90587	0.71407	0.061625	0.061221	0.10239	0.13354	0.034717	0.96889	0.97023	0.51791	0.057141	0.96049	0.84083	0.96074	0.11742	0.037509	0.90885	0.27698	0.42463	0.068822	0.11788	0.11449	0.041485	0.90421	0.88097	0.65392	0.48216	0.54448
Meth__cg16290737__CHGA	0.36212	0.026019	0.04501	0.095238	0.13197	0.41355	0.1678	0.33939	0.033832	0.052949	0.31213	0.11627	0.61516	0.028191	0.029742	0.051215	0.036751	0.053809	0.042904	0.16299	0.43144	0.94759	0.03965	0.21846	0.15884	0.34455	0.070236	0.052338	0.80191	0.038545	0.098678	0.034696	0.045832	0.031957	0.031777	0.16596	0.082267	0.046832	0.067962	0.032287
EA_G__CCND1	10.5395	9.3268	9.3457	9.8957	7.3944	10.0676	6.6398	11.4027	8.7569	9.2807	5.4172	9.806	10.8656	7.3837	9.2462	8.0863	8.1412	8.9279	9.0659	9.317	9.3855	11.9805	8.5732	9.7956	9.4326	9.5072	10.9368	7.7167	9.1561	7.8883	9.1446	7.8095	6.6524	8.9671	8.6034	8.793	8.0185	8.4978	8.9741	9.6589
EA_G__BCAT1	3.559	3.487	3.6425	3.4845	3.6725	3.7736	7.2903	3.8186	5.6875	3.645	6.6512	4.4085	3.8989	4.1599	3.9405	3.6893	7.2425	4.7664	7.319	4.3085	4.3023	3.8038	6.9113	4.4397	8.2891	3.6262	3.5873	7.929	4.553	3.6845	4.3198	8.4699	7.2623	8.0376	7.984	4.0087	4.0349	3.7986	4.0382	3.8361
Meth__cg03285457__LBX1	0.88088	0.04661	0.92342	0.088791	0.91632	0.89901	0.81988	0.87334	0.052333	0.91226	0.87703	0.76905	0.77911	0.042145	0.055859	0.24284	0.030732	0.16503	0.044248	0.91707	0.88542	0.4335	0.068729	0.91669	0.72429	0.31392	0.14946	0.053576	0.8652	0.084794	0.14027	0.1628	0.056994	0.07475	0.047265	0.87841	0.87731	0.72964	0.87841	0.79279
Meth__cg03522063__EMX2	0.54447	0.064638	0.26854	0.13603	0.57436	0.78243	0.062228	0.80786	0.072793	0.76457	0.54108	0.88006	0.76057	0.3452	0.17301	0.14053	0.082627	0.17218	0.22876	0.76254	0.77701	0.72829	0.074129	0.62998	0.52252	0.79213	0.12959	0.045977	0.69263	0.37892	0.1192	0.061477	0.090794	0.57327	0.063179	0.54651	0.29668	0.87997	0.55597	0.51921
Meth__cg04447890__GPR177	0.15905	0.32899	0.16905	0.46659	0.17305	0.2317	0.12518	0.5618	0.13535	0.15255	0.12891	0.15002	0.59003	0.13767	0.13036	0.15853	0.13006	0.25038	0.15049	0.22883	0.1968	0.72057	0.15012	0.36778	0.21982	0.16952	0.23182	0.13283	0.24444	0.154	0.2028	0.13259	0.1122	0.16326	0.13836	0.81796	0.20963	0.19689	0.19757	0.16647
Meth__cg15796978__LHCGR	0.57637	0.024732	0.62387	0.29455	0.060987	0.23856	0.094181	0.34672	0.04884	0.1063	0.2043	0.033712	0.11653	0.092705	0.037076	0.080314	0.11071	0.035021	0.018135	0.43137	0.45456	0.88274	0.026562	0.87661	0.19899	0.27887	0.046004	0.028669	0.14026	0.031894	0.042418	0.043928	0.20726	0.025202	0.29409	0.030246	0.054501	0.40606	0.15229	0.090796
EA_G__DZIP1	3.8423	3.8318	3.9976	3.6467	7.9986	3.7616	6.9908	7.7736	7.865	3.8025	7.1699	7.3229	3.8667	4.0447	3.9119	5.2573	8.0773	5.5767	6.5828	3.9509	3.9015	3.7455	8.5714	4.2862	3.9174	3.8676	3.8059	8.098	4.6561	7.0349	4.3905	7.8718	4.8824	6.8542	4.2409	4.2736	4.0125	6.6612	4.1754	4.1316
Meth__cg02090283__CNTNAP3	0.65753	0.01852	0.20305	0.02606	0.55681	0.96963	0.024877	0.11376	0.019847	0.036881	0.028401	0.46535	0.45348	0.036285	0.036248	0.025037	0.02032	0.054054	0.02191	0.45864	0.50857	0.25249	0.027448	0.50364	0.079448	0.33247	0.10751	0.023476	0.45102	0.055121	0.05119	0.02894	0.018743	0.034604	0.032275	0.45055	0.040733	0.1652	0.14757	0.11291
Meth__cg08527127__C1orf94	0.55969	0.085176	0.90077	0.54252	0.15005	0.11772	0.66519	0.78273	0.048963	0.84332	0.25755	0.89986	0.74375	0.042105	0.052638	0.13585	0.076334	0.09418	0.047802	0.073877	0.37123	0.91434	0.11506	0.91956	0.26383	0.41057	0.23115	0.13608	0.86052	0.056109	0.18044	0.043352	0.13291	0.088038	0.68565	0.82339	0.11187	0.88869	0.5842	0.11892
Meth__cg18755783__SPG20	0.38031	0.98212	0.97086	0.97545	0.014863	0.89007	0.099563	0.03377	0.018585	0.96614	0.024881	0.89746	0.96481	0.019983	0.19745	0.97701	0.027978	0.27744	0.019976	0.98059	0.9803	0.96731	0.029122	0.98141	0.054937	0.97187	0.5683	0.019105	0.9745	0.21019	0.89287	0.022715	0.020952	0.020227	0.69037	0.96299	0.57925	0.97531	0.96919	0.98377
Meth__cg06848073__FBXO44	0.65897	0.35015	0.817	0.74638	0.76099	0.65746	0.17904	0.1497	0.02198	0.55056	0.026673	0.040108	0.77771	0.11593	0.046942	0.20044	0.050254	0.021572	0.055372	0.36531	0.54397	0.68766	0.58661	0.83969	0.074625	0.7367	0.2767	0.66411	0.77127	0.027078	0.58729	0.26456	0.01848	0.045375	0.039081	0.38437	0.66048	0.7812	0.77337	0.74332
Meth__cg22036988__SPSB4	0.59092	0.078695	0.059889	0.041934	0.68919	0.30342	0.053204	0.053682	0.050337	0.057473	0.29666	0.085314	0.5456	0.040485	0.054626	0.044687	0.048457	0.11242	0.052317	0.57336	0.45725	0.69607	0.055666	0.61958	0.81338	0.07137	0.2208	0.055169	0.73275	0.064322	0.10911	0.049	0.26783	0.051385	0.043573	0.52604	0.54387	0.065419	0.056159	0.059932
Meth__cg14400118__MMP2	0.42057	0.075877	0.47221	0.79013	0.93502	0.87829	0.11997	0.17808	0.059986	0.077394	0.14951	0.29343	0.68212	0.063051	0.071901	0.82728	0.055919	0.095831	0.045802	0.92621	0.8975	0.14742	0.085578	0.62911	0.87177	0.089336	0.080051	0.11276	0.91963	0.072587	0.17695	0.045726	0.5219	0.05326	0.50663	0.91919	0.76264	0.94002	0.8511	0.87526
Meth__cg25999867__LOC112937	0.96825	0.026758	0.83024	0.96207	0.76791	0.97911	0.087334	0.97308	0.023843	0.97699	0.7702	0.083739	0.8765	0.49274	0.030666	0.054917	0.026754	0.025358	0.029998	0.98103	0.97599	0.34718	0.021057	0.97937	0.93117	0.91955	0.051366	0.024713	0.95854	0.94056	0.031183	0.024266	0.16435	0.021369	0.027382	0.94543	0.73895	0.44533	0.96619	0.9685
Meth__cg10305797__UNQ467	0.83815	0.081272	0.90325	0.80811	0.095983	0.77086	0.20791	0.82757	0.026652	0.74507	0.3895	0.85683	0.84607	0.023164	0.040603	0.51905	0.46435	0.035297	0.02241	0.80646	0.84126	0.90815	0.16025	0.91508	0.10595	0.70273	0.10881	0.3435	0.2242	0.21936	0.25599	0.26242	0.23914	0.037441	0.74012	0.69137	0.36993	0.85738	0.4162	0.70979
Meth__cg08355944__SLC37A3	0.058393	0.067359	0.12711	0.35251	0.047651	0.41482	0.067648	0.040433	0.054383	0.10565	0.042742	0.056496	0.12987	0.072065	0.061758	0.044194	0.043421	0.092842	0.035493	0.20809	0.21838	0.61502	0.061436	0.099327	0.069736	0.20021	0.11499	0.037564	0.25175	0.06143	0.097029	0.035892	0.027137	0.035159	0.067025	0.052139	0.12033	0.12724	0.18169	0.1227
Meth__cg21006686__NOS1	0.94101	0.037051	0.8299	0.83227	0.31155	0.83437	0.3272	0.54561	0.034891	0.88465	0.54905	0.52718	0.76192	0.031875	0.031561	0.46924	0.6053	0.051531	0.037815	0.89638	0.8798	0.77321	0.12451	0.94405	0.14028	0.85875	0.042599	0.84972	0.41752	0.30898	0.13984	0.069146	0.75959	0.033841	0.046043	0.31518	0.2174	0.93336	0.53417	0.53299
Meth__cg08074477__TNS4	0.021748	0.020685	0.59635	0.35348	0.70967	0.031675	0.86509	0.047032	0.6083	0.17751	0.76686	0.046889	0.055176	0.59885	0.50543	0.38846	0.92439	0.59372	0.8922	0.29535	0.095608	0.028108	0.91941	0.028414	0.8409	0.037153	0.028163	0.94061	0.54342	0.029803	0.060972	0.56181	0.026252	0.91175	0.27304	0.017981	0.054184	0.098553	0.33858	0.62014
Meth__cg25211525__C6orf145	0.98911	0.021031	0.028098	0.71642	0.018468	0.98797	0.037184	0.017616	0.016792	0.027082	0.016972	0.030887	0.030778	0.013268	0.017749	0.017477	0.072748	0.032386	0.01054	0.9927	0.98662	0.75324	0.021217	0.99356	0.034262	0.021069	0.033414	0.018358	0.96624	0.018793	0.036171	0.014543	0.0092653	0.017362	0.013095	0.014097	0.76801	0.018771	0.02428	0.02075
Meth__cg20166532__EDG1	0.49884	0.059168	0.1478	0.57552	0.056678	0.87288	0.04001	0.91116	0.056329	0.63674	0.3702	0.14198	0.70214	0.37579	0.055415	0.65042	0.047442	0.15215	0.46839	0.66689	0.85237	0.73482	0.065538	0.89128	0.77479	0.81224	0.35453	0.053036	0.82819	0.57701	0.11004	0.077375	0.04496	0.26194	0.44945	0.47955	0.6098	0.56245	0.61782	0.43341
EA_G__HIST1H1A	5.8645	4.0453	3.5876	3.5514	3.9681	3.6907	7.9176	7.6004	7.6991	3.1037	7.5128	8.2176	3.1446	4.2314	6.9075	9.0793	8.1828	7.6253	4.7202	3.5802	3.8159	3.8268	5.9687	7.1763	4.0482	3.4884	4.5521	5.7129	3.8362	8.32	3.4594	4.5463	6.2006	5.5518	4.6448	4.4879	3.8866	4.3226	3.7257	4.0929
EA_G__LEPRE1	6.6604	6.106	6.4096	6.721	8.8094	6.5042	8.5858	6.8624	8.5287	7.1955	7.9912	6.995	7.2352	6.5996	6.9778	7.1388	8.5846	7.1597	8.3424	6.6356	6.827	7.2675	9.3727	6.8462	8.1582	6.7103	6.9469	8.4926	7.0673	7.5154	6.3158	9.2172	7.4327	8.3081	7.7253	7.4537	6.4544	6.851	6.5327	6.3042
Meth__cg01424107__CDX2	0.69495	0.020252	0.15582	0.83309	0.95519	0.92761	0.72616	0.97417	0.034887	0.94898	0.036465	0.72232	0.92348	0.15486	0.20854	0.27301	0.024095	0.10616	0.035731	0.94038	0.93956	0.94353	0.15121	0.92523	0.66438	0.93799	0.20965	0.38628	0.88366	0.47019	0.061114	0.12352	0.027699	0.3505	0.026878	0.88992	0.26912	0.88144	0.37526	0.4089
Meth__cg23491309__UBE2L6	0.036121	0.065402	0.33954	0.028236	0.035289	0.037902	0.041909	0.058652	0.030792	0.035548	0.061701	0.04375	0.071942	0.023608	0.032254	0.036579	0.032307	0.039057	0.029701	0.03808	0.046949	0.032729	0.045223	0.058989	0.083362	0.052205	0.05555	0.034362	0.088985	0.038954	0.085534	0.031224	0.15273	0.031956	0.031472	0.038155	0.068633	0.045608	0.049333	0.038488
EA_G__GREB1	7.7266	5.1994	8.065	9.9004	4.9192	8.3065	5.6457	5.0069	4.9788	10.3094	5.0213	4.7545	5.1244	4.8717	4.9551	5.1207	5.0989	5.1942	4.9357	8.9837	8.8045	7.495	4.9269	5.5524	5.4587	10.088	5.7659	6.0497	5.3925	4.9612	5.4098	4.7723	5.3523	4.9276	4.9994	7.1014	8.7221	8.5094	5.2315	6.7104
EA_G__ABAT	8.23	5.4464	8.575	9.4055	5.3302	9.2967	5.7108	5.496	5.4262	10.8312	5.688	6.7821	6.747	6.9225	5.2465	5.5203	5.3154	5.3766	4.9875	9.1146	8.6121	7.7509	5.7589	7.5396	5.0792	10.0971	8.0442	6.0458	7.7377	5.9374	5.8369	5.7817	5.8305	5.4758	6.1131	7.1274	7.9643	9.9256	7.7029	7.5442
Meth__cg05076631__PGF	0.089854	0.10754	0.6165	0.11186	0.95987	0.66404	0.21072	0.098927	0.067065	0.11871	0.078992	0.082321	0.10768	0.086462	0.074546	0.084398	0.068072	0.095813	0.061426	0.28147	0.07119	0.20663	0.060471	0.1282	0.13569	0.091017	0.098801	0.091572	0.75111	0.071408	0.1153	0.090111	0.058828	0.051135	0.043475	0.11445	0.14492	0.746	0.52134	0.50808
EA_G__GPR124	6.1572	6.2907	6.1908	6.7786	6.6865	5.9578	7.3058	6.2679	6.3984	5.9476	8.1697	6.1227	6.2101	6.0348	6.7991	6.4929	6.6489	7.1157	7.4119	6.6003	6.3922	6.541	10.3343	6.8439	6.3286	6.0251	6.1809	6.6576	6.7951	6.924	6.4529	6.7114	6.3026	6.7205	6.3336	6.7618	6.3279	6.2505	6.1435	6.1915
Meth__cg22605063__DBN1	0.073285	0.4001	0.074186	0.070513	0.063709	0.13145	0.061087	0.08234	0.050571	0.14466	0.094678	0.57796	0.18359	0.059134	0.05811	0.19963	0.059893	0.092539	0.045472	0.22709	0.11537	0.070079	0.088978	0.19517	0.53056	0.07159	0.1261	0.06341	0.12972	0.10584	0.14777	0.16206	0.06223	0.046009	0.054713	0.13118	0.11375	0.1102	0.074215	0.067187
Meth__cg01731685__IL17R	0.37647	0.45195	0.61803	0.32924	0.090887	0.64904	0.086758	0.32563	0.040625	0.38848	0.09744	0.52015	0.49005	0.62559	0.10443	0.074706	0.040661	0.10766	0.018433	0.63692	0.40935	0.68685	0.088502	0.32082	0.14194	0.572	0.26916	0.10689	0.2893	0.19292	0.40455	0.032373	0.04102	0.056704	0.41133	0.19279	0.1343	0.15419	0.19033	0.25008
EA_G__GJA7	4.8989	4.8475	5.84	5.5942	7.4714	4.7178	8.1015	8.5742	7.3874	4.6661	6.5742	6.4528	6.9926	4.8027	6.2159	6.8559	7.0645	7.013	7.5561	4.9328	4.7611	4.9592	7.6568	5.2429	4.7212	6.6205	4.4482	6.7532	5.435	6.8885	4.9082	8.624	6.5147	7.1838	5.9559	6.474	6.7178	4.9803	6.6005	6.5818
Meth__cg22674717__SALL1	0.83	0.027683	0.82142	0.14007	0.42428	0.58124	0.032019	0.67567	0.058691	0.093481	0.79281	0.53909	0.3278	0.1471	0.070458	0.031893	0.058559	0.069131	0.030022	0.90403	0.94086	0.06232	0.04634	0.78564	0.75325	0.72147	0.071266	0.037448	0.84567	0.27757	0.042171	0.089929	0.11766	0.039576	0.029684	0.036499	0.065364	0.87831	0.40983	0.11469
Meth__cg03770147__KLF7	0.030254	0.02291	0.027746	0.043402	0.02794	0.034898	0.023864	0.02822	0.018783	0.033337	0.044778	0.10206	0.10105	0.022145	0.38351	0.025772	0.025053	0.05334	0.025696	0.16169	0.079874	0.11122	0.024443	0.17192	0.11882	0.026637	0.068668	0.024598	0.85967	0.028498	0.038493	0.026002	0.023591	0.019703	0.026973	0.021844	0.039266	0.051018	0.026992	0.026762
EA_G__SIDT1	5.7225	7.4447	8.8752	8.5645	4.6729	8.5319	4.7236	4.3608	4.6682	8.8931	4.4944	4.7245	7.2688	7.7584	7.114	4.5267	4.2934	6.0595	4.3148	8.2739	8.5397	8.675	4.4179	8.167	4.9182	8.5383	9.0785	5.1703	8.1899	5.683	7.1021	4.6199	4.8109	4.4668	7.8236	7.9518	8.588	7.5637	7.6898	6.1964
EA_G__LOC493869	7.5675	4.5883	6.5814	6.1373	9.9093	3.4796	9.1786	6.1974	8.7434	6.9972	7.0989	6.7197	7.9293	7.2688	4.9328	8.408	8.8576	8.31	8.9892	6.3644	5.0232	6.2845	9.1317	6.159	8.3857	6.483	7.7228	9.177	4.5915	7.9309	3.9953	9.3612	8.0153	9.2636	9.5856	5.9401	8.3805	5.4012	4.2873	7.5247
EA_G__IGFBP5	10.3675	7.9594	11.0184	10.9194	4.3101	11.7233	4.7256	7.6186	6.4925	8.188	4.538	7.9624	6.9878	11.0805	9.2414	6.4845	4.3247	6.8854	5.2977	8.5975	8.7877	5.5867	4.2559	9.5631	4.3236	11.3033	11.5721	4.6191	9.9012	5.8662	9.5648	5.5703	5.0144	4.674	4.7641	5.7393	10.3953	10.0362	8.0895	7.3692
Meth__cg23320056__ARHGEF2	0.085076	0.12809	0.51945	0.32368	0.091571	0.36413	0.046992	0.12192	0.11339	0.2047	0.085915	0.12114	0.26317	0.31918	0.1124	0.088826	0.081267	0.16114	0.074579	0.28013	0.41851	0.61574	0.12842	0.10819	0.12155	0.20731	0.37449	0.089931	0.1896	0.085683	0.15269	0.085515	0.089303	0.081509	0.14974	0.061273	0.10379	0.25421	0.11504	0.10253
Meth__cg17048483__RBM7	0.7674	0.016839	0.025103	0.021796	0.018103	0.028467	0.024149	0.012882	0.013514	0.026333	0.017911	0.015367	0.036238	0.015994	0.018482	0.019489	0.016717	0.027003	0.018423	0.021328	0.024036	0.95982	0.023468	0.020047	0.04235	0.026148	0.05692	0.015349	0.03041	0.014705	0.030542	0.020015	0.016851	0.015058	0.014879	0.01865	0.054279	0.020986	0.024726	0.022929
Meth__cg09542745__SFRP5	0.36586	0.067271	0.73076	0.055774	0.62314	0.56655	0.3023	0.09922	0.044138	0.074198	0.41188	0.074283	0.81698	0.042583	0.067512	0.27415	0.066007	0.086886	0.035874	0.88302	0.89221	0.1244	0.86999	0.76573	0.87121	0.59063	0.1404	0.077531	0.89443	0.052914	0.1267	0.059772	0.042414	0.044984	0.050771	0.15621	0.24031	0.16461	0.44126	0.07106
EA_G__ITGA5	6.3772	6.5342	5.4102	7.6442	7.8303	4.9929	10.3861	6.7368	7.765	5.2835	7.3501	6.6512	8.1923	5.8672	7.09	7.8664	9.0643	8.8209	11.1238	6.6621	6.3823	6.1907	8.059	6.6655	7.7972	6.2126	7.0346	8.5089	5.9778	6.9527	6.1176	8.4345	7.5599	10.4308	5.1878	7.1407	6.7302	6.2623	5.62	7.8886
Meth__cg26062370__MGC18079	0.054504	0.039553	0.28971	0.72183	0.10456	0.33595	0.081601	0.089323	0.023665	0.40525	0.13475	0.097205	0.11007	0.033569	0.029559	0.13256	0.16195	0.043174	0.042495	0.25438	0.5172	0.69866	0.058054	0.18763	0.075795	0.41767	0.046365	0.050409	0.16781	0.054611	0.049087	0.025462	0.03648	0.038493	0.083785	0.053014	0.050269	0.26956	0.16686	0.24837
Meth__cg04785227__CHRNA7	0.061174	0.032114	0.27321	0.04951	0.065836	0.34008	0.11168	0.068878	0.050995	0.09099	0.066357	0.3625	0.87487	0.037754	0.050063	0.28031	0.047152	0.039802	0.036881	0.93841	0.23411	0.070184	0.04735	0.14532	0.33097	0.081907	0.079516	0.029479	0.2322	0.05738	0.03716	0.03663	0.037959	0.039934	0.045074	0.16262	0.11532	0.053014	0.038851	0.04567
Meth__cg06954481__GBX2	0.95315	0.075068	0.078535	0.066521	0.062393	0.11776	0.11319	0.56227	0.051774	0.069737	0.076797	0.97256	0.10444	0.044146	0.053151	0.053592	0.042212	0.10046	0.061876	0.07534	0.07675	0.072009	0.058492	0.07848	0.86743	0.056174	0.12272	0.053165	0.72586	0.059729	0.11197	0.042534	0.061593	0.053515	0.063451	0.14106	0.11145	0.069305	0.054068	0.052513
