Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__TM4SF1	8.362	6.5146	5.874	3.8897	9.4967	4.6259	10.9337	8.3625	6.6237	9.5874	6.9261	9.7401	8.5645	9.6634	8.2595	9.5157	9.932	9.4497	4.0086	3.9065	5.6867	8.5886	3.6329	8.9573	7.5024	5.3364	9.5365	8.6277	8.4649	8.8941	7.1048	3.6687	6.4787	8.7528	3.6383
U133A__TFF3	12.242	7.4282	5.6939	11.8098	5.9539	7.9505	5.6693	5.4995	9.7873	5.9862	5.5639	5.8248	5.9636	5.7579	5.9571	5.5964	5.385	6.1336	7.9223	8.6074	6.0694	5.781	12.1275	8.7981	6.2142	7.2255	6.0829	5.986	5.7096	7.2202	6.9097	7.2481	12.881	8.677	9.4077
U133A__TPBG	8.362	9.3082	9.5497	10.0326	9.0389	8.1457	8.6684	8.0417	9.4877	7.0253	9.8269	9.1174	9.7268	8.3264	9.6879	7.878	9.2793	10.0826	8.4052	10.3529	9.4309	8.789	11.2864	9.3918	8.2486	8.6674	6.8472	9.796	9.0604	9.5087	7.8683	10.1331	10.3387	9.525	9.7759
U133A__KIAA0100	8.8681	9.2054	7.9417	8.8628	7.4282	8.9246	7.7525	7.5068	7.9503	8.0312	8.2047	7.8415	8.2902	8.4022	8.2701	7.8823	7.6288	7.6848	8.8026	8.3881	7.2512	8.6738	9.0547	7.8274	8.4813	9.7569	7.9615	8.3141	8.6067	8.8547	8.3358	9.2605	10.2621	8.2115	8.5997
U133A__FOXA1	9.1328	7.7572	6.523	9.0263	4.7595	8.7472	5.2283	5.7444	8.14	5.0961	5.822	6.5694	7.5076	8.8813	6.9658	5.4233	5.6401	5.6268	8.3942	8.6803	4.7116	5.3926	8.8057	8.3218	9.2428	7.9736	5.241	5.689	5.6432	9.3117	8.6746	8.6077	7.9866	8.9553	8.3695
U133A__ERBB3	9.0074	7.5004	6.4014	8.3846	4.1332	7.8718	7.0488	7.2396	8.1221	7.1116	6.5673	7.1065	5.2443	8.2884	6.1232	6.1179	7.809	3.9223	7.4837	7.907	5.1573	4.7362	8.49	7.7735	8.3471	7.8318	4.3134	6.0561	4.2768	8.2685	6.8618	8.571	8.2939	8.3354	7.6055
U133A__PDLIM2	6.1838	6.4469	6.5686	5.0195	8.445	5.1054	6.7985	7.5575	4.7108	6.3607	5.2325	5.6691	6.1512	6.3079	7.0536	6.8265	6.1954	8.6963	6.1059	5.2037	6.625	6.7859	4.9201	6.5696	4.5589	7.137	7.7536	6.8021	7.2215	5.6906	4.947	5.8226	6.1853	6.1648	6.9082
U133A__MARCKS	4.0846	7.9558	9.3462	9.0052	9.3931	3.1121	7.562	9.3508	6.1638	7.7138	7.8514	8.6914	8.1749	9.5401	8.7765	9.5328	9.2564	9.3228	3.4705	6.1732	9.2405	8.4118	8.1083	8.134	7.7284	7.2272	7.9364	6.5351	7.3555	8.9906	8.8831	2.8129	7.525	5.898	6.8807
U133A__RHOB	10.4942	9.873	6.3164	11.0388	6.7962	11.0472	6.5967	5.3472	11.2735	6.8223	5.304	6.3977	6.8571	9.5881	6.7605	5.6554	4.5314	6.3916	9.3614	9.9117	7.4355	6.7163	10.5222	9.9235	10.7721	10.9564	5.3243	5.6316	8.7454	8.1457	9.765	9.1037	9.9938	10.6561	10.3209
U133A__CDKN1A	8.2831	7.2923	7.3268	7.7668	6.794	7.442	8.4726	7.4215	6.9593	8.0665	7.8881	9.2323	8.3044	6.6142	10.089	7.0906	7.2666	8.4832	8.0984	8.6455	7.835	6.9282	9.465	7.5943	7.1964	7.4332	7.7385	9.0587	7.7207	8.4722	6.635	8.1709	8.8133	8.4019	9.8192
U133A__BIK	6.79	6.6526	5.7028	7.7609	4.4661	7.2407	6.9484	5.4635	5.8565	5.8302	7.4245	6.541	6.2117	6.5191	7.3676	5.0893	5.7594	6.005	6.0503	6.236	5.2379	5.0096	7.3216	7.224	8.0241	6.3969	5.3947	7.7769	5.5715	8.47	6.3561	5.6218	6.5498	7.1572	6.2503
U133A__TPM2	2.9737	3.2967	2.7599	2.7023	9.2246	3.0307	6.6508	2.7736	3.2918	9.0163	7.0455	3.3028	3.2698	3.8763	6.7663	7.9299	8.1468	9.5375	3.3478	3.2518	4.4389	3.4678	2.8649	3.6268	3.157	3.4752	8.5825	7.37	8.2812	3.0699	5.6483	3.0476	3.3862	3.4566	2.9659
U133A__SH3GLB2	6.5425	6.1316	5.2045	7.5758	5.7078	7.1346	6.1178	5.6393	7.6168	5.069	5.9234	7.0037	5.1924	6.4713	5.3567	5.5879	6.4594	5.1439	5.1173	7.4452	5.1126	5.9868	6.6336	6.07	6.1606	5.7669	4.7977	6.3724	5.9489	6.4003	6.9105	7.6052	6.7678	5.9303	6.9862
U133A__ALDH4A1	6.0591	7.4246	6.5647	8.3471	6.082	7.9374	5.962	6.3012	7.4468	6.466	6.4855	7.1706	5.8314	7.2935	6.2652	5.8633	7.3004	6.2349	6.5478	7.738	6.0012	5.8512	7.521	6.2685	9.9506	7.4964	5.9475	6.3586	5.7202	6.7301	6.5002	7.6683	7.696	7.7586	7.7793
U133A__KDM4B	7.0519	7.1044	6.0515	7.4491	7.1928	8.1492	6.1444	7.9974	8.6306	5.6694	6.594	6.2074	5.1967	6.7817	6.8032	6.8838	6.5409	5.945	6.1848	6.9393	7.2455	6.6163	7.5952	6.4755	8.2976	6.1498	6.6724	6.5498	6.4961	6.9118	6.5551	8.9722	7.696	8.1269	7.1149
U133A__TOM1L1	7.9076	5.7186	6.2969	9.4773	5.1145	6.9637	6.7397	4.7466	7.9732	5.146	5.9551	5.8162	5.9377	6.3062	6.4622	6.6798	6.1347	4.2894	7.0622	7.4272	5.3791	5.9639	8.1008	6.8372	7.168	5.5921	6.9032	5.8708	6.031	7.0091	6.756	7.2706	7.6229	8.6175	7.7091
U133A__LEPRE1	6.2087	5.7091	6.5775	6.1438	8.4052	6.4342	6.4995	7.6492	6.3773	6.8821	6.2714	6.0789	6.569	6.3589	6.4817	8.1628	6.4934	8.3715	6.5539	6.4152	8.5048	7.3179	6.1017	6.1139	6.4774	6.1745	9.4289	6.5793	7.5538	6.7493	6.6992	5.7279	6.434	6.3163	5.9634
U133A__TOB1	8.8416	8.1199	7.4176	9.54	5.6991	8.2963	8.2331	6.9626	9.9774	7.4185	7.3983	7.7978	6.7211	8.3342	7.3782	8.2944	7.4541	4.4955	8.4614	8.9689	7.562	5.935	10.6432	8.5555	9.5297	8.6703	5.2081	4.7449	5.9356	8.2344	8.8228	9.8445	9.2366	9.6404	9.1081
U133A__FASN	10.7788	11.1828	8.2497	11.2606	9.1052	8.5659	7.7698	10.3198	11.0689	8.5587	9.2366	8.003	8.7145	9.0543	8.8339	8.8259	9.3731	8.0922	10.2977	10.5056	9.0354	9.0868	10.2173	9.2182	10.1033	11.7652	8.8803	9.9972	8.5825	10.3351	9.0381	9.5315	10.6165	10.1347	11.2674
U133A__PPP1R3D	6.0376	6.2841	6.5806	5.8836	5.5115	7.3522	5.3847	5.2179	8.4079	6.0031	6.2885	6.1268	6.9745	6.7862	5.4457	5.3754	5.7838	5.1445	6.6139	6.9967	5.3464	5.2928	7.7316	6.1594	7.5285	6.4306	4.8825	6.1016	4.8641	6.6839	6.8287	5.7656	8.1055	7.205	6.5275
U133A__ODC1	7.2658	9.8365	9.3139	8.4784	9.6858	8.5726	8.7274	9.1805	7.4758	9.8632	10.1008	8.6725	9.8299	11.1687	9.0012	8.1336	8.249	10.7288	10.2742	8.7641	8.4529	10.6684	8.4585	8.5167	8.8369	8.9235	9.6933	9.8585	11.6096	8.5777	10.6549	8.7207	7.7962	6.2178	8.5418
U133A__PSMD3	8.2836	10.1567	7.0712	10.9679	7.0583	7.8847	6.5305	7.5896	7.2693	7.2269	8.5095	7.8073	7.9887	7.5412	7.8983	7.6875	7.627	7.5954	7.4128	7.8714	7.6183	7.7875	7.2688	7.4941	8.1391	9.5126	7.7735	7.5639	8.0665	7.5932	7.4112	8.182	10.762	6.9633	8.6239
U133A__TNS3	6.8795	8.1902	9.0136	7.5866	9.0042	5.6988	9.2701	4.0902	5.5019	8.1426	7.8083	7.7228	8.5076	8.5705	6.2364	9.9299	8.961	7.8124	6.7106	6.5179	8.3007	8.3139	6.4102	7.207	6.7186	6.7809	9.3477	6.5821	8.1469	8.4555	7.3788	7.9149	8.683	4.8818	6.7365
U133A__DHX40	7.0381	5.7867	6.4315	8.6347	5.919	5.9241	6.2316	6.2846	7.014	5.6478	6.411	6.2943	5.4408	6.003	6.5949	7.426	6.0468	5.1125	7.2359	8.2093	6.8654	6.4999	8.5027	4.9426	6.9965	5.1172	6.5324	3.9736	5.98	6.7685	6.3122	6.9005	7.842	7.2802	7.0766
U133A__CBR1	4.6632	8.0566	7.6891	5.0839	8.1128	6.1108	7.0953	6.9501	5.0824	7.8906	8.3527	6.8649	4.8263	5.977	7.2162	6.746	7.0213	7.284	7.2775	6.5636	7.3525	6.639	4.8369	6.4233	4.6356	7.4491	8.3041	7.4609	7.6399	6.1262	6.1997	7.0802	7.7375	4.251	4.3691
U133A__KIAA0182	8.7175	8.7547	8.2326	9.4399	5.5927	8.9031	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	8.5395	7.194	7.6429	7.7941	6.6802	9.3437	9.2681	5.5687	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	8.9541	8.2608	10.1651	8.3246	9.5845	8.7069
U133A__CRIM1	6.6823	5.0556	7.7575	4.5538	6.6582	3.5903	7.9088	5.0214	5.8645	5.4013	6.6716	6.0828	6.2967	6.6118	6.6738	6.5511	6.4677	7.6681	4.209	4.0619	6.3739	8.3257	4.25	5.0642	4.1324	4.8529	6.1856	4.9762	7.7736	5.4297	7.3237	6.0612	4.7611	3.0831	4.056
U133A__ESR1	6.6831	4.5396	4.5822	6.3976	4.5782	6.6629	4.3235	4.353	8.2688	4.2264	4.7002	5.0748	4.3154	4.4719	4.0143	4.271	4.5688	4.0522	6.4113	7.7469	4.5068	4.216	8.2838	6.551	4.4076	4.7332	4.2618	4.2987	3.6143	4.8123	6.8369	7.3126	6.7535	5.0044	7.8658
U133A__ISOC1	5.1663	6.6553	6.119	7.541	5.287	9.2407	5.7943	7.3405	8.0976	6.9094	6.4093	6.761	6.1868	6.9766	6.6684	5.8931	5.609	5.2129	7.5138	8.045	5.4164	6.9834	7.4249	7.287	7.952	6.9193	5.8083	6.542	6.1968	6.9708	5.616	6.3399	6.6446	7.5794	7.608
U133A__MSN	3.841	4.5404	7.0857	3.5172	8.5121	3.3393	9.342	8.9229	4.7864	8.964	8.5521	7.2232	8.4309	3.4629	7.7602	8.5216	9.8294	8.6483	3.9182	3.857	8.0642	8.6962	3.3597	4.1423	3.5368	3.4264	8.8511	9.046	8.7758	5.7481	3.4357	3.3212	3.8634	3.5565	6.796
U133A__CDH1	9.4054	3.1026	9.7731	10.1506	2.7451	7.2616	8.8869	7.6506	10.3047	8.1115	8.7079	9.9294	9.3213	2.9912	9.3955	7.3494	9.9431	3.1604	9.7553	10.3314	2.9383	3.7691	10.7292	10.1856	5.9099	3.9307	3.1058	9.2079	3.5212	10.4251	9.7177	9.7436	10.2468	10.6202	10.3636
U133A__SPDEF	10.4241	9.495	6.094	10.1198	5.8444	10.4996	6.2908	5.8013	9.2013	6.2848	5.3899	6.8656	7.0677	9.5734	6.6571	5.9869	5.2999	6.5909	10.0367	8.9085	5.5694	6.027	10.078	9.6299	10.1262	9.8712	6.631	6.472	6.5064	9.9098	9.9188	9.3052	9.6714	10.8242	10.1563
U133A__EEF1A2	8.4199	11.0325	10.6134	8.8277	4.9698	10.4219	6.4697	4.4425	9.7461	5.8255	8.8877	8.1497	9.2164	4.9156	5.5593	9.1134	5.8471	8.9212	10.5813	11.7994	9.0784	8.0866	10.3513	8.6957	10.0605	7.2008	5.2855	9.4882	6.2216	9.764	6.2512	9.1884	8.4557	10.671	11.6249
U133A__ANKRD57	5.9697	4.6663	6.3858	6.1402	5.939	7.7336	6.0224	5.2587	6.8299	5.4594	6.5732	6.5182	6.5702	5.1079	5.4951	5.5572	6.0201	5.2873	5.7804	5.1389	5.3602	6.4687	6.098	4.9998	6.1175	5.572	5.31	6.1903	6.4324	6.738	6.4395	5.5621	7.0825	5.7018	5.2503
U133A__CAT	9.2728	8.6882	8.9651	8.6094	7.6458	7.9778	7.1926	8.5442	9.183	8.3309	11.1759	8.5523	9.9741	8.1137	9.9591	7.7908	8.3007	7.9061	7.4298	7.812	7.2563	8.3873	9.0302	7.4691	8.3149	8.1271	8.2005	8.7364	8.0446	10.075	8.6121	9.4779	9.0364	7.6033	7.5928
U133A__FADD	8.5432	7.2253	7.5941	7.3694	7.3736	8.6319	7.9796	8.0257	7.5068	7.4055	7.7871	7.4981	9.2216	7.4372	7.3283	6.8438	7.0393	7.045	8.2105	7.9457	7.5091	8.1263	8.5757	10.0277	8.4773	7.1372	6.7516	8.0897	7.4219	7.5246	6.8788	7.3984	7.6765	7.8862	9.1575
U133A__NMU	7.7687	4.1757	5.3381	4.3252	4.1752	4.6813	8.636	7.3185	5.2777	6.318	7.1706	9.1284	4.9977	4.242	7.6872	6.8751	4.3367	4.0377	4.0093	4.3863	5.4827	7.7496	6.7082	4.4051	6.521	3.9427	4.1099	7.0073	4.7095	7.0702	6.565	6.9468	5.598	7.6505	8.6929
U133A__SLC16A1	5.5794	5.7645	8.3004	6.0565	7.9693	6.5954	7.3152	6.2764	5.9809	7.3342	8.5427	8.3794	8.0237	5.2666	7.0439	8.327	8.4403	7.6278	6.1698	6.5289	7.8131	5.4479	5.6483	8.4516	5.5286	5.5178	8.0539	8.2358	8.9896	5.4203	6.7675	5.835	6.0467	4.937	7.0823
U133A__MAP1B	5.2828	4.7448	6.4849	4.9262	7.9119	4.5738	6.6054	8.1982	4.5955	5.1547	5.4784	4.3322	4.8752	4.6449	6.1241	8.077	7.8322	9.7287	4.2933	5.1401	8.6245	8.226	4.7169	4.9647	4.3393	4.5124	7.7301	5.7202	8.3276	6.9184	4.8221	4.5797	4.5998	4.8576	4.5338
U133A__FGFR4	5.2867	5.3796	4.6769	5.932	4.6014	8.8352	4.8179	5.08	5.6192	5.5987	5.5846	4.808	6.2914	5.3225	4.6994	5.1195	4.6729	5.1249	5.0994	4.7136	5.4814	5.0617	7.1829	6.8866	10.4891	5.3601	5.2254	5.1338	5.1372	6.7871	6.0534	5.1223	5.6953	8.0318	7.52
U133A__IFRD1	5.4877	4.9609	6.223	6.1315	6.6057	4.5862	4.8029	8.1135	5.2789	8.2698	5.9761	6.4008	5.8931	6.959	7.5063	6.305	7.2214	6.5547	7.5278	5.16	6.84	6.307	4.2376	5.1419	4.3653	5.7774	5.6285	7.0969	5.726	6.0891	6.9652	3.9585	4.1403	5.2741	5.3617
U133A__SOD2	5.5088	6.9736	6.9797	4.881	7.7208	5.6061	6.6548	7.6545	5.7471	8.3722	7.9873	6.5132	7.3532	5.9588	7.7653	6.3289	7.5586	6.3059	5.2549	6.0585	8.5843	5.5954	5.823	6.3231	5.1422	6.0321	7.3062	8.7586	9.3681	6.4789	6.5449	5.6744	6.295	4.8445	6.1557
SNP__ZPBP2	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.423	-0.199	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.363	-0.144	0.294	2.132	-0.034	0.021
SNP__GSDML	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.423	-0.199	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.363	-0.144	0.294	2.132	-0.034	0.021
U133A__HMOX1	5.9805	6.3462	7.4205	6.2042	9.3758	6.8273	6.6101	6.269	6.5746	7.1662	6.0146	6.2742	5.9549	6.7426	7.6179	6.5557	6.0875	7.9038	5.9175	5.8619	6.459	6.365	6.3473	6.6004	6.3751	6.243	9.709	5.7164	8.5448	6.6615	5.9153	5.9068	5.6787	6.4186	6.8615
U133A__GNG12	7.5942	7.7849	9.0112	6.4664	9.7447	5.7435	7.6541	6.3405	6.7824	8.0676	8.631	8.0184	7.7945	7.4507	8.4371	8.502	9.4671	10.163	5.8447	6.4708	8.6305	9.2273	6.8388	8.3046	7.625	7.4958	9.7275	8.1413	9.2598	9.1562	8.3668	6.9594	7.5017	6.9873	7.0425
U133A__SLC39A14	6.6658	6.3508	8.5567	5.7462	9.7025	6.6078	6.3584	10.0436	5.8834	7.972	7.7405	6.3612	6.229	6.6312	7.0261	7.3375	6.1078	8.8219	6.2226	6.0328	7.3106	7.9923	5.6425	6.5311	5.5457	6.6012	10.1244	7.5401	8.3297	5.1832	6.6665	6.7652	7.3475	5.9987	8.1011
U133A__PTRF	6.1143	6.0022	8.9581	6.2617	9.7082	5.8463	8.3455	6.1188	5.7173	6.9987	8.6548	8.2281	7.4855	6.6073	6.763	9.0215	7.1768	9.9604	6.0237	6.3204	9.1023	9.8031	6.2294	7.3507	6.3333	5.6802	9.5435	8.2916	9.4023	6.4218	6.5915	6.796	6.1726	5.4646	5.981
U133A__KYNU	3.1107	7.5015	4.3378	3.7016	4.199	6.8799	3.3451	3.3778	5.2812	5.0897	9.7837	6.6414	8.1632	5.8705	8.3008	4.2979	3.6763	3.9397	9.3041	9.2168	6.7245	5.4828	6.253	3.5387	3.4423	4.7613	3.2793	9.6851	5.4603	7.9465	4.0878	8.121	5.0006	5.7334	3.5004
SNP__MGAM	0.006	-2.204	0.186	0.355	-0.135	0.422	0.042	0.426	0.305	0.402	-2.603	-0.251	-0.206	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.327	-0.287	-0.321	-0.317	-0.042	0.028
U133A__XBP1	10.8344	9.815	7.6964	10.7009	7.9069	10.6604	7.6036	7.9543	9.2154	7.8611	8.1184	8.313	7.637	10.5899	8.1677	7.1544	8.6517	7.6438	9.3516	10.7117	7.2265	7.889	11.5911	11.2322	11.2977	10.1574	7.1282	7.1631	8.0768	11.1151	10.9035	10.9459	11.0313	11.6974	10.5644
U133A__NNMT	7.4816	6.4025	8.9292	4.3441	10.43	4.4886	4.4447	4.5027	4.0426	5.1421	4.462	6.0129	6.8071	4.2145	5.8981	7.0081	7.6329	7.5692	4.5485	4.4465	10.1086	4.4358	4.2956	4.9538	4.3555	4.6834	8.5814	8.774	9.9583	5.6167	5.758	4.3408	8.3456	4.1626	4.082
U133A__DAAM1	5.7712	6.9394	6.7256	7.4256	5.7426	6.5441	5.5412	5.8286	7.3134	4.3108	6.1768	6.3515	5.6336	9.0542	6.947	5.6935	6.8334	4.2798	6.7682	7.0736	5.712	4.2843	6.6937	6.402	7.1325	6.6966	5.278	5.2773	4.3674	7.6872	5.4127	6.6933	7.2805	7.2217	7.1886
U133A__PLCG2	6.5168	6.5628	6.8862	6.6357	6.7695	6.7472	6.8618	7.0184	6.6858	6.8866	6.5975	7.3542	6.9606	6.522	6.9216	7.2069	10.2967	6.8883	6.7778	6.8881	6.5345	6.7718	6.6133	6.7417	6.3532	6.7498	7.1081	6.2739	6.6263	6.4407	6.699	6.9178	6.6411	6.4317	6.4792
U133A__PLS3	7.4402	8.1478	10.5953	6.684	10.0973	5.9543	9.6656	8.887	8.3576	8.6835	9.5501	9.8794	9.4261	9.6483	11.1688	10.1743	10.073	9.1672	7.7474	5.0117	8.691	9.2106	7.8484	9.2009	7.8326	8.6187	9.3368	8.8304	8.2318	9.0743	7.5828	7.7544	2.9017	8.1646	8.5997
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.423	-0.199	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	-0.144	0.294	2.132	-0.034	0.021
U133A__SOX4	8.6674	8.3533	6.1246	8.8828	8.4109	8.7923	8.9581	8.341	8.2131	6.6364	6.1797	8.3375	7.9094	7.8327	9.3505	7.6446	8.6075	5.5588	6.2454	8.2679	7.7534	5.2287	9.3267	7.9694	7.8062	7.3642	3.5447	7.8776	6.2548	9.4911	6.0618	7.4115	9.15	9.1511	8.6423
U133A__PLAUR	7.2636	7.0817	7.6566	6.3774	7.9196	6.3478	8.6018	7.3217	6.6571	6.7499	6.7768	7.13	8.4113	6.8516	8.1211	7.2534	7.3607	8.1234	6.4877	6.4579	6.9693	8.9904	6.1449	6.6998	6.2084	6.715	7.4222	9.277	7.1697	6.8223	6.7814	6.3108	6.3435	6.3425	6.7746
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	4.7505	6.4084	5.4049	4.9367	6.2669	4.6402	5.5946	6.105	5.0725	6.7137	6.1365	4.8823	5.9041	4.6599	6.1516	5.6878	4.7406	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6835	6.0596	5.6751	6.1125	7.0079	5.4811
U133A__CRYAB	5.9769	6.6645	5.5916	5.2189	5.1263	5.5506	8.962	10.349	5.5635	10.0838	5.3294	7.6599	5.5014	5.2775	8.9366	7.7718	8.6936	5.6617	5.4935	5.4123	5.1464	5.1236	5.2909	5.2474	5.3376	5.6819	6.1253	5.0584	5.4355	9.1503	5.5079	5.4755	4.7935	4.6965	4.9777
U133A__TLN1	6.6588	6.5424	5.8805	5.7994	6.5644	5.9856	6.3255	7.1334	6.2038	6.5911	6.6526	6.1384	6.1843	9.1773	6.3819	6.184	8.0898	6.6104	5.9366	6.2893	7.1546	7.0731	5.9544	6.3669	6.1561	6.3103	6.3312	5.8417	6.5138	6.0943	6.1867	6.0613	6.1134	5.9299	6.1477
U133A__TNC	5.3228	4.6808	6.0589	5.0294	6.8118	4.6548	5.8077	9.2972	4.909	6.0354	4.8131	5.0022	8.1084	5.3092	6.2336	9.3754	8.5657	6.5111	5.0374	4.7272	7.5353	5.0495	6.0046	6.2086	9.5715	4.904	7.4837	8.1507	6.8616	6.0683	7.8556	4.9164	6.5265	5.2553	4.8657
U133A__RGS3	7.3396	7.3194	7.4449	7.1317	7.9865	7.1868	7.3192	6.932	7.2255	7.079	6.1877	7.0754	6.7835	6.8538	6.6612	7.1936	6.9064	7.5345	6.4823	6.5597	6.4331	6.9934	7.1745	7.2838	9.0562	7.3575	9.8179	6.9968	7.3523	7.6718	7.8599	7.1022	6.2931	6.3998	6.6534
U133A__UPF3B	5.4087	7.4007	8.996	6.0208	8.5935	6.8089	6.7156	8.967	5.7916	6.9372	7.1397	6.7902	7.4767	6.9753	7.8309	7.9876	7.8404	6.1483	7.3708	7.4787	7.2884	7.2472	6.0651	7.2458	7.3178	6.6988	6.1282	5.6486	6.551	6.9342	6.3386	5.4531	6.7	5.4613	6.7386
U133A__C5orf23	5.6841	6.3829	5.455	7.5346	6.5705	7.2092	8.7788	7.6183	5.4248	7.2325	5.4244	5.5515	5.5549	8.2279	6.8555	7.2818	8.3511	7.1384	5.6597	5.5512	6.0857	5.6237	5.9768	5.8137	7.0568	7.5061	5.7325	5.2448	6.0217	5.3433	5.4923	5.947	6.2081	6.4551	5.6891
