Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__CLDN3	8.0034	8.9717	6.0866	8.0567	10.0582	5.2854	9.4834	6.0702	7.6571	6.3263	4.6532	8.4969	8.109	5.5586	6.0856	7.1229	6.3996	10.9045	5.3265	5.3363	5.0908	8.3048	4.9669	9.8602	9.8658	5.456	5.1811	9.0222	9.0383	8.3115	8.5947	5.1358	5.1889	5.4921	9.2728	9.3196	7.4412	9.7707	5.38	8.391
EA_G__TESK1	7.8959	8.3032	8.1661	8.4928	8.928	7.993	8.7249	8.2875	8.4959	8.4588	7.8626	8.4984	8.442	8.6059	8.527	8.1811	8.2056	8.9132	11.6165	8.5538	7.971	8.7505	8.1073	8.3541	8.3853	8.4285	7.8268	9.5718	8.7004	9.3688	8.2201	7.8973	7.1274	7.8586	9.2457	8.4639	8.6664	8.1986	9.1038	8.8505
EA_G__CLSTN2	6.8205	5.6977	6.8997	7.8696	8.1281	5.2503	9.9628	5.6264	7.2839	5.4275	5.9965	6.8699	8.2244	5.3624	5.5006	5.6761	5.4378	5.3756	5.7285	6.9158	6.928	5.439	5.8407	5.2828	8.1749	5.2112	5.3934	5.5934	10.5058	7.708	5.657	5.4048	5.7301	5.1216	6.371	5.7493	7.2234	7.4536	5.1649	5.4848
EA_G__TFPI2	7.4112	5.7742	6.8889	4.1023	5.2059	7.6313	4.2376	5.8745	5.2724	5.6988	7.7972	5.5013	5.2292	4.3233	7.304	5.223	4.7209	4.4873	5.8133	5.139	5.3328	7.5073	4.2327	4.6548	5.44	6.5637	7.751	5.7575	4.3729	5.1626	6.729	6.8534	7.2202	6.8149	4.8815	5.8182	5.0564	4.7585	6.7052	5.6912
EA_G__CDK5RAP3	8.0769	7.0657	7.0022	7.5364	7.9107	7.8547	7.8394	7.8517	8.6243	7.1116	7.3997	10.176	7.8988	7.9888	6.9633	7.5531	7.1028	7.4433	7.9227	7.4204	7.2929	7.5687	6.8329	7.8635	8.8183	7.1384	8.1751	8.666	8.6379	8.04	6.512	6.8064	7.0335	6.9849	7.0939	8.8863	8.3218	8.1078	8.6391	8.6733
EA_G__CEACAM6	11.9576	9.4552	4.9219	10.4191	6.7394	4.4249	4.3434	4.1091	4.5225	3.7734	4.2987	10.2871	4.6155	4.2125	5.4873	5.8584	7.5965	6.3312	10.3529	4.6112	3.9866	7.9509	4.1852	8.4815	7.3165	3.6986	4.1634	10.9123	10.8417	4.9382	6.4947	4.7785	4.201	4.5135	7.5353	10.2088	7.5093	6.1862	6.9771	9.7418
EA_G__C9orf127	6.7089	6.0376	5.8018	6.4187	7.0435	6.2762	6.8552	6.8383	5.9154	6.6219	7.0562	6.4232	6.2548	6.7088	6.2656	6.3192	5.99	6.974	9.3532	6.3092	6.2466	7.7017	6.4998	6.651	6.4793	6.446	5.8992	7.6257	7.3927	7.5077	6.2648	6.3197	6.1399	6.0337	7.0987	6.7204	6.8046	6.6364	7.4356	6.5116
EA_G__PBX1	11.2804	10.6472	8.2186	10.9755	11.1527	8.8112	10.7046	8.523	8.2734	7.0968	8.1349	10.0691	9.7507	9.6714	7.5455	9.0418	7.3994	10.6116	10.6383	7.4736	7.978	8.9573	7.9261	9.5265	10.2433	8.231	5.2984	10.049	10.6755	10.6396	10.5136	8.5809	7.1471	6.3987	10.7248	9.4662	9.8816	10.3798	11.5923	11.77
EA_G__CHDH	8.1747	5.7765	6.8422	8.0397	6.7069	5.5535	7.8047	6.1859	7.3454	7.4832	6.7226	5.4023	7.3578	8.4609	5.9458	6.8987	6.2812	7.5206	7.2342	6.9515	6.0461	7.5888	5.1343	7.4567	6.7619	5.6341	5.4675	8.361	7.9733	7.7363	5.5396	6.7458	6.3557	5.3534	5.9997	7.0313	5.8103	7.2057	7.8407	7.3754
EA_G__MPP1	4.6323	4.6149	5.5659	4.1933	4.53	7.3661	5.2864	8.4183	5.9491	6.1238	6.5432	4.0628	4.851	6.9422	6.5674	5.376	4.4365	4.4762	5.2199	6.7918	7.3067	4.5936	7.6194	4.6365	4.6134	8.3037	7.4557	4.1565	6.2867	6.0077	4.7191	7.4905	6.8069	8.2609	5.4014	4.4879	6.8111	6.0661	4.6406	4.793
EA_G__TIMP2	8.0733	8.3458	7.5595	5.3944	8.578	8.7678	6.3471	8.0449	8.206	6.7557	9.266	6.5326	6.6301	7.4328	7.5212	7.6423	8.8436	4.6538	6.5074	8.6701	9.1357	7.1354	8.2937	6.9135	6.629	9.9272	7.5771	5.6731	6.6532	4.7218	8.7064	9.815	7.1412	8.3924	5.6884	6.8307	6.477	7.3707	4.9285	7.046
EA_G__ATP6V0A4	6.396	9.4584	6.0439	9.5886	6.8897	4.4126	4.4522	4.5735	5.3603	4.3424	4.3231	8.3304	6.5654	4.3641	4.4015	4.6533	5.1789	4.1207	7.8356	5.7837	3.8844	5.4336	4.8527	6.9256	6.3269	4.1126	6.246	8.7945	6.5413	4.8429	9.4857	3.9129	4.2576	4.3833	7.4254	4.3647	5.9346	4.4506	7.4908	4.2475
EA_G__TMPRSS3	9.8081	6.2517	4.6731	6.3099	7.8022	4.3753	6.8658	4.3949	4.1635	5.2231	4.4602	5.3789	6.8408	4.6199	4.668	6.3221	5.0635	4.8213	6.0278	6.1435	4.2958	7.1903	3.9978	5.25	4.758	4.7685	4.1056	7.4917	9.4186	4.7655	5.2652	4.5343	9.1125	4.5138	7.2599	7.5815	7.0602	5.4646	4.7394	4.7502
EA_G__LLGL2	9.3921	8.6915	7.7394	9.2172	8.9636	6.2317	8.8119	6.7864	8.2638	8.0503	6.7246	8.8674	9.3444	7.2747	7.7949	7.7966	7.8608	9.2732	8.3801	7.9179	6.2965	8.1822	6.0368	9.5561	9.9449	6.5672	6.5173	10.4167	8.8447	9.2616	9.2767	6.1906	7.5902	6.2778	8.6172	8.4538	8.1435	8.5877	9.276	9.4724
EA_G__ANXA9	8.5276	6.7661	8.291	6.2682	9.5791	4.8888	9.4956	5.7138	5.0476	5.9137	4.926	8.2202	8.4838	6.7228	5.7918	5.6264	7.0057	8.458	6.7506	5.056	4.9114	7.3041	4.9863	9.2851	9.9914	5.2292	5.3425	8.1028	9.0798	8.036	7.942	5.0301	6.1862	5.2573	7.8449	6.669	8.2312	8.9961	6.7036	6.1409
EA_G__BTG2	6.8217	5.4638	5.6343	7.5594	6.4698	5.7147	5.952	6.3995	5.8205	6.4222	6.0641	7.0803	5.4982	5.9236	6.51	6.7846	5.9248	5.5844	6.996	6.0973	5.5422	6.8968	5.2418	7.1009	7.7907	5.8373	5.6099	7.5319	9.1094	7.9356	5.6432	5.0336	5.3282	5.3295	7.3681	5.7703	8.1105	6.377	8.2474	6.4968
EA_G__KIAA1244	8.6271	9.1807	7.1621	7.9794	7.8373	4.7103	7.731	5.3675	6.7773	5.926	4.9291	9.7452	7.5222	5.2587	7.0398	6.8008	7.5007	8.4461	9.4749	6.767	4.6396	7.3284	5.1369	8.4806	8.5158	4.7583	6.9271	9.3135	10.3382	9.7247	8.5838	6.5364	5.8571	5.421	9.2156	9.3295	10.1233	8.0033	8.061	7.4642
EA_G__TPD52	5.9209	8.4542	5.7277	7.0653	6.6962	5.3719	6.8489	4.7685	6.829	4.9629	5.1704	7.2799	6.5672	7.0081	5.6315	6.5702	6.5929	6.3041	6.491	5.8988	5.8681	5.9646	3.9806	6.3341	6.808	4.2657	5.3093	6.894	6.7619	6.1522	8.3772	5.8053	5.8745	5.9066	6.8577	7.4252	6.5493	5.7787	7.2785	6.8565
EA_G__KCNK5	7.1892	7.6768	5.9717	6.3405	9.3414	4.9843	8.6618	6.0942	7.4348	7.2036	5.7724	4.9976	9.8878	9.3335	7.2929	8.1296	6.3744	5.5838	8.5578	6.7799	6.0831	7.8641	4.7487	6.6911	6.548	5.8044	6.3282	6.2406	10.3354	5.7042	7.4838	5.9933	6.7772	5.3122	5.9738	7.1491	5.8335	5.4823	5.0166	6.0554
EA_G__PLXND1	8.4841	7.676	7.6166	6.7531	8.4025	6.1691	7.3083	7.7008	6.6701	8.3487	7.0234	7.7191	8.7714	7.9056	7.1263	6.8018	6.2004	6.6459	8.554	6.3407	7.9336	8.1718	7.47	8.4443	7.9899	8.8234	7.071	7.553	7.083	7.9119	6.8313	6.881	7.4619	6.1199	9.7749	7.7921	7.7438	7.6225	6.6854	7.1503
EA_G__DENND1B	6.8796	6.6791	6.7675	7.167	7.3121	4.7193	6.0054	5.6419	5.8785	5.9951	5.7859	6.8062	6.8071	6.1834	6.5026	6.5064	6.6765	6.7352	7.4498	6.5538	5.7247	7.5458	5.444	6.254	6.4954	5.8145	5.6087	6.7896	7.0417	8.8044	6.7401	5.1312	5.7658	5.6866	7.0638	7.1235	6.6987	5.8053	7.9649	9.7169
EA_G__SIDT1	5.7225	7.4447	5.3904	8.8752	8.5645	4.6729	8.5319	4.7236	4.3608	4.6682	4.3873	8.7279	8.8931	4.4944	4.8537	4.7245	7.2688	7.7584	7.114	4.5267	4.2934	6.0595	4.3148	8.2739	8.5397	4.4179	4.9182	8.5383	9.0785	8.1899	7.1021	4.6199	4.8109	4.4668	7.8236	7.9261	7.9518	8.588	7.6898	6.1964
EA_G__TMPRSS2	7.1443	7.2062	5.9505	7.4163	6.1494	4.76	5.2206	4.478	5.9465	7.398	4.4614	8.4729	6.5273	4.686	4.6026	5.5772	4.5393	8.7158	9.8984	4.5147	4.4592	8.9766	4.216	7.2592	6.7275	4.3741	4.2222	6.094	7.3281	6.4244	7.2688	4.3749	4.9769	4.5539	6.2306	7.1473	5.1128	7.3834	4.9624	4.7479
EA_G__PLOD2	6.1911	8.3419	8.1358	7.0175	6.9131	10.2933	6.8168	7.9873	7.2038	5.3942	8.7914	7.1322	7.4866	8.0339	6.5989	8.2857	9.3417	7.8623	4.782	8.6845	9.2717	8.4052	9.1792	7.4818	7.5432	9.0537	8.1487	7.3068	7.3589	6.2115	7.2225	7.589	9.2253	8.3727	7.0657	7.6736	7.2993	8.5125	6.8806	7.1493
EA_G__FN1	5.8877	6.6198	8.3686	4.0288	6.9699	9.8478	3.7438	9.9035	6.8731	6.5156	11.9001	4.4044	8.4649	5.1783	6.5823	5.5249	6.3209	6.4661	8.3059	11.3179	10.8315	7.74	12.354	8.0092	6.6245	11.7706	8.224	6.684	4.5648	4.8693	9.218	9.6008	10.5618	11.1685	7.1705	4.5006	7.7977	7.2817	5.625	3.9594
EA_G__KIRREL	7.5887	5.9225	6.9042	5.6081	5.7258	10.3544	5.5244	9.6718	9.7389	9.3978	9.7405	5.3224	5.3906	10.1946	8.1	9.2642	8.6382	5.5212	5.5174	9.3051	9.8443	7.0456	9.2853	5.8194	5.7806	10.0757	8.5703	5.2519	5.8751	6.4035	5.6421	10.2171	8.5799	9.3106	5.6723	5.8787	5.7361	6.8062	5.7109	6.6927
EA_G__BAMBI	9.043	7.9415	8.956	10.9483	9.7965	9.5427	7.1282	6.4441	8.9009	9.2597	7.6812	11.554	8.6742	9.0298	5.2225	9.1935	8.7315	10.0132	10.7307	9.5724	7.367	8.4422	7.3105	10.6285	11.5012	7.2104	6.5424	11.1828	10.2395	8.4677	8.8646	4.7859	7.5736	6.0396	10.2713	10.2083	8.641	10.9692	11.0753	10.0016
EA_G__PRODH	7.1166	8.5848	5.3758	9.6968	6.5807	5.2856	9.8394	5.9356	7.3753	6.3146	5.293	9.9249	7.0011	5.3203	5.7339	6.3419	5.347	7.6571	9.6035	5.5817	5.3378	5.6238	5.3479	6.1188	5.8214	5.7096	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	7.8362	10.5858	9.7075	7.7263	10.3923	9.6963
EA_G__HSPC105	7.1909	6.9623	8.9808	4.4777	6.2217	3.9937	7.0203	4.0432	7.6098	4.3205	4.1929	5.8378	7.6399	4.1374	7.6888	8.4153	8.0943	4.0362	7.941	7.1229	6.624	7.4965	6.7533	7.9488	8.025	3.7539	3.7506	7.8614	8.6276	7.1346	6.8813	4.2051	5.1318	4.1228	3.9704	7.9998	7.0292	4.7833	4.2759	6.4941
EA_G__S100A2	4.9938	4.9619	5.4168	4.3304	4.8145	6.0816	4.8565	7.3456	9.6017	5.8766	6.2329	4.4923	4.5089	4.6254	9.9432	7.9132	6.2996	4.9466	5.0789	9.6456	6.3764	7.9301	5.4236	4.7519	4.6769	6.233	5.8	4.2069	4.6835	5.3593	4.8616	7.3285	8.6077	6.9381	4.8188	5.1131	5.1742	4.6866	4.5623	4.7572
EA_G__TOB1	9.7608	9.0994	8.2733	10.3884	10.6059	7.4602	9.6086	7.6325	8.2488	7.4455	7.3781	10.7407	10.9032	8.0535	7.6285	8.1314	7.6875	11.098	9.066	7.1435	8.0148	7.7478	5.8354	9.5153	10.1659	7.4631	6.2229	10.9348	8.9254	9.3315	8.7014	7.2404	7.3259	7.5716	9.1303	8.452	9.2129	9.9542	10.3392	10.2663
EA_G__PDGFC	6.2406	5.2252	5.8828	4.5988	4.6285	6.9602	4.254	6.294	6.6341	6.9329	6.5961	5.683	4.128	4.3127	5.9231	5.6638	7.0851	5.5828	6.1259	5.5105	6.0058	6.6886	6.8017	4.0501	4.408	6.6632	8.0265	5.6458	4.57	5.3536	4.9157	8.2663	6.9944	7.0339	3.9536	7.7297	5.2456	6.1582	5.4219	5.5455
EA_G__DOPEY2	8.2239	7.9457	6.5423	8.2781	7.6848	6.7292	6.8553	5.8713	6.4959	7.261	5.4701	8.972	8.176	5.1726	5.2203	5.5628	6.4086	7.668	8.0014	5.6175	5.1986	6.0869	5.9919	7.9673	7.5194	6.3299	5.0722	7.8844	7.5647	7.2843	7.5263	6.4388	5.1658	5.6352	8.4635	7.2463	8.5448	7.6241	7.2307	6.2296
EA_G__AZGP1	11.8674	10.2938	5.2477	6.3166	7.9619	5.1861	7.8483	5.1909	10.5743	5.8672	4.8475	9.8598	5.393	10.1989	5.1734	7.6159	8.1158	8.9454	9.9126	7.6711	4.5263	11.0381	4.8353	5.798	5.7386	4.8156	4.9316	8.3578	10.6706	10.6377	8.0518	5.702	6.1725	5.9591	6.4786	11.3448	7.3664	9.6307	10.4682	8.0104
EA_G__CALML5	10.8123	6.7618	5.673	7.936	8.1066	5.7628	5.8521	6.3413	6.8941	6.6948	6.0323	6.7642	5.9267	6.292	8.6287	6.8028	6.0826	10.012	6.4955	6.119	5.7171	9.1295	5.7529	7.1617	6.7951	5.746	6.0562	9.8545	6.022	9.1781	6.2895	6.4144	6.637	6.3803	10.5225	9.2435	6.8067	5.9758	5.9905	5.969
EA_G__ADM	6.4321	7.8699	8.2549	6.7316	6.3919	9.2873	6.4248	7.5952	8.2428	6.6451	7.5044	6.2464	7.0564	6.6729	7.9741	8.8778	8.7503	7.8693	7.2347	7.2128	7.2707	6.52	10.4389	7.4329	6.5314	8.6667	8.0916	6.7527	7.0205	6.9918	7.7146	8.0335	8.0033	7.3379	6.5653	7.3322	7.1694	7.7755	6.2225	6.2827
EA_G__ADAMTS2	6.1291	6.4219	6.3072	6.2602	6.0553	7.6736	6.1679	6.8899	6.1605	6.2747	7.8228	5.8276	6.0975	6.1593	6.3934	5.9939	6.1867	6.1105	6.3238	6.2655	7.1276	6.3853	9.24	6.3816	6.4391	10.5608	6.1669	6.0913	5.8184	6.9592	6.5254	6.4858	6.4164	7.2845	6.2169	6.3472	6.6946	6.26	6.1176	6.2255
EA_G__SERPINE1	5.4251	5.8986	5.9074	5.4065	5.5036	5.6132	5.2081	9.8133	6.988	5.5114	5.7937	5.0759	5.1916	5.1886	7.6995	7.0332	7.2798	5.9422	5.2755	7.7287	5.7854	5.5744	11.9346	5.8429	5.6226	6.3332	10.2428	5.0146	6.1282	5.9937	7.8398	8.1438	5.5569	11.8792	5.5559	5.6639	6.5275	5.4098	5.331	5.4464
EA_G__RASA3	6.7536	7.7281	5.9848	6.1854	6.9515	7.9914	7.8598	7.0314	6.9166	5.544	7.3455	5.6888	5.9938	6.6235	8.0798	6.9662	5.7554	6.9974	6.2026	6.7827	8.3408	5.2362	8.4783	6.8907	6.387	9.3533	7.6861	6.3381	5.3877	6.1545	8.2353	7.4424	7.5334	7.737	5.1827	6.6902	5.7501	6.5498	6.8251	6.7331
EA_G__KLF4	7.5258	6.3835	5.8752	7.255	6.9062	7.2215	6.1976	5.392	7.1674	5.6346	6.2335	6.9329	5.8606	5.2979	6.5071	7.5176	6.9154	6.4932	7.5931	5.801	5.1927	5.1518	7.4188	6.4508	6.4168	5.6064	6.449	7.5431	7.5855	6.2073	6.0314	6.971	5.4838	6.1831	8.7356	8.1216	8.1539	5.7996	6.765	6.5216
EA_G__MYO5C	8.7021	7.8463	7.275	7.9832	7.3393	4.007	8.6099	4.3929	7.3812	6.793	3.7876	8.5988	8.705	3.62	5.4571	7.8221	6.9236	7.8323	7.7686	7.586	4.5314	8.1173	4.1085	9.2621	8.7398	3.747	7.0582	7.7598	8.3844	7.2253	7.5109	3.8417	6.0904	3.955	7.9313	7.7172	8.2857	8.322	8.492	9.2547
EA_G__GBE1	6.8244	7.5239	8.155	6.3966	6.5794	8.5971	6.6869	8.843	7.4889	4.9943	8.6312	7.5394	6.471	7.5278	7.1057	7.6762	7.967	6.3813	5.8657	7.6057	8.2961	6.5153	9.4952	6.8885	7.5212	7.2937	8.7027	6.8781	5.6533	7.102	7.1436	8.6559	8.4116	9.5431	6.0081	6.5628	6.1145	7.2027	7.0531	6.4247
EA_G__RNF19A	7.5806	6.8449	7.213	8.3854	8.0815	7.4887	7.3422	6.0419	7.2186	7.9854	6.5758	9.8883	7.8509	7.0373	6.7801	7.3909	7.7348	8.0034	8.5087	7.3712	7.2933	7.1165	7.2386	7.3685	7.2872	7.2107	6.8442	7.493	6.5911	8.0239	6.734	7.7721	7.3392	6.609	7.3567	9.1622	7.7411	6.5622	7.206	6.3504
EA_G__SGK3	5.7648	5.5345	5.8073	7.7462	7.3721	5.8386	6.7755	4.7772	6.8608	6.8632	3.7862	7.6689	8.075	6.2488	6.7499	6.9819	6.0813	4.8688	8.1469	6.143	5.6877	6.0123	6.4531	5.643	7.2611	5.2273	6.6847	8.3658	5.6821	4.6227	6.2563	6.8148	5.3602	6.0481	6.2606	5.9953	6.007	7.5886	5.8094	5.8588
EA_G__KIAA1467	6.6315	7.5406	6.6624	7.2865	9.3605	5.8311	8.6582	6.7441	6.745	7.3667	6.7519	7.505	7.9446	7.4237	6.29	6.3595	5.9867	8.131	7.0355	6.5908	7.377	7.3791	6.2821	8.4645	9.6294	6.5187	6.7367	8.5894	8.7607	6.8448	6.5345	5.8873	6.7214	6.6599	7.8531	6.7002	8.4419	6.5175	7.9241	8.2149
EA_G__DCBLD2	8.5471	4.4849	10.0473	7.708	6.5121	9.4737	3.6511	9.2955	8.2451	7.0105	8.7746	8.1518	3.6162	7.8489	10.0058	9.1965	9.857	7.8921	8.0481	9.6844	9.6487	8.7991	10.7754	7.3132	6.7617	10.5443	9.4729	7.8692	3.5968	6.9997	6.6151	9.3028	7.7366	9.0471	7.064	7.7637	7.4904	8.1841	7.8199	7.5897
EA_G__EDIL3	4.2675	4.4678	4.1222	4.2003	4.1091	10.3398	3.9199	7.9734	7.7527	10.7627	10.9328	4.1415	6.574	4.1486	5.3387	3.582	5.0077	4.1852	4.3808	6.4883	10.5374	4.466	10.2267	4.3709	4.7425	9.6383	9.9608	3.9369	3.9483	4.4458	4.7088	7.9988	6.332	7.8969	4.3348	4.5551	4.1115	4.1293	4.2709	3.9187
EA_G__IGFBP5	10.3675	7.9594	10.6451	11.0184	10.9194	4.3101	11.7233	4.7256	7.6186	6.4925	7.4736	4.8845	8.188	4.538	4.7586	7.9624	6.9878	11.0805	9.2414	6.4845	4.3247	6.8854	5.2977	8.5975	8.7877	4.2559	4.3236	11.3033	11.5721	9.9012	9.5648	5.5703	5.0144	4.674	4.7641	9.5878	5.7393	10.3953	8.0895	7.3692
EA_G__MEGF9	7.0461	6.094	6.6923	8.7061	7.4811	5.822	7.6443	5.7505	5.9558	7.2222	6.1581	6.9122	9.1405	6.0661	6.5113	6.1046	6.7453	7.5722	6.5073	5.9738	6.1278	6.3046	6.2887	7.6627	7.5047	5.9312	6.1493	9.7645	8.6638	7.6239	6.2421	5.741	5.513	6.3937	7.5167	7.3731	7.5806	8.0296	8.3711	7.4477
EA_G__C14orf132	6.4609	5.5705	5.1801	8.4638	8.6792	5.3165	8.0379	6.797	5.3487	4.9919	6.7504	5.1462	8.7482	5.8088	5.8244	5.8882	5.3831	5.7346	6.3701	5.2943	5.7783	5.1583	6.8672	7.7373	7.8371	7.3807	5.0814	7.7743	7.4253	6.6213	6.3315	6.2419	5.8516	7.0244	6.8051	5.7864	6.305	6.8849	5.8417	5.7646
EA_G__NAV1	7.4175	8.9354	6.7217	5.4838	5.7925	7.8052	5.1032	7.2041	5.0575	7.9118	7.629	4.8157	4.8473	5.8443	6.4689	7.4442	6.9431	5.6569	7.9222	7.0711	8.0474	8.2228	8.6572	5.6577	5.8182	8.6836	6.4817	6.5266	6.955	6.2838	8.7193	8.8574	7.5636	8.4718	6.3187	5.356	6.2935	5.239	5.7746	5.8825
EA_G__EFS	5.6312	5.8379	7.5074	6.6899	7.0576	5.2477	6.1714	5.6082	6.8069	7.6687	5.6171	7.7741	6.2187	6.8659	5.846	5.8344	5.5482	5.8984	8.1291	5.4385	7.0219	6.6711	5.7584	5.7557	5.8945	5.2271	5.5316	8.757	5.6034	7.8905	6.128	5.5567	5.6693	5.8229	8.2628	7.5521	6.116	7.2822	7.2416	6.0806
EA_G__EIF5A2	5.0671	6.2951	7.8413	5.3636	5.4876	7.0288	3.9816	7.3298	6.5229	4.6112	6.4989	4.0049	6.0151	6.4365	8.0195	8.5671	6.6962	4.3065	4.1127	7.1292	7.9963	5.1445	8.1412	6.4023	6.2623	7.3762	6.8793	3.7667	4.1613	4.6846	5.9985	6.7265	6.2262	7.4626	5.477	4.3927	4.1756	6.6644	4.4717	5.0973
EA_G__CA5B	6.9369	6.4488	6.1867	9.8853	7.5831	6.9713	7.9319	6.8455	6.4217	6.3814	6.7546	9.6441	7.5718	6.1838	6.1346	6.8366	6.9423	8.1787	8.8326	6.433	6.1952	6.711	7.0975	6.8575	7.7441	7.3049	6.0855	9.1757	9.2258	6.4901	6.0825	6.6733	6.6921	6.9056	6.6601	6.6108	9.1303	7.0359	6.5561	6.3884
EA_G__ASAM	4.8114	5.6733	5.5677	4.7681	5.4879	6.7381	4.9316	6.974	4.7475	5.066	9.2454	4.715	5.2325	6.9802	7.9552	8.5412	5.1787	5.0131	5.2943	5.2275	8.3252	5.3162	10.0925	5.1602	5.1685	7.6896	6.0968	4.823	5.0188	5.7042	5.5786	8.0168	8.4038	10.0129	5.001	5.6325	5.3421	5.526	5.0912	5.1976
EA_G__PRKAR2B	3.6639	4.751	7.6397	6.673	7.3892	4.2612	5.5339	5.7103	6.1629	5.6519	5.6035	7.3352	8.2984	6.7023	3.924	7.0818	5.0653	4.5253	7.3375	6.4084	5.38	8.6228	5.2452	7.008	6.7479	6.3269	5.5951	6.3291	4.8747	4.7273	5.1911	6.4866	4.6942	3.6612	6.1377	6.4419	5.7235	5.3886	6.823	6.4128
EA_G__ST6GALNAC2	10.2973	5.0291	5.516	10.3685	9.1426	4.5595	8.7228	5.2777	6.5984	7.353	4.8036	9.9648	6.5371	4.6823	5.9709	5.9589	4.8008	9.0183	8.1178	5.1009	5.8811	7.4136	4.6967	6.3217	8.8799	5.7877	4.6438	11.3695	9.1258	9.9534	5.1063	4.954	6.391	4.6258	9.9215	6.6702	10.1722	9.3112	10.5198	10.1631
EA_G__STK17A	5.9146	6.3042	7.6759	6.7496	6.2505	6.8388	6.5173	7.1788	7.0289	6.6728	8.0695	6.6336	6.8904	5.9002	8.2019	7.6215	8.3165	6.3507	5.6394	7.3603	7.5898	8.0327	7.2169	6.4256	5.9265	8.0381	7.6587	7.2486	5.5554	6.1393	6.0406	8.8014	8.1987	7.3813	5.9857	8.9739	6.1883	6.8924	6.6526	6.332
EA_G__TJP3	9.3077	8.0518	7.766	8.3849	8.6587	5.9377	7.9192	6.2656	6.4262	6.6429	5.9521	9.8328	7.6407	6.3501	6.2599	7.1653	7.5222	8.3666	8.4592	6.5682	5.9474	8.0263	5.6884	8.0699	7.9648	5.7056	6.1169	8.5057	8.1059	8.1475	7.9939	6.014	7.1509	6.1539	8.6348	7.4672	7.8886	8.6752	8.4645	8.0411
EA_G__LRIG1	9.1612	8.4644	7.5392	8.7042	8.5962	7.0764	8.4047	7.1212	7.6769	8.3325	7.3526	9.3453	9.2857	7.6133	6.3691	7.9605	7.5204	8.2662	9.2238	7.7319	6.9662	7.6377	8.0083	7.897	7.9151	6.6753	7.0332	9.4991	6.4779	9.8144	7.5698	6.9521	7.7575	7.6009	7.4641	8.9085	8.3308	9.4649	8.882	9.1154
EA_G__GPR160	6.7527	6.9782	5.0229	8.0657	6.759	3.3556	7.1076	3.909	4.229	4.4657	2.9609	9.3959	7.726	4.058	3.7191	5.921	4.7387	7.6326	6.9804	4.7694	3.446	5.8982	3.5785	7.7744	7.445	2.9737	4.3088	7.3759	8.3753	7.7969	7.1789	2.9307	3.3042	3.8572	7.0867	5.9659	8.1528	7.8124	7.6953	7.3985
EA_G__HSPA4L	7.4867	8.4034	6.4706	4.5198	6.9789	7.3103	7.3177	7.0374	6.4753	7.6932	8.8526	7.5761	7.753	7.3548	7.9451	8.3489	6.5215	7.1622	5.9395	8.5632	8.2048	6.5023	7.339	7.5455	7.2203	5.8191	8.2086	6.2857	6.0688	6.7544	7.962	7.5049	7.9473	7.7921	6.7931	6.548	7.0484	7.9974	7.3065	7.485
EA_G__IL17RB	8.2164	4.8068	6.1735	7.7176	6.163	4.8811	7.9169	5.5076	7.6651	7.2527	6.0732	4.3759	10.5956	8.2299	5.2855	6.8549	5.1317	7.7709	6.0263	6.4415	5.6218	7.2592	4.4307	7.1498	5.9822	4.4381	4.1731	9.1388	8.6897	7.4301	4.4972	6.2121	5.7334	4.63	5.5023	6.5347	4.6039	7.6294	8.0236	7.7553
EA_G__AGR2	10.388	9.9764	3.2404	10.5253	10.8674	3.1745	6.0439	3.7576	3.5567	3.1734	3.3399	10.6695	6.7701	3.4557	6.1162	5.8644	7.6477	9.677	10.1249	3.6198	3.3258	5.9674	3.3756	6.4972	9.3306	3.0206	5.2088	9.6312	11.0565	8.4022	8.7004	3.9941	5.3017	3.7281	11.9063	10.5448	10.4962	10.2239	8.8069	8.6101
EA_G__CTNND2	5.4629	8.1316	5.8497	7.5316	6.6776	5.4046	7.6145	5.5963	5.578	5.923	5.2439	7.9285	5.2685	7.2004	5.5369	5.2641	5.4163	8.0858	7.6463	5.6685	5.1254	5.7386	8.1424	7.963	7.877	5.4372	5.2979	8.3406	8.2045	7.5643	7.5688	5.3627	5.7529	5.5902	6.5579	5.7347	5.943	5.4129	6.9607	6.3814
EA_G__ABCA3	7.4898	6.1001	5.9275	6.9381	8.2598	6.5877	8.6685	6.3828	6.65	6.4291	6.0702	7.5984	7.7157	6.836	5.8417	5.8612	6.15	7.1337	7.2382	6.8044	5.8351	6.2413	5.5762	8.3807	7.7083	5.9727	6.7002	7.2912	7.0449	8.915	7.0031	6.1109	6.1814	5.8895	7.1448	6.7524	7.366	7.6447	8.656	8.3675
