Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__NMI	5.4002	6.3355	5.7453	6.2096	6.1877	3.8738	6.686	5.7535	7.1553	4.6454	6.3539	7.9995	8.664	7.9398	6.1445	6.8946	7.0581	6.7868	8.4223	6.1866	5.7694	7.4026	6.8466	6.5341	3.9968	6.5408	8.6585	5.8808	6.4119	8.0871	6.5488	4.6572	5.5115	4.7055	6.0912	6.4388	5.2935
U133A__BRP44L	7.3579	8.4504	6.6044	6.1956	6.4688	7.3948	6.5531	6.1308	7.78	6.7401	8.099	7.6553	7.1964	7.7168	6.1799	9.8542	7.801	5.8538	6.771	7.1507	6.4159	7.8053	6.8111	7.5752	8.1616	8.3758	8.1092	8.3869	7.4621	6.758	7.6077	7.3253	9.1394	6.907	7.457	6.8471	7.551
U133A__UCP2	9.6294	10.6891	11.051	10.1722	9.2555	7.9243	7.2126	8.9817	5.642	10.1599	7.6198	8.3911	5.8092	6.2556	9.9079	8.7794	8.1962	9.2716	8.7817	5.512	9.2632	7.505	9.3588	10.4657	9.2304	5.3891	10.4055	10.2665	6.2975	5.8019	5.5516	9.1125	7.4515	9.3054	8.5052	7.9376	8.6715
U133A__GADD45A	5.3909	6.2445	7.5063	5.2446	7.3392	5.1443	8.6309	7.1551	6.8213	5.8339	6.7283	7.7482	8.4893	7.405	6.8995	5.0377	8.008	6.8747	8.2273	9.7214	5.8846	7.5512	6.8579	6.8197	6.6866	8.9886	9.8078	5.6789	8.471	7.4893	9.3585	5.2882	7.1867	5.4167	6.9506	6.5311	5.8262
U133A__PSMB9	4.8843	6.5081	4.5777	6.4754	4.7598	4.9569	7.7952	5.4396	7.3883	5.527	6.1295	8.4128	8.0092	6.9446	7.3893	5.1029	6.1024	7.931	9.9119	5.7298	4.492	8.6041	5.0612	5.1089	6.7275	5.4245	9.1835	4.6866	6.3482	7.112	7.5584	4.6708	4.9221	5.6582	4.9831	4.8526	4.6645
U133A__SLC16A1	5.5794	5.7645	6.0565	5.5591	7.9693	6.5954	7.3612	7.3152	6.2764	5.9809	7.3342	8.5427	8.3794	8.0237	5.8946	5.2666	7.0439	8.327	8.4403	7.6278	6.5289	7.8131	5.4479	5.6483	8.4516	8.7246	6.8735	5.5178	8.0539	8.2358	8.9896	5.3126	6.7675	5.835	6.0467	4.937	7.0823
U133A__NNMT	7.4816	6.4025	4.3441	4.2984	10.43	4.4886	8.6418	4.4447	4.5027	4.0426	5.1421	4.462	6.0129	6.8071	4.8556	4.2145	5.8981	7.0081	7.6329	7.5692	4.4465	10.1086	4.4358	4.2956	4.9538	7.6063	4.7903	4.6834	8.5814	8.774	9.9583	4.671	5.758	4.3408	8.3456	4.1626	4.082
U133A__TMEM45A	3.9251	5.6223	3.8356	4.4014	7.0954	4.067	4.7032	5.7298	5.2926	3.536	5.1283	6.8653	8.9616	7.9155	4.2052	6.9156	6.3791	5.8904	8.43	6.0737	4.2822	6.6374	5.4727	3.5937	7.3845	7.4182	8.1284	5.9107	7.7047	7.3691	5.9503	7.837	8.6357	3.6449	8.7797	4.7818	3.96
U133A__TGFBI	5.9683	6.9042	6.5837	5.5476	6.1062	5.7755	7.9789	5.3076	9.9085	5.8022	5.705	8.7344	7.4678	9.0113	6.0496	7.0812	6.6511	11.1168	10.6715	11.2079	8.2212	10.843	7.7059	5.9087	6.0484	6.6849	7.5198	6.7466	11.8115	10.622	11.553	5.5123	5.6781	5.5711	6.5084	5.5391	5.3747
U133A__TUBB6	4.8682	6.5678	6.253	4.4901	9.8768	4.9213	9.5493	8.3339	9.2657	7.3934	8.5949	8.9081	8.7762	7.6112	5.3791	6.6415	9.8152	9.8057	8.0943	9.7499	7.4325	10.4802	9.0045	7.5802	5.0843	9.3439	8.4845	6.5456	10.1106	9.4057	9.6441	5.1798	5.5564	7.8651	8.1612	6.4891	9.5322
U133A__TNFAIP3	5.9295	6.7965	5.7553	5.6916	5.7218	5.7495	7.1966	6.4198	8.9139	6.1028	6.7203	8.4994	6.6061	6.4225	5.9136	5.9013	6.9691	6.7715	6.2094	7.2405	5.5353	6.3513	5.564	5.8709	5.9297	8.9282	7.7501	5.9432	6.3301	8.7543	8.0292	5.6503	5.5626	5.8664	6.2742	5.6705	5.6778
U133A__SLC24A3	5.6004	5.5097	7.0284	8.6046	4.2919	7.6789	4.5472	5.7657	8.3801	7.8815	6.0192	4.488	4.5344	4.5142	6.0343	7.7085	4.6155	4.9532	6.8012	6.2703	6.0407	4.3953	4.6406	6.2134	5.5668	4.1616	5.2417	5.3517	4.4037	4.821	4.696	7.0271	6.5218	6.8955	5.7622	5.5253	5.9244
U133A__IL8	4.0745	4.3172	4.1479	4.0587	6.6	4.1697	5.8725	5.1717	4.2146	4.2386	4.7313	7.1824	4.7397	6.9478	4.3148	4.0815	7.3904	5.6492	4.6508	8.9614	4.1859	5.4975	4.452	4.2646	4.5124	8.3977	7.6142	4.2288	4.3639	10.3657	7.7098	4.2191	3.4927	4.0444	4.273	4.2045	4.2885
U133A__BCAM	10.151	8.1702	8.9493	8.1994	6.1925	7.2428	7.4964	8.1735	7.7114	8.0871	7.3462	6.5328	7.6031	6.7278	8.1161	7.4603	7.2592	7.7261	6.6556	7.1254	7.3836	6.9566	6.6431	9.5823	7.5033	6.4178	7.0762	9.1546	6.9064	6.5732	6.4991	9.2367	9.1207	8.013	8.2831	7.997	7.2864
U133A__GCLM	6.0291	7.5479	5.4249	5.7461	7.6196	7.7395	6.217	5.5992	7.0837	7.1773	7.0669	8.3129	8.4717	7.7987	5.9682	6.114	8.1152	7.5195	8.4664	8.4537	5.8763	6.4362	8.8706	6.9329	7.2826	7.292	8.5339	6.6394	7.626	8.7869	8.1921	6.054	7.1043	5.0209	6.7278	4.8826	6.8645
U133A__MELK	7.4057	8.2586	7.7049	8.1506	9.2766	8.9561	9.3756	8.3064	8.9809	8.3003	8.785	8.8851	9.0786	8.8704	7.6241	11.0903	8.9656	8.5623	9.9242	8.7947	8.3998	8.8347	9.7051	8.938	9.0018	9.0216	10.21	8.7079	8.3682	8.1645	9.0565	7.3721	6.5906	7.9253	7.6879	7.8002	9.065
U133A__TRIM16	6.1574	6.1974	5.7526	6.4896	7.8195	6.6675	6.4563	6.8223	7.0869	5.7686	6.3137	9.1814	8.2659	7.3056	7.7113	6.6343	7.8839	7.5431	5.7772	7.4161	6.7198	7.6578	5.9195	7.4512	6.3	7.3268	7.1158	7.0752	6.5095	7.3537	6.161	7.2962	6.0595	6.0184	6.2297	6.5469	6.4635
U133A__TUBB2A	6.2823	6.2694	8.2123	7.7176	9.9627	8.8813	7.5257	5.6803	9.2026	6.4986	7.3227	9.463	7.6821	7.3947	5.7246	8.9698	8.7629	9.0162	7.6128	9.0731	6.297	10.051	8.7748	8.7845	9.0565	7.801	7.7803	6.235	7.9656	8.6791	8.5396	7.6596	6.409	6.0207	8.3106	7.8256	8.6647
U133A__PSIP1	3.5886	6.4073	5.1188	6.6778	8.2756	6.8945	8.4135	6.4199	7.555	4.4933	6.2788	6.1165	7.4217	8.1103	6.3365	4.5639	7.2935	9.1106	9.2339	6.9717	6.5724	7.1031	6.9404	4.8731	6.4635	6.81	6.4577	6.0784	4.2305	8.8722	6.341	5.5796	6.4744	5.9734	6.9431	5.742	7.0488
U133A__KRT5	4.8077	4.8878	5.0165	4.7598	5.3606	5.2034	5.1382	9.8089	10.1851	4.7424	5.3075	11.7433	10.7402	5.5063	5.4241	4.9714	8.9525	8.389	12.0252	5.8278	5.2101	5.0057	4.6854	5.0561	5.6323	5.1925	9.7834	5.3946	5.0225	8.8317	4.8533	4.9464	5.2698	4.9329	4.9699	4.9937	4.9555
U133A__KIAA0020	6.2247	7.3972	6.1192	6.9578	7.8359	7.9328	6.5805	6.6593	7.9097	6.3977	7.504	7.236	7.2485	9.4969	6.4433	6.0823	8.2661	8.2978	9.0329	7.6654	7.0906	7.2368	8.7173	6.2583	7.158	8.851	7.1276	7.242	6.6178	7.9298	8.3902	6.5087	7.1773	7.1141	6.5708	7.1869	7.9499
U133A__CEBPD	6.6929	8.6335	6.0731	7.3742	9.5029	6.3522	8.6464	8.0968	9.7249	7.1484	7.2111	7.8098	8.6922	7.3539	6.7642	6.9569	9.2087	8.8963	8.6788	6.0953	7.0844	8.7538	5.9531	6.0972	6.213	10.7514	9.1109	6.6089	8.2928	8.4856	8.7118	7.0693	5.3927	7.6899	7.834	7.6569	6.9549
U133A__CDCP1	7.0742	7.2215	7.3078	7.3245	5.7458	7.0456	7.1212	7.5834	6.5563	6.1087	5.8003	8.3644	7.5225	8.6177	6.9089	7.6904	8.2325	6.9611	7.7991	6.2206	5.5089	6.0267	6.5621	7.4171	6.5984	9.604	7.8789	5.7184	9.4111	8.3319	8.8519	5.8008	7.2886	6.9554	7.7043	7.4395	7.2068
SNP__SHCL1	0.37	-3.776	-0.146	0.229	-0.093	0.096	0.186	0.39	-0.191	0.284	0.058	-0.119	-4.672	-0.149	-0.357	-0.586	0.234	0.241	-0.253	-0.189	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	-0.163	-0.576	-0.138	-0.114	0.06	-0.305	-0.139	0.301	0.082	0.011	0.023
