Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__MTAP	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.088	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__RIMS1	0.009	-0.208	-0.243	0.001	-0.619	-0.508	-0.563	-0.083	-0.233	1.122	0.08	-3.083	-0.036	-0.169	0.02	-0.056	-0.125	0.423	0.686	-0.981	-0.047	0.011	-0.046	-0.129	0.41	0.231	0.284	-0.619	-2.669	-0.217	0.017	-2.44	0.01	-0.147	0.226	-0.315	0.062	-0.222	-0.379
SNP__KLRC2	0.038	-4.945	0.128	0.073	0.172	-0.258	-0.537	-0.087	0.204	-1.394	0.077	-0.416	0.21	0.23	0.269	-0.566	0.364	0.146	-0.033	0.007	-0.092	-0.216	-0.322	0.115	0.239	0.193	-0.051	-1.749	-0.206	0.108	0.002	0.177	0.016	-0.249	0.216	-0.858	-0.32	0.568	0.28
SNP__LOC391322	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-0.05	0.204	0.225	-2.156	-0.38	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__PTPRN2	-0.54	0.091	0.186	0.355	2.806	0.212	0.084	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.264	0.45	0.006	0.092	0.206	0.507	-0.225	0.13	-0.332	2.594	-0.039	0.258	0.53	-0.226	0.002	-0.266	-0.906	0.263	-0.308	-0.319	-0.288	-0.046	0.028
SNP__LOC441440	-0.26	-0.178	-0.209	1.861	2.288	2.394	0.064	-0.573	0.129	0.094	0.347	1.881	0.04	-0.124	-0.018	0.1	-0.29	-0.094	2.423	0.464	-0.088	1.694	2.642	-0.159	-0.186	0.2	2.292	0.047	-0.211	2.084	0.002	-0.053	2.049	-0.378	2.062	-0.139	-0.296	1.735	0.024
SNP__GSTT1	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-0.05	0.204	0.225	-2.156	-0.38	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__LOC402360	-0.647	-0.203	-0.236	-1.03	-0.262	0.094	0.044	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.165	0.285	-2.607	0.797	-0.081	-0.244	0.066	-2.711	-0.865	-0.064	-0.627	-0.228	-0.833	-2.568	-0.025	-0.357	-0.376	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__LOC653399	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-0.05	0.204	0.225	-2.156	-0.38	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__LOC643847	-0.033	0.113	-0.196	0.435	-0.1	0.207	-0.493	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.28	0.23	-0.021	-0.225	-0.181	0.093	-0.11	0.111	-0.222	-0.037	-0.033	0.051	-0.159	0.307	-0.016	-3.563	0.153	-0.242	0.194	0.326	0.074	-0.458	-0.383
