Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G422__CPS1__CPS1	1.3428	9.0993	1.0211	1.1599	4.925	0.83486	4.9075	0.81184	0.4792	0.87761	4.1395	0.21482	0.82946	0.61374	1.8133	2.6059	6.8249	0.78187	4.417	2.0133	1.2217	2.1543	0.072361	3.3367	3.4999	5.4563	2.1135	7.6831	4.0476	4.5245	0	0.9641	0.19793	0.38459	1.6239	1.5688	2.0586
RS_G13473__C18orf4__C18orf4	2.916	0.19285	1.8636	0.81516	6.8813	2.0898	3.5813	2.2879	0.32997	0.85351	1.2471	4.2512	0.70224	0.051857	2.0646	2.9336	0.30277	0.5877	5.6726	0.27885	0.83484	5.3935	0.6096	3.6129	0.593	0.79273	2.0735	0.074512	4.3534	3.7589	0.58445	2.8849	3.8849	0.37249	0.51605	1.2527	2.7154
RS_G13255__CDH2__CDH2	0.95252	0.11179	3.8179	3.037	9.5863	0.59708	7.9074	7.9637	0.065964	0	3.3876	4.6749	1.3151	0.59305	0.62312	7.3261	9.9603	0.65088	8.8508	0.061776	0.34768	6.7543	1.1428	0.95446	5.4598	2.9731	3.3556	0	2.3343	4.6813	0	5.7937	0	0.64866	0.92462	1.9772	1.4403
RS_G1232__CRMP1__CRMP1	3.3209	0	3.014	5.2991	3.059	0.64075	0	2.2175	0.16006	3.0892	5.3528	2.3382	2.547	2.0576	0	5.2997	3.5543	0.87195	3.3146	0.28254	0.15011	9.1072	0	2.1643	5.713	3.2428	5.8901	0	2.8821	0.8311	2.2466	1.6613	2.1455	2.2182	3.4145	5.8315	4.9652
RS_G1423__FGFR1__FGFR1	2.6223	0.54709	6.777	7.0974	8.0925	6.9204	4.5239	7.3206	6.1057	6.3256	6.6419	3.1821	5.3519	4.853	3.7117	5.5053	9.0117	5.0448	7.8731	6.4148	5.8034	12.806	7.7839	7.0505	8.0027	5.9527	8.4868	3.107	8.9611	3.8054	6.8247	4.3479	7.1144	5.0337	7.5974	8.1537	7.5687
RS_G6011__RP11-526D8.3__RP11-526D8.3	2.9849	1.1162	2.0449	2.4218	1.0407	3.8038	3.8918	2.1486	2.674	1.9041	1.3642	1.7846	2.3432	2.5619	2.1505	1.7005	3.4867	0.83674	1.1684	2.7743	2.0927	4.071	4.1106	1.8802	2.2954	0.84248	5.867	0	4.2372	5.5314	0.1666	1.2526	1.5343	0	1.9734	0.70079	2.5296
RS_G2317__APOL1__APOL1	6.4481	3.5227	1.1643	3.4552	1.3012	1.7057	1.6865	2.7365	1.9927	3.9666	2.1987	7.3525	5.8806	5.1321	3.1321	2.7101	1.9318	9.1905	3.9423	2.3652	1.4636	7.2779	3.1483	5.25	5.4197	1.4483	2.2611	1.1195	0.95525	2.0358	6.9462	7.6264	2.5759	3.1136	3.0261	1.8619	1.1437
RS_G6259__MMP28__MMP28	0	0	0	1.6614	0	0	0	3.1625	0.41036	0.39913	0	3.4994	6.8926	1.2407	0	0.21236	0.10499	3.6345	0.4363	0	0.62521	1.5814	1.8646	0	1.1152	0.35892	0	0	0	3.2915	2.044	8.2419	0	2.4898	2.5609	0.82317	0.15459
RS_G5403__TWIST1__TWIST1	1.1861	0.26983	4.0614	2.5713	7.0209	4.5511	4.8892	6.1671	5.4578	0	2.0334	3.7229	0.6241	2.8708	0	3.3893	5.7755	0.27115	6.474	0.1556	3.8512	4.3436	4.386	0	2.9119	0	3.4374	0	9.2954	6.6104	1.3277	5.6725	0.46509	3.096	0.62456	5.3279	4.0443
RS_G7618__TUBB2B__TUBB2B	0.6419	1.2852	2.7343	2.1775	4.6515	2.6451	5.2601	2.1866	2.6752	0.88256	2.2056	4.5164	2.3003	2.5969	0	0	4.9227	0.12196	4.3648	3.706	1.1441	9.0735	3.4978	0.24815	6.4618	1.07	3.7079	1.8673	5.1284	0.27039	3.4292	3.8959	2.2462	1.4548	3.7105	5.3435	1.9697
RS_G1906__ICAM1__ICAM1	5.8954	4.5585	0.6419	3.9904	0.75254	4.0039	3.6008	1.596	2.0527	4.2381	11.2307	4.9372	7.9394	6.7583	4.6935	4.4833	3.4969	7.6289	2.6603	4.8286	5.0179	1.8138	6.6162	4.6042	5.1194	5.6166	10.5298	4.1407	1.2766	8.1046	4.9539	4.9325	0	4.0788	4.094	4.029	1.5646
RS_G4349__WNT5A__WNT5A	3.982	2.045	1.8769	1.9481	4.5212	0	3.6975	6.6438	0	0.12663	2.9122	2.7777	4.8234	4.5715	0.33471	3.6876	7.6926	5.9567	8.5689	0.47057	0.98972	1.5977	1.009	4.6257	0.93054	3.3416	4.6322	6.5403	5.0767	6.3914	3.2081	0	5.2859	0.33479	0.364	3.2077	1.2231
RS_G8292__GNAL__GNAL	3.5862	2.2726	0.75194	1.1291	0.1668	0.58905	3.9051	2.6914	0.67822	1.1957	2.9918	1.2062	2.6674	3.154	0.69635	4.6185	6.5191	2.6555	0.7652	0.63683	0.24426	2.208	0.49114	0.76667	3.4364	0	1.6073	1.8608	5.4983	3.0848	3.9592	0.26046	2.5007	0.43151	0.84448	3.7674	3.8357
RS_G16550__CSAG2__CSAG2	0	6.6849	0	0.27141	0	0	0	0	0	7.1887	1.7652	5.59	1.8358	3.9262	0	0.27825	0	3.2175	4.662	0	0	0	6.6123	5.7519	0	0	0	7.4039	5.651	0	6.0503	0.72602	0	0	1.0746	0	0.91116
RS_G3953__GPRC5D__GPRC5D	2.6057	2.7512	2.6011	3.2717	0	2.0069	2.0219	4.3231	3.6325	3.1167	1.9299	4.4397	1.2847	1.6856	0	0	0	2.1575	3.41	1.8971	2.534	3.6782	4.7138	2.7768	3.0597	3.4671	1.0356	2.661	0	0	2.8574	3.3235	3.671	0	2.5264	0	0.34313
RS_G15192__FAM101A__FAM101A	0	0	5.0831	3.729	0	4.3808	1.9118	0.12967	0.23103	1.0259	0	1.2172	2.5187	0	1.0962	0	0.48686	0	0.24737	0	0	1.9609	1.1709	0.95138	4.1848	3.6832	3.3613	0	0	5.271	0	0	0	0	4.0247	5.5645	8.5957
RS_G21531__RAET1G__RAET1G	2.8144	2.9198	0.47879	0.54993	1.5764	0.57314	2.3707	3.0707	2.3424	1.2131	1.9137	2.2095	4.5472	2.9135	2.2515	1.926	1.1822	3.9902	1.8867	2.2481	1.3469	1.073	3.1325	3.5775	1.9008	0.51649	2.0151	3.4867	1.5783	5.3644	2.4284	7.7615	3.7997	4.5337	4.51	1.2429	1.1426
RS_G15650__OXTR__OXTR	2.6453	2.4034	1.4046	5.5286	5.2587	3.3789	7.0907	3.0554	3.0154	3.3339	2.5851	2.3122	6.7918	1.8936	0.76449	5.7407	2.9858	0.11011	5.3866	1.6268	2.3399	3.0596	3.9592	0.87158	2.2215	1.958	4.4511	1.8969	2.2283	0.53598	2.6827	2.7785	1.9298	0.59396	4.8693	3.8192	4.1112
RS_G18399__COL27A1__COL27A1	8.0644	3.0828	2.0741	2.2689	4.6199	1.0949	3.2578	2.9569	0.90782	3.614	5.2826	5.3374	4.1576	2.523	0.41767	3.6506	5.6747	0.97574	3.8578	2.98	2.2347	3.7904	2.5515	4.1375	4.2895	0	6.1948	0.59387	3.3792	4.4903	2.0468	2.0487	0.68578	1.3211	3.9043	3.7676	2.8506
RS_G7269__HEY2__HEY2	3.6871	0	4.2335	5.6502	1.3674	1.1515	2.5575	0.48244	3.959	1.6937	2.4811	2.3717	2.5058	0.93292	0.35462	1.007	0	6.9965	3.4334	4.8089	0.82328	5.3503	1.4155	2.29	5.3855	0.59431	4.5517	0	4.2589	0.77271	1.6052	0.28944	3.3842	0.64409	6.0077	5.5727	5.2139
RS_G5308__TNFSF10__TNFSF10	7.4598	3.8064	6.2377	6.7549	0.14673	2.2596	0.44806	0.89885	7.403	6.2489	1.8662	4.0073	5.596	7.5225	4.5777	5.9926	0.27813	10.8217	0	0.28181	2.6571	5.9145	3.0257	3.778	5.0998	5.7963	0.39116	0	0	2.1075	8.5317	3.6864	7.5606	6.4195	4.4717	5.434	0.95845
RS_G1317__SEMA3A__SEMA3A	0	1.446	0	0	4.8682	0	0.22776	5.911	0	0.55754	0.085551	5.9332	2.6768	1.7369	0.55589	0	4.2407	4.3885	4.1137	0	0	0	1.2805	5.4226	0.046512	0	0	0	0.32428	0.92652	0.62186	2.2665	0	0.83084	0	0.13429	0
RS_G4095__RBM24__RBM24	0	0.18099	2.7361	6.8059	5.2114	5.5365	3.1305	0.67503	2.4326	6.8352	1.4929	1.5526	2.9359	0.57117	0.20004	4.7801	6.5447	0.48409	3.744	3.949	2.8777	9.1516	0.62792	7.44	4.9553	0	1.0486	0	4.2684	0.54062	0	0.30704	0	5.4843	2.1862	3.1769	2.4745
