Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Meth__cg17048483__RBM7	0.7674	0.016839	0.018859	0.025103	0.021796	0.018103	0.028467	0.012882	0.013514	0.026333	0.017911	0.015367	0.036238	0.018482	0.019489	0.016717	0.027003	0.018423	0.024036	0.95982	0.023468	0.020047	0.04235	0.026148	0.05692	0.03041	0.030542	0.020015	0.016851	0.015058	0.014879	0.018594	0.01865	0.054279	0.020986	0.024726
Meth__cg24874111__ZNF562	0.032112	0.036823	0.031402	0.035961	0.027493	0.025637	0.036724	0.70292	0.022336	0.038299	0.035371	0.031895	0.052083	0.022271	0.28928	0.024151	0.053175	0.027617	0.045115	0.036151	0.027458	0.028145	0.087941	0.030487	0.052818	0.051607	0.040301	0.033343	0.048272	0.031363	0.032815	0.036574	0.026868	0.24737	0.033165	0.03269
Meth__cg22397447__ALDH1B1	0.10109	0.043064	0.060811	0.59861	0.04755	0.039363	0.054633	0.025636	0.032217	0.098848	0.04291	0.090399	0.10872	0.051085	0.031122	0.025267	0.039357	0.03619	0.052654	0.1003	0.059516	0.033611	0.079433	0.081067	0.077357	0.075107	0.17025	0.046537	0.041086	0.032706	0.1575	0.033749	0.042337	0.18483	0.062068	0.046806
Meth__cg15705469__ZNF71	0.046444	0.038719	0.04281	0.043708	0.042687	0.033792	0.038868	0.039668	0.035375	0.03712	0.040432	0.028288	0.079698	0.035489	0.053338	0.035109	0.10116	0.034163	0.13138	0.043434	0.035362	0.033654	0.081025	0.044239	0.11255	0.1655	0.052297	0.046016	0.043864	0.038207	0.082584	0.030023	0.024341	0.078336	0.047728	0.048443
Meth__cg22130834__TTC22	0.078146	0.1155	0.44268	0.834	0.6642	0.73052	0.7379	0.028127	0.020928	0.81486	0.031796	0.029854	0.7401	0.036495	0.7826	0.032337	0.050958	0.25154	0.84627	0.68984	0.61594	0.024977	0.84952	0.52678	0.04702	0.87539	0.13808	0.076664	0.026437	0.1242	0.75613	0.024707	0.51795	0.071643	0.035208	0.08483
Meth__cg02503850__ADAMTS14	0.10862	0.040659	0.35555	0.32747	0.16054	0.043837	0.91661	0.055249	0.025571	0.52581	0.31239	0.17183	0.53049	0.032459	0.34492	0.036044	0.064078	0.0634	0.58161	0.56386	0.065736	0.18401	0.94513	0.055457	0.08382	0.94443	0.098284	0.031221	0.10139	0.058012	0.054921	0.10049	0.59689	0.048349	0.036028	0.098418
Meth__cg05590257__LOC201164	0.048472	0.038427	0.035091	0.045846	0.053638	0.030564	0.0686	0.038752	0.042496	0.052632	0.039946	0.02722	0.09271	0.056156	0.05061	0.037443	0.063183	0.037563	0.042504	0.056524	0.035733	0.035917	0.077656	0.043865	0.052922	0.18012	0.047625	0.038164	0.041624	0.047723	0.036953	0.033046	0.0349	0.13822	0.056496	0.044206
Meth__cg14009688__CALD1	0.39371	0.053199	0.072507	0.64896	0.12356	0.063161	0.62244	0.076398	0.057855	0.077276	0.079697	0.12522	0.69184	0.058352	0.053295	0.029725	0.090646	0.069061	0.38757	0.88458	0.080692	0.045051	0.12864	0.10778	0.1349	0.67742	0.16135	0.066341	0.059869	0.10962	0.13216	0.08753	0.18979	0.30398	0.11815	0.79401
Meth__cg02225847__FAM65A	0.046601	0.15466	0.071615	0.10503	0.083226	0.036687	0.22333	0.22974	0.055938	0.56396	0.050341	0.097486	0.4402	0.061863	0.913	0.035031	0.06341	0.03847	0.13665	0.36426	0.39439	0.15299	0.083839	0.18556	0.12974	0.52505	0.50503	0.31247	0.046105	0.044743	0.622	0.064551	0.037543	0.088364	0.12063	0.059851
Meth__cg19850348__PYGO1	0.31615	0.14007	0.73261	0.42853	0.97505	0.7649	0.9711	0.028318	0.030396	0.60668	0.069781	0.17975	0.90867	0.037791	0.148	0.02743	0.091027	0.026268	0.91555	0.93423	0.038671	0.51867	0.34811	0.046197	0.060478	0.97267	0.083177	0.028262	0.78028	0.69095	0.62217	0.10682	0.97874	0.81153	0.13546	0.71824
Meth__cg14289985__ZNF471	0.87626	0.041294	0.50006	0.67389	0.41752	0.052055	0.93421	0.34582	0.037117	0.041456	0.057813	0.093449	0.84552	0.059625	0.054118	0.038262	0.11542	0.10478	0.48861	0.94695	0.033281	0.034979	0.76511	0.066357	0.10799	0.90475	0.21547	0.056913	0.10337	0.7456	0.073808	0.34194	0.93107	0.12694	0.054144	0.14873
Meth__cg25807810__DKFZp434N062	0.04136	0.42248	0.045407	0.051939	0.040243	0.038839	0.036848	0.022955	0.034304	0.085366	0.032572	0.025494	0.065558	0.055634	0.031193	0.028536	0.08247	0.030775	0.28502	0.11619	0.03946	0.059956	0.11706	0.041409	0.058845	0.09256	0.35228	0.035365	0.049974	0.025695	0.17572	0.040873	0.031902	0.05638	0.041314	0.033696
Meth__cg25013852__PGM1	0.033798	0.16499	0.038659	0.20266	0.20737	0.034664	0.62792	0.033455	0.038614	0.089124	0.037773	0.027004	0.055789	0.035654	0.042673	0.043044	0.068571	0.030089	0.043961	0.080866	0.035194	0.048623	0.12392	0.054929	0.062301	0.065602	0.072822	0.025293	0.035945	0.030531	0.68722	0.045869	0.036455	0.1284	0.042625	0.045959
Meth__cg11396509__SIRT2	0.041777	0.056726	0.080387	0.15136	0.12098	0.036582	0.11098	0.040041	0.067348	0.093593	0.031864	0.11501	0.079221	0.062572	0.059555	0.033894	0.045137	0.030471	0.090909	0.091259	0.077541	0.046762	0.18993	0.40293	0.053063	0.10466	0.15382	0.045555	0.037706	0.036378	0.079293	0.039352	0.047095	0.11509	0.051929	0.046262
Meth__cg07557424__C9orf23	0.12163	0.068357	0.13989	0.68608	0.099724	0.10281	0.11196	0.1282	0.071324	0.09457	0.084178	0.10443	0.17041	0.057767	0.10782	0.10121	0.29781	0.060153	0.11506	0.17624	0.080051	0.10358	0.14648	0.077508	0.13421	0.13387	0.15092	0.085826	0.086303	0.10068	0.13972	0.083311	0.12753	0.2898	0.10397	0.082839
Meth__cg02528468__ATP11B	0.047581	0.081499	0.046152	0.21768	0.61569	0.042253	0.31367	0.047508	0.045569	0.07591	0.047215	0.021558	0.066048	0.053686	0.040172	0.035449	0.092487	0.046483	0.042733	0.66459	0.049894	0.043758	0.094901	0.052083	0.074088	0.17117	0.2377	0.046464	0.035576	0.034732	0.26334	0.043795	0.038881	0.6315	0.044358	0.080511
Meth__cg18581221__FLJ45645	0.018527	0.015362	0.018365	0.022281	0.028151	0.016057	0.022042	0.018658	0.013662	0.021062	0.018811	0.015672	0.028782	0.019264	0.37556	0.012761	0.027097	0.010422	0.018837	0.014587	0.015833	0.017556	0.052572	0.023043	0.044982	0.024796	0.036599	0.021367	0.017747	0.015485	0.02287	0.013832	0.017209	0.052358	0.025312	0.020205
Meth__cg18635110__C20orf116	0.068293	0.064308	0.064769	0.057546	0.046624	0.044366	0.070425	0.036992	0.05093	0.46486	0.047904	0.041511	0.071131	0.053205	0.075788	0.040466	0.078092	0.055481	0.076833	0.06892	0.05233	0.042235	0.07065	0.06644	0.074467	0.12055	0.085202	0.054306	0.065625	0.063331	0.041763	0.053476	0.049937	0.092281	0.070743	0.077949
Meth__cg12701101__DKFZp434N062	0.056583	0.37827	0.055595	0.048264	0.047404	0.048787	0.077891	0.046961	0.047016	0.059364	0.052324	0.064117	0.063682	0.042986	0.069656	0.042142	0.090977	0.039136	0.49672	0.26835	0.05194	0.037489	0.094735	0.057568	0.10236	0.099187	0.12739	0.048107	0.046445	0.042927	0.39867	0.045571	0.043371	0.068347	0.056411	0.043811
Meth__cg20927059__TFCP2	0.018044	0.59939	0.01838	0.049506	0.58216	0.019048	0.83873	0.014717	0.014447	0.85554	0.018258	0.011189	0.96376	0.10783	0.021513	0.01561	0.064212	0.013298	0.96869	0.36057	0.019993	0.029886	0.033934	0.23118	0.036059	0.14323	0.13696	0.016475	0.0158	0.018132	0.38603	0.025608	0.022554	0.27292	0.015967	0.42399
Meth__cg01505590__PHLDA2	0.027634	0.015987	0.016926	0.033541	0.025877	0.032605	0.031511	0.018719	0.019438	0.031768	0.026236	0.01672	0.042913	0.022346	0.020669	0.020424	0.053064	0.015898	0.028771	0.027261	0.029031	0.011675	0.072933	0.039051	0.041368	0.052775	0.045216	0.28609	0.018175	0.015497	0.021054	0.024616	0.018316	0.036797	0.031634	0.028713
Meth__cg24956866__CALD1	0.31381	0.040796	0.035549	0.66659	0.1671	0.049422	0.64143	0.036924	0.03416	0.042049	0.033762	0.063393	0.80224	0.02988	0.024081	0.032202	0.042352	0.031433	0.55963	0.89043	0.036298	0.022213	0.083688	0.11497	0.08449	0.25931	0.044035	0.044645	0.031334	0.02833	0.14949	0.05302	0.21822	0.059346	0.052034	0.81938
Meth__cg12601757__ST6GALNAC3	0.67353	0.032275	0.62075	0.6809	0.91763	0.033151	0.88099	0.034291	0.028207	0.045512	0.039084	0.045902	0.49139	0.03786	0.52824	0.033254	0.25934	0.024351	0.90572	0.66411	0.042205	0.042159	0.69633	0.84849	0.23674	0.76201	0.039416	0.077338	0.034806	0.042674	0.7142	0.7217	0.56647	0.070784	0.90577	0.82868
Meth__cg21844956__TRIM38	0.07912	0.036855	0.09234	0.3832	0.096231	0.7444	0.68472	0.074583	0.065012	0.58858	0.072637	0.084316	0.097211	0.084162	0.059028	0.037645	0.064305	0.048677	0.428	0.67754	0.10481	0.076267	0.1021	0.11425	0.076518	0.71723	0.13375	0.87464	0.038596	0.067164	0.78574	0.051703	0.082243	0.12897	0.29299	0.075249
Meth__cg00995327__CHST2	0.67175	0.04784	0.84857	0.75502	0.49822	0.046874	0.9651	0.086184	0.057507	0.93258	0.10316	0.03836	0.75204	0.4142	0.054506	0.055154	0.082666	0.046193	0.95221	0.38206	0.051815	0.056393	0.47195	0.95258	0.57525	0.91096	0.092729	0.057507	0.5015	0.056366	0.96329	0.070247	0.8264	0.91942	0.50221	0.77903
Meth__cg01620308__PRNP	0.066443	0.053402	0.059464	0.070485	0.08	0.051948	0.2321	0.10298	0.045827	0.13543	0.051533	0.080336	0.097613	0.070227	0.082049	0.0445	0.10648	0.063535	0.096599	0.53722	0.06355	0.051111	0.085722	0.089502	0.20085	0.16358	0.095789	0.073393	0.05011	0.056856	0.088006	0.055344	0.060263	0.27647	0.075113	0.097014
Meth__cg03289872__ZNF667	0.94389	0.041867	0.02803	0.90315	0.027271	0.016565	0.92709	0.49939	0.021979	0.92602	0.048038	0.076653	0.90945	0.20341	0.053988	0.020615	0.14214	0.13388	0.90972	0.47119	0.019784	0.023711	0.83436	0.24297	0.088418	0.70931	0.31653	0.026463	0.4036	0.42331	0.36915	0.13109	0.66551	0.066995	0.88613	0.84158
Meth__cg10639440__SCRN1	0.066373	0.064153	0.075265	0.067097	0.068243	0.055283	0.083891	0.054899	0.04388	0.055256	0.06539	0.067632	0.15494	0.070003	0.93952	0.057949	0.12176	0.03685	0.073058	0.057528	0.053873	0.038886	0.14725	0.067127	0.11538	0.14938	0.090645	0.071612	0.051625	0.051376	0.058572	0.046526	0.044417	0.10776	0.063918	0.057199
Meth__cg09514589__ETFA	0.045616	0.039327	0.047522	0.049717	0.033635	0.042887	0.057229	0.036788	0.051372	0.052628	0.040357	0.048521	0.11392	0.051397	0.29088	0.038006	0.077377	0.04009	0.046668	0.66906	0.049496	0.035261	0.083555	0.051522	0.076652	0.20929	0.06969	0.043621	0.041337	0.036752	0.063804	0.037141	0.045581	0.11242	0.051212	0.040321
Meth__cg17749443__ZFP37	0.71083	0.021507	0.028475	0.97393	0.018479	0.019686	0.6997	0.02128	0.023233	0.026442	0.024116	0.015272	0.74645	0.27067	0.032156	0.0207	0.055728	0.024789	0.62849	0.53117	0.026189	0.018505	0.4551	0.44766	0.031776	0.072778	0.037789	0.028431	0.028122	0.030686	0.13421	0.020543	0.31613	0.046866	0.034275	0.52598
Meth__cg06953995__PALM2-AKAP2	0.03849	0.042196	0.052538	0.43125	0.061552	0.03193	0.53555	0.020859	0.035055	0.04219	0.031588	0.062429	0.083712	0.044139	0.047681	0.031808	0.059098	0.032092	0.27469	0.073438	0.0483	0.10288	0.056929	0.049773	0.051387	0.61766	0.10278	0.035915	0.031697	0.032017	0.11345	0.042383	0.13207	0.064151	0.053695	0.039254
Meth__cg03634997__GAS8	0.08815	0.038336	0.036308	0.043284	0.028418	0.028398	0.037967	0.027177	0.045829	0.046971	0.053912	0.046277	0.053519	0.034528	0.037875	0.035404	0.036072	0.022448	0.036903	0.057616	0.090816	0.021611	0.091564	0.026456	0.054462	0.097731	0.087788	0.62939	0.029843	0.035448	0.047866	0.027815	0.030522	0.062192	0.050982	0.042775
Meth__cg13332925__DKFZp451M2119	0.0326	0.025575	0.020567	0.033151	0.55266	0.028838	0.034656	0.029039	0.023799	0.034238	0.02602	0.037151	0.52361	0.031155	0.028155	0.026429	0.071435	0.027443	0.94636	0.02866	0.027364	0.023787	0.089595	0.0409	0.048574	0.16669	0.05525	0.021159	0.024082	0.022973	0.14995	0.028104	0.022809	0.32809	0.040732	0.038052
Meth__cg24713204__ZNF471	0.4787	0.054523	0.066749	0.52543	0.47306	0.028809	0.91455	0.58208	0.027639	0.043583	0.049849	0.07815	0.791	0.3946	0.036216	0.040037	0.09147	0.26946	0.67628	0.9438	0.13197	0.040786	0.83872	0.059343	0.30687	0.90992	0.18272	0.040245	0.38722	0.66838	0.48623	0.41964	0.94707	0.68208	0.1309	0.47568
Meth__cg05215575__FLJ25410	0.034379	0.032988	0.60775	0.038619	0.023176	0.83166	0.035623	0.92576	0.88725	0.029324	0.75914	0.85146	0.41107	0.5948	0.58972	0.93361	0.44368	0.045638	0.027996	0.031053	0.85727	0.07105	0.072207	0.026062	0.10471	0.060245	0.046246	0.62613	0.36891	0.23519	0.06065	0.036967	0.09767	0.18883	0.031693	0.039973
Meth__cg00476577__ZNF217	0.04839	0.029019	0.074971	0.12792	0.040071	0.031371	0.041428	0.03513	0.048631	0.098576	0.033444	0.034241	0.046507	0.040419	0.032805	0.031621	0.054279	0.044871	0.32744	0.074404	0.039459	0.037704	0.11313	0.03841	0.050556	0.10249	0.049411	0.046022	0.047644	0.062429	0.026623	0.029245	0.043815	0.12062	0.030089	0.026715
Meth__cg24692716__C6orf192	0.024607	0.017103	0.033603	0.038522	0.029529	0.0182	0.029586	0.014017	0.022577	0.025794	0.024831	0.020306	0.068724	0.022837	0.018087	0.013811	0.055075	0.019854	0.029906	0.18753	0.027585	0.019978	0.065358	0.024827	0.048376	0.02577	0.026762	0.0272	0.025385	0.020846	0.034622	0.017682	0.020594	0.049333	0.029046	0.034447
Meth__cg23349242__SUSD2	0.072809	0.057536	0.5905	0.49761	0.10584	0.89215	0.12727	0.83461	0.89473	0.050367	0.84926	0.56531	0.53325	0.76376	0.11375	0.87863	0.67828	0.3668	0.44602	0.15292	0.74445	0.31836	0.44125	0.33295	0.10301	0.65673	0.077034	0.24451	0.66256	0.62861	0.076095	0.06519	0.041201	0.11417	0.078561	0.684
Meth__cg18665023__ATP5O	0.037436	0.030799	0.028213	0.040282	0.037254	0.026985	0.036357	0.020888	0.028285	0.038918	0.030641	0.040699	0.10257	0.033774	0.034449	0.027422	0.043311	0.020029	0.04604	0.039495	0.032828	0.030335	0.063116	0.048344	0.073588	0.052299	0.047986	0.025961	0.028041	0.030038	0.034913	0.035258	0.03382	0.23235	0.032541	0.067021
Meth__cg04565661__SEMA5B	0.037954	0.035447	0.030024	0.048691	0.025486	0.033242	0.043862	0.027519	0.023681	0.036655	0.041927	0.023059	0.23601	0.035744	0.099831	0.024058	0.040476	0.02615	0.034072	0.8676	0.043235	0.036699	0.10598	0.040433	0.051431	0.080616	0.051176	0.13449	0.03234	0.033669	0.09335	0.029137	0.62244	0.064363	0.049237	0.055082
Meth__cg10163825__C16orf25	0.046491	0.082308	0.92063	0.084318	0.037719	0.97072	0.072378	0.91759	0.12447	0.090737	0.91888	0.96899	0.6019	0.12425	0.79994	0.49011	0.30667	0.94158	0.070051	0.044089	0.94714	0.12942	0.80063	0.3139	0.06418	0.10541	0.1375	0.26326	0.19038	0.45243	0.48138	0.24411	0.81978	0.086415	0.047196	0.33991
Meth__cg10073091__DHCR24	0.051122	0.058817	0.061276	0.056872	0.15175	0.054589	0.058299	0.072913	0.051089	0.08117	0.056033	0.047142	0.089323	0.059775	0.50723	0.04365	0.067646	0.058552	0.0604	0.094562	0.23057	0.05426	0.10153	0.051673	0.09849	0.075369	0.14653	0.068252	0.067684	0.06211	0.047302	0.059102	0.049484	0.084028	0.063074	0.055076
Meth__cg27627570__CEECAM1	0.035025	0.028999	0.031579	0.029716	0.029023	0.035909	0.039837	0.032231	0.02046	0.042028	0.030918	0.04069	0.061922	0.023067	0.03833	0.024341	0.15633	0.026185	0.041014	0.046932	0.035763	0.023019	0.073606	0.039679	0.090457	0.079658	0.10537	0.035906	0.032305	0.025655	0.025596	0.65623	0.038594	0.052937	0.038168	0.03763
Meth__cg00524288__UPP1	0.052548	0.053327	0.076631	0.099342	0.17832	0.063532	0.079375	0.043907	0.05388	0.077221	0.063404	0.064795	0.10724	0.065424	0.046439	0.050352	0.11502	0.041932	0.081663	0.27272	0.062947	0.055619	0.12695	0.092731	0.098959	0.49562	0.10745	0.044324	0.057517	0.051447	0.16324	0.053778	0.050904	0.10404	0.065696	0.087293
Meth__cg13263483__GJB3	0.6944	0.098112	0.068307	0.40454	0.11798	0.81356	0.77135	0.04464	0.083918	0.039165	0.76608	0.021295	0.084685	0.076357	0.94574	0.036227	0.054002	0.029583	0.76687	0.12526	0.08789	0.055369	0.72862	0.059236	0.037807	0.81343	0.17521	0.29889	0.027617	0.048109	0.82959	0.03744	0.93517	0.14179	0.042477	0.077493
Meth__cg00666746__SYDE1	0.41238	0.030133	0.324	0.66617	0.77062	0.073923	0.94867	0.052147	0.036128	0.34151	0.067596	0.032832	0.34307	0.043688	0.091044	0.17529	0.024571	0.13046	0.57288	0.97031	0.082913	0.3788	0.094208	0.75963	0.13832	0.94463	0.05243	0.078448	0.021204	0.074675	0.95397	0.042409	0.93969	0.29767	0.14649	0.041897
Meth__cg00164898__MAPK11	0.047565	0.3592	0.10422	0.082924	0.090096	0.052636	0.081587	0.043256	0.060949	0.069716	0.068483	0.066139	0.41898	0.077398	0.43111	0.063467	0.071175	0.21935	0.084333	0.073898	0.2246	0.050812	0.14588	0.12746	0.10361	0.20292	0.16849	0.088681	0.28097	0.081	0.26367	0.10805	0.081592	0.14817	0.057129	0.052064
Meth__cg14166009__HKR1	0.095361	0.34495	0.93104	0.099768	0.066724	0.9424	0.16747	0.96234	0.53119	0.22867	0.13539	0.43737	0.59846	0.45573	0.06789	0.69719	0.12856	0.36033	0.33168	0.079024	0.11461	0.14215	0.89951	0.445	0.27628	0.087438	0.072596	0.14466	0.10048	0.61053	0.39191	0.13579	0.10133	0.4946	0.092653	0.64182
Meth__cg16829450__NTN4	0.036872	0.031846	0.036441	0.039797	0.05658	0.02827	0.046118	0.026333	0.021061	0.038398	0.042476	0.047619	0.1068	0.038674	0.64922	0.027618	0.0617	0.026258	0.040062	0.19898	0.033837	0.022682	0.091609	0.042147	0.058542	0.070178	0.05003	0.032121	0.023893	0.033723	0.029246	0.02499	0.03288	0.064633	0.039087	0.037821
Meth__cg01819572__IL17RD	0.038485	0.03294	0.063578	0.068215	0.04282	0.047438	0.053261	0.029306	0.027874	0.042753	0.043303	0.056133	0.084993	0.027011	0.037396	0.047627	0.069724	0.027312	0.058424	0.051054	0.060459	0.027001	0.052394	0.03957	0.049732	0.05064	0.073867	0.037959	0.03502	0.031876	0.036621	0.040198	0.037776	0.095	0.03636	0.029615
Meth__cg23996241__AP2B1	0.024115	0.019297	0.030667	0.39821	0.021969	0.022525	0.021782	0.017043	0.022178	0.025847	0.019218	0.021733	0.047615	0.019718	0.020806	0.021104	0.041773	0.020252	0.0226	0.021832	0.026685	0.024276	0.064167	0.026148	0.041764	0.042063	0.044463	0.025664	0.026712	0.025559	0.018145	0.030394	0.018127	0.033288	0.021176	0.021372
Meth__cg10398950__CRKRS	0.0519	0.045697	0.061678	0.065233	0.031258	0.054704	0.053777	0.075274	0.046314	0.056837	0.045878	0.053147	0.51409	0.05037	0.054646	0.047843	0.07391	0.054774	0.058165	0.093499	0.052774	0.045973	0.11126	0.055692	0.061271	0.09533	0.1559	0.32523	0.055697	0.057352	0.055567	0.044252	0.03512	0.069741	0.062268	0.040592
Meth__cg06311778__TENC1	0.027226	0.074814	0.039776	0.16679	0.25163	0.025369	0.059926	0.035183	0.032074	0.069591	0.22778	0.32364	0.87117	0.03529	0.24753	0.023674	0.049913	0.02208	0.2635	0.68938	0.072761	0.43855	0.058676	0.44383	0.09214	0.11971	0.50299	0.028432	0.30195	0.068666	0.92546	0.10645	0.032269	0.078851	0.068109	0.036381
Meth__cg02975142__FLCN	0.040513	0.032007	0.039206	0.053265	0.048856	0.033724	0.066776	0.044096	0.042271	0.057974	0.039467	0.035714	0.051753	0.039955	0.031916	0.0425	0.047157	0.026667	0.050352	0.052214	0.033664	0.046169	0.071525	0.049128	0.10868	0.056149	0.060647	0.62791	0.043496	0.076881	0.031641	0.038049	0.029859	0.084983	0.047636	0.044797
Meth__cg21975377__FZD6	0.054756	0.042492	0.04641	0.37893	0.054086	0.035936	0.42378	0.034559	0.052045	0.050746	0.047588	0.030954	0.078501	0.038705	0.0353	0.035512	0.089874	0.030966	0.041086	0.54483	0.21951	0.16749	0.10508	0.049765	0.060942	0.35436	0.056623	0.40796	0.036136	0.036713	0.043973	0.024358	0.043694	0.67252	0.050216	0.034585
Meth__cg03359508__ANXA11	0.029616	0.027297	0.057275	0.02963	0.069556	0.026833	0.060383	0.025178	0.036923	0.13883	0.037766	0.031848	0.065688	0.040398	0.039388	0.02797	0.071343	0.029855	0.04892	0.4555	0.33952	0.030468	0.043875	0.050195	0.054658	0.44155	0.033797	0.031259	0.032059	0.025776	0.049716	0.040412	0.028258	0.059622	0.027448	0.035331
Meth__cg13191049__DMN	0.97259	0.6425	0.052618	0.055603	0.98039	0.05648	0.96842	0.04782	0.070633	0.97407	0.063312	0.068574	0.1764	0.053097	0.051755	0.045772	0.21918	0.077069	0.88735	0.7998	0.069113	0.61663	0.94357	0.079309	0.87869	0.1555	0.12531	0.074122	0.05522	0.068552	0.079014	0.065142	0.66641	0.96432	0.063514	0.072033
Meth__cg15676084__ENAH	0.020512	0.18592	0.030289	0.026767	0.06245	0.023045	0.032176	0.013305	0.016664	0.025042	0.024826	0.023464	0.035093	0.021221	0.021167	0.015721	0.027362	0.019534	0.030129	0.036702	0.025421	0.015652	0.042452	0.030326	0.041676	0.53733	0.033798	0.022362	0.022246	0.019599	0.62623	0.017305	0.021382	0.043696	0.026199	0.026642
Meth__cg26358059__GSTO1	0.015776	0.021977	0.021299	0.024424	0.018352	0.017575	0.025236	0.010474	0.01755	0.019736	0.014779	0.013028	0.02783	0.021011	0.016893	0.018922	0.032669	0.0081889	0.021245	0.015288	0.019424	0.012608	0.042338	0.01933	0.017902	0.048054	0.04232	0.016267	0.010797	0.011427	0.75068	0.017046	0.013751	0.042579	0.016542	0.015483
