Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
RS_G12975__IL8__IL8	2.4162	0	0.28144	1.3546	5.0009	0.48587	5.3182	3.6831	0.14355	0	4.1919	5.2983	3.3396	5.781	0.47263	6.7404	4.9168	3.9488	7.2819	0.81189	0.25768	0.38226	0.39364	6.1665	0.83746	0	0	0.44358	6.3091	0.69434	0.7175	0	0	0.18315	0	0
RS_G11321__IGFBP7__IGFBP7	0.48984	0.20472	0.64677	0.22802	4.9569	0.60953	10.1072	4.3762	0	0.96387	5.4059	8.8986	8.1983	0.71009	1.6	9.7724	4.1764	5.9428	11.5239	1.4949	0.22795	0	0.6282	9.8327	0.10584	0.93944	0	0.70873	4.6982	9.9865	0	2.6526	3.9518	0	0.57635	0
RS_G2763__MSLN__MSLN	1.9172	1.1072	0.26865	1.2587	0	0.65029	3.3609	0.69047	0.922	0.46614	3.6581	8.9361	4.948	1.1454	0	3.8141	0	4.6543	1.4248	1.3942	0.55045	0.8186	8.216	1.9546	0.64745	0.59172	1.0695	1.0139	12.2802	2.7117	1.1483	1.5429	1.1955	1.0018	1.4456	0.34563
RS_G11751__DLC1__DLC1	0.52174	1.3191	0.98144	2.5792	0.43438	3.7499	4.3824	3.6961	0	5.6513	3.3982	3.7535	2.7178	0.031946	0	2.4551	5.2094	0.060786	8.0268	4.6003	3.4051	0	0	7.5742	0.45432	0.22823	2.4852	0.53131	2.3611	4.4893	0	1.6785	1.2521	0	3.4241	3.5875
RS_G4436__CCL20__CCL20	1.9698	0	0	0	0.92801	0.95898	0.82603	1.8539	0.57533	0	9.1032	2.6324	1.6539	0.51556	0	6.5061	0.53131	1.0229	0.60805	0	0	0	0.45769	0.90037	0	0	0	0	6.4299	3.4352	0	0	0	0	0	0
RS_G7670__DDX60__DDX60	3.8387	0.32032	2.7237	6.0772	1.8134	2.4436	2.2916	3.7062	1.2384	2.325	7.7036	2.3434	6.1506	3.5657	4.5014	1.0877	3.1529	7.8636	1.6225	1.3036	1.3175	5.3043	0.698	3.1707	0.73398	0.62401	0	0.73295	3.8316	3.7637	2.1658	1.8779	1.3425	1.0127	1.1743	0.43139
RS_G8362__PNMT__PNMT	0.44623	4.8999	7.3726	5.2727	0	1.4466	0.33162	0.4332	11.4553	1.7285	1.4818	0.57924	0	3.0748	8.8248	0	2.0961	0.97013	0.42865	1.4931	0.68934	7.0506	4.7939	0	6.2953	2.8879	4.8305	0	1.6774	2.6683	0	2.3264	10.3755	10.719	2.1811	0
RS_G16982__IFIT1__IFIT1	4.0272	0.24404	1.6038	8.4349	2.6931	1.5317	3.5077	4.2694	0.73486	5.2973	9.1722	6.0939	6.5673	6.0911	6.388	1.8643	3.3544	10.3925	2.1393	3.6083	3.6486	6.109	2.752	6.2823	1.4311	1.9978	0	1.8031	5.7124	3.6724	3.048	5.5259	0.1874	0.88048	1.7547	0.9293
RS_G2195__SUSD2__SUSD2	9.5721	12.9805	4.5994	6.4995	0.77228	6.1627	4.8384	0.6937	7.5174	10.8044	1.7112	4.6173	6.3905	5.5285	10.1244	8.6238	3.3648	2.2529	5.9218	6.0348	5.1737	8.0181	8.8025	5.7008	10.4084	9.9673	12.6232	1.6938	8.6608	6.8074	10.2734	4.6774	8.3618	9.9627	3.7359	2.6465
RS_G3807__LPXN__LPXN	4.4572	3.8249	4.6454	3.0135	4.0192	4.0199	3.3559	5.9285	1.6903	3.703	5.2704	7.4217	5.7899	3.8946	3.3023	5.7034	3.7592	6.6655	8.9465	4.1342	2.9364	4.5474	3.5991	6.0065	3.4461	4.0319	3.5122	4.9321	3.6065	1.4933	4.6376	4.4154	3.9342	3.1281	3.882	3.6265
RS_G2752__C13orf15__C13orf15	1.6778	0	0.2523	1.5405	1.0073	0	7.0141	5.6897	0	1.543	1.4384	2.3605	3.5916	1.9013	0	5.5066	1.8871	5.2724	0.83926	0	0.42973	0.44241	2.8603	4.7928	0.80035	0	0	0.40215	4.3445	2.0999	2.9343	1.478	0.3017	0	2.636	1.8022
RS_G15926__RGMA__RGMA	6.6212	0.66506	2.3204	1.4114	3.8693	0	2.3197	7.0042	0.32865	1.3678	8.8727	1.2891	5.0712	0.52872	0	3.1229	0.60114	5.4599	0.17933	3.2546	0.92041	0.51386	6.0556	0	1.6905	0	0	3.5632	3.6555	1.3777	0.33244	4.1545	1.8524	5.6393	1.9628	1.7706
RS_G3964__MGP__MGP	12.7444	2.1266	10.3876	13.053	10.6511	7.0869	8.0389	10.2032	3.1229	10.7774	3.9569	1.3697	8.6133	12.1311	8.8839	10.4834	4.1418	13.2784	6.112	3.7236	6.4925	6.6738	9.692	3.8402	8.314	6.6113	3.6695	1.0938	9.938	2.1658	3.1152	12.988	6.25	9.0875	8.1643	5.2927
RS_G21870__CFB__CFB	7.9247	4.5184	0.31255	3.8213	0.89532	2.739	3.6614	3.2893	0.70097	1.3855	8.1322	3.8825	6.5621	4.8008	3.9497	6.0216	4.8521	9.7937	4.7979	1.984	1.1114	2.4423	5.5148	3.7497	0.63754	1.0439	3.5782	1.9396	7.9667	4.3264	1.2397	5.8114	1.358	3.1598	1.631	0.71358
RS_G7748__IFI44__IFI44	3.8056	0.59385	0.46246	6.1055	2.1195	0.30353	2.8333	7.1034	0.31583	4.6246	9.3298	6.5299	7.3962	6.8635	4.9226	2.6237	7.0366	10.8415	2.8004	0	1.098	2.4211	0.44083	6.4009	0	0	0	0.88563	5.9345	4.7341	0.59359	4.5095	0.20578	0.20695	1.2093	0.41488
RS_G13254__IRX1__IRX1	0	0	0	0	0	0	9.066	6.4132	0	0	0.24446	2.8355	0.71958	0.25437	0	3.6235	3.7902	0	0.86673	0	0.14025	0	0	0	0	0	0	0	3.8275	0	0	0	0	0	0	0
RS_G7338__SERPINE2__SERPINE2	2.3994	0.79327	3.83	2.2086	10.1196	0.18958	7.4411	11.5894	0.28363	0.46684	9.8235	6.7055	2.8475	7.0236	0	8.1647	6.4473	2.5456	9.5902	2.7962	1.3238	1.0935	5.4003	6.5495	4.3532	2.126	0	6.0111	6.9672	5.6749	0	0.83906	1.3572	0	3.4753	1.5784
RS_G4751__ST6GALNAC5__ST6GALNAC5	1.3493	1.0504	1.3399	1.0143	5.9416	0.2507	6.665	1.5309	5.1082	0.17517	7.3934	0.37743	6.2258	5.5602	0.23447	8.2988	7.1961	7.0426	1.3656	0	2.2612	3.6181	7.0606	5.7759	0	0	0	0.75056	6.2159	0.52553	0	0	1.0276	0	1.2189	0.95463
RS_G802__LAMC2__LAMC2	7.8004	1.3479	2.8528	5.2033	1.2503	0	9.9091	3.9319	2.2628	1.8877	2.4189	10.3037	10.1862	2.1806	2.5928	9.101	4.8812	8.625	4.9635	4.5273	2.5351	2.5013	7.2518	6.7557	4.1532	3.7465	0	1.5224	8.3867	11.0569	0.69749	5.7706	5.35	5.8036	3.5768	2.2536
RS_G3505__UNC5B__UNC5B	1.569	4.6928	2.858	2.9021	1.2545	2.3139	2.4338	4.1346	1.5493	1.6312	3.6245	5.6769	5.2498	2.9491	2.4618	5.1625	2.3407	2.4117	4.4737	4.1222	2.8653	5.4266	6.9351	0.54177	6.0143	8.494	6.1432	7.6038	5.3655	6.9528	3.0871	3.181	5.8601	8.6628	5.5405	5.4248
RS_G11045__AKR7A3__AKR7A3	1.5004	9.0838	2.8319	5.5429	2.3864	5.6015	0.33305	2.1664	10.1604	6.9813	3.9476	2.5796	2.6553	2.5611	3.5058	1.6885	1.8247	3.6119	3.3894	2.2465	2.6067	6.6687	2.6739	2.2116	8.4881	9.7412	7.4822	2.8625	4.159	3.0998	3.0519	5.115	7.2329	2.7329	8.6879	8.2294
RS_G5079__IFIT2__IFIT2	3.9033	0.57291	1.0182	4.2654	1.9049	0.74433	3.1547	3.2978	0.16058	3.692	11.0262	4.9108	6.1426	6.1351	3.4737	2.9153	3.2552	8.711	2.4582	0.97812	1.9047	3.7406	0.8432	6.3895	1.2038	1.6276	0	0.49342	3.8401	3.4226	2.3313	3.0752	0.28839	0.20394	1.0737	1.03
RS_G7164__C9orf61__C9orf61	4.8022	0.16473	2.4311	3.6999	0	2.8137	2.0588	0.46741	0.19574	1.9729	1.5573	0	3.7812	4.2492	0.18218	4.2811	0.61178	2.4214	0	3.8531	4.0848	0	3.9713	1.9287	2.0662	0	0	0.81004	0.35035	0.28052	3.0649	0	6.688	2.0855	5.4726	1.911
RS_G6452__GATA5__GATA5	0	4.94	1.3896	5.8865	0	0.8752	0	0	0.38815	6.1074	0	3.0853	1.4507	0.092615	0	0	1.0026	0	0	0.36992	0.28951	4.6308	0.56404	0	3.0839	0.85482	0	0	0	0.66483	4.124	4.5765	6.5887	1.7425	2.8352	0.27519
RS_G12785__SLC16A4__SLC16A4	3.8688	2.8627	1.8764	3.793	1.5098	3.7081	2.5332	3.8893	2.5505	2.9457	7.7481	1.8694	2.8096	1.1751	2.7355	4.7571	3.7372	3.9577	2.4846	2.1431	1.9558	3.4505	2.5055	1.342	2.4408	1.6133	4.4726	0.97355	2.3942	1.1238	1.7544	3.9175	0.53288	2.248	1.1295	1.52
RS_G6542__C1QL1__C1QL1	3.763	4.6965	0.75664	6.0783	6.7676	3.3057	7.5882	5.6589	1.999	4.6891	4.5608	2.6627	4.9491	2.2673	0	5.8265	4.975	2.0219	4.1685	5.4241	5.4863	4.5279	3.8951	3.1588	3.6742	0.55244	4.3193	4.3657	9.8207	4.538	3.6612	6.0295	4.0256	3.5289	6.7244	5.8191
RS_G2210__PRODH__PRODH	6.6996	8.8601	8.1502	4.8255	0.12095	8.7378	5.7577	0.77143	8.8848	5.7828	1.603	2.3836	5.1535	2.1092	6.5093	3.4667	0.7919	0.3561	1.043	4.9495	1.9741	5.4938	7.7774	0.11484	10.9405	11.3567	8.0182	1.3588	2.1155	4.0417	8.8787	7.139	7.072	8.6883	9.1687	9.3919
RS_G22235__AC087350.3__AC087350.3	6.7584	3.3757	0	4.1748	0	2.4007	8.6826	7.0026	2.5144	5.3739	9.9573	0	6.5159	4.2809	6.6282	8.6943	4.2513	7.319	0.31621	0	5.0434	3.5025	6.3716	3.8004	0.80904	1.6475	4.3854	4.6914	10.1015	2.8659	3.0354	5.2584	3.9664	4.0769	3.1179	0.82242
RS_G13657__SNTB1__SNTB1	5.3832	8.4768	2.0145	4.4193	0.46368	0	4.8195	3.6208	0.92349	3.4038	1.0708	0	3.8555	1.6321	0.59612	3.1292	1.0472	4.6096	7.4302	0.58832	1.0654	0.79422	6.1443	4.9661	0.91013	0	6.4231	4.5946	3.3807	1.4481	0.43164	3.1699	0.94195	0.12344	3.7784	3.5099
RS_G4297__DPYSL3__DPYSL3	4.2682	0.83739	3.5608	4.3315	0.35313	0.36739	0.99867	6.742	0.05365	0.13571	4.9268	2.2627	1.653	0.09219	0.18951	1.0895	7.5919	1.2393	9.5025	2.118	0.35981	1.9442	0.92822	2.376	1.1786	0.17482	0	3.4451	0.51889	1.6933	7.2656	3.9465	1.8393	0.16556	2.248	4.8161
RS_G10836__FGFR4__FGFR4	5.2034	7.7635	8.2284	8.4723	3.6823	11.0861	6.4162	5.236	9.6719	7.2021	7.4945	6.5832	6.241	8.4301	9.4006	5.9966	6.3794	4.5084	2.9314	7.9454	7.7888	7.8124	6.2404	4.8446	12.8321	13.6847	6.4864	6.0949	5.9918	6.8846	7.9866	6.6089	9.7925	10.0612	10.4536	9.5726
RS_G11366__IFI16__IFI16	1.3751	1.0912	0.088938	0.077879	0.1516	0	0.25526	8.0208	0	0	6.9257	7.8901	6.2163	8.4592	0.15631	1.9825	7.2647	10.0474	5.8672	0.47945	0	0	0.49689	6.093	0	0	0	0	5.6095	6.2941	1.6259	3.4074	0.10754	0.056524	0.73329	0
RS_G3490__CXCL12__CXCL12	0	0	2.9622	3.9301	0.4426	5.8654	3.0639	8.8931	1.0707	2.2694	3.4802	0.50156	0.42784	0	0	0	3.9302	0	6.1614	3.4437	4.9364	4.9118	0	0	4.2011	0	0	0.49502	0	0	0	2.6646	3.0752	0	3.6662	0
RS_G11812__GEM__GEM	3.4128	0.39241	0.65863	3.922	5.2987	6.9453	3.3766	6.9016	3.2647	1.7787	5.7468	2.6702	1.7895	3.1414	1.255	3.4334	7.1501	4.5528	7.2633	2.3845	2.808	1.1814	3.2811	6.6694	2.2264	0	0	9.784	1.7987	4.1378	1.5477	3.517	5.196	3.3456	2.6213	0.81572
RS_G17302__KRT16__KRT16	5.7658	3.1764	2.3818	5.6129	0.28859	6.0805	10.7235	6.7007	1.2431	1.4693	6.9239	6.7744	12.4501	7.6521	3.4383	9.9669	2.3008	10.6566	3.9295	6.0096	1.6805	3.2104	10.8382	0.72684	3.0384	2.1965	1.5744	1.8388	11.3122	9.5632	12.3241	3.8277	0.69855	6.2346	3.2686	3.0416
RS_G5077__IFIT3__IFIT3	3.5073	0.42614	0.71146	5.6835	4.0217	0.75143	2.7317	3.1272	0.27072	3.3751	11.1729	5.7703	7.0085	6.9943	4.9036	1.7564	4.5726	10.4635	5.107	2.2909	2.3899	3.8418	1.6975	7.6113	0.82931	0.76318	0.59164	2.3992	5.1299	4.7129	1.908	4.7428	0.32613	0.65473	0.87193	1.4226
RS_G9341__ANKRD1__ANKRD1	6.4828	0	0	0.8261	4.6532	0	6.6578	0.82492	0	0.1835	1.1514	3.337	4.898	2.6463	0	5.0848	1.2721	0.23193	3.6273	3.9893	0.25672	0	1.1723	10.4614	0.49467	0.6149	0.82193	2.257	3.3586	1.9709	4.3821	1.2895	2.7655	0	1.0823	0
RS_G27296__IGHE__IGHE	0	6.9908	1.3543	4.0388	0	0.60738	0	0.51827	1.5466	1.1694	0	0.87206	0.6756	4.4599	0.58338	0.48354	0	0	0	4.756	1.6579	1.583	2.7019	0	1.3237	0	2.7515	0	0	0.68655	6.537	1.5464	7.9834	5.2637	4.3878	2.5552
RS_G1266__PTGS2__PTGS2	4.9768	0	0	0.1192	0	0	2.1508	0.52235	0	0	2.0328	6.9215	5.1045	0.64111	0	3.1963	2.374	6.6243	2.758	0	0	0	0	3.1961	0	0	0.74749	2.9427	3.9296	4.3372	0	0	0	0	0	0
RS_G11696__TBX20__TBX20	0	0.54258	0	3.0286	1.6728	0	3.7326	0.86015	0	0	4.8599	4.7882	0.401	0.46689	0	3.4022	0	2.7749	0.94599	0.77223	0	0	0	0.65824	0.19456	0.44958	0	0	5.4335	0	0	0	3.8545	0	0	0
RS_G4193__ENPP5__ENPP5	5.7829	1.5649	4.4447	4.4737	0.83248	5.292	3.813	0.42181	5.1396	4.0006	5.0049	1.4293	3.136	3.9852	0.36567	4.7812	0.25657	6.4109	0	1.629	4.1081	5.8154	2.7159	0.4608	1.9966	1.2967	4.2269	0.45388	2.391	1.4493	4.1849	5.7	2.2616	0.18496	5.2603	3.3317
RS_G16506__KCNJ12__KCNJ12	5.0094	4.985	0	0.32763	0.36341	0	0.24471	0.27287	1.565	0.20359	0.092253	3.5222	2.7475	0.34782	0	2.5407	1.931	0.046719	1.0266	1.4723	0	0.81377	0.69034	0	3.3482	0	1.5272	2.0692	2.4894	2.1048	7.9899	0	2.8029	0.41222	0	0.27664
RS_G10910__CCL5__CCL5	3.492	1.9053	2.6625	4.9081	3.0073	3.5739	3.4087	4.5538	3.411	4.4292	11.2916	2.7366	8.0883	4.4286	4.7918	6.4101	4.0382	7.181	3.9801	4.6098	3.2963	4.5923	2.2637	2.3663	3.9704	3.0851	2.8075	2.8119	4.4957	4.2972	3.0975	3.9904	2.4924	3.0761	1.8219	3.0076
RS_G2274__TIMP3__TIMP3	7.1676	1.4484	0.20404	4.3628	0	0.54618	0.15932	7.2281	0.73369	0.19599	11.9588	8.3461	9.2857	0.17607	0.096304	7.7407	0.49099	0.92898	10.0072	4.2692	9.644	8.0855	7.3564	5.7329	2.0761	1.5956	1.9357	0.46861	4.2941	7.3446	4.9621	4.2155	4.6465	3.625	2.5201	0.72845
RS_G9625__THRSP__THRSP	2.1278	4.3884	0.78214	4.4766	0	7.3255	0.86725	0.45662	3.8694	9.4885	0.66446	1.0359	0.82234	1.964	3.2841	0	0.56364	0	0	1.631	1.0951	8.4908	1.3706	0	0.55945	1.7591	2.4593	0	1.0012	0	4.518	0	3.9093	8.0099	6.3295	1.2806
RS_G4157__PDE10A__PDE10A	0.24391	1.0968	0.56945	1.6686	0	1.8322	1.7856	3.8587	0	0	3.5858	0.49179	0.10121	0.86591	0	0.36315	4.6507	3.6118	4.0025	0.18602	0.92933	6.2747	0.82034	4.6996	0.24783	0.22552	0.35049	0	2.3777	0	0	0	3.1557	3.5152	2.3037	1.2322
RS_G7943__ERP27__ERP27	7.6388	1.2801	6.1285	5.5273	0	3.4983	3.2757	0.3565	6.1989	0.7548	4.0817	1.5752	3.8164	4.7452	2.495	7.2268	0	8.7732	0	0.79097	2.1126	2.4821	5.1998	2.4509	5.4332	2.3241	4.3544	0	5.1827	1.7343	1.2358	3.9084	3.4227	4.4939	6.7415	1.574
