Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
SNP__UGT2B17	0.01	-0.141	-0.182	-0.133	-0.365	0.075	-1.995	0.185	-0.225	-0.258	0.075	-1.975	0.354	-0.145	0.018	-0.167	-0.398	-0.088	-0.067	0.394	-0.254	-0.291	-0.072	-0.197	-0.166	-0.37	-0.316	0.435	0.038	-0.051	-0.247	-0.232	0.456	-0.486	-0.171	0.975	-0.064	-1.543	0.444	-1.43	-1.564	-0.039	0.527
SNP__KLRC2	0.038	-4.945	0.073	0.172	-0.258	-0.537	-2.021	-0.087	0.204	-1.394	0.077	-0.416	0.21	0.23	0.269	-0.566	-0.339	0.364	0.146	-0.033	0.007	-0.092	-0.409	-0.216	-0.322	0.115	0.239	0.193	0.572	-0.051	-0.226	-1.749	-0.206	0.108	0.002	0.177	-0.249	0.216	0.199	-0.858	-0.32	0.568	0.28
SNP__WNK1	0.026	0.099	0.122	0.305	-2.678	-0.54	-0.009	-0.122	0.189	-3.535	0.077	-0.939	0.322	0.394	0.55	0.107	-3.139	0.382	0.808	-0.046	0.007	-0.115	-0.394	-0.18	-0.318	0.118	0.462	-0.447	0.882	-0.055	-0.226	0.032	-0.177	0.578	0.01	0.164	0.06	0.193	-0.352	0.045	-0.3	0.583	0.28
SNP__LOC391322	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.538	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	-0.382	0.314	-1.669	-0.226	-1.972	-0.148	0.004	-0.19	-0.163	-2.165	-1.966	-1.872	-0.316	0.377	0.08
SNP__SLC25A24	0.014	0.102	-0.243	-0.156	0.224	0.456	0.01	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	0.04	-3.632	0.224	0.636	0.251	0.226	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.409	-0.063	0.151	0.268	0.164	0.188	-4.56	-3.419	-0.27	0.043	0.045	-4.56	-0.303	-0.389	-0.36
SNP__GSTT1	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.538	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	-0.382	0.314	-1.669	-0.226	-1.972	-0.148	0.004	-0.19	-0.163	-2.165	-1.966	-1.872	-0.316	0.377	0.08
SNP__LOC653399	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.538	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	-0.382	0.314	-1.669	-0.226	-1.972	-0.148	0.004	-0.19	-0.163	-2.165	-1.966	-1.872	-0.316	0.377	0.08
SNP__SLC44A5	0.014	0.102	-0.32	-0.214	0.166	-3.945	0.295	-0.041	0.54	-0.944	0.098	-0.494	-0.029	-0.116	-0.193	-0.172	0.048	-0.263	-0.062	-3.665	0.254	0.226	-0.47	-0.201	-0.126	0.39	-0.172	-0.032	0.212	-0.063	0.151	0.279	-3.573	0.174	0.014	-0.139	-0.082	0.058	0.04	-0.3	-0.284	-0.366	-0.36
SNP__UGT2B28	-2.183	-0.141	-0.182	-0.133	-0.446	0.075	-0.377	-0.317	-0.225	-0.258	-0.358	-2.842	-0.056	-2.173	-1.756	-0.167	-0.772	-0.088	-0.067	-0.127	-0.254	-0.291	-0.072	-0.197	-0.166	-0.071	-0.759	-0.057	-0.463	-0.051	-0.247	-0.232	0.456	0.232	-0.171	1.059	-0.859	-0.19	0.032	-0.316	-0.326	-0.039	0.036
SNP__LOC646227	0.007	-2.69	0.102	0.164	0.226	-0.061	-1.058	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	0.039	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-2.082	-1.661	0.421	-1.859	0.7	-0.195	0.037	-2.05	0.135	0.217	-1.967	0.053	0.104	-0.013	0.319
SNP__BTNL3	0.007	-2.69	0.102	0.164	0.226	-0.061	-1.058	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	0.039	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-2.082	-1.661	0.421	-1.859	0.7	-0.195	0.037	-2.05	0.135	0.217	-1.967	0.053	0.104	-0.013	0.319
SNP__ZPBP2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__LOC653403	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.15	0.396	-1.881	0.567	-0.012	-2.171	0.074	-2.458	-0.193	0.117	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-0.151	0.06	0.027	-0.382	0.314	-1.669	-0.226	-1.972	-0.148	0.004	-0.19	-0.163	-0.323	-1.966	-0.327	-0.316	0.377	0.08
SNP__LCE3C	-1.958	0.495	-0.129	-2.13	-1.861	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	0.986	-1.643	0.174	0.268	-0.255	-0.111	0	-1.569	-1.451	-2.241	0.045	-1.976	-1.915	-2.744	-2.627
SNP__KRTAP9P1	-1.183	-1.304	-1.258	-1.314	-0.202	0.096	-1.572	-1.506	0.575	-1.732	-0.461	0.346	-0.646	-1.553	-0.373	-0.782	0.407	-0.04	-1.288	1.183	-1.97	-1.631	-1.416	-0.589	-0.133	-1.122	-1.452	-1.299	-1.634	-0.555	-0.207	-0.938	0.468	-1.484	0.06	0.276	-0.892	-1.419	0.101	-1.009	0.708	-1.293	-1.371
SNP__GSDML	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.495	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__PPARBP	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
