Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Meth__cg07845566__B3GAT1	0.94318	0.06231	0.29185	0.034534	0.88943	0.94935	0.13523	0.026205	0.049432	0.026863	0.45179	0.14968	0.037553	0.1429	0.079902	0.025426	0.91124	0.97299	0.04464	0.025396	0.65423	0.65254	0.91617	0.037609	0.043939	0.03101	0.022673	0.043745	0.1179	0.48373	0.050105
Meth__cg03790207__PEX6	0.042997	0.038908	0.047011	0.50284	0.030555	0.04168	0.53936	0.036792	0.046735	0.029922	0.59863	0.62321	0.039558	0.032183	0.066998	0.036271	0.76001	0.62152	0.067764	0.032092	0.060757	0.4393	0.077907	0.087373	0.030083	0.0341	0.030294	0.021943	0.06394	0.040933	0.033341
Meth__cg20367961__EDN2	0.056359	0.051505	0.072609	0.23695	0.65201	0.050534	0.19795	0.10127	0.77935	0.20644	0.32688	0.034867	0.34326	0.5923	0.10634	0.84114	0.058672	0.10921	0.083138	0.084393	0.78352	0.074444	0.15478	0.063587	0.42947	0.05472	0.090328	0.14629	0.17677	0.070379	0.074824
Meth__cg15207619__CAB39L	0.11648	0.11553	0.19164	0.097733	0.89454	0.10434	0.212	0.22343	0.14286	0.23209	0.13687	0.087506	0.26829	0.4984	0.11305	0.37511	0.086453	0.13871	0.20695	0.0971	0.61713	0.14076	0.15153	0.14164	0.22754	0.78827	0.14209	0.17593	0.30349	0.1211	0.12036
Meth__cg10334385__FLJ25143	0.054465	0.041529	0.19631	0.11734	0.15312	0.066189	0.067143	0.091413	0.65056	0.12335	0.11695	0.04377	0.059345	0.10228	0.11912	0.072413	0.063988	0.065486	0.23955	0.051784	0.10853	0.054522	0.25763	0.091154	0.058495	0.083418	0.082429	0.11171	0.09208	0.060171	0.061493
Meth__cg10917602__HSD3B7	0.040123	0.02716	0.033577	0.033668	0.20863	0.036675	0.02489	0.047785	0.57088	0.4705	0.08041	0.030665	0.031081	0.53144	0.061189	0.46819	0.032272	0.039978	0.10634	0.039426	0.28072	0.033089	0.063392	0.080223	0.06939	0.80735	0.1858	0.033582	0.071201	0.028323	0.038991
RS_G12120__LARP6__LARP6	4.2188	1.299	3.6514	2.9647	6.568	0.41765	5.2848	1.9411	9.7435	5.4148	3.8387	1.199	5.773	5.0126	6.7561	5.8904	3.7507	2.9315	4.4766	4.378	6.7601	4.6908	0.67497	0	8.9712	6.2283	6.3424	5.3971	3.8833	3.6215	3.6772
RS_G12138__AP000926.6__AP000926.6	0.93522	1.4863	0.84409	1.9858	6.1205	0.2896	0.16521	1.6327	2.942	6.523	0.85542	0	1.2249	6.2727	2.4321	7.6418	0.58207	0.72117	0.37787	3.864	2.4918	1.2955	0.72971	0	6.6793	5.9479	2.5442	0	1.5434	3.3381	0.95756
Meth__cg24789869__DDX11	0.01538	0.010858	0.028305	0.052012	0.094968	0.014074	0.0091452	0.018668	0.012619	0.037688	0.016705	0.01055	0.011868	0.011141	0.014827	0.31339	0.010523	0.016466	0.12025	0.020272	0.029302	0.016245	0.018573	0.014172	0.017866	0.020559	0.026806	0.028852	0.033333	0.02351	0.013751
Meth__cg24798047__GOLT1A	0.072984	0.036708	0.72257	0.079727	0.81308	0.041119	0.28333	0.17523	0.83562	0.85425	0.21446	0.04133	0.49943	0.55411	0.80224	0.4827	0.049001	0.074518	0.23209	0.039296	0.80353	0.22128	0.065789	0.14739	0.35135	0.83626	0.17797	0.13073	0.095624	0.053552	0.10004
Meth__cg04543012__TFCP2	0.055556	0.55941	0.066756	0.5058	0.044228	0.66306	0.049007	0.82217	0.069782	0.039964	0.79522	0.46995	0.042294	0.041877	0.097796	0.041207	0.83399	0.84444	0.079434	0.052965	0.069326	0.22594	0.089238	0.18701	0.043906	0.047447	0.04341	0.045533	0.2268	0.45878	0.80361
RS_G17030__AL391099.12__AL391099.12	0.79472	0	0.34856	3.2495	7.0864	0.12082	0.50749	1.7984	0.38468	0.47817	0.21289	0.22544	3.135	7.1336	0.29773	4.0806	0	0.59638	0.61194	0	5.5472	0.11398	0.92648	0	5.2696	1.9796	0	0	3.4413	0.16657	3.3942
Meth__cg21972382__RSNL2	0.90791	0.75561	0.90408	0.24616	0.81254	0.87794	0.69975	0.086367	0.084751	0.070381	0.85136	0.91702	0.89855	0.076515	0.11077	0.076765	0.89632	0.90354	0.8189	0.091533	0.11085	0.90627	0.85548	0.30588	0.07694	0.078252	0.06439	0.16471	0.87712	0.59535	0.89345
Meth__cg10226546__NFATC2	0.13682	0.074806	0.39783	0.08771	0.88973	0.15567	0.10393	0.16795	0.82509	0.19669	0.61321	0.096805	0.27873	0.7492	0.2771	0.8454	0.091945	0.051511	0.16086	0.066815	0.38647	0.11003	0.75312	0.087212	0.50658	0.16447	0.088675	0.78513	0.15241	0.14022	0.12496
Meth__cg00901493__YBX2	0.035067	0.036062	0.60146	0.055533	0.95157	0.047868	0.036085	0.056777	0.047596	0.10758	0.090122	0.04615	0.32026	0.10358	0.1237	0.43951	0.034767	0.055342	0.070975	0.055416	0.83843	0.43328	0.10598	0.046332	0.50119	0.085473	0.04392	0.033836	0.076683	0.051802	0.054314
Meth__cg03454353__ZFP37	0.62921	0.079996	0.86992	0.041185	0.072726	0.67277	0.06032	0.071613	0.063459	0.075107	0.4643	0.73365	0.060075	0.050706	0.13999	0.074633	0.40744	0.37666	0.26001	0.05401	0.4564	0.50394	0.23802	0.11267	0.06572	0.2881	0.055196	0.2556	0.074433	0.59934	0.33526
Meth__cg06645778__HSPC159	0.081105	0.059867	0.18519	0.60698	0.74515	0.39299	0.062128	0.14576	0.4498	0.13239	0.138	0.084292	0.15402	0.089358	0.1088	0.14759	0.085198	0.11922	0.87222	0.68695	0.19468	0.083381	0.16723	0.11572	0.38353	0.086207	0.098807	0.19151	0.22475	0.22343	0.32526
Meth__cg02551396__JPH2	0.028533	0.031363	0.37793	0.088274	0.022883	0.68567	0.035014	0.025352	0.023076	0.021135	0.070173	0.030495	0.026398	0.02623	0.045887	0.022569	0.56762	0.89965	0.49487	0.026491	0.027605	0.17768	0.36801	0.048439	0.028486	0.019049	0.021973	0.021251	0.028019	0.18968	0.83759
RS_G1696__AKR1B1__AKR1B1	1.6658	3.0827	2.2074	1.2461	8.3908	0	0.9276	7.6641	9.1769	10.7386	3.4039	4.8033	10.1457	10.6783	12.3341	10.3571	3.372	0	1.8295	10.5974	10.1671	2.5479	1.3236	1.821	9.0595	11.5065	3.0981	3.3056	0	4.7219	5.5162
Meth__cg08504049__ZNF264	0.094102	0.094408	0.075094	0.077782	0.083452	0.10552	0.12691	0.076898	0.092905	0.082726	0.47673	0.47156	0.080793	0.089184	0.13661	0.075753	0.56598	0.62912	0.101	0.10125	0.11111	0.083525	0.11247	0.25006	0.084241	0.081476	0.055208	0.067599	0.11952	0.083405	0.11409
RS_G14301__CHST2__CHST2	1.0835	0.13336	0.23835	2.7032	4.1777	0	3.102	0	2.6096	1.1804	0.13922	0	1.2898	4.074	0	6.1227	0.14698	0	0.15375	1.5489	4.6798	0	0.26037	0	5.0333	4.8977	1.8192	2.7945	0	0.62457	1.5682
RS_G15925__TSEN54__TSEN54	7.2344	8.3459	6.4633	7.5892	6.3917	7.9159	7.7411	8.3035	7.0863	7.0836	7.421	8.0853	7.972	6.2994	7.2044	6.6307	10.0525	8.9556	6.8742	8.4277	7.161	9.7546	9.4051	9.1787	7.8424	7.1251	7.3376	7.997	8.3349	8.8604	8.5107
Meth__cg04488521__ZNF354C	0.93673	0.018679	0.61411	0.027935	0.025427	0.98133	0.36332	0.040777	0.021638	0.02473	0.83197	0.12615	0.026559	0.020877	0.057463	0.031532	0.94419	0.89313	0.74756	0.078345	0.80257	0.64731	0.17423	0.21913	0.017761	0.11875	0.017726	0.51646	0.080145	0.38381	0.66692
RS_G8938__IQGAP2__IQGAP2	4.9364	3.2259	5.623	2.3392	0.13382	6.2903	2.0729	1.0363	0	1.1611	4.0429	4.9545	0.62697	0.53648	3.826	0	0.091238	1.0825	2.2397	0	0	2.1637	4.2405	4.3124	0	0.85454	1.4654	0	0	4.3239	2.9035
Meth__cg11879514__SLC16A6	0.064351	0.071244	0.097892	0.10182	0.1377	0.075519	0.038267	0.076362	0.10921	0.47283	0.55456	0.053415	0.72931	0.080723	0.15104	0.11491	0.042772	0.057016	0.08415	0.081772	0.82357	0.064658	0.083727	0.1153	0.097356	0.077519	0.071481	0.098211	0.11185	0.074879	0.051785
RS_G29779__HMX1__HMX1	0	0.12473	3.8952	5.4103	0	0	0	0.63916	6.1664	2.6571	2.9916	0	1.7597	0.2596	0	0.29934	0	0	4.6009	3.798	0	0	0	0	1.3222	0	4.5457	2.5287	4.5008	0.6615	4.6114
Meth__cg07900766__SPAG16	0.88166	0.056724	0.19163	0.049002	0.062219	0.07194	0.65852	0.044503	0.053545	0.16198	0.25261	0.39889	0.074854	0.043707	0.083797	0.33036	0.84426	0.84185	0.050347	0.044967	0.13106	0.0543	0.08891	0.07287	0.048933	0.072134	0.03722	0.049005	0.15479	0.39881	0.38079
Meth__cg16421285__SAE1	0.084534	0.080591	0.06903	0.10279	0.32228	0.087193	0.075213	0.10172	0.17172	0.2931	0.15494	0.0556	0.086527	0.17789	0.19099	0.52129	0.058433	0.086697	0.1852	0.075654	0.15718	0.078452	0.13225	0.053113	0.070514	0.1804	0.041633	0.11959	0.18538	0.11071	0.14157
Meth__cg13801416__AKR1B1	0.97123	0.82433	0.98155	0.94261	0.035948	0.97782	0.67039	0.037654	0.66435	0.039406	0.96003	0.98385	0.54274	0.026251	0.088134	0.028486	0.97682	0.97288	0.86794	0.65535	0.064738	0.97336	0.95129	0.67976	0.038822	0.030692	0.98042	0.97552	0.78225	0.73388	0.68935
Meth__cg01697732__FAM20A	0.72089	0.042092	0.074703	0.053445	0.95462	0.98579	0.42754	0.024136	0.048917	0.17966	0.9474	0.48787	0.042402	0.033968	0.049844	0.29711	0.97156	0.97121	0.067971	0.90263	0.47526	0.69667	0.97294	0.39301	0.035341	0.45717	0.025607	0.19382	0.37171	0.39487	0.071553
Meth__cg07054095__ZNF549	0.55726	0.024064	0.021408	0.025451	0.023657	0.035704	0.17872	0.024556	0.043085	0.057754	0.7278	0.96471	0.029918	0.023069	0.033748	0.020143	0.43373	0.1378	0.030156	0.023957	0.04456	0.029242	0.061684	0.036295	0.035407	0.034811	0.094377	0.03324	0.075264	0.5827	0.33645
RS_G406__GPR124__GPR124	1.8829	1.7232	0.053107	4.3719	5.7625	0.78853	2.0625	1.6615	8.1524	2.1843	1.0762	1.0557	3.9021	3.3607	3.4824	6.1456	1.9608	1.1512	3.6587	3.8246	1.8291	1.3221	0.94288	0.60658	4.189	0.5674	3.2144	2.3916	2.0141	2.0064	1.8159
Meth__cg27519236__KIFC3	0.10299	0.91867	0.71866	0.098568	0.032391	0.5963	0.037754	0.041388	0.049771	0.03909	0.91267	0.53276	0.037426	0.029542	0.1546	0.036692	0.92174	0.89375	0.047158	0.059077	0.10197	0.85888	0.84109	0.43408	0.028421	0.02837	0.42552	0.94481	0.83829	0.92052	0.89771
Meth__cg19258882__ERBB3	0.039942	0.036267	0.063007	0.066172	0.13329	0.047175	0.056798	0.071361	0.046058	0.17765	0.071405	0.026029	0.076534	0.088053	0.031152	0.14355	0.06331	0.03822	0.37777	0.041971	0.12185	0.038808	0.051876	0.044444	0.068946	0.071797	0.078845	0.037677	0.060111	0.03682	0.037791
Meth__cg03524627__CDC25B	0.040884	0.45689	0.040119	0.073309	0.081989	0.44872	0.11796	0.042418	0.059348	0.26371	0.28349	0.29999	0.081458	0.043734	0.23643	0.025665	0.1337	0.053463	0.042519	0.070289	0.085808	0.14108	0.051714	0.18491	0.03148	0.038085	0.03265	0.057232	0.1606	0.33659	0.54998
RS_G3807__LPXN__LPXN	4.4572	3.8249	4.6454	3.0135	4.0192	4.0199	3.3559	3.703	5.2704	5.7899	3.8946	3.3023	5.7034	3.7592	6.6655	8.9465	4.1342	2.9364	4.5474	3.5991	6.0065	3.4461	4.0319	3.5122	4.9321	3.6065	5.8063	4.6376	4.4154	3.882	3.6265
Meth__cg06850526__MGC15523	0.067797	0.075712	0.096842	0.092101	0.87227	0.060445	0.056349	0.078976	0.117	0.71953	0.38465	0.033532	0.31351	0.19648	0.1299	0.90819	0.047805	0.12046	0.50792	0.1076	0.17402	0.061937	0.11865	0.088441	0.26392	0.052686	0.052057	0.66482	0.16467	0.073901	0.035999
Meth__cg20867633__GOLT1A	0.023741	0.020883	0.49381	0.026591	0.90501	0.023763	0.031325	0.02562	0.87031	0.44056	0.065728	0.02116	0.18816	0.81849	0.8748	0.5686	0.025314	0.036873	0.031141	0.022669	0.96318	0.26601	0.042374	0.027679	0.057544	0.93032	0.053446	0.011707	0.073128	0.027422	0.031829
Meth__cg12745769__LOC115648	0.042098	0.38543	0.047963	0.029075	0.038392	0.90987	0.90274	0.043931	0.048902	0.055787	0.33126	0.043975	0.043078	0.042615	0.077347	0.036365	0.50834	0.1767	0.038088	0.044574	0.13944	0.043466	0.1114	0.22769	0.048351	0.042468	0.047637	0.13212	0.05425	0.088889	0.074802
Meth__cg22030890__RAB32	0.057047	0.81149	0.55013	0.039784	0.041009	0.090378	0.079357	0.060819	0.052632	0.60053	0.072913	0.69724	0.056297	0.043906	0.1071	0.032244	0.88171	0.57619	0.058316	0.19774	0.072861	0.8904	0.82222	0.23708	0.046651	0.041716	0.093624	0.032869	0.075657	0.44775	0.18687
Meth__cg18416881__AKR1B1	0.95053	0.57034	0.96923	0.82263	0.033738	0.94934	0.95653	0.032397	0.60332	0.055515	0.94126	0.8851	0.45964	0.030593	0.062402	0.030391	0.91941	0.93229	0.68632	0.60769	0.076132	0.90051	0.88609	0.49356	0.035796	0.030175	0.94956	0.95218	0.41632	0.63905	0.6052
RS_G603__CAPG__CAPG	3.7713	5.9911	3.4112	7.7789	8.6184	2.8678	8.2542	6.6446	7.9811	9.8609	3.8659	4.4783	5.1309	8.2148	10.7234	9.696	7.8073	6.0209	4.1655	9.4262	9.9647	7.9837	8.4837	4.4083	13.2979	9.9313	9.0221	2.4128	8.5828	6.1577	6.0891
Meth__cg06200697__CTNND1	0.029951	0.030869	0.12372	0.87784	0.15535	0.26357	0.43659	0.91197	0.78646	0.52499	0.12291	0.10813	0.084202	0.48132	0.50275	0.19154	0.082756	0.062608	0.78449	0.063974	0.23964	0.057964	0.047517	0.050882	0.037448	0.18725	0.73004	0.29307	0.60088	0.22491	0.69592
Meth__cg21602520__BCL2	0.046958	0.077954	0.24149	0.33085	0.96633	0.066128	0.26622	0.044701	0.94333	0.93871	0.94708	0.49335	0.92554	0.92762	0.74503	0.57908	0.038538	0.046838	0.038996	0.41431	0.94754	0.060168	0.91319	0.069498	0.45537	0.93335	0.87083	0.95928	0.57398	0.082738	0.047451
Meth__cg04005701__SMYD4	0.030466	0.021386	0.03297	0.042415	0.12369	0.038009	0.070978	0.084099	0.029931	0.031469	0.04841	0.030107	0.028898	0.16046	0.04212	0.029744	0.02549	0.026882	0.14093	0.18809	0.10911	0.030506	0.075799	0.03622	0.093496	0.080916	0.246	0.073655	0.070365	0.043721	0.034428
RS_G10920__ITGA5__ITGA5	4.1991	5.5787	1.8799	6.3514	6.6272	0.30001	4.6947	2.5252	7.8276	5.4091	6.3575	2.6269	6.6635	8.0876	7.691	10.758	5.5302	4.2158	4.198	5.6305	6.9234	5.1389	2.9675	4.6841	7.707	6.7365	6.0906	6.3055	5.2446	5.4798	6.7465
RS_G16217__CHST6__CHST6	2.6012	1.5144	1.6411	2.0451	2.1819	2.3057	2.1331	3.0885	4.9838	3.5074	1.7426	2.2932	2.7571	3.4023	5.4139	2.6436	1.4215	1.7423	2.733	3.5441	1.385	1.5255	1.7846	2.1644	4.2671	2.72	3.6417	2.4523	1.8302	2.3691	1.8537
Meth__cg10541755__EIF5A2	0.65877	0.68829	0.82091	0.57554	0.045486	0.94564	0.74079	0.055826	0.37656	0.26218	0.92862	0.78157	0.27817	0.045576	0.1688	0.046512	0.90882	0.45554	0.9583	0.55376	0.11467	0.88709	0.8227	0.46127	0.059665	0.0528	0.4254	0.93955	0.70477	0.55335	0.60877
Meth__cg19935424__MXRA7	0.034447	0.67842	0.52425	0.38351	0.034599	0.32718	0.077287	0.034167	0.044617	0.12481	0.70357	0.093179	0.038719	0.032396	0.047776	0.041192	0.63075	0.58701	0.40961	0.18908	0.056026	0.60286	0.25887	0.66159	0.02874	0.033449	0.19903	0.55291	0.21357	0.41945	0.36943
Meth__cg13176979__HMGN3	0.074923	0.083766	0.3415	0.14069	0.60626	0.13627	0.097706	0.25852	0.15213	0.57352	0.33718	0.035826	0.35248	0.27111	0.69867	0.81906	0.23297	0.19711	0.4769	0.061188	0.3159	0.089257	0.11114	0.11382	0.068275	0.47312	0.17346	0.23624	0.29317	0.1937	0.16356
Meth__cg16990174__RYBP	0.056658	0.063798	0.066485	0.07787	0.60388	0.057451	0.059225	0.090207	0.059546	0.13165	0.28791	0.050437	0.12151	0.71702	0.13511	0.50777	0.086082	0.062061	0.070735	0.093539	0.51263	0.075192	0.063947	0.096454	0.49865	0.098145	0.056394	0.061389	0.12318	0.056229	0.074224
RS_G4220__LOX__LOX	0	0.68991	0.90169	0.66555	10.7791	0.13865	4.9709	0.96733	5.2774	2.895	0.54503	1.9725	5.5501	7.6689	5.766	10.1643	0.90667	0.75454	0.48913	3.2735	6.0679	0.45546	0.44199	0	11.6434	8.3827	2.7516	0.4056	2.3981	1.3457	0
Meth__cg23257840__ZNF264	0.032251	0.027767	0.033824	0.023047	0.032769	0.037956	0.057439	0.031327	0.036666	0.024798	0.71011	0.52463	0.037886	0.036586	0.052029	0.028818	0.55682	0.52515	0.035488	0.031221	0.077844	0.038622	0.079802	0.087776	0.03557	0.035987	0.022021	0.020056	0.040508	0.038697	0.036146
Meth__cg25553916__FLJ22318	0.089485	0.11383	0.18897	0.20191	0.71702	0.14667	0.33907	0.16439	0.44825	0.69358	0.21934	0.080068	0.20196	0.29046	0.1814	0.85917	0.16831	0.091174	0.12542	0.16411	0.65092	0.093989	0.18641	0.17264	0.32593	0.49938	0.14055	0.11189	0.12436	0.087772	0.10441
RS_G3465__GLIS3__GLIS3	1.0417	0	0.7201	0.39469	5.7482	0.065496	2.5089	0.088391	2.7287	0.90898	4.199	0.28977	1.6833	7.1394	4.1606	5.2637	0.31311	0	0.24739	0.86881	3.7762	0	0.11367	0	5.3004	1.2236	1.4032	0.2903	0.073385	0.090949	1.0128
Meth__cg27654142__ZFP2	0.05318	0.033415	0.046562	0.024876	0.039427	0.048866	0.13895	0.042636	0.036426	0.029342	0.41429	0.96926	0.03812	0.034646	0.081174	0.037891	0.40862	0.48651	0.035078	0.03047	0.48952	0.038654	0.15951	0.078429	0.031094	0.035412	0.04328	0.036896	0.052262	0.042678	0.042346
RS_G14548__GPX2__GPX2	4.8242	8.3252	3.7534	2.8777	0	1.6118	6.1796	3.4838	0	6.0728	10.4041	2.2858	5.6684	0.98442	0.92393	2.4784	5.9235	3.1149	5.1792	7.1739	0	10.1258	1.5012	7.4542	0.69745	2.1315	5.2688	3.3507	2.9068	4.7251	4.0923
Meth__cg13042487__XRCC3	0.86897	0.35783	0.11911	0.062091	0.066651	0.36045	0.91031	0.061406	0.075965	0.06937	0.34943	0.02425	0.084643	0.061584	0.11934	0.04785	0.062219	0.27881	0.16399	0.63589	0.10975	0.42001	0.1216	0.16356	0.031162	0.031532	0.0324	0.032299	0.11958	0.10138	0.045577
Meth__cg19001226__HOXD1	0.53701	0.020567	0.028277	0.030711	0.86807	0.56394	0.46268	0.033147	0.027117	0.023401	0.04795	0.037654	0.041945	0.022559	0.043557	0.029642	0.59533	0.58376	0.027523	0.033254	0.04666	0.03785	0.38796	0.038594	0.032559	0.026746	0.026648	0.017804	0.040987	0.041984	0.025239
Meth__cg02282237__PRKCH	0.037052	0.034112	0.04672	0.045245	0.35064	0.033673	0.047537	0.027137	0.52881	0.062951	0.083862	0.021405	0.033821	0.082258	0.071117	0.23806	0.031315	0.036207	0.051635	0.67167	0.83074	0.029517	0.07084	0.049731	0.38074	0.033077	0.025497	0.032091	0.054556	0.026521	0.037701
Meth__cg26531804__SPINT1	0.03995	0.058876	0.069009	0.098212	0.86782	0.081386	0.059869	0.11946	0.058388	0.10448	0.069069	0.038696	0.067097	0.71657	0.093919	0.6145	0.057894	0.064272	0.058143	0.06847	0.8274	0.052344	0.081014	0.098097	0.10971	0.16319	0.049731	0.036535	0.077966	0.051397	0.067579
Meth__cg19731268__CHST3	0.62414	0.88955	0.051443	0.95678	0.031186	0.95751	0.047517	0.96011	0.043399	0.046132	0.68834	0.6519	0.038981	0.03864	0.048558	0.035226	0.96015	0.9695	0.8704	0.17342	0.061261	0.9099	0.93924	0.81025	0.035252	0.026522	0.029709	0.96222	0.22646	0.076276	0.57096
Meth__cg17602451__BCL2	0.063162	0.035492	0.055695	0.10524	0.95404	0.070302	0.14865	0.038886	0.93365	0.79234	0.74046	0.21238	0.63814	0.27776	0.755	0.4052	0.034002	0.046118	0.038418	0.10622	0.90867	0.054939	0.93449	0.1315	0.40849	0.21134	0.69178	0.94823	0.16002	0.047757	0.042401
Meth__cg03289872__ZNF667	0.94389	0.041867	0.90315	0.027271	0.016565	0.92709	0.49939	0.92602	0.048038	0.076653	0.90945	0.48181	0.053988	0.020615	0.14214	0.13388	0.73242	0.90972	0.47119	0.023711	0.83436	0.24297	0.70931	0.31653	0.026463	0.4036	0.13109	0.66551	0.066995	0.84158	0.62071
Meth__cg17749443__ZFP37	0.71083	0.021507	0.97393	0.018479	0.019686	0.6997	0.02128	0.026442	0.024116	0.015272	0.74645	0.74024	0.032156	0.0207	0.055728	0.024789	0.91971	0.62849	0.53117	0.018505	0.4551	0.44766	0.072778	0.037789	0.028431	0.028122	0.020543	0.31613	0.046866	0.52598	0.14375
Meth__cg03959219__TSPYL4	0.084163	0.063144	0.062432	0.054619	0.056932	0.067293	0.059897	0.066477	0.074981	0.061282	0.59228	0.059318	0.05347	0.053472	0.11391	0.056001	0.11536	0.067518	0.054266	0.058678	0.06416	0.073916	0.10283	0.10039	0.05494	0.06178	0.058459	0.057052	0.14143	0.074631	0.0652
RS_G13039__MT1E__MT1E	0.46681	1.1873	0	0	0.55979	0	3.0392	8.2657	8.7515	4.4369	0	0	9.6024	9.0759	1.332	9.3513	5.1038	0.30908	6.225	3.6842	10.5635	1.0982	2.431	0	11.4032	10.0631	0.97053	11.6174	0	4.0503	0.77012
