Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Meth__cg03922337__RRAS2	0.34336	0.064436	0.0627	0.43942	0.6309	0.071619	0.53337	0.049967	0.79527	0.060353	0.69102	0.09781	0.068058	0.18893	0.36122	0.072051	0.10142	0.054537	0.1281	0.041866	0.29579	0.46357	0.94851	0.051511	0.73957	0.094221	0.10195	0.4358	0.83198	0.31526	0.068137	0.053879	0.32831	0.23189	0.22013	0.14639	0.055029	0.20552	0.096798
Meth__cg07330329__TRIM48	0.39161	0.065597	0.096273	0.39617	0.12532	0.062487	0.41774	0.24548	0.1816	0.53834	0.080043	0.44044	0.25934	0.07149	0.122	0.31896	0.077626	0.054476	0.19588	0.12098	0.125	0.15743	0.13627	0.089044	0.3495	0.10679	0.18739	0.25077	0.10526	0.082513	0.086803	0.10317	0.10251	0.49615	0.036696	0.091285	0.10824	0.21578	0.2038
Meth__cg26081162__C6orf141	0.068323	0.28075	0.083276	0.06182	0.059891	0.89109	0.07758	0.36516	0.074452	0.065164	0.065237	0.11317	0.049904	0.4307	0.45534	0.072964	0.87028	0.065632	0.16265	0.21837	0.047493	0.065039	0.060564	0.091435	0.059598	0.11812	0.063636	0.061656	0.31148	0.11833	0.29656	0.053	0.5221	0.057065	0.053581	0.44319	0.14848	0.067889	0.069644
Meth__cg10549973__UNQ9438	0.043119	0.85524	0.97299	0.38549	0.39079	0.96303	0.17224	0.96431	0.049704	0.036838	0.064012	0.25604	0.74269	0.5033	0.5671	0.048766	0.16429	0.73013	0.099784	0.86551	0.92228	0.066206	0.64772	0.90947	0.44668	0.92402	0.57734	0.078667	0.093897	0.13549	0.61132	0.58401	0.65229	0.10345	0.46449	0.77996	0.10096	0.49257	0.599
Meth__cg02643667__TFF1	0.049689	0.57512	0.90571	0.052204	0.036582	0.76102	0.042216	0.91022	0.95344	0.93152	0.055862	0.93106	0.88398	0.84968	0.060999	0.76543	0.93325	0.94093	0.82079	0.061044	0.07162	0.048112	0.3084	0.88231	0.13065	0.24647	0.06176	0.16652	0.088214	0.52603	0.91637	0.93211	0.42609	0.04603	0.13213	0.3582	0.50609	0.1667	0.071197
Meth__cg11065385__B4GALNT3	0.021913	0.042264	0.90718	0.086399	0.033125	0.95205	0.028177	0.47953	0.045366	0.024061	0.023575	0.030575	0.061224	0.18053	0.049509	0.029743	0.074944	0.078844	0.043921	0.35204	0.041028	0.054018	0.15204	0.039235	0.046872	0.84555	0.047002	0.037733	0.083704	0.066879	0.03715	0.17562	0.28008	0.017907	0.049014	0.27106	0.050144	0.039722	0.28333
Meth__cg05879334__ACAT2	0.02114	0.019475	0.033542	0.031157	0.018188	0.018307	0.034961	0.022482	0.038803	0.01981	0.036594	0.028059	0.027885	0.06597	0.019397	0.32025	0.026606	0.017173	0.055615	0.021814	0.022566	0.031549	0.022654	0.02607	0.03387	0.037615	0.26906	0.03849	0.52768	0.083118	0.017608	0.019723	0.016285	0.97533	0.97649	0.02062	0.054051	0.027012	0.021986
Meth__cg20740029__SLC5A8	0.033465	0.043007	0.95094	0.037138	0.027493	0.9337	0.032161	0.48484	0.1294	0.030049	0.02777	0.57968	0.0445	0.45626	0.10292	0.032272	0.60086	0.10041	0.14727	0.033132	0.052451	0.034557	0.12237	0.073101	0.02436	0.8755	0.04642	0.060042	0.91739	0.091179	0.041016	0.054781	0.059406	0.035947	0.26354	0.27871	0.050903	0.93686	0.91547
Meth__cg15247144__PYCARD	0.045788	0.8494	0.94463	0.473	0.46517	0.94772	0.38721	0.96675	0.5283	0.6656	0.056577	0.85047	0.076712	0.9023	0.55696	0.56351	0.9403	0.030097	0.4034	0.55932	0.044847	0.042971	0.035826	0.93394	0.028301	0.89516	0.089545	0.045758	0.2289	0.68181	0.60547	0.024029	0.188	0.17716	0.56146	0.59054	0.66795	0.38681	0.47424
Meth__cg09076077__FLJ33860	0.9135	0.095383	0.91976	0.88458	0.64237	0.20871	0.74994	0.46154	0.9471	0.071361	0.6525	0.89522	0.80475	0.78764	0.11208	0.1722	0.58229	0.62779	0.19752	0.044325	0.28591	0.67228	0.89346	0.086079	0.94333	0.17611	0.71059	0.14736	0.91126	0.092322	0.049679	0.040029	0.10275	0.20186	0.48567	0.84222	0.073372	0.086513	0.0558
Meth__cg23037133__OXGR1	0.076848	0.097075	0.57171	0.35559	0.080085	0.49557	0.10015	0.52023	0.39808	0.065863	0.067933	0.079471	0.29111	0.84642	0.075935	0.08382	0.87757	0.14008	0.15552	0.070799	0.071469	0.068774	0.20982	0.3135	0.061966	0.88937	0.075605	0.11918	0.095661	0.087628	0.07988	0.50485	0.13518	0.078424	0.077087	0.34081	0.11014	0.070217	0.74935
Meth__cg02870945__REEP1	0.021888	0.027956	0.25028	0.027579	0.027037	0.65465	0.030451	0.29679	0.087008	0.027125	0.021208	0.46218	0.057462	0.098518	0.03032	0.027262	0.31351	0.043067	0.06202	0.46782	0.023183	0.024049	0.090174	0.1736	0.046374	0.68671	0.020261	0.027954	0.035977	0.040657	0.033393	0.035222	0.052399	0.02048	0.028002	0.13288	0.084914	0.032288	0.036513
Meth__cg07836370__GLTP	0.044944	0.045083	0.049565	0.16144	0.052904	0.063889	0.059004	0.038382	0.046052	0.048627	0.06761	0.041173	0.086678	0.096755	0.031665	0.061816	0.048389	0.071374	0.074576	0.40135	0.085637	0.08971	0.12973	0.064575	0.14881	0.083941	0.076223	0.066547	0.12398	0.059821	0.034799	0.043964	0.036111	0.26517	0.067047	0.056391	0.062645	0.057322	0.04402
Meth__cg20576597__C21orf29	0.067139	0.045441	0.055547	0.053281	0.043983	0.35809	0.049082	0.47928	0.31696	0.05339	0.039779	0.28866	0.095109	0.17717	0.035606	0.037832	0.66102	0.12817	0.076881	0.053008	0.038113	0.045291	0.2142	0.83588	0.032569	0.40722	0.045869	0.063426	0.16555	0.080703	0.060166	0.26799	0.32285	0.13511	0.03951	0.44812	0.1437	0.057155	0.053037
Meth__cg00698688__SULT2B1	0.026749	0.020386	0.017551	0.024451	0.017886	0.96551	0.020559	0.80999	0.022452	0.021309	0.022924	0.60353	0.024925	0.038878	0.015445	0.022802	0.39257	0.89617	0.020876	0.073799	0.015398	0.030008	0.024496	0.92752	0.020105	0.94436	0.037161	0.04262	0.052209	0.14658	0.26893	0.047579	0.50361	0.037671	0.017136	0.32866	0.12898	0.038183	0.030288
Meth__cg00513220__MOSC2	0.03051	0.626	0.85276	0.031575	0.065989	0.78412	0.35869	0.81488	0.55531	0.16853	0.14089	0.36735	0.057219	0.64128	0.021385	0.15332	0.95724	0.29741	0.12406	0.35464	0.03248	0.039791	0.090206	0.69552	0.073015	0.0908	0.033435	0.074074	0.050426	0.43412	0.25392	0.065883	0.10969	0.30148	0.072283	0.42737	0.068304	0.22937	0.27567
Meth__cg21360828__CENPA	0.1967	0.085288	0.36824	0.22229	0.048972	0.533	0.31791	0.5357	0.17552	0.12118	0.064301	0.13811	0.27274	0.52492	0.12022	0.10097	0.22206	0.54317	0.096748	0.063619	0.066543	0.054887	0.64381	0.51381	0.096655	0.69872	0.25021	0.11102	0.11729	0.11067	0.058662	0.47476	0.16302	0.099069	0.14111	0.50108	0.13427	0.081531	0.70725
Meth__cg07211259__PDCD1LG2	0.81331	0.21872	0.059666	0.76218	0.80618	0.052284	0.85562	0.19203	0.46059	0.70205	0.68948	0.75117	0.068915	0.20686	0.68405	0.59066	0.2142	0.024139	0.1156	0.038091	0.73487	0.70226	0.89875	0.11557	0.82545	0.08559	0.75673	0.16885	0.81211	0.26967	0.14104	0.0576	0.051492	0.59326	0.30961	0.57979	0.20401	0.69716	0.66784
Meth__cg09440340__C1orf161	0.022491	0.013458	0.741	0.021681	0.062179	0.088401	0.068353	0.88818	0.9465	0.26402	0.060992	0.7782	0.014843	0.034168	0.020265	0.21568	0.12442	0.5817	0.027292	0.026781	0.019244	0.040574	0.39264	0.29039	0.021417	0.81055	0.02872	0.034641	0.074397	0.046144	0.43185	0.63033	0.071714	0.022993	0.02574	0.10635	0.11755	0.043318	0.14199
Meth__cg24256211__SAMD4A	0.25445	0.32127	0.060854	0.76729	0.68995	0.038066	0.75559	0.048156	0.082467	0.16908	0.33409	0.22815	0.31118	0.27128	0.18784	0.12834	0.082049	0.021355	0.14011	0.040153	0.54842	0.35634	0.91081	0.20628	0.83815	0.081409	0.67088	0.1095	0.50788	0.25002	0.05856	0.034255	0.073037	0.75977	0.1694	0.03643	0.082951	0.66461	0.63614
Meth__cg04513422__LOC283487	0.49463	0.12456	0.044338	0.65108	0.83539	0.049121	0.85199	0.042454	0.1521	0.057214	0.8543	0.84342	0.22335	0.36535	0.43123	0.065228	0.058811	0.059166	0.20007	0.029201	0.63988	0.62284	0.055704	0.035941	0.49689	0.10028	0.51746	0.065162	0.81037	0.15542	0.038551	0.051638	0.047799	0.83531	0.12228	0.84775	0.75645	0.73714	0.82718
Meth__cg15531099__LCE1D	0.81173	0.041343	0.29763	0.92995	0.90359	0.1048	0.53506	0.037664	0.64127	0.61993	0.30213	0.19871	0.58719	0.61163	0.034714	0.59369	0.10096	0.31213	0.11367	0.055215	0.26406	0.37912	0.10698	0.082044	0.92618	0.15029	0.73627	0.13333	0.35801	0.10605	0.061326	0.071679	0.04472	0.84471	0.039416	0.54579	0.26837	0.53518	0.66118
Meth__cg14008119__MGC16028	0.044214	0.041645	0.06241	0.075579	0.059908	0.040601	0.055878	0.033411	0.095429	0.058763	0.070629	0.049941	0.12598	0.089231	0.02516	0.05171	0.04577	0.036793	0.10085	0.037531	0.055745	0.23037	0.069223	0.047503	0.050794	0.12386	0.052011	0.098772	0.084074	0.054819	0.035634	0.039106	0.03574	0.72437	0.040156	0.037953	0.050225	0.044346	0.06013
Meth__cg02265318__MOSC1	0.022284	0.51241	0.8393	0.029598	0.032035	0.77797	0.33076	0.83122	0.56076	0.1491	0.10008	0.4428	0.03614	0.55515	0.01431	0.13553	0.97127	0.42108	0.078731	0.49762	0.014655	0.032883	0.12432	0.7867	0.055635	0.06985	0.031095	0.043735	0.14015	0.38289	0.22934	0.038811	0.098951	0.28771	0.082775	0.5444	0.076885	0.24481	0.2346
Meth__cg09551147__SORCS3	0.76925	0.019301	0.033046	0.81321	0.15855	0.77105	0.53498	0.042147	0.56959	0.048127	0.17441	0.93942	0.50176	0.061078	0.016563	0.037786	0.25834	0.027821	0.037449	0.013921	0.92685	0.84364	0.036174	0.035018	0.53293	0.24792	0.28946	0.032656	0.57668	0.032444	0.021366	0.023298	0.037916	0.74044	0.024264	0.72929	0.6925	0.023729	0.016801
Meth__cg07947930__PRELP	0.071486	0.059942	0.80974	0.049466	0.069864	0.3019	0.081853	0.59593	0.10897	0.21375	0.12068	0.17468	0.31818	0.50206	0.071639	0.11258	0.10712	0.30012	0.10647	0.26646	0.057208	0.050774	0.11247	0.6021	0.057294	0.303	0.1002	0.13788	0.046347	0.17596	0.54051	0.10003	0.15366	0.17886	0.071328	0.12723	0.13558	0.098588	0.060339
Meth__cg23815845__ARHGEF5	0.01908	0.018252	0.032457	0.032017	0.016705	0.63352	0.022059	0.18859	0.035141	0.021825	0.02257	0.020534	0.029756	0.043231	0.021796	0.029728	0.19029	0.038138	0.065235	0.02457	0.02613	0.032922	0.027856	0.093376	0.022039	0.59579	0.028056	0.040764	0.039187	0.025036	0.094531	0.04581	0.25862	0.03163	0.033061	0.045095	0.049661	0.035787	0.035411
Meth__cg11380624__DNAJC14	0.098162	0.052234	0.089014	0.42815	0.30693	0.068389	0.31929	0.082642	0.13846	0.12149	0.099656	0.079035	0.50041	0.099365	0.42603	0.11747	0.084962	0.31482	0.090976	0.26409	0.059962	0.075592	0.067754	0.063889	0.39429	0.11741	0.52541	0.11296	0.14951	0.1754	0.050527	0.048494	0.058283	0.75481	0.051797	0.055364	0.071645	0.061591	0.12461
Meth__cg00647741__ZNF274	0.094048	0.087222	0.082217	0.095457	0.059116	0.63383	0.063288	0.59135	0.093117	0.097075	0.066983	0.16908	0.15848	0.16266	0.04859	0.10147	0.14764	0.12414	0.1383	0.092489	0.066869	0.10134	0.10332	0.20274	0.083835	0.21875	0.088331	0.070678	0.14642	0.11726	0.07767	0.28892	0.16412	0.075439	0.057325	0.1078	0.15912	0.10486	0.077823
Meth__cg22136753__CSRP2BP	0.064948	0.16367	0.07244	0.065169	0.05074	0.85064	0.057402	0.17242	0.13655	0.048869	0.063526	0.054964	0.073171	0.48746	0.050566	0.053618	0.2502	0.23228	0.11372	0.0396	0.059929	0.061021	0.52522	0.29748	0.043016	0.78357	0.10287	0.090592	0.083261	0.10363	0.052823	0.46246	0.37905	0.38374	0.044148	0.13478	0.032714	0.08038	0.3179
Meth__cg08063724__MYCL1	0.0227	0.03455	0.057959	0.029805	0.018648	0.025426	0.022065	0.060199	0.012554	0.02261	0.035056	0.21597	0.014804	0.19247	0.016952	0.020637	0.028002	0.020695	0.025227	0.022719	0.022631	0.024615	0.035057	0.037324	0.033419	0.024534	0.032794	0.024761	0.04563	0.037488	0.10899	0.061651	0.023837	0.023187	0.019589	0.98349	0.049985	0.031192	0.037397
Meth__cg09102409__NDRG1	0.21242	0.12436	0.38708	0.10188	0.075975	0.82728	0.14087	0.2293	0.054133	0.14847	0.13908	0.0875	0.17034	0.23559	0.11747	0.095835	0.13938	0.2861	0.18287	0.082765	0.11706	0.12193	0.20087	0.098994	0.13217	0.15957	0.10859	0.18	0.10966	0.11735	0.15925	0.1154	0.12343	0.63288	0.076594	0.22054	0.16837	0.14148	0.41853
Meth__cg06717231__ZNF559	0.11932	0.028852	0.024842	0.02882	0.030196	0.026468	0.034909	0.028497	0.18271	0.025482	0.037195	0.96613	0.033217	0.037052	0.017203	0.076422	0.021242	0.019754	0.049795	0.021104	0.9688	0.10405	0.021466	0.022895	0.023481	0.046386	0.42289	0.045355	0.038395	0.07178	0.021478	0.022934	0.032374	0.025225	0.028473	0.020321	0.047896	0.046453	0.10916
Meth__cg22534509__GPR81	0.081533	0.035549	0.887	0.039138	0.042732	0.85676	0.05242	0.80784	0.87659	0.35987	0.066549	0.51572	0.047783	0.17984	0.032775	0.3163	0.75055	0.053945	0.1002	0.069704	0.048147	0.052554	0.085325	0.82147	0.040799	0.52489	0.040063	0.079106	0.088761	0.090628	0.83554	0.64833	0.61989	0.044983	0.045441	0.69637	0.086201	0.049631	0.057489
Meth__cg12506373__CAD	0.044603	0.053796	0.079829	0.047999	0.05008	0.032399	0.04772	0.021822	0.036589	0.034795	0.14568	0.090438	0.10261	0.073631	0.040984	0.054635	0.041142	0.036526	0.067015	0.043329	0.05518	0.055392	0.043144	0.069894	0.054574	0.060098	0.62477	0.055128	0.074643	0.097434	0.036185	0.037828	0.03727	0.04804	0.0473	0.049075	0.038023	0.042862	0.036091
Meth__cg04590978__CCNJ	0.43869	0.43727	0.82567	0.10075	0.083508	0.83596	0.75819	0.21122	0.090663	0.1366	0.10545	0.10381	0.10098	0.21845	0.037236	0.12654	0.89957	0.13356	0.19941	0.038431	0.046788	0.091043	0.46694	0.089681	0.3284	0.37844	0.086139	0.12568	0.098951	0.20566	0.06363	0.46217	0.068671	0.03783	0.066506	0.96219	0.11772	0.43552	0.93455
Meth__cg22228134__GZMH	0.51981	0.07767	0.26795	0.84291	0.67675	0.10357	0.83465	0.078065	0.86484	0.095957	0.50326	0.5536	0.61277	0.53922	0.16153	0.089014	0.19466	0.13186	0.71209	0.098259	0.40918	0.48309	0.92366	0.094026	0.89279	0.13308	0.17355	0.14606	0.14939	0.16146	0.11093	0.4087	0.091229	0.63483	0.087182	0.39152	0.14086	0.50889	0.44938
Meth__cg00211661__CENTD2	0.082822	0.037652	0.045437	0.20534	0.051433	0.23879	0.22434	0.059674	0.36461	0.42078	0.1269	0.35252	0.067181	0.16403	0.062685	0.39526	0.041153	0.042987	0.16313	0.51145	0.46717	0.35612	0.049841	0.068712	0.42689	0.60939	0.11179	0.40925	0.16171	0.068489	0.043779	0.040709	0.033492	0.56441	0.045706	0.52903	0.07599	0.37818	0.050693
Meth__cg07109287__LHX2	0.021445	0.022548	0.58372	0.026067	0.032725	0.021371	0.025305	0.052998	0.020163	0.060212	0.030027	0.036565	0.020039	0.055599	0.12163	0.053556	0.04196	0.023459	0.058578	0.55353	0.022621	0.03061	0.70081	0.32358	0.019775	0.95109	0.6901	0.064484	0.079351	0.13947	0.031559	0.04651	0.39487	0.020314	0.021529	0.03067	0.06077	0.15704	0.28818
Meth__cg07525077__RNASE3	0.25831	0.071873	0.62986	0.82477	0.49857	0.12416	0.19661	0.24043	0.82432	0.81576	0.23729	0.53235	0.34012	0.27284	0.0867	0.63985	0.17081	0.14559	0.13533	0.14781	0.37266	0.1418	0.54208	0.10877	0.7838	0.11444	0.29505	0.12889	0.26944	0.12609	0.1002	0.10842	0.10534	0.88631	0.075937	0.07377	0.20824	0.37215	0.1718
Meth__cg10862848__GNMT	0.083171	0.10758	0.48497	0.098375	0.11497	0.96915	0.093602	0.8012	0.45752	0.09722	0.094028	0.76394	0.27473	0.6165	0.06715	0.1132	0.28875	0.39957	0.098237	0.90082	0.29732	0.077794	0.076393	0.93883	0.12441	0.9181	0.08944	0.069352	0.086146	0.10795	0.74142	0.33027	0.83493	0.40653	0.082896	0.93574	0.17859	0.1462	0.56722
Meth__cg22674717__SALL1	0.83	0.027683	0.91805	0.82142	0.14007	0.42428	0.58124	0.032019	0.67567	0.058691	0.093481	0.79281	0.53909	0.3278	0.1471	0.070458	0.031893	0.058559	0.069131	0.030022	0.90403	0.94086	0.06232	0.04634	0.78564	0.75325	0.72147	0.071266	0.84567	0.042171	0.089929	0.11766	0.039576	0.029684	0.15565	0.036499	0.065364	0.40983	0.11469
Meth__cg03963198__IRX4	0.042102	0.048821	0.064719	0.043255	0.036596	0.96975	0.047011	0.61723	0.96991	0.046755	0.049895	0.065877	0.43538	0.6935	0.052558	0.054465	0.8032	0.13793	0.14051	0.32607	0.037552	0.044926	0.76374	0.46751	0.039105	0.92356	0.040259	0.065359	0.48755	0.084016	0.089288	0.040353	0.58481	0.03944	0.039851	0.17358	0.072323	0.055202	0.053696
