Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G6440__COL5A1__COL5A1	3.8517	3.1224	0.40165	5.4151	10.1958	7.0167	4.1353	8.0257	0.059076	1.7108	0.44888	3.3905	6.243	6.8198	2.7499	5.9398	8.5532	1.3704	9.4954	3.0794	0.85124	2.9642	4.163	1.235	0.099041	1.25	0.20663	2.239	4.0102	6.5509	4.9687	3.6637	2.6721	2.6056	1.0735
RS_G11533__CAMP__CAMP	3.5155	4.8465	2.3552	5.5361	0	1.5471	1.4882	0.68855	3.706	1.3219	3.0019	0	1.4238	2.1738	3.2421	2.1103	0	1.4246	0.38086	1.6506	6.1769	0.52214	0	5.1903	5.6421	3.9921	4.6372	0	5.7091	0.87957	2.9579	0	8.2504	2.8438	2.6927
RS_G17030__AL391099.12__AL391099.12	0.79472	0	0.34856	3.2495	7.0864	0.12082	0.50749	2.7995	0.34788	1.7984	0.38468	6.4598	0.47817	0.21289	0.22544	3.135	7.1336	0.29773	4.0806	0.59638	0.61194	0	5.5472	0.11398	0.92648	6.6016	0	5.2696	0	2.6767	0	3.4413	0.35791	0.16657	3.3942
RS_G11572__GUCY1A3__GUCY1A3	2.1771	3.1726	6.4643	3.3749	2.7359	0	6.4477	4.1023	6.8828	0	3.6806	4.4499	2.4961	6.7048	5.4754	0.41764	2.2033	8.1568	0.45496	2.1317	0.22101	4.4527	0	5.9314	6.7064	4.7362	0	1.7081	3.5309	1.891	0	0	1.1889	3.6042	3.0295
RS_G10674__PIP__PIP	2.9964	1.7353	9.5819	4.291	0	0	0	0	6.2869	1.4841	0.66661	0	0	6.4468	10.9728	0	0	3.1539	2.713	1.8507	2.0123	6.3497	0	4.4832	5.3906	0.94948	6.4578	0	7.2874	0	3.8345	13.277	2.2284	6.4281	3.0258
RS_G16239__CCBE1__CCBE1	1.1161	0.50662	0.87902	0.61557	0.55127	0.78538	1.6318	1.3054	1.0989	1.887	0.44792	1.9175	2.0205	0.58084	1.1984	1.3956	1.9127	0.50876	6.035	0.6678	1.8377	0.77331	6.1112	0.45356	1.0472	0.67266	0.6324	2.1768	0.37002	4.2038	0.17808	0.74833	0.72401	1.2971	0.83157
RS_G8410__EMP3__EMP3	2.911	2.2536	0	5.4885	10.665	3.4648	8.5826	10.5314	2.4683	3.5154	2.9505	6.6359	7.2148	2.5904	2.7206	3.8705	10.036	5.246	12.2115	4.5667	2.7647	3.9866	11.253	3.255	3.7386	5.7953	1.1597	11.5916	4.185	8.949	4.0601	3.8818	2.6646	3.7137	1.0148
RS_G9697__SACS__SACS	2.067	1.5539	2.7128	2.6618	7.5446	3.9356	3.7448	6.2877	3.522	2.4697	2.1369	4.2963	3.1799	3.5032	0.069102	3.8339	6.3153	2.2163	5.8931	2.3215	0.95951	0.95544	5.6932	0.64456	0.83687	3.0566	1.783	3.7786	0.61696	2.3061	1.7719	2.088	1.7195	1.5692	3.5968
RS_G4095__RBM24__RBM24	0	0.18099	2.7361	6.8059	5.2114	5.5365	3.1305	0.67503	2.4326	6.8352	1.4929	1.5526	2.9359	0.57117	0.20004	4.7801	6.5447	0.48409	3.744	2.8777	9.1516	0.62792	7.44	4.9553	0	1.0486	0	4.2684	0	0.30704	0	5.4843	2.1862	3.1769	2.4745
RS_G9807__GJA1__GJA1	0.13345	0	0	1.5965	9.6756	1.0466	0	7.367	1.0679	6.27	0.28768	7.3863	0.24719	0.15634	0.31066	1.3307	8.0511	1.5159	7.4051	0.44917	1.3709	0.57752	6.7865	0.041003	0.28226	0.22974	0.21191	8.8231	0.18699	3.3086	0.85553	3.5435	0.49742	0	2.5186
RS_G3858__SLC15A3__SLC15A3	0.89932	5.5094	2.8801	2.931	0	0.79011	0.38408	0.49219	2.0004	1.8214	7.3716	2.0224	5.7384	1.474	3.0271	0.94978	4.2055	4.9413	2.0345	1.3939	1.5233	5.5805	1.4814	2.9525	1.4075	3.0637	4.8346	0	7.2615	3.555	1.3756	6.484	4.3499	2.4676	1.1282
RS_G11747__CTSB__CTSB	9.8416	8.2842	7.3598	8.8658	10.7399	7.7915	10.2099	9.493	8.6772	9.5489	8.9823	9.516	9.74	8.7557	6.9166	10.2834	9.9357	8.3334	11.0293	8.539	8.406	9.6896	9.0618	8.77	8.7307	8.5938	7.9661	14.2059	7.516	9.1268	7.5318	8.3295	9.5108	9.6418	9.0078
RS_G7332__DOCK10__DOCK10	1.1769	0	0.81907	4.3261	6.4728	0.034377	3.5572	7.0449	1.688	0.096607	0	3.778	0.15905	0.59306	0	3.6414	6.408	2.3596	5.7244	2.8215	3.2391	3.6964	4.7719	0.9992	0.58083	2.2482	0	6.6391	0.87349	0.2106	0	2.1623	0.047303	2.6	2.0998
RS_G13766__MUCL1__MUCL1	8.2971	9.2684	12.3825	10.0828	0	8.4661	0	0.90826	7.872	5.344	1.4703	1.545	2.4156	8.9393	4.3595	0	0	5.508	0	7.7859	7.1029	9.5099	0	13.1852	9.8025	5.3187	9.1199	1.9667	14.8568	1.8097	13.9402	2.6873	12.0261	11.3802	3.1773
RS_G10165__DEPDC6__DEPDC6	5.8259	6.1946	7.7825	6.0532	2.4574	5.8304	3.868	5.2335	6.7933	6.4623	4.9882	0.51319	3.5353	4.7511	5.9438	3.252	2.4528	5.9295	7.3951	6.0803	6.7226	5.9242	1.9036	6.7617	6.0819	4.8403	5.9379	4.7027	8.5343	2.335	3.9324	5.5378	6.7571	6.0442	4.9031
RS_G12908__CPT1C__CPT1C	5.2042	3.5784	0	2.7437	7.4381	0.43105	4.8268	0.20732	1.2967	2.5356	0	0.98468	0.79667	0.81333	1.3836	1.0342	0.67375	0.88718	3.7559	2.7702	1.3798	4.9879	5.9182	0.24982	0.58011	0.97446	2.3699	7.1905	0	6.9607	3.0118	3.0157	0.85989	6.2814	7.1736
RS_G11751__DLC1__DLC1	0.52174	1.3191	0.98144	2.5792	0.43438	3.7499	4.3824	3.6961	0	5.6513	3.3982	3.7535	2.7178	0.031946	0	2.4551	5.2094	0.060786	8.0268	3.4051	0	0	7.5742	0.45432	0.22823	5.2461	2.4852	0.53131	0	4.4893	0	1.6785	1.2521	3.4241	3.5875
RS_G133__CX3CL1__CX3CL1	0.24547	6.7838	7.0627	7.822	0	0	6.7812	7.5633	1.391	8.2104	6.6072	0.25047	4.6676	7.3727	6.7783	6.6963	6.137	9.7259	0.67937	0.30007	5.6642	7.8818	0.075576	2.585	0.27955	7.3399	7.4488	0	9.7126	1.1972	0.59899	0.094372	0.69842	0	0.22386
RS_G16925__AHNAK2__AHNAK2	2.7225	0.32426	0.85377	2.7863	5.6329	5.2479	8.636	6.0167	1.9327	4.4501	1.9293	5.065	4.1081	4.5002	0.58031	5.196	4.1838	4.2729	5.531	2.6507	4.2443	6.7325	4.6099	0.72887	0.4055	3.6185	0	9.8171	4.612	6.1168	1.6537	2.9451	3.4654	2.6246	3.0882
RS_G9341__ANKRD1__ANKRD1	6.4828	0	0	0.8261	4.6532	0	6.6578	0.82492	0	0.1835	1.1514	3.337	4.898	2.6463	0	5.0848	1.2721	0.23193	3.6273	0.25672	0	1.1723	10.4614	0.49467	0.6149	0	0.82193	2.257	0.34827	1.9709	4.3821	1.2895	2.7655	1.0823	0
RS_G15082__CALML5__CALML5	11.7504	5.995	7.7426	8.9148	0	1.712	8.0382	0.59303	6.3786	3.1741	1.3594	9.9227	7.5464	1.881	12.2335	4.7952	0	8.3003	0	7.1102	0	8.2905	0	12.1395	12.0061	11.2517	2.3509	1.4107	12.4513	4.9212	4.2737	1.4794	8.3879	5.0572	5.5081
RS_G16598__PROS1__PROS1	4.6854	0	0	0	6.3048	0.91111	3.1664	1.7086	0.9029	1.3688	2.6571	2.8994	1.0067	1.4914	0.281	4.4328	2.7055	0.13375	1.5091	2.8721	0	0.12149	6.4587	0.13992	0	4.1969	0	4.4556	0	0.42536	1.3477	0	0.10127	0.55269	0.21169
RS_G19042__DHRS8__DHRS8	2.7712	0.77854	1.9808	1.5832	2.0503	0.63061	1.8836	4.263	0.36131	1.922	0.31092	5.5881	3.0516	4.4679	1.2183	4.126	7.1145	5.2127	2.7597	2.7509	0	0.5197	8.9329	1.5654	0	0	0.76859	3.378	1.0421	5.4889	1.2899	0	0.98311	2.2151	1.7366
RS_G12839__VAMP5__VAMP5	5.7475	8.4989	5.1276	6.3466	1.0717	4.2899	3.8161	1.723	10.6318	7.4263	5.181	1.7151	4.28	5.4616	6.2318	3.5479	2.1294	5.8416	0.73065	6.901	7.2724	7.3036	3.5044	5.257	6.3869	6.9643	6.3121	1.0478	5.9216	5.0818	5.9869	5.1714	10.8607	7.7928	6.4989
RS_G380__AC115090.8__AC115090.8	5.5401	4.5937	8.2773	5.6462	1.8168	4.4074	1.7069	2.3845	3.3208	3.0223	3.7229	1.0776	3.1471	4.6588	6.9533	2.4415	0.71518	3.2748	1.9988	3.2441	5.2386	4.9617	1.7625	5.7094	6.0719	2.0778	3.1752	2.8722	5.4452	3.6614	5.309	4.1984	9.4664	4.2942	3.8001
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	2.1588	0.48723	0	3.5396	2.6112	3.5696	3.464	4.4522	4.6909	0	4.557	0	1.4065	1.2126	4.682	0	2.3478	0.5494	3.0729	4.3933	0.55787	4.7935	2.3273	7.8208	1.3018	2.9242	2.9131	0.94339
RS_G4942__RARRES1__RARRES1	2.0377	1.842	3.7414	0.17186	2.4435	1.546	4.0497	3.1042	0.9588	3.4138	6.5431	0.26784	9.1775	11.1435	3.1687	8.5922	2.0236	13.9745	0.3647	0.1718	0.17735	7.1024	1.2788	2.8091	1.7188	6.9558	2.3179	0	4.3853	2.5811	0.63747	1.368	1.8166	0	0
RS_G1470__BPIL1__BPIL1	9.0019	2.3379	6.5411	4.0732	0.67379	1.6678	0	0	5.0973	0.35871	0.2413	0	0.21207	2.5818	3.5613	0	0	0.62709	0.42834	0.58624	0.70384	1.2384	0	4.738	4.0067	0	2.2751	0	7.9807	0	10.7986	0.76241	4.7405	1.2949	0.37323
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	5.3048	7.8421	8.046	5.0282	8.6902	5.871	5.7726	6.4523	7.8138	5.2543	5.461	9.0738	6.3889	11.4705	4.5856	7.4146	6.5071	6.5466	6.7714	6.9246	7.2669
