Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
SNP__GSDML	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.495	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	-0.034	0.021
SNP__SHCL1	0.37	-3.776	-0.146	0.229	-0.093	0.096	0.186	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.357	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	-0.532	-0.163	-0.576	-0.138	-0.114	0.06	-0.305	0.334	-0.139	0.301	0.011	0.023
SNP__LOC644144	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	0.004	-0.163	-0.576	-0.138	0.22	0.06	-0.305	0.334	-3.028	0.301	0.011	0.023
SNP__FBXL20	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	-0.034	0.021
SNP__FLJ10120	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	0.004	-0.163	-0.576	-0.138	0.22	0.06	-0.305	0.334	-3.028	0.301	0.011	0.023
SNP__PPARBP	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	-0.034	0.021
SNP__LOC402359	-0.648	-0.203	-1.03	-0.275	0.166	0.044	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	0.296	-1.152	0.285	-0.464	0.797	-0.088	-0.085	-0.245	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.088	0.022
SNP__LOC646605	-0.648	-0.203	-1.03	-0.275	0.166	0.044	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.181	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.088	0.022
SNP__LCE3C	-1.958	0.495	-0.129	-2.13	-1.861	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	0.986	-1.643	0.174	0.268	-0.255	-0.111	0	-1.569	-1.451	-2.241	-1.976	-2.744	-2.627
SNP__LRRN6C	-0.647	-0.178	-1.03	-0.386	-0.879	0.044	-0.067	1.187	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.151	-0.267	-2.607	0.735	-0.081	-0.479	-0.244	0.066	0.368	-3.104	-0.064	-0.433	0.306	-0.219	-0.216	-0.833	-0.866	-0.035	-0.357	-0.311	-0.167	-0.306	-0.064	0.019
SNP__DMRTA1	-0.648	-0.203	-1.03	-0.275	0.045	0.044	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.181	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.088	0.022
SNP__LOC441440	-0.26	-0.178	1.861	2.288	2.394	0.064	0.017	-0.573	0.129	0.094	0.347	1.881	0.04	-0.124	-0.018	0.1	0.011	-0.29	-0.094	2.423	0.464	-0.088	-0.006	1.694	2.642	-0.159	-0.186	0.2	0.162	2.292	1.231	0.047	-0.211	2.084	0.002	-0.053	-0.378	2.062	-0.139	1.735	0.024
SNP__WNK1	0.026	0.099	0.122	0.305	-2.678	-0.54	-0.009	-0.122	0.189	-3.535	0.077	-0.939	0.322	0.394	0.55	0.107	-3.139	0.382	0.808	-0.046	0.007	-0.115	-0.394	-0.18	-0.318	0.118	0.462	-0.447	0.882	-0.055	-0.226	0.032	-0.177	0.578	0.01	0.164	0.06	0.193	0.045	0.583	0.28
SNP__MGAM	0.006	-2.204	0.355	0.322	-0.135	0.422	0.032	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.557	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	0.18	-0.409	0.099	-1.689	0.526	-3.317	-0.006	-0.234	0.23	-0.287	-0.321	-0.042	0.028
SNP__LOC643827	-0.26	-0.178	-0.352	-0.211	-0.099	0.064	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-2.709	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.162	-0.24	-0.164	0.047	-2.826	0.168	0.002	-0.053	-0.07	-0.142	-0.139	-0.159	0.024
SNP__LOC252968	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.585	0.549	-0.207	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	-0.431	-0.364
SNP__ODF4	-0.021	-0.166	-0.156	-0.362	0.458	-0.517	0.009	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.276	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-4.426	-0.61	-0.207	-0.217	-0.182	0.164	-0.556	-0.156	-0.318	-3.845	-0.307	-3.855	-4.116
SNP__BCAS1	0.013	1.068	2.02	0.565	0.515	0.076	0.262	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.274	0.352	0.268	0.169	0.238	0.305	2.058	2.247	0.637	0.143	0.83	0.252	0.232	0.166	0.149	1.244	-0.184	0.683	0.028	0.371	0.855	-0.137	0.32	0.395	0.305
SNP__LOC654346	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.585	0.549	-0.207	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	-0.431	-0.364
SNP__LCE3B	-1.958	0.495	-0.129	-2.13	0.134	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	0.986	-1.643	0.174	0.268	-0.255	-0.111	0	-1.569	-1.451	0.291	-1.976	-2.744	-2.627
SNP__LOC147158	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.585	0.549	-0.207	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	-0.431	-0.364
SNP__POU6F2	0.01	0.649	0.468	0.372	-2.998	0.082	-0.094	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.657	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.104	0.17	0.191	0.226	-0.085	0.369	0.578	0.431	-0.201	-0.027	0.546	-2.616	0.126	0.315	0.558	0.36
SNP__LOC201288	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.585	0.549	-0.207	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	-0.431	-0.364
SNP__LOC220594	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.585	0.549	-0.207	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	-0.431	-0.364
SNP__FAM106A	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.585	0.549	-0.207	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	-0.431	-0.364
SNP__SLC25A37	0.027	-0.532	-0.332	-0.456	0.511	-0.54	-0.377	-0.425	0.152	-0.295	0.09	-0.453	-0.37	-3.962	-3.239	-0.59	-0.956	-0.036	-4.159	-0.445	-1.129	0.047	-0.433	-0.537	-3.29	-0.251	-0.823	-0.414	-4.081	-0.414	-0.218	-0.552	-5.047	-0.129	0.026	-0.156	-0.331	-0.746	-3.624	-0.066	0.011
SNP__LOC646611	-0.648	-0.203	-1.03	-0.262	0.032	0.044	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.429	-0.627	-0.219	-0.228	-2.484	-2.568	-0.025	-0.357	-1.991	-0.181	-0.306	-0.072	0.022
SNP__SLC25A24	0.014	0.102	-0.243	-0.156	0.224	0.456	0.01	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	0.04	-3.632	0.224	0.636	0.251	0.226	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.409	-0.063	0.151	0.268	0.164	0.188	-4.56	-3.419	-0.27	0.043	-4.56	-0.389	-0.36
SNP__ZNF291	1.389	1.241	-2.232	0.842	-2.143	-1.568	0.798	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	1.187	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.442	1.309	-1.604	0.992	-0.64	1.137	1.19	1.798	1.79	1.377	-1.361	1.031	-1.919	0	1.463	1.105
SNP__CDKN2B	-0.648	-0.203	-1.03	-0.275	0.166	0.044	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-1.014	-1.026	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.088	0.022
SNP__LOC252840	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.585	0.549	-0.207	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	-0.431	-0.364
SNP__LOC643847	-0.033	0.113	0.435	-0.1	0.207	-0.493	-0.403	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.041	0.28	0.23	-0.021	-0.225	-0.181	0.177	0.093	-0.11	0.111	-0.222	-0.037	0.196	-0.033	0.174	0.051	-0.159	0.307	-0.016	-3.563	-0.242	0.194	0.326	-0.458	-0.383
SNP__CES4	-0.627	-2.149	-0.004	0.161	0.179	0.089	2.752	-0.05	-0.2	0.091	2.452	0.254	0.626	0.919	0.504	-1.56	-0.316	-0.113	0.877	0.916	0.442	-0.133	-0.436	2.724	-0.074	0.245	-0.22	1.808	-0.41	0.158	0.152	-1.816	1.372	1.53	0.026	-0.24	0.185	-0.145	-2.051	2.961	1.452
SNP__DLG2	-0.634	0.113	-0.244	-0.632	-1.16	-0.541	-0.389	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.063	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	0.096	-0.208	-0.433	0.866	-0.044	0.139	0.051	-0.884	-2.328	-0.016	-0.106	-0.349	-0.024	0.324	-0.258	-0.386
SNP__RPS10P2	0.013	0.304	0.122	0.437	-0.355	0.09	-0.023	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	0.05	-0.604	-0.007	0.422	-0.08	0.305	0.168	0.109	0.067	0.143	-1.165	0.252	-2.608	0.157	-0.253	-0.255	-0.374	0.868	0.028	0.109	0.024	-0.133	-0.292	-0.202	-0.375
SNP__FSTL5	-0.003	-0.202	-0.174	-3.627	-0.378	0.066	0.003	-0.441	-0.227	-0.329	-3.392	-0.466	-0.032	-0.143	0.124	-0.241	0.089	-0.09	-1.066	-0.023	-0.254	-0.291	0.035	-0.206	-0.168	-1.14	0.116	0.17	-2.551	-0.052	-0.244	-0.234	-0.225	0.382	-0.171	-0.17	-0.008	-3.276	-0.307	-0.04	0.033
SNP__LOC402360	-0.647	-0.203	-1.03	-0.262	0.094	0.044	-0.067	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.865	-0.064	-0.433	-0.627	-0.219	-0.228	-0.833	-2.568	-0.025	-0.357	-1.991	-0.167	-0.306	-0.064	0.019
SNP__LOC440300	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.455	-0.64	-0.24	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-0.224	0	0.085	-0.388
