Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg15846641__HTLF	0.041806	0.4057	0.052103	0.066496	0.19341	0.13999	0.055919	0.19812	0.097207	0.054158	0.13573	0.035045	0.14092	0.04591	0.034031	0.29239	0.50731	0.17232	0.17581	0.072444	0.12015	0.074998	0.10623	0.15032	0.22769	0.04257	0.13164	0.068248	0.077645	0.037863	0.070052	0.069544	0.044561	0.040874	0.064373	0.059852	0.070732
Meth__cg16983211__HOXC5	0.5562	0.09748	0.89062	0.54065	0.50225	0.66427	0.16705	0.12214	0.13138	0.1053	0.79241	0.060952	0.44363	0.88026	0.083365	0.77355	0.083379	0.12947	0.10984	0.32799	0.37078	0.87593	0.4309	0.08344	0.14189	0.12764	0.16521	0.27376	0.34513	0.82127	0.25805	0.92233	0.31872	0.9055	0.88682	0.80522	0.88522
Meth__cg15948326__C11orf45	0.015478	0.016524	0.019576	0.64771	0.019323	0.045674	0.013055	0.023218	0.01767	0.017257	0.034362	0.01485	0.013316	0.015058	0.023631	0.023281	0.062886	0.019133	0.021716	0.026802	0.022917	0.018942	0.50529	0.018879	0.024894	0.29807	0.059541	0.020054	0.026897	0.039816	0.017688	0.20894	0.021451	0.8196	0.020673	0.02459	0.10596
Meth__cg04084157__VGF	0.055263	0.089861	0.042585	0.044898	0.080985	0.028875	0.048595	0.24848	0.062039	0.10372	0.19397	0.12265	0.23033	0.046732	0.059562	0.23951	0.87165	0.04824	0.096779	0.059002	0.064363	0.11056	0.88487	0.082092	0.098429	0.052972	0.88941	0.12509	0.0756	0.043426	0.059642	0.035773	0.09526	0.067304	0.063261	0.050518	0.050005
Meth__cg26336164__FEM1A	0.032944	0.036571	0.023017	0.025571	0.047094	0.018542	0.030297	0.025963	0.037017	0.042941	0.04935	0.3787	0.024857	0.032488	0.023507	0.099555	0.018237	0.038261	0.057352	0.024659	0.050765	0.018587	0.06859	0.031935	0.059455	0.024219	0.097179	0.02892	0.076489	0.020349	0.023916	0.019309	0.020606	0.015206	0.023727	0.0295	0.026991
Meth__cg15808558__EPHA4	0.031696	0.060263	0.036372	0.037056	0.048675	0.17531	0.061572	0.039878	0.051822	0.089797	0.10289	0.039958	0.041789	0.04954	0.04006	0.095316	0.041488	0.08273	0.051626	0.056025	0.060866	0.061351	0.089243	0.052437	0.073509	0.041937	0.088525	0.04304	0.090615	0.052314	0.042318	0.033093	0.258	0.032779	0.049665	0.04099	0.039896
Meth__cg01572266__PTPRG	0.055654	0.10294	0.086734	0.073594	0.094551	0.071254	0.2873	0.099546	0.41056	0.090331	0.40668	0.10191	0.13087	0.15075	0.073835	0.10759	0.046617	0.06843	0.10118	0.12958	0.091284	0.052083	0.19535	0.077221	0.16964	0.078443	0.17057	0.072652	0.087658	0.059479	0.52452	0.063232	0.20334	0.16825	0.065382	0.069079	0.10043
Meth__cg16792800__GPC6	0.067094	0.072961	0.030554	0.041833	0.55223	0.16965	0.96319	0.29942	0.89934	0.083026	0.64295	0.76942	0.41544	0.059979	0.56858	0.18589	0.04729	0.52496	0.074363	0.081161	0.088337	0.10651	0.13141	0.079054	0.13638	0.051736	0.17857	0.053771	0.085842	0.040158	0.063068	0.057396	0.94936	0.41226	0.049348	0.063996	0.05752
Meth__cg26309134__ZNF542	0.019986	0.9819	0.032272	0.54365	0.98064	0.93504	0.97477	0.031371	0.028213	0.98064	0.89469	0.63587	0.029665	0.88318	0.029058	0.11529	0.22461	0.98613	0.98058	0.02782	0.55875	0.022947	0.96333	0.59054	0.11555	0.03108	0.94905	0.030371	0.036343	0.021331	0.66275	0.017876	0.96445	0.95729	0.033802	0.96055	0.97855
Meth__cg04351979__CTXN1	0.029721	0.049884	0.02491	0.025434	0.034915	0.029534	0.038649	0.029566	0.033712	0.033655	0.064566	0.02718	0.036792	0.026401	0.046204	0.099346	0.12873	0.034185	0.038206	0.028725	0.36952	0.020473	0.046263	0.037381	0.051998	0.028119	0.041901	0.02888	0.06586	0.017654	0.047773	0.021085	0.031582	0.019903	0.043951	0.02753	0.028023
Meth__cg14601560__SCLY	0.08518	0.16414	0.080434	0.084485	0.096664	0.071064	0.67811	0.082814	0.097187	0.11528	0.14468	0.073566	0.10303	0.095025	0.09425	0.17969	0.11028	0.12511	0.09561	0.095213	0.11154	0.10431	0.10764	0.098058	0.11868	0.1059	0.13529	0.092012	0.12503	0.099448	0.082875	0.093346	0.099027	0.088259	0.084868	0.081757	0.091196
Meth__cg09903430__ST3GAL3	0.03659	0.069402	0.034032	0.038991	0.061026	0.06943	0.15427	0.04293	0.055826	0.040857	0.12715	0.050886	0.049613	0.042703	0.035958	0.07089	0.032996	0.052267	0.056344	0.079691	0.10878	0.213	0.11413	0.12139	0.4365	0.040773	0.097434	0.04902	0.068913	0.03757	0.04297	0.045723	0.042254	0.032039	0.10648	0.040219	0.038513
Meth__cg05922972__TSPAN3	0.042797	0.17799	0.042105	0.028965	0.047341	0.046213	0.045611	0.060789	0.050935	0.041836	0.071043	0.044609	0.040079	0.030367	0.034028	0.082556	0.025405	0.040859	0.048328	0.078263	0.047792	0.055429	0.10553	0.069773	0.087642	0.036619	0.13632	0.042966	0.053681	0.030643	0.034433	0.04054	0.18854	0.034103	0.037981	0.036393	0.034771
Meth__cg00468146__ID4	0.091625	0.10912	0.048574	0.14526	0.42955	0.082522	0.14252	0.058396	0.15301	0.13898	0.09629	0.30099	0.058815	0.053969	0.087453	0.080972	0.56694	0.39763	0.41309	0.10785	0.085063	0.29694	0.32127	0.062174	0.45491	0.77547	0.68686	0.063477	0.10402	0.055763	0.29249	0.050633	0.45637	0.044445	0.069941	0.058496	0.059412
Meth__cg03933322__CSAD	0.18652	0.3121	0.061424	0.11079	0.2467	0.05978	0.96276	0.081313	0.16347	0.37706	0.13559	0.19238	0.23324	0.057476	0.088347	0.30855	0.063844	0.18331	0.26353	0.25669	0.26398	0.31524	0.10291	0.18069	0.1708	0.12006	0.23947	0.060779	0.082491	0.16355	0.55183	0.060982	0.044648	0.08012	0.073333	0.070257	0.17652
Meth__cg11946769__NME6	0.02268	0.26304	0.028399	0.024424	0.046625	0.037767	0.024322	0.035846	0.039951	0.029718	0.076321	0.026449	0.030296	0.028148	0.024345	0.031333	0.02433	0.029023	0.036604	0.034478	0.046079	0.1779	0.054402	0.13723	0.084401	0.028518	0.047789	0.036603	0.10466	0.025821	0.39962	0.024339	0.036082	0.027989	0.032559	0.026342	0.02396
Meth__cg06719391__KCNQ1	0.047485	0.073827	0.027472	0.072405	0.046272	0.049219	0.18894	0.052554	0.044918	0.11917	0.075212	0.030659	0.10192	0.03435	0.023067	0.12197	0.029239	0.0468	0.084959	0.050897	0.14486	0.047173	0.039727	0.042351	0.070913	0.037248	0.15442	0.034678	0.025185	0.029241	0.13795	0.025362	0.031465	0.023138	0.034649	0.027469	0.02503
Meth__cg14037413__ZNF143	0.019496	0.024913	0.016058	0.018004	0.023268	0.029312	0.15108	0.014803	0.025762	0.060538	0.027936	0.022356	0.022576	0.020684	0.017405	0.05745	0.019133	0.028699	0.031796	0.11619	0.041625	0.026567	0.028689	0.022955	0.025174	0.019772	0.036702	0.022717	0.018941	0.024436	0.35178	0.013489	0.015268	0.02304	0.021775	0.018749	0.01676
Meth__cg14865868__TRIB2	0.64561	0.90034	0.47951	0.92525	0.34918	0.70175	0.06615	0.12181	0.087788	0.10818	0.15318	0.36293	0.34573	0.21309	0.076984	0.082829	0.059734	0.53975	0.11093	0.93116	0.076992	0.1001	0.10791	0.80564	0.24542	0.41727	0.32624	0.60627	0.74625	0.21996	0.55821	0.68587	0.81389	0.40836	0.87268	0.45903	0.085101
Meth__cg18931815__COL8A2	0.33521	0.43238	0.055919	0.89354	0.05915	0.38102	0.10811	0.19427	0.045365	0.88215	0.71347	0.028156	0.20362	0.66722	0.45648	0.049191	0.52184	0.044053	0.042625	0.8777	0.64855	0.089071	0.14	0.17866	0.24618	0.32071	0.3053	0.3831	0.3514	0.23482	0.21465	0.88523	0.040309	0.80195	0.87961	0.11043	0.2816
Meth__cg02376703__EPHA1	0.058166	0.054508	0.038427	0.5081	0.043358	0.27921	0.057901	0.054558	0.058448	0.040735	0.11305	0.022049	0.061279	0.046489	0.048034	0.047358	0.043597	0.032219	0.054098	0.058939	0.055269	0.024481	0.33556	0.076585	0.084487	0.70441	0.098926	0.055521	0.099753	0.050258	0.049411	0.056678	0.045598	0.073457	0.062116	0.064134	0.052697
Meth__cg13799206__ASRGL1	0.063399	0.164	0.020308	0.026843	0.95013	0.026953	0.030381	0.0427	0.027753	0.068293	0.59316	0.46028	0.04461	0.025902	0.02817	0.13156	0.061462	0.50852	0.50466	0.49365	0.039805	0.023023	0.61518	0.047754	0.072302	0.04214	0.53225	0.034159	0.046228	0.025758	0.10298	0.026757	0.032858	0.029112	0.031937	0.030517	0.032918
Meth__cg08700306__LRP3	0.34655	0.029985	0.038212	0.037435	0.038887	0.041216	0.82744	0.047049	0.28144	0.044869	0.41217	0.048698	0.043019	0.40806	0.027445	0.41259	0.054136	0.088368	0.10149	0.028419	0.13541	0.035374	0.52712	0.034702	0.13183	0.039621	0.043153	0.42666	0.39009	0.079143	0.41659	0.046393	0.037456	0.033679	0.033749	0.03356	0.033209
Meth__cg07684796__DKK1	0.041861	0.052029	0.02878	0.037552	0.057752	0.02796	0.90908	0.037937	0.60137	0.059309	0.044254	0.72464	0.28328	0.58059	0.038628	0.091394	0.53325	0.031821	0.047029	0.59975	0.043747	0.034524	0.052819	0.73334	0.61115	0.034351	0.63656	0.045247	0.050923	0.035332	0.044874	0.049527	0.89158	0.026794	0.44237	0.03886	0.055356
Meth__cg13958614__FOXD1	0.085385	0.09293	0.044101	0.052312	0.88175	0.02738	0.14169	0.041184	0.062029	0.068294	0.086414	0.89939	0.041285	0.086733	0.088682	0.16677	0.045584	0.47162	0.5081	0.57108	0.064971	0.59489	0.86824	0.086926	0.63331	0.048672	0.48553	0.065197	0.12866	0.052463	0.063003	0.048512	0.57974	0.89858	0.052637	0.058232	0.061593
Meth__cg25448636__FLCN	0.034145	0.031067	0.09201	0.026761	0.036393	0.065947	0.34646	0.032222	0.029961	0.031826	0.032329	0.030551	0.033239	0.029044	0.030002	0.044462	0.019825	0.031511	0.035347	0.049313	0.031382	0.03201	0.041963	0.021608	0.048937	0.038211	0.11296	0.034582	0.060802	0.93113	0.038435	0.044317	0.027113	0.032015	0.03387	0.042256	0.045118
Meth__cg04796162__IGFBP3	0.025759	0.093385	0.054941	0.25092	0.13361	0.72081	0.61219	0.021772	0.43325	0.85131	0.81539	0.5564	0.02923	0.054714	0.028851	0.083178	0.071536	0.87279	0.36231	0.53255	0.071658	0.53995	0.048183	0.66288	0.19383	0.31071	0.74935	0.02769	0.055612	0.037197	0.97643	0.048794	0.80799	0.81849	0.043231	0.036342	0.027316
Meth__cg01116966__TCF7	0.021816	0.056336	0.023155	0.62987	0.28248	0.11125	0.038427	0.020988	0.034332	0.1675	0.12615	0.027278	0.021659	0.034669	0.018378	0.035643	0.029488	0.25765	0.02535	0.054086	0.046766	0.29196	0.070231	0.028737	0.023714	0.018439	0.83891	0.11164	0.016935	0.032791	0.22247	0.015531	0.25573	0.014548	0.018027	0.025386	0.022346
Meth__cg02755525__NETO2	0.045455	0.039326	0.023219	0.025823	0.97071	0.030073	0.030038	0.027203	0.037931	0.047465	0.14172	0.020418	0.02566	0.43742	0.026377	0.11332	0.01865	0.041971	0.056156	0.0269	0.039233	0.97544	0.92225	0.042056	0.059448	0.384	0.10043	0.02925	0.047677	0.027044	0.017661	0.025167	0.96601	0.022044	0.037761	0.030265	0.031315
Meth__cg20886062__DCI	0.069646	0.48218	0.055692	0.036938	0.062254	0.032242	0.066955	0.039182	0.12752	0.082616	0.0494	0.17027	0.048899	0.074253	0.041076	0.095444	0.029379	0.042261	0.064174	0.049026	0.068568	0.17771	0.11756	0.39317	0.091827	0.034302	0.13478	0.050423	0.072422	0.034458	0.030023	0.033209	0.083813	0.031896	0.04083	0.40998	0.056119
Meth__cg11503011__EBF	0.12608	0.52755	0.11872	0.11646	0.13705	0.31385	0.70878	0.18492	0.18503	0.1433	0.17091	0.13838	0.19921	0.28647	0.19811	0.19726	0.23043	0.20634	0.31805	0.17156	0.12153	0.15144	0.56351	0.38205	0.21012	0.10481	0.69204	0.15919	0.22551	0.083273	0.16425	0.11064	0.64854	0.11326	0.19887	0.14967	0.11487
Meth__cg26805528__CRAT	0.30632	0.12195	0.65056	0.11697	0.30845	0.13225	0.9238	0.17688	0.85046	0.17715	0.72172	0.13021	0.19306	0.19769	0.15953	0.46852	0.1696	0.96417	0.90691	0.2819	0.1911	0.14388	0.15479	0.52306	0.2635	0.14595	0.15289	0.6416	0.38261	0.14945	0.96599	0.12397	0.96647	0.14099	0.16276	0.16409	0.17465
Meth__cg09874752__SFRP5	0.042928	0.65626	0.045226	0.51225	0.81316	0.34316	0.2371	0.038552	0.11061	0.63952	0.89858	0.054809	0.041333	0.53221	0.055901	0.082062	0.037566	0.94747	0.95539	0.12495	0.90829	0.47688	0.91906	0.60734	0.074098	0.18106	0.91788	0.052115	0.088973	0.040454	0.067201	0.063371	0.93694	0.27297	0.048482	0.55043	0.076095
Meth__cg18219951__GABRG2	0.060276	0.37071	0.085969	0.07614	0.11421	0.085762	0.19981	0.29191	0.084848	0.68721	0.17578	0.076949	0.22915	0.15073	0.098958	0.1468	0.095361	0.071571	0.10273	0.11866	0.10928	0.20169	0.11689	0.088433	0.089539	0.045005	0.20181	0.065384	0.077028	0.057186	0.28276	0.28195	0.1664	0.069846	0.088407	0.11147	0.097542
Meth__cg10481417__CYP1A1	0.033206	0.051886	0.021262	0.034352	0.039017	0.016335	0.036351	0.030628	0.035077	0.03526	0.051497	0.016864	0.029912	0.03059	0.033385	0.085169	0.21632	0.031908	0.042968	0.028898	0.038511	0.024123	0.089353	0.02625	0.13507	0.025925	0.067885	0.039578	0.042121	0.03174	0.1778	0.027025	0.037442	0.022356	0.03191	0.031272	0.030768
Meth__cg08026144__PCSK5	0.062046	0.079865	0.052849	0.05981	0.54397	0.1184	0.10539	0.074978	0.086678	0.069419	0.23705	0.095082	0.10693	0.076087	0.056458	0.13753	0.066531	0.59688	0.51864	0.074306	0.064605	0.064311	0.12052	0.070415	0.089798	0.061644	0.13645	0.09307	0.10158	0.067478	0.068783	0.058572	0.84033	0.063326	0.077068	0.08149	0.080531
Meth__cg03361068__TRIM9	0.025567	0.34726	0.030048	0.022941	0.17252	0.11683	0.025973	0.033151	0.039274	0.061642	0.32895	0.48727	0.029089	0.04464	0.026377	0.051163	0.025271	0.81623	0.38472	0.029857	0.051557	0.053914	0.82344	0.19485	0.062065	0.052903	0.48978	0.10095	0.039786	0.03363	0.038796	0.087456	0.11143	0.031192	0.02757	0.039998	0.041536
Meth__cg03046445__BHLHB3	0.1373	0.087394	0.31591	0.059842	0.3974	0.30457	0.49079	0.24161	0.048805	0.1029	0.1309	0.14037	0.1497	0.80998	0.050072	0.080779	0.047302	0.17109	0.10812	0.87728	0.060499	0.067536	0.11092	0.089826	0.096876	0.52762	0.10671	0.3636	0.3161	0.27524	0.092856	0.40083	0.45493	0.9034	0.19048	0.46626	0.6889
Meth__cg21039631__CD58	0.13439	0.21295	0.53791	0.37054	0.52876	0.25767	0.048417	0.67701	0.18618	0.37086	0.045403	0.031703	0.62359	0.12084	0.26389	0.0362	0.3026	0.16322	0.032422	0.4367	0.26233	0.16627	0.039522	0.047417	0.067412	0.070423	0.03824	0.40181	0.45474	0.23446	0.27838	0.37367	0.086838	0.3644	0.041597	0.4901	0.61963
Meth__cg11732619__SLIT3	0.040291	0.051743	0.03326	0.032471	0.38912	0.070031	0.90191	0.047453	0.04744	0.96157	0.70434	0.09537	0.041075	0.048377	0.518	0.15651	0.030693	0.9653	0.73138	0.048627	0.045762	0.042643	0.89602	0.050471	0.091818	0.048583	0.57943	0.8642	0.070068	0.029545	0.12443	0.038552	0.96687	0.077493	0.044735	0.04783	0.05521
Meth__cg00746981__HDGF	0.063848	0.081265	0.039327	0.041391	0.05108	0.049722	0.10627	0.053103	0.052413	0.064124	0.3539	0.10934	0.059836	0.062294	0.049956	0.12694	0.059103	0.056249	0.050281	0.044865	0.055475	0.060301	0.081697	0.080466	0.052916	0.043489	0.081078	0.24102	0.082679	0.050786	0.053446	0.036297	0.021665	0.039202	0.062135	0.049097	0.051035
Meth__cg08797471__DAPK1	0.076237	0.1122	0.05904	0.7454	0.48532	0.05001	0.048839	0.080762	0.074662	0.12939	0.09317	0.10787	0.098447	0.071923	0.084055	0.14986	0.51893	0.80396	0.29405	0.081095	0.089703	0.072648	0.92606	0.08167	0.1103	0.081774	0.10853	0.072366	0.090526	0.064949	0.10207	0.05559	0.058869	0.055736	0.082333	0.079283	0.069249
Meth__cg01555431__AKAP12	0.13082	0.62169	0.062559	0.78183	0.8872	0.048574	0.29257	0.082846	0.092812	0.23604	0.62416	0.20205	0.10368	0.062353	0.074953	0.25497	0.13808	0.88649	0.88202	0.78703	0.09297	0.84198	0.85168	0.85804	0.13139	0.077252	0.85312	0.56555	0.14228	0.071943	0.085334	0.060199	0.87838	0.87831	0.085628	0.082408	0.092129
Meth__cg13765785__SCN3B	0.12824	0.61181	0.098868	0.82963	0.82203	0.056813	0.53261	0.42545	0.121	0.73936	0.17427	0.091211	0.33211	0.11728	0.45274	0.1343	0.25719	0.87833	0.88038	0.40906	0.15386	0.096199	0.80561	0.81554	0.18991	0.10472	0.49012	0.1392	0.15432	0.10611	0.17136	0.10558	0.85262	0.090089	0.11201	0.25977	0.11249
Meth__cg04466253__ACBD5	0.022479	0.03411	0.016693	0.022516	0.026894	0.032138	0.039624	0.027467	0.029449	0.04432	0.06678	0.17774	0.020433	0.025396	0.01975	0.051738	0.02099	0.02418	0.030793	0.022916	0.034399	0.023253	0.038086	0.035417	0.085288	0.021767	0.05027	0.036337	0.047569	0.020797	0.020428	0.015321	0.019205	0.026253	0.031249	0.024654	0.024483
