Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Meth__cg05593325__GALNT12	0.047858	0.069214	0.049	0.039134	0.68364	0.062393	0.95556	0.054137	0.61865	0.76862	0.2865	0.04416	0.86222	0.61069	0.24941	0.65437	0.057826	0.15628	0.29201	0.83304	0.041789	0.08356	0.079646	0.085818	0.082019	0.026389	0.78032	0.11093	0.068765	0.063438
Meth__cg18170080__ESAM	0.040759	0.042778	0.10035	0.12714	0.96562	0.15533	0.1319	0.080948	0.91862	0.34667	0.45576	0.15901	0.63738	0.071434	0.24677	0.76765	0.085793	0.17422	0.2585	0.061798	0.061233	0.094344	0.065096	0.057085	0.43922	0.05679	0.80284	0.11385	0.056081	0.26901
Meth__cg02870945__REEP1	0.021888	0.027956	0.027579	0.027037	0.65465	0.030451	0.087008	0.021208	0.46218	0.057462	0.098518	0.03032	0.31351	0.043067	0.06202	0.46782	0.024049	0.090174	0.046374	0.68671	0.020261	0.035977	0.040657	0.033393	0.035222	0.028002	0.13288	0.084914	0.024142	0.032288
Meth__cg25938646__SLITRK1	0.83281	0.069806	0.7862	0.18022	0.94905	0.63223	0.96744	0.22839	0.72005	0.27743	0.93399	0.22151	0.88478	0.063837	0.071051	0.62796	0.13399	0.92181	0.45904	0.87429	0.27104	0.90393	0.041025	0.072214	0.59884	0.027814	0.89227	0.084151	0.050733	0.64263
Meth__cg20066612__KCNJ9	0.068951	0.017019	0.58139	0.096835	0.85154	0.26037	0.94331	0.021536	0.47058	0.51204	0.8186	0.21257	0.70507	0.14727	0.82376	0.6894	0.16372	0.45407	0.29779	0.81705	0.37468	0.44018	0.13276	0.029851	0.92612	0.093961	0.85949	0.025349	0.16879	0.1361
Meth__cg20979799__RFXDC1	0.054135	0.071539	0.070442	0.058505	0.87108	0.091855	0.13902	0.080354	0.29348	0.32712	0.61743	0.065185	0.46859	0.25247	0.12645	0.31737	0.090243	0.31585	0.067917	0.91991	0.053366	0.21305	0.076611	0.080719	0.17186	0.07369	0.46478	0.13727	0.066853	0.090965
Meth__cg09882647__C20orf35	0.19529	0.10757	0.069343	0.061235	0.40313	0.11823	0.32004	0.23111	0.067004	0.081363	0.28668	0.072448	0.21147	0.51348	0.17281	0.30076	0.051799	0.23192	0.22312	0.56486	0.072495	0.25543	0.06786	0.051347	0.90385	0.076548	0.22847	0.030689	0.046467	0.053007
Meth__cg10951619__FAM5C	0.26611	0.056186	0.10926	0.068854	0.83588	0.1214	0.36509	0.19165	0.32089	0.20645	0.47664	0.064942	0.56795	0.09	0.24176	0.17204	0.19525	0.42525	0.074318	0.59223	0.14799	0.36968	0.1029	0.14526	0.31904	0.076741	0.6712	0.13338	0.063958	0.089048
Meth__cg06268694__CELSR1	0.52938	0.044622	0.04444	0.043023	0.97954	0.036228	0.98374	0.046891	0.9835	0.50995	0.060222	0.7643	0.54771	0.039517	0.065766	0.89487	0.052949	0.033258	0.10076	0.93083	0.043537	0.70956	0.13669	0.075981	0.053994	0.029094	0.25305	0.096289	0.046955	0.04317
Meth__cg09558850__TFPI2	0.12293	0.22284	0.43654	0.13255	0.89089	0.12485	0.92975	0.095058	0.88899	0.69737	0.85805	0.33175	0.8721	0.68112	0.13795	0.89413	0.1046	0.35783	0.15769	0.20803	0.15285	0.6469	0.11449	0.12292	0.62121	0.11469	0.94325	0.71286	0.10849	0.18847
Meth__cg20858478__B4GALNT2	0.058617	0.06916	0.037452	0.072396	0.8978	0.078303	0.67936	0.054812	0.89475	0.1418	0.24374	0.059758	0.75261	0.069566	0.18502	0.83067	0.045938	0.33942	0.06911	0.76868	0.044246	0.17602	0.15143	0.068137	0.079518	0.07097	0.8472	0.12175	0.041849	0.061623
Meth__cg23641145__PGR	0.083237	0.043481	0.097412	0.049949	0.44383	0.069574	0.2033	0.070646	0.7168	0.19315	0.20206	0.076844	0.82687	0.052906	0.16607	0.060934	0.062508	0.094527	0.050295	0.59159	0.053998	0.28277	0.075145	0.056275	0.54288	0.058414	0.2426	0.08908	0.043607	0.13787
RS_G12178__SERPINB7__SERPINB7	0.9442	0	0	0	5.6432	0	4.7067	0	5.5995	5.0834	3.2114	0	4.5919	3.2161	2.0948	3.124	0	0.75502	3.0792	2.3119	0	0	2.1682	0	4.6954	0.18709	0.6301	0	0	0
RS_G16319__SERHL2__SERHL2	5.5576	9.6885	4.2228	5.1276	3.5316	4.1391	4.4021	3.0556	6.0929	4.2306	3.487	4.2993	5.1006	5.2126	4.4447	4.1099	8.2175	3.9131	8.19	3.8247	5.6157	3.797	11.2439	4.1716	4.2778	10.349	3.1849	6.6946	6.6957	10.0126
Meth__cg13084429__VWA2	0.065969	0.066077	0.098901	0.060597	0.90433	0.093978	0.3681	0.078803	0.30751	0.09552	0.36827	0.074335	0.62306	0.080465	0.09725	0.18899	0.070183	0.10272	0.056229	0.88151	0.067477	0.15017	0.11047	0.088647	0.10833	0.048411	0.7156	0.15128	0.064698	0.048228
Meth__cg16306115__DCDC2	0.060193	0.057168	0.39328	0.044118	0.96495	0.21977	0.9716	0.067551	0.95083	0.5537	0.93845	0.016931	0.96175	0.23637	0.089921	0.76292	0.42865	0.44639	0.061832	0.93442	0.064809	0.84546	0.15618	0.27734	0.41844	0.045593	0.68866	0.37804	0.063045	0.078026
RS_G21732__AL136362.10__AL136362.10	3.6177	1.379	2.4086	2.3687	6.8619	2.9602	8.6421	5.6378	2.8629	8.2796	3.0449	3.3737	4.9523	3.5242	4.687	7.4838	2.2294	4.1893	2.5963	5.016	2.5979	2.9509	1.0728	4.8527	7.0765	2.0186	2.0514	2.0133	2.6182	1.9024
Meth__cg00775197__MGC33600	0.37213	0.094818	0.09025	0.069916	0.6017	0.25383	0.34106	0.056413	0.62196	0.19303	0.50474	0.099555	0.26688	0.12961	0.13149	0.47228	0.10776	0.076611	0.28462	0.79665	0.065904	0.7657	0.13644	0.24588	0.30259	0.048817	0.4405	0.12195	0.061846	0.16662
Meth__cg01968178__REEP1	0.035918	0.034781	0.038688	0.032186	0.17988	0.049902	0.1076	0.05595	0.17338	0.06864	0.12855	0.029539	0.099982	0.089925	0.12993	0.047491	0.045606	0.072723	0.041694	0.59568	0.038283	0.13097	0.05461	0.037492	0.073046	0.02979	0.080094	0.053427	0.037245	0.036759
RS_G7049__FST__FST	0.37356	1.2178	0	0.32105	8.0293	0.17319	7.5365	0.42735	1.6952	7.5214	6.4096	0.98646	5.0857	2.5122	0.29056	8.3569	0	0.71744	1.5923	8.5197	1.1726	0.93095	0	1.1072	1.0014	1.8478	1.9509	0.36358	2.0237	0.77804
Meth__cg13562911__ELOVL2	0.049263	0.048088	0.87337	0.04196	0.56401	0.044175	0.064134	0.042783	0.98119	0.3748	0.92931	0.33561	0.75494	0.037767	0.17098	0.65235	0.04182	0.040008	0.77915	0.95752	0.044541	0.95565	0.077842	0.039186	0.58079	0.041229	0.96407	0.077983	0.34261	0.44802
Meth__cg15626350__ESR1	0.07437	0.07743	0.097128	0.11194	0.58569	0.10393	0.92222	0.085668	0.67831	0.13583	0.88983	0.197	0.76134	0.08036	0.26272	0.35854	0.23673	0.069348	0.79459	0.86373	0.11172	0.26032	0.10278	0.06994	0.65742	0.097973	0.88737	0.20269	0.074428	0.70664
Meth__cg22197787__KCNH1	0.038336	0.037857	0.085851	0.025793	0.040274	0.046505	0.22295	0.047628	0.5494	0.33499	0.81288	0.1881	0.6429	0.026599	0.08378	0.039043	0.057233	0.036973	0.11362	0.77621	0.041838	0.23846	0.088852	0.036334	0.30865	0.033888	0.498	0.055858	0.045293	0.20777
Meth__cg06745740__HGF	0.29978	0.044027	0.59438	0.072332	0.77124	0.43395	0.76494	0.14101	0.67729	0.17938	0.66156	0.16301	0.46762	0.40309	0.14987	0.74311	0.10446	0.77996	0.16352	0.69808	0.25872	0.48233	0.058748	0.098878	0.84888	0.048051	0.13428	0.084993	0.22309	0.21883
Meth__cg06121469__KIAA1840	0.031845	0.035177	0.2548	0.055885	0.12272	0.029418	0.32407	0.04789	0.77762	0.13206	0.095393	0.053709	0.04982	0.19034	0.051279	0.91909	0.09875	0.13586	0.062951	0.092991	0.059305	0.25811	0.055885	0.043027	0.71648	0.035823	0.054833	0.046445	0.037325	0.038767
Meth__cg27560922__ARHGDIG	0.16737	0.047577	0.048861	0.050301	0.84785	0.74232	0.6708	0.057611	0.9274	0.56457	0.87597	0.1102	0.12675	0.052203	0.13806	0.055768	0.059566	0.30669	0.12428	0.81363	0.055264	0.79672	0.08571	0.055151	0.062751	0.056005	0.44915	0.088407	0.076499	0.073966
Meth__cg26542888__RNF2	0.038471	0.027809	0.54791	0.068837	0.57577	0.087043	0.57978	0.048253	0.37655	0.38933	0.70364	0.049008	0.35766	0.14895	0.061541	0.13914	0.032033	0.16051	0.071716	0.29053	0.082075	0.13045	0.077103	0.037837	0.14969	0.050493	0.28699	0.041394	0.032185	0.23069
Meth__cg08955609__APOE	0.023596	0.03179	0.29571	0.036658	0.67491	0.067427	0.62356	0.040101	0.80753	0.34698	0.23688	0.024524	0.62586	0.57156	0.067426	0.056207	0.036009	0.41677	0.042072	0.56178	0.24307	0.71274	0.040279	0.03766	0.56072	0.14777	0.28176	0.0206	0.02875	0.030139
Meth__cg01519742__JAKMIP1	0.030357	0.023443	0.02894	0.018709	0.72168	0.027624	0.55981	0.036173	0.043988	0.29964	0.12275	0.98425	0.032528	0.050461	0.046013	0.20033	0.044121	0.025803	0.040976	0.95995	0.035035	0.79604	0.081231	0.02874	0.58003	0.021227	0.03167	0.069697	0.034839	0.030228
Meth__cg16154416__RASGRF1	0.16198	0.084868	0.081863	0.035728	0.93546	0.16386	0.96689	0.059648	0.61629	0.090576	0.11988	0.042009	0.49717	0.19961	0.1131	0.39103	0.47286	0.93459	0.49615	0.8519	0.056603	0.86444	0.12253	0.099213	0.40613	0.029828	0.54977	0.28501	0.060939	0.056213
Meth__cg16899442__C16orf25	0.082495	0.1244	0.095671	0.055504	0.66883	0.10853	0.49231	0.12109	0.47081	0.81566	0.59193	0.44886	0.48048	0.31335	0.20298	0.5165	0.15521	0.093301	0.1138	0.4214	0.20077	0.14596	0.14462	0.16291	0.1658	0.070856	0.25579	0.12196	0.088903	0.30476
Meth__cg13812587__TMEM15	0.021888	0.02041	0.035598	0.018394	0.13909	0.023018	0.025876	0.033581	0.17319	0.12611	0.061947	0.013501	0.035624	0.027545	0.027425	0.083212	0.02255	0.056354	0.089342	0.93648	0.035698	0.070668	0.048905	0.025296	0.051992	0.022901	0.025386	0.044408	0.045641	0.027317
Meth__cg07035740__SNCB	0.041188	0.044635	0.063225	0.041465	0.19688	0.57354	0.46532	0.041275	0.34839	0.64327	0.7185	0.05039	0.29728	0.17924	0.062976	0.23862	0.062756	0.047042	0.070609	0.82305	0.049889	0.50289	0.050504	0.034321	0.084185	0.10872	0.70459	0.068286	0.04186	0.046727
Meth__cg15879316__CELSR1	0.10539	0.089754	0.10928	0.083101	0.69252	0.092694	0.18526	0.11713	0.27262	0.23424	0.14988	0.18246	0.32446	0.069384	0.10766	0.084913	0.12348	0.1051	0.057407	0.62214	0.1087	0.22825	0.1801	0.072114	0.26598	0.064738	0.86101	0.080887	0.10604	0.1242
Meth__cg24352530__ABCG2	0.51529	0.067602	0.18039	0.14824	0.90169	0.070671	0.47557	0.078023	0.65805	0.18186	0.44588	0.58028	0.61561	0.32285	0.076175	0.62351	0.073019	0.93637	0.75303	0.087879	0.075161	0.41387	0.13552	0.039153	0.051912	0.078351	0.92084	0.19924	0.07398	0.39206
Meth__cg07028869__FLJ13236	0.12184	0.098944	0.17888	0.074349	0.71136	0.13488	0.22773	0.14291	0.77206	0.4351	0.78038	0.11378	0.52963	0.12443	0.17249	0.24395	0.15134	0.23589	0.27739	0.11961	0.24211	0.16437	0.14011	0.50142	0.92463	0.1082	0.32012	0.14384	0.11582	0.16402
Meth__cg02087637__PCDHB8	0.17018	0.046429	0.66776	0.053328	0.52232	0.059564	0.77164	0.053685	0.38439	0.28127	0.25206	0.43005	0.34244	0.14409	0.11185	0.053446	0.22731	0.19168	0.33235	0.2761	0.12983	0.51415	0.055992	0.061474	0.16923	0.051395	0.25306	0.090405	0.18119	0.11399
Meth__cg18464137__SEMA3E	0.13107	0.048329	0.063129	0.059142	0.41587	0.075795	0.92134	0.059945	0.68551	0.08511	0.20054	0.18544	0.41663	0.12655	0.095691	0.41402	0.060107	0.89713	0.055545	0.088533	0.084117	0.9103	0.080617	0.32658	0.8323	0.048881	0.16718	0.089109	0.080666	0.065782
Meth__cg02765328__CCND2	0.49722	0.03368	0.080451	0.066181	0.96614	0.66837	0.95937	0.067905	0.96926	0.77828	0.54768	0.9184	0.050696	0.35723	0.086547	0.42526	0.89328	0.40824	0.77327	0.9057	0.47593	0.93685	0.096048	0.024801	0.24462	0.03524	0.7729	0.18026	0.079979	0.33784
Meth__cg12087643__GFRA1	0.20784	0.034729	0.040385	0.024357	0.066206	0.49287	0.44012	0.039237	0.79914	0.84149	0.68784	0.063144	0.63465	0.043338	0.097445	0.48424	0.03114	0.12166	0.10278	0.7715	0.031025	0.76701	0.13606	0.040793	0.058805	0.03368	0.37639	0.0704	0.55096	0.04325
Meth__cg10163825__C16orf25	0.046491	0.082308	0.084318	0.037719	0.97072	0.072378	0.91759	0.090737	0.91888	0.96899	0.6019	0.44106	0.79994	0.49011	0.30667	0.94158	0.070051	0.044089	0.12942	0.80063	0.3139	0.10541	0.1375	0.26326	0.19038	0.24411	0.81978	0.086415	0.047196	0.33991
Meth__cg17686885__TOM1L1	0.040621	0.50217	0.2265	0.091196	0.64305	0.059217	0.61575	0.062885	0.30154	0.62502	0.84488	0.076522	0.32774	0.07878	0.17543	0.82955	0.17563	0.23286	0.17762	0.5	0.070471	0.062608	0.31996	0.039205	0.44549	0.043614	0.68656	0.13697	0.072017	0.23937
Meth__cg07888234__TNFRSF11A	0.082325	0.037247	0.19909	0.035517	0.94785	0.34424	0.13052	0.026322	0.79774	0.48552	0.31047	0.081181	0.23552	0.052932	0.23753	0.42376	0.057391	0.27181	0.1525	0.55884	0.088964	0.39367	0.072829	0.031775	0.59839	0.033792	0.063019	0.15202	0.044876	0.20765
Meth__cg00818872__CHRNB2	0.051507	0.028276	0.25527	0.039837	0.38427	0.087665	0.24211	0.088072	0.89605	0.4065	0.77826	0.072031	0.20844	0.057858	0.14727	0.044694	0.068342	0.056825	0.18865	0.83985	0.13329	0.88813	0.081612	0.03901	0.07172	0.052591	0.55772	0.14013	0.054649	0.075885
RS_G13489__LRRC8C__LRRC8C	2.418	1.5417	1.7488	2.4041	6.0762	1.4049	4.2775	3.6831	5.1997	3.9768	4.0136	3.0991	6.0583	4.9818	5.6925	6.064	2.0266	4.3586	2.1772	8.3452	1.0245	0.97754	0	2.3141	2.6248	0.61749	1.4293	1.3006	1.0774	1.2874
Meth__cg07017374__FLT3	0.038732	0.083311	0.060403	0.047054	0.97612	0.064323	0.056919	0.076683	0.96014	0.82494	0.64938	0.15263	0.10864	0.13835	0.085498	0.78864	0.23776	0.2561	0.77401	0.91193	0.46411	0.34125	0.13342	0.14959	0.50336	0.040797	0.28135	0.91824	0.081695	0.066198
Meth__cg04653308__PPP2R4	0.11889	0.10337	0.111	0.301	0.68219	0.11429	0.60047	0.22276	0.48858	0.68238	0.34509	0.091529	0.40823	0.52885	0.13246	0.57075	0.28407	0.7622	0.40389	0.41105	0.17219	0.12463	0.12452	0.20374	0.13461	0.12733	0.19544	0.19895	0.14034	0.11432
Meth__cg09717545__KISS1R	0.13414	0.14981	0.46507	0.057166	0.30306	0.22449	0.68559	0.15493	0.94985	0.15988	0.77231	0.1312	0.94259	0.13281	0.20515	0.44505	0.22012	0.22793	0.19202	0.88931	0.15292	0.28545	0.20951	0.087722	0.13643	0.08803	0.68012	0.13199	0.09944	0.3763
RS_G17307__KRT14__KRT14	0.24717	1.1678	1.781	1.2666	2.595	1.5424	12.9384	3.3626	2.6226	10.8786	2.5079	0.55228	9.1398	0	7.7913	12.0549	0.29759	0.44893	10.8776	0.91201	0.29051	5.7017	0.54968	0	7.0103	6.5301	0.71452	0.85755	1.1256	0.41714
Meth__cg08185661__SYT9	0.046786	0.028492	0.059991	0.021447	0.92144	0.037173	0.59523	0.034102	0.97	0.21236	0.88602	0.030623	0.046632	0.57775	0.0678	0.29544	0.047994	0.52128	0.028404	0.90706	0.031756	0.71407	0.037266	0.041872	0.076466	0.026636	0.12501	0.13957	0.025744	0.025164
Meth__cg03462055__TUBB2B	0.53115	0.034674	0.47668	0.068541	0.86597	0.24352	0.53545	0.044191	0.76671	0.068734	0.24105	0.10886	0.96423	0.050832	0.15506	0.35066	0.19399	0.25973	0.23001	0.92535	0.058978	0.93699	0.13532	0.092339	0.051657	0.031012	0.71918	0.04955	0.041353	0.044594
Meth__cg04297329__NAP1L2	0.076532	0.047949	0.099703	0.092889	0.33258	0.87286	0.91096	0.079231	0.90102	0.55696	0.23559	0.12264	0.26339	0.61411	0.093661	0.13708	0.11463	0.77634	0.2423	0.61687	0.21111	0.19537	0.10928	0.11022	0.40924	0.05939	0.61871	0.30531	0.082182	0.13464
Meth__cg12053284__SYT4	0.051167	0.060019	0.058073	0.032443	0.11462	0.097939	0.71267	0.063823	0.2484	0.14407	0.12651	0.18272	0.081182	0.034296	0.15525	0.057099	0.068794	0.96172	0.051686	0.44192	0.054869	0.66718	0.094055	0.038935	0.64182	0.062309	0.17639	0.11746	0.048161	0.32393
Meth__cg11285003__HCN1	0.076021	0.035795	0.076644	0.058888	0.63537	0.91933	0.92069	0.21373	0.92123	0.33388	0.18006	0.82536	0.075699	0.048528	0.072012	0.13654	0.1132	0.14165	0.049488	0.64376	0.043658	0.84442	0.060172	0.24829	0.099205	0.057832	0.6014	0.24794	0.089569	0.038745
Meth__cg05016953__SLC6A4	0.047394	0.039958	0.027374	0.023555	0.30932	0.037314	0.1013	0.024124	0.86507	0.042541	0.52587	0.032368	0.80927	0.042482	0.04723	0.40105	0.031714	0.68081	0.042564	0.93687	0.027819	0.16797	0.047253	0.022803	0.029684	0.017522	0.43516	0.04046	0.030433	0.52694
Meth__cg22957381__KCND3	0.035443	0.046071	0.040332	0.026299	0.76599	0.059558	0.054462	0.038549	0.21296	0.16989	0.30663	0.27485	0.08663	0.21571	0.1555	0.16752	0.08934	0.035611	0.087255	0.78108	0.046753	0.26304	0.12242	0.034032	0.12966	0.024902	0.059089	0.099532	0.035301	0.03471
Meth__cg22199080__CENTG1	0.23625	0.061486	0.094972	0.058438	0.61599	0.10154	0.64392	0.086269	0.17566	0.25413	0.098611	0.0721	0.35797	0.10244	0.14007	0.1412	0.065632	0.099916	0.079722	0.22008	0.070071	0.12767	0.10867	0.067304	0.38455	0.049982	0.07832	0.091163	0.070947	0.046488
Meth__cg22862656__SCGB2A2	0.055845	0.047079	0.24138	0.22013	0.70361	0.095397	0.84339	0.36142	0.87111	0.17338	0.22479	0.069192	0.46196	0.671	0.090973	0.84613	0.13718	0.74933	0.12477	0.82923	0.129	0.16283	0.054846	0.59018	0.30056	0.043506	0.146	0.12228	0.18009	0.076393
Meth__cg20587543__ABAT	0.028956	0.028733	0.09379	0.027146	0.17395	0.030841	0.50676	0.025526	0.045898	0.092194	0.75104	0.036583	0.11337	0.045304	0.047798	0.051279	0.033901	0.031248	0.033162	0.59183	0.024511	0.036477	0.052152	0.021054	0.079804	0.027105	0.04787	0.040451	0.025423	0.036443
Meth__cg24113449__ADRBK2	0.21043	0.069616	0.10117	0.1323	0.47439	0.24466	0.18162	0.27612	0.23964	0.25736	0.58738	0.38447	0.079743	0.25053	0.194	0.29438	0.20666	0.14256	0.28209	0.70258	0.056541	0.53603	0.13028	0.041012	0.05483	0.060012	0.39361	0.15232	0.25418	0.068955
Meth__cg23898073__GFRA1	0.052894	0.043609	0.045422	0.028975	0.030014	0.17886	0.47622	0.039882	0.8304	0.18774	0.33802	0.53776	0.55305	0.037497	0.12057	0.11619	0.05444	0.16311	0.13802	0.90047	0.044413	0.67327	0.069246	0.046046	0.055439	0.040196	0.37933	0.11516	0.43836	0.033958
RS_G1729__CEACAM6__CEACAM6	11.2531	7.9363	10.8111	5.9404	0	1.8647	1.1825	2.7211	0	5.1973	10.3268	4.9433	2.3833	0	9.8898	0.33274	6.9464	1.0683	5.9412	0	8.5402	0.18692	7.701	0.64487	0	10.0528	4.5531	5.094	6.3261	7.8943
Meth__cg06194808__MGC9712	0.039015	0.030417	0.047525	0.028877	0.95859	0.040862	0.89272	0.039881	0.59916	0.095047	0.1619	0.034433	0.048879	0.96215	0.046484	0.96763	0.03651	0.060679	0.20614	0.82698	0.038014	0.089286	0.11732	0.11915	0.12042	0.035145	0.058457	0.070543	0.047601	0.035964
Meth__cg19639622__GPM6A	0.025736	0.019451	0.047739	0.041683	0.029123	0.024754	0.036557	0.036287	0.11108	0.02787	0.32594	0.035717	0.066993	0.019711	0.081609	0.030029	0.024395	0.065015	0.02564	0.041471	0.034084	0.11904	0.021272	0.021731	0.27876	0.024354	0.063182	0.028534	0.020458	0.034679
Meth__cg21922841__SLC9A3R1	0.044974	0.018208	0.02608	0.027716	0.39734	0.06852	0.28439	0.037116	0.085945	0.079541	0.079498	0.027572	0.094118	0.19259	0.042213	0.028081	0.057086	0.49124	0.11855	0.18491	0.069953	0.178	0.027038	0.022754	0.03042	0.017868	0.037247	0.055263	0.018286	0.026066
RS_G5632__POF1B__POF1B	3.5829	2.9715	6.5667	4.6059	0	3.611	1.8493	8.4924	0.11745	0.5287	1.2403	3.8408	0.74799	0.9373	5.002	0	5.5091	2.4432	0.41607	0	4.135	0.95867	2.3599	0	0	4.4269	1.4106	1.9519	0.56039	5.3682
Meth__cg10071275__MYT1	0.12511	0.092764	0.10019	0.10137	0.85357	0.13432	0.83154	0.11294	0.84276	0.94948	0.19941	0.11955	0.47015	0.66379	0.18482	0.45813	0.21422	0.10606	0.58901	0.70847	0.10562	0.19864	0.13973	0.25298	0.42164	0.093689	0.10277	0.16352	0.14533	0.088365
Meth__cg17269277__FGFR3	0.054833	0.030412	0.042183	0.029507	0.51432	0.044986	0.036726	0.076125	0.061564	0.093464	0.36731	0.041044	0.23718	0.032179	0.07856	0.23803	0.053991	0.27818	0.93225	0.92212	0.045392	0.69648	0.056949	0.040621	0.02005	0.032142	0.52744	0.1118	0.056953	0.043302
Meth__cg09226684__KLK10	0.57287	0.087975	0.2924	0.10584	0.38722	0.10052	0.17463	0.10219	0.86567	0.72887	0.12721	0.13035	0.12659	0.27874	0.10526	0.2206	0.12513	0.63634	0.36703	0.29566	0.11556	0.56308	0.076601	0.11019	0.11508	0.11836	0.11587	0.11765	0.088704	0.1027
Meth__cg12938998__GAB3	0.099894	0.050136	0.090412	0.042788	0.4662	0.076638	0.39579	0.042349	0.091265	0.1237	0.36623	0.060527	0.12965	0.050702	0.054169	0.072426	0.10881	0.3498	0.12135	0.16996	0.06938	0.25844	0.088554	0.036349	0.29997	0.037207	0.5257	0.2671	0.21695	0.061538
Meth__cg12373771__CECR6	0.67432	0.057027	0.16667	0.12153	0.29527	0.21677	0.033564	0.13227	0.90843	0.6632	0.75313	0.54274	0.17323	0.27029	0.27656	0.67706	0.10148	0.080608	0.42866	0.93673	0.12553	0.95063	0.076302	0.081548	0.51443	0.055465	0.47541	0.059289	0.12281	0.25073
Meth__cg13573276__RDHE2	0.016523	0.014317	0.020033	0.016051	0.41125	0.032561	0.88843	0.022355	0.71951	0.93142	0.49314	0.030284	0.024764	0.080129	0.037636	0.17946	0.02112	0.42463	0.01845	0.036997	0.034766	0.33441	0.025448	0.050405	0.018971	0.017795	0.039131	0.023443	0.021787	0.019681
RS_G14507__AL133445.4__AL133445.4	3.9862	4.92	6.1168	4.9254	0	3.5289	0.34141	0.73593	0	2.311	0	0.95206	0	0.69544	1.8332	0.44594	3.3483	6.6989	2.2186	0	2.881	3.5843	2.2355	0	0.72157	2.7742	0.76526	5.1359	4.5022	2.6906
