Cell lines	21MT1	21NT	600MPE	AU565	BT474	BT549	CAMA1	EFM192A	EFM192B	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G7__CFH__CFH	1.7402	4.8196	1.2601	0.21358	0	6.8359	0	0	0.070994	0.20366	5.8212	0	0.86297	0.11269	5.1026	0.50616	6.0005	1.4161	4.6605	6.9368	6.3026	0.044834	0	0	5.7137	0	0	0	0	4.5765	1.8511	1.5146	0	0	0	0.17597	0
RS_G3173__SYNGR4__SYNGR4	1.9937	1.5486	2.0634	2.6928	1.8951	1.779	1.4674	4.0293	4.1432	1.5507	1.0613	2.6119	1.7646	1.6931	0.38898	2.3656	1.0514	1.7469	0.45738	2.2555	0.28469	0	4.6505	2.71	0	4.58	2.7149	4.2009	0.77481	4.693	3.7437	1.1459	10.265	2.5468	4.6716	1.0684	0.85816
RS_G17967__APOD__APOD	1.0852	1.7724	7.9573	4.7281	1.1531	0	0	7.4273	6.3426	1.3402	1.4179	5.0426	1.8301	8.9852	0	3.1323	1.6186	0.46548	0	0	0.86846	0.17539	3.5346	7.8269	1.8524	1.6608	0	7.8481	0	0.81118	1.4761	0.66133	9.7289	10.7762	7.0968	11.3141	2.7866
RS_G13364__S1PR1__S1PR1	1.2401	2.9377	0.14476	0	0	7.8764	0	0	0.19942	3.4984	0.98351	0	0	0.43828	5.8564	3.4223	0.45575	0	5.1403	5.0119	0.46235	3.852	0.089312	0	2.0861	0	0.31238	0	2.4689	2.4788	1.362	1.6305	0	0	0	0	0
RS_G6987__IRAK2__IRAK2	3.5232	3.9619	3.1643	1.4718	0.5092	4.7227	3.1634	1.1151	2.2866	5.6254	5.2952	2.5617	0.94193	6.0897	3.9784	5.1855	5.6527	4.5118	4.398	2.653	4.8247	5.8033	2.0925	1.0345	5.3682	0.65158	0.48601	0.99949	7.2984	3.1827	3.3124	3.6375	0.5055	2.5127	2.9404	1.6147	0.48699
RS_G12178__SERPINB7__SERPINB7	2.2618	3.3075	0.9442	0	0	5.6432	0	0	0	4.7067	3.7483	0	0	5.5995	5.3599	5.0834	3.2114	4.5919	3.2161	2.0948	3.124	3.2126	0	0	2.3119	0	0	2.1682	0	4.6954	0.18709	3.6766	0.6301	0	0	0	0
RS_G6523__AKAP12__AKAP12	8.4789	7.2167	0.48642	0.34772	0.16809	5.5885	0.33163	1.1345	3.3518	6.7678	0.96527	0.96731	3.3321	2.3494	6.1267	4.1382	1.0678	2.8552	8.078	0	5.7452	5.8343	2.4205	3.1946	8.2417	0.16066	0.07179	0	4.598	3.5179	0.14966	6.5708	0.9599	3.6759	1.7645	0.4458	0.6065
RS_G2964__PLAT__PLAT	4.2334	3.2371	1.1028	2.7083	2.1355	2.9261	1.5385	0.47218	2.5809	6.4029	1.7049	1.4885	1.4698	1.4792	6.6718	3.9628	6.7745	4.6465	5.7778	3.7345	9.0078	9.7479	0.7689	0.50948	6.7671	1.2668	2.4605	0	4.8623	7.5581	0.18552	6.1301	0.61507	0.97942	4.5877	0.76072	0.76698
RS_G4225__SPARC__SPARC	0.37371	0.57755	0.1343	0.14978	0.094438	14.1217	2.1509	0	7.7994	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	11.9638	11.47	4.5495	13.0059	10.7817	1.8624	0.63481	6.8619	0.63899	1.2224	0	6.5885	3.3867	0	2.9029	0	0	0.40268	0.4355	0
RS_G12846__TMEM22__TMEM22	3.6676	3.8306	0.12489	0	0.32872	4.2412	0.87813	2.2063	3.0748	2.461	4.4274	0.80793	3.5709	4.2807	6.2727	4.3571	0	0	7.038	2.6853	6.3906	0.92433	0	0.5475	7.9347	1.5709	0.51138	0	0.28293	4.4032	1.3373	4.1658	0	0	0.88919	0	0
RS_G12839__VAMP5__VAMP5	3.5627	4.1558	5.7475	8.4989	5.1276	1.0717	4.2899	8.9003	7.8367	3.8161	1.723	10.6318	7.4263	5.181	1.7151	4.28	5.4616	3.5479	2.1294	5.8416	0.73065	4.4184	7.4246	6.901	3.5044	5.257	6.3869	6.3121	1.0478	5.9949	5.9216	5.0818	5.9869	5.1714	10.8607	7.7928	6.4989
RS_G5567__PREX1__PREX1	5.3489	5.4305	7.2462	9.4167	8.806	0.22186	6.8101	11.33	10.2911	4.4805	5.6559	6.6114	8.4126	5.8229	5.9925	4.7198	2.9075	1.4154	4.0377	0.14017	6.4915	5.4161	12.0764	9.6008	0.4589	8.6745	4.204	9.5072	1.276	2.3445	4.4718	5.1828	7.4045	10.2263	10.0828	10.6767	6.5261
RS_G10099__PTPRN2__PTPRN2	0.18612	0	6.9326	0.095017	7.022	0.60536	3.1299	4.6459	1.072	0	0.47464	8.0282	0.61173	0.30912	0	1.3147	0.31892	0.75979	0	0.048546	4.3741	0	1.4962	3.1622	0.89397	1.715	0	0	3.4536	0.88861	2.5356	1.2191	5.1409	0.22943	8.2309	2.5798	2.1644
RS_G6735__POPDC3__POPDC3	5.1214	4.9618	0.57665	0.54819	0	5.5701	0	0	0.761	5.6997	0	1.7365	1.6638	9.4619	5.2097	3.2583	5.1209	5.0981	5.9485	5.433	2.9252	1.6302	0	1.0232	5.9295	0.20004	0	2.4234	4.7089	4.6043	3.7261	3.2768	6.8346	0.44169	0.34616	0	1.6355
RS_G7251__FAIM2__FAIM2	1.2491	0.98842	6.0556	4.3136	4.2489	0	2.0251	3.5593	1.5411	0.18414	0.63439	3.7351	0.88827	0	0	1.2995	0.5793	1.1739	0.39826	0	0.18832	0	1.3394	0.78926	0	3.6619	1.7217	4.3394	0	0.1154	3.5455	0	5.2322	0.12884	6.9482	2.5916	1.3772
SNP__WWOX	-0.935	-1.405	-2.18	-0.55	0.092	-2.109	-1.822	-2.172	-2.303	-0.105	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-0.412	-1.319	0.442	-2.607	-2.298	0.572	0.448	-2.395	0.457	-1.648	-0.561	-0.206	-2.091	-2.344	1.107	-0.132	-2.033	0.479	-0.056	-0.372
RS_G380__AC115090.8__AC115090.8	2.6661	2.5445	5.5401	4.5937	8.2773	1.8168	4.4074	4.37	2.5967	1.7069	2.3845	3.3208	3.0223	3.7229	1.0776	3.1471	4.6588	2.4415	0.71518	3.2748	1.9988	2.0821	4.269	3.2441	1.7625	5.7094	6.0719	3.1752	2.8722	3.1587	5.4452	3.6614	5.309	4.1984	9.4664	4.2942	3.8001
RS_G4436__CCL20__CCL20	5.7463	5.1269	1.9698	0	0	0.92801	0.95898	0	0	0.82603	1.8539	0.57533	0	9.1032	2.6324	1.6539	0.51556	6.5061	0.53131	1.0229	0.60805	1.0883	0	0	0.90037	0	0	0	0	6.4299	0.17882	3.4352	0	0	0	0	0
RS_G21732__AL136362.10__AL136362.10	7.2117	5.3036	3.6177	1.379	2.4086	6.8619	2.9602	1.5923	1.5866	8.6421	5.8491	4.1982	5.6378	2.8629	7.9821	8.2796	3.0449	4.9523	3.5242	4.687	7.4838	6.3205	1.6056	2.2294	5.016	2.5979	2.9509	1.0728	4.8527	7.0765	2.0186	7.1972	2.0514	2.0133	2.6182	1.9024	2.0164
RS_G5788__IL1B__IL1B	5.4966	5.2879	0.14002	0.15613	0.3529	0	0	0	0.3632	0.51627	0.66274	0	0.44092	0.75842	6.6753	5.5354	1.8106	3.1962	2.2418	2.2872	1.4549	1.4303	0.80447	0.16985	2.9735	0	1.1158	0	0	3.2621	0	3.3672	0	0	0	0	0
RS_G16696__PRR16__PRR16	3.5305	5.2076	0.41506	0.24797	2.8974	8.729	0.51715	0	0	5.5895	5.757	0.29138	2.5036	5.5104	2.0171	2.0923	0.25845	5.8394	6.3792	1.3786	7.437	2.8829	0	0.88141	6.9914	0.32306	0.65491	0	7.3612	3.379	1.175	1.7352	0	0	1.625	0.80822	0.6793
RS_G269__PRSS3__PRSS3	7.2806	4.824	0.35343	0.82397	0	0	0	0	0.47493	1.1189	0.48236	0.79957	0.31429	3.9888	10.2482	0.33195	1.0975	4.0374	0	3.7863	0.24885	9.6218	0.22944	0	7.8197	0.50247	0.96621	0	0	3.352	1.0003	7.0381	0	0.26426	3.8493	0	0
RS_G10013__PGM5__PGM5	0	0.14194	0.98175	5.7702	1.2732	0	0.27613	6.3101	7.2699	0	0.90894	0.52699	4.3002	0.12769	0	3.701	0.13224	1.7349	0	0	2.2619	0	2.9296	3.596	0.13333	1.23	0	6.2945	1.102	0	0.7631	0	2.625	0	4.6748	4.1586	0.29176
RS_G27296__IGHE__IGHE	0.39262	0.60243	0	6.9908	1.3543	0	0.60738	9.0841	8.0813	0	0.51827	1.5466	1.1694	0	0.87206	0.6756	4.4599	0.48354	0	0	0	0.43672	4.756	1.6579	0	1.3237	0	2.7515	0	0	0	0.68655	6.537	1.5464	7.9834	4.3878	2.5552
RS_G13477__EGFL9__EGFL9	6.6622	5.9792	0.35305	1.0213	0.17399	7.0141	1.1287	2.6608	3.6177	6.5699	1.9639	1.6324	3.5774	4.4184	6.5339	5.819	1.846	4.6749	3.1119	2.0049	4.3364	7.8951	3.4908	1.4514	4.4761	2.3108	2.1277	0	7.3809	3.9582	1.752	9.0993	6.445	4.0929	3.8002	1.9344	0
RS_G3465__GLIS3__GLIS3	3.3929	3.5934	1.0417	0	0.7201	5.7482	0.065496	0.61445	0.17185	2.5089	2.5399	0.25445	0.088391	2.7287	0.32897	0.90898	4.199	1.6833	7.1394	4.1606	5.2637	2.2004	0.31311	0	3.7762	0	0.11367	0	5.3004	1.2236	1.4032	3.5116	0.2903	0.073385	0.27842	0.090949	1.0128
RS_G692__DKK3__DKK3	0.10943	0	0.44322	0	0	8.236	0.18041	0.096777	2.2762	2.3601	6.9924	0	0.99415	0	5.0446	1.443	0.084903	3.855	7.9864	1.2245	6.1166	3.3497	0.81839	0	3.1985	0	0.7714	0	6.645	0.60379	0	5.2981	0	0	0	0	0
RS_G18754__CYP2B7P1__CYP2B7P1	0.31061	0.54444	7.8731	0.71843	4.2739	0.97565	1.959	8.9547	2.9711	0.71636	1.7225	3.0186	5.0364	0.23268	4.7275	1.0877	1.8112	0.094855	0.75563	0.43847	0.86152	0.35259	2.1059	1.3998	1.0342	8.1502	0.77303	2.1599	0.44639	0.84597	0.49865	0.49534	0.64224	1.8966	4.7722	10.3949	8.5954
RS_G15166__FAM132B__FAM132B	4.0484	4.582	3.6329	1.5782	0.57287	5.0949	1.8967	2.884	1.51	4.6932	4.968	1.5716	1.833	8.137	2.1946	1.3189	4.7947	3.4335	5.8446	5.0424	4.4631	4.4089	2.6238	2.7471	5.3574	3.3649	2.0017	1.0046	5.1436	2.6266	4.1437	4.5079	0	0	0.84686	3.7901	4.2921
RS_G10339__NRG1__NRG1	1.7622	1.0415	0.58693	0	0	7.7389	0.19465	0	0.70174	1.7934	2.0408	0	1.7451	0.088641	8.0487	5.3378	0.13453	4.7885	5.8443	0.70526	6.4738	3.9366	0.096448	0	6.0583	0	0	0	5.8239	1.5169	0	1.5046	0.30151	0	0	1.9553	0.64638
RS_G7338__SERPINE2__SERPINE2	5.0648	6.1188	2.3994	0.79327	3.83	10.1196	0.18958	0.85017	1.5768	7.4411	11.5894	0.28363	0.46684	9.8235	6.7055	2.8475	7.0236	8.1647	6.4473	2.5456	9.5902	6.7167	2.7962	1.3238	6.5495	4.3532	2.126	0	6.0111	6.9672	2.2537	5.6749	0	0.83906	1.3572	3.4753	1.5784
RS_G11321__IGFBP7__IGFBP7	0	0.4261	0.48984	0.20472	0.64677	4.9569	0.60953	6.5337	6.1669	10.1072	4.3762	0	0.96387	5.4059	8.8986	8.1983	0.71009	9.7724	4.1764	5.9428	11.5239	1.2805	1.4949	0.22795	9.8327	0.10584	0.93944	0	0.70873	4.6982	7.9681	9.9865	0	2.6526	3.9518	0.57635	0
RS_G28921__AP002448.3__AP002448.3	0	0.3675	0.15678	2.16	4.5166	0	0	3.6636	2.1314	0	0.40965	3.7876	3.4604	4.2473	0	3.7405	4.6547	0.36884	0.35732	6.8538	0.72705	0	0.36192	0.36419	0	4.6525	0	4.0954	0.60887	0	0	2.9716	0	5.3124	4.4783	5.8805	0.5014
RS_G16005__AC132938.1__AC132938.1	0.7857	1.3782	3.3968	7.0684	3.238	1.1178	3.9758	5.1606	5.233	3.6169	3.755	2.6302	3.0794	0.23316	1.5437	0.9469	1.9486	2.4857	1.3451	0	0.74679	0.42659	4.6038	4.1822	0.95226	4.3185	3.5446	4.409	2.2798	1.0105	1.4261	1.6071	1.2745	4.283	2.2745	9.0349	10.1017
RS_G7745__IFI44L__IFI44L	2.0774	4.625	0.23732	0	0	0.60514	0	0.57202	1.7539	0.99127	3.5141	0	2.0578	9.2152	1.5653	3.916	4.217	0.47385	1.9555	10.2427	1.0245	0	0	0.60717	1.9467	0	0	0	0	7.3195	7.3714	2.6778	0.41582	0	0	0	0
RS_G7225__ELF5__ELF5	0	0.53856	0.37677	4.5885	6.4031	0	1.9674	4.1214	5.4127	2.4337	0.32507	5.4417	7.078	1.1045	0	4.7027	0	4.5554	0	0.48747	0.22762	0	4.5813	5.0972	0	4.3672	0	5.8143	0.35445	0	6.0937	0	3.5985	7.932	5.3364	0.5172	4.9835
RS_G3861__SCGB2A2__SCGB2A2	2.2287	2.1487	13.9607	7.2469	8.4444	0	5.1291	10.4961	4.8445	2.0737	4.905	7.1077	7.7127	0	0	0.67662	0	0	0	0.75343	0	2.8361	1.9939	2.7482	0	12.9283	1.2589	9.6874	0	0	16.6899	0	11.1134	0	10.6074	14.5809	5.6558
RS_G16925__AHNAK2__AHNAK2	6.0045	5.9558	2.7225	0.32426	0.85377	5.6329	5.2479	2.791	4.7012	8.636	6.0167	1.9327	4.4501	1.9293	5.065	4.1081	4.5002	5.196	4.1838	4.2729	5.531	1.6569	2.8578	2.6507	4.6099	0.72887	0.4055	0	9.8171	6.7573	4.612	6.1168	1.6537	2.9451	3.4654	2.6246	3.0882
RS_G5346__FMOD__FMOD	0	0.33174	12.7509	1.5875	8.164	0	1.3314	5.8445	2.3673	0.28036	1.3784	2.4152	1.0433	0	0	0	0	0	0.32245	0	0.96137	0	0.39525	0.59626	0	10.606	8.7463	0	0	1.8549	6.7137	1.0838	5.7611	3.7204	8.4019	8.3586	3.7838
RS_G2659__SYP__SYP	1.7968	2.1352	3.41	2.907	4.3066	4.6996	2.4778	3.036	3.7958	3.804	2.9368	6.3522	5.1021	3.8879	1.251	3.4948	2.1223	2.2882	1.6438	1.1754	1.3775	2.5556	2.8633	3.5283	2.0866	3.5634	2.0984	3.6742	3.4633	2.7889	1.1984	2.2011	2.4082	4.2616	8.0014	5.6485	5.9906
RS_G11804__CTHRC1__CTHRC1	6.6624	7.0976	0.59548	0.84977	0.51115	3.5916	0.60407	0	1.5189	2.1533	1.6025	2.0582	2.0703	7.1335	1.9606	1.1417	0.78187	0.33863	4.9283	4.0665	5.1817	0.85465	1.85	2.4563	2.4179	1.0593	1.9293	0	7.2593	1.3576	3.4705	3.8286	0.64641	0	3.8219	1.0754	0.24786
RS_G14507__AL133445.4__AL133445.4	0.82313	0.71313	3.9862	4.92	6.1168	0	3.5289	2.0183	3.8348	0.34141	0	2.9907	0.73593	0	0.82434	2.311	0	0	0.69544	1.8332	0.44594	0	2.7258	3.3483	0	2.881	3.5843	2.2355	0	0.72157	2.7742	0.58825	0.76526	5.1359	4.5022	2.6906	0
RS_G3586__RAPGEFL1__RAPGEFL1	2.9042	2.9472	5.9537	7.4913	4.0582	4.1912	5.1146	5.3836	5.8856	3.3035	3.1857	2.9684	9.3785	5.0089	3.3274	6.6928	3.2089	3.7624	5.0324	4.6098	2.8293	3.3802	6.6804	4.2898	4.4551	4.0532	3.1024	6.7893	4.5768	5.97	2.4325	7.7749	5.3003	7.3069	12.3481	7.8427	6.2748
RS_G16693__ZBTB7C__ZBTB7C	0.24591	0	4.9082	2.1996	7.6395	0	0.99374	3.2787	2.5871	5.0083	4.4477	6.063	5.4933	0	0	2.3605	3.7543	0.27205	0.62879	6.1524	1.113	1.1443	1.7838	0.14048	0.36556	7.5242	8.3673	3.3857	2.6545	2.9881	7.4648	1.5913	1.2642	2.1151	5.5966	5.5484	2.8967
RS_G2649__SRPX__SRPX	5.2927	8.2205	2.5884	1.0314	2.6197	2.7858	0.26305	0.7005	0.89998	6.6006	9.7982	0.70231	2.9338	7.0833	1.997	1.2447	5.9047	3.9004	4.6477	1.8195	5.4903	4.3444	2.0271	1.2433	5.0677	1.48	0.77069	0	9.8027	4.4822	1.5505	2.81	0	0	1.0759	2.558	1.0927
RS_G10060__WNT7A__WNT7A	5.7375	4.2375	0	0.25843	0	0	0	0	1.0014	5.6309	0.17319	0	0	0.78406	7.7833	5.9134	0.27412	3.6197	0	0	1.9243	8.8145	0	0	0	0	0.86159	0	1.2965	0	1.2984	4.7626	0.79903	0	0.80956	0	1.6436
RS_G11751__DLC1__DLC1	2.6438	4.1771	0.52174	1.3191	0.98144	0.43438	3.7499	0	3.9004	4.3824	3.6961	0	5.6513	3.3982	3.7535	2.7178	0.031946	2.4551	5.2094	0.060786	8.0268	5.0242	4.6003	3.4051	7.5742	0.45432	0.22823	2.4852	0.53131	2.3611	0	4.4893	0	1.6785	1.2521	3.4241	3.5875
RS_G17307__KRT14__KRT14	0.89147	1.8924	0.24717	1.1678	1.781	2.595	1.5424	1.3261	1.4976	12.9384	11.6802	1.0895	3.3626	2.6226	13.5674	10.8786	2.5079	9.1398	0	7.7913	12.0549	3.1583	2.3875	0.29759	0.91201	0.29051	5.7017	0.54968	0	7.0103	6.5301	4.5846	0.71452	0.85755	1.1256	0.41714	0.5899
RS_G7026__NGF__NGF	2.1864	0	0	0	0	8.2263	0	0.47601	0	1.5055	5.462	0	0	0	5.0698	3.456	0.41902	7.7309	6.0518	0	7.9757	5.8608	1.5749	0	4.6169	0	0	0	4.7581	0.80466	3.4721	3.6174	0	0	0	0	0
RS_G4919__CTGF__CTGF	7.2625	5.8708	9.505	4.4992	0.78195	12.8527	0	5.8725	6.7274	8.7089	7.2404	1.2136	1.2462	8.3956	5.4822	6.3887	7.5308	10.7526	9.5522	5.6891	12.5646	7.1754	2.5154	1.758	10.5691	3.2516	1.4824	4.5607	6.2663	7.3857	6.1576	5.3545	6.591	2.1019	4.4628	1.8454	1.1337
