Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G1585__FYB__FYB	0.2113	0.19141	0.061937	0	0.20909	0	0.34147	1.9912	1.9119	1.2528	0.39857	6.1426	3.5975	2.5922	0	3.3846	0.15854	0.12508	0.10911	0	0.45377	2.2729	0	0	0	0.53975	0	0	0.11113	0	4.1615	5.2149	0	0.42518	0
RS_G8168__RHCG__RHCG	0	0.76408	0	1.7502	0	0	1.4873	0.74178	0.50384	0.96672	3.6706	3.1828	3.8711	0	1.3439	2.7996	1.6309	0.29197	3.3408	2.7627	1.0135	2.2705	0	1.7348	0	3.5912	1.8421	5.4309	2.1324	3.9305	4.4168	0	2.9171	1.7677	0
RS_G12786__IL7R__IL7R	0	0.251	0	0.50142	6.5911	0.28503	6.1027	3.2925	0	0	0.65531	4.9125	6.2297	5.4595	0	4.9738	6.5351	5.1619	0	0	0	1.8082	5.4855	0.070492	0.82882	0.68499	0	0	3.6661	0	2.0069	0	0	0	0
RS_G1513__PTPRH__PTPRH	3.6863	4.9381	0.81529	4.0987	4.148	0.13715	3.7678	1.6872	4.3044	1.2026	3.5699	1.7871	4.2665	5.5253	2.6446	1.1762	1.6527	3.5538	2.4093	0.67046	6.0085	2.5402	2.2747	0.48253	0	0	4.3622	8.1775	1.54	3.0494	4.222	5.0748	0.53648	4.5197	5.4053
RS_G13378__SOX7__SOX7	1.0588	0.80182	0.33529	0.37561	2.2023	0.73492	1.4256	0.908	1.4048	0.41113	3.8063	7.2916	4.6599	0.35444	0.42879	0.57451	3.0217	1.5305	0.49771	0.44132	1.1929	1.6638	1.6426	1.246	1.1283	3.1652	1.9944	0.7326	1.8712	0.048543	6.6796	0.17357	1.1133	0.95838	1.3032
RS_G7220__AC009656.11__AC009656.11	2.7728	1.3543	0.21494	0.13307	4.9473	0.67267	6.6933	2.7947	0.27108	1.5657	0.47824	3.1129	2.6674	3.6353	0.13274	1.6047	4.259	5.8737	2.3902	0.25327	2.2197	4.3194	4.3125	0.93459	1.2714	3.1148	0.17347	2.0208	6.7593	0	1.1061	0.50532	0.53125	0.56996	1.2237
RS_G8194__TGFB1I1__TGFB1I1	4.2726	2.3439	1.5566	3.0164	9.8909	0.51218	4.6719	3.9998	1.9533	0	6.8274	5.2331	4.7585	0.25652	3.2342	0.71603	6.9022	9.6163	5.4314	2.0027	4.1516	2.6547	8.2845	0.19792	0	8.5533	1.3892	0.97629	7.6316	0	6.9564	2.8172	1.8548	3.2699	2.7503
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	5.3048	7.8421	8.046	8.6902	5.9951	5.871	5.7726	6.4523	7.8138	5.2543	5.461	9.0738	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.9246	7.2669
RS_G7049__FST__FST	0.37356	1.2178	0	0.32105	8.0293	0.17319	7.5365	0.99188	0	0.42735	1.6952	9.288	7.5214	6.4096	0.98646	5.0857	2.5122	8.3569	3.785	0	0.71744	1.5923	8.5197	1.1726	0.93095	4.1524	0	1.1072	1.0014	1.8478	6.3474	1.9509	0.36358	0.77804	6.4408
RS_G17577__P2RX2__P2RX2	1.3699	5.6587	1.7281	7.6192	0.25976	0.69501	1.6549	0.15633	5.106	3.9282	4.3574	2.5458	0.38581	0.63772	6.1438	0.69729	0.25811	0.54424	6.4267	5.6475	0.38942	5.1452	0.63987	2.6185	1.1863	0	4.2646	0.45772	0	1.0983	0.71099	0	8.5345	4.7114	5.3932
RS_G11812__GEM__GEM	3.4128	0.39241	0.65863	3.922	5.2987	6.9453	3.3766	6.9016	3.2647	1.7787	5.7468	2.6702	1.7895	3.1414	1.255	3.4334	7.1501	7.2633	2.3845	2.808	1.1814	3.2811	6.6694	2.2264	0	3.0181	0	9.784	1.7987	4.2186	4.1378	1.5477	3.517	2.6213	0.81572
RS_G15925__TSEN54__TSEN54	7.2344	8.3459	6.4633	7.5892	6.3917	7.9159	7.7411	6.4839	6.8253	8.3035	7.0863	7.4429	7.0836	7.421	8.0853	7.972	6.2994	6.6307	10.0525	8.9556	6.8742	8.4277	7.161	9.7546	9.4051	8.7804	9.1787	7.8424	7.1251	7.3376	8.4663	7.997	8.3349	8.8604	8.5107
RS_G5729__MT1G__MT1G	0	2.6191	0	0	0	0	4.9557	0.62973	0	0.7331	0	5.6489	1.6687	1.2197	1.541	6.9593	2.3812	0	0	0	0	0	0	0.53834	0	7.4163	4.4929	3.7126	2.7817	5.326	2.0164	1.8496	0	0	0
RS_G13247__KRT83__KRT83	4.4686	6.0206	0.84412	2.8622	1.2037	0	1.6	0.15982	1.0608	3.8349	7.5226	0.21658	3.8995	4.0819	5.3611	6.2556	0.2605	0	6.3004	5.1009	0.39899	3.2356	1.2838	4.3141	1.0845	8.2638	5.2935	0.46695	9.9153	7.1214	1.1824	6.0218	0.43923	1.7506	1.8815
RS_G3465__GLIS3__GLIS3	1.0417	0	0.7201	0.39469	5.7482	0.065496	2.5089	2.5399	0.25445	0.088391	2.7287	0.32897	0.90898	4.199	0.28977	1.6833	7.1394	5.2637	0.31311	0	0.24739	0.86881	3.7762	0	0.11367	3.442	0	5.3004	1.2236	1.4032	3.5116	0.2903	0.073385	0.090949	1.0128
RS_G41__TFPI__TFPI	1.8179	0.2174	0.72568	0.79129	8.5146	4.5244	0	4.3639	0.37081	3.8782	0	2.3925	3.7167	5.6665	0	2.9865	5.668	6.9449	4.0401	7.4224	4.2219	2.2633	7.667	0.35548	0	0	0.67722	3.6419	0	0.60216	5.6653	4.1591	0	0	0
RS_G1450__HOXA9__HOXA9	0.17011	0	0	0	0	0	4.2747	6.0684	0.42162	1.0745	0.51342	2.9381	3.8685	6.2627	0	0	2.0643	5.5064	0	0.1108	0	1.3105	0	0.20088	0	7.564	0	0	4.3002	0.78151	3.8141	2.6181	0	0.54402	0
RS_G2004__TGM1__TGM1	5.3721	9.4474	2.3286	3.8808	1.7513	2.7163	4.4828	2.8924	2.0639	4.04	2.0162	2.9572	6.9913	2.9415	4.3939	4.9255	3.0329	1.8108	6.114	3.719	1.9212	6.4252	3.1641	2.8856	2.5922	5.9739	7.4251	2.4886	6.8145	5.2442	4.2484	3.6189	4.1613	4.3151	2.8052
RS_G7148__SLC37A2__SLC37A2	1.5244	1.743	0.59126	1.1246	1.9372	0.18273	3.9621	0.86478	3.136	1.0031	2.343	7.2757	5.6297	4.464	1.1997	0.2671	0.77	5.1438	0.83168	2.4463	1.356	1.9021	3.5066	2.4775	2.7523	2.1288	0	2.0145	1.4549	3.7964	8.4733	3.5984	1.7074	2.4425	3.4503
RS_G17613__DNER__DNER	2.294	0	2.4646	3.4789	3.6529	1.1389	5.8237	1.9231	1.3251	0	2.8314	3.7397	2.2167	3.9148	0	4.4929	0.54296	6.9983	0.29029	0.8161	8.8187	4.9399	0.99509	5.2065	0	6.8288	0	4.4448	7.0268	3.188	5.3424	5.9503	0	2.4246	1.2397
RS_G5313__TMEM156__TMEM156	6.3667	0.68625	0.25002	1.0743	0.22017	0.68688	2.7164	0.97297	2.409	0.55338	0.20704	4.3234	2.8657	5.3247	1.1203	0.23463	1.0467	5.865	0.59194	0.50402	0.76171	1.653	7.439	0.65543	0.54852	0.45099	0	0.21308	1.9252	4.9806	2.0397	5.2275	0.75174	0.16554	0.45639
RS_G11561__PRSS12__PRSS12	1.496	0.54609	0.25057	0.080545	5.6392	0.8661	5.8391	2.788	0.085993	0.31015	10.2082	5.2016	4.7765	2.0344	0.29579	9.7569	4.8767	5.9064	0.22633	0.48493	0.61684	3.2744	4.7183	0.48861	0.70177	5.0703	0	4.227	6.4227	1.9942	5.4288	0.17025	0	1.3084	2.2724
RS_G10491__RIBC1__RIBC1	3.9264	3.101	2.5422	4.4233	1.5303	4.0011	0.7201	1.3014	3.7302	4.2275	2.634	2.1808	2.2063	3.2129	8.1277	4.1118	2.0924	1.4566	3.7258	3.6101	3.7148	3.6913	0.68483	4.1442	4.9097	4.0846	2.4338	2.1117	3.0577	3.7109	1.5979	4.4471	5.9036	4.2151	3.6118
RS_G3823__CCND1__CCND1	11.467	10.2873	9.7956	11.0955	7.5774	10.8624	12.4704	7.9377	9.8988	10.1898	6.9323	10.1513	11.3166	11.978	7.0419	7.8671	9.0157	10.1335	11.149	10.4301	15.2047	9.4841	10.5959	11.1601	10.8596	5.726	8.7887	8.7105	7.5246	10.0655	9.6036	9.6678	8.5391	11.3211	11.0084
RS_G11659__FOXQ1__FOXQ1	1.3317	0	0	0.32199	0	0	4.9799	0.24861	0	0	1.0826	8.1771	6.1798	2.8295	0	0	0.11238	4.8724	0.21695	0	0	4.1323	4.4486	0.59161	0	3.5659	0	0	4.3107	3.5072	6.8165	3.8679	0	0	0
RS_G13165__AC055839.9__AC055839.9	2.1562	0	1.3571	3.4608	4.4711	0	3.2713	1.452	1.0082	0.41047	0.39879	3.2727	0	0.52644	1.385	1.1335	1.8594	4.3497	0.76491	0.55378	4.8256	1.2695	2.6327	1.5017	0	1.1214	0	3.9832	0	0	2.0505	2.5645	2.4145	3.4531	0.88875
RS_G11080__DNAJB4__DNAJB4	5.2481	2.6683	2.103	2.8453	9.2845	3.4604	3.6926	7.1968	4.45	2.7546	4.4632	4.5992	3.4336	4.2361	2.4822	5.9018	6.3162	6.7432	1.3773	2.6579	4.1523	2.2465	5.9448	1.8261	2.2012	4.6909	3.7086	3.9964	3.852	4.2055	4.099	3.7067	1.7083	3.1523	0.8945
RS_G13255__CDH2__CDH2	0.95252	0.11179	3.8179	3.037	9.5863	0.59708	7.9074	7.9637	0.065964	0	3.3876	4.6749	1.3151	0.59305	0.62312	7.3261	9.9603	8.8508	0.061776	0.34768	6.7543	1.1428	0.95446	5.4598	2.9731	3.3556	0	2.3343	4.6813	0	5.7937	0	0.64866	1.9772	1.4403
RS_G19250__ABCA4__ABCA4	2.5925	1.8337	3.9603	5.4901	0.26948	0.28068	0.23368	4.4163	1.9681	6.1509	2.5443	0.3723	2.4337	1.3841	6.106	1.9661	0.29762	1.2798	2.2154	0.99615	0.14858	3.3904	1.4951	0.99526	0.25117	3.7702	3.5587	1.6032	3.7364	1.1507	1.4958	1.6978	2.6309	4.9307	0.65076
RS_G4751__ST6GALNAC5__ST6GALNAC5	1.3493	1.0504	1.3399	1.0143	5.9416	0.2507	6.665	1.5309	5.1082	0.17517	7.3934	0.37743	6.2258	5.5602	0.23447	8.2988	7.1961	1.3656	0	2.2612	3.6181	7.0606	5.7759	0	0	9.2757	0	0.75056	6.2159	0.6064	0.52553	0	0	1.2189	0.95463
RS_G17559__CARD9__CARD9	2.0174	7.0099	0.6706	5.6672	1.4088	2.6325	2.0393	1.4984	3.6816	5.0528	2.7027	1.4486	2.5832	2.3415	2.61	4.4666	3.4205	4.6677	3.0093	1.3258	0.86781	4.6972	1.1757	2.3871	2.5131	8.2604	6.5049	3.0512	2.7976	2.6832	2.6337	1.2984	7.1332	4.3282	2.7942
RS_G8682__OSR1__OSR1	0.11123	0.23849	0.2896	0	0.48045	0	4.8216	6.3439	1.8828	0	4.1075	0.57369	0.83199	0	0	4.8445	2.7179	7.5551	0	0	0	4.4393	4.3569	0.57157	0.45115	7.4307	0	3.2881	3.4287	0	3.2369	0.52938	0	0	0.36537
RS_G10423__DPYSL5__DPYSL5	0	0	6.6001	6.5646	0	6.6633	3.5008	0.097144	2.8127	3.7226	3.515	4.8198	4.0043	3.8285	0.31394	1.8907	0.30764	0.50048	3.2035	2.2187	8.519	3.983	0.23007	4.7768	0	1.8894	0	0.83944	0	0	0.90375	5.6141	0	5.7104	8.0592
RS_G4624__GPX7__GPX7	0.58278	0	0	0	0	0	0	0.61279	0	0	3.9738	3.8643	4.113	0	0	0	5.5601	4.9712	0	0	0	0	0	0.19675	0	0	0	2.9878	4.7546	0	4.2696	0	0	2.0518	0
RS_G9624__KCTD14__KCTD14	1.3345	0	1.3939	0.15538	1.2875	0	1.4303	0.82766	0.44881	0.39689	4.2721	6.4763	4.9359	1.9413	0.53673	6.991	6.1103	4.8691	0.92268	1.2413	6.1017	6.5793	8.2157	0.66947	0	2.2392	0	1.3039	0	0	0.7793	2.9725	2.6382	0	0.41275
RS_G16556__SLIT3__SLIT3	2.2355	0	2.471	0.90403	8.9874	0.21763	0.33496	7.4124	4.7742	0.68628	0.18968	0.65273	3.7599	0.33265	0.10944	0	3.0493	6.6132	0.20772	0.15986	0.57603	1.6904	0	1.9982	5.5376	1.4012	0	7.0337	1.139	1.3114	1.8365	0.83487	0.24237	2.7669	0.36437
RS_G16049__EPGN__EPGN	0.62908	1.2748	0.81396	1.382	0	0	2.3756	0	0.79607	0.96975	0.49786	3.9373	1.4815	5.3723	1.695	2.3909	0	0	0	0	0.56023	0.80166	0	1.4689	0	1.9751	1.4898	0.88324	4.5126	5.4435	2.7586	6.7991	2.2266	0	0
RS_G11051__LAPTM5__LAPTM5	2.8393	0.20669	0	1.2492	0.22567	2.6129	1.7293	2.6516	0.45429	2.2405	3.3755	3.4596	4.1543	2.745	0.87362	1.1634	0.66768	0.91454	1.473	0.33275	2.7641	1.0672	9.5586	0.73502	0.39464	2.4712	0	7.01	2.1102	0	6.916	0.65062	0	1.1637	0
RS_G5057__FKBP1B__FKBP1B	1.9851	2.7594	2.1489	1.8948	1.23	0.48755	3.562	3.1728	3.1942	4.5799	0.90864	3.5513	3.3906	1.6684	2.7726	4.3029	1.5406	2.7095	3.3037	2.5102	5.2797	2.0636	1.6759	1.8057	0	2.3657	3.8746	5.3924	4.0097	0	3.3648	0	2.1257	0	0.89388
