Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Meth__cg20367961__EDN2	0.056359	0.051505	0.10835	0.072609	0.23695	0.65201	0.050534	0.90969	0.19795	0.036938	0.10127	0.77935	0.20644	0.32688	0.034867	0.051388	0.34326	0.5923	0.10634	0.84114	0.058672	0.10921	0.89922	0.78352	0.074444	0.10997	0.15478	0.063587	0.42947	0.05472	0.5225	0.8427	0.090328	0.14629	0.17677	0.070379	0.074824
Meth__cg10541755__EIF5A2	0.65877	0.68829	0.8008	0.82091	0.57554	0.045486	0.94564	0.11604	0.74079	0.099487	0.055826	0.37656	0.26218	0.92862	0.78157	0.42621	0.27817	0.045576	0.1688	0.046512	0.90882	0.45554	0.067737	0.11467	0.88709	0.10956	0.8227	0.46127	0.059665	0.0528	0.055668	0.15426	0.4254	0.93955	0.70477	0.55335	0.60877
Meth__cg15207619__CAB39L	0.11648	0.11553	0.086556	0.19164	0.097733	0.89454	0.10434	0.50549	0.212	0.12068	0.22343	0.14286	0.23209	0.13687	0.087506	0.13798	0.26829	0.4984	0.11305	0.37511	0.086453	0.13871	0.67146	0.61713	0.14076	0.22302	0.15153	0.14164	0.22754	0.78827	0.50824	0.11185	0.14209	0.17593	0.30349	0.1211	0.12036
Meth__cg13801416__AKR1B1	0.97123	0.82433	0.036073	0.98155	0.94261	0.035948	0.97782	0.053689	0.67039	0.23164	0.037654	0.66435	0.039406	0.96003	0.98385	0.53732	0.54274	0.026251	0.088134	0.028486	0.97682	0.97288	0.037808	0.064738	0.97336	0.26649	0.95129	0.67976	0.038822	0.030692	0.039322	0.97136	0.98042	0.97552	0.78225	0.73388	0.68935
Meth__cg00893242__SND1	0.47134	0.55119	0.44271	0.20486	0.93601	0.59924	0.64764	0.31119	0.173	0.79354	0.91343	0.037971	0.1686	0.83361	0.95665	0.61237	0.046504	0.033419	0.056331	0.71877	0.62563	0.77144	0.19773	0.096672	0.82118	0.12307	0.8847	0.48426	0.032127	0.024267	0.37208	0.15645	0.048937	0.080059	0.355	0.083493	0.053104
Meth__cg06458239__ZNF549	0.43971	0.34477	0.56252	0.088235	0.071857	0.077251	0.18788	0.25118	0.25353	0.088664	0.105	0.1127	0.27128	0.76912	0.86412	0.098113	0.11943	0.088847	0.16911	0.089392	0.3321	0.45223	0.16015	0.17288	0.07723	0.15114	0.16894	0.60782	0.1318	0.099195	0.11842	0.070947	0.28589	0.17311	0.1911	0.72946	0.77059
Meth__cg25340403__LYPD3	0.041991	0.035241	0.36761	0.052266	0.20651	0.83676	0.058992	0.90545	0.47752	0.062234	0.15438	0.42546	0.079824	0.18769	0.030084	0.056727	0.30018	0.66495	0.076535	0.83915	0.03933	0.037908	0.80747	0.7884	0.036387	0.3407	0.26306	0.040486	0.82379	0.028007	0.51634	0.2241	0.16982	0.02642	0.0736	0.040225	0.044181
Meth__cg01139966__GOLPH3L	0.049006	0.045782	0.056873	0.081815	0.033808	0.04945	0.053528	0.11287	0.025857	0.038765	0.048907	0.079215	0.09336	0.082601	0.033249	0.043048	0.057823	0.054949	0.19809	0.57165	0.031517	0.044926	0.049502	0.14081	0.082718	0.12759	0.22085	0.062899	0.039365	0.073532	0.087817	0.068247	0.035454	0.069502	0.16559	0.05326	0.050784
Meth__cg19450025__SULT1A3	0.022883	0.031541	0.52707	0.521	0.47162	0.75825	0.09641	0.97112	0.030377	0.10552	0.55406	0.06891	0.85316	0.060785	0.71955	0.11151	0.060411	0.45051	0.4057	0.91188	0.026407	0.030497	0.48556	0.8116	0.29748	0.13861	0.32955	0.047357	0.064927	0.065201	0.67093	0.023744	0.32888	0.016272	0.43953	0.019983	0.0245
Meth__cg10226546__NFATC2	0.13682	0.074806	0.60618	0.39783	0.08771	0.88973	0.15567	0.82022	0.10393	0.25237	0.16795	0.82509	0.19669	0.61321	0.096805	0.18656	0.27873	0.7492	0.2771	0.8454	0.091945	0.051511	0.89691	0.38647	0.11003	0.26394	0.75312	0.087212	0.50658	0.16447	0.88409	0.086852	0.088675	0.78513	0.15241	0.14022	0.12496
Meth__cg01731685__IL17R	0.37647	0.45195	0.82848	0.61803	0.32924	0.090887	0.64904	0.086758	0.32563	0.040625	0.38848	0.09744	0.52015	0.49005	0.62559	0.10443	0.074706	0.040661	0.10766	0.018433	0.63692	0.40935	0.088502	0.14194	0.572	0.26916	0.2893	0.40455	0.032373	0.04102	0.056704	0.41133	0.24109	0.19279	0.1343	0.19033	0.25008
Meth__cg05512756__UGT3A1	0.50939	0.16207	0.32174	0.84839	0.81495	0.061982	0.58542	0.056781	0.40288	0.42832	0.39305	0.32724	0.07168	0.18351	0.24759	0.28756	0.24918	0.22694	0.034235	0.027963	0.33441	0.54255	0.333	0.073624	0.57414	0.059359	0.12493	0.066896	0.097421	0.50352	0.029906	0.62772	0.053045	0.10186	0.050439	0.40941	0.28747
Meth__cg15569340__RBP5	0.046771	0.038172	0.066909	0.24084	0.040318	0.18677	0.050056	0.3929	0.054752	0.03849	0.056084	0.42897	0.10563	0.35169	0.042607	0.0415	0.055596	0.052109	0.33956	0.48163	0.085969	0.048068	0.059065	0.49579	0.053217	0.1063	0.099971	0.0852	0.080575	0.39157	0.1586	0.034284	0.0409	0.13292	0.1317	0.049555	0.063466
Meth__cg06804431__PEX11B	0.040872	0.033096	0.062531	0.065782	0.035177	0.03512	0.044328	0.049905	0.034998	0.025299	0.054188	0.047334	0.077753	0.046208	0.041527	0.03648	0.0445	0.34032	0.10197	0.032797	0.03219	0.043387	0.044545	0.12765	0.047345	0.085583	0.097672	0.061418	0.057485	0.047152	0.048729	0.036849	0.032472	0.042931	0.10361	0.039173	0.049238
Meth__cg24587268__OSBPL2	0.019344	0.017478	0.026162	0.028641	0.018624	0.052622	0.018197	0.05286	0.018536	0.021423	0.016813	0.025221	0.035884	0.019264	0.014483	0.021701	0.021001	0.019787	0.035418	0.18	0.01372	0.018005	0.01958	0.12966	0.01759	0.038929	0.037631	0.026672	0.01873	0.017569	0.026851	0.026673	0.015451	0.01488	0.057308	0.028611	0.018246
Meth__cg23166289__C1orf107	0.042051	0.027429	0.45433	0.53578	0.15136	0.7202	0.086906	0.14175	0.12222	0.40208	0.098272	0.17135	0.57243	0.14817	0.66623	0.34176	0.20899	0.10262	0.15068	0.79459	0.038528	0.070656	0.039741	0.27906	0.3189	0.092422	0.20407	0.074841	0.035996	0.38187	0.52924	0.82982	0.33486	0.32602	0.08332	0.043636	0.038831
Meth__cg10331779__CTNND2	0.06659	0.099316	0.89384	0.18014	0.15993	0.87058	0.10481	0.73026	0.51129	0.2058	0.37628	0.89389	0.74006	0.7559	0.062837	0.18171	0.22118	0.21994	0.4923	0.11046	0.060726	0.06099	0.15546	0.74478	0.12159	0.11257	0.092438	0.070883	0.047044	0.14561	0.5667	0.27284	0.44711	0.40548	0.34419	0.24823	0.10544
Meth__cg02907300__TCEB3	0.066157	0.037988	0.045561	0.039798	0.035353	0.024033	0.046568	0.10391	0.032463	0.05888	0.035369	0.035697	0.085409	0.076467	0.051068	0.031985	0.046042	0.034704	0.055347	0.021709	0.040648	0.049298	0.057032	0.082765	0.16537	0.040732	0.065233	0.053583	0.022355	0.019493	0.034358	0.026038	0.027948	0.02949	0.075191	0.31416	0.045249
Meth__cg23583739__KDELR3	0.050493	0.57089	0.057216	0.10046	0.056546	0.041348	0.69652	0.025992	0.047301	0.049108	0.048226	0.044365	0.04484	0.15308	0.36345	0.052632	0.050599	0.044922	0.091523	0.036565	0.053559	0.057388	0.062081	0.15686	0.085541	0.049093	0.51243	0.25534	0.049352	0.033905	0.030807	0.22362	0.035548	0.56431	0.11028	0.19084	0.046658
Meth__cg24664861__SPAG16	0.91909	0.066144	0.083536	0.27235	0.036154	0.052921	0.06337	0.07695	0.93838	0.93134	0.053205	0.055477	0.16061	0.33806	0.51482	0.89507	0.065931	0.035272	0.10352	0.22072	0.934	0.91332	0.054229	0.068532	0.066695	0.099881	0.078176	0.097921	0.044594	0.044963	0.055876	0.86942	0.04578	0.055977	0.10935	0.45099	0.54221
Meth__cg11538128__ZNF354C	0.3411	0.039662	0.035596	0.42772	0.023673	0.026538	0.92049	0.19993	0.29691	0.11088	0.042473	0.034506	0.022497	0.76748	0.12697	0.10655	0.028823	0.025579	0.081885	0.037631	0.24824	0.35578	0.035269	0.83853	0.85919	0.064036	0.087925	0.083617	0.032161	0.33072	0.069188	0.047755	0.023204	0.26094	0.043846	0.033754	0.047652
Meth__cg17607973__BCDIN3	0.16513	0.18494	0.22251	0.19357	0.053508	0.049663	0.14163	0.082512	0.092995	0.13533	0.031266	0.19563	0.1155	0.075786	0.5068	0.088577	0.10007	0.11483	0.15033	0.016101	0.071058	0.16793	0.1582	0.10032	0.12857	0.027942	0.12606	0.11277	0.018607	0.027848	0.030523	0.044108	0.019433	0.032634	0.069407	0.045619	0.066344
Meth__cg03085637__PEX11B	0.036258	0.021589	0.045768	0.048428	0.019269	0.022906	0.039175	0.083267	0.012255	0.012033	0.03017	0.049906	0.051131	0.018333	0.016205	0.016101	0.033547	0.24376	0.057847	0.018779	0.016347	0.029409	0.031915	0.041679	0.031695	0.044533	0.052448	0.026142	0.02692	0.032392	0.044085	0.023053	0.028366	0.021414	0.11293	0.032163	0.023867
Meth__cg00090147__GATA4	0.96481	0.047012	0.93251	0.03494	0.037751	0.8471	0.70038	0.67805	0.97585	0.11356	0.035797	0.6618	0.48422	0.93917	0.14877	0.1073	0.80339	0.86295	0.13446	0.035651	0.96267	0.96992	0.9326	0.51607	0.86093	0.061477	0.056198	0.087368	0.13781	0.17306	0.064585	0.06424	0.081174	0.42637	0.95514	0.79777	0.75445
Meth__cg24789869__DDX11	0.01538	0.010858	0.26653	0.028305	0.052012	0.094968	0.014074	0.010521	0.0091452	0.021481	0.018668	0.012619	0.037688	0.016705	0.01055	0.02085	0.011868	0.011141	0.014827	0.31339	0.010523	0.016466	0.015062	0.029302	0.016245	0.01387	0.018573	0.014172	0.017866	0.020559	0.015326	0.099344	0.026806	0.028852	0.033333	0.02351	0.013751
Meth__cg11879514__SLC16A6	0.064351	0.071244	0.12678	0.097892	0.10182	0.1377	0.075519	0.78203	0.038267	0.099266	0.076362	0.10921	0.47283	0.55456	0.053415	0.12638	0.72931	0.080723	0.15104	0.11491	0.042772	0.057016	0.77128	0.82357	0.064658	0.15651	0.083727	0.1153	0.097356	0.077519	0.10085	0.067491	0.071481	0.098211	0.11185	0.074879	0.051785
Meth__cg15958424__ACPP	0.081619	0.054936	0.099589	0.057897	0.17052	0.64915	0.11261	0.43897	0.42689	0.081173	0.22954	0.41355	0.24419	0.11825	0.11656	0.084071	0.36306	0.81598	0.088472	0.64299	0.065888	0.060295	0.38604	0.70139	0.094867	0.20242	0.15679	0.13556	0.82287	0.091768	0.43041	0.64435	0.058362	0.21919	0.13085	0.098747	0.10263
Meth__cg24256211__SAMD4A	0.25445	0.32127	0.060854	0.76729	0.68995	0.038066	0.75559	0.048156	0.082467	0.16908	0.33409	0.22815	0.31118	0.27128	0.18784	0.12834	0.082049	0.021355	0.14011	0.040153	0.54842	0.35634	0.20628	0.081409	0.67088	0.1095	0.50788	0.25002	0.05856	0.034255	0.073037	0.75977	0.1694	0.03643	0.082951	0.66461	0.63614
SNP__CES4	-0.627	-2.149	0.18	-0.004	0.161	0.179	0.089	2.752	-0.05	-0.2	0.254	0.626	0.504	-1.56	-0.316	-0.113	0.877	0.916	0.442	-0.133	-0.436	2.724	-0.074	0.245	-0.22	1.808	0.158	-1.816	1.372	1.53	0.026	-0.24	0.86	-0.145	-2.051	2.961	1.452
Meth__cg13176979__HMGN3	0.074923	0.083766	0.8857	0.3415	0.14069	0.60626	0.13627	0.85951	0.097706	0.83732	0.25852	0.15213	0.57352	0.33718	0.035826	0.61544	0.35248	0.27111	0.69867	0.81906	0.23297	0.19711	0.36415	0.3159	0.089257	0.13887	0.11114	0.11382	0.068275	0.47312	0.48731	0.25694	0.17346	0.23624	0.29317	0.1937	0.16356
Meth__cg20345446__OSBPL5	0.3735	0.30513	0.063283	0.39977	0.1196	0.45432	0.15928	0.050171	0.487	0.073898	0.065904	0.23599	0.79346	0.117	0.17135	0.046122	0.079407	0.046067	0.074235	0.051726	0.40541	0.30336	0.59235	0.15437	0.29511	0.087521	0.2807	0.28744	0.57384	0.035188	0.038367	0.30329	0.18995	0.053581	0.17594	0.10933	0.053195
Meth__cg20484352__LOC92689	0.044108	0.89997	0.29944	0.24876	0.10262	0.048123	0.32904	0.036168	0.053499	0.52966	0.50702	0.14811	0.21159	0.30802	0.76345	0.44284	0.057683	0.034556	0.064414	0.039154	0.45672	0.31466	0.14383	0.12393	0.4971	0.10109	0.89017	0.71567	0.041902	0.42528	0.061439	0.65338	0.037275	0.039541	0.11945	0.13378	0.055737
