Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__EB-1	0	-0.231	-0.895	0.219	0.241	-1.335	0.268	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	-1.554	0.134	0.719	0.221	-0.062	-0.271	0.162	-0.278	0.011	-1.876	-0.239	-0.004	0.561	0.315	-0.262	-0.046	-0.007
SNP__ESR1	0.006	0.125	-0.209	-0.415	-0.507	-0.091	-0.558	0.167	-0.231	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	0.532	-0.42	-4.299	-0.261	-0.076	0.251	0.236	-0.248	-0.118	0.237	0.249	-0.704	0.044	0.161	-0.195	0.027	-0.226	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__ZNF28	0.003	-0.12	0.172	0.093	0.166	0.219	0.1	0.152	0.408	-0.301	0.1	0.43	-0.364	-3.273	0.478	0.334	0.584	-0.376	0.016	-3.578	0.287	-0.019	-0.177	-0.641	0.119	0.029	0.182	-0.021	-0.158	-0.159	-0.223	0.002	0.457	0.286	0.55	0.917	-0.286	0.088	0.066	0.001
SNP__LOC645280	-0.014	-0.082	-3.43	-0.134	0.64	-0.12	0.05	-2.895	-0.216	-0.288	-0.012	-0.384	0.122	-0.092	0.026	0.799	0.041	0.217	0.746	-4.462	0.157	-0.404	-0.139	-0.131	-0.122	0.062	0.04	0.328	-0.202	0.226	-0.148	0.004	-0.19	0.227	0.174	-0.31	-0.302	0.343	-4.17	-3.988
SNP__TRY6	0.012	0.553	0.186	0.355	0.322	-1.816	0.45	-1.938	0.854	0.715	-0.643	0.29	1.134	-4.448	-0.251	-2.001	-1.912	0.015	-2.121	-0.395	-0.392	0.18	0.067	0.122	-0.125	-2.332	0.191	-0.039	0.48	0.526	-0.864	-2.463	-3.111	-0.313	0.262	-2.35	-0.319	0.188	-0.042	0.028
SNP__RNF152	0.013	-0.2	-0.881	0.086	-0.162	-2.938	-0.178	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-1.075	-0.73	-0.548	-0.031	-0.216	0.137	-0.198	-0.015	-0.16	-3.815	-0.028	-0.793	-0.615	-0.284	0.239	0.234
SNP__SLC25A18	-0.01	-0.086	-0.197	-0.134	-0.467	2.812	0.05	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	0.301	0.217	0.723	0.172	0.157	-0.404	1.888	-0.131	-0.122	0.062	0.04	0.328	-0.202	-0.752	2.554	0.004	-0.206	0.227	0.058	-0.3	-0.32	-0.289	0.37	0.095
SNP__LARGE	-0.004	-0.142	-3.874	-0.161	-0.475	-0.154	0.018	0.287	-0.231	0.567	-0.012	-0.425	0.074	-0.114	-0.193	-0.483	0.89	-0.549	-0.439	0.167	-3.103	-0.404	-0.239	-0.172	0.115	-0.013	0.027	0.314	-0.226	-0.182	-0.306	0.004	0.114	-2.398	-0.065	-2.538	-0.327	-2.579	0.369	0.08
SNP__FLJ20433	0.003	-0.163	-3.396	0.153	0.184	0.228	0.458	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	-1.534	0.047	-0.158	-0.198	0.02	-0.131	-0.147	0.091	-0.054	0.292	-0.296	-0.066	0.024
SNP__LOC646227	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__POU6F2	0.01	0.649	0.2	0.468	0.372	-2.998	0.082	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.104	0.17	0.191	-0.085	0.578	0.431	-0.201	-0.027	0.546	-1.934	-2.616	0.126	0.315	0.335	0.558	0.36
SNP__GSTM1	1.308	0.102	2.472	-0.243	-0.13	1.142	0.296	0.868	-0.518	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	-0.257	-0.444	2.34	1.976	1.276	2.435	2.546	1.445	1.813	-0.172	1.723	-0.063	1.282	0.164	0.188	1.108	1.492	-0.384	-0.27	0.043	-0.303	-0.303	1.499	1.386
SNP__NAALADL2	0.008	-3.295	0.245	0.18	-0.944	-1.94	0.062	0.02	-0.23	0.113	0.076	0.496	0.212	0.196	0.59	0.063	-0.123	0.453	0.269	0.409	0.28	0.688	0.56	-1.384	-0.058	-0.006	0.455	0.315	-0.573	0.167	-0.153	0.005	-0.156	0.21	-0.704	0.469	0.722	0.061	-0.034	0.008
SNP__BTNL3	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
