Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg07637239__KCNK18	0.89531	0.027951	0.88551	0.83159	0.12817	0.64108	0.11634	0.53946	0.42794	0.45269	0.63835	0.41311	0.24382	0.034483	0.37585	0.3801	0.073238	0.037095	0.81849	0.79132	0.053188	0.10905	0.53359	0.051062	0.33539	0.41076	0.063855	0.10317	0.049801	0.3717	0.036266	0.36402	0.068764	0.18325	0.88663	0.48895	0.70708
Meth__cg08590939__OXCT1	0.052523	0.080204	0.20992	0.85325	0.029701	0.91022	0.025918	0.041699	0.035581	0.91788	0.052928	0.037889	0.4535	0.6434	0.041804	0.034303	0.051387	0.032012	0.92022	0.67333	0.057413	0.55231	0.19414	0.067456	0.038602	0.051032	0.041142	0.099256	0.035851	0.041438	0.029812	0.8242	0.53131	0.83674	0.067649	0.24821	0.90935
Meth__cg18392783__PRKCDBP	0.72279	0.05668	0.92889	0.92279	0.39119	0.92838	0.13322	0.068458	0.092324	0.9204	0.095684	0.097667	0.89594	0.040635	0.10376	0.072654	0.1539	0.050832	0.93983	0.9281	0.10755	0.12885	0.90392	0.11032	0.073124	0.85172	0.13035	0.13426	0.060323	0.049095	0.053102	0.91698	0.91754	0.83479	0.87116	0.61401	0.90978
Meth__cg07260017__CSF1R	0.096571	0.19143	0.95479	0.94218	0.64628	0.82352	0.14825	0.49686	0.036112	0.38697	0.86711	0.77301	0.20028	0.31622	0.15725	0.22238	0.20989	0.024179	0.87197	0.89342	0.055903	0.087459	0.92258	0.26802	0.066133	0.76223	0.064299	0.26979	0.1162	0.031667	0.093833	0.87792	0.38082	0.93213	0.75741	0.87979	0.82266
Meth__cg13997435__S100A2	0.051686	0.15071	0.38887	0.55394	0.040764	0.6049	0.05134	0.020118	0.35763	0.63282	0.65598	0.024283	0.053787	0.61173	0.34525	0.03444	0.08549	0.0314	0.57216	0.77358	0.049118	0.094232	0.51519	0.15065	0.036273	0.49597	0.093033	0.27491	0.036023	0.033339	0.049017	0.27137	0.047993	0.34487	0.67144	0.55196	0.43255
Meth__cg08097882__POU4F1	0.9762	0.031396	0.9787	0.97753	0.027767	0.97849	0.17717	0.038242	0.061332	0.98053	0.30202	0.061548	0.88453	0.98212	0.07075	0.030532	0.176	0.35387	0.97662	0.96029	0.070794	0.95721	0.96899	0.36385	0.042627	0.93363	0.03604	0.50972	0.039343	0.12096	0.075376	0.97891	0.98007	0.93953	0.98218	0.97318	0.97418
Meth__cg24256211__SAMD4A	0.25445	0.32127	0.76729	0.68995	0.038066	0.75559	0.048156	0.082467	0.16908	0.33409	0.22815	0.31118	0.27128	0.18784	0.12834	0.082049	0.14011	0.040153	0.54842	0.35634	0.20628	0.081409	0.67088	0.1095	0.046896	0.50788	0.074764	0.25002	0.05856	0.034255	0.073037	0.75977	0.03643	0.082951	0.22215	0.66461	0.63614
Meth__cg06022562__FLJ13841	0.085558	0.10554	0.072057	0.059399	0.92006	0.080737	0.84274	0.8998	0.1083	0.075742	0.67222	0.2069	0.27778	0.34233	0.09894	0.84796	0.19148	0.89282	0.074745	0.075066	0.93661	0.85915	0.12639	0.27999	0.92071	0.097748	0.079195	0.10402	0.93451	0.49174	0.8614	0.083839	0.36575	0.15427	0.081413	0.10217	0.27364
Meth__cg24642468__MGC33367	0.17444	0.056943	0.74341	0.66744	0.075289	0.082155	0.097318	0.096016	0.065761	0.22129	0.37405	0.1773	0.075897	0.095433	0.072137	0.068943	0.1303	0.076711	0.44297	0.33232	0.09377	0.11093	0.072848	0.10182	0.082002	0.27993	0.063595	0.11388	0.31152	0.066395	0.070419	0.32362	0.25109	0.13603	0.842	0.21095	0.14699
Meth__cg07211259__PDCD1LG2	0.81331	0.21872	0.76218	0.80618	0.052284	0.85562	0.19203	0.46059	0.70205	0.68948	0.75117	0.068915	0.20686	0.68405	0.59066	0.2142	0.1156	0.038091	0.73487	0.70226	0.11557	0.08559	0.75673	0.16885	0.064974	0.81211	0.36081	0.26967	0.14104	0.0576	0.051492	0.59326	0.57979	0.20401	0.81391	0.69716	0.66784
Meth__cg18671950__FBN1	0.95819	0.56749	0.20773	0.56488	0.032863	0.95284	0.042697	0.50313	0.042974	0.95753	0.95632	0.22186	0.86551	0.067403	0.059906	0.059498	0.13129	0.028088	0.97385	0.97106	0.048806	0.073842	0.08702	0.18135	0.035172	0.92016	0.18686	0.10874	0.029025	0.05082	0.044826	0.14055	0.96606	0.90309	0.54184	0.94537	0.93261
Meth__cg25025243__GSTP1	0.16491	0.13901	0.11518	0.15738	0.85582	0.13119	0.69643	0.12573	0.166	0.13017	0.13622	0.31532	0.30233	0.11139	0.15429	0.5543	0.28177	0.62854	0.11601	0.16284	0.57071	0.7621	0.15389	0.25425	0.77497	0.21482	0.17539	0.24667	0.33212	0.35516	0.43811	0.12855	0.19528	0.13169	0.15115	0.094258	0.077987
Meth__cg03973663__LYN	0.078525	0.061648	0.084351	0.032846	0.86859	0.056897	0.71429	0.3023	0.91793	0.034635	0.92582	0.67003	0.88329	0.086025	0.767	0.87148	0.16543	0.81605	0.087465	0.079744	0.93678	0.15364	0.10029	0.18803	0.91853	0.12821	0.84505	0.074676	0.9126	0.42793	0.14908	0.045052	0.29198	0.18533	0.05233	0.08799	0.12318
Meth__cg13098960__SOX15	0.15483	0.2279	0.50734	0.84901	0.4053	0.74553	0.19181	0.11458	0.14386	0.83808	0.87774	0.14546	0.29777	0.822	0.13963	0.058414	0.086164	0.036435	0.9087	0.87881	0.75938	0.26389	0.34097	0.16473	0.024716	0.84952	0.087893	0.36927	0.10871	0.035104	0.16797	0.36099	0.045918	0.67532	0.6386	0.76193	0.64256
Meth__cg08348496__HAPLN3	0.94355	0.047727	0.95838	0.96418	0.2441	0.92347	0.16947	0.57276	0.031471	0.96594	0.49632	0.070914	0.90846	0.078794	0.047239	0.06531	0.54987	0.028731	0.9715	0.96468	0.6252	0.059889	0.94869	0.075652	0.32564	0.91954	0.28386	0.038635	0.067618	0.024429	0.027285	0.48028	0.77042	0.8686	0.96568	0.94271	0.90152
Meth__cg12108912__MGC10993	0.11655	0.095044	0.1282	0.092884	0.86415	0.12486	0.73319	0.85873	0.59936	0.10685	0.66053	0.61235	0.296	0.28599	0.45161	0.85405	0.28052	0.78285	0.078471	0.083123	0.31159	0.79091	0.1338	0.20445	0.89836	0.17964	0.48701	0.12073	0.41155	0.84576	0.79788	0.32434	0.11566	0.18805	0.13804	0.11306	0.12503
Meth__cg04444771__C10orf10	0.049124	0.080543	0.033884	0.031894	0.58503	0.043196	0.21109	0.422	0.3801	0.040331	0.087482	0.1177	0.06305	0.033185	0.31408	0.35654	0.050441	0.042652	0.038024	0.039169	0.84506	0.48206	0.036273	0.083599	0.90655	0.048407	0.031762	0.031978	0.85503	0.84182	0.15447	0.021963	0.16001	0.054477	0.035515	0.035007	0.034544
Meth__cg20811389__CDC14B	0.35018	0.36303	0.2525	0.91624	0.19425	0.24061	0.079676	0.070871	0.073434	0.84402	0.085104	0.054488	0.095982	0.040564	0.070653	0.19132	0.10277	0.049744	0.92505	0.92534	0.064633	0.0593	0.068317	0.082738	0.048124	0.90233	0.078008	0.13263	0.043663	0.044333	0.20679	0.13876	0.038697	0.76635	0.074732	0.12019	0.64145
Meth__cg11120551__CHD1L	0.039951	0.059117	0.053246	0.05155	0.55393	0.036666	0.69037	0.4563	0.179	0.050657	0.44983	0.41311	0.23806	0.027383	0.18118	0.32312	0.23681	0.094992	0.075375	0.040437	0.63684	0.56994	0.064353	0.1313	0.55284	0.060335	0.15869	0.10331	0.23722	0.070744	0.35371	0.050652	0.15739	0.095276	0.052946	0.041293	0.050127
Meth__cg05593325__GALNT12	0.047858	0.069214	0.049	0.039134	0.68364	0.062393	0.57092	0.95556	0.066501	0.054137	0.61865	0.76862	0.2865	0.04416	0.075813	0.86222	0.24941	0.65437	0.047898	0.057826	0.605	0.83304	0.041789	0.12041	0.66352	0.08356	0.49467	0.079646	0.085818	0.082019	0.14232	0.040747	0.78032	0.11093	0.068765	0.063438	0.041036
Meth__cg18959478__PRKCDBP	0.80778	0.063788	0.91341	0.89836	0.49882	0.89536	0.043815	0.073632	0.15757	0.87039	0.063649	0.05427	0.87971	0.098556	0.12864	0.061776	0.099365	0.058532	0.91957	0.88515	0.1674	0.064625	0.86319	0.083086	0.07105	0.80485	0.24765	0.098406	0.061983	0.060949	0.05108	0.87469	0.87397	0.7166	0.89005	0.6306	0.83564
Meth__cg05927017__BCL2	0.038913	0.14424	0.038001	0.027964	0.70592	0.035381	0.81453	0.2235	0.052501	0.029322	0.058171	0.16514	0.17608	0.038999	0.060481	0.49038	0.14828	0.19028	0.032972	0.032799	0.89464	0.48174	0.037637	0.056026	0.80194	0.086837	0.16168	0.13467	0.039283	0.032025	0.14138	0.068674	0.039959	0.086834	0.045231	0.034933	0.028387
Meth__cg12717594__RECK	0.78094	0.021486	0.96573	0.87044	0.02557	0.97028	0.052471	0.025007	0.017306	0.40315	0.022386	0.020081	0.62513	0.77331	0.41553	0.021548	0.20877	0.022356	0.96255	0.96537	0.030812	0.051069	0.96918	0.036018	0.026703	0.94615	0.024767	0.15682	0.019055	0.032157	0.15525	0.58187	0.021989	0.78209	0.45582	0.96812	0.96772
Meth__cg23495733__CPNE8	0.96102	0.66487	0.96649	0.96414	0.87961	0.96611	0.079971	0.025682	0.031934	0.96171	0.96676	0.072691	0.93718	0.97345	0.31012	0.92961	0.076149	0.05632	0.96471	0.96172	0.04194	0.088321	0.96159	0.060316	0.030253	0.89087	0.045992	0.36192	0.033105	0.16761	0.035245	0.49589	0.93378	0.81228	0.65649	0.93366	0.964
Meth__cg07499072__FST	0.57022	0.51072	0.47527	0.13749	0.049124	0.7538	0.03009	0.042225	0.051983	0.39647	0.59998	0.089083	0.093037	0.10597	0.063842	0.053862	0.085899	0.073934	0.86134	0.82915	0.049879	0.059233	0.062082	0.075564	0.052425	0.66973	0.32059	0.38456	0.052701	0.064111	0.39906	0.17394	0.70046	0.44777	0.26777	0.10134	0.25794
Meth__cg08214029__CCL18	0.11555	0.052268	0.30739	0.22748	0.041426	0.15926	0.1309	0.05337	0.13047	0.055745	0.1361	0.11328	0.14818	0.035361	0.095633	0.061078	0.053065	0.043599	0.30455	0.17738	0.039356	0.062049	0.091423	0.080929	0.055162	0.12634	0.042957	0.070199	0.048935	0.037146	0.17307	0.33439	0.042873	0.15255	0.45122	0.097164	0.073288
Meth__cg19108718__LOC317671	0.074302	0.064986	0.078852	0.043462	0.46046	0.072306	0.11905	0.48722	0.54821	0.065764	0.10197	0.10452	0.17647	0.060812	0.46408	0.092613	0.261	0.12019	0.066817	0.060056	0.11228	0.17848	0.073747	0.14982	0.21258	0.054916	0.10431	0.069431	0.62161	0.47122	0.21876	0.067998	0.064785	0.093573	0.060661	0.05744	0.057376
Meth__cg03475172__USP6NL	0.074178	0.1597	0.23973	0.0503	0.74547	0.19023	0.8472	0.88775	0.31726	0.070683	0.58999	0.64735	0.38526	0.08425	0.28568	0.84397	0.257	0.51561	0.20509	0.087166	0.75943	0.36386	0.21553	0.55421	0.70989	0.2692	0.14776	0.16346	0.85841	0.37261	0.19856	0.13076	0.26178	0.21812	0.081212	0.14298	0.27074
Meth__cg25168545__GIMAP1	0.82724	0.064087	0.85064	0.73416	0.075272	0.74341	0.13093	0.13724	0.7862	0.425	0.78614	0.47147	0.56654	0.047529	0.58098	0.36022	0.16339	0.061258	0.62747	0.71089	0.11862	0.13711	0.22824	0.13047	0.30491	0.23892	0.079213	0.14341	0.077925	0.11216	0.098097	0.77194	0.21488	0.084213	0.83044	0.45765	0.58005
Meth__cg26240939__LOC57149	0.092752	0.11019	0.18301	0.11714	0.78985	0.1298	0.61767	0.45372	0.38478	0.10776	0.1484	0.53717	0.30401	0.10705	0.28685	0.7491	0.41639	0.70733	0.092926	0.08609	0.694	0.65211	0.13825	0.29624	0.74637	0.15576	0.40426	0.1511	0.69693	0.27541	0.64885	0.17173	0.10719	0.18919	0.12514	0.17127	0.17521
Meth__cg02643667__TFF1	0.049689	0.57512	0.052204	0.036582	0.76102	0.042216	0.91022	0.95344	0.93152	0.055862	0.93106	0.88398	0.84968	0.060999	0.76543	0.93325	0.82079	0.061044	0.07162	0.048112	0.88231	0.24647	0.06176	0.16652	0.91611	0.088214	0.90776	0.52603	0.91637	0.93211	0.42609	0.04603	0.3582	0.50609	0.046928	0.1667	0.071197
Meth__cg13590277__SYNPO	0.20588	0.31679	0.87017	0.38579	0.27326	0.35939	0.083965	0.32094	0.036496	0.2452	0.27493	0.29761	0.21092	0.18548	0.1719	0.19117	0.19506	0.027956	0.69746	0.73661	0.043629	0.078281	0.74506	0.12703	0.2538	0.25555	0.14133	0.34606	0.12786	0.039111	0.058402	0.70151	0.45964	0.20082	0.70308	0.44093	0.31395
Meth__cg15746620__EMR3	0.11815	0.083875	0.6386	0.4658	0.064548	0.6275	0.13984	0.20718	0.057713	0.48686	0.18606	0.11956	0.26412	0.20214	0.064658	0.19728	0.10536	0.082281	0.41653	0.62254	0.14376	0.093798	0.11849	0.16606	0.15911	0.33088	0.15524	0.14035	0.049468	0.060765	0.10622	0.52257	0.31525	0.1335	0.81972	0.17602	0.37103
Meth__cg00673191__DOPEY2	0.068182	0.072102	0.091344	0.086237	0.83658	0.090206	0.51088	0.86324	0.68077	0.058868	0.65159	0.2425	0.26187	0.092826	0.47178	0.65658	0.16736	0.29676	0.061847	0.090241	0.775	0.081341	0.12534	0.24718	0.8347	0.17652	0.34218	0.10886	0.80671	0.69971	0.41973	0.077041	0.070452	0.10426	0.086177	0.085878	0.089568
Meth__cg03875678__GZMB	0.76693	0.13995	0.79379	0.76556	0.074159	0.60506	0.22609	0.1557	0.50367	0.20271	0.6396	0.16981	0.36327	0.20162	0.34033	0.1604	0.52789	0.10683	0.40727	0.41202	0.13651	0.10648	0.47075	0.16153	0.07904	0.23757	0.081674	0.22491	0.11012	0.17575	0.13672	0.83824	0.31111	0.29551	0.10679	0.59986	0.614
Meth__cg01657408__FLJ31951	0.056304	0.019914	0.78202	0.69986	0.02413	0.39119	0.021587	0.02268	0.023422	0.055705	0.02247	0.01303	0.0276	0.091871	0.030309	0.01793	0.037063	0.020359	0.084332	0.29784	0.033927	0.036342	0.80535	0.047826	0.022802	0.92188	0.025491	0.041725	0.021192	0.025951	0.023311	0.73507	0.021771	0.039444	0.32079	0.37812	0.82648
Meth__cg10743104__PDPN	0.35382	0.045283	0.92012	0.87458	0.54595	0.88752	0.039146	0.51603	0.039558	0.83144	0.89911	0.47323	0.50574	0.028819	0.056811	0.58801	0.098741	0.037047	0.68129	0.73309	0.1697	0.47707	0.71399	0.12389	0.052762	0.86303	0.093706	0.052584	0.064577	0.057854	0.1567	0.93546	0.70774	0.27261	0.68396	0.81189	0.67671
Meth__cg07173760__CLC	0.85294	0.074468	0.86159	0.72466	0.16355	0.55666	0.14047	0.8167	0.069154	0.80985	0.75884	0.38393	0.65886	0.10291	0.095068	0.57006	0.13051	0.080074	0.52379	0.47237	0.16694	0.21042	0.26306	0.16993	0.13685	0.20637	0.10375	0.19648	0.084687	0.090962	0.073798	0.60811	0.63343	0.20498	0.61305	0.50033	0.36769
Meth__cg15796978__LHCGR	0.57637	0.024732	0.62387	0.29455	0.060987	0.23856	0.094181	0.34672	0.04884	0.1063	0.2043	0.033712	0.11653	0.092705	0.037076	0.080314	0.035021	0.018135	0.43137	0.45456	0.026562	0.19899	0.27887	0.046004	0.028669	0.14026	0.031894	0.042418	0.043928	0.20726	0.025202	0.29409	0.030246	0.054501	0.40606	0.15229	0.090796
Meth__cg14686321__FLJ31951	0.10996	0.061095	0.81033	0.79157	0.039047	0.66688	0.021929	0.071703	0.039719	0.3677	0.042155	0.039587	0.090916	0.33875	0.12412	0.047426	0.067608	0.037499	0.27686	0.50943	0.039272	0.098761	0.81148	0.10066	0.03836	0.76983	0.040145	0.08182	0.034303	0.045957	0.15162	0.71256	0.038448	0.14528	0.52683	0.49196	0.77008
Meth__cg15543551__FGF12	0.042556	0.032827	0.03568	0.024211	0.80817	0.047353	0.81799	0.59041	0.84859	0.039156	0.23597	0.12136	0.47012	0.44134	0.65286	0.056471	0.14796	0.10961	0.023939	0.037556	0.53503	0.88503	0.042761	0.09441	0.23851	0.73666	0.057076	0.044367	0.053389	0.051071	0.309	0.048827	0.20572	0.038284	0.75434	0.036846	0.047725
Meth__cg25692323__ZNF485	0.087108	0.15162	0.033591	0.031858	0.44061	0.046127	0.68032	0.78223	0.50887	0.039526	0.59286	0.43867	0.47698	0.025165	0.45543	0.39686	0.13512	0.11028	0.040486	0.035356	0.31127	0.63543	0.037032	0.073809	0.63146	0.089084	0.58729	0.11232	0.2858	0.65739	0.68933	0.045598	0.060431	0.079449	0.040326	0.040716	0.033674
Meth__cg12914657__GIMAP1	0.89602	0.02523	0.92683	0.88931	0.041187	0.88033	0.10753	0.4794	0.91	0.13846	0.92981	0.72339	0.71466	0.021571	0.68791	0.58446	0.082453	0.045755	0.85059	0.72608	0.042511	0.12805	0.16241	0.080396	0.16976	0.087996	0.039624	0.069163	0.082321	0.048199	0.036174	0.89387	0.77194	0.13182	0.90845	0.58369	0.73476
Meth__cg18995088__CXCL14	0.13009	0.06522	0.87864	0.73717	0.789	0.75714	0.43414	0.13569	0.057038	0.94561	0.94576	0.082846	0.92983	0.019361	0.076088	0.037238	0.077735	0.021312	0.94705	0.96279	0.067882	0.54491	0.17306	0.040077	0.040484	0.70948	0.04542	0.061764	0.08888	0.040494	0.031228	0.95868	0.5601	0.70953	0.043346	0.91229	0.95595
Meth__cg17484237__HAVCR2	0.63833	0.081088	0.74405	0.52954	0.11758	0.3671	0.12127	0.41091	0.55491	0.44532	0.43285	0.13247	0.18948	0.051364	0.45752	0.2191	0.12073	0.080539	0.12313	0.16878	0.068375	0.13044	0.10128	0.1059	0.35435	0.10566	0.061714	0.11076	0.056558	0.089201	0.12812	0.71769	0.13574	0.29381	0.67924	0.54764	0.31167
Meth__cg10098888__IRS1	0.020772	0.022124	0.72179	0.020586	0.95339	0.17659	0.94126	0.69546	0.9334	0.019234	0.63075	0.90594	0.91673	0.027478	0.87473	0.90383	0.63659	0.94905	0.018993	0.029943	0.96015	0.031584	0.031961	0.036965	0.9446	0.050281	0.88569	0.039945	0.11373	0.95957	0.95856	0.021879	0.91119	0.13336	0.036661	0.080663	0.025599
Meth__cg15146752__EPHA2	0.032391	0.074348	0.1159	0.94551	0.048921	0.31998	0.04195	0.054266	0.30754	0.8883	0.051848	0.072361	0.04535	0.081348	0.26859	0.038475	0.44245	0.026241	0.51802	0.46098	0.037639	0.14589	0.084067	0.10813	0.027041	0.14188	0.058056	0.11894	0.032378	0.022	0.02751	0.17507	0.030308	0.40559	0.74714	0.26615	0.63111
Meth__cg10305797__UNQ467	0.83815	0.081272	0.90325	0.80811	0.095983	0.77086	0.20791	0.82757	0.026652	0.74507	0.3895	0.85683	0.84607	0.023164	0.040603	0.51905	0.035297	0.02241	0.80646	0.84126	0.16025	0.10595	0.70273	0.10881	0.3435	0.2242	0.21936	0.25599	0.26242	0.23914	0.037441	0.74012	0.69137	0.36993	0.85738	0.4162	0.70979
Meth__cg05628549__PRKCDBP	0.96622	0.16524	0.97629	0.95506	0.49809	0.95208	0.033323	0.033661	0.08577	0.95679	0.046064	0.12535	0.92706	0.19141	0.17949	0.10098	0.16353	0.035199	0.9726	0.95186	0.10358	0.047314	0.96435	0.18426	0.049415	0.92927	0.91566	0.18792	0.040717	0.028187	0.047584	0.5329	0.97579	0.77639	0.97006	0.93959	0.9393
Meth__cg24652919__WDR58	0.32183	0.14301	0.63943	0.39614	0.079496	0.49403	0.15512	0.10356	0.18871	0.41756	0.57642	0.2601	0.23013	0.37365	0.23152	0.11797	0.16586	0.067547	0.53395	0.38103	0.077942	0.085484	0.71752	0.62762	0.052773	0.40351	0.12381	0.21957	0.053232	0.054077	0.072009	0.28568	0.16937	0.44675	0.18536	0.36448	0.2875
Meth__cg07579404__RAET1L	0.087452	0.068787	0.17103	0.77643	0.39364	0.15838	0.11147	0.071891	0.075372	0.7589	0.54712	0.1142	0.092885	0.056413	0.071929	0.079365	0.11573	0.071774	0.31721	0.19239	0.11751	0.13696	0.80669	0.11516	0.074445	0.14806	0.077894	0.10018	0.077687	0.054496	0.05665	0.38404	0.62963	0.16031	0.76153	0.31622	0.56342
Meth__cg03698393__HAPLN3	0.79335	0.05615	0.89057	0.91525	0.061785	0.91627	0.071245	0.51816	0.033535	0.90386	0.30202	0.19205	0.85501	0.062557	0.041688	0.093175	0.6847	0.036875	0.92575	0.90665	0.4844	0.060245	0.89874	0.099755	0.24952	0.9258	0.23386	0.065798	0.16299	0.034869	0.027255	0.61049	0.86925	0.49604	0.91962	0.80404	0.85078
Meth__cg14696820__LCE1A	0.78181	0.054517	0.80997	0.81211	0.070148	0.52188	0.052207	0.52887	0.48598	0.34674	0.20579	0.60197	0.56735	0.022814	0.40042	0.12982	0.073207	0.032323	0.38814	0.58376	0.051905	0.10847	0.63104	0.14728	0.25818	0.30099	0.044434	0.11369	0.061383	0.055471	0.047187	0.76557	0.41672	0.28441	0.71889	0.53258	0.65508
Meth__cg15604467__POU4F1	0.78584	0.048593	0.94927	0.89938	0.035643	0.95129	0.069297	0.032875	0.057066	0.056491	0.054447	0.024373	0.71962	0.87486	0.047498	0.037323	0.56988	0.063737	0.9615	0.95183	0.049797	0.89775	0.9208	0.39275	0.038934	0.90067	0.039227	0.48903	0.040116	0.058519	0.073911	0.95811	0.90875	0.83994	0.92259	0.8356	0.91006
Meth__cg14494812__TOB1	0.072696	0.13068	0.048242	0.071856	0.93006	0.073532	0.85048	0.96071	0.83109	0.076621	0.8906	0.8944	0.55904	0.060396	0.76846	0.9174	0.84272	0.88012	0.21016	0.12577	0.93442	0.89721	0.03816	0.2345	0.90058	0.11702	0.53696	0.23783	0.94165	0.89261	0.9796	0.2002	0.070151	0.047287	0.087179	0.050452	0.035481
Meth__cg06437004__LDHB	0.71664	0.046459	0.58354	0.4522	0.045803	0.9131	0.021552	0.037061	0.031974	0.057247	0.047387	0.06485	0.56611	0.67372	0.047277	0.42439	0.070586	0.030881	0.8885	0.89914	0.051113	0.061648	0.058185	0.13333	0.035697	0.86239	0.10152	0.1302	0.033337	0.044269	0.037619	0.92681	0.03705	0.48461	0.041992	0.71358	0.86612
Meth__cg26984624__ANK1	0.72454	0.14228	0.8964	0.59302	0.045531	0.67315	0.6849	0.044042	0.043899	0.27614	0.67073	0.57932	0.6893	0.019401	0.038511	0.56536	0.12773	0.016962	0.81274	0.78704	0.032421	0.016895	0.66505	0.029362	0.037048	0.57752	0.16986	0.35599	0.02516	0.17414	0.022058	0.35087	0.60568	0.47102	0.63726	0.63654	0.47847
Meth__cg11207564__CCL3L3	0.683	0.083652	0.57937	0.5918	0.029621	0.39088	0.16137	0.15402	0.3615	0.18582	0.14155	0.14307	0.20643	0.031806	0.1758	0.10992	0.036469	0.039814	0.26222	0.32697	0.030731	0.071772	0.21325	0.060282	0.19905	0.23149	0.043154	0.079416	0.060593	0.031548	0.050913	0.14409	0.11219	0.071392	0.78362	0.3499	0.22456
