Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg02128567__KCNK5	0.027432	0.034767	0.091834	0.031232	0.98454	0.048709	0.74997	0.044876	0.033172	0.023146	0.045549	0.029614	0.46257	0.069087	0.035436	0.032087	0.03236	0.076503	0.31617	0.12233	0.088607	0.049139	0.14299	0.14688	0.55417	0.63545	0.065166	0.038752	0.95948	0.027123	0.049509	0.051398	0.043662	0.89039	0.52514	0.64122	0.11654	0.03463	0.072119	0.15965	0.041909
Meth__cg24014020__PIGQ	0.035708	0.022447	0.044262	0.042465	0.045459	0.047792	0.35007	0.063194	0.053326	0.031669	0.027862	0.071357	0.064512	0.057542	0.057767	0.048269	0.034077	0.068645	0.033701	0.027302	0.041532	0.035798	0.075919	0.029484	0.073781	0.044892	0.10665	0.033536	0.1245	0.059157	0.1418	0.052003	0.040445	0.042913	0.048908	0.048689	0.096336	0.056692	0.040734	0.10041	0.039319
Meth__cg27458888__UBE3A	0.017949	0.020601	0.038275	0.022256	0.029771	0.073233	0.083882	0.0172	0.11041	0.033832	0.027467	0.020448	0.031997	0.031247	0.098498	0.024627	0.019545	0.037647	0.017377	0.021171	0.03105	0.031211	0.043092	0.025181	0.039339	0.056781	0.033051	0.073229	0.067106	0.20469	0.043654	0.023956	0.021329	0.029563	0.025171	0.019168	0.10263	0.032293	0.021238	0.052414	0.022462
Meth__cg08158289__KIAA0141	0.065812	0.067538	0.55398	0.2134	0.33923	0.19117	0.61026	0.45256	0.53794	0.2582	0.084082	0.088299	0.26432	0.74026	0.41988	0.12166	0.28599	0.049604	0.19733	0.066017	0.13599	0.3351	0.60684	0.21	0.68998	0.47783	0.10313	0.047019	0.25474	0.32059	0.15993	0.026168	0.0316	0.76993	0.24336	0.033058	0.03093	0.20906	0.044284	0.86741	0.031018
Meth__cg16695354__LYSMD2	0.058651	0.11356	0.09456	0.073864	0.047166	0.094563	0.15679	0.055197	0.081342	0.069857	0.067782	0.064673	0.17415	0.18406	0.089219	0.058185	0.07807	0.22634	0.059805	0.068819	0.12069	0.3874	0.090812	0.1183	0.12266	0.11472	0.072082	0.051507	0.10571	0.077714	0.15093	0.058458	0.068475	0.079514	0.16185	0.071138	0.15816	0.097916	0.066678	0.13788	0.056452
Meth__cg11928635__ZNF318	0.046456	0.025782	0.055716	0.031943	0.1227	0.028728	0.12691	0.029225	0.044329	0.034282	0.024071	0.028818	0.14097	0.045802	0.041377	0.038175	0.066024	0.067281	0.025421	0.03317	0.058023	0.087757	0.039111	0.048815	0.075032	0.05072	0.061983	0.055243	0.51325	0.28393	0.077019	0.034853	0.024937	0.049041	0.15401	0.045119	0.15059	0.04185	0.051407	0.065258	0.039902
Meth__cg04228573__MAP2K6	0.052144	0.041262	0.47792	0.042699	0.06896	0.09235	0.12409	0.055952	0.095065	0.047522	0.064589	0.058724	0.3598	0.04032	0.089003	0.072105	0.05008	0.16862	0.055357	0.034434	0.045145	0.4882	0.047376	0.05469	0.10108	0.22403	0.1018	0.070914	0.70387	0.088745	0.068372	0.037179	0.056192	0.09255	0.075929	0.079682	0.13505	0.05915	0.053261	0.11352	0.048084
Meth__cg17119387__KIAA0664	0.027009	0.016508	0.21746	0.027178	0.58758	0.038233	0.29234	0.046207	0.97977	0.27616	0.026901	0.43526	0.90608	0.84139	0.70171	0.25543	0.024471	0.04352	0.091924	0.11091	0.40901	0.040294	0.41006	0.46014	0.94028	0.25878	0.060549	0.027999	0.15461	0.96601	0.030133	0.022848	0.022337	0.86499	0.9111	0.28112	0.038457	0.038299	0.028379	0.13815	0.031082
Meth__cg13850625__FLJ11155	0.028453	0.028665	0.056077	0.026602	0.58176	0.027783	0.025596	0.026872	0.030847	0.030619	0.028651	0.024981	0.070941	0.091809	0.03646	0.03677	0.023239	0.070225	0.022801	0.022428	0.032417	0.23753	0.031584	0.022448	0.0398	0.035487	0.072745	0.029722	0.075892	0.036472	0.058975	0.029316	0.030523	0.027937	0.051499	0.059835	0.061111	0.029015	0.037749	0.11145	0.028339
Meth__cg24995798__C10orf63	0.035185	0.02299	0.056734	0.031635	0.031039	0.043103	0.1169	0.034834	0.046578	0.02953	0.042879	0.034909	0.047985	0.044248	0.11865	0.030441	0.025092	0.032072	0.042705	0.03709	0.032668	0.045787	0.068195	0.030852	0.046043	0.045176	0.18204	0.029175	0.097998	0.044103	0.049086	0.031564	0.038301	0.48846	0.027111	0.033614	0.06283	0.034214	0.044778	0.21401	0.034934
Meth__cg05339305__DIPA	0.025201	0.018701	0.097581	0.018976	0.020027	0.013506	0.022768	0.016408	0.09679	0.021738	0.016031	0.15026	0.18797	0.026763	0.073402	0.084552	0.020844	0.051097	0.015496	0.018593	0.020411	0.090502	0.035582	0.016508	0.029692	0.04267	0.030925	0.015563	0.025257	0.19626	0.028592	0.021165	0.015312	0.11537	0.036185	0.022132	0.028841	0.02219	0.017668	0.031993	0.019932
Meth__cg01699584__KCTD8	0.013781	0.011673	0.022139	0.010938	0.015818	0.018766	0.026258	0.022858	0.015724	0.014598	0.017236	0.013743	0.044668	0.020503	0.013672	0.010247	0.026142	0.031652	0.010802	0.0080612	0.019463	0.037491	0.018902	0.012133	0.033346	0.019635	0.0243	0.01531	0.032731	0.057072	0.030998	0.014308	0.014638	0.018511	0.0094985	0.21634	0.041436	0.55099	0.019567	0.03488	0.014938
Meth__cg04848452__EIF1B	0.11026	0.090276	0.6968	0.52335	0.49235	0.11484	0.20303	0.0532	0.16484	0.90938	0.55929	0.095442	0.88991	0.69231	0.16008	0.055189	0.066964	0.11473	0.062113	0.097791	0.094086	0.13033	0.099901	0.52786	0.2769	0.23304	0.18817	0.085397	0.76462	0.93389	0.15482	0.05012	0.6831	0.074985	0.58627	0.63227	0.59447	0.22565	0.30054	0.15955	0.10035
Meth__cg25088874__BMPR1B	0.030967	0.030663	0.041541	0.02271	0.18472	0.034508	0.26245	0.030346	0.028462	0.032033	0.044662	0.23926	0.10615	0.044886	0.038871	0.031226	0.027453	0.051254	0.02997	0.029104	0.031869	0.049854	0.033817	0.037348	0.075321	0.036658	0.066168	0.032868	0.32372	0.04288	0.092681	0.022264	0.025571	0.69829	0.054812	0.044728	0.89095	0.035648	0.037614	0.48984	0.031097
Meth__cg18806365__FABP5	0.35089	0.12028	0.66673	0.1151	0.90851	0.53747	0.37073	0.16853	0.29301	0.41177	0.26966	0.13859	0.95026	0.2325	0.5975	0.53904	0.14127	0.22999	0.10309	0.21989	0.23771	0.84893	0.20532	0.26037	0.45701	0.24194	0.28837	0.34598	0.96471	0.34773	0.22146	0.16724	0.22684	0.20631	0.97263	0.94553	0.75351	0.9593	0.24711	0.9295	0.22895
Meth__cg23615676__KCNN2	0.031881	0.040022	0.041475	0.030886	0.9658	0.039935	0.17649	0.069064	0.048993	0.044105	0.36251	0.13078	0.74019	0.049809	0.047348	0.051677	0.48179	0.095802	0.031558	0.03937	0.04165	0.43624	0.045201	0.032209	0.86374	0.94711	0.20096	0.045553	0.44675	0.95051	0.079467	0.035403	0.045886	0.59085	0.64674	0.96228	0.36799	0.047814	0.041193	0.046919	0.040419
Meth__cg21975377__FZD6	0.054756	0.042492	0.37893	0.054086	0.035936	0.42378	0.06965	0.034559	0.052045	0.050746	0.047588	0.030954	0.078501	0.12486	0.038705	0.0353	0.035512	0.089874	0.030966	0.041438	0.041086	0.54483	0.21951	0.16749	0.10508	0.049765	0.060942	0.038242	0.35436	0.04168	0.056623	0.40796	0.036136	0.036713	0.043973	0.043694	0.67252	0.050216	0.034585	0.084674	0.035988
Meth__cg14500718__TMEM79	0.024168	0.025309	0.25191	0.031167	0.83653	0.12149	0.93545	0.27012	0.051766	0.031673	0.024602	0.12423	0.074283	0.1862	0.052126	0.15513	0.42654	0.098695	0.017484	0.067961	0.046543	0.081142	0.83811	0.44691	0.51764	0.27512	0.035847	0.033255	0.045958	0.075379	0.045466	0.022665	0.030914	0.036151	0.47359	0.36208	0.051384	0.23463	0.034298	0.27776	0.021574
Meth__cg03985136__ULBP2	0.043438	0.052763	0.084601	0.051181	0.52035	0.23123	0.17566	0.10622	0.067909	0.059994	0.12529	0.195	0.28338	0.067654	0.2003	0.093214	0.046224	0.058763	0.075452	0.11275	0.056018	0.95368	0.23238	0.070361	0.48238	0.071503	0.087897	0.068134	0.48372	0.57814	0.083777	0.041291	0.06208	0.32211	0.10077	0.35847	0.067327	0.065501	0.053968	0.17685	0.045998
Meth__cg14147105__LOC93343	0.037149	0.037515	0.98077	0.024276	0.049231	0.042653	0.069913	0.061187	0.61279	0.044181	0.041148	0.031651	0.064622	0.040079	0.53419	0.035611	0.030562	0.064872	0.06727	0.052388	0.046594	0.045897	0.041592	0.227	0.064456	0.045426	0.052264	0.043768	0.07254	0.054875	0.073059	0.052401	0.077699	0.031555	0.035949	0.024947	0.069131	0.051409	0.037993	0.071496	0.043489
Meth__cg15119375__MGC3020	0.036957	0.027698	0.042861	0.03489	0.046274	0.039919	0.046392	0.034098	0.042823	0.042497	0.039421	0.028613	0.66101	0.018916	0.14162	0.037189	0.027048	0.12	0.094654	0.031215	0.043769	0.066629	0.041051	0.027622	0.075104	0.039839	0.092071	0.030691	0.20235	0.042817	0.065804	0.031618	0.03989	0.041102	0.64006	0.90423	0.13487	0.047339	0.038226	0.10767	0.037069
Meth__cg08704509__GRAMD3	0.055681	0.039858	0.062069	0.037727	0.079399	0.048905	0.16416	0.063963	0.07659	0.047564	0.034651	0.065022	0.10687	0.042373	0.089977	0.043982	0.043903	0.085652	0.058147	0.030376	0.043478	0.052085	0.073606	0.039278	0.11156	0.051831	0.070787	0.91108	0.10973	0.060306	0.091142	0.38903	0.054866	0.17116	0.13359	0.028733	0.078189	0.0611	0.04899	0.10458	0.048629
U133A__POMZP3	5.4865	6.9158	4.8456	6.8032	4.5827	6.9213	5.7618	5.5264	7.0392	6.9656	5.8224	6.2726	5.167	6.7511	6.4184	5.8832	6.3568	6.674	5.9695	5.8044	5.7527	4.6042	5.6313	5.7987	5.8609	5.5526	6.3727	6.6844	4.785	5.9917	7.0482	5.1092	5.7715	4.1477	4.9582	4.7271	5.8462	5.25	6.281	6.7523	8.1041
U133A__FABP5	4.1904	4.0367	3.7473	6.4085	3.5435	5.3344	3.9169	9.2366	8.4386	7.491	9.3953	11.1944	3.3571	3.6996	3.6829	8.758	9.6872	11.0183	8.9013	5.7227	6.7429	3.8621	8.3248	8.5209	9.7444	8.3436	6.9507	8.5762	3.6349	3.1469	5.3397	10.4027	8.9495	9.9405	3.7177	3.5081	3.7815	3.5285	4.8338	3.7601	9.0063
Meth__cg14992253__C1orf91	0.065568	0.16081	0.12184	0.053106	0.050964	0.057333	0.09074	0.04886	0.084165	0.063892	0.065551	0.10085	0.092051	0.064432	0.095256	0.049083	0.032673	0.11838	0.056932	0.048841	0.059475	0.069541	0.061318	0.13391	0.26929	0.13511	0.097137	0.058187	0.12081	0.29146	0.079481	0.073929	0.091228	0.056676	0.053392	0.078492	0.16031	0.28818	0.064782	0.76829	0.079977
Meth__cg01646665__TMEM79	0.03049	0.039012	0.15621	0.032032	0.7164	0.075569	0.62003	0.52293	0.07336	0.035257	0.02801	0.75763	0.14043	0.23356	0.085961	0.056613	0.084144	0.093932	0.042791	0.054557	0.041235	0.063337	0.77509	0.12657	0.36229	0.21729	0.067576	0.052994	0.033162	0.079115	0.04515	0.20351	0.062817	0.034564	0.34473	0.13033	0.030468	0.077972	0.033553	0.07943	0.029956
Meth__cg02066887__POLD4	0.015942	0.027871	0.089537	0.056585	0.1149	0.061878	0.070611	0.038676	0.52654	0.22842	0.022084	0.27355	0.094462	0.023548	0.40823	0.044932	0.026377	0.072875	0.018878	0.053747	0.026057	0.094541	0.060367	0.043157	0.084379	0.047296	0.027347	0.035888	0.046988	0.088848	0.065064	0.031829	0.031828	0.029937	0.032552	0.032542	0.088327	0.14894	0.016306	0.11101	0.018923
Meth__cg05154390__MRPS15	0.023137	0.015702	0.058732	0.04667	0.030448	0.028504	0.068207	0.55847	0.036427	0.035799	0.018532	0.092409	0.034896	0.099332	0.034902	0.023282	0.032262	0.029511	0.034204	0.024336	0.027483	0.20321	0.09572	0.14628	0.10604	0.035779	0.041054	0.023903	0.048853	0.034572	0.033766	0.022644	0.02044	0.24957	0.046946	0.023839	0.056616	0.046684	0.028094	0.055741	0.031742
Meth__cg12081743__HDAC9	0.34242	0.12183	0.82585	0.54753	0.80989	0.63084	0.28444	0.09037	0.69406	0.10575	0.15521	0.19236	0.785	0.26007	0.58467	0.1041	0.096004	0.067801	0.098083	0.073182	0.13398	0.9017	0.12713	0.61023	0.57569	0.60135	0.15277	0.30721	0.79865	0.12709	0.31395	0.11738	0.14788	0.12898	0.76466	0.24726	0.17596	0.49354	0.64859	0.28103	0.66201
Meth__cg21803680__LOC92691	0.040599	0.035394	0.15045	0.033121	0.040547	0.046312	0.071731	0.043619	0.037687	0.029928	0.028953	0.090702	0.083285	0.049962	0.045755	0.04688	0.027106	0.043922	0.023978	0.029942	0.058224	0.18261	0.15867	0.030688	0.2965	0.26006	0.087247	0.035343	0.33051	0.042055	0.0531	0.03626	0.027888	0.041156	0.38291	0.19112	0.058546	0.043981	0.042386	0.20301	0.076105
Meth__cg03919644__LRRIQ2	0.016509	0.013001	0.025065	0.015471	0.018432	0.01345	0.020045	0.4344	0.018482	0.02282	0.016613	0.013753	0.018997	0.028913	0.016719	0.015602	0.018777	0.027773	0.016298	0.018877	0.016042	0.01764	0.018831	0.019516	0.024005	0.015912	0.018453	0.01724	0.048832	0.019315	0.032697	0.024379	0.01875	0.020386	0.01984	0.013324	0.025556	0.018029	0.018795	0.029776	0.015785
Meth__cg05810550__DEFB106A	0.81795	0.088023	0.2544	0.089758	0.091386	0.44751	0.14286	0.86393	0.19873	0.24435	0.77214	0.57226	0.48737	0.1069	0.15803	0.37064	0.83502	0.24033	0.12969	0.65485	0.53209	0.33449	0.22216	0.78687	0.080089	0.22696	0.34652	0.47493	0.26413	0.080299	0.15888	0.045771	0.10057	0.086881	0.11392	0.39947	0.34371	0.79695	0.50317	0.42917	0.6385
Meth__cg12188860__TOP1MT	0.062679	0.03888	0.8915	0.18936	0.31038	0.22458	0.81942	0.25071	0.052525	0.14131	0.04558	0.68665	0.38254	0.65691	0.34455	0.045873	0.037389	0.19687	0.031049	0.35025	0.16217	0.42764	0.48116	0.3984	0.78213	0.94101	0.16584	0.054715	0.38123	0.069302	0.083369	0.0391	0.1427	0.050066	0.96509	0.041261	0.12796	0.95245	0.13675	0.88492	0.049469
Meth__cg08473533__MGC24381	0.037131	0.029818	0.034871	0.02392	0.048764	0.034345	0.028218	0.03423	0.038637	0.027196	0.037564	0.065196	0.10035	0.020194	0.029778	0.03611	0.033844	0.089076	0.019321	0.021624	0.026918	0.027838	0.090763	0.037646	0.58327	0.03557	0.057757	0.027751	0.25785	0.13159	0.089277	0.026535	0.078252	0.041588	0.035652	0.037196	0.08146	0.03535	0.025281	0.099548	0.027462
Meth__cg13613748__VPS4B	0.042	0.10891	0.056052	0.038523	0.043409	0.047545	0.079848	0.049069	0.14877	0.049003	0.051594	0.10453	0.155	0.03762	0.14644	0.051692	0.033385	0.052142	0.025036	0.034068	0.065067	0.090102	0.51053	0.054787	0.11667	0.05778	0.090241	0.072434	0.087999	0.68041	0.17986	0.028822	0.067434	0.040154	0.076864	0.28366	0.080556	0.045852	0.034326	0.17228	0.046472
U133A__SLC20A1	7.6427	8.3199	8.0107	8.0721	8.7256	8.1272	9.098	6.6759	7.5472	7.2886	7.0867	7.2382	9.1363	8.6551	7.4381	7.0011	8.3231	8.0025	9.425	8.8983	8.0417	8.9864	8.9097	7.4554	9.9645	8.8543	7.5266	9.5906	8.1997	8.3044	8.2994	9.5412	9.3595	9.9595	8.2021	9.2262	7.8515	8.6013	6.8781	8.6514	8.2112
Meth__cg00565075__EIF3S6IP	0.16894	0.045324	0.16582	0.24645	0.38969	0.10767	0.32374	0.059248	0.45149	0.075235	0.047376	0.30563	0.081729	0.043672	0.38618	0.15835	0.19964	0.10753	0.08944	0.043929	0.048825	0.26731	0.048602	0.38062	0.31292	0.49642	0.14972	0.044601	0.40806	0.15898	0.07376	0.048957	0.34894	0.12692	0.26038	0.1817	0.0745	0.098402	0.050909	0.16307	0.046548
Meth__cg11847459__MBIP	0.028477	0.025519	0.028274	0.026834	0.030363	0.030174	0.048958	0.018615	0.025344	0.030736	0.027405	0.028259	0.056754	0.41514	0.34286	0.024662	0.022746	0.061956	0.027981	0.021513	0.027038	0.05836	0.027974	0.021483	0.057268	0.02835	0.031395	0.025667	0.046658	0.32907	0.0415	0.025625	0.023683	0.029515	0.42615	0.025634	0.032109	0.47919	0.028048	0.045812	0.028008
Meth__cg15153383__KATNB1	0.069835	0.048573	0.065011	0.088508	0.10705	0.059772	0.18635	0.051001	0.3324	0.073518	0.060336	0.33422	0.38453	0.12589	0.26652	0.081982	0.056399	0.073918	0.064362	0.049461	0.07231	0.099932	0.25384	0.064584	0.12775	0.045171	0.078779	0.11756	0.071	0.36216	0.078655	0.043678	0.070843	0.081121	0.072936	0.82035	0.37505	0.85631	0.066059	0.24026	0.073622
Meth__cg08560942__ACHE	0.03743	0.025572	0.093884	0.054734	0.039465	0.37955	0.056617	0.035747	0.12569	0.039174	0.05646	0.050926	0.086077	0.14633	0.12257	0.03429	0.038303	0.18262	0.037336	0.046157	0.043853	0.05615	0.033182	0.041132	0.32161	0.052203	0.076745	0.033725	0.16042	0.064322	0.060819	0.041409	0.056592	0.046019	0.038762	0.24965	0.12105	0.049778	0.043637	0.072484	0.029181
Meth__cg25282780__AK3	0.14683	0.13406	0.83741	0.42328	0.40876	0.097045	0.27422	0.10175	0.95376	0.83954	0.1279	0.26877	0.94728	0.93274	0.87696	0.15556	0.047862	0.22531	0.092611	0.1012	0.10992	0.1329	0.098696	0.095587	0.78138	0.19983	0.14282	0.075553	0.18945	0.88492	0.24633	0.10659	0.087217	0.11648	0.87513	0.57591	0.18458	0.11104	0.11536	0.51126	0.07957
Meth__cg10844844__KCNK5	0.045353	0.046784	0.1082	0.051501	0.93447	0.045847	0.68124	0.078723	0.082708	0.049055	0.048573	0.088788	0.14181	0.16412	0.094278	0.071303	0.064668	0.16101	0.20365	0.085412	0.061903	0.14163	0.27395	0.04549	0.30666	0.17251	0.11483	0.092903	0.89048	0.070827	0.096294	0.0512	0.29755	0.14244	0.22145	0.070856	0.068318	0.056492	0.088064	0.089488	0.099977
Meth__cg04482110__TMEM106A	0.023432	0.020892	0.88436	0.15311	0.42983	0.026189	0.044329	0.023434	0.69268	0.043758	0.020037	0.59351	0.76231	0.054865	0.59189	0.28842	0.016406	0.061384	0.020044	0.041867	0.31156	0.54253	0.52115	0.32994	0.035968	0.026676	0.04387	0.048147	0.079417	0.7614	0.093327	0.46035	0.028636	0.038516	0.17213	0.021297	0.053025	0.38923	0.16578	0.040789	0.02283
