Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg03167883__FLJ46365	0.78458	0.066197	0.55375	0.77302	0.85591	0.057775	0.71062	0.83098	0.048406	0.37563	0.78852	0.35561	0.53666	0.065444	0.62875	0.07173	0.54714	0.039449	0.75058	0.68991	0.13063	0.060925	0.84019	0.27013	0.14494	0.5683	0.11122	0.05162	0.062952	0.059578	0.82152	0.18302	0.76068	0.11388	0.59709	0.42627	0.45067
Meth__cg02953306__CHRNA2	0.24721	0.051304	0.71115	0.64863	0.33003	0.10299	0.6062	0.77982	0.42525	0.5691	0.66408	0.72615	0.53678	0.31868	0.63711	0.31389	0.25777	0.034456	0.1395	0.1513	0.71936	0.095932	0.22275	0.43819	0.079865	0.35836	0.13932	0.045877	0.55479	0.061818	0.49603	0.11397	0.49475	0.14808	0.75151	0.074565	0.11222
Meth__cg09863066__PVALB	0.55139	0.026047	0.88053	0.90552	0.77407	0.028381	0.80022	0.45807	0.01866	0.58916	0.14277	0.61833	0.67873	0.03794	0.18091	0.42688	0.029048	0.01573	0.72796	0.50286	0.93065	0.21487	0.94277	0.7965	0.029702	0.42108	0.041721	0.027048	0.032773	0.020938	0.76926	0.098799	0.20548	0.082698	0.90555	0.494	0.50283
Meth__cg09551147__SORCS3	0.76925	0.019301	0.033046	0.81321	0.15855	0.77105	0.53498	0.56959	0.048127	0.17441	0.93942	0.50176	0.061078	0.037786	0.25834	0.027821	0.037449	0.013921	0.92685	0.84364	0.036174	0.035018	0.53293	0.28946	0.032656	0.57668	0.032444	0.021366	0.023298	0.037916	0.74044	0.024264	0.72929	0.6925	0.6676	0.023729	0.016801
Meth__cg07173760__CLC	0.85294	0.074468	0.8818	0.86159	0.72466	0.16355	0.55666	0.8167	0.069154	0.80985	0.75884	0.38393	0.65886	0.095068	0.57006	0.49753	0.13051	0.080074	0.52379	0.47237	0.8362	0.16694	0.77631	0.26306	0.16993	0.20637	0.19648	0.084687	0.090962	0.073798	0.60811	0.068363	0.63343	0.20498	0.61305	0.50033	0.36769
Meth__cg10743104__PDPN	0.35382	0.045283	0.92197	0.92012	0.87458	0.54595	0.88752	0.51603	0.039558	0.83144	0.89911	0.47323	0.50574	0.056811	0.58801	0.0677	0.098741	0.037047	0.68129	0.73309	0.93576	0.1697	0.26175	0.71399	0.12389	0.86303	0.052584	0.064577	0.057854	0.1567	0.93546	0.046687	0.70774	0.27261	0.68396	0.81189	0.67671
Meth__cg10305797__UNQ467	0.83815	0.081272	0.89444	0.90325	0.80811	0.095983	0.77086	0.82757	0.026652	0.74507	0.3895	0.85683	0.84607	0.040603	0.51905	0.46435	0.035297	0.02241	0.80646	0.84126	0.90815	0.16025	0.91508	0.70273	0.10881	0.2242	0.25599	0.26242	0.23914	0.037441	0.74012	0.082409	0.69137	0.36993	0.85738	0.4162	0.70979
Meth__cg01593190__ADAMTS2	0.40281	0.024988	0.58483	0.092939	0.11491	0.78855	0.64076	0.14458	0.036898	0.0681	0.3064	0.21793	0.52116	0.056903	0.16153	0.068434	0.080104	0.043753	0.88849	0.89097	0.80722	0.065782	0.81514	0.30759	0.065093	0.73247	0.04345	0.11715	0.04212	0.076535	0.051774	0.043984	0.27169	0.10424	0.50216	0.061666	0.063037
Meth__cg16770799__ITGA5	0.074418	0.043447	0.067485	0.8854	0.17002	0.12763	0.21217	0.40095	0.068177	0.535	0.075155	0.66964	0.16755	0.075949	0.1759	0.043332	0.15269	0.065932	0.59707	0.50353	0.63095	0.066387	0.13718	0.48345	0.052908	0.86732	0.10683	0.053988	0.053449	0.050832	0.37516	0.063009	0.62757	0.42431	0.33876	0.076115	0.051493
Meth__cg26036443__EHD2	0.056504	0.04708	0.92188	0.90683	0.82286	0.045626	0.052403	0.1139	0.068352	0.18485	0.90394	0.30208	0.10675	0.059523	0.068838	0.048639	0.28776	0.046894	0.045916	0.14278	0.17826	0.07628	0.48062	0.69298	0.13265	0.087145	0.098769	0.051464	0.036489	0.056873	0.30518	0.094591	0.17823	0.11551	0.11252	0.060969	0.071972
Meth__cg08508325__CARS	0.037034	0.040313	0.58715	0.18159	0.05794	0.086762	0.10646	0.086606	0.043316	0.075187	0.052314	0.17327	0.3125	0.045245	0.083397	0.041544	0.093741	0.043357	0.11673	0.066973	0.091352	0.055398	0.049372	0.16793	0.087115	0.098286	0.092104	0.033726	0.042387	0.041565	0.19136	0.067595	0.039281	0.064586	0.055391	0.045742	0.046815
Meth__cg06812844__TRPM2	0.085813	0.042062	0.9471	0.8969	0.67133	0.36274	0.19353	0.86407	0.062407	0.91971	0.58295	0.64529	0.66667	0.047086	0.52956	0.50677	0.21672	0.045547	0.047483	0.05077	0.77645	0.5101	0.82492	0.63134	0.086588	0.11569	0.073354	0.253	0.056106	0.077585	0.57151	0.10511	0.49514	0.12346	0.83138	0.58717	0.33322
Meth__cg06872331__STEAP3	0.055463	0.048588	0.072861	0.080631	0.20717	0.18236	0.5884	0.30556	0.042065	0.06621	0.059154	0.060682	0.079726	0.056318	0.053858	0.043869	0.1739	0.042064	0.030782	0.14545	0.18427	0.20935	0.10824	0.16269	0.099688	0.095723	0.079255	0.063219	0.043865	0.049858	0.54297	0.042562	0.044888	0.13925	0.065984	0.05296	0.057396
Meth__cg14950072__LAMA1	0.86176	0.061177	0.87752	0.46649	0.086907	0.41559	0.81447	0.8267	0.13488	0.3244	0.87628	0.47221	0.25307	0.15512	0.43897	0.18504	0.096697	0.041944	0.5211	0.36267	0.29576	0.05983	0.84503	0.68601	0.13781	0.7364	0.13232	0.25459	0.054838	0.051794	0.29258	0.090824	0.37771	0.39477	0.75061	0.49819	0.18975
Meth__cg02657360__H19	0.31964	0.041697	0.23596	0.081668	0.53404	0.69735	0.11566	0.28977	0.076597	0.84892	0.62975	0.87579	0.70408	0.070743	0.12836	0.14376	0.12608	0.050652	0.28906	0.3508	0.467	0.21727	0.25616	0.096187	0.068258	0.11703	0.089755	0.0349	0.11232	0.045181	0.77887	0.044126	0.79718	0.12025	0.87963	0.09633	0.053448
Meth__cg18294257__SEC14L3	0.03484	0.017329	0.14826	0.60894	0.20212	0.02827	0.043394	0.39618	0.040652	0.035403	0.12446	0.81475	0.16975	0.030321	0.081782	0.047993	0.093863	0.016935	0.19921	0.11077	0.89678	0.03635	0.16203	0.040917	0.030803	0.055794	0.029602	0.021482	0.032206	0.010945	0.14905	0.020703	0.047182	0.049708	0.37924	0.052147	0.042684
Meth__cg20030243__F2R	0.56872	0.042234	0.10399	0.066928	0.072574	0.66316	0.076914	0.072615	0.040184	0.058848	0.071318	0.062541	0.14267	0.044075	0.051471	0.049737	0.055025	0.037081	0.093018	0.090186	0.24898	0.061502	0.065067	0.060732	0.061875	0.25128	0.047979	0.040239	0.03439	0.058785	0.21993	0.026117	0.21115	0.053096	0.095996	0.051347	0.043503
Meth__cg04172348__SYN2	0.80988	0.063827	0.95211	0.94073	0.86205	0.8493	0.91053	0.94075	0.058421	0.92387	0.05796	0.088019	0.90513	0.069229	0.053123	0.084716	0.18587	0.10869	0.90551	0.82197	0.88635	0.044455	0.92515	0.71732	0.17303	0.88276	0.09482	0.043517	0.045506	0.61027	0.94575	0.094828	0.41927	0.13652	0.89902	0.61256	0.71698
Meth__cg00750606__CDA	0.10318	0.045827	0.45397	0.57017	0.31393	0.035957	0.096597	0.95213	0.031201	0.078636	0.05147	0.32083	0.85234	0.034536	0.13324	0.071177	0.038971	0.019841	0.25639	0.34309	0.83927	0.054719	0.91477	0.049706	0.051556	0.10689	0.030739	0.040583	0.036845	0.07249	0.51072	0.04751	0.41501	0.063942	0.36087	0.047589	0.05244
Meth__cg14611174__SIX6	0.50362	0.048718	0.64341	0.49204	0.50542	0.68193	0.65051	0.24594	0.046979	0.048967	0.73018	0.11387	0.64724	0.2632	0.10179	0.084451	0.072457	0.044316	0.40498	0.29928	0.78472	0.062369	0.60023	0.46061	0.073658	0.62179	0.086547	0.051092	0.040063	0.06843	0.84722	0.042862	0.19328	0.11035	0.59281	0.38734	0.55834
Meth__cg24698622__PPP2CB	0.05631	0.041819	0.61176	0.095354	0.37609	0.052069	0.15428	0.058383	0.050388	0.21657	0.03452	0.043821	0.054806	0.059751	0.051203	0.032803	0.40517	0.034464	0.043421	0.048412	0.071366	0.040888	0.05392	0.18025	0.052645	0.093153	0.062017	0.037702	0.031313	0.042764	0.12044	0.37076	0.12758	0.058271	0.52248	0.048488	0.045669
Meth__cg14545899__FAM46C	0.022105	0.017287	0.021119	0.034201	0.02223	0.29548	0.022022	0.023856	0.011819	0.029902	0.043708	0.021596	0.02405	0.021972	0.024337	0.014514	0.056147	0.012023	0.025471	0.017663	0.023291	0.023273	0.019791	0.027666	0.02286	0.059214	0.035195	0.0152	0.018343	0.017076	0.021832	0.021517	0.012073	0.09511	0.038754	0.019755	0.020916
Meth__cg25349574__CAMTA2	0.027368	0.038519	0.95151	0.97074	0.67435	0.73646	0.95529	0.39664	0.028401	0.96317	0.035538	0.79364	0.89923	0.041233	0.174	0.023524	0.57214	0.014739	0.68457	0.5019	0.045262	0.28549	0.37597	0.94659	0.036207	0.12894	0.082437	0.02829	0.024185	0.037719	0.67138	0.69601	0.40802	0.082553	0.03318	0.050074	0.38837
Meth__cg07313155__THRA	0.031868	0.021378	0.36299	0.66823	0.2082	0.13839	0.15605	0.13667	0.09902	0.28055	0.034768	0.37335	0.091709	0.08354	0.051279	0.041088	0.082776	0.019064	0.065456	0.15359	0.38235	0.16122	0.21282	0.04694	0.038474	0.10147	0.032317	0.024198	0.029657	0.037253	0.59932	0.04518	0.034985	0.024934	0.48547	0.068983	0.034746
Meth__cg26984624__ANK1	0.72454	0.14228	0.94657	0.8964	0.59302	0.045531	0.67315	0.044042	0.043899	0.27614	0.67073	0.57932	0.6893	0.038511	0.56536	0.028233	0.12773	0.016962	0.81274	0.78704	0.64746	0.032421	0.85492	0.66505	0.029362	0.57752	0.35599	0.02516	0.17414	0.022058	0.35087	0.6967	0.60568	0.47102	0.63726	0.63654	0.47847
Meth__cg03161839__ARHGEF1	0.029776	0.029312	0.21654	0.042661	0.30068	0.092332	0.067432	0.44848	0.031873	0.043526	0.033575	0.05344	0.041053	0.032322	0.13803	0.04688	0.10158	0.0308	0.031652	0.034415	0.090845	0.038344	0.049949	0.1031	0.04455	0.061168	0.042493	0.0426	0.035414	0.031133	0.43437	0.039162	0.041321	0.071793	0.03696	0.030918	0.059095
Meth__cg13264741__GRIN2B	0.6865	0.021387	0.95348	0.73875	0.061319	0.57306	0.34966	0.81633	0.04438	0.04593	0.79604	0.66635	0.30155	0.057345	0.21557	0.05369	0.21364	0.032179	0.053527	0.1802	0.071964	0.05157	0.9629	0.089275	0.043696	0.46733	0.031345	0.039904	0.49035	0.044067	0.84674	0.030522	0.37028	0.19174	0.60882	0.43949	0.30134
Meth__cg01291404__COL2A1	0.081493	0.15459	0.92233	0.93204	0.30616	0.10595	0.92735	0.79695	0.045342	0.057023	0.89028	0.18829	0.87122	0.2674	0.90402	0.053724	0.072964	0.055054	0.88822	0.92679	0.94457	0.85096	0.60041	0.93935	0.042038	0.89654	0.040686	0.03849	0.047091	0.092295	0.87231	0.13703	0.9164	0.90042	0.92748	0.058944	0.8341
Meth__cg11784785__SLC6A5	0.12135	0.042445	0.075417	0.55237	0.16432	0.082744	0.27229	0.74339	0.073328	0.063939	0.27194	0.23303	0.17547	0.096323	0.24838	0.072869	0.11032	0.054137	0.13782	0.12033	0.49009	0.068613	0.60206	0.070268	0.091982	0.23579	0.10913	0.053044	0.059605	0.044543	0.10332	0.061963	0.18932	0.13626	0.28081	0.13866	0.094408
Meth__cg00836605__JAZF1	0.038985	0.045558	0.050788	0.040145	0.041691	0.44862	0.040222	0.037648	0.030584	0.035733	0.040211	0.050998	0.13468	0.033171	0.040751	0.03166	0.060982	0.028074	0.0271	0.03555	0.062696	0.038784	0.071282	0.039383	0.077246	0.080957	0.048558	0.02523	0.026068	0.033543	0.066356	0.025536	0.030998	0.058554	0.036219	0.032996	0.034162
Meth__cg14740251__SIGLEC5	0.79701	0.093654	0.54762	0.93704	0.91011	0.1081	0.92452	0.59587	0.041879	0.44018	0.45245	0.83654	0.39691	0.077311	0.3903	0.17344	0.16699	0.044126	0.9353	0.82046	0.89298	0.10084	0.89483	0.89649	0.14224	0.63471	0.40478	0.063123	0.10428	0.060008	0.64923	0.089415	0.89858	0.26178	0.85506	0.22553	0.095238
Meth__cg25093045__FLJ46481	0.10205	0.032211	0.88853	0.35298	0.5327	0.067861	0.38321	0.83974	0.031731	0.76777	0.52014	0.26509	0.50292	0.030169	0.22574	0.33483	0.17331	0.030835	0.59805	0.44765	0.9276	0.053784	0.75588	0.59426	0.050382	0.36629	0.071114	0.027496	0.033277	0.036804	0.03436	0.030412	0.30744	0.15661	0.46086	0.26481	0.23253
Meth__cg02326006__ARHGEF9	0.073573	0.033698	0.11063	0.046584	0.062715	0.057084	0.094787	0.25701	0.031615	0.045833	0.064445	0.43278	0.099773	0.035616	0.22584	0.0334	0.10882	0.048738	0.0587	0.054488	0.27453	0.033957	0.042906	0.050881	0.047297	0.14261	0.11665	0.04518	0.044308	0.031819	0.052557	0.044964	0.074517	0.12974	0.047282	0.044712	0.072129
Meth__cg06020352__IRF8	0.13752	0.11164	0.91224	0.84838	0.54973	0.32444	0.12452	0.70024	0.12728	0.83475	0.8331	0.8694	0.73137	0.21042	0.5322	0.14555	0.1821	0.10249	0.50745	0.34958	0.84916	0.2716	0.52559	0.85712	0.16219	0.5903	0.15913	0.0919	0.075808	0.10637	0.10267	0.06776	0.81023	0.16983	0.88647	0.086334	0.13221
Meth__cg15059932__ZNF236	0.047264	0.083048	0.12879	0.13553	0.065486	0.10218	0.24948	0.20961	0.10647	0.43131	0.045928	0.1696	0.14243	0.11868	0.10743	0.055572	0.19885	0.0345	0.05346	0.12551	0.4552	0.06506	0.084881	0.17875	0.16451	0.15736	0.20181	0.036931	0.041201	0.041692	0.50725	0.23416	0.063609	0.14843	0.050176	0.039194	0.043115
Meth__cg24169915__FLJ25773	0.64716	0.3067	0.89717	0.90013	0.72196	0.10961	0.76007	0.93744	0.0473	0.34452	0.16177	0.81847	0.76824	0.15716	0.66714	0.36979	0.2059	0.14894	0.11579	0.20054	0.83729	0.060137	0.89993	0.61052	0.12139	0.4293	0.35361	0.045735	0.075524	0.07638	0.85401	0.15022	0.44296	0.081175	0.12833	0.47635	0.29058
Meth__cg18230771__AGC1	0.51697	0.054675	0.70357	0.093053	0.054861	0.57339	0.15385	0.95899	0.059897	0.079865	0.46891	0.48314	0.53763	0.07943	0.33538	0.12723	0.12502	0.033419	0.15661	0.11849	0.39969	0.19531	0.43485	0.097168	0.08324	0.48837	0.10294	0.053858	0.043415	0.037833	0.066417	0.035424	0.12118	0.082374	0.23519	0.038345	0.053709
Meth__cg14708847__PAK3	0.097577	0.054287	0.08935	0.29157	0.10406	0.11505	0.13917	0.32054	0.057297	0.073696	0.18852	0.071263	0.25378	0.062732	0.094476	0.0383	0.14248	0.074511	0.13709	0.15196	0.22931	0.092495	0.28947	0.08794	0.087172	0.10855	0.1202	0.057138	0.049746	0.085514	0.62163	0.057116	0.054648	0.099965	0.41228	0.074513	0.29339
Meth__cg18205517__PP2447	0.038029	0.056589	0.3731	0.21411	0.26273	0.071938	0.09143	0.1174	0.035895	0.1391	0.042621	0.054754	0.08636	0.037596	0.033503	0.079526	0.092609	0.036414	0.065098	0.098334	0.16724	0.064875	0.02964	0.10378	0.055406	0.11956	0.040913	0.033406	0.03746	0.027171	0.043279	0.12274	0.034367	0.090475	0.042087	0.036757	0.051156
Meth__cg25681177__GAPDHS	0.86922	0.035781	0.60927	0.7624	0.67321	0.073626	0.66002	0.54981	0.022437	0.75298	0.25316	0.59743	0.50738	0.026871	0.46011	0.39201	0.055809	0.020322	0.7453	0.36131	0.93176	0.56633	0.45383	0.67222	0.041747	0.38954	0.052058	0.045291	0.088317	0.050538	0.69349	0.18733	0.3732	0.092973	0.080932	0.38612	0.34061
Meth__cg24891133__FLJ14834	0.074616	0.020355	0.42933	0.25908	0.72085	0.61114	0.65806	0.91216	0.023928	0.91239	0.95223	0.023076	0.37489	0.020014	0.61629	0.4037	0.061959	0.024246	0.78425	0.7095	0.95563	0.050173	0.53177	0.86351	0.033887	0.80283	0.034795	0.01863	0.018953	0.055841	0.60859	0.023614	0.47313	0.050931	0.025819	0.17143	0.17611
Meth__cg24453353__HIST1H4C	0.051082	0.040824	0.10364	0.04909	0.060003	0.43313	0.058815	0.054567	0.032664	0.072172	0.070417	0.029209	0.11698	0.042908	0.051943	0.041933	0.11577	0.039746	0.05807	0.047736	0.053236	0.044956	0.043187	0.059994	0.05832	0.085081	0.050218	0.039843	0.050667	0.054195	0.053766	0.043583	0.035771	0.089011	0.048801	0.048502	0.047356
Meth__cg07629017__NPBWR1	0.21412	0.026729	0.94435	0.70462	0.20359	0.24813	0.25824	0.92345	0.051172	0.082041	0.84587	0.60395	0.84297	0.079695	0.72732	0.075414	0.54651	0.032906	0.35799	0.35577	0.59927	0.30228	0.9439	0.28008	0.10044	0.4629	0.073766	0.23572	0.048801	0.043182	0.055567	0.050769	0.095186	0.1	0.68269	0.65619	0.31899
Meth__cg24691461__C20orf160	0.8394	0.079832	0.89401	0.89205	0.81992	0.17804	0.66995	0.77355	0.2566	0.40556	0.40246	0.73844	0.51108	0.22119	0.51839	0.25019	0.058893	0.026793	0.7235	0.64773	0.95364	0.23462	0.89795	0.67668	0.050079	0.079358	0.085586	0.048499	0.043172	0.039859	0.72586	0.0379	0.30904	0.078389	0.81796	0.48052	0.41438
Meth__cg00806490__CDH13	0.95805	0.075245	0.84667	0.87733	0.342	0.93061	0.54065	0.83611	0.55122	0.40449	0.95531	0.73347	0.72278	0.41805	0.5875	0.792	0.10568	0.088401	0.67143	0.53704	0.24675	0.093747	0.36749	0.85437	0.081681	0.94824	0.11818	0.10165	0.072716	0.0682	0.70939	0.078639	0.16312	0.21029	0.079313	0.33494	0.075484
