Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
SNP__NME7	0.651	0.492	-0.676	0.603	0.1	0.446	0.01	-2.446	-2.095	0.059	0.09	-0.024	0.403	-0.156	-2.232	0.236	0.524	0.176	0.183	-0.096	0.277	-0.064	0.176	0.296	-1.802	-3.103	-0.222	-0.052	0.032	0.286	0.131	0.263	-0.23	-0.172	0	0.084	0.243	0.291	0.003	0.282	0.067	0.445	-0.997
SNP__ERBB2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__C17orf37	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__GRB7	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__ZNFN1A3	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__TCAP	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__MGAM	0.006	-2.204	0.355	0.322	-0.135	0.422	0.032	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.557	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	0.18	-0.409	0.099	-1.689	0.526	-3.317	-0.006	-0.234	0.23	-0.287	-0.02	-0.321	-0.317	-0.042	0.028
SNP__NEUROD2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__PNMT	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
