Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg21934269__RPL39	0.6101	0.035922	0.028665	0.043674	0.37412	0.030115	0.038391	0.44459	0.55031	0.65107	0.039043	0.044578	0.042946	0.035165	0.48712	0.34335	0.55873	0.067916	0.035111	0.02475	0.028463	0.047278	0.087525	0.056457	0.1365	0.45986	0.080152	0.57222	0.038784	0.099526	0.040819	0.2668	0.083699	0.61755	0.40361	0.036291
Meth__cg20881054__VASH1	0.12071	0.31143	0.41421	0.17069	0.095339	0.16707	0.73786	0.18168	0.024095	0.047555	0.075942	0.037927	0.61448	0.67126	0.031606	0.064587	0.062105	0.27071	0.035117	0.91908	0.65915	0.071188	0.84592	0.41229	0.076941	0.92224	0.10858	0.034965	0.041919	0.044091	0.11923	0.43181	0.053937	0.038439	0.12155	0.15701
Meth__cg25778479__ANKMY2	0.13868	0.059934	0.20861	0.17621	0.40256	0.073638	0.094149	0.1289	0.37931	0.19328	0.08907	0.36464	0.063223	0.1571	0.39664	0.12768	0.058815	0.10553	0.080937	0.13785	0.087484	0.16631	0.12266	0.10698	0.13112	0.081333	0.11472	0.081179	0.079984	0.058068	0.061514	0.050818	0.28035	0.52473	0.074087	0.061239
Meth__cg20699736__VAX2	0.10919	0.22933	0.23655	0.10454	0.14927	0.31776	0.43366	0.043405	0.084588	0.14534	0.070087	0.059149	0.76703	0.068577	0.089394	0.28666	0.062309	0.069824	0.3766	0.20507	0.24149	0.60868	0.5656	0.29541	0.11893	0.72788	0.11251	0.058948	0.029255	0.08603	0.24289	0.79616	0.065822	0.063298	0.091466	0.40188
Meth__cg22136753__CSRP2BP	0.064948	0.16367	0.07244	0.065169	0.05074	0.85064	0.057402	0.13655	0.048869	0.063526	0.054964	0.073171	0.48746	0.050566	0.053618	0.2502	0.23228	0.11372	0.0396	0.059929	0.061021	0.29748	0.78357	0.10287	0.090592	0.083261	0.10363	0.052823	0.46246	0.37905	0.38374	0.13478	0.032714	0.065922	0.08038	0.3179
Meth__cg04037228__LIMD1	0.10509	0.072787	0.16687	0.23712	0.90778	0.1224	0.43341	0.18754	0.82966	0.91862	0.30445	0.93146	0.30373	0.36375	0.60975	0.086752	0.058434	0.092965	0.64883	0.59891	0.23516	0.83295	0.075989	0.28292	0.11205	0.086852	0.094472	0.30558	0.063225	0.51663	0.092745	0.03947	0.21968	0.87559	0.074401	0.060777
Meth__cg21134096__RHEB	0.0591	0.80409	0.073474	0.25685	0.050213	0.38983	0.59127	0.045855	0.058559	0.099249	0.04698	0.095693	0.56663	0.058934	0.055846	0.092021	0.055991	0.092595	0.062429	0.63158	0.63018	0.21641	0.090781	0.87607	0.14538	0.084052	0.61373	0.043105	0.059249	0.56939	0.072567	0.13086	0.16298	0.087719	0.059569	0.50062
Meth__cg07356771__CHDH	0.026199	0.68475	0.029897	0.031692	0.031843	0.43945	0.036983	0.041484	0.022654	0.026497	0.023215	0.025638	0.10288	0.016125	0.021177	0.36616	0.029444	0.054787	0.50864	0.021048	0.035629	0.25344	0.92074	0.032423	0.035239	0.05302	0.41344	0.027247	0.02763	0.080016	0.44051	0.96754	0.035192	0.029138	0.034941	0.023572
Meth__cg06540105__CCDC74A	0.025068	0.029118	0.51142	0.50641	0.029709	0.027781	0.035413	0.027242	0.030817	0.035493	0.034353	0.06455	0.84155	0.17082	0.021893	0.038187	0.20337	0.050798	0.01675	0.051647	0.033994	0.37268	0.067865	0.043071	0.040483	0.64242	0.055068	0.024253	0.027808	0.24845	0.36213	0.1152	0.040506	0.031277	0.27132	0.060927
Meth__cg04384208__FCGR3A	0.27601	0.036336	0.13508	0.42684	0.59134	0.067887	0.12286	0.82673	0.42987	0.10369	0.56283	0.61132	0.40708	0.018803	0.30864	0.30093	0.61151	0.10917	0.028824	0.1094	0.15634	0.07839	0.11288	0.12275	0.041477	0.071902	0.082844	0.17264	0.049561	0.046888	0.16552	0.057503	0.10079	0.42296	0.30001	0.31545
Meth__cg09297361__SNX22	0.088315	0.074757	0.16029	0.083927	0.07085	0.80501	0.108	0.049962	0.057494	0.073798	0.095671	0.078274	0.36926	0.062836	0.063492	0.8564	0.07315	0.095148	0.060985	0.11906	0.27048	0.17676	0.43491	0.20989	0.083968	0.19689	0.11905	0.070192	0.05567	0.29279	0.11565	0.5308	0.13907	0.080336	0.3604	0.5555
Meth__cg05732530__DUSP2	0.033096	0.27743	0.6625	0.050073	0.026955	0.58939	0.037165	0.029875	0.01698	0.035716	0.029074	0.094371	0.71303	0.026204	0.025687	0.65093	0.021097	0.045956	0.21268	0.57472	0.58622	0.22489	0.96375	0.22509	0.044266	0.093569	0.18325	0.032656	0.86347	0.021608	0.035501	0.57819	0.05839	0.035471	0.025809	0.038494
Meth__cg08818784__KLK10	0.5101	0.026629	0.99129	0.48659	0.031376	0.94963	0.58841	0.024941	0.022889	0.027022	0.43505	0.030064	0.98568	0.87857	0.022393	0.88063	0.027546	0.0359	0.045195	0.98454	0.98734	0.11981	0.97335	0.67038	0.037613	0.98305	0.058114	0.038154	0.03906	0.12634	0.046324	0.98827	0.058053	0.038743	0.029056	0.040967
Meth__cg11278262__KRTCAP2	0.043048	0.8449	0.95883	0.63018	0.71834	0.045802	0.9618	0.02204	0.082555	0.34647	0.58895	0.34862	0.89904	0.97236	0.20744	0.89366	0.037604	0.36573	0.059146	0.80822	0.39545	0.61175	0.82567	0.92108	0.072405	0.94211	0.59195	0.044532	0.54472	0.12694	0.93802	0.95963	0.097185	0.044984	0.49784	0.3566
Meth__cg15536490__TFAP2C	0.059396	0.18763	0.90018	0.6959	0.077408	0.5813	0.31737	0.097177	0.064123	0.59638	0.088887	0.14152	0.70011	0.14539	0.075386	0.87556	0.085656	0.055352	0.19264	0.52182	0.4541	0.75795	0.58258	0.15627	0.071632	0.10173	0.22787	0.064712	0.052081	0.63587	0.18675	0.53061	0.071436	0.050237	0.65072	0.59185
Meth__cg18056600__ZMYND15	0.034968	0.78702	0.65487	0.8171	0.13152	0.97023	0.26807	0.044132	0.025547	0.10166	0.074294	0.054043	0.23717	0.046147	0.039956	0.90923	0.16912	0.060016	0.1937	0.9427	0.4272	0.94923	0.93798	0.44228	0.068048	0.098863	0.43477	0.4894	0.026201	0.88608	0.1104	0.8874	0.078109	0.18742	0.075264	0.49803
Meth__cg04533591__RPL39	0.53908	0.056145	0.046337	0.074796	0.30351	0.032346	0.055363	0.40082	0.50846	0.35441	0.048798	0.1385	0.081902	0.042004	0.44474	0.25523	0.53655	0.11927	0.065083	0.077707	0.058298	0.038226	0.06598	0.070911	0.24826	0.3814	0.075529	0.46518	0.05784	0.47453	0.069052	0.2161	0.13139	0.56168	0.35955	0.044734
Meth__cg18798750__MGC14289	0.049053	0.84478	0.67195	0.056974	0.055974	0.031635	0.36782	0.046112	0.030801	0.039793	0.055716	0.040781	0.29286	0.024889	0.062288	0.52385	0.059337	0.11489	0.29688	0.70531	0.3726	0.057228	0.079285	0.085444	0.10387	0.087833	0.5349	0.03061	0.035993	0.061026	0.042162	0.94839	0.046666	0.040596	0.039115	0.055356
Meth__cg19937039__SERPINA10	0.64774	0.042989	0.17923	0.78556	0.46636	0.098803	0.4085	0.93283	0.53037	0.14964	0.53551	0.44723	0.56938	0.060902	0.39371	0.36016	0.87777	0.12491	0.15	0.22955	0.20259	0.58863	0.11139	0.21542	0.11117	0.10148	0.08529	0.72054	0.066276	0.066321	0.4955	0.33286	0.53932	0.67268	0.21574	0.14878
Meth__cg00718513__	0.28091	0.04774	0.13012	0.12325	0.38122	0.046487	0.06697	0.11187	0.48577	0.12091	0.13058	0.11412	0.085273	0.039001	0.31714	0.075766	0.044891	0.059576	0.092951	0.066601	0.064197	0.054758	0.10417	0.12465	0.13973	0.10309	0.057172	0.041052	0.062521	0.064757	0.3744	0.060901	0.18206	0.17159	0.11628	0.099275
Meth__cg17178888__FLJ14166	0.037024	0.036153	0.95486	0.041336	0.032211	0.96278	0.90582	0.032903	0.032035	0.038652	0.042942	0.025061	0.12781	0.023874	0.039275	0.040603	0.043327	0.062198	0.61216	0.038137	0.04295	0.044041	0.0553	0.040034	0.077529	0.90166	0.10123	0.054822	0.038252	0.36566	0.038474	0.74384	0.060062	0.038496	0.12007	0.1259
Meth__cg09461185__PTGS2	0.27461	0.038629	0.35745	0.91049	0.04068	0.86779	0.82195	0.037314	0.041297	0.062703	0.036939	0.080099	0.51721	0.56406	0.050129	0.4099	0.047833	0.070196	0.1417	0.39501	0.30875	0.046599	0.07389	0.51176	0.13479	0.36239	0.093631	0.032751	0.035625	0.048917	0.26988	0.31282	0.069041	0.16368	0.74684	0.69057
Meth__cg09374949__ISYNA1	0.054859	0.46293	0.068084	0.62426	0.052458	0.58406	0.065715	0.059676	0.052122	0.049591	0.068799	0.44104	0.36624	0.054665	0.051148	0.59179	0.062387	0.079556	0.9626	0.64923	0.2449	0.099305	0.97288	0.066482	0.057238	0.12983	0.063644	0.054183	0.032957	0.68779	0.26454	0.044358	0.052059	0.051379	0.063939	0.067021
Meth__cg18489434__VASH1	0.02591	0.062511	0.32793	0.03072	0.019924	0.04804	0.91829	0.017826	0.020009	0.019703	0.025068	0.023749	0.8641	0.89591	0.013975	0.018211	0.010102	0.06052	0.019013	0.9583	0.64823	0.021631	0.90165	0.26311	0.050081	0.93095	0.03111	0.014456	0.017027	0.011484	0.030802	0.30975	0.042539	0.017709	0.03902	0.02921
Meth__cg19384697__UPK3B	0.077999	0.07585	0.11037	0.34731	0.0963	0.46246	0.15257	0.10996	0.078267	0.10479	0.096249	0.063856	0.25621	0.18838	0.12869	0.15206	0.32762	0.097802	0.11949	0.069637	0.084561	0.47694	0.76983	0.11446	0.11524	0.14927	0.072077	0.10636	0.37344	0.55879	0.32279	0.078963	0.084227	0.069977	0.13846	0.37555
Meth__cg22392708__KRT23	0.024786	0.038491	0.030611	0.17123	0.023522	0.45849	0.081562	0.045942	0.030812	0.036546	0.023584	0.020674	0.051049	0.032711	0.022387	0.025693	0.20847	0.043478	0.37792	0.052018	0.12336	0.13119	0.61525	0.042807	0.099681	0.07181	0.056642	0.10829	0.026421	0.42352	0.070096	0.02314	0.041389	0.033175	0.077757	0.037554
Meth__cg04739570__PODXL2	0.066825	0.058281	0.60351	0.069193	0.044006	0.67678	0.67613	0.052799	0.065917	0.084987	0.055498	0.61847	0.79551	0.0417	0.052468	0.11182	0.55203	0.18264	0.32317	0.71109	0.28045	0.8478	0.84827	0.73387	0.12336	0.89681	0.098513	0.062706	0.36705	0.083231	0.10311	0.070805	0.12386	0.068793	0.058443	0.05713
Meth__cg00042156__MGC16291	0.57086	0.041955	0.1013	0.84318	0.92626	0.78103	0.61532	0.86331	0.95065	0.93317	0.88142	0.83943	0.1543	0.52859	0.76674	0.84039	0.29624	0.073244	0.72791	0.57128	0.56745	0.75069	0.049534	0.31504	0.041277	0.32168	0.096966	0.7485	0.036559	0.16028	0.075569	0.088962	0.72405	0.18328	0.89812	0.94495
Meth__cg15364537__MFSD4	0.056693	0.40783	0.75873	0.61152	0.077646	0.89274	0.72975	0.043005	0.033433	0.048755	0.064689	0.080726	0.94665	0.37587	0.07156	0.81699	0.052281	0.060861	0.04076	0.10699	0.60519	0.047832	0.95146	0.72027	0.13021	0.96833	0.18095	0.059419	0.37721	0.044805	0.85868	0.9847	0.1322	0.47134	0.28902	0.11638
Meth__cg15931943__FHIT	0.029246	0.024592	0.032352	0.029412	0.019725	0.058098	0.028772	0.019822	0.019985	0.023602	0.020781	0.01692	0.083538	0.018388	0.027567	0.031973	0.047561	0.032311	0.02937	0.15922	0.028475	0.036108	0.15215	0.026649	0.049996	0.032479	0.041875	0.019408	0.027162	0.025432	0.023669	0.030796	0.044487	0.028769	0.026906	0.026815
Meth__cg14135551__DAAM2	0.052536	0.039751	0.21821	0.082405	0.049354	0.49706	0.45053	0.076489	0.029736	0.070137	0.043104	0.035065	0.73193	0.031627	0.044087	0.047531	0.051099	0.17561	0.038733	0.076628	0.077343	0.085574	0.19501	0.090958	0.073292	0.11807	0.16078	0.057974	0.043204	0.057321	0.082594	0.459	0.054771	0.067023	0.075515	0.26118
Meth__cg05019001__AR	0.56703	0.041695	0.10426	0.047653	0.18276	0.033377	0.041115	0.97755	0.30033	0.076123	0.97909	0.94776	0.045564	0.028564	0.25521	0.95135	0.72618	0.20724	0.037655	0.063451	0.057139	0.11167	0.94506	0.049561	0.076792	0.35048	0.063699	0.16346	0.15068	0.22566	0.026869	0.86384	0.09068	0.41686	0.15553	0.048337
Meth__cg17878972__HRASLS	0.062828	0.3283	0.79106	0.63805	0.038612	0.057541	0.080825	0.028549	0.054197	0.063224	0.068438	0.050309	0.12714	0.26967	0.070258	0.22127	0.080075	0.099439	0.10906	0.68877	0.81626	0.068956	0.43245	0.16463	0.12999	0.27989	0.18618	0.096731	0.051574	0.055961	0.054715	0.065148	0.15132	0.060294	0.060324	0.059576
Meth__cg25662535__ART5	0.05864	0.053529	0.25866	0.20637	0.053323	0.56284	0.15088	0.54651	0.080136	0.052202	0.18371	0.065794	0.63093	0.038294	0.077714	0.87493	0.57293	0.072796	0.45843	0.47961	0.080116	0.19682	0.6435	0.73927	0.080678	0.85587	0.11895	0.11665	0.15571	0.43086	0.41692	0.5589	0.12231	0.047501	0.15265	0.16022
Meth__cg18840461__ANKRD43	0.2675	0.054667	0.46991	0.049751	0.038971	0.14867	0.033957	0.036048	0.042246	0.040556	0.036485	0.025678	0.13008	0.041361	0.036578	0.045262	0.037158	0.10195	0.07916	0.061588	0.10295	0.094089	0.59381	0.047291	0.08253	0.13715	0.1214	0.047236	0.046773	0.096693	0.070845	0.37966	0.059021	0.039756	0.046669	0.046529
Meth__cg26833602__SUSD3	0.035428	0.36917	0.89214	0.40119	0.021368	0.84301	0.030429	0.97196	0.028974	0.026325	0.028006	0.13913	0.68242	0.86623	0.033916	0.9435	0.9124	0.33927	0.198	0.045004	0.77556	0.39163	0.053263	0.9575	0.054565	0.9012	0.32689	0.14667	0.11336	0.51946	0.034997	0.48817	0.059552	0.030438	0.68625	0.085784
Meth__cg07190485__STOM	0.036894	0.0312	0.14304	0.17407	0.040671	0.42307	0.03104	0.02883	0.03384	0.028305	0.031479	0.048834	0.058923	0.023445	0.047898	0.042183	0.047765	0.066215	0.054715	0.051	0.031205	0.044527	0.049028	0.41528	0.061301	0.078801	0.08855	0.028254	0.06489	0.20728	0.068726	0.030792	0.038104	0.035854	0.03644	0.040817
Meth__cg22130834__TTC22	0.078146	0.1155	0.44268	0.834	0.6642	0.73052	0.7379	0.028127	0.020928	0.81486	0.031796	0.029854	0.7401	0.32505	0.036495	0.7826	0.032337	0.050958	0.25154	0.89352	0.84627	0.61594	0.84952	0.52678	0.04702	0.87539	0.13808	0.076664	0.026437	0.1242	0.75613	0.51795	0.071643	0.035208	0.08483	0.84881
Meth__cg04434339__ST6GAL2	0.044605	0.040234	0.52409	0.039688	0.031403	0.50659	0.91644	0.064277	0.031511	0.032268	0.032518	0.0812	0.12829	0.56707	0.040486	0.034193	0.048638	0.07903	0.024842	0.84333	0.84377	0.034907	0.79837	0.47594	0.37413	0.88712	0.12819	0.039866	0.022915	0.093304	0.58709	0.64032	0.40919	0.032998	0.066663	0.047857
Meth__cg03752885__DAPK3	0.31684	0.18018	0.11941	0.1828	0.23016	0.092403	0.15304	0.12903	0.79441	0.5557	0.43812	0.76245	0.30489	0.88106	0.63549	0.20223	0.07884	0.13225	0.08197	0.35891	0.1451	0.18026	0.12034	0.30614	0.16601	0.40683	0.14466	0.13532	0.15381	0.13524	0.095045	0.1874	0.31985	0.78868	0.16899	0.21651
Meth__cg04682845__TMEM42	0.04603	0.5383	0.8428	0.31479	0.15028	0.68319	0.19173	0.05685	0.074721	0.21362	0.079492	0.10426	0.40553	0.088911	0.14105	0.11909	0.074326	0.076346	0.074394	0.25407	0.093817	0.55028	0.19473	0.52652	0.25111	0.095783	0.44955	0.026948	0.49705	0.62601	0.25808	0.062886	0.41322	0.071775	0.13758	0.87737
Meth__cg18237405__CPNE5	0.047635	0.067703	0.94888	0.8773	0.041084	0.46514	0.072921	0.19863	0.033638	0.065176	0.22857	0.1519	0.84288	0.082138	0.055842	0.25449	0.15216	0.06144	0.16252	0.69783	0.39642	0.36048	0.88846	0.7281	0.075397	0.45869	0.13018	0.033895	0.03859	0.87613	0.65235	0.53881	0.35973	0.48512	0.53773	0.94488
Meth__cg21912567__GADD45G	0.046526	0.055281	0.051401	0.04759	0.052642	0.87335	0.055904	0.052709	0.043783	0.041176	0.045158	0.038445	0.083601	0.038842	0.049683	0.45331	0.064269	0.091856	0.084758	0.036602	0.049243	0.054868	0.35421	0.050838	0.092088	0.087449	0.066041	0.048335	0.049884	0.05513	0.049538	0.053386	0.073784	0.046532	0.04809	0.05092
Meth__cg06746171__ATOX1	0.21874	0.21185	0.90074	0.56731	0.13759	0.8593	0.2508	0.065534	0.077102	0.38852	0.072078	0.36045	0.43483	0.1921	0.099038	0.15452	0.21337	0.17325	0.48901	0.42068	0.25324	0.40054	0.78735	0.56913	0.11368	0.82111	0.20963	0.046474	0.73487	0.10937	0.70679	0.32709	0.40347	0.1069	0.12197	0.073457
Meth__cg25397076__RBP7	0.037989	0.022225	0.47337	0.14027	0.16119	0.98177	0.84996	0.050058	0.03332	0.034611	0.9704	0.036938	0.92748	0.075112	0.035791	0.96856	0.40773	0.061145	0.23692	0.54138	0.18386	0.22066	0.95742	0.58542	0.062783	0.94773	0.072128	0.063325	0.03015	0.060581	0.072617	0.97969	0.046536	0.034541	0.10469	0.97086
Meth__cg26399201__ANKRD43	0.048666	0.50248	0.97622	0.12499	0.062503	0.77031	0.044063	0.15171	0.041855	0.043418	0.53587	0.1427	0.30456	0.23522	0.051294	0.12171	0.063837	0.13031	0.62294	0.32912	0.47534	0.36913	0.71196	0.077129	0.082381	0.15715	0.17734	0.044773	0.051901	0.26225	0.26514	0.89635	0.1518	0.038478	0.15736	0.10875
Meth__cg23693510__ELAVL2	0.87004	0.049282	0.52098	0.8678	0.56003	0.033878	0.88485	0.90203	0.90354	0.49773	0.27945	0.79367	0.18131	0.02947	0.83021	0.047114	0.38614	0.22301	0.71419	0.47766	0.63893	0.051894	0.51874	0.08789	0.10787	0.17475	0.088707	0.37785	0.37328	0.12751	0.042945	0.87599	0.23562	0.39832	0.050681	0.051962
Meth__cg03751799__SRPRB	0.070363	0.049246	0.093772	0.10586	0.025767	0.055498	0.099713	0.042254	0.057333	0.073961	0.040834	0.029842	0.097832	0.046074	0.055158	0.072583	0.034396	0.075538	0.063462	0.035133	0.083026	0.068647	0.16208	0.067206	0.1142	0.11249	0.11011	0.040728	0.062845	0.05953	0.052509	0.041112	0.054777	0.053707	0.097764	0.08709
Meth__cg20275344__RAB9B	0.57098	0.072962	0.075672	0.065625	0.36398	0.068208	0.075248	0.39427	0.56161	0.64629	0.11799	0.2657	0.1312	0.37858	0.51046	0.4658	0.49431	0.13888	0.04989	0.088133	0.080454	0.52188	0.10775	0.061399	0.27576	0.30741	0.10066	0.17763	0.09019	0.58142	0.054799	0.73931	0.13968	0.59681	0.18895	0.062815
Meth__cg18484189__NALP10	0.53223	0.047513	0.78258	0.58826	0.43926	0.77646	0.31242	0.833	0.62713	0.74433	0.26471	0.83267	0.43718	0.022845	0.48681	0.2525	0.52498	0.14613	0.1305	0.23996	0.1836	0.22468	0.24109	0.11409	0.031046	0.11547	0.080958	0.10457	0.1402	0.20938	0.43011	0.21084	0.29418	0.71928	0.22414	0.2936
Meth__cg10549973__UNQ9438	0.043119	0.85524	0.97299	0.38549	0.39079	0.96303	0.17224	0.049704	0.036838	0.064012	0.25604	0.74269	0.5033	0.5671	0.048766	0.16429	0.73013	0.099784	0.86551	0.92228	0.066206	0.90947	0.92402	0.57734	0.078667	0.093897	0.13549	0.61132	0.58401	0.65229	0.10345	0.77996	0.10096	0.071578	0.49257	0.599
Meth__cg11326613__MGC31967	0.13431	0.16038	0.24377	0.5388	0.2089	0.34237	0.11566	0.086861	0.090697	0.099306	0.093489	0.15306	0.37025	0.074904	0.086441	0.17422	0.18899	0.14415	0.10316	0.17761	0.14915	0.13228	0.77073	0.18182	0.17475	0.13903	0.19241	0.080059	0.1202	0.09936	0.17907	0.12851	0.14237	0.10264	0.17114	0.11525
Meth__cg11781389__LOC89944	0.21959	0.099528	0.91174	0.38558	0.10339	0.95068	0.13398	0.21277	0.088322	0.087184	0.1375	0.11131	0.86152	0.086186	0.066611	0.12086	0.39887	0.35821	0.18693	0.14886	0.37012	0.16138	0.74409	0.28423	0.14889	0.89972	0.1289	0.14035	0.082713	0.62968	0.10954	0.35859	0.31205	0.056351	0.22153	0.65338
Meth__cg20740029__SLC5A8	0.033465	0.043007	0.95094	0.037138	0.027493	0.9337	0.032161	0.1294	0.030049	0.02777	0.57968	0.0445	0.45626	0.10292	0.032272	0.60086	0.10041	0.14727	0.033132	0.052451	0.034557	0.073101	0.8755	0.04642	0.060042	0.91739	0.091179	0.041016	0.054781	0.059406	0.035947	0.27871	0.050903	0.033009	0.93686	0.91547
Meth__cg15800421__CCR10	0.063282	0.68288	0.13441	0.54481	0.087386	0.047359	0.41267	0.047096	0.049716	0.061213	0.072406	0.52434	0.67607	0.80753	0.14902	0.6879	0.088762	0.10737	0.057732	0.85728	0.83672	0.53769	0.077042	0.82966	0.073465	0.58134	0.55084	0.054517	0.058548	0.070508	0.33343	0.66671	0.12519	0.15676	0.58494	0.45362
Meth__cg05244766__GSTP1	0.11996	0.31668	0.51939	0.59114	0.13064	0.91995	0.24906	0.096652	0.10259	0.10367	0.092844	0.81803	0.84734	0.32812	0.14493	0.82193	0.66551	0.25034	0.66779	0.73132	0.10645	0.71297	0.69169	0.3036	0.13417	0.22101	0.31736	0.12437	0.17248	0.22364	0.099159	0.70816	0.12283	0.10561	0.0508	0.040223
Meth__cg19841506__ZMYND15	0.035162	0.83335	0.77316	0.858	0.11714	0.98488	0.20926	0.034124	0.030107	0.090386	0.034916	0.040243	0.20213	0.02218	0.027942	0.9533	0.098532	0.081003	0.20772	0.97517	0.44933	0.97698	0.95448	0.39702	0.0449	0.070012	0.40178	0.47775	0.026658	0.54179	0.048458	0.93533	0.075872	0.23403	0.052951	0.53049
Meth__cg25268678__PLEKHG6	0.044433	0.98189	0.044993	0.048518	0.20049	0.9809	0.71768	0.027877	0.021103	0.056307	0.033201	0.028799	0.96789	0.079581	0.40855	0.061124	0.60926	0.075501	0.96034	0.046462	0.072742	0.97469	0.96343	0.46122	0.092847	0.071415	0.067055	0.031544	0.020913	0.98761	0.027808	0.41015	0.12861	0.04008	0.044755	0.77807
