Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg10523820__ZDHHC24	0.028958	0.027194	0.91565	0.9221	0.83763	0.57602	0.37487	0.93366	0.06812	0.8886	0.14325	0.59381	0.37977	0.069575	0.46828	0.47156	0.083163	0.015097	0.83287	0.90597	0.37597	0.16551	0.68681	0.04107	0.61436	0.15481	0.03758	0.03415	0.03047	0.38671	0.038926	0.28915	0.15661	0.24749	0.58013	0.78753
Meth__cg12699145__TMC7	0.051617	0.25121	0.61773	0.13203	0.41216	0.055671	0.04003	0.036444	0.12127	0.17486	0.30163	0.13649	0.10587	0.13298	0.17488	0.034672	0.06049	0.033176	0.19466	0.21203	0.074394	0.05914	0.0396	0.047193	0.17996	0.46129	0.032917	0.046945	0.035523	0.0476	0.049774	0.018045	0.13473	0.11741	0.035791	0.025901
Meth__cg12073594__ARFGAP1	0.063727	0.075003	0.3067	0.23294	0.12185	0.47405	0.25763	0.33094	0.49662	0.12076	0.32433	0.52213	0.1372	0.33242	0.10769	0.092621	0.12714	0.10148	0.36708	0.14214	0.44119	0.77413	0.1532	0.069072	0.45631	0.11297	0.27117	0.068806	0.052886	0.40965	0.1382	0.172	0.33093	0.28628	0.068354	0.075183
Meth__cg10368842__C10orf81	0.055587	0.074196	0.11267	0.41947	0.72482	0.17317	0.22386	0.067547	0.26772	0.6454	0.10997	0.82713	0.13807	0.2853	0.55218	0.46544	0.20335	0.077989	0.37712	0.58684	0.21809	0.33891	0.17911	0.059146	0.42421	0.11967	0.088451	0.12095	0.10295	0.36277	0.078174	0.30658	0.32467	0.14951	0.058176	0.33184
Meth__cg14435807__LOXL1	0.030801	0.85246	0.63892	0.93407	0.64297	0.24917	0.88928	0.219	0.030049	0.90889	0.91204	0.91547	0.8452	0.34922	0.72505	0.038109	0.64992	0.02846	0.93006	0.94246	0.37871	0.056875	0.78478	0.070989	0.85047	0.54124	0.32349	0.022516	0.026253	0.042714	0.56618	0.027714	0.86759	0.92101	0.41974	0.91108
Meth__cg03679734__CKMT1B	0.12372	0.042737	0.17435	0.84522	0.077657	0.57647	0.49875	0.36364	0.26924	0.37833	0.42739	0.087421	0.34659	0.23081	0.6795	0.053665	0.057525	0.039051	0.60022	0.67905	0.48092	0.14196	0.73097	0.056793	0.87784	0.19427	0.052467	0.24559	0.052117	0.63033	0.054976	0.036947	0.049153	0.073032	0.063778	0.059853
Meth__cg08159444__PNMA5	0.10401	0.084835	0.80373	0.79764	0.49079	0.089533	0.35319	0.8699	0.82829	0.62976	0.2479	0.69585	0.67884	0.63722	0.31986	0.73281	0.14108	0.055721	0.6638	0.53828	0.13323	0.15356	0.16386	0.052681	0.13471	0.251	0.21964	0.039111	0.045927	0.67663	0.12766	0.17077	0.18889	0.71452	0.15713	0.24173
Meth__cg10862587__GLB1L	0.040301	0.088115	0.18751	0.15247	0.10285	0.092762	0.087569	0.12885	0.25399	0.32505	0.054423	0.13327	0.078189	0.24034	0.051404	0.047523	0.2085	0.037822	0.17082	0.24253	0.15348	0.21618	0.10205	0.094827	0.068574	0.13215	0.0409	0.052752	0.042248	0.059414	0.20884	0.045718	0.32567	0.070811	0.081358	0.067359
Meth__cg06236061__GLTP	0.072829	0.053782	0.36881	0.51156	0.56435	0.84435	0.35925	0.13677	0.74699	0.46808	0.11862	0.61456	0.23582	0.46848	0.14765	0.10132	0.090062	0.087073	0.099642	0.18658	0.83714	0.40536	0.37453	0.098222	0.15419	0.10261	0.06977	0.087757	0.18835	0.75305	0.055371	0.056747	0.044061	0.35124	0.099652	0.18952
Meth__cg11396509__SIRT2	0.041777	0.056726	0.080387	0.15136	0.12098	0.036582	0.11098	0.040041	0.067348	0.093593	0.031864	0.11501	0.079221	0.062572	0.059555	0.033894	0.045137	0.030471	0.54256	0.090909	0.077541	0.18993	0.40293	0.053063	0.10466	0.15382	0.045555	0.037706	0.036378	0.079293	0.039352	0.047095	0.11509	0.051929	0.046262	0.06477
Meth__cg16168311__APOA1BP	0.06511	0.022157	0.1571	0.14415	0.085667	0.073387	0.07233	0.88964	0.076569	0.17188	0.07316	0.11225	0.22703	0.074836	0.068097	0.093374	0.053693	0.023383	0.10088	0.13527	0.16032	0.064622	0.1014	0.061848	0.078878	0.066501	0.047527	0.027192	0.029414	0.067247	0.029952	0.03515	0.061897	0.11223	0.041714	0.030127
Meth__cg10801213__SLC7A3	0.32946	0.01362	0.58487	0.88977	0.48952	0.55393	0.85983	0.92535	0.49838	0.77307	0.40021	0.10289	0.58087	0.42226	0.25694	0.047514	0.040841	0.034477	0.44551	0.83402	0.096578	0.088526	0.73964	0.020505	0.21773	0.090292	0.038684	0.022675	0.029746	0.83157	0.021526	0.026809	0.12644	0.87536	0.46814	0.85682
Meth__cg13133883__RGR	0.07145	0.037743	0.66393	0.65754	0.40608	0.082015	0.23317	0.15756	0.14874	0.10673	0.035544	0.20482	0.17377	0.12114	0.03821	0.10773	0.056932	0.024956	0.17426	0.30532	0.061746	0.092401	0.082964	0.03804	0.24375	0.076941	0.065791	0.043653	0.028388	0.41834	0.03657	0.042012	0.073094	0.63315	0.09152	0.13543
Meth__cg13098960__SOX15	0.15483	0.2279	0.12875	0.50734	0.84901	0.4053	0.74553	0.11458	0.14386	0.83808	0.87774	0.14546	0.29777	0.13963	0.058414	0.90963	0.086164	0.036435	0.9087	0.87881	0.75938	0.26389	0.34097	0.16473	0.84952	0.36927	0.10871	0.035104	0.16797	0.36099	0.31154	0.045918	0.67532	0.6386	0.76193	0.64256
Meth__cg06349174__STIM1	0.019734	0.37041	0.029421	0.69131	0.31359	0.030983	0.19821	0.02791	0.35734	0.13535	0.021781	0.037322	0.04645	0.33389	0.022376	0.015461	0.049315	0.021909	0.72641	0.56527	0.090729	0.38558	0.049154	0.030979	0.050583	0.15333	0.020163	0.017402	0.021068	0.038658	0.01922	0.015442	0.043257	0.066351	0.055365	0.070419
Meth__cg16474684__RNF4	0.027846	0.33123	0.037269	0.37405	0.14868	0.029302	0.036629	0.01639	0.81092	0.78742	0.034371	0.32538	0.16191	0.63822	0.078479	0.029613	0.040758	0.021799	0.13967	0.10168	0.12118	0.039262	0.58068	0.11896	0.049344	0.40836	0.021654	0.021255	0.02406	0.37296	0.0297	0.023031	0.17658	0.22304	0.031886	0.032335
Meth__cg13359415__LGI2	0.037093	0.021255	0.025797	0.031107	0.019182	0.046356	0.028333	0.035418	0.023839	0.029001	0.022804	0.022159	0.081368	0.027322	0.042802	0.029908	0.048421	0.39231	0.018807	0.027877	0.031392	0.91308	0.027909	0.081827	0.052002	0.057773	0.02913	0.056513	0.085641	0.024672	0.019232	0.034253	0.055564	0.030267	0.030901	0.022145
Meth__cg20925954__DUSP5	0.070591	0.14261	0.13991	0.633	0.16983	0.13337	0.18065	0.091765	0.187	0.095948	0.25026	0.29051	0.1479	0.17749	0.27704	0.061916	0.1178	0.077907	0.58436	0.46291	0.20205	0.15634	0.60291	0.12587	0.19316	0.20076	0.37091	0.082863	0.059622	0.66502	0.071157	0.074029	0.3258	0.48048	0.067735	0.18148
Meth__cg01820777__MICAL-L2	0.087906	0.34688	0.92573	0.87754	0.79101	0.78165	0.8951	0.85084	0.029167	0.6029	0.041824	0.48645	0.60552	0.020671	0.72044	0.3692	0.13794	0.031703	0.835	0.86193	0.1107	0.46058	0.82046	0.060105	0.75473	0.26345	0.034696	0.026068	0.029409	0.091726	0.56129	0.33407	0.047851	0.34059	0.47	0.49594
Meth__cg10691006__MCM2	0.12147	0.64357	0.55672	0.69391	0.60067	0.6691	0.61052	0.066997	0.3879	0.4724	0.058788	0.42402	0.57263	0.48069	0.53333	0.29733	0.17984	0.057532	0.19331	0.11111	0.065428	0.058527	0.8534	0.092615	0.21427	0.61104	0.041743	0.066443	0.043683	0.75004	0.10859	0.045198	0.15484	0.3577	0.47095	0.47929
Meth__cg26160573__PTPN18	0.048987	0.13444	0.27821	0.70019	0.10144	0.41431	0.51706	0.44291	0.79299	0.8225	0.73764	0.90566	0.30675	0.73488	0.39622	0.3947	0.30093	0.033109	0.24706	0.24844	0.26762	0.11872	0.75683	0.17402	0.81067	0.13625	0.036307	0.03507	0.035454	0.53084	0.4171	0.26771	0.27846	0.044505	0.38158	0.14283
Meth__cg03190825__CYP4F11	0.033324	0.053288	0.045329	0.64044	0.1891	0.21891	0.047499	0.46114	0.042333	0.44838	0.43715	0.024387	0.064611	0.041737	0.092708	0.1223	0.053829	0.027457	0.18321	0.24464	0.24086	0.14223	0.5668	0.073298	0.12444	0.27776	0.034143	0.029805	0.030769	0.68884	0.025568	0.034776	0.052946	0.35187	0.16346	0.063114
Meth__cg07711097__GML	0.10916	0.044799	0.81316	0.9413	0.90593	0.21173	0.39699	0.91371	0.15597	0.69177	0.85139	0.7763	0.74063	0.19562	0.56019	0.81812	0.071994	0.016556	0.81592	0.79967	0.94323	0.34313	0.80075	0.047148	0.61889	0.049251	0.042108	0.049564	0.042415	0.82483	0.033448	0.81052	0.089895	0.28551	0.075805	0.074219
Meth__cg06111454__NFATC4	0.031008	0.91534	0.93899	0.95181	0.89464	0.03078	0.95067	0.63793	0.044619	0.7664	0.68037	0.95046	0.9205	0.64319	0.62251	0.9343	0.56835	0.032155	0.89111	0.95279	0.94123	0.66808	0.96337	0.050688	0.79922	0.83139	0.030141	0.028271	0.040214	0.96661	0.705	0.94151	0.067546	0.076669	0.61776	0.92578
Meth__cg10723020__CREB1	0.066085	0.32097	0.053755	0.6757	0.61349	0.086396	0.68541	0.053674	0.45341	0.59076	0.036367	0.11035	0.14913	0.41077	0.14418	0.065094	0.064212	0.057891	0.22221	0.16694	0.14431	0.078582	0.25209	0.091133	0.28372	0.43289	0.034191	0.040189	0.041552	0.32085	0.25019	0.37404	0.52607	0.49905	0.08527	0.22061
Meth__cg06630737__C1orf187	0.12003	0.067922	0.93225	0.89421	0.74559	0.95203	0.8803	0.81502	0.039009	0.81498	0.88247	0.23248	0.7302	0.075551	0.21817	0.13151	0.095513	0.045909	0.78919	0.87241	0.74384	0.93354	0.75316	0.16299	0.93747	0.1557	0.12572	0.053688	0.061326	0.47461	0.050384	0.40139	0.19965	0.194	0.66013	0.81094
Meth__cg16357381__COL7A1	0.055336	0.072186	0.10591	0.82702	0.38924	0.56079	0.33844	0.79113	0.078035	0.26375	0.74267	0.11719	0.30363	0.08635	0.24928	0.35576	0.11017	0.041544	0.44401	0.15314	0.11633	0.078811	0.4156	0.14293	0.694	0.11153	0.06454	0.069384	0.060141	0.39352	0.10933	0.21784	0.66423	0.071543	0.18765	0.42332
Meth__cg03440846__ACSS2	0.056238	0.03975	0.31488	0.79236	0.11188	0.55104	0.092432	0.58245	0.092146	0.20177	0.56727	0.44609	0.082797	0.11546	0.06733	0.18194	0.14317	0.039103	0.15484	0.17007	0.49577	0.12271	0.080186	0.13195	0.058118	0.12285	0.034127	0.084981	0.051026	0.7005	0.17633	0.093968	0.092251	0.8367	0.064725	0.041809
Meth__cg16179125__CTSZ	0.088408	0.38556	0.064825	0.07574	0.76102	0.69383	0.085011	0.4435	0.89425	0.64166	0.78092	0.10136	0.079157	0.77959	0.68864	0.061284	0.10178	0.043965	0.97301	0.79747	0.6763	0.095799	0.17713	0.20483	0.50673	0.079854	0.048286	0.052284	0.063772	0.68428	0.058009	0.03759	0.13884	0.058932	0.53497	0.20778
Meth__cg18205517__PP2447	0.038029	0.056589	0.3731	0.21411	0.26273	0.071938	0.09143	0.1174	0.035895	0.1391	0.042621	0.054754	0.08636	0.037596	0.033503	0.079526	0.092609	0.036414	0.065098	0.098334	0.064875	0.085595	0.10378	0.055406	0.11956	0.040913	0.033406	0.03746	0.027171	0.043279	0.12274	0.034367	0.090475	0.042087	0.036757	0.051156
Meth__cg04036898__POMGNT1	0.064589	0.048673	0.088421	0.15705	0.11719	0.17334	0.069772	0.10753	0.31715	0.093511	0.038711	0.63746	0.26661	0.35873	0.093647	0.10803	0.052566	0.052727	0.082093	0.086902	0.10437	0.11965	0.14052	0.095437	0.33404	0.077749	0.027266	0.026105	0.041418	0.26351	0.053991	0.044633	0.068576	0.22345	0.075217	0.051855
Meth__cg06233503__KCNQ1	0.50235	0.040818	0.62859	0.91735	0.78747	0.22437	0.44312	0.87218	0.38033	0.078643	0.22938	0.41458	0.30963	0.27433	0.1798	0.64766	0.10217	0.047645	0.72299	0.74497	0.88757	0.14087	0.57032	0.10972	0.41648	0.046845	0.053277	0.062636	0.037186	0.39258	0.07619	0.068347	0.2955	0.94357	0.25968	0.21335
Meth__cg17833578__LRRC21	0.48064	0.15812	0.60623	0.80821	0.63318	0.041656	0.30853	0.61712	0.3676	0.15505	0.8649	0.15877	0.15928	0.25862	0.22835	0.47329	0.10281	0.058194	0.40999	0.4093	0.10246	0.077341	0.2419	0.040465	0.24291	0.18328	0.067787	0.07058	0.060477	0.25087	0.048521	0.090394	0.12187	0.76455	0.12924	0.13291
Meth__cg11521325__FLJ32926	0.28701	0.051987	0.70159	0.5736	0.37893	0.16098	0.18985	0.79586	0.15842	0.24987	0.31047	0.60519	0.20071	0.12292	0.18714	0.57895	0.10666	0.082371	0.40238	0.40775	0.49883	0.11307	0.145	0.079541	0.14745	0.12227	0.062955	0.1	0.072416	0.17326	0.044765	0.080756	0.44286	0.75243	0.18562	0.11095
Meth__cg23061578__SLC9A3	0.17977	0.04784	0.49812	0.57394	0.1292	0.50215	0.37704	0.56478	0.62757	0.34284	0.6548	0.83315	0.44741	0.44691	0.059699	0.083819	0.086964	0.03644	0.57872	0.78423	0.2679	0.22688	0.66509	0.084843	0.57464	0.086658	0.053345	0.046373	0.047315	0.051218	0.053634	0.090601	0.20124	0.5165	0.22613	0.073716
Meth__cg13225039__TACC3	0.044458	0.26874	0.10288	0.063045	0.17087	0.080743	0.059268	0.10476	0.11466	0.11216	0.057918	0.024958	0.13566	0.11221	0.064682	0.092442	0.049441	0.053457	0.067888	0.095711	0.60296	0.11839	0.050987	0.04181	0.054214	0.36103	0.046387	0.045211	0.037292	0.046696	0.044935	0.029188	0.07397	0.038819	0.0309	0.037491
Meth__cg02989940__ERAF	0.36991	0.033652	0.76282	0.59051	0.30758	0.45635	0.79674	0.69228	0.54888	0.56334	0.70852	0.73667	0.05742	0.29514	0.86209	0.84547	0.048571	0.028234	0.80173	0.65135	0.91131	0.077367	0.37622	0.043314	0.058593	0.050573	0.60621	0.037256	0.043061	0.045977	0.1683	0.37178	0.28499	0.82142	0.3217	0.59799
Meth__cg26331247__FLJ33706	0.10352	0.086562	0.64206	0.74696	0.14738	0.20401	0.27547	0.84098	0.39963	0.32629	0.34593	0.79751	0.79654	0.36597	0.088922	0.68163	0.082079	0.049836	0.36754	0.70358	0.70526	0.14659	0.17503	0.1137	0.23479	0.14484	0.1027	0.040658	0.054461	0.26121	0.069746	0.15934	0.09046	0.7009	0.13571	0.10289
Meth__cg07313155__THRA	0.031868	0.021378	0.36299	0.66823	0.2082	0.13839	0.15605	0.13667	0.09902	0.28055	0.034768	0.37335	0.091709	0.08354	0.051279	0.041088	0.082776	0.019064	0.065456	0.15359	0.16122	0.040796	0.04694	0.038474	0.10147	0.032317	0.024198	0.029657	0.037253	0.59932	0.04518	0.034985	0.024934	0.48547	0.068983	0.034746
Meth__cg12555334__PSPH	0.12547	0.090641	0.15893	0.16953	0.30967	0.12875	0.33947	0.16148	0.13348	0.5726	0.055684	0.55274	0.11464	0.13086	0.1296	0.11004	0.16032	0.060182	0.14156	0.11604	0.37109	0.10527	0.36048	0.12352	0.10059	0.22565	0.04937	0.10395	0.11426	0.17174	0.14764	0.065294	0.19425	0.418	0.073542	0.05608
Meth__cg08445039__FKBP9	0.024539	0.15646	0.025137	0.253	0.11233	0.021066	0.17194	0.022698	0.1218	0.27434	0.025721	0.063485	0.055412	0.11462	0.040185	0.022171	0.031954	0.017983	0.065292	0.075508	0.025783	0.048216	0.2678	0.033913	0.11476	0.0719	0.028148	0.025528	0.019976	0.15165	0.049533	0.035235	0.039834	0.02985	0.043117	0.038743
Meth__cg09045681__TCF19	0.24851	0.21336	0.8236	0.95437	0.86156	0.24607	0.84454	0.067063	0.9305	0.8799	0.095432	0.94513	0.64136	0.89156	0.065584	0.047587	0.12895	0.04877	0.93211	0.9108	0.082328	0.057589	0.69016	0.079724	0.073402	0.34174	0.045522	0.037704	0.06237	0.87199	0.11443	0.046234	0.18282	0.90576	0.41833	0.22328
Meth__cg15564267__OTUB1	0.036474	0.027142	0.6886	0.39439	0.05714	0.47157	0.16615	0.12867	0.1324	0.33202	0.032217	0.95084	0.19971	0.11683	0.039222	0.075157	0.19793	0.028037	0.19463	0.06765	0.24079	0.82277	0.12723	0.062126	0.32598	0.055806	0.032765	0.025314	0.034529	0.27965	0.052705	0.03441	0.057526	0.17572	0.03658	0.037809
Meth__cg00705255__LILRA3	0.079573	0.020935	0.15606	0.16186	0.084411	0.13796	0.065866	0.31857	0.15839	0.23221	0.19382	0.24518	0.18484	0.10327	0.040847	0.22533	0.045391	0.016294	0.13969	0.10351	0.21793	0.13642	0.080941	0.031848	0.19013	0.039407	0.044758	0.07772	0.059568	0.12565	0.0262	0.082497	0.12773	0.24853	0.071079	0.064809
Meth__cg17780098__CSRP1	0.030913	0.61467	0.026631	0.030886	0.091356	0.65745	0.03773	0.046126	0.64129	0.035282	0.44193	0.029611	0.053044	0.56237	0.033592	0.025045	0.046805	0.017829	0.70401	0.56113	0.5	0.091326	0.030595	0.026842	0.037348	0.043122	0.02325	0.022018	0.025159	0.83018	0.020745	0.030707	0.045115	0.027504	0.033077	0.15075
Meth__cg13391638__FLJ13576	0.073346	0.12327	0.14633	0.80202	0.10281	0.91887	0.16029	0.11803	0.92761	0.10315	0.095943	0.80007	0.37664	0.78569	0.23904	0.070866	0.50349	0.080724	0.24408	0.10533	0.18814	0.83675	0.29583	0.10933	0.17035	0.17312	0.059313	0.05526	0.072471	0.40864	0.1933	0.077792	0.13894	0.11922	0.10626	0.48697
Meth__cg10057295__STK24	0.062993	0.78806	0.17506	0.66259	0.54615	0.14506	0.41137	0.6765	0.075259	0.70848	0.061627	0.10627	0.26882	0.096301	0.35789	0.048721	0.064289	0.42148	0.21592	0.82682	0.18231	0.099047	0.20564	0.094688	0.79955	0.62679	0.047715	0.051583	0.077137	0.083235	0.12032	0.042638	0.054518	0.2404	0.094154	0.28111
Meth__cg16957313__DUSP1	0.076318	0.42366	0.20821	0.73688	0.5855	0.69485	0.2266	0.24141	0.73569	0.70854	0.17867	0.50406	0.60803	0.7477	0.41731	0.13493	0.34697	0.053116	0.48352	0.39344	0.24769	0.062435	0.1305	0.24207	0.2316	0.66635	0.051759	0.057802	0.046975	0.75789	0.056096	0.096494	0.11635	0.83269	0.37644	0.62733
Meth__cg18330611__NPPC	0.04354	0.078879	0.080527	0.055465	0.025689	0.037446	0.041442	0.052814	0.033434	0.032106	0.14564	0.024984	0.033136	0.031465	0.024746	0.035029	0.054015	0.015642	0.048858	0.075024	0.065016	0.10144	0.035209	0.034045	0.41098	0.052873	0.022086	0.021892	0.018757	0.021908	0.020525	0.020524	0.054906	0.022713	0.022764	0.051313
Meth__cg04416752__ST6GALNAC4	0.064354	0.035245	0.81538	0.81899	0.38997	0.056826	0.13709	0.13483	0.43592	0.071802	0.056831	0.84724	0.47171	0.40007	0.78969	0.065051	0.10071	0.055751	0.41286	0.29469	0.084138	0.11282	0.82641	0.11253	0.72744	0.15955	0.065586	0.042519	0.051094	0.25887	0.52962	0.066692	0.2224	0.06223	0.076923	0.068644
Meth__cg22083639__SLCO5A1	0.047556	0.021471	0.11509	0.37563	0.071332	0.20444	0.43957	0.24264	0.44284	0.2836	0.29645	0.41112	0.10708	0.27084	0.079856	0.19246	0.04763	0.036001	0.030976	0.071905	0.039364	0.10346	0.19783	0.069071	0.32705	0.073602	0.044233	0.033391	0.036909	0.21824	0.038952	0.09258	0.038043	0.41949	0.089694	0.091198
Meth__cg06797533__ADFP	0.55927	0.072518	0.73772	0.056011	0.10917	0.05701	0.075904	0.0349	0.25849	0.043526	0.035856	0.35618	0.25783	0.22762	0.8241	0.030857	0.10296	0.94575	0.035983	0.040489	0.040085	0.10744	0.063345	0.094254	0.79608	0.077388	0.3987	0.2648	0.96713	0.069806	0.033991	0.85779	0.10663	0.059871	0.04496	0.54673
Meth__cg03030757__FANCE	0.10944	0.22164	0.63334	0.18579	0.26856	0.050695	0.17469	0.10046	0.28604	0.35693	0.078745	0.3264	0.29097	0.25948	0.077891	0.085586	0.058284	0.027718	0.28298	0.35677	0.52293	0.093084	0.1683	0.073325	0.069136	0.36646	0.041195	0.037409	0.055829	0.081794	0.11252	0.041262	0.089129	0.61831	0.44209	0.33228
Meth__cg27060381__TBC1D10A	0.055007	0.23075	0.11109	0.25232	0.1855	0.23227	0.10235	0.22329	0.22006	0.3622	0.40238	0.29212	0.53314	0.19866	0.065351	0.43844	0.092203	0.068299	0.5235	0.37377	0.73558	0.65881	0.2953	0.22357	0.13281	0.12973	0.051435	0.058934	0.13115	0.14128	0.28862	0.14476	0.11514	0.28986	0.086425	0.098293
Meth__cg01594262__YIF1B	0.050624	0.058007	0.060898	0.33314	0.1265	0.10272	0.24252	0.054383	0.53537	0.078997	0.062032	0.83942	0.32396	0.46615	0.062824	0.080199	0.13174	0.038371	0.20308	0.35212	0.078538	0.12768	0.68042	0.10235	0.13648	0.1046	0.04189	0.10145	0.045053	0.34931	0.080137	0.040301	0.24304	0.064151	0.048188	0.052749
Meth__cg22421766__SCNN1D	0.023313	0.2435	0.28629	0.80941	0.49045	0.58511	0.47185	0.67225	0.016166	0.5296	0.77264	0.33821	0.18249	0.051117	0.3333	0.4797	0.040136	0.02321	0.75513	0.73204	0.77346	0.05274	0.83519	0.13785	0.53334	0.29092	0.33435	0.021599	0.022187	0.51652	0.049094	0.37792	0.21398	0.334	0.6232	0.58296
Meth__cg14444710__PDPK1	0.097104	0.12975	0.13923	0.52085	0.83936	0.73166	0.59259	0.15599	0.58001	0.49981	0.11185	0.77046	0.24686	0.51025	0.14965	0.60188	0.32927	0.13143	0.45267	0.23045	0.093172	0.11489	0.62292	0.20181	0.21082	0.16931	0.082082	0.10087	0.07982	0.85307	0.15142	0.095643	0.22008	0.11316	0.44782	0.54862
