Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
SNP__EB-1	0	-0.231	-0.895	0.219	0.241	-1.335	0.268	-2.015	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-0.99	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	-1.554	0.134	0.719	0.221	-0.062	-0.271	0.162	-0.278	0.011	-1.876	-0.239	-0.004	0.561	0.315	-0.046	-0.007
SNP__PERLD1	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034	0.021
SNP__LOC644144	0.37	-3.761	-0.191	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.305	-0.354	0.334	-3.028	0.301	0.011	0.023
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	-2.13	0.134	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	0.291	-1.976	-2.744	-2.627
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	-0.034	0.021
SNP__FLJ10120	0.37	-3.761	-0.191	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.305	-0.354	0.334	-3.028	0.301	0.011	0.023
SNP__CES4	-0.627	-2.149	0.18	-0.004	0.161	0.179	0.089	2.752	-0.05	-0.2	0.091	2.452	0.254	0.626	0.919	0.504	-1.56	-0.316	-0.113	0.877	0.916	0.442	-0.133	-0.436	2.724	-0.074	0.245	-0.22	1.808	0.158	-1.816	1.372	1.53	0.026	-0.24	0.86	0.185	-0.145	-2.051	2.961	1.452
SNP__CDKN2A	-0.648	-0.203	-2.561	-1.03	-0.275	0.166	0.044	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-2.756	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.088	0.022
SNP__ESR1	0.006	0.125	-0.209	-0.415	-0.507	-0.091	-0.558	0.047	0.167	-0.231	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	-0.452	0.532	-0.42	-4.299	-0.261	-0.076	0.251	0.236	-0.248	-0.118	0.237	0.249	-0.704	0.044	0.161	-0.195	0.027	-0.226	-0.001	-0.147	0.226	-0.325	-0.454	0.015
SNP__LOC553158	-0.003	-0.092	-0.2	-0.161	-0.475	-0.154	0.018	0.141	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	-0.369	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	-0.056	0.51	0.075	0.009	-0.327	-0.431	-0.368
SNP__LOC441440	-0.26	-0.178	-0.209	1.861	2.288	2.394	0.064	0.017	-0.573	0.129	0.094	0.347	1.881	0.04	-0.124	-0.018	0.1	0.011	-0.29	-0.094	2.423	0.464	-0.088	-0.006	1.694	2.642	-0.159	-0.186	0.2	2.292	0.047	-0.211	2.084	0.002	-0.053	2.049	-0.378	2.062	-0.139	1.735	0.024
SNP__DMBT1	0.014	-0.15	-0.868	-3.561	-0.116	-0.159	-0.167	-0.068	-0.078	-0.204	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.224	-0.264	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.167	-0.224	0.032	0.319	-0.043	-0.202	0.142	-0.198	0.033	0.008	-4.07	-3.272	-0.254	-0.304	0.118	-0.366
SNP__LCE3C	-1.958	0.495	-2.398	-0.129	-2.13	-1.861	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	-2.241	-1.976	-2.744	-2.627
SNP__KRTAP9P1	-1.183	-1.304	-1.218	-1.258	-1.314	-0.202	0.096	-1.572	-1.506	0.575	-1.732	-0.461	0.346	-0.646	-1.553	-0.373	-0.782	0.407	-0.04	-1.288	1.183	-1.97	-1.631	-1.416	-0.589	-0.133	-1.122	-1.452	-1.299	-0.555	-0.938	0.468	-1.484	0.06	0.276	-1.602	-0.892	-1.419	-1.009	-1.293	-1.371
SNP__LOC402095	0.006	0.099	0.191	-0.053	-0.097	-0.173	-0.161	-0.004	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	0.06	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	-4.366	0.429	-0.033	-3.944	0.067	0.161	-0.168	-0.029	-0.096	0.009	0.031	0.03	-3.42	-0.066	-0.373
SNP__LOC252968	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	-0.431	-0.364
SNP__GNTIVH	0	0.087	-0.89	-0.287	0.024	-1.829	0.268	0.006	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	-0.316	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	-0.039	0.167	0.747	0.227	-0.018	0.049	-0.21	-4.154	0.011	0.196	-0.014	-0.004	0.916	0.315	-0.046	-0.007
SNP__LOC654346	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	-0.431	-0.364
SNP__FLJ36492	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	-0.411	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	-1.31	-0.431	-0.364
