Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg04515986__FTHL17	0.22471	0.074083	0.42984	0.7539	0.29543	0.12107	0.476	0.66732	0.064315	0.070288	0.46355	0.33985	0.34989	0.080234	0.58162	0.21457	0.12565	0.076205	0.078639	0.27108	0.11253	0.29667	0.30842	0.13478	0.10375	0.10141	0.21778	0.071716	0.73861	0.065717	0.14371	0.21998	0.14742	0.0627	0.24675	0.22589
Meth__cg26415633__KLK1	0.30214	0.032941	0.74921	0.84452	0.56845	0.13461	0.20517	0.86227	0.038336	0.32002	0.31383	0.79195	0.64356	0.036506	0.43373	0.3614	0.051494	0.027902	0.55449	0.57178	0.15106	0.17863	0.83319	0.1106	0.2306	0.059011	0.20637	0.37238	0.049292	0.070925	0.093793	0.54378	0.23353	0.68988	0.13359	0.2081
Meth__cg17877656__PCGF6	0.02639	0.02221	0.040954	0.023597	0.025627	0.02221	0.028707	0.34069	0.022686	0.0216	0.036064	0.048577	0.04997	0.023014	0.018749	0.014617	0.097586	0.016677	0.016209	0.019904	0.028363	0.025474	0.03741	0.022856	0.022075	0.035433	0.03757	0.019656	0.017181	0.016822	0.02226	0.011443	0.043332	0.026119	0.025361	0.025321
Meth__cg13316191__CDCA7L	0.036725	0.03728	0.034765	0.046312	0.052245	0.21728	0.043425	0.028665	0.028029	0.050382	0.03762	0.020126	0.14756	0.034265	0.4137	0.057773	0.0481	0.045381	0.050108	0.072289	0.17402	0.56792	0.023778	0.11664	0.041512	0.070184	0.051616	0.86333	0.036727	0.033389	0.025335	0.029641	0.026715	0.047918	0.031644	0.03672
Meth__cg03167883__FLJ46365	0.78458	0.066197	0.55375	0.77302	0.85591	0.057775	0.71062	0.83098	0.048406	0.37563	0.78852	0.35561	0.53666	0.065444	0.62875	0.07173	0.54714	0.039449	0.75058	0.68991	0.13063	0.060925	0.84019	0.15672	0.27013	0.14494	0.5683	0.05162	0.062952	0.059578	0.18302	0.76068	0.11388	0.59709	0.42627	0.45067
Meth__cg20555507__TRPM3	0.3123	0.057425	0.079696	0.5755	0.11361	0.09597	0.24156	0.90883	0.15849	0.071641	0.33544	0.24684	0.12987	0.12943	0.089307	0.080128	0.075572	0.073314	0.091964	0.078435	0.13803	0.059293	0.57994	0.16434	0.088767	0.10473	0.51356	0.080493	0.23866	0.068712	0.081546	0.081314	0.20378	0.068939	0.083586	0.068346
Meth__cg01095590__KIAA0040	0.028452	0.026931	0.033287	0.02563	0.022823	0.92582	0.030997	0.031168	0.037681	0.030684	0.030579	0.022806	0.045503	0.038548	0.039101	0.22651	0.090518	0.502	0.030534	0.034044	0.036538	0.10943	0.02312	0.11642	0.032536	0.059381	0.04714	0.066512	0.02897	0.037021	0.021514	0.023304	0.070516	0.037211	0.027863	0.029322
Meth__cg24352499__AQP6	0.099744	0.08695	0.59022	0.76035	0.36763	0.11918	0.21541	0.12564	0.090979	0.11146	0.36541	0.48834	0.37149	0.11493	0.13886	0.12045	0.21066	0.062169	0.11842	0.1205	0.18898	0.077357	0.35407	0.19291	0.39872	0.24947	0.25358	0.068952	0.076583	0.082422	0.35762	0.24337	0.26097	0.68865	0.10786	0.12097
Meth__cg14681055__PITX3	0.96442	0.045994	0.96443	0.96446	0.97266	0.67592	0.93539	0.60438	0.034034	0.047637	0.88187	0.082909	0.72562	0.05194	0.064399	0.034826	0.064283	0.35747	0.24377	0.069844	0.5819	0.047539	0.95324	0.88011	0.96491	0.1015	0.89578	0.041508	0.44164	0.081925	0.10359	0.4961	0.94738	0.14847	0.94282	0.9321
Meth__cg10962407__ALS2CR15	0.019657	0.046352	0.88478	0.16992	0.31492	0.023006	0.24167	0.50954	0.015159	0.048647	0.6358	0.098133	0.43346	0.017479	0.022736	0.0097492	0.052266	0.016934	0.026344	0.017486	0.017573	0.013269	0.032198	0.033424	0.022227	0.037473	0.55508	0.01678	0.019639	0.025766	0.10864	0.15813	0.046429	0.027042	0.1062	0.025806
Meth__cg00401678__EMR3	0.35557	0.054999	0.47143	0.30157	0.16115	0.11757	0.25427	0.7799	0.078731	0.13043	0.49099	0.36387	0.22148	0.086776	0.33759	0.58399	0.087834	0.074921	0.16299	0.17368	0.22916	0.11516	0.35587	0.1069	0.13081	0.15864	0.2459	0.10537	0.086848	0.064495	0.072296	0.26707	0.21059	0.16778	0.20758	0.24382
Meth__cg06226384__CACNG5	0.082869	0.025691	0.10651	0.36747	0.09534	0.056227	0.11916	0.25292	0.049696	0.033985	0.097543	0.080853	0.092099	0.052564	0.040031	0.029412	0.083991	0.043695	0.094988	0.10897	0.085191	0.033359	0.65839	0.078658	0.024166	0.071096	0.035377	0.018715	0.049072	0.03811	0.0229	0.048468	0.055541	0.05024	0.038335	0.03692
Meth__cg21301148__MYH6	0.25285	0.067911	0.43361	0.66915	0.5794	0.097872	0.1594	0.42115	0.26879	0.10687	0.1401	0.47904	0.17801	0.21766	0.12395	0.12595	0.14001	0.05153	0.45672	0.42952	0.59962	0.13033	0.88404	0.1189	0.22132	0.1219	0.15657	0.091789	0.075246	0.068529	0.09646	0.10355	0.3033	0.61074	0.14644	0.14626
Meth__cg22882178__PITX3	0.93999	0.039592	0.91915	0.93756	0.94541	0.6381	0.93518	0.36045	0.041657	0.041114	0.9171	0.12286	0.60512	0.03963	0.12069	0.024645	0.16614	0.065977	0.39538	0.05482	0.5138	0.066348	0.93862	0.82543	0.93211	0.076838	0.86115	0.041776	0.49913	0.045681	0.082571	0.43038	0.92746	0.12057	0.91867	0.89754
Meth__cg20324165__KRT8	0.052009	0.078052	0.05793	0.064954	0.058629	0.72407	0.060394	0.045852	0.049719	0.069492	0.05195	0.09432	0.095683	0.050286	0.075521	0.52148	0.11467	0.70307	0.066078	0.06201	0.27729	0.55997	0.042997	0.33612	0.049232	0.12191	0.13349	0.80571	0.066133	0.27242	0.12206	0.14932	0.051965	0.066881	0.061191	0.063274
Meth__cg11015241__ATP10A	0.8912	0.094203	0.42937	0.50186	0.88716	0.25921	0.68524	0.9275	0.081399	0.077586	0.84655	0.93807	0.17355	0.15087	0.88458	0.89032	0.19666	0.26751	0.65833	0.52665	0.78165	0.14411	0.93221	0.8623	0.33277	0.070266	0.22716	0.93265	0.038654	0.12731	0.83696	0.94716	0.67263	0.87414	0.21598	0.31637
Meth__cg09076077__FLJ33860	0.9135	0.095383	0.91976	0.88458	0.64237	0.20871	0.74994	0.9471	0.071361	0.6525	0.89522	0.80475	0.78764	0.1722	0.58229	0.62779	0.19752	0.044325	0.28591	0.67228	0.89346	0.086079	0.94333	0.17611	0.71059	0.14736	0.91126	0.049679	0.040029	0.10275	0.48567	0.84222	0.073372	0.93637	0.086513	0.0558
Meth__cg12022621__LAX1	0.55507	0.053922	0.75786	0.72904	0.68955	0.21567	0.23262	0.85927	0.28624	0.060584	0.44002	0.87858	0.24957	0.25669	0.37301	0.43306	0.17233	0.045094	0.45105	0.66091	0.71212	0.40309	0.87221	0.15431	0.34435	0.075868	0.15989	0.040784	0.058088	0.065385	0.051656	0.12454	0.13661	0.75167	0.39242	0.17796
Meth__cg22919370__HIST1H3I	0.37939	0.12404	0.68917	0.69837	0.42974	0.50362	0.43694	0.64234	0.080202	0.68066	0.67206	0.18058	0.62628	0.10456	0.064812	0.076887	0.14063	0.10291	0.12992	0.14669	0.62225	0.089069	0.72649	0.38346	0.14632	0.18325	0.33191	0.1052	0.065707	0.23896	0.44444	0.58408	0.27637	0.12602	0.69622	0.60405
Meth__cg25687894__ACLY	0.039677	0.18905	0.055904	0.059105	0.055697	0.086215	0.075374	0.054265	0.0376	0.20165	0.061056	0.075339	0.40515	0.04071	0.048151	0.18887	0.11718	0.11429	0.31244	0.084932	0.23828	0.41701	0.051431	0.10175	0.067483	0.10773	0.11306	0.40117	0.04673	0.065482	0.05763	0.068683	0.068385	0.05567	0.071239	0.06853
Meth__cg18484189__NALP10	0.53223	0.047513	0.78258	0.58826	0.43926	0.77646	0.31242	0.833	0.62713	0.74433	0.26471	0.83267	0.43718	0.48681	0.2525	0.52498	0.14613	0.1305	0.23996	0.1836	0.046879	0.22468	0.81371	0.24109	0.11409	0.031046	0.11547	0.10457	0.1402	0.20938	0.068544	0.21084	0.29418	0.71928	0.22414	0.2936
Meth__cg07747299__C21orf56	0.084507	0.31549	0.04686	0.71294	0.96262	0.05009	0.065814	0.88681	0.051055	0.064172	0.95434	0.12996	0.063709	0.066545	0.06471	0.57839	0.055038	0.049668	0.034311	0.040825	0.072721	0.060785	0.75952	0.094576	0.75573	0.086525	0.66373	0.024424	0.032239	0.070118	0.31257	0.47087	0.093917	0.05866	0.12528	0.094995
Meth__cg11521325__FLJ32926	0.28701	0.051987	0.70159	0.5736	0.37893	0.16098	0.18985	0.79586	0.15842	0.24987	0.31047	0.60519	0.20071	0.12292	0.18714	0.57895	0.10666	0.082371	0.40238	0.40775	0.66196	0.49883	0.80626	0.11307	0.145	0.079541	0.14745	0.062955	0.1	0.072416	0.044765	0.080756	0.44286	0.75243	0.18562	0.11095
Meth__cg05358291__CYP4F2	0.57188	0.13722	0.72968	0.64031	0.46048	0.081393	0.12984	0.33154	0.050121	0.2441	0.40592	0.77455	0.69082	0.074021	0.28057	0.2285	0.20082	0.09047	0.63181	0.56098	0.79837	0.22862	0.6646	0.081698	0.34512	0.16457	0.157	0.064066	0.065684	0.096183	0.15004	0.53585	0.17106	0.42674	0.2318	0.21704
Meth__cg06776256__GPRC5A	0.06568	0.074574	0.069093	0.063896	0.062626	0.29139	0.075699	0.050217	0.066788	0.086817	0.085077	0.089929	0.10942	0.078506	0.43728	0.060285	0.12743	0.20024	0.099037	0.076254	0.10767	0.2572	0.071626	0.08313	0.072625	0.12106	0.10875	0.14364	0.069428	0.64701	0.075381	0.066563	0.068457	0.085082	0.063787	0.078433
Meth__cg01806808__PTK2	0.025869	0.027772	0.026927	0.024423	0.022732	0.025009	0.027848	0.01834	0.024869	0.027575	0.024411	0.010935	0.088707	0.024803	0.027586	0.03321	0.18296	0.019497	0.021524	0.028069	0.027686	0.027782	0.021828	0.056161	0.024905	0.066771	0.065576	0.028937	0.031671	0.026601	0.027576	0.026929	0.069284	0.029535	0.028943	0.033506
Meth__cg04726446__MGC16372	0.5166	0.20065	0.90058	0.83452	0.88331	0.89356	0.276	0.89099	0.029824	0.055629	0.61343	0.78049	0.87379	0.31607	0.48014	0.050844	0.091344	0.04128	0.15478	0.056118	0.075857	0.55276	0.07828	0.85818	0.66336	0.07676	0.85139	0.063295	0.036951	0.421	0.81636	0.64857	0.83956	0.04065	0.67102	0.84202
Meth__cg13264741__GRIN2B	0.6865	0.021387	0.95348	0.73875	0.061319	0.57306	0.34966	0.81633	0.04438	0.04593	0.79604	0.66635	0.30155	0.057345	0.21557	0.05369	0.21364	0.032179	0.053527	0.1802	0.071964	0.05157	0.9629	0.30716	0.089275	0.043696	0.46733	0.039904	0.49035	0.044067	0.030522	0.37028	0.19174	0.60882	0.43949	0.30134
Meth__cg17027046__ITPA	0.13265	0.13604	0.14694	0.13155	0.09837	0.099947	0.15497	0.11298	0.10451	0.38693	0.11572	0.075461	0.15534	0.10824	0.15823	0.10651	0.19297	0.18887	0.16271	0.17405	0.15904	0.13289	0.099443	0.14937	0.17021	0.11414	0.25484	0.10974	0.13318	0.15647	0.10581	0.131	0.16249	0.18342	0.20188	0.1652
Meth__cg26499286__KRTAP17-1	0.49132	0.023631	0.35201	0.49645	0.55329	0.24599	0.16404	0.75897	0.26116	0.077064	0.12933	0.58116	0.45292	0.20651	0.24625	0.31008	0.17365	0.068338	0.28072	0.24753	0.5519	0.044125	0.85212	0.2358	0.089531	0.032987	0.27921	0.03869	0.09734	0.039723	0.052362	0.25845	0.20826	0.34036	0.13973	0.10816
Meth__cg25538571__FLJ46365	0.63632	0.049414	0.77616	0.88542	0.86416	0.0529	0.79767	0.85804	0.041181	0.69052	0.8142	0.66443	0.73608	0.046419	0.79859	0.054017	0.52236	0.022744	0.78429	0.68038	0.053338	0.029014	0.9035	0.081007	0.26716	0.13779	0.78446	0.031466	0.042062	0.053154	0.29328	0.84342	0.065722	0.89729	0.49516	0.50801
Meth__cg13733733__LILRA3	0.44166	0.086809	0.82142	0.62473	0.15847	0.38345	0.15599	0.82919	0.059313	0.36677	0.72235	0.58258	0.42836	0.078657	0.57432	0.40417	0.09125	0.056174	0.6171	0.67299	0.17779	0.15724	0.6266	0.13165	0.095363	0.10737	0.25767	0.071553	0.083805	0.068766	0.064733	0.39908	0.22434	0.50273	0.25434	0.21302
Meth__cg07525077__RNASE3	0.25831	0.071873	0.62986	0.82477	0.49857	0.12416	0.19661	0.82432	0.81576	0.23729	0.53235	0.34012	0.27284	0.63985	0.17081	0.14559	0.13533	0.14781	0.37266	0.1418	0.54208	0.10877	0.7838	0.11444	0.29505	0.12889	0.26944	0.1002	0.10842	0.10534	0.075937	0.07377	0.20824	0.09771	0.37215	0.1718
Meth__cg06101324__SPRR1A	0.91014	0.035554	0.90737	0.90436	0.88729	0.048965	0.25398	0.70221	0.55653	0.089253	0.058025	0.67343	0.75938	0.47301	0.057645	0.059044	0.14949	0.048081	0.20055	0.18535	0.065073	0.054432	0.79591	0.086043	0.071453	0.1307	0.071162	0.046092	0.073252	0.045099	0.049046	0.080777	0.10818	0.81094	0.36761	0.5226
Meth__cg14598387__OR1N1	0.37592	0.043395	0.58949	0.68965	0.1336	0.030203	0.19357	0.60861	0.36849	0.034598	0.21752	0.19306	0.14921	0.30466	0.072892	0.077477	0.041537	0.039569	0.043319	0.060324	0.61344	0.034497	0.18665	0.044871	0.12951	0.0763	0.21081	0.034736	0.048804	0.041352	0.030711	0.064887	0.10691	0.090808	0.071598	0.10447
Meth__cg11221265__SDHC	0.026522	0.020402	0.033886	0.032742	0.022857	0.024752	0.034476	0.023156	0.024188	0.036087	0.032121	0.02016	0.04643	0.025064	0.027934	0.026692	0.064613	0.028136	0.02864	0.047406	0.038643	0.043144	0.023267	0.26647	0.051612	0.081537	0.039031	0.023546	0.035436	0.032729	0.017798	0.028829	0.026788	0.035793	0.02559	0.030988
Meth__cg00230502__CCDC60	0.19391	0.087622	0.76147	0.49768	0.79667	0.16703	0.66808	0.76953	0.066473	0.063765	0.39227	0.55688	0.29992	0.079347	0.096715	0.15764	0.12805	0.050639	0.21177	0.15081	0.75844	0.10199	0.80469	0.26889	0.10966	0.08415	0.46346	0.078121	0.32898	0.072522	0.06162	0.61563	0.1591	0.053363	0.32229	0.69709
Meth__cg07031996__MTF1	0.73507	0.039499	0.41702	0.44024	0.10082	0.047448	0.2619	0.23157	0.20246	0.18537	0.14455	0.157	0.097303	0.20813	0.062423	0.023207	0.085354	0.10585	0.084842	0.056903	0.12121	0.062582	0.90034	0.37892	0.15474	0.048267	0.29812	0.02577	0.0232	0.042664	0.11106	0.1262	0.056683	0.050524	0.15297	0.067504
Meth__cg06123346__ATP4A	0.072149	0.042943	0.40531	0.57984	0.37544	0.08304	0.096061	0.4533	0.037512	0.13282	0.20349	0.57916	0.12375	0.049899	0.41215	0.15139	0.054883	0.044314	0.4666	0.24426	0.36028	0.11383	0.38825	0.09273	0.089856	0.10716	0.069293	0.093641	0.053729	0.054402	0.039072	0.12284	0.12559	0.11846	0.097931	0.063226
Meth__cg24006361__EPN3	0.024376	0.03443	0.048594	0.019226	0.025888	0.25121	0.051429	0.025289	0.043843	0.025812	0.027719	0.04486	0.058472	0.053723	0.029285	0.19383	0.082523	0.028608	0.035349	0.029326	0.035904	0.89174	0.026316	0.10564	0.027013	0.06636	0.042565	0.048005	0.026226	0.06594	0.026975	0.023396	0.030478	0.035104	0.031071	0.028844
Meth__cg03528946__SHB	0.045812	0.041634	0.053678	0.041615	0.048671	0.64143	0.05322	0.029929	0.052196	0.049549	0.046175	0.040004	0.081974	0.060786	0.18148	0.047577	0.077284	0.30588	0.034016	0.04204	0.055164	0.14327	0.042101	0.067198	0.046093	0.070377	0.075432	0.062166	0.039586	0.1013	0.045844	0.035047	0.049865	0.047459	0.050473	0.04848
Meth__cg11389172__SLC18A3	0.96797	0.036608	0.9697	0.62869	0.035917	0.59167	0.7594	0.97049	0.030848	0.073454	0.96725	0.9659	0.93546	0.45131	0.03212	0.056989	0.10151	0.045148	0.94086	0.92193	0.57392	0.055168	0.97295	0.88866	0.49338	0.089143	0.91664	0.2888	0.11863	0.18628	0.45445	0.90208	0.34564	0.93316	0.33849	0.065386
Meth__cg09413557__S100A6	0.030585	0.53436	0.03113	0.033124	0.14395	0.59541	0.039195	0.034683	0.96267	0.57648	0.16096	0.017639	0.63744	0.68515	0.10997	0.026498	0.058238	0.034959	0.66241	0.52445	0.22084	0.038679	0.023695	0.053248	0.033652	0.042419	0.47544	0.029632	0.026279	0.023401	0.02607	0.028008	0.031213	0.1551	0.27423	0.15056
Meth__cg24884084__SPRR1B	0.26002	0.042383	0.72499	0.35597	0.18739	0.051433	0.090595	0.72339	0.23133	0.080472	0.062671	0.48203	0.47324	0.20593	0.071565	0.062283	0.12855	0.059441	0.12311	0.14245	0.071857	0.065592	0.64201	0.095248	0.090493	0.11118	0.078917	0.051745	0.27461	0.064665	0.061209	0.055212	0.13448	0.3535	0.080445	0.080071
Meth__cg01858173__ROM1	0.031186	0.030626	0.051542	0.083324	0.042185	0.035132	0.049994	0.67883	0.026316	0.035478	0.068087	0.075491	0.05139	0.033941	0.03772	0.029743	0.076653	0.023636	0.042346	0.049291	0.029096	0.0516	0.062155	0.044965	0.051594	0.040667	0.051071	0.034326	0.020265	0.031708	0.030366	0.031268	0.1128	0.045038	0.053596	0.041572
Meth__cg17699374__MGC35206	0.22081	0.11049	0.89932	0.86889	0.84078	0.062583	0.51974	0.96292	0.074191	0.1819	0.23566	0.87098	0.74408	0.085751	0.40212	0.84295	0.051688	0.022593	0.8257	0.82167	0.91725	0.09178	0.954	0.078198	0.45516	0.035927	0.15692	0.036483	0.055352	0.080575	0.18017	0.76576	0.13755	0.89464	0.5522	0.40802
Meth__cg06220958__MYH2	0.23574	0.037092	0.71692	0.13544	0.27725	0.035966	0.097533	0.096126	0.056668	0.13782	0.23326	0.14682	0.15288	0.069649	0.07415	0.077239	0.10347	0.068061	0.097058	0.077442	0.21619	0.11018	0.11753	0.083922	0.079345	0.16946	0.32157	0.061541	0.051586	0.15072	0.076432	0.11432	0.35734	0.12778	0.13862	0.15214
Meth__cg26806924__PROCR	0.24564	0.03236	0.71153	0.83128	0.23269	0.49724	0.055518	0.36875	0.049159	0.083601	0.55505	0.60045	0.6279	0.053615	0.20501	0.11699	0.052395	0.04257	0.065139	0.088622	0.32232	0.077029	0.35987	0.070325	0.36627	0.056208	0.22513	0.29257	0.041366	0.033557	0.10444	0.44366	0.061734	0.55302	0.3594	0.33958
Meth__cg05368341__SYT6	0.79814	0.022642	0.9656	0.20845	0.72944	0.86968	0.67266	0.6689	0.028894	0.042782	0.95141	0.90911	0.70965	0.2834	0.059179	0.067418	0.058789	0.030863	0.58044	0.58842	0.29454	0.064623	0.94632	0.66216	0.74312	0.056169	0.9145	0.028532	0.032918	0.062222	0.029653	0.54873	0.4523	0.88991	0.23627	0.14639
Meth__cg07440414__TCF7	0.9387	0.054152	0.96586	0.7903	0.83997	0.59229	0.43286	0.16769	0.058505	0.44799	0.96067	0.80716	0.40928	0.060371	0.056124	0.047571	0.083976	0.057704	0.95807	0.95964	0.19556	0.21308	0.63747	0.74758	0.69504	0.067322	0.84966	0.041658	0.049184	0.068835	0.13054	0.96276	0.60903	0.29658	0.49727	0.41503
Meth__cg08886154__PAX4	0.25087	0.036169	0.38819	0.459	0.095557	0.074402	0.17057	0.61175	0.38547	0.20327	0.3205	0.50191	0.3387	0.34966	0.096521	0.31146	0.10446	0.048803	0.11396	0.15511	0.30986	0.088255	0.61198	0.28678	0.16629	0.08257	0.17976	0.078983	0.090213	0.051443	0.04878	0.1881	0.26217	0.14974	0.093719	0.14237
Meth__cg21640749__CD300LF	0.94516	0.048486	0.95176	0.94673	0.89399	0.19989	0.88227	0.90961	0.035293	0.88999	0.61518	0.93071	0.88705	0.095293	0.51567	0.92805	0.070262	0.022393	0.86091	0.85735	0.89567	0.11656	0.95418	0.25516	0.72656	0.028655	0.64143	0.40347	0.034431	0.026566	0.045077	0.59803	0.088723	0.94524	0.51141	0.6043
Meth__cg24122922__C20orf39	0.43006	0.045223	0.80899	0.93879	0.92323	0.40023	0.13427	0.96064	0.040769	0.91187	0.69085	0.72335	0.23992	0.052512	0.28477	0.57395	0.070056	0.032731	0.89042	0.90747	0.065043	0.21841	0.86948	0.13042	0.65931	0.071276	0.28093	0.46334	0.43453	0.22401	0.22587	0.23332	0.067097	0.91191	0.41665	0.18143
Meth__cg09486093__HSD17B4	0.49607	0.14846	0.95214	0.13687	0.029285	0.038462	0.043362	0.97671	0.092276	0.039245	0.97194	0.16827	0.91659	0.10075	0.058256	0.20514	0.11152	0.038526	0.033935	0.039133	0.19974	0.044877	0.51847	0.088738	0.057344	0.049557	0.28537	0.02168	0.039546	0.038059	0.086942	0.040571	0.14239	0.055294	0.53698	0.044423
Meth__cg09593402__LNPEP	0.035829	0.054136	0.03859	0.052231	0.036029	0.040516	0.045553	0.042431	0.23121	0.045487	0.045273	0.038413	0.072788	0.18044	0.042581	0.033496	0.062423	0.035764	0.0329	0.048586	0.046442	0.051932	0.04796	0.091213	0.055431	0.1067	0.074042	0.046781	0.65009	0.05351	0.048143	0.046276	0.045559	0.050183	0.061206	0.053536
Meth__cg22136753__CSRP2BP	0.064948	0.16367	0.07244	0.065169	0.05074	0.85064	0.057402	0.13655	0.048869	0.063526	0.054964	0.073171	0.48746	0.053618	0.2502	0.23228	0.11372	0.0396	0.059929	0.061021	0.52522	0.29748	0.043016	0.78357	0.10287	0.090592	0.083261	0.052823	0.46246	0.37905	0.044148	0.13478	0.032714	0.065922	0.08038	0.3179
Meth__cg17833578__LRRC21	0.48064	0.15812	0.60623	0.80821	0.63318	0.041656	0.30853	0.61712	0.3676	0.15505	0.8649	0.15877	0.15928	0.25862	0.22835	0.47329	0.10281	0.058194	0.40999	0.4093	0.38024	0.10246	0.8766	0.077341	0.2419	0.040465	0.24291	0.067787	0.07058	0.060477	0.048521	0.090394	0.12187	0.76455	0.12924	0.13291
