Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg01103730__IL20	0.12576	0.10194	0.19263	0.0315	0.37226	0.07774	0.81553	0.88403	0.06848	0.085032	0.66099	0.64629	0.50825	0.08987	0.068174	0.7226	0.9032	0.16592	0.47137	0.25692	0.26578	0.6907	0.70012	0.79372	0.87106	0.09967	0.35096	0.90622	0.070491	0.43424	0.16741	0.89772	0.47189	0.86232	0.85847	0.87165	0.18308	0.12717	0.20886
Meth__cg13676215__AHR	0.061177	0.029325	0.13172	0.07064	0.04924	0.1732	0.13613	0.10947	0.65804	0.062758	0.088562	0.11166	0.089719	0.035959	0.53676	0.066714	0.078289	0.061636	0.048017	0.055473	0.073671	0.21883	0.15376	0.11137	0.10571	0.081769	0.11998	0.047922	0.089414	0.11966	0.051548	0.062852	0.45087	0.071659	0.12299	0.06815	0.0585	0.065727	0.049481
Meth__cg21808053__DIRAS3	0.25428	0.028376	0.66978	0.15733	0.47488	0.15558	0.12709	0.2733	0.38916	0.3293	0.52381	0.36224	0.10959	0.21326	0.36844	0.086288	0.68999	0.083697	0.042606	0.07919	0.16006	0.14208	0.44465	0.283	0.22977	0.10821	0.059759	0.33839	0.16906	0.28171	0.054756	0.2821	0.25525	0.19908	0.3321	0.075532	0.20857	0.077445	0.061839
Meth__cg05592527__ARMCX6	0.50842	0.015967	0.60709	0.024396	0.015995	0.024666	0.050327	0.12514	0.013238	0.014175	0.024186	0.052509	0.09996	0.01353	0.143	0.13646	0.40133	0.027895	0.017847	0.021919	0.019277	0.31885	0.082363	0.51303	0.034347	0.021007	0.02525	0.19183	0.11808	0.045433	0.037522	0.024677	0.017078	0.023196	0.07133	0.11828	0.63794	0.020721	0.079713
Meth__cg08570521__TLL1	0.065334	0.43276	0.078773	0.047744	0.057044	0.4055	0.053793	0.51138	0.053152	0.072162	0.20414	0.15722	0.69983	0.064302	0.057475	0.14961	0.065413	0.18087	0.050458	0.085628	0.055817	0.085619	0.5	0.09811	0.44875	0.054725	0.094116	0.27973	0.093429	0.10643	0.069562	0.049094	0.080481	0.046909	0.81344	0.16438	0.057146	0.07582	0.055661
Meth__cg15890111__ABAT	0.037751	0.047135	0.051714	0.038881	0.066382	0.047488	0.049074	0.082711	0.045136	0.036169	0.051355	0.1049	0.42828	0.047361	0.049943	0.053236	0.053234	0.046959	0.039561	0.027197	0.048505	0.051022	0.051556	0.04145	0.16521	0.049033	0.052709	0.049889	0.070564	0.10091	0.10329	0.041161	0.041729	0.045038	0.057036	0.042616	0.044377	0.039035	0.040312
Meth__cg05215575__FLJ25410	0.034379	0.032988	0.038619	0.023176	0.83166	0.035623	0.68584	0.92576	0.88725	0.029324	0.75914	0.85146	0.41107	0.028859	0.5948	0.58972	0.93361	0.44368	0.045638	0.033524	0.027996	0.031053	0.85727	0.07105	0.072207	0.026062	0.10471	0.84221	0.060245	0.5245	0.046246	0.62613	0.36891	0.23519	0.06065	0.09767	0.031693	0.039973	0.027926
Meth__cg07997737__NRTN	0.16461	0.20494	0.23982	0.15686	0.23703	0.12488	0.23827	0.82267	0.10978	0.29868	0.84916	0.64207	0.68844	0.061492	0.098994	0.65751	0.66927	0.41086	0.053234	0.48228	0.47454	0.41555	0.68617	0.66625	0.16821	0.13173	0.13955	0.65244	0.09283	0.53225	0.3792	0.072664	0.052992	0.098102	0.71981	0.27753	0.067509	0.086437	0.10518
Meth__cg20695587__TMPRSS11F	0.20238	0.12043	0.11858	0.096742	0.16994	0.09214	0.19176	0.57139	0.51044	0.12716	0.69178	0.22125	0.11706	0.086827	0.37464	0.80109	0.86621	0.21065	0.10669	0.097585	0.098436	0.15816	0.52217	0.19054	0.76667	0.10025	0.17517	0.50097	0.15465	0.1353	0.1725	0.66442	0.12962	0.18842	0.097376	0.20968	0.12786	0.138	0.093188
Meth__cg03548857__FFAR2	0.079875	0.087769	0.080786	0.10593	0.77832	0.081151	0.80822	0.817	0.11076	0.079142	0.84925	0.76767	0.50164	0.080051	0.1227	0.89507	0.94083	0.14705	0.086095	0.13614	0.15012	0.10788	0.28511	0.18836	0.69346	0.095972	0.10841	0.84676	0.16752	0.81975	0.099801	0.88278	0.49872	0.64525	0.2088	0.22451	0.083093	0.095078	0.076451
Meth__cg19626078__KNDC1	0.054987	0.03652	0.071466	0.045098	0.048651	0.065951	0.042194	0.093168	0.056661	0.0519	0.95812	0.61269	0.11925	0.038163	0.066328	0.12997	0.060097	0.073171	0.037598	0.05064	0.045738	0.045664	0.051663	0.085291	0.17112	0.086204	0.1744	0.06359	0.95312	0.19005	0.057941	0.085298	0.05056	0.040842	0.04886	0.042937	0.07006	0.065576	0.081958
Meth__cg18133966__PLA2G1B	0.22643	0.078243	0.55288	0.1421	0.20905	0.2758	0.3947	0.75746	0.51863	0.11274	0.23434	0.72662	0.7294	0.052111	0.40549	0.30172	0.7764	0.1027	0.058444	0.22362	0.32263	0.82362	0.077729	0.73512	0.14572	0.16981	0.031381	0.39947	0.23951	0.25751	0.2193	0.8165	0.26667	0.052454	0.50228	0.18668	0.4214	0.16278	0.11995
Meth__cg00651216__HSP90AB1	0.05165	0.063254	0.37792	0.25791	0.8788	0.45155	0.89153	0.58833	0.34771	0.25853	0.23263	0.90971	0.32777	0.038854	0.31024	0.26017	0.41064	0.42914	0.49139	0.34909	0.25878	0.25451	0.42919	0.16437	0.68549	0.14942	0.29603	0.87354	0.15459	0.21847	0.12561	0.26386	0.072957	0.10591	0.71347	0.19423	0.049258	0.16207	0.11802
Meth__cg05820087__ATP13A4	0.11772	0.092339	0.11928	0.069182	0.32099	0.81292	0.12544	0.84996	0.74457	0.10542	0.72547	0.21363	0.72403	0.10641	0.41463	0.60686	0.38771	0.24422	0.074251	0.40561	0.16886	0.81942	0.22899	0.076696	0.33599	0.13846	0.19884	0.31673	0.62622	0.72106	0.24858	0.80119	0.40069	0.11219	0.33045	0.23072	0.10123	0.14329	0.092671
Meth__cg03139057__DLL3	0.023566	0.016275	0.053216	0.023754	0.87786	0.14077	0.92702	0.92098	0.080528	0.041389	0.63066	0.59284	0.66999	0.016933	0.052819	0.79745	0.50525	0.062588	0.064459	0.16224	0.2523	0.59361	0.94119	0.027521	0.87085	0.060748	0.071511	0.93025	0.072545	0.38159	0.020128	0.81329	0.04417	0.058207	0.14191	0.76187	0.028345	0.025753	0.25695
Meth__cg25374813__SLC23A1	0.066578	0.042765	0.07166	0.037853	0.79219	0.02368	0.091371	0.061996	0.05739	0.034997	0.20773	0.069813	0.15114	0.099665	0.071187	0.29458	0.43308	0.14265	0.096554	0.12285	0.15215	0.20117	0.7913	0.43618	0.20202	0.035584	0.155	0.31795	0.13225	0.04447	0.05433	0.83308	0.036508	0.068985	0.15501	0.036205	0.02446	0.062926	0.028706
Meth__cg23776892__MAGEA1	0.60234	0.084029	0.91118	0.07729	0.21455	0.13142	0.49138	0.67521	0.061766	0.063945	0.86001	0.87725	0.35812	0.048632	0.27319	0.79686	0.90983	0.26945	0.063577	0.13132	0.086168	0.068177	0.30824	0.63886	0.16472	0.2592	0.21079	0.86601	0.61071	0.24354	0.11418	0.062035	0.69431	0.06182	0.78374	0.15581	0.093765	0.10706	0.26647
Meth__cg13904968__PCK1	0.22638	0.029321	0.77681	0.30093	0.22964	0.11873	0.33837	0.91737	0.17542	0.27324	0.7301	0.79833	0.73655	0.04978	0.12029	0.6354	0.83553	0.080703	0.053446	0.71984	0.52464	0.4173	0.65725	0.46327	0.24246	0.069437	0.1143	0.60951	0.10702	0.38333	0.052067	0.40072	0.046142	0.077045	0.39179	0.59085	0.84146	0.37982	0.33507
Meth__cg08162780__GDF15	0.027304	0.016579	0.053497	0.031127	0.55947	0.034346	0.88761	0.97654	0.1631	0.017749	0.15771	0.28927	0.029767	0.019602	0.12069	0.12556	0.57431	0.078351	0.035099	0.016581	0.02372	0.041406	0.15627	0.020635	0.03405	0.025235	0.035956	0.41833	0.03283	0.50763	0.029333	0.020571	0.024497	0.020024	0.01495	0.017367	0.020219	0.022928	0.01984
Meth__cg03764585__FMOD	0.18908	0.022032	0.70248	0.83684	0.17043	0.57589	0.55616	0.95883	0.59995	0.05106	0.56682	0.69654	0.75951	0.059159	0.46659	0.52228	0.85371	0.040591	0.067204	0.2558	0.24216	0.96314	0.82781	0.71884	0.16766	0.021908	0.041803	0.39317	0.51499	0.17632	0.035364	0.51495	0.099896	0.12847	0.84164	0.67137	0.8143	0.19564	0.27861
Meth__cg05508558__CR2	0.056057	0.047035	0.41425	0.10619	0.15455	0.19303	0.2658	0.56419	0.12843	0.22008	0.13928	0.27273	0.64131	0.047017	0.11012	0.42987	0.19946	0.10586	0.051002	0.085644	0.083333	0.22345	0.099276	0.11159	0.25489	0.11374	0.057042	0.7312	0.098428	0.12814	0.053953	0.19841	0.17483	0.0797	0.53681	0.27892	0.1375	0.1526	0.12794
Meth__cg23910835__SFRP2	0.30301	0.070523	0.21503	0.070477	0.17463	0.20075	0.33671	0.44089	0.067969	0.072834	0.44984	0.1105	0.17267	0.070812	0.089004	0.2404	0.19606	0.24881	0.077012	0.092311	0.1344	0.3495	0.43317	0.3125	0.14959	0.22596	0.080456	0.15014	0.24072	0.14272	0.092015	0.083219	0.048535	0.078605	0.63636	0.052525	0.16108	0.094754	0.089463
Meth__cg03440846__ACSS2	0.056238	0.03975	0.79236	0.11188	0.55104	0.092432	0.21512	0.58245	0.092146	0.20177	0.56727	0.44609	0.082797	0.085854	0.11546	0.06733	0.18194	0.14317	0.039103	0.15484	0.17007	0.85658	0.49577	0.44832	0.12271	0.080186	0.13195	0.27798	0.058118	0.31838	0.12285	0.034127	0.084981	0.051026	0.7005	0.093968	0.8367	0.064725	0.041809
Meth__cg19356189__KLK10	0.11129	0.082353	0.41018	0.39302	0.11997	0.24895	0.61074	0.34246	0.32816	0.078506	0.5566	0.91555	0.57589	0.071381	0.24072	0.68844	0.4355	0.30062	0.06801	0.18811	0.18347	0.90827	0.22113	0.14488	0.12476	0.41859	0.12415	0.89019	0.20444	0.51494	0.11531	0.24514	0.0795	0.10198	0.21146	0.71902	0.13097	0.15143	0.13023
Meth__cg03641225__DIRAS3	0.1618	0.022288	0.37599	0.12301	0.58522	0.080794	0.12648	0.4938	0.27028	0.40112	0.41691	0.72091	0.18454	0.26225	0.29699	0.21576	0.71948	0.070414	0.040952	0.058389	0.087138	0.12571	0.31842	0.51583	0.20021	0.065258	0.031151	0.26494	0.13201	0.19031	0.036995	0.21668	0.20152	0.15246	0.052178	0.045343	0.10204	0.072512	0.056732
Meth__cg24759821__PAH	0.13827	0.11472	0.9063	0.057556	0.17517	0.37931	0.068742	0.11178	0.25319	0.047234	0.71799	0.10105	0.5855	0.056849	0.18812	0.53574	0.073042	0.086649	0.039733	0.054395	0.046501	0.49971	0.20992	0.066756	0.41737	0.039509	0.055443	0.46859	0.12892	0.14156	0.099536	0.28511	0.05977	0.20209	0.70596	0.80357	0.047568	0.065221	0.2336
Meth__cg04893119__PI15	0.77355	0.075998	0.56548	0.096756	0.49656	0.14649	0.33557	0.63203	0.33988	0.40414	0.093759	0.26595	0.216	0.13487	0.2891	0.44961	0.72807	0.20727	0.25308	0.088683	0.2787	0.82845	0.45765	0.26577	0.58963	0.12713	0.24729	0.17126	0.10439	0.18422	0.078378	0.50927	0.64908	0.14451	0.73663	0.058219	0.087666	0.18581	0.10349
Meth__cg01603095__SLC2A13	0.16005	0.026137	0.61139	0.057297	0.34234	0.053094	0.60596	0.95996	0.045578	0.033978	0.41319	0.090379	0.84551	0.037123	0.04904	0.94088	0.057641	0.12462	0.044791	0.033416	0.04875	0.57676	0.80873	0.11825	0.13293	0.32089	0.069216	0.39126	0.79863	0.53476	0.048015	0.40957	0.39145	0.021087	0.60173	0.1064	0.040329	0.26527	0.067807
Meth__cg13397379__OR2C3	0.66172	0.017001	0.38944	0.048304	0.62305	0.58342	0.33504	0.67434	0.01717	0.030705	0.56886	0.79678	0.1192	0.025338	0.08287	0.48027	0.49497	0.048011	0.018126	0.027299	0.031291	0.87857	0.12127	0.52188	0.40912	0.056057	0.046202	0.083689	0.428	0.025934	0.035371	0.066727	0.75452	0.049427	0.35521	0.074362	0.05713	0.24402	0.26688
Meth__cg03003745__UNQ473	0.023829	0.021727	0.03205	0.024317	0.76967	0.032516	0.66701	0.94579	0.87651	0.028213	0.33372	0.36855	0.11754	0.015164	0.62171	0.24389	0.92538	0.28638	0.020053	0.022614	0.023669	0.036617	0.83669	0.020176	0.10883	0.025744	0.030464	0.84308	0.069658	0.34555	0.10154	0.58374	0.10797	0.067347	0.027108	0.049721	0.020689	0.024956	0.018402
Meth__cg10301990__UBXD6	0.057272	0.053883	0.19846	0.11042	0.30804	0.073521	0.41431	0.16961	0.16671	0.096185	0.20936	0.23339	0.20572	0.1484	0.1599	0.10314	0.77876	0.18556	0.070806	0.097011	0.07035	0.086385	0.21137	0.26304	0.66116	0.36199	0.10003	0.092819	0.08766	0.38771	0.061687	0.30287	0.077175	0.067786	0.095939	0.10174	0.070281	0.063254	0.053909
Meth__cg27239921__CACNA1D	0.034528	0.062555	0.048714	0.032118	0.43247	0.082039	0.08938	0.047785	0.040342	0.041819	0.24238	0.42047	0.47978	0.026514	0.048632	0.1361	0.057302	0.086615	0.028382	0.025757	0.034833	0.048126	0.15358	0.032508	0.61769	0.04431	0.068597	0.50512	0.085981	0.11299	0.087463	0.31044	0.082892	0.066992	0.10038	0.033637	0.039523	0.035209	0.034658
Meth__cg02417264__RAMP3	0.1142	0.035357	0.8121	0.28958	0.91036	0.3484	0.72304	0.90897	0.29261	0.033947	0.90694	0.77753	0.58187	0.022997	0.25167	0.54688	0.60458	0.053509	0.018621	0.55863	0.35309	0.65164	0.80679	0.58327	0.40341	0.32347	0.087894	0.74163	0.57302	0.067931	0.038934	0.068299	0.060113	0.027618	0.022882	0.045681	0.087338	0.14793	0.069913
Meth__cg08955609__APOE	0.023596	0.03179	0.29571	0.036658	0.67491	0.067427	0.16451	0.62356	0.033225	0.040101	0.80753	0.34698	0.23688	0.024524	0.028861	0.62586	0.57156	0.067426	0.056207	0.07577	0.036009	0.41677	0.71537	0.042072	0.56178	0.24307	0.037043	0.71333	0.71274	0.52594	0.040279	0.03766	0.56072	0.044138	0.18844	0.28176	0.02875	0.030139	0.11701
Meth__cg03609102__MUC5B	0.023048	0.018929	0.025664	0.01365	0.56322	0.019154	0.10479	0.91849	0.56227	0.02859	0.22949	0.8021	0.19173	0.020787	0.46585	0.54421	0.88815	0.036661	0.035204	0.032847	0.23739	0.047714	0.85014	0.29075	0.20239	0.031602	0.022187	0.18951	0.27103	0.41888	0.073333	0.86762	0.31253	0.016475	0.31998	0.69896	0.030479	0.024829	0.023617
Meth__cg23159337__ATP13A4	0.15034	0.11465	0.11196	0.12382	0.10113	0.23533	0.21777	0.72148	0.50945	0.10021	0.47685	0.12014	0.49082	0.061385	0.27341	0.23706	0.14292	0.25096	0.10415	0.075832	0.10072	0.66138	0.1369	0.1097	0.32123	0.13456	0.21941	0.19032	0.1723	0.26059	0.16648	0.65389	0.23474	0.19135	0.15251	0.11309	0.12911	0.16658	0.10175
Meth__cg01731341__FGF6	0.59495	0.031631	0.94467	0.60298	0.2069	0.23149	0.36786	0.80334	0.044633	0.57189	0.94246	0.92999	0.55648	0.033245	0.14235	0.59819	0.96507	0.20962	0.034019	0.66832	0.37095	0.57098	0.32242	0.38337	0.41226	0.56983	0.038707	0.61892	0.26354	0.050894	0.044001	0.94626	0.46815	0.025523	0.91483	0.33116	0.10139	0.41365	0.13136
Meth__cg14450605__NCOA4	0.088623	0.080627	0.070506	0.051857	0.05133	0.096679	0.11286	0.031966	0.93708	0.071217	0.060436	0.032932	0.16815	0.06232	0.81264	0.052843	0.057856	0.20699	0.081241	0.064277	0.068956	0.058281	0.079779	0.047185	0.10696	0.068262	0.058136	0.051341	0.084721	0.05244	0.085366	0.079543	0.062723	0.092243	0.062069	0.075565	0.74135	0.20595	0.10821
Meth__cg03343942__SLC39A5	0.051534	0.029206	0.51285	0.17126	0.65375	0.22165	0.2093	0.78413	0.28636	0.23037	0.57483	0.68571	0.52439	0.19106	0.22115	0.21653	0.59271	0.16633	0.022783	0.50372	0.36777	0.56515	0.55255	0.81309	0.26681	0.30595	0.039166	0.28919	0.23621	0.30003	0.06852	0.49159	0.12508	0.035387	0.1705	0.2884	0.35785	0.23502	0.11707
Meth__cg07841014__REG1B	0.65353	0.092908	0.87891	0.075168	0.42512	0.73553	0.19803	0.69477	0.8923	0.096556	0.88057	0.15293	0.30421	0.37164	0.7964	0.60014	0.50887	0.19141	0.10129	0.061644	0.13258	0.40553	0.2603	0.61234	0.45472	0.11636	0.14801	0.19686	0.64121	0.099752	0.14965	0.24584	0.60895	0.24898	0.73719	0.29831	0.15085	0.19253	0.1408
Meth__cg19937039__SERPINA10	0.64774	0.042989	0.78556	0.46636	0.098803	0.4085	0.59785	0.93283	0.53037	0.14964	0.53551	0.44723	0.56938	0.060902	0.39371	0.36016	0.87777	0.12491	0.15	0.22955	0.20259	0.92133	0.58863	0.73609	0.11139	0.21542	0.11117	0.22345	0.10148	0.060931	0.08529	0.72054	0.066276	0.066321	0.4955	0.33286	0.67268	0.21574	0.14878
Meth__cg25104030__RASGEF1A	0.057249	0.04033	0.060835	0.051146	0.4472	0.081241	0.3124	0.45393	0.041467	0.044912	0.49508	0.08152	0.36717	0.044909	0.059034	0.45259	0.053621	0.081723	0.039421	0.035256	0.04827	0.18108	0.46131	0.064386	0.3243	0.04657	0.075085	0.48889	0.13272	0.045552	0.053804	0.039706	0.049151	0.069546	0.22339	0.031162	0.082668	0.07011	0.046049
Meth__cg18979491__LBP	0.17217	0.048797	0.51741	0.26538	0.088703	0.3393	0.40672	0.62216	0.11224	0.24355	0.24041	0.75264	0.43094	0.0578	0.090219	0.16653	0.34546	0.13072	0.06592	0.27966	0.24283	0.89415	0.28111	0.17369	0.072552	0.20113	0.12867	0.27343	0.11815	0.13854	0.064395	0.13314	0.061055	0.070701	0.3416	0.12134	0.2705	0.15196	0.097749
Meth__cg21500966__NAALAD2	0.097567	0.047572	0.73943	0.0992	0.25284	0.64486	0.050516	0.57505	0.064386	0.063045	0.73715	0.78935	0.51089	0.065308	0.15956	0.4921	0.41506	0.1382	0.060565	0.2549	0.23872	0.32139	0.053629	0.06842	0.42824	0.43375	0.14448	0.27103	0.60817	0.081538	0.1188	0.40573	0.060542	0.31633	0.85894	0.37843	0.070238	0.11565	0.20407
Meth__cg20485165__WFDC12	0.60352	0.02287	0.6111	0.44386	0.37527	0.105	0.23985	0.94379	0.81417	0.26209	0.30425	0.96059	0.79015	0.045389	0.66756	0.48654	0.69452	0.74849	0.02838	0.22083	0.40149	0.90316	0.38833	0.87012	0.13672	0.14014	0.045263	0.30455	0.21203	0.52862	0.040174	0.89291	0.44841	0.02996	0.70145	0.10655	0.3905	0.22681	0.22674
Meth__cg26616347__IRF5	0.14677	0.058382	0.33128	0.43503	0.81039	0.2491	0.9133	0.84899	0.12392	0.13907	0.73231	0.76733	0.31242	0.046891	0.10286	0.31604	0.29645	0.098395	0.1091	0.40374	0.1771	0.75665	0.47389	0.41427	0.46016	0.18779	0.094738	0.63628	0.11156	0.28777	0.06692	0.60522	0.12047	0.055207	0.62283	0.19644	0.58015	0.31227	0.45994
Meth__cg25964007__WDRPUH	0.44006	0.046409	0.956	0.038259	0.031039	0.11515	0.055645	0.07625	0.083971	0.055853	0.95395	0.11441	0.89946	0.041344	0.096709	0.94115	0.96268	0.13531	0.036696	0.036809	0.34898	0.19543	0.96566	0.049195	0.53691	0.046077	0.27022	0.0868	0.15515	0.055377	0.052408	0.94933	0.042509	0.054006	0.11463	0.59001	0.049353	0.57615	0.94144
Meth__cg25072962__MGC35295	0.20874	0.051257	0.75976	0.069154	0.26966	0.18006	0.4275	0.8811	0.40239	0.07448	0.37275	0.16182	0.20516	0.03506	0.3463	0.22709	0.37193	0.24171	0.047082	0.054	0.07149	0.30777	0.12652	0.097093	0.11116	0.083804	0.15752	0.24066	0.31163	0.21233	0.12887	0.075371	0.16789	0.056421	0.47906	0.23765	0.090429	0.1002	0.088808
Meth__cg18943599__SSTR2	0.040493	0.023857	0.034889	0.032445	0.3702	0.039793	0.18759	0.93433	0.035085	0.033553	0.40912	0.3142	0.1537	0.03192	0.048792	0.15873	0.032658	0.25835	0.034598	0.030772	0.041289	0.038596	0.16461	0.039786	0.36571	0.033105	0.064188	0.32938	0.060475	0.20097	0.090113	0.19683	0.038453	0.029847	0.048057	0.086391	0.034465	0.04643	0.040769
Meth__cg14833385__HLA-DMA	0.055157	0.032845	0.75122	0.44865	0.74249	0.091769	0.51621	0.54357	0.089969	0.13254	0.23746	0.17671	0.095985	0.040729	0.086136	0.50161	0.76054	0.20608	0.14073	0.060226	0.07306	0.41362	0.18531	0.048464	0.38829	0.16749	0.099474	0.87489	0.072768	0.1697	0.10644	0.43999	0.3504	0.12477	0.22328	0.15158	0.052176	0.061522	0.10205
Meth__cg19954000__FGF1	0.043041	0.019314	0.0879	0.037262	0.83658	0.46686	0.58088	0.26957	0.030336	0.041957	0.74393	0.070178	0.04373	0.030773	0.044485	0.087769	0.74644	0.081575	0.039339	0.33012	0.66411	0.55499	0.19515	0.32187	0.41892	0.11955	0.121	0.83725	0.14081	0.044047	0.054679	0.89573	0.29834	0.13049	0.4189	0.10116	0.069041	0.080525	0.20385
