Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	UACC812	ZR751	ZR75B
SNP__GRB7	0.376	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	2.132	-0.034	0.021
SNP__LOC645280	-0.014	-3.43	-0.134	0.64	-0.12	0.05	-2.895	-0.288	-0.012	-0.384	0.122	-0.092	0.026	0.799	0.041	0.746	-4.462	-0.404	-0.131	-0.122	0.062	0.04	0.328	-0.202	0.226	-0.148	0.004	-0.19	0.227	0.174	-0.31	0.343	-4.17	-3.988
SNP__CRKRS	0.376	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.182	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	1.743	-0.034	0.021
SNP__RHD	-2.45	-0.18	-0.234	-0.44	0.218	-0.163	-0.081	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-1.757	0.132	-2.179	-0.407	-1.321	-1.752	0.344	-0.015	0.387	0.262	0.226	0.206	0.018	-0.156	0.057	0.245	0.482	0.165	-2.045	-1.621
SNP__GSTM1	1.308	2.472	-0.243	-0.13	1.142	0.296	0.868	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	-0.257	2.34	1.976	2.435	1.445	1.813	-0.172	1.723	-0.063	1.282	0.164	0.188	1.108	1.492	-0.384	-0.27	0.043	-0.303	1.499	1.386
SNP__LOC643473	-0.26	-0.209	-0.352	-0.211	-0.07	0.064	0.078	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	0.287	-0.184	-0.006	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.296	-0.159	0.024
SNP__C6orf142	0.009	-0.215	1.823	-0.608	1.949	1.676	1.548	-0.367	1.675	-1.374	2.177	2.205	0.02	1.728	1.688	-0.392	2.174	1.363	2.165	-0.129	0.392	0.246	-0.056	1.373	0.473	2.372	0.017	1.813	0.346	0.144	-2.114	0.062	-0.222	-0.379
SNP__FHIT	0.008	-0.843	-0.527	-0.136	-1.144	-0.552	-0.124	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-0.262	-0.422	-0.748	-0.429	-0.69	-0.584	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	-2.101	0.266	-0.272	-0.059	-0.371
SNP__SHCL1	0.37	-0.191	-0.146	0.229	-0.093	0.096	0.39	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.241	-0.253	0.005	-0.133	0.125	-0.12	-0.315	-0.532	-0.576	-0.138	-0.114	0.06	-0.305	-0.354	0.334	-0.139	0.082	0.011	0.023
SNP__LOC252968	-1.369	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-1.531	0.477	-0.429	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.834	-0.431	-0.364
SNP__FLJ36492	-1.369	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	-0.411	-0.028	0.258	-1.046	0.725	-0.023	-1.531	0.477	-0.429	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.357	-0.431	-0.364
SNP__LOC654346	-1.369	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-1.531	0.477	-0.429	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.834	-0.431	-0.364
SNP__LOC646611	-0.648	-0.236	-1.03	-0.262	0.032	0.044	-0.451	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.152	-2.607	0.797	-0.406	0.031	-2.711	-0.865	-0.064	-0.627	-0.228	-2.484	-2.568	-0.025	-0.357	-0.376	-1.991	-0.181	-0.296	-0.072	0.022
SNP__IGL@	-1.694	-3.74	0.248	-2.86	-0.961	-3.126	0.818	1.28	-0.012	-0.384	0.122	-0.092	-2.723	0.714	-0.047	0.439	0.55	-0.404	0.179	-0.122	0.659	0.396	0.716	-1.059	0.226	-0.148	0.565	-0.19	0.383	-0.163	-3.338	0.69	0.757	0.514
SNP__LOC644144	0.37	-0.191	-0.146	0.229	-0.098	0.096	0.396	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.236	-0.253	0.005	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.305	-0.354	0.334	-3.028	0.082	0.011	0.023
SNP__LOC147158	-1.369	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-1.531	0.477	-0.429	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.834	-0.431	-0.364
SNP__MGAM	0.006	0.186	0.355	0.322	-0.135	0.422	0.042	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.267	0.018	0.485	0.196	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.234	-0.327	0.23	-0.287	-0.317	-0.042	0.028
SNP__FLJ10120	0.37	-0.191	-0.146	0.229	-0.098	0.096	0.396	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.236	-0.253	0.005	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.305	-0.354	0.334	-3.028	0.082	0.011	0.023
SNP__LOC201288	-1.369	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-1.531	0.477	-0.429	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.834	-0.431	-0.364
SNP__BCAS1	0.013	-2.242	2.02	0.565	0.515	0.076	0.13	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.352	0.169	0.238	2.058	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.371	0.333	0.855	-0.137	0.853	0.395	0.305
SNP__LOC402360	-0.647	-0.236	-1.03	-0.262	0.094	0.044	-0.459	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.165	-2.607	0.797	-0.479	0.066	-2.711	-0.865	-0.064	-0.627	-0.228	-0.833	-2.568	-0.025	-0.357	-0.376	-1.991	-0.167	-0.296	-0.064	0.019
