Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg20166532__EDG1	0.49884	0.059168	0.1478	0.57552	0.056678	0.87288	0.04001	0.91116	0.056329	0.63674	0.3702	0.14198	0.70214	0.37579	0.055415	0.65042	0.047442	0.15215	0.46839	0.66689	0.85237	0.73482	0.065538	0.89128	0.77479	0.81224	0.35453	0.053036	0.82819	0.57701	0.11004	0.077375	0.26194	0.44945	0.47955	0.6098	0.56245	0.61782	0.50311	0.43341
Meth__cg00806490__CDH13	0.95805	0.075245	0.87733	0.342	0.93061	0.54065	0.087199	0.83611	0.55122	0.40449	0.95531	0.73347	0.72278	0.56569	0.41805	0.5875	0.792	0.10568	0.088401	0.67143	0.53704	0.24675	0.093747	0.36749	0.95535	0.85437	0.081681	0.05657	0.94824	0.72482	0.11818	0.10165	0.0682	0.70939	0.16312	0.21029	0.079313	0.33494	0.95434	0.075484
Meth__cg13526007__LRFN5	0.44371	0.053142	0.22045	0.054878	0.077474	0.42909	0.69519	0.74563	0.078052	0.066157	0.81977	0.85844	0.75084	0.84123	0.071568	0.61867	0.1192	0.27837	0.069556	0.35605	0.49383	0.29434	0.062395	0.15479	0.69951	0.071872	0.14764	0.15244	0.37485	0.51541	0.12695	0.055329	0.068207	0.066624	0.11578	0.52229	0.06346	0.10288	0.31153	0.10904
Meth__cg14409941__ADAMTS2	0.96119	0.032123	0.038249	0.031036	0.22597	0.81407	0.018975	0.33908	0.035625	0.053343	0.16776	0.024448	0.33071	0.071525	0.046102	0.032795	0.029032	0.095328	0.03091	0.93831	0.94281	0.90534	0.040288	0.96161	0.88275	0.52219	0.13702	0.0328	0.91943	0.12799	0.051305	0.030017	0.060583	0.037153	0.25959	0.050801	0.10587	0.035239	0.9106	0.039681
Meth__cg14708847__PAK3	0.097577	0.054287	0.29157	0.10406	0.11505	0.13917	0.042194	0.32054	0.057297	0.073696	0.18852	0.071263	0.25378	0.074088	0.062732	0.094476	0.0383	0.14248	0.074511	0.13709	0.15196	0.22931	0.092495	0.28947	0.3284	0.08794	0.087172	0.063084	0.10855	0.074899	0.1202	0.057138	0.085514	0.62163	0.054648	0.099965	0.41228	0.074513	0.26313	0.29339
Meth__cg01798589__STAC	0.40775	0.055888	0.73801	0.17076	0.1859	0.5078	0.37746	0.18959	0.17414	0.25612	0.49614	0.3848	0.37017	0.76253	0.10344	0.40438	0.098271	0.15934	0.19036	0.27297	0.26719	0.13715	0.17653	0.91251	0.07462	0.26199	0.092414	0.14321	0.20794	0.20187	0.090772	0.042413	0.092184	0.46842	0.10829	0.065069	0.12448	0.77931	0.21564	0.38727
Meth__cg14252569__DACT1	0.19244	0.078128	0.09595	0.10206	0.090047	0.18259	0.088336	0.11541	0.09713	0.09092	0.16193	0.22637	0.29083	0.068009	0.075745	0.33514	0.07368	0.24612	0.097459	0.10755	0.10376	0.27907	0.084773	0.089924	0.75852	0.09325	0.22402	0.13401	0.17311	0.16098	0.16465	0.076753	0.088022	0.41031	0.13104	0.13776	0.07813	0.099295	0.11233	0.14045
Meth__cg04688368__KCNMA1	0.10548	0.083148	0.081713	0.064329	0.065887	0.096815	0.054898	0.23114	0.3513	0.07517	0.71577	0.1296	0.2704	0.25695	0.3395	0.092153	0.096959	0.19321	0.070239	0.13155	0.099244	0.09799	0.080308	0.15577	0.75946	0.097687	0.13795	0.075885	0.12017	0.56755	0.13525	0.078981	0.076041	0.071052	0.10085	0.11477	0.086505	0.082975	0.17082	0.094045
Meth__cg26803566__SGPP1	0.046025	0.041542	0.11419	0.11042	0.15575	0.15105	0.071847	0.38267	0.47211	0.10898	0.076634	0.22436	0.063582	0.14455	0.081247	0.088436	0.041768	0.2239	0.063811	0.10493	0.075041	0.098817	0.1458	0.33872	0.13108	0.05841	0.13648	0.043372	0.14901	0.093015	0.10578	0.047287	0.03159	0.30908	0.065836	0.12871	0.037264	0.05536	0.18845	0.063159
Meth__cg08210616__ZNF502	0.8538	0.071199	0.83655	0.27249	0.31149	0.8168	0.46471	0.86536	0.079035	0.39156	0.83127	0.073918	0.63679	0.62838	0.088518	0.082533	0.20359	0.23818	0.071943	0.75719	0.59422	0.25855	0.18191	0.4459	0.53921	0.083609	0.24635	0.069186	0.58191	0.088674	0.19133	0.092692	0.10121	0.15523	0.28857	0.11747	0.38156	0.28897	0.74621	0.17659
Meth__cg12256228__RING1	0.049433	0.042719	0.073188	0.05893	0.040867	0.10559	0.037606	0.057219	0.048958	0.08041	0.059918	0.041898	0.077789	0.054125	0.052867	0.036178	0.038572	0.09539	0.030544	0.063133	0.047005	0.056043	0.055302	0.09856	0.099485	0.043849	0.062046	0.042484	0.082669	0.047296	0.072794	0.040364	0.036902	0.40584	0.037279	0.075922	0.079156	0.040248	0.090086	0.044557
Meth__cg18335068__ZNF677	0.42356	0.051365	0.95047	0.29806	0.61395	0.93149	0.72502	0.96116	0.20221	0.80268	0.95149	0.068351	0.40136	0.5159	0.17876	0.66161	0.027996	0.3627	0.041031	0.88043	0.64354	0.036104	0.03575	0.079372	0.66219	0.67995	0.33768	0.042886	0.90756	0.038185	0.15916	0.10864	0.098178	0.48366	0.25807	0.2661	0.033494	0.088111	0.81237	0.05029
Meth__cg02065387__GABRA1	0.5475	0.1054	0.93826	0.12195	0.37416	0.88551	0.23478	0.48344	0.51852	0.14078	0.80387	0.17007	0.20517	0.24956	0.48708	0.25046	0.14197	0.18495	0.19632	0.10774	0.49753	0.91381	0.12207	0.66782	0.2038	0.16689	0.20522	0.11692	0.55361	0.10301	0.13702	0.11818	0.22181	0.57792	0.39793	0.082365	0.44976	0.20845	0.2186	0.17859
Meth__cg12238343__RLN3R1	0.91442	0.01538	0.72838	0.14761	0.07689	0.92635	0.73659	0.92105	0.033021	0.078211	0.89511	0.19427	0.89144	0.15622	0.024021	0.047601	0.028474	0.07899	0.2964	0.8457	0.77787	0.89693	0.020643	0.24965	0.83527	0.65984	0.22034	0.23411	0.59539	0.49012	0.024673	0.05385	0.064499	0.02207	0.22411	0.45755	0.036575	0.67792	0.77221	0.79764
Meth__cg18441959__VPREB1	0.095926	0.023971	0.39624	0.54693	0.032013	0.10043	0.076865	0.21498	0.16558	0.071189	0.070993	0.053889	0.098836	0.02491	0.11521	0.077371	0.056094	0.072437	0.0288	0.36236	0.17307	0.81936	0.067168	0.64363	0.07025	0.06098	0.072748	0.073961	0.055195	0.061353	0.057921	0.031288	0.035862	0.076712	0.063151	0.19463	0.13711	0.049386	0.16373	0.046596
Meth__cg05517572__STAP2	0.037106	0.21609	0.23659	0.062864	0.88145	0.045091	0.32435	0.050337	0.037116	0.0451	0.039267	0.044017	0.092658	0.026763	0.041542	0.061729	0.057665	0.07046	0.81273	0.048322	0.034036	0.045098	0.4911	0.039995	0.19499	0.058911	0.085103	0.89628	0.080819	0.037296	0.27698	0.69803	0.27408	0.034536	0.033812	0.095722	0.068624	0.058536	0.090396	0.054521
Meth__cg25268678__PLEKHG6	0.044433	0.98189	0.048518	0.20049	0.9809	0.71768	0.96118	0.027877	0.021103	0.056307	0.033201	0.028799	0.96789	0.079581	0.40855	0.061124	0.60926	0.075501	0.96034	0.046462	0.072742	0.025338	0.97469	0.028614	0.96343	0.46122	0.092847	0.98741	0.071415	0.073128	0.067055	0.031544	0.98761	0.027808	0.41015	0.12861	0.04008	0.044755	0.047554	0.77807
Meth__cg04818845__PLEKHG5	0.062643	0.19452	0.20083	0.040738	0.84527	0.073995	0.91443	0.42281	0.054349	0.071935	0.13836	0.82195	0.43296	0.06683	0.060415	0.11822	0.13669	0.10713	0.051753	0.21874	0.081307	0.055594	0.06603	0.059397	0.81813	0.21215	0.13815	0.32574	0.73398	0.087148	0.27037	0.55205	0.54353	0.05154	0.073474	0.45582	0.30157	0.10628	0.091938	0.49415
Meth__cg07664856__CNTN6	0.68339	0.055739	0.62468	0.326	0.58946	0.62145	0.18033	0.25368	0.77678	0.59124	0.68323	0.10242	0.30752	0.6142	0.58104	0.23315	0.050333	0.48298	0.405	0.045226	0.075451	0.45653	0.053052	0.80065	0.23713	0.14578	0.19374	0.050598	0.36995	0.14545	0.12896	0.08796	0.23849	0.056625	0.12026	0.17569	0.12541	0.58624	0.22425	0.29871
Meth__cg00918005__REG3G	0.26406	0.031475	0.72241	0.02899	0.04975	0.41682	0.092537	0.31524	0.61952	0.047778	0.57417	0.41454	0.14365	0.12811	0.40172	0.051394	0.034809	0.12534	0.040323	0.037726	0.043386	0.39129	0.051268	0.31686	0.16202	0.049876	0.086746	0.05875	0.3855	0.046197	0.046597	0.039331	0.059216	0.37686	0.07183	0.096541	0.044771	0.056515	0.16283	0.036532
Meth__cg22424444__TOLLIP	0.10094	0.9322	0.72383	0.27583	0.78316	0.23379	0.904	0.10221	0.76155	0.39618	0.061843	0.51628	0.77123	0.88917	0.61813	0.12382	0.10192	0.1663	0.080916	0.11346	0.08943	0.4458	0.72343	0.21328	0.8913	0.89195	0.1021	0.43269	0.83568	0.17202	0.81409	0.048869	0.57236	0.084304	0.10431	0.85661	0.34285	0.88931	0.37977	0.90335
Meth__cg03382304__JAM2	0.56977	0.11025	0.16237	0.071039	0.07466	0.18564	0.057618	0.10518	0.060675	0.057379	0.10494	0.25439	0.67504	0.56875	0.052812	0.59138	0.069121	0.25462	0.067233	0.87613	0.60839	0.22322	0.075878	0.10962	0.82472	0.063233	0.13739	0.073618	0.88875	0.48178	0.12838	0.064303	0.06407	0.20229	0.61349	0.069	0.068767	0.097137	0.14998	0.23945
Meth__cg12340144__XYLB	0.65325	0.056081	0.14945	0.13566	0.050363	0.19597	0.24728	0.05518	0.85666	0.24617	0.055583	0.24884	0.27694	0.58664	0.62021	0.15282	0.042519	0.08544	0.21543	0.34581	0.12046	0.24369	0.22601	0.55372	0.14331	0.75384	0.0938	0.040267	0.071719	0.68827	0.086655	0.044638	0.1949	0.45196	0.046772	0.1161	0.08024	0.067069	0.36868	0.057361
Meth__cg08747377__CDH13	0.84043	0.06934	0.74837	0.049374	0.92247	0.4681	0.12101	0.41288	0.11414	0.25579	0.87201	0.47964	0.86648	0.086529	0.090335	0.25257	0.63041	0.086568	0.040247	0.54791	0.35258	0.26097	0.088503	0.52954	0.77283	0.66235	0.13385	0.044597	0.8117	0.25715	0.070342	0.064558	0.04898	0.79303	0.11553	0.088506	0.091841	0.20909	0.86347	0.062619
Meth__cg12370791__HOXB9	0.34479	0.028534	0.17302	0.037395	0.34969	0.1054	0.018361	0.26853	0.2003	0.024994	0.094058	0.093623	0.12933	0.27199	0.17406	0.18192	0.021081	0.13737	0.031686	0.29395	0.077256	0.90628	0.068207	0.20277	0.3862	0.035321	0.076574	0.023278	0.90602	0.046114	0.083138	0.023935	0.037506	0.031202	0.2992	0.048442	0.029315	0.10574	0.29423	0.031024
Meth__cg22228134__GZMH	0.51981	0.07767	0.84291	0.67675	0.10357	0.83465	0.078065	0.86484	0.095957	0.50326	0.5536	0.61277	0.53922	0.16153	0.089014	0.19466	0.13186	0.71209	0.098259	0.40918	0.48309	0.92366	0.094026	0.89279	0.13308	0.17355	0.14606	0.1	0.14939	0.086949	0.16146	0.11093	0.091229	0.63483	0.39152	0.14086	0.50077	0.50889	0.14205	0.44938
Meth__cg20555507__TRPM3	0.3123	0.057425	0.5755	0.11361	0.09597	0.24156	0.09502	0.90883	0.15849	0.071641	0.33544	0.24684	0.12987	0.063584	0.12943	0.089307	0.080128	0.075572	0.073314	0.091964	0.078435	0.13803	0.059293	0.57994	0.16434	0.088767	0.10473	0.053372	0.51356	0.25746	0.065849	0.080493	0.068712	0.31991	0.081314	0.20378	0.068939	0.083586	0.10706	0.068346
Meth__cg11618577__KRTCAP3	0.018845	0.56951	0.97246	0.84277	0.97121	0.015931	0.95152	0.027563	0.62178	0.32949	0.020156	0.46041	0.95464	0.78333	0.692	0.018964	0.97336	0.056379	0.97335	0.31636	0.22678	0.029379	0.9675	0.19384	0.94986	0.34096	0.024756	0.9743	0.039089	0.80668	0.60624	0.87465	0.96868	0.97415	0.97928	0.8934	0.97338	0.45358	0.064248	0.016067
Meth__cg04770504__DFNA5	0.52962	0.032854	0.92466	0.48612	0.030053	0.95623	0.015783	0.9483	0.067309	0.064716	0.052992	0.074781	0.75957	0.22073	0.12752	0.052437	0.044207	0.36641	0.072843	0.95092	0.93682	0.71317	0.042381	0.50592	0.083844	0.45295	0.13904	0.031199	0.92959	0.20119	0.073621	0.0367	0.036375	0.57557	0.95233	0.5694	0.049665	0.48783	0.91503	0.66278
Meth__cg27132814__C20orf79	0.51757	0.051434	0.79757	0.68384	0.051717	0.34161	0.21536	0.87841	0.89837	0.46006	0.25412	0.6612	0.3957	0.051443	0.79917	0.56897	0.25382	0.36356	0.044186	0.5387	0.57262	0.71461	0.069459	0.89586	0.066365	0.18178	0.10308	0.086715	0.2409	0.35931	0.087176	0.090596	0.086993	0.48375	0.23175	0.16645	0.34709	0.26514	0.35671	0.29013
