Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg22231902__EN1	0.8698	0.043482	0.041659	0.049351	0.03469	0.54509	0.579	0.041585	0.045316	0.090612	0.050513	0.075511	0.13618	0.11697	0.060529	0.048284	0.054639	0.084069	0.058403	0.53558	0.43904	0.058847	0.7386	0.25548	0.071909	0.46664	0.083229	0.051855	0.053697	0.04602	0.045964	0.033203	0.58992	0.54889	0.075334	0.49484	0.35782
Meth__cg19356189__KLK10	0.11129	0.082353	0.92857	0.41018	0.39302	0.11997	0.24895	0.34246	0.32816	0.078506	0.5566	0.91555	0.57589	0.071381	0.24072	0.68844	0.4355	0.30062	0.06801	0.18811	0.18347	0.22113	0.12476	0.41859	0.12415	0.20444	0.11531	0.24514	0.0795	0.10198	0.21146	0.44753	0.71902	0.13391	0.13097	0.15143	0.13023
Meth__cg18150721__EPHB1	0.5192	0.018546	0.92884	0.01784	0.017226	0.49313	0.78876	0.058051	0.018444	0.024528	0.048857	0.016938	0.1462	0.16503	0.015798	0.028236	0.04663	0.032465	0.026617	0.83986	0.7964	0.025457	0.32822	0.030933	0.017488	0.58942	0.027639	0.024223	0.41169	0.37549	0.018857	0.020384	0.27116	0.57818	0.030456	0.035024	0.15111
Meth__cg00651216__HSP90AB1	0.05165	0.063254	0.9036	0.37792	0.25791	0.8788	0.45155	0.58833	0.34771	0.25853	0.23263	0.90971	0.32777	0.038854	0.31024	0.26017	0.41064	0.42914	0.49139	0.34909	0.25878	0.42919	0.68549	0.14942	0.29603	0.15459	0.12561	0.26386	0.072957	0.10591	0.71347	0.35643	0.19423	0.089229	0.049258	0.16207	0.11802
Meth__cg24522076__MLLT7	0.4487	0.02465	0.038033	0.03023	0.03084	0.074347	0.027345	0.021836	0.39505	0.26231	0.031429	0.030792	0.044158	0.094771	0.34755	0.055666	0.38949	0.21236	0.023682	0.023885	0.028538	0.026516	0.15937	0.03257	0.090398	0.46346	0.049732	0.021684	0.035283	0.17668	0.025394	0.025887	0.26796	0.063271	0.039041	0.048988	0.026063
Meth__cg04988423__ALX4	0.97385	0.040697	0.060837	0.51842	0.19802	0.87028	0.97173	0.049397	0.044999	0.69622	0.36391	0.071565	0.95162	0.9109	0.036139	0.029216	0.033427	0.096943	0.02511	0.96372	0.73052	0.25007	0.92928	0.62036	0.42459	0.95464	0.074084	0.034995	0.068374	0.044516	0.030768	0.018957	0.97495	0.71283	0.03461	0.5645	0.51654
SNP__FLJ20433	0.003	-0.163	-3.396	0.153	0.184	0.228	0.458	0.184	0.151	0.274	0.007	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	-1.534	0.047	-0.158	-0.198	0.02	-0.131	-0.147	-0.054	0.292	-0.296	-0.066	0.024
Meth__cg18294257__SEC14L3	0.03484	0.017329	0.14826	0.60894	0.20212	0.02827	0.043394	0.39618	0.040652	0.035403	0.12446	0.81475	0.16975	0.02135	0.030321	0.081782	0.047993	0.093863	0.016935	0.19921	0.11077	0.03635	0.056557	0.040917	0.030803	0.055794	0.029602	0.021482	0.032206	0.010945	0.14905	0.020703	0.047182	0.049708	0.37924	0.052147	0.042684
Meth__cg16124337__UBE2J1	0.080895	0.14801	0.13841	0.085117	0.3382	0.35391	0.15084	0.064767	0.4703	0.56079	0.065873	0.057075	0.40439	0.12083	0.41476	0.077443	0.1667	0.12898	0.50848	0.079794	0.35953	0.06028	0.7158	0.095868	0.10852	0.11934	0.29128	0.048379	0.057097	0.58596	0.57498	0.044094	0.20048	0.15699	0.044728	0.05315	0.46699
Meth__cg27465566__TRIO	0.024397	0.27295	0.84884	0.83913	0.65135	0.48962	0.11579	0.48689	0.028903	0.047022	0.12145	0.42972	0.82892	0.028083	0.090203	0.36551	0.080993	0.34613	0.094946	0.32659	0.22242	0.025444	0.06595	0.039658	0.3364	0.052355	0.33801	0.038261	0.044263	0.28959	0.54768	0.57793	0.36802	0.026888	0.048818	0.36534	0.3877
Meth__cg19177941__ALDH1A3	0.65452	0.11564	0.04902	0.86285	0.7929	0.97054	0.86933	0.15491	0.041659	0.77254	0.9603	0.040326	0.043047	0.87113	0.052804	0.074262	0.087499	0.075738	0.088324	0.54452	0.69424	0.071282	0.81726	0.62711	0.4558	0.71795	0.099593	0.46801	0.055653	0.63404	0.085723	0.037034	0.6284	0.33599	0.064319	0.53313	0.82475
Meth__cg20485165__WFDC12	0.60352	0.02287	0.52462	0.6111	0.44386	0.37527	0.105	0.94379	0.81417	0.26209	0.30425	0.96059	0.79015	0.045389	0.66756	0.48654	0.69452	0.74849	0.02838	0.22083	0.40149	0.38833	0.13672	0.14014	0.045263	0.21203	0.040174	0.89291	0.44841	0.02996	0.70145	0.070541	0.10655	0.045424	0.3905	0.22681	0.22674
Meth__cg03764585__FMOD	0.18908	0.022032	0.87062	0.70248	0.83684	0.17043	0.57589	0.95883	0.59995	0.05106	0.56682	0.69654	0.75951	0.059159	0.46659	0.52228	0.85371	0.040591	0.067204	0.2558	0.24216	0.82781	0.16766	0.021908	0.041803	0.51499	0.035364	0.51495	0.099896	0.12847	0.84164	0.036503	0.67137	0.11143	0.8143	0.19564	0.27861
Meth__cg01772980__SCGB1D1	0.19055	0.092062	0.17848	0.32525	0.14298	0.10635	0.13618	0.93121	0.13212	0.11701	0.46145	0.20922	0.2689	0.096784	0.1169	0.18548	0.10391	0.11584	0.11272	0.12793	0.12902	0.098936	0.10273	0.12402	0.14667	0.12729	0.20718	0.094915	0.094516	0.10457	0.29014	0.080994	0.1236	0.098748	0.22613	0.15268	0.13376
Meth__cg07629017__NPBWR1	0.21412	0.026729	0.94435	0.70462	0.20359	0.24813	0.25824	0.92345	0.051172	0.082041	0.84587	0.60395	0.84297	0.16056	0.079695	0.72732	0.075414	0.54651	0.032906	0.35799	0.35577	0.30228	0.61655	0.28008	0.10044	0.4629	0.073766	0.23572	0.048801	0.043182	0.055567	0.050769	0.095186	0.1	0.68269	0.65619	0.31899
Meth__cg09009111__EMILIN2	0.95931	0.36212	0.77883	0.16975	0.6147	0.74647	0.97072	0.17908	0.062433	0.5822	0.81768	0.39096	0.90587	0.71407	0.061625	0.061221	0.10239	0.13354	0.034717	0.96889	0.97023	0.057141	0.84083	0.96074	0.11742	0.90885	0.42463	0.068822	0.11788	0.11449	0.041485	0.0459	0.90421	0.88097	0.65392	0.48216	0.54448
Meth__cg22424444__TOLLIP	0.10094	0.9322	0.059372	0.72383	0.27583	0.78316	0.23379	0.10221	0.76155	0.39618	0.061843	0.51628	0.77123	0.88917	0.61813	0.12382	0.10192	0.1663	0.080916	0.11346	0.08943	0.72343	0.8913	0.89195	0.1021	0.83568	0.81409	0.048869	0.066267	0.57236	0.084304	0.07687	0.10431	0.85661	0.34285	0.88931	0.90335
Meth__cg24599739__DDT	0.026185	0.55288	0.96762	0.97456	0.13907	0.031453	0.4202	0.97818	0.12049	0.96723	0.028793	0.04171	0.95969	0.53901	0.37469	0.96726	0.025299	0.26369	0.60455	0.64339	0.96772	0.55407	0.048058	0.035868	0.055177	0.047608	0.43616	0.86588	0.026071	0.020525	0.6929	0.59113	0.018443	0.058155	0.035451	0.56346	0.95016
Meth__cg19937039__SERPINA10	0.64774	0.042989	0.17923	0.78556	0.46636	0.098803	0.4085	0.93283	0.53037	0.14964	0.53551	0.44723	0.56938	0.060902	0.39371	0.36016	0.87777	0.12491	0.15	0.22955	0.20259	0.58863	0.11139	0.21542	0.11117	0.10148	0.08529	0.72054	0.066276	0.066321	0.4955	0.06967	0.33286	0.53932	0.67268	0.21574	0.14878
Meth__cg02452985__BCL11B	0.81308	0.027594	0.032549	0.046263	0.34472	0.72425	0.15759	0.032977	0.060864	0.67981	0.41718	0.022392	0.025311	0.096774	0.060287	0.017118	0.019093	0.069913	0.040412	0.019595	0.52589	0.023281	0.94083	0.022065	0.027068	0.97759	0.047302	0.015566	0.015846	0.033887	0.017209	0.020481	0.98635	0.62255	0.72156	0.021517	0.02365
Meth__cg06139836__EBF3	0.52184	0.039021	0.25049	0.07263	0.059202	0.84466	0.84846	0.16887	0.036056	0.62053	0.06288	0.12835	0.60702	0.2197	0.047723	0.041108	0.16567	0.11475	0.04273	0.64793	0.52613	0.041066	0.66854	0.46212	0.11467	0.77453	0.082158	0.038211	0.04557	0.31274	0.039935	0.041669	0.85535	0.061913	0.058442	0.045076	0.044779
Meth__cg04482110__TMEM106A	0.023432	0.020892	0.92402	0.88436	0.15311	0.42983	0.026189	0.023434	0.69268	0.043758	0.020037	0.59351	0.76231	0.054865	0.59189	0.28842	0.016406	0.061384	0.020044	0.041867	0.31156	0.52115	0.035968	0.026676	0.04387	0.079417	0.093327	0.46035	0.028636	0.038516	0.17213	0.036144	0.021297	0.053025	0.38923	0.16578	0.02283
Meth__cg20876010__CACHD1	0.084818	0.13883	0.20248	0.081795	0.1414	0.71565	0.079577	0.90715	0.1221	0.094518	0.70718	0.78667	0.32853	0.094255	0.15839	0.70968	0.24072	0.21864	0.11676	0.055412	0.07805	0.65817	0.19294	0.080567	0.11655	0.08649	0.12713	0.59703	0.069117	0.10954	0.56297	0.075446	0.063041	0.05982	0.10072	0.072739	0.10868
Meth__cg25760229__CACNA1H	0.085412	0.03915	0.062493	0.033431	0.018898	0.27515	0.65204	0.74331	0.048607	0.046763	0.035885	0.31532	0.14763	0.035017	0.043518	0.029519	0.096995	0.072011	0.034735	0.02147	0.052037	0.042051	0.83655	0.30336	0.056028	0.88799	0.051014	0.024172	0.11918	0.16351	0.024715	0.023616	0.028717	0.041694	0.03046	0.037889	0.031954
Meth__cg20546002__COL23A1	0.4165	0.060723	0.31175	0.055924	0.023072	0.40581	0.367	0.36102	0.029339	0.11232	0.048376	0.033957	0.069061	0.022627	0.026355	0.03099	0.038085	0.089779	0.082558	0.074449	0.16835	0.30114	0.63993	0.039544	0.062548	0.79768	0.097485	0.024693	0.10778	0.16722	0.037001	0.021872	0.77336	0.043984	0.02977	0.027064	0.042419
Meth__cg16924616__DLX5	0.56161	0.1086	0.92651	0.39425	0.14641	0.93601	0.95049	0.024187	0.032921	0.50429	0.031693	0.91253	0.13295	0.93903	0.051339	0.042455	0.036687	0.30841	0.031771	0.56542	0.54657	0.045858	0.89313	0.048207	0.73679	0.81025	0.78007	0.046199	0.10841	0.26663	0.040611	0.033293	0.95006	0.9066	0.055602	0.66985	0.39188
Meth__cg17345480__SPPL3	0.053196	0.078066	0.3816	0.11973	0.13251	0.085106	0.091727	0.066082	0.4749	0.080278	0.099898	0.48452	0.32185	0.070881	0.43245	0.11413	0.06606	0.25609	0.47561	0.071011	0.089898	0.115	0.12405	0.070458	0.093686	0.13637	0.16923	0.066223	0.060994	0.058386	0.24593	0.061561	0.076463	0.088125	0.096135	0.11241	0.10041
Meth__cg03998173__RHEB	0.048895	0.22675	0.05538	0.060176	0.036119	0.38593	0.23656	0.096819	0.061489	0.043316	0.046265	0.071217	0.12839	0.029476	0.038253	0.037719	0.047139	0.065615	0.033367	0.6314	0.56573	0.057387	0.14866	0.83685	0.11174	0.083929	0.1126	0.027059	0.029239	0.28881	0.039079	0.038971	0.082078	0.10491	0.054418	0.043655	0.069379
Meth__cg11919694__TBC1D10B	0.054432	0.19681	0.079274	0.23037	0.086619	0.10184	0.07043	0.1682	0.079721	0.068209	0.067573	0.50383	0.12022	0.083394	0.13173	0.17506	0.048568	0.094005	0.036889	0.091159	0.075892	0.24774	0.38322	0.093172	0.13425	0.11396	0.082599	0.37527	0.055081	0.043338	0.059824	0.10636	0.040114	0.13665	0.2852	0.11448	0.068568
Meth__cg11538128__ZNF354C	0.3411	0.039662	0.035596	0.42772	0.023673	0.026538	0.92049	0.29691	0.11088	0.042473	0.034506	0.022497	0.76748	0.12697	0.10655	0.028823	0.025579	0.081885	0.037631	0.24824	0.35578	0.035269	0.83853	0.85919	0.064036	0.087925	0.083617	0.032161	0.33072	0.069188	0.047755	0.023204	0.26094	0.043846	0.037876	0.033754	0.047652
Meth__cg07525077__RNASE3	0.25831	0.071873	0.62986	0.82477	0.49857	0.12416	0.19661	0.82432	0.81576	0.23729	0.53235	0.34012	0.27284	0.0867	0.63985	0.17081	0.14559	0.13533	0.14781	0.37266	0.1418	0.10877	0.11444	0.29505	0.12889	0.26944	0.12609	0.1002	0.10842	0.10534	0.88631	0.075937	0.07377	0.20824	0.09771	0.37215	0.1718
Meth__cg12022621__LAX1	0.55507	0.053922	0.75786	0.72904	0.68955	0.21567	0.23262	0.85927	0.28624	0.060584	0.44002	0.87858	0.24957	0.050997	0.25669	0.37301	0.43306	0.17233	0.045094	0.45105	0.66091	0.40309	0.15431	0.34435	0.075868	0.15989	0.076314	0.040784	0.058088	0.065385	0.51814	0.051656	0.12454	0.13661	0.75167	0.39242	0.17796
Meth__cg06812844__TRPM2	0.085813	0.042062	0.9471	0.8969	0.67133	0.36274	0.19353	0.86407	0.062407	0.91971	0.58295	0.64529	0.66667	0.046568	0.047086	0.52956	0.50677	0.21672	0.045547	0.047483	0.05077	0.5101	0.13783	0.63134	0.086588	0.11569	0.073354	0.253	0.056106	0.077585	0.57151	0.10511	0.49514	0.12346	0.83138	0.58717	0.33322
Meth__cg14601560__SCLY	0.094461	0.08518	0.14165	0.16414	0.080434	0.084485	0.096664	0.67811	0.082814	0.097187	0.11528	0.10229	0.14468	0.073566	0.10303	0.095025	0.09425	0.17969	0.11028	0.12511	0.09561	0.11154	0.10764	0.098058	0.11868	0.13529	0.12503	0.099448	0.092221	0.082875	0.093346	0.091927	0.088259	0.09594	0.084868	0.081757	0.091196
Meth__cg19391527__PNOC	0.14887	0.048461	0.60205	0.73781	0.35488	0.035851	0.19948	0.89399	0.39724	0.443	0.1034	0.45685	0.56831	0.06161	0.26554	0.22403	0.11284	0.19048	0.033827	0.26792	0.19855	0.31237	0.11577	0.16356	0.076018	0.11121	0.082147	0.045763	0.049613	0.045843	0.2461	0.11617	0.10822	0.1407	0.16497	0.07463	0.065023
Meth__cg10224037__ZNF354A	0.049034	0.028495	0.026305	0.041613	0.018603	0.030888	0.028474	0.025311	0.033538	0.027945	0.028469	0.019896	0.060125	0.026594	0.042888	0.030565	0.038384	0.05666	0.025153	0.022747	0.037529	0.029704	0.055442	0.031005	0.045923	0.045861	0.053777	0.026931	0.023416	0.50906	0.027089	0.021281	0.031583	0.090343	0.034715	0.027911	0.035505
Meth__cg13936125__GNAO1	0.099232	0.033322	0.042166	0.034261	0.02737	0.98173	0.04019	0.042185	0.037047	0.045018	0.10769	0.028251	0.062683	0.5823	0.032252	0.035792	0.02854	0.058338	0.037992	0.039332	0.060209	0.033241	0.53895	0.047045	0.042804	0.068071	0.045646	0.029419	0.030016	0.054924	0.028495	0.026743	0.026475	0.064807	0.037865	0.040787	0.04469
Meth__cg05940536__ACVR1B	0.092568	0.063952	0.53519	0.052368	0.053964	0.066556	0.076233	0.10468	0.080114	0.068455	0.10882	0.3054	0.22029	0.04196	0.081883	0.1047	0.076575	0.13893	0.090431	0.048262	0.074358	0.10108	0.13985	0.058107	0.15634	0.16008	0.076482	0.087938	0.084439	0.058226	0.25015	0.071174	0.061363	0.086528	0.077661	0.078665	0.084746
Meth__cg04981414__POMT1	0.066015	0.055713	0.91839	0.045001	0.060533	0.033255	0.073624	0.028208	0.038658	0.038381	0.053935	0.34071	0.08055	0.034878	0.27181	0.063082	0.034292	0.096239	0.067654	0.049546	0.058804	0.076159	0.093473	0.051315	0.092961	0.12238	0.056504	0.069866	0.040255	0.049775	0.12224	0.78253	0.052474	0.11788	0.10125	0.057357	0.073698
Meth__cg26516759__BMP7	0.54377	0.04131	0.048821	0.033763	0.024196	0.81919	0.15332	0.044237	0.066597	0.092884	0.10191	0.037619	0.23335	0.74379	0.05554	0.030405	0.031164	0.069931	0.029195	0.51389	0.44036	0.058903	0.88409	0.035779	0.066597	0.9014	0.050985	0.028257	0.041776	0.029442	0.026734	0.018844	0.39169	0.11496	0.099948	0.083409	0.046586
Meth__cg14213992__ZNF546	0.05307	0.67068	0.95232	0.3861	0.11903	0.053089	0.20379	0.69415	0.41284	0.19626	0.57793	0.82581	0.94354	0.12844	0.3317	0.1053	0.029592	0.229	0.36385	0.72909	0.61012	0.67828	0.063368	0.43093	0.063531	0.20218	0.36963	0.025049	0.03876	0.078144	0.6778	0.28293	0.067811	0.12878	0.046273	0.22025	0.21561
Meth__cg02071305__VPS18	0.084486	0.065683	0.59119	0.32971	0.18407	0.68737	0.080694	0.23347	0.26751	0.15766	0.35339	0.74601	0.36763	0.063488	0.21324	0.16549	0.093996	0.19113	0.10364	0.11258	0.19554	0.5693	0.27112	0.083451	0.088785	0.10745	0.14799	0.056451	0.12891	0.14015	0.29321	0.074974	0.069015	0.085536	0.22074	0.057622	0.051182
Meth__cg01962826__GRM4	0.089279	0.041097	0.47919	0.91302	0.85921	0.16539	0.36231	0.61775	0.066617	0.10677	0.56963	0.87606	0.67403	0.05137	0.28991	0.39556	0.3827	0.18528	0.032925	0.82683	0.49211	0.81244	0.55652	0.69927	0.16187	0.91452	0.096121	0.12707	0.12124	0.036327	0.83718	0.037829	0.76304	0.041152	0.87814	0.2542	0.050127
Meth__cg09044743__PANK4	0.05407	0.046202	0.13045	0.69989	0.70409	0.085507	0.064025	0.12681	0.057755	0.069729	0.16758	0.14104	0.14295	0.073099	0.081247	0.078209	0.07428	0.15611	0.047663	0.14571	0.30804	0.20263	0.073667	0.62169	0.08452	0.36285	0.1959	0.053698	0.042783	0.050547	0.096017	0.27602	0.043757	0.097832	0.095741	0.25782	0.087561
Meth__cg06812033__NKD1	0.079715	0.046651	0.060775	0.046272	0.040356	0.092438	0.56627	0.056944	0.049621	0.052797	0.042656	0.040571	0.10881	0.025661	0.037893	0.047355	0.051921	0.057282	0.04505	0.043014	0.055093	0.054889	0.83612	0.053151	0.052425	0.14321	0.10917	0.049981	0.061679	0.044389	0.029889	0.039672	0.025882	0.10217	0.048778	0.049826	0.051179
Meth__cg07908874__TUBGCP2	0.065288	0.074307	0.89045	0.49069	0.14346	0.89734	0.066634	0.64783	0.21378	0.079362	0.22934	0.66604	0.11107	0.045545	0.20721	0.11607	0.81098	0.11559	0.85596	0.16372	0.080597	0.8779	0.84344	0.083305	0.23253	0.072633	0.13885	0.42263	0.10951	0.86493	0.32626	0.063749	0.049729	0.074136	0.83956	0.064022	0.058976
Meth__cg26806924__PROCR	0.24564	0.03236	0.71153	0.83128	0.23269	0.49724	0.055518	0.36875	0.049159	0.083601	0.55505	0.60045	0.6279	0.037339	0.053615	0.20501	0.11699	0.052395	0.04257	0.065139	0.088622	0.077029	0.070325	0.36627	0.056208	0.22513	0.06391	0.29257	0.041366	0.033557	0.50268	0.10444	0.44366	0.061734	0.55302	0.3594	0.33958
Meth__cg11726593__IMPA1	0.43298	0.03894	0.92209	0.82356	0.50668	0.33685	0.042209	0.7904	0.76239	0.50204	0.56189	0.45207	0.2373	0.14512	0.5849	0.14347	0.11205	0.25258	0.37837	0.52689	0.31829	0.10711	0.12149	0.39156	0.11418	0.75873	0.096994	0.043647	0.049511	0.058703	0.32221	0.72797	0.40705	0.036789	0.31585	0.84287	0.3216
SNP__LOC644125	-1.687	-2.113	0.128	0.929	0.894	-1.571	-0.54	-1.657	0.909	-2.166	0.968	-1.62	-0.648	-1.946	0.364	0.146	-1.847	0.007	0.651	-2.228	-1.774	-1.502	0.922	-1.829	1.004	-0.051	-1.901	-1.977	0.021	-2.172	-1.48	-1.792	-0.348	-1.841	0.456	0.568	0.28
Meth__cg13797282__CARD10	0.14219	0.2719	0.073431	0.19278	0.059984	0.08425	0.093866	0.2263	0.4958	0.075215	0.079555	0.12621	0.082285	0.37054	0.45465	0.087782	0.13445	0.074271	0.056263	0.069648	0.17905	0.073544	0.10685	0.30859	0.078433	0.67464	0.12966	0.88728	0.057904	0.84594	0.040549	0.087533	0.4542	0.14079	0.083327	0.12356	0.06896
Meth__cg18555117__DDHD1	0.094536	0.089065	0.78227	0.52691	0.40008	0.6985	0.10845	0.083005	0.7439	0.065931	0.51025	0.44526	0.2897	0.15316	0.47291	0.099454	0.065421	0.49451	0.45317	0.16853	0.068907	0.32762	0.28706	0.081783	0.18104	0.18105	0.13339	0.097489	0.079931	0.43201	0.4124	0.15924	0.067898	0.25932	0.073226	0.11094	0.10917
Meth__cg18676679__BANP	0.047315	0.043622	0.027332	0.032203	0.055861	0.098136	0.046171	0.030761	0.042991	0.044334	0.040649	0.04045	0.072864	0.234	0.03304	0.033059	0.032317	0.033639	0.026013	0.039009	0.035645	0.049339	0.25117	0.36155	0.080698	0.059701	0.084036	0.024062	0.027124	0.038891	0.048277	0.028592	0.039014	0.097318	0.045418	0.04398	0.04522
Meth__cg18277754__ALK	0.92758	0.21382	0.9786	0.037579	0.03659	0.96318	0.95328	0.21953	0.16257	0.58937	0.56143	0.35639	0.056129	0.59867	0.13633	0.051845	0.11409	0.10548	0.47294	0.91696	0.95342	0.0386	0.85776	0.82031	0.096749	0.8833	0.54126	0.52852	0.034636	0.14901	0.030592	0.033582	0.032429	0.64462	0.4593	0.41061	0.39452
Meth__cg12629515__HIST1H2BO	0.095199	0.08997	0.53531	0.24938	0.25148	0.2817	0.26667	0.79658	0.10255	0.42968	0.15514	0.10375	0.39883	0.18275	0.092617	0.46033	0.057069	0.27624	0.80332	0.083422	0.095998	0.15017	0.20628	0.10935	0.14107	0.13099	0.14685	0.83318	0.079065	0.41481	0.59145	0.29143	0.13378	0.17471	0.16182	0.098686	0.10157
Meth__cg10084993__SLC9A3R2	0.086291	0.063291	0.86207	0.11748	0.11035	0.9141	0.10997	0.62646	0.18127	0.23786	0.49253	0.89558	0.68785	0.061791	0.18129	0.53254	0.2242	0.69926	0.11511	0.1275	0.097779	0.82418	0.13651	0.065763	0.094846	0.090305	0.076187	0.38633	0.082633	0.34674	0.093598	0.066262	0.13306	0.083039	0.10192	0.071443	0.10927
Meth__cg06123346__ATP4A	0.072149	0.042943	0.40531	0.57984	0.37544	0.08304	0.096061	0.4533	0.037512	0.13282	0.20349	0.57916	0.12375	0.021091	0.049899	0.41215	0.15139	0.054883	0.044314	0.4666	0.24426	0.11383	0.09273	0.089856	0.10716	0.069293	0.10134	0.093641	0.053729	0.054402	0.093918	0.039072	0.12284	0.12559	0.11846	0.097931	0.063226
Meth__cg24924779__KCNG1	0.45081	0.059255	0.53987	0.13994	0.076837	0.80165	0.4482	0.067664	0.055079	0.10756	0.076121	0.067438	0.28217	0.24394	0.053203	0.047206	0.39338	0.081816	0.10243	0.5414	0.64972	0.10991	0.89723	0.071283	0.11522	0.89282	0.087164	0.044417	0.08453	0.36938	0.085147	0.047252	0.57945	0.11175	0.1233	0.048887	0.039899
Meth__cg04141379__SPATA6	0.029775	0.010845	0.024602	0.012606	0.0071274	0.53341	0.020452	0.017312	0.010467	0.014545	0.015161	0.014884	0.016708	0.01402	0.010154	0.0081301	0.011663	0.022004	0.008299	0.011382	0.01668	0.0151	0.60113	0.017648	0.012103	0.016253	0.026512	0.0095958	0.012622	0.01051	0.0078617	0.012325	0.010117	0.021481	0.012076	0.012504	0.017457
