Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg22395192__FAM46B	0.033745	0.014457	0.029988	0.029255	0.038091	0.64786	0.037031	0.02666	0.74552	0.94312	0.73248	0.030323	0.062899	0.63381	0.18886	0.020231	0.07033	0.014318	0.01612	0.02674	0.016808	0.03557	0.027946	0.072052	0.02647	0.033237	0.046873	0.02886	0.020324	0.015937	0.019711	0.018172	0.01829	0.014911	0.14501	0.034105	0.032285	0.025133
Meth__cg04798796__GLUD1	0.023859	0.026342	0.039016	0.024596	0.020995	0.027341	0.033588	0.024972	0.025587	0.028259	0.041913	0.46866	0.057679	0.031064	0.028881	0.020984	0.060645	0.012379	0.024412	0.028291	0.026248	0.027089	0.020928	0.051619	0.036476	0.0407	0.043111	0.043552	0.023722	0.021987	0.017365	0.015203	0.035004	0.020866	0.038015	0.025588	0.036194	0.020878
Meth__cg12699145__TMC7	0.051617	0.25121	0.61773	0.13203	0.41216	0.055671	0.04003	0.036444	0.12127	0.17486	0.30163	0.13649	0.10587	0.13298	0.17488	0.034672	0.06049	0.033176	0.19466	0.21203	0.32427	0.074394	0.051954	0.05914	0.0396	0.047193	0.17996	0.46129	0.032917	0.046945	0.035523	0.0476	0.049774	0.018045	0.13473	0.11741	0.035791	0.025901
Meth__cg11289251__DUS2L	0.024765	0.028941	0.071812	0.021536	0.012375	0.07468	0.03366	0.024415	0.019996	0.02272	0.029052	0.0271	0.038154	0.024505	0.019895	0.027404	0.048463	0.039674	0.016998	0.034117	0.021863	0.033375	0.074462	0.41085	0.026707	0.068852	0.039739	0.043119	0.018227	0.015048	0.021753	0.016083	0.012446	0.017287	0.064573	0.024474	0.022054	0.019645
Meth__cg02040734__C10orf95	0.075347	0.092708	0.12382	0.06621	0.10615	0.15197	0.082854	0.053342	0.085056	0.083258	0.096177	0.63868	0.15197	0.097659	0.11672	0.094152	0.12345	0.84763	0.054973	0.072337	0.053768	0.91392	0.04151	0.63006	0.077568	0.11059	0.18066	0.20718	0.068053	0.056788	0.087614	0.058302	0.10348	0.040636	0.05385	0.08797	0.073704	0.087827
Meth__cg13425637__PRKCH	0.03834	0.028769	0.044671	0.034444	0.027399	0.03622	0.050501	0.024376	0.044669	0.034708	0.038388	0.035985	0.049985	0.036121	0.03495	0.02132	0.042239	0.51064	0.026305	0.030336	0.025484	0.033769	0.026257	0.17726	0.042403	0.041557	0.073948	0.052708	0.031196	0.020417	0.04483	0.025884	0.021364	0.031862	0.11704	0.030697	0.036659	0.032371
Meth__cg21178548__SAMD14	0.079662	0.14246	0.28604	0.034536	0.082963	0.33734	0.12859	0.047043	0.13561	0.093477	0.89944	0.22666	0.38579	0.13867	0.50537	0.077666	0.15909	0.10473	0.077859	0.097669	0.12513	0.15139	0.067645	0.14449	0.056934	0.20658	0.088875	0.27388	0.041549	0.05763	0.082631	0.19253	0.13627	0.17283	0.17849	0.13411	0.094266	0.068594
Meth__cg22778180__C12orf47	0.053871	0.045455	0.057627	0.035934	0.025819	0.049848	0.034565	0.037787	0.047791	0.031075	0.080688	0.063005	0.043207	0.068152	0.049459	0.035337	0.081095	0.038342	0.027642	0.057662	0.042713	0.046016	0.03391	0.29386	0.023227	0.041363	0.051769	0.069137	0.042469	0.043358	0.048437	0.023186	0.036061	0.040384	0.13033	0.040865	0.035444	0.042736
Meth__cg04531254__MGC17839	0.062457	0.40342	0.97429	0.082571	0.3108	0.036339	0.062253	0.020705	0.12165	0.042916	0.043602	0.11657	0.85374	0.6124	0.064507	0.05643	0.29659	0.61457	0.054337	0.059375	0.062689	0.043	0.066963	0.057952	0.052589	0.046269	0.074098	0.26842	0.051502	0.028778	0.034969	0.96844	0.071551	0.066856	0.053009	0.041937	0.61476	0.045794
Meth__cg09001953__FLJ11200	0.13447	0.087225	0.16818	0.28037	0.21544	0.80378	0.39969	0.11933	0.11739	0.20214	0.14454	0.50174	0.15507	0.12114	0.24425	0.38185	0.1083	0.14406	0.13254	0.22031	0.16632	0.086694	0.9429	0.83802	0.16003	0.21529	0.85072	0.195	0.078996	0.043611	0.13456	0.082	0.074598	0.14035	0.40528	0.60075	0.87112	0.36069
Meth__cg24337809__BTG2	0.041264	0.069823	0.28669	0.064126	0.35295	0.18297	0.048406	0.036626	0.034328	0.073229	0.09097	0.038194	0.065185	0.041632	0.047267	0.039353	0.065579	0.11074	0.027412	0.070998	0.045286	0.1077	0.032069	0.21798	0.050843	0.068406	0.095695	0.11375	0.031062	0.066137	0.030501	0.032888	0.089384	0.026377	0.17914	0.034037	0.037784	0.037423
Meth__cg11378686__ZNF318	0.22962	0.68681	0.83235	0.4956	0.42451	0.43086	0.40158	0.083969	0.52547	0.35266	0.037017	0.761	0.52044	0.43904	0.54251	0.053798	0.57077	0.049652	0.23742	0.11608	0.078757	0.20574	0.44457	0.14825	0.17593	0.083347	0.33563	0.73674	0.045788	0.047918	0.060734	0.18673	0.57186	0.32172	0.093169	0.37321	0.26407	0.43322
Meth__cg07490776__AP3M2	0.13121	0.028928	0.041295	0.025233	0.047764	0.97749	0.34079	0.035354	0.62184	0.12465	0.97582	0.12559	0.048759	0.57713	0.022007	0.021018	0.082204	0.033063	0.042901	0.037271	0.063324	0.029203	0.025785	0.060364	0.037897	0.060513	0.092068	0.042997	0.020377	0.019537	0.023175	0.026	0.032773	0.045541	0.15939	0.46899	0.10306	0.43794
Meth__cg21281001__CTSB	0.048632	0.050793	0.046536	0.039082	0.026724	0.027174	0.054599	0.024991	0.028582	0.025728	0.049883	0.039954	0.061958	0.030447	0.37687	0.029296	0.050308	0.016752	0.018783	0.043484	0.028649	0.032612	0.028846	0.065772	0.038313	0.057703	0.067728	0.041713	0.023941	0.026049	0.021621	0.024532	0.025211	0.022143	0.058985	0.028053	0.025126	0.036311
Meth__cg16215361__MUC15	0.073004	0.077845	0.9151	0.88359	0.22817	0.61096	0.54644	0.5408	0.079228	0.14892	0.092396	0.21675	0.39665	0.087187	0.15481	0.60497	0.16891	0.14778	0.73663	0.81442	0.76274	0.60935	0.30662	0.70944	0.88134	0.14021	0.73286	0.12737	0.66349	0.88304	0.86671	0.32741	0.055504	0.085907	0.23931	0.16504	0.17205	0.84978
Meth__cg15111734__C10orf13	0.088726	0.10114	0.40146	0.082844	0.068017	0.061832	0.095418	0.06648	0.097416	0.091534	0.53903	0.36323	0.15089	0.097575	0.10056	0.0819	0.25911	0.078069	0.06049	0.079692	0.084431	0.076323	0.073797	0.12113	0.066997	0.23184	0.23835	0.19082	0.080381	0.09174	0.095139	0.057476	0.075718	0.070985	0.11791	0.10275	0.080747	0.071155
Meth__cg20345978__HMGN2	0.12173	0.15066	0.042978	0.042516	0.033919	0.20824	0.032339	0.023586	0.044124	0.03418	0.047362	0.087187	0.17086	0.042413	0.036443	0.037671	0.043499	0.058213	0.027083	0.028948	0.040531	0.055993	0.035488	0.099765	0.033801	0.061507	0.041255	0.075551	0.0283	0.022559	0.059462	0.031586	0.025922	0.032951	0.043224	0.038028	0.036189	0.033727
Meth__cg11498740__MOAP1	0.047976	0.049228	0.062751	0.072508	0.081707	0.046765	0.057562	0.046047	0.074143	0.049708	0.059379	0.099683	0.10704	0.077345	0.049466	0.043377	0.11953	0.055062	0.066126	0.10063	0.041934	0.24319	0.1682	0.32403	0.057947	0.066824	0.11708	0.089974	0.039059	0.042731	0.045976	0.046498	0.033282	0.042946	0.10518	0.27981	0.04332	0.039011
Meth__cg25410279__DXS9879E	0.54843	0.039048	0.051876	0.55886	0.50933	0.50597	0.041525	0.40122	0.037896	0.92725	0.045936	0.061265	0.18803	0.042292	0.50739	0.93249	0.17415	0.036073	0.8229	0.052037	0.87516	0.65413	0.56284	0.078258	0.77889	0.057232	0.49149	0.080315	0.45545	0.074733	0.62606	0.038153	0.04676	0.30904	0.11074	0.63923	0.39055	0.083559
Meth__cg21509023__HBA2	0.57192	0.050908	0.20629	0.11737	0.32815	0.9579	0.58734	0.20677	0.049799	0.026026	0.55043	0.45699	0.41175	0.047095	0.3873	0.10218	0.11621	0.20707	0.47449	0.53105	0.43445	0.034606	0.53598	0.7914	0.30426	0.06973	0.60986	0.071148	0.037723	0.046011	0.07911	0.034061	0.026312	0.63263	0.054658	0.46448	0.13514	0.03918
Meth__cg01169726__DLX5	0.96128	0.030374	0.96789	0.50845	0.26026	0.94571	0.61766	0.070582	0.40429	0.070498	0.11493	0.63912	0.51239	0.33881	0.24832	0.15024	0.29706	0.35559	0.58171	0.91216	0.1299	0.06164	0.43304	0.91128	0.11245	0.052549	0.91812	0.11154	0.054232	0.058802	0.6086	0.12088	0.038669	0.83464	0.21306	0.54563	0.089958	0.13981
Meth__cg18273501__FAM26B	0.049582	0.045317	0.86736	0.10918	0.034184	0.8052	0.21469	0.034865	0.039578	0.042972	0.63049	0.3559	0.76174	0.20148	0.74436	0.050414	0.26157	0.038391	0.033766	0.049309	0.044556	0.1569	0.039305	0.76683	0.053818	0.05555	0.82157	0.13178	0.041952	0.03153	0.58419	0.03932	0.49452	0.043615	0.65162	0.040988	0.10422	0.046008
Meth__cg04542938__ATXN1	0.048142	0.035287	0.067935	0.05556	0.040923	0.34725	0.053504	0.049485	0.22328	0.041297	0.11035	0.032726	0.098345	0.20648	0.36239	0.043348	0.10998	0.039783	0.031513	0.055387	0.047619	0.051125	0.038182	0.096174	0.044261	0.057895	0.067918	0.092717	0.034341	0.033303	0.032329	0.04393	0.034808	0.031564	0.070836	0.047806	0.042995	0.044862
Meth__cg12998491__FAM78A	0.98474	0.44075	0.60105	0.63086	0.98719	0.98085	0.97513	0.35311	0.12518	0.45759	0.90345	0.039653	0.97501	0.098489	0.50134	0.027317	0.13122	0.97965	0.97928	0.98225	0.611	0.020669	0.98401	0.95712	0.02614	0.68789	0.95915	0.047645	0.026514	0.022816	0.90417	0.013612	0.013873	0.87489	0.97039	0.10811	0.054665	0.56508
Meth__cg07965714__XPA	0.032411	0.032617	0.38376	0.024462	0.026172	0.024547	0.039557	0.025271	0.030166	0.029391	0.036857	0.0287	0.029155	0.025996	0.026401	0.021912	0.055108	0.032941	0.024924	0.03228	0.030833	0.021659	0.026099	0.037276	0.046553	0.076617	0.087023	0.051613	0.021254	0.022843	0.023968	0.019979	0.032435	0.044268	0.12081	0.041229	0.043969	0.027957
Meth__cg17051321__BNC1	0.45085	0.39084	0.92526	0.17565	0.10929	0.62397	0.89172	0.44196	0.52343	0.35057	0.29887	0.0709	0.9143	0.39755	0.74781	0.059286	0.11766	0.4834	0.36821	0.41297	0.50976	0.06867	0.58107	0.87146	0.5197	0.10076	0.79931	0.12124	0.4026	0.044778	0.054929	0.047233	0.087025	0.8755	0.3858	0.19108	0.38141	0.44092
Meth__cg21321735__KIF1A	0.56649	0.027512	0.97755	0.03392	0.56874	0.66202	0.62569	0.022091	0.018764	0.16008	0.86496	0.49355	0.90019	0.027198	0.22757	0.032286	0.079988	0.54313	0.97892	0.97765	0.12659	0.53434	0.71062	0.92732	0.35207	0.049034	0.94517	0.048737	0.027331	0.053535	0.48833	0.020385	0.015196	0.49685	0.84704	0.95667	0.29164	0.17646
Meth__cg06812977__C10orf59	0.48059	0.076338	0.093312	0.90832	0.079474	0.91537	0.098891	0.093702	0.05709	0.74036	0.58514	0.087912	0.85275	0.067054	0.07802	0.080269	0.12777	0.056751	0.087305	0.08944	0.8976	0.44081	0.08296	0.1365	0.5416	0.099472	0.15689	0.14317	0.35217	0.63883	0.21128	0.13183	0.080807	0.89671	0.25909	0.10103	0.24205	0.57514
Meth__cg01441777__CSNK1E	0.049018	0.034017	0.049352	0.040462	0.059435	0.80193	0.041911	0.031632	0.15303	0.044027	0.028713	0.059196	0.077288	0.11847	0.034307	0.041043	0.050495	0.026065	0.042086	0.054562	0.035325	0.049804	0.028794	0.096965	0.033951	0.046476	0.042671	0.040262	0.029514	0.037293	0.04816	0.020514	0.023301	0.025538	0.079731	0.053349	0.057198	0.033482
Meth__cg13818573__C1QL1	0.48406	0.053936	0.86073	0.1276	0.14231	0.61055	0.69101	0.1242	0.16364	0.45779	0.84935	0.3167	0.50043	0.15088	0.10695	0.050901	0.08159	0.55814	0.7573	0.3698	0.15356	0.075098	0.86533	0.94317	0.055571	0.076274	0.7955	0.053937	0.07669	0.10094	0.075282	0.040175	0.055422	0.91836	0.22889	0.77989	0.44425	0.59552
Meth__cg13814950__DAPK1	0.44082	0.081718	0.87039	0.075342	0.28866	0.13524	0.82032	0.046157	0.044666	0.070341	0.08925	0.10895	0.11136	0.060428	0.049418	0.0393	0.14594	0.47768	0.63092	0.69178	0.053524	0.062792	0.046968	0.81339	0.06233	0.49021	0.12374	0.068366	0.056622	0.040281	0.078646	0.045294	0.052407	0.060172	0.086285	0.4763	0.053179	0.050737
Meth__cg05229898__EGR1	0.03157	0.027995	0.033469	0.026349	0.023271	0.033355	0.030329	0.036658	0.03166	0.025274	0.039819	0.049428	0.062384	0.034357	0.039415	0.025114	0.049668	0.036356	0.021797	0.03509	0.027781	0.032517	0.030825	0.36262	0.033436	0.039296	0.047283	0.10165	0.02739	0.024556	0.033548	0.027597	0.024277	0.019042	0.039113	0.040493	0.029585	0.035093
Meth__cg08186362__HRH3	0.48599	0.14512	0.70769	0.1186	0.02468	0.545	0.60828	0.11036	0.21151	0.09919	0.83759	0.12734	0.45244	0.16128	0.041517	0.30922	0.12584	0.79105	0.53797	0.5471	0.025727	0.055153	0.68205	0.9458	0.038882	0.074102	0.95076	0.058024	0.028448	0.21889	0.18424	0.033657	0.02318	0.45022	0.054632	0.16787	0.060838	0.043115
Meth__cg00096922__DLX5	0.30221	0.057017	0.2724	0.055451	0.030236	0.32999	0.30697	0.059143	0.058187	0.048798	0.047004	0.65195	0.071389	0.035272	0.046404	0.034129	0.17173	0.046309	0.0255	0.17677	0.12177	0.043787	0.11942	0.77153	0.065611	0.11387	0.62253	0.19287	0.045366	0.038395	0.052008	0.043959	0.047108	0.57231	0.16577	0.06333	0.068547	0.046815
Meth__cg23855392__MTHFS	0.090665	0.12493	0.11197	0.062269	0.11769	0.56992	0.079262	0.068198	0.092796	0.092167	0.047649	0.088444	0.51334	0.30813	0.76402	0.050272	0.09323	0.36199	0.072805	0.061341	0.083944	0.06724	0.064124	0.54134	0.053865	0.11579	0.38145	0.12204	0.087233	0.038595	0.13765	0.075167	0.046102	0.068135	0.3394	0.044564	0.077049	0.080791
Meth__cg22571217__DAPK1	0.27977	0.081953	0.71029	0.078159	0.1872	0.092441	0.79084	0.054684	0.048756	0.063623	0.057939	0.057002	0.091208	0.077244	0.055962	0.045023	0.095824	0.24183	0.76575	0.6644	0.056929	0.063875	0.044116	0.66255	0.054923	0.37801	0.15678	0.1094	0.047364	0.035006	0.046276	0.036145	0.047098	0.068969	0.048199	0.40344	0.060966	0.054797
Meth__cg08578641__DNAI1	0.066667	0.78667	0.82294	0.41375	0.39184	0.096504	0.9083	0.94813	0.92661	0.085099	0.041338	0.68698	0.30984	0.60966	0.19897	0.047634	0.12706	0.043075	0.26494	0.16153	0.049274	0.064868	0.51796	0.070178	0.045331	0.11979	0.87333	0.34881	0.9037	0.039654	0.043371	0.041543	0.52873	0.043851	0.14312	0.07942	0.059715	0.059129
Meth__cg26200580__KIAA1838	0.088349	0.54121	0.60086	0.10625	0.0441	0.5301	0.86562	0.10794	0.22641	0.055723	0.26368	0.2079	0.81616	0.201	0.054144	0.043291	0.10467	0.23635	0.19128	0.35072	0.10863	0.21609	0.18119	0.67654	0.36068	0.034126	0.47975	0.21631	0.044099	0.045766	0.8795	0.10396	0.071646	0.093177	0.16925	0.084289	0.20762	0.18507
