Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg22385764__ASB8	0.49647	0.041256	0.089747	0.072231	0.050955	0.050392	0.039274	0.043462	0.073846	0.077239	0.10488	0.066422	0.40297	0.026359	0.089893	0.067044	0.035499	0.13568	0.051764	0.033083	0.053638	0.045827	0.095068	0.034967	0.033898	0.0762	0.048723	0.048439	0.13734	0.05237	0.055095	0.048468	0.36541	0.26932	0.23601	0.064382	0.053297
Meth__cg04587910__XLF	0.085734	0.093994	0.30344	0.88615	0.52254	0.20184	0.098016	0.29362	0.14955	0.59306	0.086053	0.2271	0.14772	0.070307	0.14625	0.15825	0.27744	0.47459	0.072812	0.11138	0.10259	0.15275	0.15854	0.11287	0.65245	0.1311	0.14194	0.07394	0.10001	0.080516	0.11413	0.40385	0.15458	0.11343	0.47041	0.10235	0.11069
Meth__cg03623878__MCF2L	0.019556	0.025632	0.03543	0.030514	0.019958	0.45834	0.031095	0.13625	0.020123	0.031796	0.04279	0.089331	0.09388	0.016615	0.027527	0.20627	0.75725	0.038929	0.016696	0.020634	0.044224	0.59501	0.048839	0.033462	0.043776	0.062828	0.02081	0.23603	0.081245	0.02306	0.022266	0.018268	0.025015	0.10253	0.057276	0.0278	0.044804
Meth__cg00019495__HOP	0.065804	0.054208	0.069195	0.076923	0.053654	0.77097	0.053447	0.40221	0.078713	0.085434	0.83632	0.094268	0.1004	0.036578	0.064161	0.76049	0.80696	0.12057	0.15878	0.046522	0.063906	0.4149	0.82704	0.063696	0.08346	0.10296	0.06139	0.085053	0.12873	0.80788	0.08619	0.035855	0.13704	0.2076	0.083678	0.042567	0.046419
Meth__cg18239253__DEFB32	0.060377	0.034154	0.84487	0.045063	0.034655	0.53082	0.048587	0.88952	0.51576	0.094085	0.77554	0.28682	0.58762	0.029851	0.37034	0.83556	0.90843	0.10023	0.037838	0.056621	0.071396	0.079314	0.51251	0.06768	0.10135	0.071702	0.050897	0.49939	0.15518	0.069534	0.30356	0.036648	0.049831	0.099953	0.040135	0.071488	0.063272
Meth__cg07408456__PGLYRP2	0.11653	0.1311	0.1208	0.38421	0.08599	0.38808	0.10958	0.51999	0.14619	0.10763	0.17157	0.40725	0.20876	0.070583	0.15259	0.42416	0.33765	0.12888	0.080959	0.10753	0.14015	0.64408	0.22089	0.12713	0.13169	0.30977	0.25599	0.10355	0.13753	0.10761	0.29092	0.14434	0.28326	0.15425	0.12158	0.1036	0.11027
Meth__cg05428978__CDCA7	0.026622	0.019869	0.034106	0.023501	0.020492	0.023202	0.035263	0.033876	0.025607	0.028696	0.026232	0.074813	0.043221	0.043565	0.024832	0.025461	0.022094	0.050775	0.030898	0.63199	0.41873	0.019679	0.055343	0.21545	0.039673	0.040179	0.042627	0.022606	0.016504	0.021857	0.021739	0.019122	0.01697	0.43907	0.035491	0.4236	0.032318
Meth__cg06204948__MARK2	0.045564	0.16604	0.0551	0.90187	0.86346	0.90446	0.88871	0.038413	0.039843	0.11948	0.035128	0.048983	0.076908	0.92904	0.038842	0.03926	0.040698	0.077037	0.88635	0.90512	0.49481	0.89828	0.88252	0.75079	0.8443	0.86081	0.64373	0.56039	0.032783	0.65773	0.88966	0.1161	0.080204	0.22722	0.87256	0.70239	0.8703
Meth__cg00002426__SLMAP	0.067202	0.056657	0.057735	0.22468	0.36535	0.038872	0.14852	0.063399	0.08233	0.098221	0.094675	0.054976	0.057546	0.90656	0.17127	0.064319	0.062067	0.066066	0.54875	0.84705	0.088564	0.18975	0.073475	0.18956	0.047982	0.12424	0.12973	0.90957	0.052474	0.045397	0.64229	0.046751	0.061264	0.77762	0.89998	0.098025	0.09051
Meth__cg02334775__ISG20	0.042151	0.028441	0.32816	0.049459	0.045846	0.93897	0.03898	0.096791	0.38719	0.053914	0.87268	0.38495	0.094983	0.033055	0.30749	0.070807	0.080655	0.075539	0.04414	0.029292	0.0368	0.27801	0.78524	0.045113	0.068625	0.088208	0.050047	0.16537	0.16942	0.12304	0.03088	0.032684	0.030822	0.09307	0.042255	0.043432	0.047225
Meth__cg10988561__PDCD6	0.082511	0.033413	0.18797	0.034214	0.072163	0.22035	0.053402	0.21648	0.03508	0.10277	0.16762	0.20763	0.29679	0.048937	0.046619	0.080399	0.17869	0.073962	0.023484	0.030593	0.033327	0.10836	0.37	0.036137	0.049033	0.10683	0.048487	0.038807	0.062873	0.068304	0.082983	0.023571	0.12372	0.059969	0.056135	0.053967	0.048797
Meth__cg26702254__KCND2	0.053739	0.040306	0.52566	0.050663	0.038274	0.12732	0.043002	0.70078	0.042134	0.062133	0.071694	0.31949	0.13171	0.032707	0.09052	0.056328	0.10403	0.10113	0.037865	0.05943	0.087997	0.052024	0.38315	0.06542	0.088767	0.069899	0.039133	0.059668	0.039231	0.07319	0.046278	0.050859	0.52019	0.057902	0.12431	0.053417	0.060935
Meth__cg03602500__FLJ00060	0.11584	0.05722	0.11318	0.072757	0.062924	0.12062	0.094706	0.40187	0.04751	0.071063	0.41951	0.6293	0.27524	0.035201	0.048066	0.098106	0.2786	0.16778	0.0477	0.067395	0.11796	0.065254	0.23515	0.060248	0.10756	0.11128	0.069715	0.066575	0.079573	0.070224	0.050231	0.043165	0.13724	0.10147	0.10284	0.059836	0.06868
Meth__cg23055678__IL1RAPL2	0.26857	0.052263	0.073571	0.063446	0.063097	0.48399	0.059453	0.11636	0.17396	0.047069	0.78155	0.080214	0.086605	0.045573	0.16096	0.17702	0.17818	0.11499	0.04654	0.055978	0.057907	0.11715	0.26829	0.058498	0.1155	0.14515	0.07202	0.069614	0.057326	0.14307	0.062972	0.041428	0.23192	0.10003	0.48855	0.091326	0.054432
Meth__cg03616357__FLJ21159	0.027887	0.037477	0.23938	0.48371	0.036903	0.9603	0.035367	0.041441	0.040251	0.036278	0.060852	0.10228	0.51391	0.025904	0.10383	0.054112	0.037662	0.17771	0.027438	0.030383	0.038665	0.037138	0.082151	0.031546	0.094876	0.11104	0.068375	0.029878	0.029022	0.031174	0.032162	0.034401	0.039035	0.054751	0.045369	0.035517	0.033235
Meth__cg16852892__MMP16	0.058105	0.01336	0.19439	0.026514	0.02313	0.028711	0.025643	0.032231	0.027376	0.0234	0.1916	0.043585	0.057017	0.020311	0.025478	0.041599	0.028796	0.025142	0.016062	0.015227	0.027015	0.032646	0.25877	0.031166	0.067775	0.059191	0.022528	0.030146	0.021413	0.033652	0.032203	0.020335	0.050354	0.060531	0.026856	0.027701	0.028672
Meth__cg02275294__SOAT1	0.18572	0.20036	0.84685	0.046988	0.025009	0.06067	0.023731	0.86618	0.047688	0.035039	0.76254	0.28239	0.80829	0.026303	0.042114	0.74322	0.59172	0.087812	0.035246	0.033738	0.028062	0.04167	0.05145	0.03059	0.039302	0.033721	0.057858	0.039448	0.28378	0.076616	0.36252	0.12424	0.38249	0.053059	0.047422	0.12034	0.089245
Meth__cg20695587__TMPRSS11F	0.20238	0.12043	0.11328	0.11858	0.096742	0.16994	0.09214	0.57139	0.51044	0.12716	0.69178	0.22125	0.11706	0.086827	0.37464	0.80109	0.86621	0.21065	0.10669	0.097585	0.098436	0.52217	0.76667	0.10025	0.17517	0.15465	0.1725	0.66442	0.12962	0.18842	0.097376	0.086231	0.20968	0.17548	0.12786	0.138	0.093188
Meth__cg14696870__FCER1A	0.84932	0.072295	0.06972	0.1631	0.051587	0.7764	0.067189	0.78719	0.56573	0.094385	0.1002	0.12744	0.85993	0.038524	0.46174	0.45032	0.24562	0.1354	0.093127	0.062659	0.10563	0.082968	0.82945	0.086669	0.11971	0.11298	0.088255	0.05049	0.82795	0.87364	0.29976	0.066452	0.0984	0.12665	0.10313	0.19617	0.21701
Meth__cg23790767__ELL3	0.037272	0.023509	0.032424	0.027109	0.02703	0.026418	0.03091	0.02297	0.041944	0.035992	0.031014	0.034039	0.039937	0.016911	0.032615	0.029144	0.026189	0.068391	0.023874	0.024385	0.03313	0.28487	0.1369	0.032422	0.059324	0.04923	0.026528	0.034926	0.024233	0.025498	0.033694	0.018552	0.025502	0.11198	0.044117	0.022946	0.031864
Meth__cg23037133__OXGR1	0.076848	0.097075	0.57171	0.35559	0.080085	0.49557	0.10015	0.39808	0.065863	0.067933	0.079471	0.29111	0.84642	0.075935	0.08382	0.87757	0.14008	0.15552	0.070799	0.071469	0.068774	0.3135	0.88937	0.075605	0.11918	0.095661	0.087628	0.07988	0.50485	0.13518	0.078424	0.077087	0.34081	0.11014	0.073779	0.070217	0.74935
Meth__cg04826883__CA12	0.053487	0.044893	0.91769	0.073327	0.055443	0.28764	0.060846	0.48451	0.049541	0.057845	0.2047	0.13567	0.55145	0.038481	0.059812	0.41783	0.05145	0.094176	0.041344	0.037237	0.055542	0.20079	0.10799	0.050012	0.13854	0.10267	0.077658	0.055097	0.059144	0.0443	0.11477	0.045013	0.15049	0.08716	0.046126	0.051772	0.043272
Meth__cg22108265__RAB6A	0.025171	0.036995	0.19513	0.034272	0.046597	0.071037	0.036357	0.20925	0.13056	0.031845	0.11809	0.082017	0.11758	0.036997	0.12247	0.040236	0.059419	0.073281	0.020313	0.023022	0.035002	0.043458	0.12372	0.026562	0.053311	0.22176	0.052451	0.039407	0.039663	0.035261	0.13226	0.02569	0.052382	0.043571	0.03414	0.034894	0.035984
Meth__cg07141002__H1F0	0.069085	0.063198	0.12272	0.28667	0.068176	0.74185	0.19321	0.11178	0.78442	0.07772	0.4004	0.91041	0.82011	0.037489	0.7069	0.67905	0.25618	0.049072	0.036808	0.054973	0.077499	0.92672	0.1156	0.059791	0.40196	0.12487	0.34537	0.50288	0.91821	0.81068	0.56917	0.046206	0.043365	0.17781	0.83895	0.064607	0.065383
Meth__cg03003745__UNQ473	0.023829	0.021727	0.24205	0.03205	0.024317	0.76967	0.032516	0.94579	0.87651	0.028213	0.33372	0.36855	0.11754	0.015164	0.62171	0.24389	0.92538	0.28638	0.020053	0.022614	0.023669	0.83669	0.10883	0.025744	0.030464	0.069658	0.10154	0.58374	0.10797	0.067347	0.027108	0.018647	0.049721	0.12986	0.020689	0.024956	0.018402
Meth__cg09818732__FLJ20489	0.02806	0.017138	0.076923	0.037056	0.037984	0.58179	0.031083	0.13142	0.063002	0.037696	0.063854	0.22171	0.25541	0.020774	0.046568	0.051205	0.095746	0.068301	0.020227	0.022965	0.032293	0.20839	0.11189	0.038082	0.036495	0.051163	0.041563	0.02249	0.27622	0.071662	0.051277	0.027778	0.030331	0.035091	0.025479	0.034151	0.035593
Meth__cg10084993__SLC9A3R2	0.086291	0.063291	0.86207	0.11748	0.11035	0.9141	0.10997	0.62646	0.18127	0.23786	0.49253	0.89558	0.68785	0.061791	0.18129	0.53254	0.2242	0.69926	0.11511	0.1275	0.097779	0.82418	0.13651	0.065763	0.094846	0.090305	0.076187	0.38633	0.082633	0.34674	0.093598	0.066262	0.13306	0.083039	0.10192	0.071443	0.10927
Meth__cg07441272__RPL39L	0.042224	0.033307	0.044468	0.043366	0.53714	0.039679	0.045926	0.046928	0.047607	0.03887	0.048469	0.019696	0.064851	0.61106	0.052705	0.037108	0.032084	0.081814	0.055742	0.50935	0.54759	0.041652	0.060393	0.6933	0.075626	0.92816	0.060886	0.036279	0.037798	0.044385	0.038941	0.4771	0.022741	0.21115	0.040636	0.9393	0.9303
Meth__cg05215575__FLJ25410	0.034379	0.032988	0.60775	0.038619	0.023176	0.83166	0.035623	0.92576	0.88725	0.029324	0.75914	0.85146	0.41107	0.028859	0.5948	0.58972	0.93361	0.44368	0.045638	0.033524	0.027996	0.85727	0.072207	0.026062	0.10471	0.060245	0.046246	0.62613	0.36891	0.23519	0.06065	0.036967	0.09767	0.18883	0.031693	0.039973	0.027926
Meth__cg19963797__GLT28D1	0.039963	0.026423	0.028023	0.046532	0.56138	0.030446	0.042169	0.75291	0.47755	0.80261	0.026449	0.044051	0.052625	0.020391	0.40578	0.60769	0.71629	0.32057	0.02681	0.020911	0.049884	0.067835	0.058102	0.04879	0.53207	0.56054	0.035501	0.73186	0.028166	0.6609	0.028369	0.02058	0.51646	0.078285	0.022337	0.029715	0.033673
Meth__cg05019001__AR	0.56703	0.041695	0.10426	0.047653	0.18276	0.033377	0.041115	0.97755	0.30033	0.076123	0.97909	0.94776	0.045564	0.028564	0.25521	0.95135	0.72618	0.20724	0.037655	0.063451	0.057139	0.11167	0.94506	0.049561	0.076792	0.35048	0.063699	0.16346	0.15068	0.22566	0.026869	0.033389	0.86384	0.09068	0.41686	0.15553	0.048337
Meth__cg05621401__RET	0.071251	0.067762	0.09261	0.045105	0.9362	0.8755	0.071494	0.31809	0.044376	0.97801	0.49979	0.82926	0.97039	0.028497	0.040055	0.050204	0.19726	0.077992	0.036639	0.048155	0.034938	0.16556	0.91516	0.048311	0.07058	0.092155	0.050925	0.048221	0.03728	0.034182	0.096162	0.054113	0.89685	0.070896	0.083552	0.051518	0.20906
Meth__cg10334385__FLJ25143	0.054465	0.041529	0.3056	0.19631	0.11734	0.15312	0.066189	0.067143	0.05887	0.091413	0.65056	0.12335	0.11695	0.04377	0.068849	0.059345	0.10228	0.11912	0.072413	0.063988	0.065486	0.069517	0.10853	0.054522	0.10444	0.25763	0.091154	0.058495	0.083418	0.099745	0.10179	0.082429	0.11171	0.09208	0.28828	0.060171	0.061493
Meth__cg12356261__NES	0.054918	0.052309	0.75496	0.20091	0.15627	0.52144	0.1757	0.66815	0.26774	0.38804	0.1365	0.64485	0.75319	0.051193	0.23699	0.72665	0.76091	0.10364	0.13266	0.039576	0.063755	0.76753	0.059235	0.038673	0.078858	0.083031	0.07495	0.049182	0.29523	0.59285	0.24599	0.046712	0.49895	0.074279	0.044908	0.060586	0.33501
Meth__cg15307169__FLJ33718	0.073548	0.050877	0.5105	0.051239	0.070941	0.69106	0.060061	0.09695	0.042059	0.063531	0.89869	0.057389	0.59809	0.034791	0.043969	0.89608	0.060712	0.13345	0.046469	0.038531	0.064771	0.61595	0.1383	0.047383	0.10307	0.33753	0.10192	0.091706	0.052589	0.057061	0.67656	0.030129	0.039901	0.12464	0.054895	0.048448	0.055858
Meth__cg07780118__AR	0.56814	0.069545	0.16492	0.065229	0.15212	0.063224	0.057916	0.89651	0.098023	0.084843	0.9078	0.90936	0.067031	0.053236	0.10765	0.84324	0.63073	0.28426	0.057485	0.058025	0.050504	0.14839	0.83944	0.048601	0.14541	0.4298	0.085923	0.58034	0.14375	0.16413	0.053022	0.057823	0.73172	0.080478	0.49654	0.38091	0.056126
Meth__cg15357945__PRG2	0.12219	0.035874	0.58889	0.097261	0.28883	0.048279	0.083054	0.18664	0.09019	0.11543	0.089928	0.45461	0.12962	0.02192	0.068259	0.10195	0.30391	0.12841	0.043511	0.062647	0.12746	0.065085	0.15197	0.085994	0.054183	0.21283	0.076101	0.055269	0.27729	0.074179	0.085242	0.053379	0.081976	0.11866	0.12101	0.086388	0.11485
Meth__cg21602520__BCL2	0.046958	0.077954	0.94727	0.24149	0.33085	0.96633	0.066128	0.26622	0.86556	0.044701	0.94333	0.93871	0.94708	0.49335	0.75933	0.92554	0.92762	0.74503	0.57908	0.038538	0.046838	0.96319	0.94754	0.060168	0.083088	0.91319	0.069498	0.45537	0.93335	0.96885	0.8838	0.87083	0.95928	0.57398	0.57608	0.082738	0.047451
Meth__cg26141626__GPR37	0.069955	0.074232	0.071011	0.069868	0.069555	0.61884	0.070005	0.073705	0.064394	0.084154	0.077871	0.066516	0.48326	0.063283	0.074726	0.067755	0.098354	0.079782	0.066261	0.06307	0.068803	0.098071	0.12615	0.058821	0.10636	0.12758	0.1105	0.076705	0.081172	0.091526	0.073667	0.074465	0.070149	0.072218	0.072787	0.067687	0.069336
Meth__cg14600885__MYOZ3	0.081972	0.04351	0.45706	0.11638	0.056446	0.30344	0.064094	0.42738	0.11147	0.085207	0.10515	0.23819	0.19211	0.04738	0.10451	0.1583	0.23553	0.3804	0.076779	0.10419	0.10085	0.31218	0.10442	0.096931	0.095183	0.10913	0.089987	0.080486	0.10332	0.098311	0.086674	0.075997	0.092634	0.096278	0.082415	0.073734	0.093422
Meth__cg03454353__ZFP37	0.62921	0.079996	0.24455	0.86992	0.041185	0.072726	0.67277	0.06032	0.098546	0.071613	0.063459	0.075107	0.4643	0.73365	0.06488	0.060075	0.050706	0.13999	0.074633	0.40744	0.37666	0.2108	0.4564	0.50394	0.071376	0.23802	0.11267	0.06572	0.2881	0.12442	0.079916	0.055196	0.2556	0.074433	0.08356	0.59934	0.33526
Meth__cg02071305__VPS18	0.084486	0.065683	0.59119	0.32971	0.18407	0.68737	0.080694	0.23347	0.26751	0.15766	0.35339	0.74601	0.36763	0.063488	0.21324	0.16549	0.093996	0.19113	0.10364	0.11258	0.19554	0.5693	0.27112	0.083451	0.088785	0.10745	0.14799	0.056451	0.12891	0.14015	0.29321	0.074974	0.069015	0.085536	0.22074	0.057622	0.051182
Meth__cg25072962__MGC35295	0.20874	0.051257	0.48892	0.75976	0.069154	0.26966	0.18006	0.8811	0.40239	0.07448	0.37275	0.16182	0.20516	0.03506	0.3463	0.22709	0.37193	0.24171	0.047082	0.054	0.07149	0.12652	0.11116	0.083804	0.15752	0.31163	0.12887	0.075371	0.16789	0.056421	0.47906	0.061649	0.23765	0.16828	0.090429	0.1002	0.088808
Meth__cg12647643__PTPN13	0.0531	0.047747	0.069516	0.07989	0.048752	0.43401	0.068605	0.045576	0.26316	0.074665	0.066305	0.11209	0.55318	0.040868	0.23642	0.18649	0.050523	0.62245	0.041821	0.048237	0.059989	0.065093	0.12052	0.10098	0.16806	0.15831	0.054933	0.033382	0.15846	0.078338	0.1052	0.13187	0.07119	0.14061	0.067448	0.062278	0.13702
Meth__cg26390526__FLG	0.8772	0.042521	0.30388	0.85113	0.47975	0.066208	0.29524	0.66625	0.37721	0.23887	0.1566	0.68885	0.54787	0.045537	0.36217	0.20101	0.63357	0.11397	0.10871	0.10824	0.10746	0.12885	0.77665	0.14884	0.2433	0.19504	0.080599	0.31822	0.27513	0.0971	0.83927	0.047343	0.43952	0.097436	0.32259	0.089027	0.18012
Meth__cg11158729__CNNM4	0.021793	0.014997	0.018909	0.017454	0.017747	0.11579	0.019464	0.017962	0.021162	0.022858	0.021948	0.028816	0.034094	0.016432	0.021918	0.034918	0.032897	0.030851	0.014827	0.013823	0.020762	0.043911	0.52496	0.019097	0.026069	0.043265	0.020955	0.028079	0.021849	0.028166	0.014329	0.018651	0.018147	0.033283	0.019372	0.022615	0.027622
Meth__cg14298379__MYLIP	0.034533	0.021876	0.064346	0.032006	0.036784	0.43223	0.031334	0.060035	0.02389	0.039093	0.031172	0.029374	0.074522	0.030462	0.031118	0.030955	0.054243	0.07847	0.02008	0.030226	0.031048	0.040246	0.058755	0.030608	0.051868	0.039981	0.037652	0.029262	0.041712	0.038719	0.028339	0.033477	0.043161	0.13706	0.031023	0.030303	0.039131
Meth__cg23424268__GCHFR	0.018446	0.013659	0.50168	0.029195	0.015611	0.016222	0.019892	0.033276	0.055972	0.02735	0.66816	0.70709	0.075312	0.016587	0.069454	0.78103	0.74237	0.03554	0.013388	0.026372	0.019368	0.25004	0.89161	0.021478	0.020685	0.035849	0.032351	0.020758	0.0291	0.013474	0.055419	0.16568	0.3139	0.043391	0.03004	0.017881	0.028141
Meth__cg23620639__COL13A1	0.040173	0.033159	0.023612	0.30803	0.031056	0.53871	0.025548	0.23309	0.021258	0.028301	0.87342	0.02821	0.062234	0.02314	0.029076	0.25906	0.092388	0.064433	0.019838	0.01481	0.021173	0.1975	0.02576	0.020368	0.025462	0.026819	0.23941	0.0316	0.027862	0.026358	0.36836	0.033508	0.30957	0.047402	0.053657	0.025944	0.022152
Meth__cg00158308__OXGR1	0.33312	0.11737	0.90458	0.55966	0.048988	0.71999	0.1551	0.88676	0.35014	0.05165	0.43885	0.2134	0.81235	0.18683	0.3556	0.88044	0.17999	0.17633	0.055057	0.044263	0.057046	0.18052	0.74465	0.11782	0.28434	0.10607	0.11299	0.2942	0.44055	0.048886	0.43438	0.059453	0.63847	0.047491	0.076068	0.051324	0.62907
Meth__cg12277666__TDRD5	0.0742	0.03414	0.034625	0.18943	0.035659	0.89198	0.038193	0.038334	0.026725	0.034988	0.75208	0.096427	0.67597	0.024254	0.087904	0.92768	0.18493	0.083028	0.076846	0.025415	0.032042	0.28345	0.91422	0.040459	0.045746	0.048801	0.035376	0.33224	0.5485	0.19458	0.062087	0.024065	0.94624	0.049141	0.03263	0.033805	0.04377
Meth__cg22855405__TINAGL1	0.076822	0.076481	0.081927	0.85244	0.7877	0.74004	0.75487	0.056564	0.052062	0.83638	0.064889	0.084985	0.099241	0.87918	0.061572	0.080228	0.072997	0.085776	0.70091	0.85451	0.87051	0.45876	0.18456	0.53974	0.14464	0.76617	0.10585	0.27445	0.051403	0.39931	0.50886	0.057048	0.84431	0.17354	0.12108	0.79107	0.74464
