Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__RHD	-2.45	-0.136	-0.18	-0.234	-0.44	0.218	-0.163	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	-1.752	0.344	-0.015	0.387	0.226	0.206	0.018	0.057	0.245	0.482	-0.299	0.165	-2.045	-1.621
SNP__LCE3C	-1.958	0.495	-2.398	-0.129	-2.13	-1.861	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	-0.255	-0.111	0	-2.222	-1.451	-2.241	-1.976	-1.915	-2.744	-2.627
SNP__ZNF462	0.003	-0.163	0.174	0.13	0.149	0.209	0.064	0.184	0.133	0.094	-0.15	0.238	-0.022	-0.124	0.274	0.147	-0.073	-0.126	0.146	-0.019	-0.088	-0.064	0.157	-0.15	-0.147	0.207	-4.605	-0.633	-0.211	0.161	0.02	-0.349	0.028	-0.176	0.297	-0.296	-0.055	0.024
SNP__LOC252968	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC654346	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__ODF4	-0.021	-0.166	0.165	-0.156	-0.362	0.458	-0.517	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-0.61	-0.182	0.164	-0.556	-0.366	-0.318	-3.845	-0.307	-0.299	-3.855	-4.116
SNP__FLJ20433	0.003	-0.163	-3.396	0.153	0.184	0.228	0.458	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	-1.534	-0.158	-0.198	0.02	-0.147	0.091	-0.054	0.292	-0.296	-0.066	0.024
SNP__LOC147158	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC201288	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC646663	0.003	-0.119	-2.47	0.093	-3.962	0.219	0.1	0.152	0.408	-0.301	0.1	-2.377	-0.364	0.28	0.594	-2.083	0.593	-0.392	0.016	0.095	-2.244	-0.019	-0.177	0.619	0.119	0.189	0.666	-0.021	-0.159	-0.223	0.002	-2.285	0.55	0.802	-0.286	0.078	0.066	0.001
SNP__UGT2B17	0.01	-0.141	-0.225	-0.182	-0.133	-0.365	0.075	0.185	-0.225	-0.258	0.075	-1.975	0.354	-0.145	0.018	-0.167	-0.088	-0.067	0.394	-0.254	-0.291	-0.072	-0.197	-0.166	-0.37	-0.316	0.435	-0.051	0.456	-0.486	-0.171	-0.063	-0.064	-1.543	-1.43	-1.564	-0.039	0.527
SNP__LOC220594	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.42133	-0.431	-0.364
SNP__UGT2B28	-2.183	-0.141	-0.225	-0.182	-0.133	-0.446	0.075	-0.317	-0.225	-0.258	-0.358	-2.842	-0.056	-2.173	-1.756	-0.167	-0.088	-0.067	-0.127	-0.254	-0.291	-0.072	-0.197	-0.166	-0.071	-0.759	-0.057	-0.051	0.456	0.232	-0.171	-0.063	-0.859	-0.19	-0.316	-0.326	-0.039	0.036
SNP__WNK1	0.026	0.099	0.18	0.122	0.305	-2.678	-0.54	-0.122	0.189	-3.535	0.077	-0.939	0.322	0.394	0.55	0.107	0.382	0.808	-0.046	0.007	-0.115	-0.394	-0.18	-0.318	0.118	0.462	-0.447	-0.055	-0.177	0.578	0.01	0.007	0.06	0.193	0.045	-0.3	0.583	0.28
SNP__DMBT1	0.014	-0.15	-0.868	-3.561	-0.116	-0.159	-0.167	-0.078	-0.204	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.264	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.167	-0.224	0.032	0.319	-0.043	0.142	-0.198	0.033	-4.07	-3.272	-0.254	-0.304	0.08	0.118	-0.366
SNP__FAM106A	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__ADAM32	0.027	-0.542	-0.174	-0.204	1.083	0.534	0.98	-0.335	0.152	-0.295	0.052	0.27	0.859	-0.137	-0.54	-0.59	-0.036	-0.376	0.243	-1.129	0.042	-0.433	-0.696	0.258	-0.275	0.134	-0.446	0.072	-0.199	-0.194	0.026	0.725	-0.349	1.672	0.319	0.595	-0.507	-0.445
SNP__LOC252840	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__LOC643473	-0.26	-0.178	-0.209	-0.352	-0.211	-0.07	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.676	0.188	0.002	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__GNTIVH	0	0.087	-0.89	-0.287	0.024	-1.829	0.268	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	-0.039	0.167	0.747	0.227	-0.018	-0.21	-4.154	0.011	-0.014	-0.004	0.916	0.315	0.074	-0.046	-0.007
SNP__CRKRS	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.013	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__ESR1	0.006	0.125	-0.209	-0.415	-0.507	-0.091	-0.558	0.167	-0.231	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	0.532	-0.42	-4.299	-0.261	-0.076	0.251	0.236	-0.248	-0.118	0.237	0.249	-0.704	0.161	-0.195	0.027	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__IGHV3-9	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	2.483	1.498	0.717	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__SMAD4	0.013	-0.541	-0.881	0.086	-0.128	-0.147	-0.178	-0.444	0.428	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.803	-0.454	-0.443	-0.217	-0.028	-0.461	-0.556	-0.641	-0.525	-0.405	-0.548	-0.031	0.211	-0.147	-0.015	-0.629	-0.367	-0.793	-0.615	-0.284	0.239	0.234
SNP__LOC645532	0.007	0.125	0.185	0.108	0.164	0.226	0.439	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.474	-0.195	0.037	0.25	0.037	0.218	0.053	0.061	-2.489	-3.192
SNP__CFHL4	0.651	0.5	0.162	0.706	0.482	0.492	0.442	2.355	0.418	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	0.176	0.221	2.628	-2.421	-0.061	0.408	0.351	0.315	0.099	2.833	0.39	0.745	-0.264	-1.268	0	0.153	0.243	0.291	0.282	1.222	0.569	-2.009
SNP__IGHV2-10	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	2.483	1.498	0.717	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__LOC646609	-0.648	-0.203	-0.236	-1.03	-0.658	-0.225	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.627	-2.484	-2.568	-0.025	-0.376	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__WWOX	-2.18	-0.55	-2.831	0.092	0.19	-2.109	-1.822	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	-2.395	0.457	-2.223	-1.648	-0.206	-2.091	0.026	-2.344	1.107	-0.132	-2.033	0.479	-0.056	-0.372
SNP__KLRC2	0.038	-4.945	0.128	0.073	0.172	-0.258	-0.537	-0.087	0.204	-1.394	0.077	-0.416	0.21	0.23	0.269	-0.566	0.364	0.146	-0.033	0.007	-0.092	-0.409	-0.216	-0.322	0.115	0.239	0.193	-0.051	-0.206	0.108	0.002	0.016	-0.249	0.216	-0.858	-0.32	0.568	0.28
SNP__NAALADL2	0.008	-3.295	0.245	0.18	-0.944	-1.94	0.062	0.02	-0.23	0.113	0.076	0.496	0.212	0.196	0.59	0.063	-0.123	0.453	0.269	0.409	0.28	0.688	0.56	-1.384	-0.058	-0.006	0.455	0.315	0.167	-0.153	0.005	0.21	-0.704	0.469	0.722	0.061	-0.034	0.008
SNP__NME7	0.651	0.492	0.162	-0.676	0.603	0.1	0.446	-2.446	-2.095	0.059	0.09	-0.024	0.403	-0.156	-2.232	0.236	0.176	0.183	-0.096	0.277	-0.064	0.176	0.296	-1.802	-3.103	-0.222	-0.052	0.286	-0.23	-0.172	0	0.089	0.243	0.291	0.282	0.067	0.445	-0.997
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	-0.216	-0.546	1.408	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__NCOA7	0.006	0.125	-0.209	0.029	-0.569	-0.095	-0.558	0.183	-0.229	0.04	0.072	-0.438	-0.062	-0.137	0.025	-0.043	0.832	0.244	0.306	-0.24	-0.049	0.201	0.071	-0.248	-0.13	0.144	0.249	0.294	0.161	-0.195	0.027	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__LOC646611	-0.648	-0.203	-0.236	-1.03	-0.262	0.032	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.627	-2.484	-2.568	-0.025	-0.376	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__LOC644144	0.37	-3.761	-0.191	-0.146	0.229	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.138	0.22	0.06	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__SHCL1	0.37	-3.776	-0.191	-0.146	0.229	-0.093	0.096	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.532	-0.138	-0.114	0.06	-0.354	0.334	-0.139	0.301	0.082	0.011	0.023
SNP__FHIT	0.008	-0.512	-0.843	-0.527	-0.136	-1.144	-0.552	-0.124	-0.233	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-0.262	-1.066	-0.422	-0.748	0.159	-0.429	-0.566	-0.69	-0.584	-0.186	-1.065	-0.058	-0.183	0.859	0.017	-0.361	-2.101	0.266	-0.31	-0.272	-0.059	-0.371
SNP__LOC402360	-0.647	-0.203	-0.236	-1.03	-0.262	0.094	0.044	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.865	-0.064	-0.627	-0.833	-2.568	-0.025	-0.376	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__LOC646636	-0.647	-0.178	-0.236	-1.03	-0.402	-0.102	0.044	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.842	-0.064	-0.627	-0.833	-2.568	-0.035	-0.376	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__FLJ10120	0.37	-3.761	-0.191	-0.146	0.229	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.138	0.22	0.06	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__ELAVL2	-0.647	-0.203	-0.236	-1.03	-0.262	0.094	0.044	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.865	-0.064	-0.627	-0.833	-2.568	-0.025	-0.376	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__ZNF291	1.389	1.241	1.103	-2.232	0.842	-2.143	-1.568	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.442	1.309	-1.604	-0.64	1.798	1.79	1.377	1.133	1.031	-1.919	0	-1.574	1.463	1.105
SNP__LOC644125	-1.687	-2.113	0.128	0.929	0.894	-1.571	-0.54	-1.657	0.909	-2.359	0.077	-2.166	0.968	1.128	-1.62	-0.648	0.364	0.146	-1.847	0.007	0.651	-2.228	-1.774	-1.502	0.922	-1.829	1.004	-0.051	-1.977	0.021	-2.172	-1.792	-1.433	-0.348	-1.841	0.456	0.568	0.28
SNP__LOC553158	-0.003	-0.092	-0.2	-0.161	-0.475	-0.154	0.018	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.182	-0.152	0.004	0.51	0.075	0.009	-0.327	-2.757	-0.431	-0.368
SNP__LOC646227	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	0.7	-0.195	0.037	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__TRY6	0.012	0.553	0.186	0.355	0.322	-1.816	0.45	-1.938	0.854	0.715	-0.643	0.29	1.134	-4.448	-0.251	-2.001	-1.912	0.015	-2.121	-0.395	-0.392	0.18	0.067	0.122	-0.125	-2.332	0.191	-0.039	0.526	-0.864	-2.463	-0.313	0.262	-2.35	-0.319	0.188	-0.042	0.028
SNP__GBP3	0.014	0.102	-0.219	-0.252	-0.189	0.15	-0.545	-0.062	-0.05	-3.626	0.098	-0.463	-0.029	-0.116	0.296	-0.172	-0.263	0.218	-0.037	0.3	0.226	-0.47	-0.55	-0.126	0.708	-0.172	-0.032	-0.063	0.462	0.202	-4.112	0.134	-0.035	0.043	-0.3	-3.392	-0.366	-0.36
SNP__PPARBP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	-0.191	-0.193	0.052	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__LARGE	-0.004	-0.142	-3.874	-0.161	-0.475	-0.154	0.018	0.287	-0.231	0.567	-0.012	-0.425	0.074	-0.114	-0.193	-0.483	0.89	-0.549	-0.439	0.167	-3.103	-0.404	-0.239	-0.172	0.115	-0.013	0.027	0.314	-0.182	-0.306	0.004	-2.398	-0.065	-2.538	-0.327	-2.579	0.369	0.08
SNP__SLC25A18	-0.01	-0.086	-0.197	-0.134	-0.467	2.812	0.05	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	0.301	0.217	0.723	0.172	0.157	-0.404	1.888	-0.131	-0.122	0.062	0.04	0.328	-0.752	2.554	0.004	0.227	0.058	-0.3	-0.32	-0.289	0.37	0.095
SNP__ADCY8	0.03	-0.538	0.187	0.462	0.746	0.56	0.675	0.657	0.154	-4.101	-0.212	0.924	0.583	0.726	0.809	1.565	-3.152	0.981	0.755	0.486	0.681	0.212	0.457	0.595	0.171	0.433	0.26	0.397	0.633	0.206	0.038	0.75	-0.4	0.69	0.319	-2.892	0.234	0.326
SNP__FBXL20	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	-0.191	-0.193	0.052	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
