Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg20367961__EDN2	0.056359	0.051505	0.10835	0.072609	0.65201	0.050534	0.19795	0.036938	0.10127	0.77935	0.20644	0.32688	0.051388	0.34326	0.5923	0.10634	0.84114	0.058672	0.10921	0.89922	0.78352	0.074444	0.10997	0.15478	0.063587	0.42947	0.05472	0.5225	0.8427	0.090328	0.14629	0.17677	0.15613	0.070379	0.074824
Meth__cg19258882__ERBB3	0.039942	0.036267	0.053322	0.063007	0.13329	0.047175	0.056798	0.04483	0.071361	0.046058	0.17765	0.071405	0.040339	0.076534	0.088053	0.031152	0.14355	0.06331	0.03822	0.065654	0.12185	0.038808	0.038691	0.051876	0.044444	0.068946	0.071797	0.42133	0.053701	0.078845	0.037677	0.060111	0.049906	0.03682	0.037791
Meth__cg19632206__FAM5C	0.092721	0.070135	0.10457	0.10611	0.5951	0.11245	0.59318	0.076529	0.11617	0.2313	0.14534	0.1777	0.054874	0.26242	0.31917	0.1565	0.33218	0.064621	0.14966	0.15407	0.46397	0.093381	0.25091	0.13924	0.10808	0.40976	0.11321	0.35144	0.3118	0.07333	0.10159	0.10894	0.057143	0.073786	0.10372
Meth__cg27238470__EDN2	0.039079	0.048924	0.07974	0.042509	0.67522	0.042523	0.088471	0.041521	0.038442	0.50625	0.026792	0.072567	0.031101	0.084532	0.33082	0.07018	0.79296	0.036581	0.056081	0.88699	0.37021	0.038172	0.06422	0.095476	0.03502	0.1699	0.044306	0.065918	0.71498	0.026771	0.032185	0.081388	0.054654	0.039546	0.03299
Meth__cg22862656__SCGB2A2	0.055845	0.047079	0.21466	0.24138	0.70361	0.095397	0.84339	0.37538	0.36142	0.87111	0.17338	0.22479	0.32953	0.46196	0.671	0.090973	0.84613	0.13823	0.13718	0.91532	0.82923	0.129	0.082081	0.16283	0.054846	0.59018	0.30056	0.88767	0.45253	0.043506	0.146	0.12228	0.18009	0.076393	0.074453
Meth__cg20420433__HLXB9	0.047722	0.32756	0.90087	0.22066	0.90805	0.37057	0.56294	0.064093	0.48623	0.24034	0.94142	0.68498	0.092267	0.80796	0.49582	0.3249	0.45518	0.080023	0.12474	0.91222	0.15035	0.10058	0.094471	0.049322	0.48493	0.10869	0.078449	0.53783	0.10234	0.3772	0.10385	0.080188	0.061715	0.12841	0.042652
Meth__cg06771126__HOP	0.068534	0.053374	0.11824	0.065886	0.64613	0.075747	0.77335	0.082645	0.11475	0.86212	0.29557	0.20381	0.080456	0.80806	0.8677	0.13213	0.37394	0.076447	0.075432	0.63444	0.77298	0.078845	0.11586	0.16674	0.075488	0.21757	0.16549	0.84844	0.34346	0.04012	0.56496	0.2	0.11584	0.069915	0.078608
Meth__cg04653308__PPP2R4	0.11889	0.10337	0.23153	0.111	0.68219	0.11429	0.60047	0.12361	0.22276	0.48858	0.68238	0.34509	0.15534	0.40823	0.52885	0.13246	0.57075	0.32675	0.28407	0.73994	0.41105	0.17219	0.10304	0.12463	0.12452	0.20374	0.13461	0.41822	0.22229	0.12733	0.19544	0.19895	0.14034	0.11432	0.11508
Meth__cg03242666__PMP22	0.092351	0.11897	0.80057	0.38507	0.38033	0.13641	0.83032	0.10165	0.77041	0.77609	0.4185	0.58726	0.1005	0.47836	0.54887	0.26525	0.085569	0.39651	0.16531	0.80092	0.69756	0.34405	0.17893	0.45086	0.15365	0.1101	0.10467	0.71137	0.43928	0.081049	0.16902	0.20113	0.11249	0.11129	0.20525
Meth__cg08955609__APOE	0.023596	0.03179	0.2006	0.29571	0.67491	0.067427	0.62356	0.033225	0.040101	0.80753	0.34698	0.23688	0.028861	0.62586	0.57156	0.067426	0.056207	0.07577	0.036009	0.71537	0.56178	0.24307	0.037043	0.71274	0.040279	0.03766	0.56072	0.044138	0.18844	0.14777	0.28176	0.0206	0.02875	0.030139	0.11701
Meth__cg16072462__PF4	0.473	0.054258	0.8117	0.33941	0.88185	0.6641	0.89851	0.067938	0.064976	0.59639	0.57356	0.74177	0.12827	0.68738	0.42698	0.18243	0.071913	0.11227	0.10756	0.53117	0.59927	0.15005	0.067679	0.55838	0.093232	0.10358	0.39894	0.74943	0.78849	0.075833	0.29733	0.07424	0.070183	0.080563	0.33198
Meth__cg04887278__RWDD2	0.034996	0.023841	0.51913	0.01826	0.18252	0.045917	0.12612	0.024532	0.034131	0.56475	0.26393	0.19504	0.030293	0.041415	0.029792	0.59098	0.81045	0.037658	0.032752	0.086115	0.67829	0.02715	0.052314	0.035987	0.064266	0.026441	0.025709	0.9081	0.055914	0.030036	0.02022	0.039494	0.10745	0.029523	0.021736
Meth__cg15958424__ACPP	0.081619	0.054936	0.099589	0.057897	0.64915	0.11261	0.42689	0.081173	0.22954	0.41355	0.24419	0.11825	0.084071	0.36306	0.81598	0.088472	0.64299	0.065888	0.060295	0.38604	0.70139	0.094867	0.20242	0.15679	0.13556	0.82287	0.091768	0.43041	0.64435	0.058362	0.21919	0.13085	0.14562	0.098747	0.10263
Meth__cg12629515__HIST1H2BO	0.095199	0.08997	0.53531	0.24938	0.2817	0.26667	0.79658	0.10255	0.42968	0.15514	0.10375	0.39883	0.092617	0.46033	0.057069	0.27624	0.80332	0.083422	0.095998	0.15017	0.20628	0.10935	0.14107	0.13099	0.14685	0.83318	0.079065	0.41481	0.59145	0.29143	0.13378	0.17471	0.16182	0.098686	0.10157
Meth__cg13337865__TEKT1	0.061476	0.047768	0.52114	0.29855	0.83946	0.10323	0.62267	0.47426	0.052388	0.53193	0.68235	0.15611	0.34826	0.6712	0.3694	0.17723	0.21255	0.071258	0.057808	0.27141	0.82381	0.087397	0.068968	0.67945	0.085915	0.049551	0.074002	0.83578	0.65618	0.081574	0.56795	0.048207	0.041888	0.056362	0.070205
Meth__cg13796218__C1orf187	0.076495	0.12985	0.903	0.062578	0.76554	0.10814	0.13256	0.046581	0.071535	0.63334	0.42168	0.73603	0.06983	0.81131	0.39231	0.47236	0.36818	0.17368	0.062633	0.789	0.75032	0.070556	0.099539	0.24095	0.061092	0.0981	0.062873	0.4469	0.080454	0.090659	0.74028	0.075167	0.082762	0.15279	0.18659
Meth__cg15913671__TMEM105	0.032933	0.047566	0.037796	0.029559	0.83159	0.032356	0.76618	0.029135	0.034253	0.39684	0.041762	0.1017	0.038484	0.30442	0.68508	0.056237	0.31969	0.026414	0.03149	0.87322	0.85427	0.030679	0.044469	0.23043	0.072657	0.03801	0.14376	0.84717	0.017263	0.096498	0.021888	0.076386	0.034179	0.051423	0.033226
Meth__cg01942127__CACNA1D	0.026735	0.019119	0.69214	0.025508	0.96134	0.098449	0.96152	0.52563	0.031425	0.60306	0.39044	0.70583	0.37221	0.63042	0.67275	0.3584	0.083118	0.023921	0.038542	0.56087	0.92015	0.42076	0.027828	0.078677	0.034138	0.077914	0.28179	0.091375	0.54729	0.04831	0.097849	0.049678	0.034957	0.1477	0.043028
Meth__cg09882647__C20orf35	0.19529	0.10757	0.76483	0.069343	0.40313	0.11823	0.32004	0.14922	0.23111	0.067004	0.081363	0.28668	0.10296	0.21147	0.51348	0.17281	0.30076	0.12278	0.051799	0.11476	0.56486	0.072495	0.076051	0.25543	0.06786	0.051347	0.90385	0.45887	0.087695	0.076548	0.22847	0.030689	0.046467	0.053007	0.10209
Meth__cg26453670__RNPC1	0.06653	0.027105	0.18348	0.13617	0.35645	0.38496	0.058163	0.034193	0.07157	0.1171	0.13386	0.079888	0.03924	0.047306	0.33551	0.12721	0.36145	0.079845	0.15419	0.12385	0.2793	0.21659	0.083501	0.33175	0.057477	0.034234	0.11894	0.41243	0.14179	0.12901	0.04819	0.039404	0.053215	0.045784	0.033855
Meth__cg00236832__RARA	0.081732	0.50951	0.89824	0.51977	0.83349	0.1464	0.57302	0.14225	0.1403	0.8733	0.11603	0.52255	0.1326	0.078936	0.83607	0.14994	0.61628	0.30545	0.29614	0.76923	0.69256	0.13552	0.42424	0.84963	0.16798	0.10046	0.11497	0.49823	0.42845	0.10782	0.085626	0.35289	0.34315	0.10724	0.13892
Meth__cg25268718__PSME1	0.071893	0.069773	0.31213	0.17458	0.77674	0.24859	0.26522	0.42718	0.095301	0.8254	0.55866	0.34527	0.32454	0.26614	0.43667	0.24196	0.44847	0.26676	0.17444	0.64932	0.5871	0.12062	0.16747	0.13104	0.098056	0.10086	0.090032	0.41082	0.42967	0.13768	0.17126	0.10434	0.09019	0.11202	0.14596
Meth__cg03167275__CXADR	0.054828	0.066197	0.22562	0.052805	0.086342	0.079974	0.077376	0.056392	0.44429	0.096213	0.067061	0.092291	0.059087	0.067486	0.062356	0.073852	0.59917	0.10243	0.19546	0.10562	0.14597	0.043237	0.078301	0.083742	0.081477	0.07698	0.046956	0.092662	0.05923	0.050885	0.043437	0.07334	0.064317	0.039805	0.055588
Meth__cg13084429__VWA2	0.065969	0.066077	0.86142	0.098901	0.90433	0.093978	0.3681	0.084917	0.078803	0.30751	0.09552	0.36827	0.081617	0.62306	0.080465	0.09725	0.18899	0.045272	0.070183	0.20035	0.88151	0.067477	0.097299	0.15017	0.11047	0.088647	0.10833	0.14915	0.19733	0.048411	0.7156	0.15128	0.064698	0.048228	0.078123
Meth__cg21201572__AGR2	0.087938	0.051537	0.61013	0.065894	0.85673	0.10081	0.29263	0.054959	0.11769	0.2657	0.079256	0.11427	0.085174	0.13194	0.59621	0.10874	0.72625	0.10519	0.082409	0.86306	0.15998	0.077594	0.21651	0.1035	0.13683	0.27791	0.10468	0.79252	0.073901	0.057961	0.045562	0.18669	0.074152	0.067327	0.070375
Meth__cg03085312__RARA	0.12641	0.44514	0.88711	0.65041	0.88194	0.29562	0.73935	0.057168	0.08177	0.88043	0.43142	0.54927	0.22996	0.070342	0.87011	0.16215	0.67973	0.49981	0.60369	0.83616	0.79649	0.08611	0.64066	0.84428	0.28449	0.068824	0.079587	0.4895	0.5516	0.16463	0.11208	0.049005	0.47687	0.12377	0.11122
Meth__cg14809191__FOXQ1	0.43554	0.041688	0.95204	0.048513	0.78409	0.057789	0.90328	0.17658	0.046956	0.60458	0.12965	0.16284	0.15093	0.95088	0.18302	0.37168	0.65249	0.047426	0.045708	0.33481	0.49407	0.047219	0.037415	0.13975	0.049048	0.039517	0.03655	0.87237	0.32613	0.037594	0.65894	0.070691	0.038386	0.052617	0.076307
Meth__cg13573276__RDHE2	0.016523	0.014317	0.93772	0.020033	0.41125	0.032561	0.88843	0.016928	0.022355	0.71951	0.93142	0.49314	0.11538	0.024764	0.080129	0.037636	0.17946	0.06535	0.02112	0.43812	0.036997	0.034766	0.028797	0.33441	0.025448	0.050405	0.018971	0.11309	0.17914	0.017795	0.039131	0.023443	0.021787	0.019681	0.016418
Meth__cg19713196__LAD1	0.037088	0.033483	0.04903	0.030894	0.93908	0.17135	0.14803	0.027553	0.10249	0.041001	0.052973	0.072	0.03452	0.63622	0.31309	0.081901	0.065618	0.041797	0.037644	0.69284	0.84	0.039173	0.046531	0.17757	0.073475	0.36712	0.024038	0.65133	0.027912	0.029821	0.040008	0.057748	0.044178	0.033714	0.032604
Meth__cg02265318__MOSC1	0.022284	0.51241	0.8393	0.029598	0.77797	0.33076	0.56076	0.1491	0.10008	0.4428	0.03614	0.55515	0.13553	0.97127	0.42108	0.078731	0.49762	0.014655	0.032883	0.7867	0.06985	0.031095	0.043735	0.14015	0.38289	0.22934	0.038811	0.098951	0.28771	0.082775	0.5444	0.076885	0.030145	0.24481	0.2346
Meth__cg07671949__ESR1	0.087171	0.10258	0.90063	0.11318	0.69243	0.12777	0.88143	0.084904	0.098113	0.89562	0.32943	0.7984	0.12529	0.84228	0.90742	0.37754	0.3254	0.2919	0.11241	0.67899	0.77484	0.096199	0.25629	0.2133	0.14419	0.6613	0.69628	0.88281	0.82059	0.16406	0.8234	0.21826	0.078114	0.53734	0.35653
Meth__cg00121640__ASTN2	0.05728	0.046987	0.35661	0.061001	0.47682	0.066354	0.45965	0.048248	0.069065	0.23746	0.26397	0.1686	0.058457	0.23159	0.11175	0.07346	0.052418	0.14659	0.06326	0.074806	0.48478	0.055438	0.068129	0.13411	0.061688	0.061738	0.065167	0.067239	0.063453	0.07297	0.19914	0.081791	0.059246	0.054147	0.062521
Meth__cg13744194__OCLN	0.074304	0.062901	0.13839	0.096695	0.54991	0.086447	0.087338	0.12273	0.067802	0.94811	0.086562	0.15962	0.11567	0.084397	0.086396	0.11472	0.26943	0.096373	0.073297	0.5625	0.37848	0.085198	0.080839	0.17278	0.072991	0.082127	0.083929	0.56579	0.62197	0.10599	0.24615	0.14774	0.07912	0.085601	0.074273
Meth__cg20582779__KIAA1822L	0.030765	0.065578	0.88083	0.16167	0.89204	0.51365	0.94361	0.30964	0.087321	0.89759	0.65228	0.80189	0.22127	0.78551	0.52411	0.095305	0.39417	0.55584	0.40177	0.52297	0.61527	0.43764	0.063404	0.76155	0.10542	0.037226	0.89938	0.30469	0.54653	0.07018	0.23177	0.11541	0.065158	0.1954	0.17431
Meth__cg06194808__MGC9712	0.039015	0.030417	0.039933	0.047525	0.95859	0.040862	0.89272	0.036961	0.039881	0.59916	0.095047	0.1619	0.039735	0.048879	0.96215	0.046484	0.96763	0.050401	0.03651	0.94484	0.82698	0.038014	0.057174	0.089286	0.11732	0.11915	0.12042	0.92606	0.12147	0.035145	0.058457	0.070543	0.047601	0.035964	0.031224
Meth__cg21700166__GPR68	0.30479	0.16829	0.94279	0.28845	0.88507	0.34473	0.8568	0.073934	0.071393	0.58287	0.79356	0.91006	0.073249	0.20871	0.5801	0.04307	0.32393	0.72315	0.40589	0.82618	0.8177	0.28783	0.030349	0.66446	0.087872	0.026221	0.029519	0.51532	0.44867	0.075228	0.7689	0.24769	0.034598	0.25255	0.12499
Meth__cg08942875__OCIAD2	0.067471	0.041447	0.12451	0.046871	0.71556	0.049001	0.049346	0.02882	0.033582	0.10426	0.058834	0.096123	0.036328	0.051815	0.066334	0.074235	0.51544	0.050305	0.052846	0.13802	0.078126	0.044211	0.07579	0.074273	0.071624	0.056306	0.031321	0.059224	0.15112	0.032175	0.027914	0.04127	0.049782	0.028823	0.039412
Meth__cg05989054__GAMT	0.053622	0.096064	0.58049	0.094304	0.938	0.092937	0.97686	0.093064	0.056482	0.78996	0.8594	0.61074	0.076389	0.71222	0.93312	0.26854	0.95589	0.74026	0.19151	0.92898	0.89647	0.14617	0.079221	0.061819	0.13506	0.49665	0.60321	0.95532	0.84564	0.11721	0.057638	0.1935	0.061422	0.064756	0.054482
Meth__cg10163825__C16orf25	0.046491	0.082308	0.92063	0.084318	0.97072	0.072378	0.91759	0.12447	0.090737	0.91888	0.96899	0.6019	0.12425	0.79994	0.49011	0.30667	0.94158	0.57551	0.070051	0.94714	0.80063	0.3139	0.06418	0.10541	0.1375	0.26326	0.19038	0.45243	0.48138	0.24411	0.81978	0.086415	0.047196	0.33991	0.052637
Meth__cg07671976__TNFRSF18	0.023438	0.029112	0.95088	0.20998	0.78962	0.16796	0.093435	0.045974	0.33999	0.19602	0.96989	0.9528	0.1092	0.83571	0.17546	0.080972	0.031791	0.14134	0.63868	0.95432	0.72188	0.18904	0.031204	0.57155	0.044174	0.034851	0.017994	0.93951	0.54591	0.22246	0.88268	0.11124	0.032258	0.043893	0.056182
Meth__cg00019495__HOP	0.065804	0.054208	0.069195	0.076923	0.77097	0.053447	0.40221	0.078713	0.085434	0.83632	0.094268	0.1004	0.064161	0.76049	0.80696	0.12057	0.15878	0.046522	0.063906	0.4149	0.82704	0.063696	0.08346	0.10296	0.06139	0.085053	0.12873	0.80788	0.08619	0.035855	0.13704	0.2076	0.083678	0.042567	0.046419
Meth__cg23896545__NOMO1	0.20598	0.036929	0.11218	0.11744	0.47584	0.20499	0.28084	0.079509	0.06887	0.13351	0.2819	0.29165	0.075314	0.077157	0.18302	0.098021	0.65698	0.085852	0.056839	0.3337	0.33266	0.056821	0.27573	0.18395	0.066045	0.038908	0.078277	0.50261	0.22777	0.18966	0.10173	0.10024	0.56321	0.11422	0.066225
Meth__cg25277950__EML2	0.070708	0.03837	0.8813	0.29039	0.65546	0.20648	0.31344	0.039152	0.45474	0.77888	0.71925	0.57633	0.029097	0.48903	0.77558	0.79567	0.10553	0.30213	0.36702	0.33556	0.75021	0.35771	0.06563	0.13745	0.057218	0.054401	0.36555	0.39318	0.55899	0.21971	0.26892	0.097465	0.15018	0.12326	0.14543
Meth__cg08319238__BCAM	0.056104	0.053329	0.094745	0.068419	0.55518	0.11159	0.33788	0.064018	0.092411	0.08676	0.13938	0.34313	0.082265	0.085406	0.083086	0.075845	0.080342	0.073298	0.11052	0.13897	0.11928	0.060368	0.15003	0.25572	0.077698	0.19057	0.061581	0.50018	0.046037	0.088168	0.050623	0.059366	0.094739	0.061989	0.059193
Meth__cg24751129__GNMT	0.043883	0.032461	0.0557	0.03855	0.97311	0.060176	0.64365	0.036655	0.054782	0.94092	0.59977	0.44173	0.048643	0.23701	0.9499	0.097011	0.95368	0.2285	0.084266	0.96769	0.93344	0.046872	0.061993	0.13716	0.104	0.89644	0.32309	0.96014	0.17536	0.034706	0.10769	0.099678	0.046854	0.045469	0.059799
Meth__cg08343834__PMP22	0.08464	0.089417	0.83099	0.38859	0.54362	0.12107	0.82086	0.11496	0.15478	0.52836	0.40228	0.72863	0.10486	0.72591	0.78516	0.13061	0.097708	0.18857	0.21744	0.74188	0.54875	0.1452	0.147	0.22438	0.095472	0.14707	0.64724	0.33634	0.40287	0.11717	0.25352	0.24518	0.13434	0.12557	0.12641
Meth__cg14886269__TNFRSF18	0.042351	0.025473	0.96238	0.03258	0.96802	0.042171	0.12157	0.0574	0.03677	0.15326	0.80301	0.95068	0.039393	0.66825	0.21731	0.13363	0.099593	0.092529	0.49496	0.96751	0.88311	0.081009	0.074214	0.15228	0.066534	0.46372	0.037254	0.96402	0.15348	0.09741	0.96421	0.073925	0.035211	0.036588	0.031228
Meth__cg13365761__SCNN1G	0.064708	0.044809	0.072076	0.090955	0.97221	0.056966	0.056782	0.060369	0.074194	0.094752	0.04327	0.090732	0.064801	0.051347	0.06698	0.11002	0.11685	0.049464	0.054769	0.074639	0.77426	0.058337	0.068949	0.088295	0.054557	0.056082	0.048559	0.06566	0.064022	0.049325	0.039362	0.04687	0.057787	0.053567	0.053513
Meth__cg08097755__VGF	0.3521	0.045818	0.29816	0.19393	0.047634	0.62383	0.75837	0.099285	0.26886	0.097217	0.19269	0.56584	0.18332	0.11433	0.78402	0.27827	0.30145	0.046483	0.051988	0.37559	0.85333	0.66002	0.17376	0.49088	0.043653	0.039292	0.051993	0.13878	0.12112	0.66804	0.048334	0.097105	0.071214	0.18501	0.047869
Meth__cg00890257__DEGS2	0.036081	0.031748	0.8652	0.035831	0.95042	0.040683	0.048854	0.025988	0.037979	0.95392	0.085079	0.34779	0.025783	0.047133	0.056367	0.11488	0.81643	0.03047	0.034024	0.040714	0.94248	0.034897	0.047244	0.09694	0.052733	0.039111	0.0368	0.050968	0.026805	0.02638	0.022949	0.1333	0.038124	0.029955	0.033008
Meth__cg19384697__UPK3B	0.077999	0.07585	0.11037	0.34731	0.46246	0.15257	0.10996	0.078267	0.10479	0.096249	0.063856	0.25621	0.12869	0.15206	0.32762	0.097802	0.11949	0.069637	0.084561	0.47694	0.76983	0.11446	0.11524	0.14927	0.072077	0.10636	0.37344	0.55879	0.32279	0.092723	0.078963	0.084227	0.069977	0.13846	0.37555
Meth__cg25947945__LAD1	0.22739	0.030286	0.073749	0.038028	0.96948	0.31025	0.40688	0.030853	0.11937	0.032152	0.031983	0.14437	0.025891	0.54283	0.64768	0.085125	0.40016	0.16021	0.37178	0.95712	0.93954	0.10957	0.073698	0.44856	0.07709	0.86517	0.028813	0.95615	0.036808	0.059542	0.035017	0.09522	0.062686	0.21136	0.03996
Meth__cg20858478__B4GALNT2	0.058617	0.06916	0.8728	0.037452	0.8978	0.078303	0.67936	0.058387	0.054812	0.89475	0.1418	0.24374	0.077497	0.75261	0.069566	0.18502	0.83067	0.075765	0.045938	0.81012	0.76868	0.044246	0.20954	0.17602	0.15143	0.068137	0.079518	0.19465	0.10745	0.07097	0.8472	0.12175	0.041849	0.061623	0.2656
Meth__cg13346411__CCKBR	0.066818	0.14756	0.93932	0.15095	0.73007	0.9136	0.62445	0.056807	0.078036	0.68153	0.17572	0.93559	0.068286	0.17702	0.10921	0.21587	0.56685	0.93747	0.62304	0.18976	0.92842	0.1005	0.087456	0.93111	0.12328	0.083161	0.12615	0.29385	0.35715	0.074848	0.61887	0.10122	0.095787	0.080483	0.089535
Meth__cg15543551__FGF12	0.042556	0.032827	0.93846	0.03568	0.80817	0.047353	0.59041	0.84859	0.039156	0.23597	0.12136	0.47012	0.65286	0.056471	0.84445	0.14796	0.10961	0.023939	0.037556	0.53503	0.88503	0.042761	0.09441	0.73666	0.044367	0.053389	0.051071	0.309	0.048827	0.77399	0.20572	0.038284	0.75434	0.036846	0.047725
Meth__cg10988561__PDCD6	0.082511	0.033413	0.18797	0.034214	0.22035	0.053402	0.21648	0.03508	0.10277	0.16762	0.20763	0.29679	0.046619	0.080399	0.17869	0.073962	0.023484	0.030593	0.033327	0.10836	0.37	0.036137	0.049033	0.10683	0.048487	0.038807	0.062873	0.068304	0.082983	0.023571	0.12372	0.059969	0.056135	0.053967	0.048797
Meth__cg04925864__FAM65A	0.018517	0.025853	0.82429	0.22859	0.58082	0.16837	0.79408	0.90217	0.26551	0.36228	0.96547	0.93747	0.67479	0.98704	0.3132	0.4199	0.041338	0.52541	0.27541	0.344	0.26477	0.077762	0.024482	0.93092	0.08283	0.011331	0.087687	0.75272	0.59302	0.21376	0.010581	0.062417	0.058798	0.021011	0.019706
Meth__cg14992253__C1orf91	0.065568	0.16081	0.068528	0.12184	0.050964	0.057333	0.04886	0.084165	0.063892	0.065551	0.10085	0.092051	0.095256	0.049083	0.032673	0.11838	0.056932	0.048841	0.059475	0.061318	0.26929	0.13511	0.097137	0.12081	0.079481	0.073929	0.091228	0.056676	0.053392	0.041806	0.078492	0.16031	0.28818	0.064782	0.079977
Meth__cg18016365__GABRB1	0.051976	0.065391	0.83361	0.89243	0.74826	0.46298	0.70207	0.078495	0.89193	0.64321	0.1374	0.73407	0.30994	0.13515	0.67254	0.36298	0.6413	0.16484	0.2489	0.092435	0.82701	0.33013	0.20768	0.77276	0.07714	0.054442	0.87539	0.56719	0.58638	0.32891	0.69862	0.12115	0.18296	0.05488	0.28039
Meth__cg16899442__C16orf25	0.082495	0.1244	0.3466	0.095671	0.66883	0.10853	0.49231	0.043255	0.12109	0.47081	0.81566	0.59193	0.057555	0.48048	0.31335	0.20298	0.5165	0.429	0.15521	0.77176	0.4214	0.20077	0.079649	0.14596	0.14462	0.16291	0.1658	0.46916	0.25611	0.070856	0.25579	0.12196	0.088903	0.30476	0.076523
Meth__cg19005368__PRRG4	0.040734	0.037949	0.052116	0.042112	0.89331	0.047416	0.31785	0.051001	0.034751	0.78426	0.039302	0.062116	0.062309	0.08515	0.058876	0.1221	0.85418	0.036115	0.048532	0.47659	0.87922	0.048893	0.061274	0.2197	0.072273	0.44462	0.03347	0.468	0.11974	0.028329	0.022767	0.081963	0.038464	0.034041	0.041743
