Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	ZR751	ZR75B
Meth__cg19598544__TTYH2	0.065941	0.023471	0.030342	0.12773	0.4217	0.05488	0.34171	0.59321	0.036323	0.20384	0.030324	0.058074	0.10742	0.070095	0.034258	0.087989	0.02929	0.056196	0.021102	0.044323	0.035921	0.38157	0.16611	0.026055	0.045635	0.026491	0.028582	0.2479	0.055982	0.055965	0.043742	0.16793	0.026838	0.024544	0.75637	0.20305	0.056642	0.038503	0.21476
Meth__cg25947945__LAD1	0.22739	0.030286	0.038028	0.23366	0.96948	0.31025	0.94661	0.40688	0.030853	0.11937	0.032152	0.031983	0.14437	0.032562	0.025891	0.54283	0.64768	0.085125	0.40016	0.16021	0.37178	0.45621	0.95712	0.13508	0.93954	0.10957	0.073698	0.97221	0.44856	0.059178	0.07709	0.86517	0.028813	0.95615	0.036808	0.035017	0.09522	0.21136	0.03996
Meth__cg21290885__TMEM47	0.43478	0.062763	0.18901	0.060406	0.062848	0.071924	0.093412	0.090258	0.43515	0.059998	0.092899	0.25292	0.23375	0.53079	0.40465	0.070954	0.067028	0.089618	0.072499	0.084061	0.077889	0.10823	0.063609	0.31454	0.27394	0.095177	0.1219	0.0675	0.18289	0.059856	0.11158	0.093421	0.070122	0.33159	0.05602	0.14784	0.10208	0.063647	0.069699
Meth__cg13959523__CHST8	0.85996	0.039573	0.049191	0.036595	0.18927	0.46472	0.13584	0.70799	0.06745	0.037418	0.81051	0.18785	0.10946	0.028494	0.079053	0.14281	0.098226	0.10588	0.03743	0.04191	0.12565	0.87329	0.13663	0.059168	0.44803	0.039927	0.075756	0.06416	0.71441	0.1695	0.034727	0.033522	0.038504	0.056647	0.040469	0.29026	0.094459	0.51636	0.36706
Meth__cg14521746__PAK1	0.099382	0.088479	0.14112	0.11165	0.73455	0.19692	0.18329	0.26231	0.074202	0.085545	0.10893	0.075577	0.22298	0.12995	0.096247	0.1225	0.098257	0.13365	0.064688	0.12664	0.12104	0.095896	0.086868	0.090978	0.19698	0.083449	0.090397	0.080891	0.38476	0.13424	0.094374	0.075414	0.057927	0.079138	0.35536	0.14835	0.081608	0.24834	0.36644
Meth__cg10791260__TNFSF15	0.063499	0.047533	0.15591	0.16778	0.79699	0.12137	0.28169	0.048539	0.064008	0.10244	0.068652	0.090707	0.13126	0.059254	0.06082	0.078524	0.50453	0.073248	0.31012	0.53554	0.36587	0.28377	0.51436	0.08116	0.23391	0.052663	0.095217	0.32714	0.32487	0.073232	0.087398	0.074021	0.05697	0.09523	0.029384	0.045672	0.070673	0.07551	0.18477
Meth__cg19147390__UHRF1	0.12927	0.24891	0.75941	0.63144	0.22025	0.62301	0.37991	0.049106	0.383	0.77228	0.17993	0.88457	0.26267	0.74555	0.39473	0.10419	0.065955	0.13722	0.051744	0.74059	0.41778	0.38072	0.47186	0.496	0.094295	0.54295	0.10433	0.066583	0.076831	0.28414	0.36843	0.77132	0.29212	0.4002	0.064093	0.054195	0.21689	0.37556	0.11772
Meth__cg07551659__CGNL1	0.03046	0.027105	0.037114	0.0407	0.95599	0.042041	0.62101	0.68906	0.028179	0.03312	0.034614	0.028121	0.31959	0.024662	0.025374	0.042962	0.033854	0.090825	0.54186	0.065029	0.066807	0.61421	0.114	0.050833	0.63664	0.031108	0.037201	0.15062	0.63793	0.047022	0.029644	0.083186	0.040763	0.045212	0.023575	0.95315	0.099018	0.041877	0.12318
Meth__cg25604883__AK5	0.92038	0.019489	0.48484	0.69526	0.87564	0.88679	0.57043	0.4759	0.031407	0.60207	0.27143	0.47054	0.91114	0.034638	0.030543	0.086819	0.12145	0.069935	0.032727	0.83098	0.9485	0.43126	0.36676	0.43356	0.90101	0.31417	0.047571	0.45662	0.7938	0.5273	0.0289	0.022103	0.097709	0.65704	0.5847	0.52943	0.11933	0.81993	0.92936
Meth__cg03243946__LDHB	0.81874	0.065801	0.78427	0.7515	0.083307	0.94948	0.30628	0.07513	0.12782	0.71975	0.06265	0.10425	0.51188	0.66662	0.13069	0.47424	0.049203	0.082998	0.093932	0.86189	0.81477	0.94008	0.082992	0.11502	0.094371	0.063979	0.58266	0.054674	0.92888	0.12366	0.065379	0.048668	0.036139	0.060998	0.95878	0.18964	0.48413	0.86306	0.89466
Meth__cg04431133__RPL36AL	0.48323	0.11297	0.63956	0.37506	0.076972	0.23737	0.43409	0.046344	0.42133	0.093842	0.091454	0.4661	0.11714	0.37269	0.5567	0.45396	0.03445	0.14345	0.146	0.1644	0.15069	0.15917	0.065587	0.91229	0.36532	0.59288	0.093647	0.075159	0.089069	0.14721	0.15133	0.89149	0.49265	0.043416	0.079593	0.056756	0.66959	0.37961	0.11711
Meth__cg02420102__MGC33948	0.082726	0.042528	0.055973	0.055639	0.04901	0.081363	0.1616	0.046265	0.045055	0.060144	0.046593	0.047309	0.06407	0.044001	0.053201	0.050068	0.062323	0.10846	0.044885	0.0665	0.085992	0.080321	0.050628	0.055904	0.088756	0.058132	0.15776	0.0707	0.10211	0.052026	0.080685	0.042467	0.057438	0.067436	0.063191	0.070688	0.065749	0.07585	0.073504
Meth__cg24276491__C14orf11	0.94831	0.04081	0.93769	0.22232	0.86346	0.71028	0.95515	0.1588	0.64234	0.32798	0.035587	0.58463	0.13731	0.19025	0.49238	0.29738	0.74258	0.5346	0.037383	0.41503	0.43805	0.95217	0.033772	0.30539	0.59155	0.49086	0.38375	0.70772	0.77697	0.53283	0.10799	0.025328	0.073389	0.017727	0.60569	0.52014	0.02525	0.12768	0.022422
Meth__cg05769161__B4GALNT3	0.084152	0.063291	0.086316	0.048758	0.94607	0.10674	0.37332	0.38667	0.052327	0.049691	0.071288	0.10787	0.13257	0.077471	0.06	0.051946	0.11121	0.11055	0.2229	0.088777	0.097242	0.093193	0.11074	0.068613	0.92315	0.061646	0.20119	0.19181	0.12965	0.10079	0.094615	0.035299	0.0571	0.10526	0.049098	0.20694	0.057005	0.069481	0.21815
Meth__cg04005707__FLJ21511	0.12982	0.043118	0.35222	0.46558	0.94222	0.52021	0.93062	0.91594	0.032524	0.90249	0.9349	0.055657	0.90502	0.23173	0.11329	0.83309	0.40982	0.066608	0.4111	0.94702	0.71636	0.53603	0.88855	0.33618	0.8918	0.58308	0.23063	0.78363	0.50331	0.12202	0.095736	0.049851	0.056325	0.38811	0.10674	0.70901	0.098453	0.62419	0.87034
Meth__cg24709471__CRABP1	0.12498	0.12952	0.21697	0.39024	0.18261	0.10506	0.19563	0.72879	0.12687	0.78281	0.16572	0.18133	0.57901	0.13051	0.15405	0.19959	0.1156	0.2031	0.13364	0.82718	0.73485	0.37923	0.25327	0.12681	0.21828	0.1873	0.19306	0.26479	0.43499	0.50261	0.14136	0.1145	0.13472	0.11996	0.30354	0.42643	0.30723	0.30549	0.52072
Meth__cg18282543__BAIAP3	0.050871	0.028119	0.063631	0.83724	0.48749	0.047314	0.53507	0.78101	0.041253	0.84743	0.28291	0.30235	0.46771	0.041867	0.042779	0.22415	0.074823	0.05776	0.038715	0.63601	0.89325	0.097258	0.82937	0.6863	0.84859	0.21003	0.079798	0.16748	0.83046	0.31889	0.060685	0.037426	0.030473	0.031626	0.04158	0.65803	0.034333	0.043768	0.09064
Meth__cg04755031__PNPLA5	0.43004	0.018248	0.8007	0.96367	0.68655	0.55502	0.8254	0.96751	0.061755	0.94508	0.384	0.57166	0.90365	0.034382	0.04425	0.31444	0.25684	0.05536	0.13321	0.96445	0.97144	0.27525	0.95623	0.34901	0.13614	0.23552	0.04859	0.36603	0.26538	0.13893	0.039746	0.027687	0.051859	0.022291	0.072853	0.50117	0.12674	0.11423	0.73371
Meth__cg20546002__COL23A1	0.4165	0.060723	0.055924	0.023072	0.40581	0.367	0.12449	0.36102	0.029339	0.11232	0.048376	0.033957	0.069061	0.022627	0.026355	0.03099	0.038085	0.089779	0.082558	0.074449	0.16835	0.30885	0.30114	0.026796	0.63993	0.039544	0.062548	0.07817	0.79768	0.043745	0.097485	0.024693	0.10778	0.16722	0.037001	0.77336	0.043984	0.027064	0.042419
Meth__cg00119079__LAMP3	0.28744	0.5045	0.13135	0.56389	0.90101	0.88932	0.90983	0.10649	0.067755	0.15789	0.4055	0.089097	0.19984	0.57947	0.074733	0.073881	0.20483	0.12892	0.31969	0.89854	0.55412	0.79131	0.42137	0.27633	0.58431	0.099018	0.079248	0.35371	0.73079	0.069779	0.30559	0.085762	0.32391	0.061996	0.29997	0.79494	0.060795	0.43625	0.6593
Meth__cg14580982__ATP6V1C2	0.07911	0.083536	0.19984	0.60397	0.60556	0.38951	0.59459	0.48551	0.034968	0.839	0.66119	0.1181	0.54844	0.14616	0.053099	0.36658	0.072215	0.22735	0.042549	0.80118	0.78053	0.33208	0.29927	0.46872	0.84512	0.41648	0.080325	0.44634	0.75806	0.1255	0.22397	0.040209	0.039133	0.07767	0.34302	0.80016	0.045151	0.62891	0.81345
Meth__cg12229172__MGST2	0.5682	0.045802	0.040588	0.058105	0.90616	0.061106	0.91855	0.044391	0.66609	0.066968	0.040776	0.023511	0.066223	0.025156	0.5669	0.073619	0.043697	0.1088	0.44056	0.052563	0.052042	0.065077	0.039409	0.029149	0.090873	0.043879	0.082931	0.60638	0.24578	0.049608	0.073442	0.043947	0.036818	0.039534	0.028719	0.032005	0.20466	0.038517	0.29641
Meth__cg00651216__HSP90AB1	0.05165	0.063254	0.37792	0.25791	0.8788	0.45155	0.89153	0.58833	0.34771	0.25853	0.23263	0.90971	0.32777	0.038854	0.31024	0.26017	0.41064	0.42914	0.49139	0.34909	0.25878	0.25451	0.42919	0.16437	0.68549	0.14942	0.29603	0.87354	0.15459	0.21847	0.12561	0.26386	0.072957	0.10591	0.71347	0.19423	0.089229	0.16207	0.11802
Meth__cg09970593__OPRD1	0.13429	0.088965	0.17505	0.13298	0.88559	0.39636	0.84874	0.75508	0.11469	0.26032	0.68894	0.77108	0.83972	0.12586	0.13304	0.61475	0.6484	0.17407	0.067645	0.55323	0.76941	0.35328	0.86767	0.16803	0.73429	0.10903	0.17889	0.89647	0.5239	0.79379	0.28599	0.11963	0.07067	0.094748	0.35804	0.59419	0.24951	0.45003	0.60264
Meth__cg12966875__SLPI	0.052278	0.039292	0.91018	0.79246	0.27961	0.77399	0.1424	0.098799	0.060396	0.67407	0.029105	0.028931	0.055931	0.074074	0.045047	0.075608	0.025601	0.060557	0.046577	0.44432	0.47454	0.94492	0.12673	0.15699	0.11416	0.7246	0.49931	0.057122	0.81111	0.052779	0.07162	0.041263	0.036019	0.065029	0.90971	0.16228	0.047146	0.18924	0.2103
Meth__cg08806153__HOXD11	0.16955	0.028823	0.30099	0.022961	0.92144	0.88024	0.31173	0.04869	0.026703	0.027612	0.034781	0.045008	0.036129	0.025364	0.025252	0.23966	0.14371	0.047724	0.35318	0.044519	0.057122	0.30353	0.027353	0.18591	0.90769	0.028045	0.023683	0.019674	0.66209	0.54264	0.19953	0.017439	0.021575	0.016175	0.018622	0.16861	0.028417	0.53078	0.68602
Meth__cg03465847__CRSP2	0.013081	0.014172	0.01417	0.013751	0.016923	0.01882	0.024784	0.018351	0.014684	0.012626	0.01838	0.016613	0.014419	0.0091263	0.015085	0.02357	0.016914	0.019645	0.017816	0.0098451	0.028324	0.015239	0.034383	0.0084651	0.061658	0.020124	0.021281	0.010741	0.03198	0.017714	0.013402	0.011656	0.011766	0.010199	0.01706	0.018833	0.057121	0.018466	0.01666
Meth__cg05600174__C9orf95	0.088871	0.1154	0.080146	0.11432	0.094892	0.65678	0.10711	0.67551	0.10204	0.14021	0.082811	0.10191	0.13538	0.059539	0.11378	0.10595	0.082907	0.12401	0.11584	0.11328	0.10338	0.24605	0.081282	0.087517	0.70557	0.26853	0.15486	0.072867	0.20904	0.12632	0.084731	0.10308	0.053373	0.11747	0.48507	0.12656	0.089125	0.16338	0.36401
Meth__cg16218254__IMMP2L	0.077117	0.021219	0.15551	0.099934	0.078702	0.20202	0.070674	0.11639	0.021722	0.037277	0.021681	0.022122	0.047654	0.032812	0.024661	0.027049	0.031265	0.048918	0.025795	0.056209	0.032276	0.48226	0.026136	0.035866	0.040412	0.045049	0.046661	0.024541	0.15978	0.034156	0.043619	0.028048	0.022314	0.019456	0.041189	0.044325	0.041716	0.10537	0.050229
Meth__cg17133183__CRABP1	0.098735	0.047789	0.74191	0.70967	0.94227	0.060044	0.28159	0.77084	0.045289	0.94624	0.047883	0.13203	0.89996	0.12735	0.049476	0.26208	0.03633	0.082613	0.23682	0.9567	0.63857	0.068385	0.12266	0.03657	0.89506	0.21945	0.11348	0.56855	0.85848	0.5519	0.13815	0.025342	0.04635	0.060187	0.8693	0.9503	0.50506	0.43732	0.67538
Meth__cg01340005__SOX2	0.021458	0.014427	0.028035	0.023693	0.90991	0.029604	0.38829	0.023274	0.020664	0.031615	0.023128	0.041721	0.089	0.021564	0.027265	0.036847	0.25878	0.038462	0.1237	0.014977	0.030026	0.037711	0.059487	0.016399	0.044706	0.024451	0.039803	0.12341	0.048588	0.85489	0.042602	0.018769	0.020482	0.015469	0.022386	0.074096	0.052971	0.041217	0.021993
Meth__cg10882227__APLP2	0.19679	0.11386	0.11003	0.16196	0.75082	0.18379	0.44395	0.083016	0.082367	0.14122	0.086329	0.089792	0.21009	0.085934	0.060347	0.084328	0.17043	0.31595	0.20603	0.28121	0.19887	0.18945	0.24449	0.1247	0.093072	0.12879	0.13084	0.14199	0.33695	0.081855	0.14731	0.10875	0.052542	0.18019	0.090217	0.097776	0.10929	0.1389	0.15854
Meth__cg10730712__COL23A1	0.69007	0.024966	0.60853	0.042281	0.76523	0.75736	0.9512	0.43375	0.030663	0.87947	0.036525	0.11489	0.54363	0.058379	0.2271	0.035594	0.03794	0.048535	0.037881	0.71602	0.76964	0.75906	0.34742	0.24145	0.90818	0.044459	0.17611	0.082823	0.91498	0.67436	0.051237	0.022496	0.036405	0.31187	0.32578	0.9729	0.11895	0.28695	0.030493
