Cell lines	21MT1	21NT	600MPE	AU565	BT20	BT474	BT549	CAL120	CAL148	CAL851	CAMA1	EFM19	EFM192A	EFM192B	EFM192C	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
SNP__FAM106A	0.501	0.381	-1.369	-0.166	-1.456	-0.156	-1.134	0.566	-1.141	0.214	-1.45	0.634	1.218	0.226	0.907	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	0.383	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	-0.431	-0.364
SNP__PNMT	1.611	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	1.796	1.521	1.584	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034	0.021
SNP__FBXL20	-0.024	0.081	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	2.028	1.521	1.584	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	-0.362	0.282	-0.144	0.294	-0.034	0.021
SNP__LOC252840	0.501	0.381	-1.369	-0.166	-1.456	-0.156	-1.134	0.566	-1.141	0.214	-1.45	0.634	1.218	0.226	0.907	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	0.383	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	-0.431	-0.364
SNP__PERLD1	1.611	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	1.796	1.521	1.584	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034	0.021
SNP__C17orf37	2.495	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	2.145	1.521	1.584	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	-0.034	0.021
SNP__ERBB2	2.766	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	2.145	1.521	1.584	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	3.576	0.282	-0.144	0.294	-0.034	0.021
SNP__RHD	-2.584	-1.63	-2.45	-0.136	-0.18	-0.234	0.218	0.059	-0.091	-0.135	-0.163	-0.349	-1.52	-1.325	-1.577	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-1.757	-2.619	0.132	-2.179	0.23	-0.349	-0.407	0.288	-1.321	-1.752	0.344	-0.015	0.387	0.262	0.226	0.206	0.018	-0.156	0.057	0.245	0.482	-0.299	-2.045	-1.621
SNP__CRKRS	1.611	1.539	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	1.796	1.521	1.584	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034	0.021
SNP__FLJ36492	0.501	0.381	-1.369	-0.166	-1.456	-0.156	-1.134	0.566	-1.141	0.214	-1.45	0.634	1.218	0.226	0.907	-1.316	-1.487	0.101	0.844	-0.411	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	0.383	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	-1.31	-0.431	-0.364
SNP__MGAM	-0.848	-0.843	0.006	-2.204	0.186	0.355	-0.135	-0.104	0.264	-0.35	0.422	-0.031	0.13	-0.295	-0.144	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.267	0.465	0.018	0.485	0.239	-1.965	0.196	0.089	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.234	-0.327	0.23	-0.287	-0.321	-0.042	0.028
SNP__PPARBP	1.611	1.539	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	1.796	1.521	1.584	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	-0.362	0.282	-0.144	0.294	-0.034	0.021
SNP__LOC643827	0.005	-0.01	-0.26	-0.178	-0.209	-0.352	-0.099	-2.388	-0.109	0.001	0.064	-0.427	-2.278	-2.576	0.167	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-0.29	-0.094	0.287	-4.747	-0.088	0.152	-0.006	-0.191	0.002	-0.159	-0.186	0.2	-0.24	0.047	-2.826	0.168	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.159	0.024
SNP__CDKN2A	-0.302	-0.251	-0.648	-0.203	-2.561	-1.03	0.166	-0.439	-0.109	0.244	0.044	-2.233	-0.517	-0.429	-0.64	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-2.756	-0.365	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.088	0.022
SNP__ZNF291	-1.364	-0.27	1.389	1.241	1.103	-2.232	-2.143	0.819	-1.45	1.606	-1.568	1.104	-0.126	-1.775	-1.834	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	-1.828	1.473	-1.248	1.151	-0.318	-0.126	-1.928	-1.225	1.228	1.442	1.309	-1.604	-0.64	1.19	1.798	1.79	1.377	-1.361	1.133	1.031	-1.919	0	1.463	1.105
SNP__MGC48595	-1.466	-1.677	-0.006	0.339	-0.173	0.142	0.204	-0.184	-0.126	-0.356	-0.18	0.223	0.104	0.344	0.273	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-3.549	-0.064	0.097	0.297	0.026	-0.436	-0.187	-0.081	-0.391	-1.966	-2.039	-1.651	-0.202	0.111	-0.318	0.303	0.04	0.184	-0.121	-0.014	0.027	-2.016	0.006	-2.601	0.279	-0.052	-0.394
SNP__SLC25A18	-0.288	-0.12	-0.01	-0.086	-0.197	-0.134	2.812	2.762	2.502	-0.245	0.05	-0.342	-0.432	-0.369	-0.357	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	0.301	0.217	0.723	0.172	0.157	-0.305	-0.404	1.888	-0.131	-0.122	0.062	0.04	0.328	-0.202	-0.752	2.554	0.004	-0.206	0.227	0.058	-0.3	-0.32	0.37	0.095
SNP__C6orf142	1.256	0.631	0.009	1.173	-0.215	1.823	1.949	0.224	0.961	0.492	1.676	1.506	1.478	0.176	0.95	1.548	-0.236	-0.367	1.675	-1.374	2.177	2.205	0.02	1.728	1.688	1.511	-0.392	2.174	0.149	-0.002	1.363	0.084	2.165	-0.129	0.392	0.246	-0.056	1.373	0.473	2.372	0.017	1.813	0.346	0.144	-2.114	2.116	-0.222	-0.379
SNP__FHIT	-0.896	-0.907	0.008	-0.512	-0.843	-0.527	-1.144	-3.116	-0.1	-0.357	-0.552	-0.02	-0.5	-0.205	-0.37	-0.124	-0.233	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-0.262	-1.066	-0.422	-0.748	0.159	-1.689	-0.429	-0.566	-0.69	-0.584	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	-2.101	0.266	-0.31	-0.059	-0.371
SNP__LOC220929	-2.433	-2.174	0.021	-3.307	0.326	-0.091	-2.386	0.096	-0.114	0.299	-0.139	-1.229	-0.124	-0.388	0.269	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.183	0.083	0.042	0.762	-2.689	-0.108	-0.356	0.09	-0.589	-2.667	0.019	0.213	-0.043	-1.109	0.189	0.189	0.033	0.416	-0.204	0.008	-0.773	-0.302	-0.074	0.009
SNP__NAALADL2	1.544	1.118	0.008	-3.295	0.245	0.18	-1.94	0.057	-0.1	0.556	0.062	0.266	0.118	0.235	0.031	0.02	-0.23	0.113	0.076	0.496	0.212	0.196	0.59	0.063	-0.123	0.453	0.269	0.409	0.28	0.17	0.688	0.56	-1.384	-0.058	-0.006	0.455	0.315	-0.573	0.167	-0.153	0.005	-0.156	0.21	-0.704	0.469	0.722	-0.034	0.008
SNP__WWOX	-0.935	-1.405	-2.18	-0.55	-2.831	0.092	-2.109	0.101	-1.764	0.133	-1.822	-2.668	-2.172	-2.303	-2.235	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-1.709	-0.412	-1.319	0.442	-2.607	-2.298	0.572	0.448	-0.661	-2.395	0.457	-2.223	-1.648	-0.561	-0.206	-2.091	0.026	0.541	-2.344	1.107	-0.132	-2.033	-0.056	-0.372
SNP__LOC643847	-2.361	-2.467	-0.033	0.113	-0.196	0.435	0.207	0.048	-0.115	0.082	-0.493	-0.019	-0.103	-0.017	0.053	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.28	0.23	-0.021	-0.225	-0.181	-0.009	0.177	0.093	-0.11	0.111	-0.222	-0.037	-0.033	0.051	-0.159	0.307	-0.016	-3.563	0.153	-0.242	0.194	0.326	-0.458	-0.383
SNP__DLG2	0.921	1.315	-0.634	0.113	0.18	-0.244	-1.16	0.266	-0.115	0.159	-0.541	-0.397	0.236	2.087	0.917	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.242	0.23	0.256	-0.225	-0.181	0.009	0.19	2.017	-0.109	0.096	-0.208	-0.433	-0.044	0.051	-0.884	-2.328	-0.016	-0.106	0.162	-0.349	-0.024	0.324	-0.258	-0.386
