Cell lines	600MPE	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__LOC646609	-0.648	-0.203	-1.03	-0.658	-0.225	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.429	-0.627	-0.219	-0.228	-0.779	-2.484	-2.568	-0.025	-0.357	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__LRRN6C	-0.647	-0.178	-1.03	-0.386	-0.879	-0.067	1.187	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.151	-0.267	-2.607	0.735	-0.081	-0.479	-0.244	0.066	0.368	-3.104	-0.064	-0.433	0.306	-0.219	-0.216	-0.741	-0.833	-0.866	-0.035	-0.357	-0.311	-0.167	-0.306	-0.296	-0.064	0.019
SNP__PPARBP	0.376	1.965	1.862	0.242	-0.07	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.013	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__ZNF291	1.389	1.241	-2.232	0.842	-2.143	0.798	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	1.187	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.442	1.309	-1.604	0.992	-0.64	1.137	1.19	1.432	1.798	1.79	1.377	-1.361	1.031	-1.919	0	-1.574	1.463	1.105
SNP__LOC646611	-0.648	-0.203	-1.03	-0.262	0.032	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.429	-0.627	-0.219	-0.228	-0.779	-2.484	-2.568	-0.025	-0.357	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__CDKN2B	-0.648	-0.203	-1.03	-0.275	0.166	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-1.014	-1.026	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-2.92	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__ZPBP2	0.376	1.965	1.862	0.242	-0.07	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC402360	-0.647	-0.203	-1.03	-0.262	0.094	-0.067	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.865	-0.064	-0.433	-0.627	-0.219	-0.228	-0.784	-0.833	-2.568	-0.025	-0.357	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__FLJ35282	-0.648	-0.203	-1.03	-0.658	-1.017	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.429	-0.627	-0.219	-0.228	-0.779	-2.484	-2.568	-0.025	-0.357	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__LOC646636	-0.647	-0.178	-1.03	-0.402	-0.102	-0.067	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.842	-0.064	-0.433	-0.627	-0.219	-0.216	-0.784	-0.833	-2.568	-0.035	-0.357	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__GSDML	0.376	1.965	1.862	0.242	-0.07	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.495	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__ELAVL2	-0.647	-0.203	-1.03	-0.262	0.094	-0.067	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.865	-0.064	-0.433	-0.627	-0.219	-0.228	-0.784	-0.833	-2.568	-0.025	-0.357	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__C9orf53	-0.648	-0.203	-1.03	-0.275	0.166	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.088	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-2.92	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__ODF4	-0.021	-0.166	-0.156	-0.362	0.458	0.009	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.276	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-4.426	-0.61	-0.207	-0.217	-0.006	-0.182	0.164	-0.556	-0.156	-0.318	-3.845	-0.307	-0.299	-3.855	-4.116
SNP__LOC646605	-0.648	-0.203	-1.03	-0.275	0.166	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.181	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-0.779	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__MTAP	-0.648	-0.203	-1.03	-0.275	0.166	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.088	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-2.92	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__DMRTA1	-0.648	-0.203	-1.03	-0.275	0.045	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.181	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-0.779	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__LOC645280	-0.014	-0.082	-0.134	0.64	-0.12	0.131	-2.895	-0.216	-0.288	-0.012	-0.384	0.122	-0.092	0.026	0.799	-0.376	0.041	0.217	0.746	-4.462	0.157	-0.404	-0.139	-0.131	-0.122	0.062	0.04	-0.382	0.328	-0.175	-0.202	0.003	0.226	-0.148	0.004	-0.19	0.174	-0.31	-0.302	0.343	-4.17	-3.988
SNP__NAALADL2	0.008	-3.295	0.18	-0.944	-1.94	0.323	0.02	-0.23	0.113	0.076	0.496	0.212	0.196	0.59	0.063	0.315	-0.123	0.453	0.269	0.409	0.28	0.688	0.56	-1.384	-0.058	-0.006	0.455	-2.874	0.315	0.128	-0.573	-0.044	0.167	-0.153	0.005	-0.156	-0.704	0.469	0.722	0.061	-0.034	0.008
SNP__GALNTL2	0.008	-0.153	-0.037	-0.153	0.023	0.285	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	-0.314	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	0.54	-0.058	-0.229	-0.248	-0.08	-0.132	-0.101	0.017	-0.064	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__SMAD4	0.013	-0.541	0.086	-0.128	-0.147	-1.059	-0.444	0.428	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.318	-0.803	-0.454	-0.443	-0.217	-0.028	-0.461	-0.556	-0.641	-0.525	-0.405	-0.548	-0.48	-0.031	-2.024	-0.56	-0.035	0.211	-0.147	-0.015	-0.168	-0.367	-0.793	-0.615	-0.284	0.239	0.234
SNP__CDKN2A	-0.648	-0.203	-1.03	-0.275	0.166	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-2.756	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-2.92	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__NME7	0.651	0.492	-0.676	0.603	0.1	0.01	-2.446	-2.095	0.059	0.09	-0.024	0.403	-0.156	-2.232	0.236	0.524	0.176	0.183	-0.096	0.277	-0.064	0.176	0.296	-1.802	-3.103	-0.222	-0.052	0.032	0.286	0.131	0.263	-3.228	-0.23	-0.172	0	0.084	0.243	0.291	0.282	0.067	0.445	-0.997
SNP__KLRC2	0.038	-4.945	0.073	0.172	-0.258	-2.021	-0.087	0.204	-1.394	0.077	-0.416	0.21	0.23	0.269	-0.566	-0.339	0.364	0.146	-0.033	0.007	-0.092	-0.409	-0.216	-0.322	0.115	0.239	0.193	0.572	-0.051	-0.226	-1.749	0.26	-0.206	0.108	0.002	0.177	-0.249	0.216	-0.858	-0.32	0.568	0.28
SNP__SLC25A18	-0.01	-0.086	-0.134	-0.467	2.812	0.131	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	2.543	0.301	0.217	0.723	0.172	0.157	-0.404	1.888	-0.131	-0.122	0.062	0.04	-0.403	0.328	-0.175	-0.202	0.003	-0.752	2.554	0.004	-0.206	0.058	-0.3	-0.32	-0.289	0.37	0.095
SNP__LOC442117	0.015	-0.202	-0.174	-1.788	-0.878	-1.931	-0.432	-0.227	-2.15	-1.141	-0.466	-0.032	-1.806	0.124	0.783	-1.455	-0.09	-1.049	-0.029	-0.254	-0.291	0.035	-0.206	1.777	-1.562	0.116	0.17	-0.454	-0.052	-0.244	-0.234	-0.052	-1.502	-2.091	-0.171	-0.178	-0.008	-1.681	-0.307	-0.324	-0.04	0.033
SNP__ADAM5	0.722	-0.542	-1.888	1.636	-1.395	-0.479	-0.335	0.756	-0.295	0.052	0.27	1.495	-0.137	-1.496	1.673	0.633	-0.036	-0.376	0.852	-1.129	0.042	-0.433	-0.696	0.258	-0.275	0.8	-0.446	-0.489	0.644	0.397	-0.599	0.383	0.491	0.417	0.026	0.455	-0.349	2.017	0.319	1.256	-0.507	-0.445
SNP__LOC646663	0.003	-0.119	0.093	-3.962	0.219	-0.004	0.152	0.408	-0.301	0.1	-2.377	-0.364	0.28	0.594	-2.083	0.955	0.593	-0.392	0.016	0.095	-2.244	-0.019	-0.177	0.619	0.119	0.189	0.666	0.234	-0.021	0.182	0.042	-2.396	-0.159	-0.223	0.002	-1.959	0.55	0.802	-0.286	0.078	0.066	0.001
SNP__GSTM1	1.308	0.102	-0.243	-0.13	1.142	0.01	0.868	-0.518	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	1.676	-0.257	-0.444	2.34	1.976	1.276	2.435	2.546	1.445	1.813	-0.172	1.723	-0.409	-0.063	1.59	1.282	1.255	0.164	0.188	1.108	1.492	-0.27	0.043	-0.303	-0.303	1.499	1.386
SNP__ZNF462	0.003	-0.163	0.13	0.149	0.209	0.293	0.184	0.133	0.094	-0.15	0.238	-0.022	-0.124	0.274	0.147	0.036	-0.073	-0.126	0.146	-0.019	-0.088	-0.064	0.157	-0.15	-0.147	0.207	-4.605	0.223	-0.633	-0.201	0.047	-4.145	-0.211	0.161	0.02	0.188	0.028	-0.176	0.297	-0.296	-0.055	0.024
SNP__GNTIVH	0	0.087	-0.287	0.024	-1.829	0.006	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	-0.316	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	-0.039	0.167	0.747	0.227	-0.464	-0.018	-0.226	0.049	-0.084	-0.21	-4.154	0.011	0.196	-0.004	0.916	0.315	0.074	-0.046	-0.007
SNP__FLJ36492	-1.369	-0.166	-0.156	-1.636	-1.134	-1.654	-1.316	-1.487	0.101	0.844	-0.411	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.585	0.549	-0.207	-0.217	-0.002	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	-1.31	0.357	-0.431	-0.364
SNP__RNF152	0.013	-0.2	0.086	-0.162	-2.938	-1.059	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.318	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-1.075	-0.73	-0.548	-3.768	-0.031	-0.263	-0.216	-0.035	0.137	-0.198	-0.015	-0.16	-0.028	-0.793	-0.615	-0.284	0.239	0.234
SNP__SIRPB1	-0.723	-0.75	2.227	0.526	0.315	-0.904	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.649	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	-0.378	2.051	0.127	0.42	1.362	-0.216	-0.546	1.408	1.834	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__ADCY8	0.03	-0.538	0.462	0.746	0.56	-3.452	0.657	0.154	-4.101	-0.212	0.924	0.583	0.726	0.809	1.565	0.52	-3.152	0.981	0.755	0.486	0.681	0.212	0.457	0.595	0.171	0.433	0.26	0.626	0.397	0.387	-0.599	0.426	0.633	0.206	0.038	0.142	-0.4	0.69	0.319	-2.892	0.234	0.326
SNP__POU6F2	0.01	0.649	0.468	0.372	-2.998	-0.094	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.657	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.104	0.17	0.191	0.226	-0.085	0.369	0.578	-0.01	0.431	-0.201	-0.027	0.546	-2.616	0.126	0.315	0.335	0.558	0.36
SNP__ZNF28	0.003	-0.12	0.093	0.166	0.219	-0.004	0.152	0.408	-0.301	0.1	0.43	-0.364	-3.273	0.478	0.334	0.352	0.584	-0.376	0.016	-3.578	0.287	-0.019	-0.177	-0.641	0.119	0.029	0.182	0.234	-0.021	-0.161	-0.158	-0.104	-0.159	-0.223	0.002	0.457	0.55	0.917	-0.286	0.088	0.066	0.001
SNP__DLG2	-0.634	0.113	-0.244	-0.632	-1.16	-0.389	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.063	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	0.096	-0.208	-0.433	0.866	-0.044	0.139	0.051	-0.064	-0.884	-2.328	-0.016	-0.106	-0.349	-0.024	0.324	0.333	-0.258	-0.386
SNP__LOC653403	-0.028	-0.113	-0.163	-0.475	-0.154	0.15	0.396	-1.881	0.567	-0.012	-2.171	0.074	-2.458	-0.193	0.117	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-0.151	0.06	0.027	-0.382	0.314	-1.669	-0.226	-2.21	-1.972	-0.148	0.004	-0.19	-0.163	-0.323	-0.327	-0.316	0.377	0.08
SNP__LOC252968	-1.369	-0.166	-0.156	-1.636	-1.134	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.585	0.549	-0.207	-0.217	-0.002	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__NCOA7	0.006	0.125	0.029	-0.569	-0.095	0.19	0.183	-0.229	0.04	0.072	-0.438	-0.062	-0.137	0.025	-0.043	-0.452	0.832	0.244	0.306	-0.24	-0.049	0.201	0.071	-0.248	-0.13	0.144	0.249	0.556	0.294	-3.369	0.044	0.015	0.161	-0.195	0.027	-0.227	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__IGHV3-9	0.717	-1.798	0.673	2.341	-0.959	-2.449	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.526	1.032	1.326	-1.306	0.744	2.483	1.498	0.717	-1.884	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__LCE3C	-1.958	0.495	-0.129	-2.13	-1.861	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	0.986	-1.643	0.174	0.268	0.015	-0.255	-0.111	0	-1.569	-1.451	-2.241	-1.976	-1.915	-2.744	-2.627
SNP__LOC643827	-0.26	-0.178	-0.352	-0.211	-0.099	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-2.709	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.162	-0.24	-0.164	0.047	0.315	-2.826	0.168	0.002	-0.053	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
