Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__ZNF291	1.389	1.103	-2.232	0.842	-2.143	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.309	-1.604	1.19	1.798	1.79	-1.361	1.133	1.031	-1.919	0	-1.574	1.463	1.105
SNP__LOC643827	-0.26	-0.209	-0.352	-0.211	-0.099	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.186	0.2	0.047	-2.826	0.168	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__LOC653403	-0.028	-2.145	-0.163	-0.475	-0.154	0.396	-1.881	0.567	-0.012	-2.171	0.074	-2.458	-0.193	0.117	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	0.06	0.027	-0.226	-1.972	-0.148	-0.19	0.187	-0.163	-0.323	-0.327	-0.316	0.377	0.08
SNP__LOC646663	0.003	-2.47	0.093	-3.962	0.219	0.152	0.408	-0.301	0.1	-2.377	-0.364	0.28	0.594	-2.083	0.593	-0.392	0.016	0.095	-2.244	-0.019	-0.177	0.619	0.189	0.666	0.042	-0.159	-0.223	-1.959	-2.285	0.55	0.802	-0.286	0.078	0.066	0.001
SNP__LOC643473	-0.26	-0.209	-0.352	-0.211	-0.07	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.186	0.2	-0.383	-0.676	0.188	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__NCOA7	0.006	-0.209	0.029	-0.569	-0.095	0.183	-0.229	0.04	0.072	-0.438	-0.062	-0.137	0.025	-0.043	0.832	0.244	0.306	-0.24	-0.049	0.201	0.071	-0.248	0.144	0.249	0.044	0.161	-0.195	-0.227	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__GALNTL2	0.008	0.157	-0.037	-0.153	0.023	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	-0.208	-0.457	-0.248	-0.132	-0.101	-0.064	-0.361	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__PTPRN2	-0.54	0.186	0.355	2.806	0.212	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.264	0.45	0.006	0.092	0.206	0.691	0.507	-0.225	-0.332	2.594	0.258	0.53	-0.226	-0.266	-0.906	0.263	-0.308	-0.319	-0.288	-0.046	0.028
SNP__ZNF28	0.003	0.172	0.093	0.166	0.219	0.152	0.408	-0.301	0.1	0.43	-0.364	-3.273	0.478	0.334	0.584	-0.376	0.016	-3.578	0.287	-0.019	-0.177	-0.641	0.029	0.182	-0.158	-0.159	-0.223	0.457	0.286	0.55	0.917	-0.286	0.088	0.066	0.001
SNP__LOC440300	-0.003	0.157	-0.185	-0.095	0.12	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.064	0.16	-0.238	-2.399	0.202	-0.188	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__WWOX	-2.18	-2.831	0.092	0.19	-2.109	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	0.457	-2.223	-0.561	-0.206	-2.091	0.541	-2.344	1.107	-0.132	-2.033	0.479	-0.056	-0.372
SNP__TRBV6-2	0.0098	0.186	0.355	0.322	-0.135	0.042	-0.1872	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.267	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	0.122	0.343	0.191	0.459	0.526	-0.864	-0.0908	-0.273	-0.282	0.0294	-0.2956	-0.317	-0.042	0.028
SNP__LOC388152	-0.003	0.157	-0.185	-0.095	0.12	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.064	0.16	-0.238	-2.399	0.202	-0.188	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__LOC161527	-0.003	0.157	-0.185	-0.095	0.12	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.064	0.16	-0.238	-2.399	0.202	-0.188	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__ZPBP2	0.376	-0.203	1.862	0.242	-0.07	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	1.946	-0.191	-0.193	-0.32	-0.363	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__GSDML	0.376	-0.203	1.862	0.242	-0.07	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	1.946	-0.191	-0.193	-0.32	-0.363	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC391322	-0.028	-2.145	-0.163	-0.475	-0.154	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	0.06	0.027	-0.226	-1.972	-0.148	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__GSTT1	-0.028	-2.145	-0.163	-0.475	-0.154	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	0.06	0.027	-0.226	-1.972	-0.148	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__EB-1	0	-0.895	0.219	0.241	-1.335	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	-1.554	0.719	0.221	-0.271	0.162	-0.278	-1.876	-0.239	-0.004	0.561	0.315	-0.262	-0.046	-0.007
SNP__RNF152	0.013	-0.881	0.086	-0.162	-2.938	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-0.73	-0.548	-0.216	0.137	-0.198	-0.16	-3.815	-0.028	-0.793	-0.615	-0.284	0.239	0.234
SNP__CDKN2A	-0.648	-2.561	-1.03	-0.275	0.166	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-2.756	-2.448	-2.158	0.031	-0.845	-0.064	-0.228	-2.484	-2.568	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__ESR1	0.006	-0.209	-0.415	-0.507	-0.091	0.167	-0.231	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	0.532	-0.42	-4.299	-0.261	-0.076	0.251	0.236	-0.248	0.237	0.249	0.044	0.161	-0.195	-0.226	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__LOC653399	-0.028	-2.145	-0.163	-0.475	-0.154	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	0.06	0.027	-0.226	-1.972	-0.148	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__DLG2	-0.634	0.18	-0.244	-0.632	-1.16	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	-0.208	-0.433	0.051	-0.884	-2.328	-0.106	0.162	-0.349	-0.024	0.324	0.333	-0.258	-0.386
SNP__C9orf53	-0.648	-0.232	-1.03	-0.275	0.166	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.088	-2.448	-2.158	0.031	-0.845	-0.064	-0.228	-2.484	-2.568	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
