Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg19055231__STAC	0.76327	0.065162	0.039476	0.92712	0.13442	0.038438	0.92847	0.023621	0.050088	0.089373	0.90614	0.053059	0.10935	0.051187	0.49542	0.040867	0.089246	0.029941	0.35623	0.40602	0.29855	0.081727	0.92573	0.09228	0.63863	0.10303	0.86768	0.29445	0.068551	0.030101	0.032966	0.088744	0.6006	0.055533	0.11865	0.93164	0.88249
Meth__cg07448460__GGH	0.03751	0.06916	0.030907	0.050647	0.021593	0.019646	0.028427	0.024761	0.046928	0.024202	0.037113	0.018109	0.067151	0.19249	0.035148	0.026466	0.079213	0.028234	0.032969	0.032092	0.03479	0.031159	0.029223	0.035744	0.038439	0.042667	0.063548	0.36163	0.026502	0.038211	0.024484	0.040186	0.020965	0.017875	0.026696	0.03245	0.02369
Meth__cg17469978__CAV1	0.073565	0.12553	0.052519	0.565	0.4382	0.037877	0.50598	0.03487	0.080347	0.056812	0.10298	0.040635	0.10294	0.080225	0.76619	0.044752	0.15253	0.032265	0.040709	0.064479	0.79267	0.027848	0.23904	0.095389	0.078602	0.24441	0.87349	0.27916	0.040379	0.02989	0.044724	0.062565	0.87243	0.097035	0.10157	0.38802	0.47909
Meth__cg06778853__PHF13	0.027601	0.037173	0.39143	0.072523	0.032744	0.74723	0.045369	0.075857	0.21965	0.065378	0.037821	0.35922	0.20064	0.20087	0.48976	0.11846	0.063346	0.49418	0.058379	0.061301	0.046676	0.14834	0.21715	0.77148	0.046739	0.10932	0.073	0.1318	0.28619	0.032478	0.94118	0.047873	0.46589	0.070447	0.046746	0.037272	0.32282
Meth__cg02849695__CCDC19	0.03696	0.044498	0.054146	0.044958	0.038323	0.96989	0.039678	0.74973	0.040082	0.058451	0.066084	0.080697	0.062919	0.047777	0.050932	0.94473	0.07746	0.44781	0.041336	0.061758	0.05005	0.92494	0.027752	0.095631	0.071132	0.15041	0.076439	0.06606	0.28093	0.053785	0.95477	0.042209	0.034612	0.099887	0.070497	0.042971	0.046635
Meth__cg08820801__FBXO17	0.93584	0.80773	0.06298	0.97276	0.033358	0.016496	0.79433	0.01796	0.13021	0.56912	0.031096	0.064203	0.95169	0.22527	0.019565	0.014604	0.43192	0.014157	0.058838	0.82559	0.21231	0.023953	0.93175	0.031208	0.72689	0.078879	0.89326	0.85478	0.02684	0.019343	0.022066	0.84976	0.016953	0.048014	0.73798	0.79033	0.95731
Meth__cg07211259__PDCD1LG2	0.81331	0.21872	0.059666	0.76218	0.80618	0.052284	0.85562	0.46059	0.70205	0.68948	0.75117	0.068915	0.20686	0.59066	0.2142	0.024139	0.1156	0.038091	0.73487	0.70226	0.89875	0.11557	0.82545	0.08559	0.75673	0.16885	0.81211	0.26967	0.14104	0.0576	0.051492	0.30961	0.57979	0.20401	0.81391	0.69716	0.66784
Meth__cg13573276__RDHE2	0.016523	0.014317	0.93772	0.020033	0.016051	0.41125	0.032561	0.88843	0.016928	0.022355	0.71951	0.93142	0.49314	0.11538	0.024764	0.080129	0.037636	0.17946	0.06535	0.02112	0.42463	0.43812	0.01845	0.036997	0.034766	0.028797	0.33441	0.025448	0.050405	0.018971	0.11309	0.017795	0.039131	0.023443	0.021787	0.019681	0.016418
Meth__cg13997435__S100A2	0.051686	0.15071	0.049348	0.38887	0.55394	0.040764	0.6049	0.020118	0.35763	0.63282	0.65598	0.024283	0.053787	0.34525	0.03444	0.040098	0.08549	0.0314	0.57216	0.77358	0.85043	0.049118	0.26298	0.094232	0.51519	0.15065	0.49597	0.27491	0.036023	0.033339	0.049017	0.05212	0.047993	0.34487	0.67144	0.55196	0.43255
Meth__cg18635110__C20orf116	0.068293	0.064308	0.064769	0.057546	0.046624	0.044366	0.070425	0.036992	0.05093	0.46486	0.047904	0.041511	0.071131	0.053205	0.075788	0.040466	0.078092	0.055481	0.059754	0.076833	0.06892	0.05233	0.042235	0.07065	0.06644	0.074467	0.12055	0.085202	0.054306	0.065625	0.063331	0.053476	0.049937	0.092281	0.070743	0.077949	0.071939
Meth__cg15182360__PCDH20	0.059401	0.056993	0.39037	0.080845	0.084398	0.86733	0.067436	0.080093	0.16287	0.094394	0.2909	0.085648	0.34605	0.11356	0.063759	0.63286	0.11861	0.070033	0.069841	0.13666	0.11073	0.16912	0.050146	0.12882	0.078431	0.11842	0.12769	0.079328	0.16829	0.067919	0.12504	0.043772	0.10591	0.28497	0.055772	0.074242	0.088437
Meth__cg22764925__GGT1	0.060804	0.040526	0.065816	0.04761	0.070107	0.7483	0.051214	0.15136	0.072914	0.078281	0.05595	0.064481	0.072193	0.054978	0.098699	0.92937	0.085091	0.23331	0.065002	0.090104	0.058138	0.13829	0.39381	0.11045	0.051629	0.069589	0.096655	0.062972	0.87777	0.44626	0.076552	0.051378	0.23052	0.13641	0.12642	0.060514	0.058007
Meth__cg04868764__SPINT1	0.067673	0.039414	0.06926	0.06449	0.060484	0.93216	0.06739	0.053747	0.05312	0.10007	0.05611	0.11843	0.12087	0.071928	0.090338	0.11373	0.1645	0.45753	0.051329	0.074583	0.058363	0.93036	0.070017	0.86581	0.054502	0.10343	0.09068	0.077201	0.83822	0.042833	0.89214	0.046628	0.049078	0.2364	0.065869	0.052553	0.062766
Meth__cg20910746__BBOX1	0.079761	0.047342	0.06931	0.10448	0.099718	0.16757	0.30616	0.11463	0.063221	0.066072	0.078231	0.14677	0.11635	0.066746	0.086257	0.3683	0.16245	0.33026	0.2078	0.19067	0.10913	0.73935	0.30422	0.19447	0.21008	0.26766	0.12299	0.12502	0.11109	0.059998	0.55165	0.039365	0.095006	0.29988	0.10318	0.07525	0.1929
Meth__cg13301014__SPINT2	0.037481	0.037453	0.046788	0.070748	0.10169	0.72871	0.051031	0.050613	0.038186	0.053941	0.056563	0.045625	0.071417	0.039489	0.050164	0.31441	0.07776	0.087662	0.060604	0.075175	0.11245	0.37049	0.047671	0.083922	0.083668	0.10581	0.090909	0.082388	0.16011	0.040157	0.25582	0.042934	0.092701	0.084077	0.043027	0.053602	0.076798
Meth__cg01242619__PLEC1	0.071044	0.061516	0.070769	0.069439	0.084677	0.67605	0.063481	0.11441	0.054454	0.091508	0.059834	0.45772	0.27211	0.08028	0.071249	0.10347	0.09815	0.25432	0.066725	0.081414	0.059935	0.8717	0.088765	0.092243	0.081241	0.12029	0.10837	0.097254	0.094879	0.072633	0.8337	0.09608	0.052639	0.050233	0.12352	0.064944	0.058657
Meth__cg06277481__ANKRD47	0.3887	0.035049	0.0305	0.96885	0.03132	0.96199	0.83729	0.023472	0.13174	0.056615	0.96838	0.028744	0.55992	0.11193	0.96064	0.078286	0.074155	0.018808	0.025886	0.034233	0.89394	0.026397	0.023691	0.065727	0.031009	0.039405	0.91897	0.049635	0.050418	0.024354	0.039796	0.025463	0.6141	0.062631	0.44214	0.31146	0.58146
Meth__cg01103730__IL20	0.12576	0.10194	0.2703	0.19263	0.0315	0.37226	0.07774	0.88403	0.06848	0.085032	0.66099	0.64629	0.50825	0.068174	0.7226	0.9032	0.16592	0.47137	0.25692	0.26578	0.6907	0.70012	0.79372	0.87106	0.09967	0.35096	0.070491	0.16741	0.89772	0.47189	0.86232	0.070507	0.87165	0.3104	0.18308	0.12717	0.20886
Meth__cg24833277__FAM83A	0.035827	0.046617	0.65326	0.035901	0.27057	0.8958	0.038883	0.87476	0.026825	0.044809	0.72798	0.12895	0.086639	0.30032	0.70175	0.94352	0.15182	0.87862	0.1939	0.20722	0.53022	0.9047	0.25579	0.2256	0.03508	0.14282	0.053228	0.12072	0.88668	0.38111	0.9273	0.029167	0.078579	0.083235	0.29127	0.31063	0.16265
Meth__cg21493583__CRIPT	0.086585	0.10311	0.77471	0.18961	0.12786	0.77284	0.2087	0.4955	0.14688	0.11081	0.43232	0.26204	0.30274	0.2717	0.37887	0.15299	0.20542	0.10375	0.091823	0.19679	0.10936	0.24198	0.26701	0.54788	0.50618	0.23717	0.18001	0.10663	0.063017	0.08414	0.32558	0.17863	0.55285	0.26007	0.15832	0.11746	0.17199
Meth__cg03000846__RAC3	0.03887	0.052198	0.84693	0.79613	0.167	0.8844	0.25557	0.38286	0.2407	0.49661	0.028168	0.95977	0.59755	0.21708	0.45242	0.63124	0.56206	0.9526	0.68227	0.61985	0.03108	0.96952	0.55245	0.94933	0.93265	0.32386	0.057362	0.18263	0.52379	0.61736	0.97042	0.44618	0.01872	0.1515	0.5172	0.023817	0.023589
Meth__cg06119575__TAL2	0.10012	0.072806	0.39277	0.062783	0.063225	0.89841	0.10781	0.92706	0.25943	0.078993	0.83141	0.69468	0.63483	0.23555	0.72825	0.91111	0.27867	0.52593	0.096774	0.13725	0.1245	0.87936	0.4417	0.79581	0.070991	0.17377	0.35539	0.14488	0.87783	0.85709	0.84144	0.075314	0.12467	0.31347	0.13239	0.14608	0.096358
Meth__cg07908874__TUBGCP2	0.065288	0.074307	0.89045	0.49069	0.14346	0.89734	0.066634	0.64783	0.21378	0.079362	0.22934	0.66604	0.11107	0.20721	0.11607	0.81098	0.11559	0.85596	0.16372	0.080597	0.085484	0.8779	0.078094	0.84344	0.083305	0.23253	0.072633	0.13885	0.42263	0.10951	0.86493	0.063749	0.049729	0.074136	0.83956	0.064022	0.058976
Meth__cg12970084__ELF3	0.031584	0.025603	0.042586	0.072646	0.2383	0.88281	0.060399	0.038409	0.026411	0.071463	0.027701	0.34476	0.26307	0.028613	0.055362	0.80854	0.081488	0.40282	0.16846	0.18852	0.61554	0.55556	0.19761	0.82692	0.082049	0.1235	0.17345	0.047718	0.71489	0.040006	0.56674	0.057091	0.041491	0.1368	0.095138	0.10298	0.080519
Meth__cg03289872__ZNF667	0.94389	0.041867	0.02803	0.90315	0.027271	0.016565	0.92709	0.49939	0.021979	0.92602	0.048038	0.076653	0.90945	0.20341	0.053988	0.020615	0.14214	0.13388	0.73242	0.90972	0.47119	0.019784	0.023711	0.83436	0.24297	0.088418	0.70931	0.31653	0.026463	0.4036	0.42331	0.13109	0.66551	0.066995	0.88613	0.84158	0.62071
Meth__cg23613317__LARP1	0.072952	0.096369	0.7824	0.13242	0.082979	0.88962	0.086897	0.91516	0.43626	0.073621	0.88792	0.602	0.72989	0.39995	0.41386	0.89715	0.39357	0.69157	0.083825	0.097112	0.080109	0.89771	0.090634	0.81449	0.080833	0.14807	0.18438	0.16238	0.88573	0.11466	0.62775	0.062958	0.077075	0.13003	0.079965	0.084131	0.098184
Meth__cg25433648__S100A14	0.03044	0.026604	0.10647	0.16025	0.33014	0.94223	0.055891	0.30945	0.45602	0.26354	0.83972	0.045571	0.050158	0.4016	0.12497	0.95036	0.03351	0.93421	0.097126	0.1801	0.92804	0.92799	0.12793	0.92623	0.04067	0.063969	0.074511	0.047159	0.94661	0.040479	0.94406	0.025748	0.029064	0.59538	0.046193	0.045928	0.031767
Meth__cg21087137__MGC26856	0.96582	0.040088	0.92705	0.96307	0.83564	0.96193	0.87974	0.061552	0.97116	0.05362	0.95567	0.077682	0.79779	0.75964	0.88137	0.38072	0.91298	0.036602	0.06827	0.09363	0.966	0.043178	0.32478	0.60466	0.57463	0.41365	0.93589	0.061564	0.056584	0.47603	0.04269	0.95365	0.97887	0.23798	0.96482	0.95073	0.96828
Meth__cg23799313__PAQR7	0.074643	0.03129	0.061469	0.090851	0.053866	0.443	0.043641	0.32986	0.053151	0.053814	0.082471	0.083239	0.081552	0.053106	0.11418	0.37085	0.12001	0.34088	0.064523	0.090024	0.067745	0.54268	0.19927	0.6003	0.077852	0.058216	0.066436	0.074615	0.51678	0.12556	0.17658	0.029076	0.029388	0.22172	0.054137	0.037208	0.04449
Meth__cg23799276__NUP210	0.081755	0.083301	0.086868	0.078426	0.047744	0.68181	0.11655	0.18176	0.08311	0.082918	0.55181	0.071611	0.11624	0.099638	0.12276	0.14884	0.083385	0.35774	0.05884	0.12075	0.068555	0.16491	0.18291	0.093512	0.083659	0.10725	0.12371	0.10643	0.18337	0.055287	0.11634	0.058412	0.052595	0.15958	0.069522	0.079156	0.074449
Meth__cg06022562__FLJ13841	0.085558	0.10554	0.81722	0.072057	0.059399	0.92006	0.080737	0.8998	0.1083	0.075742	0.67222	0.2069	0.27778	0.09894	0.84796	0.93214	0.19148	0.89282	0.074745	0.075066	0.093206	0.93661	0.064456	0.85915	0.12639	0.27999	0.097748	0.10402	0.93451	0.49174	0.8614	0.086884	0.36575	0.15427	0.081413	0.10217	0.27364
Meth__cg01646665__TMEM79	0.03049	0.039012	0.1084	0.15621	0.032032	0.7164	0.075569	0.52293	0.07336	0.035257	0.02801	0.75763	0.14043	0.085961	0.056613	0.084144	0.093932	0.042791	0.054557	0.041235	0.063337	0.77509	0.12657	0.36229	0.21729	0.067576	0.033162	0.04515	0.20351	0.062817	0.034564	0.076642	0.13033	0.030468	0.077972	0.033553	0.029956
Meth__cg15958424__ACPP	0.081619	0.054936	0.099589	0.057897	0.17052	0.64915	0.11261	0.42689	0.081173	0.22954	0.41355	0.24419	0.11825	0.084071	0.36306	0.81598	0.088472	0.64299	0.065888	0.060295	0.30969	0.38604	0.15278	0.70139	0.094867	0.20242	0.15679	0.13556	0.82287	0.091768	0.43041	0.058362	0.21919	0.13085	0.14562	0.098747	0.10263
Meth__cg22672790__GABRA6	0.89531	0.41649	0.11888	0.89311	0.64329	0.073862	0.77026	0.10743	0.83073	0.47545	0.65255	0.22912	0.25671	0.70926	0.17284	0.14785	0.20888	0.11376	0.07695	0.64146	0.49186	0.072636	0.90288	0.11925	0.44467	0.1596	0.69858	0.1462	0.06827	0.28479	0.14758	0.24375	0.068845	0.093436	0.095582	0.89679	0.82028
Meth__cg11618577__KRTCAP3	0.018845	0.56951	0.96911	0.97246	0.84277	0.97121	0.015931	0.027563	0.62178	0.32949	0.020156	0.46041	0.95464	0.692	0.018964	0.97336	0.056379	0.97335	0.31636	0.22678	0.029379	0.9675	0.19384	0.94986	0.34096	0.024756	0.039089	0.60624	0.87465	0.019757	0.96868	0.96901	0.97928	0.8934	0.97338	0.45358	0.016067
Meth__cg02976617__NUDT12	0.058631	0.047604	0.046489	0.27527	0.042255	0.047436	0.044748	0.033228	0.038036	0.040623	0.047939	0.039096	0.24549	0.0455	0.04576	0.043204	0.091078	0.032205	0.047242	0.039591	0.044147	0.047849	0.0439	0.10394	0.047409	0.071123	0.074915	0.09054	0.039899	0.81563	0.049733	0.042573	0.039066	0.080738	0.048871	0.43988	0.34763
Meth__cg09967877__SYT12	0.025161	0.024028	0.046988	0.031161	0.042502	0.42293	0.042959	0.96831	0.031525	0.031037	0.17665	0.40282	0.077616	0.038019	0.83445	0.035141	0.12787	0.055234	0.018193	0.030394	0.043409	0.91797	0.030766	0.32507	0.5612	0.026786	0.0358	0.47117	0.14314	0.016036	0.1659	0.013449	0.66579	0.086122	0.035828	0.027042	0.028901
Meth__cg13757640__ARHGAP8	0.019627	0.018656	0.034462	0.019309	0.028167	0.95373	0.022511	0.011898	0.018361	0.022705	0.017072	0.0177	0.049273	0.018419	0.01995	0.085307	0.034516	0.34852	0.022994	0.029716	0.021817	0.83965	0.02389	0.76033	0.04247	0.036699	0.038812	0.03068	0.30019	0.021524	0.057348	0.016915	0.019506	0.047453	0.021278	0.028678	0.027353
Meth__cg19906550__SLC22A18	0.039893	0.031305	0.059861	0.10125	0.32707	0.92602	0.0913	0.044794	0.027812	0.25981	0.099694	0.41981	0.11473	0.038149	0.039689	0.9207	0.11026	0.86608	0.60585	0.86673	0.90142	0.70892	0.35936	0.85709	0.21451	0.44244	0.053949	0.13513	0.91677	0.71895	0.88788	0.028183	0.089485	0.14424	0.78173	0.089309	0.040274
Meth__cg00673191__DOPEY2	0.068182	0.072102	0.57709	0.091344	0.086237	0.83658	0.090206	0.86324	0.68077	0.058868	0.65159	0.2425	0.26187	0.47178	0.65658	0.56674	0.16736	0.29676	0.061847	0.090241	0.092583	0.775	0.068129	0.081341	0.12534	0.24718	0.17652	0.10886	0.80671	0.69971	0.41973	0.080774	0.070452	0.10426	0.086177	0.085878	0.089568
