Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC643473	-0.26	-0.178	-0.209	-0.352	-0.211	-0.07	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__IGL@	-1.694	-1.159	-3.74	0.248	-2.86	-0.961	-3.126	0.818	-0.216	1.28	-0.012	-0.384	0.122	-0.092	-2.723	0.714	-0.047	0.611	0.439	0.55	0.535	-0.404	-0.171	0.179	-0.122	0.659	0.396	0.716	-1.059	0.226	-0.148	0.565	-0.19	0.383	-0.163	-3.338	-3.43	0.69	0.757	0.514
SNP__WWOX	-2.18	-0.55	-2.831	0.092	0.19	-2.109	-1.822	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	-2.395	0.457	-2.223	-1.648	-0.561	-0.206	-2.091	0.026	0.541	-2.344	1.107	-0.132	-2.033	0.479	-0.056	-0.372
SNP__WNK1	0.026	0.099	0.18	0.122	0.305	-2.678	-0.54	-0.122	0.189	-3.535	0.077	-0.939	0.322	0.394	0.55	0.107	0.382	0.808	-0.046	0.007	-0.115	-0.394	-0.18	-0.318	0.118	0.462	-0.447	-0.055	0.032	-0.177	0.578	0.01	0.164	0.007	0.06	0.193	0.045	-0.3	0.583	0.28
SNP__LOC440300	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__C20orf133	0.013	0.478	-2.773	-3.412	0.535	-2.106	0.09	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-2.389	0.214	0.422	-3.787	0.305	0.243	-0.409	-0.69	0.143	-3.628	0.252	0.31	0.582	-0.578	0.868	0.028	0.109	-0.267	0.024	-0.782	-0.292	-3.619	-0.277	-0.375
SNP__HLA-DRB5	-0.372	-0.275	-0.505	1.173	-0.434	-1.003	-0.07	0.144	0.266	-0.275	0.042	0.994	0.89	-1.493	1.236	0.357	-0.486	-0.785	1.626	0.025	1.158	1.099	0.857	0.848	-0.42	-1.807	0.066	-0.056	-0.222	1.776	1.042	0.017	-0.896	0.284	-0.019	1.208	0.011	0.062	-0.222	-0.379
SNP__GALNTL2	0.008	-0.153	0.157	-0.037	-0.153	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__LOC388152	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__LOC644125	-1.687	-2.113	0.128	0.929	0.894	-1.571	-0.54	-1.657	0.909	-2.359	0.077	-2.166	0.968	1.128	-1.62	-0.648	0.364	0.146	-1.847	0.007	0.651	-2.228	-1.774	-1.502	0.922	-1.829	1.004	-0.051	-1.901	-1.977	0.021	-2.172	-1.48	-1.792	-1.433	-0.348	-1.841	0.456	0.568	0.28
SNP__MGAM	0.006	-2.204	0.186	0.355	0.322	-0.135	0.422	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.234	-0.327	0.23	-0.287	-0.321	-0.317	-0.042	0.028
SNP__LOC161527	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__LCE3C	-1.958	0.495	-2.398	-0.129	-2.13	-1.861	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	-2.241	-1.976	-1.915	-2.744	-2.627
SNP__CRKRS	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__ESR1	0.006	0.125	-0.209	-0.415	-0.507	-0.091	-0.558	0.167	-0.231	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	0.532	-0.42	-4.299	-0.261	-0.076	0.251	0.236	-0.248	-0.118	0.237	0.249	-0.704	0.044	0.161	-0.195	0.027	-0.226	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__SMAD4	0.013	-0.541	-0.881	0.086	-0.128	-0.147	-0.178	-0.444	0.428	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.803	-0.454	-0.443	-0.217	-0.028	-0.461	-0.556	-0.641	-0.525	-0.405	-0.548	-0.031	-0.56	0.211	-0.147	-0.015	-0.168	-0.629	-0.367	-0.793	-0.615	-0.284	0.239	0.234
SNP__SLC25A18	-0.01	-0.086	-0.197	-0.134	-0.467	2.812	0.05	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	0.301	0.217	0.723	0.172	0.157	-0.404	1.888	-0.131	-0.122	0.062	0.04	0.328	-0.202	-0.752	2.554	0.004	-0.206	0.227	0.058	-0.3	-0.32	-0.289	0.37	0.095
SNP__LOC220929	0.021	-3.307	0.326	-0.091	0.102	-2.386	-0.139	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.183	0.083	0.042	0.762	-2.689	-0.356	0.09	-0.589	-2.667	0.019	0.213	-0.043	-1.109	0.189	0.189	0.033	0.416	-0.204	0.008	-0.773	-0.302	0.08	-0.074	0.009
SNP__EB-1	0	-0.231	-0.895	0.219	0.241	-1.335	0.268	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	-1.554	0.134	0.719	0.221	-0.062	-0.271	0.162	-0.278	0.011	-1.876	-0.239	-0.004	0.561	0.315	-0.262	-0.046	-0.007
SNP__GSTM1	1.308	0.102	2.472	-0.243	-0.13	1.142	0.296	0.868	-0.518	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	-0.257	-0.444	2.34	1.976	1.276	2.435	2.546	1.445	1.813	-0.172	1.723	-0.063	1.282	0.164	0.188	1.108	1.492	-0.384	-0.27	0.043	-0.303	-0.303	1.499	1.386
SNP__ZNF291	1.389	1.241	1.103	-2.232	0.842	-2.143	-1.568	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.442	1.309	-1.604	-0.64	1.19	1.798	1.79	1.377	-1.361	1.133	1.031	-1.919	0	-1.574	1.463	1.105
SNP__LOC646663	0.003	-0.119	-2.47	0.093	-3.962	0.219	0.1	0.152	0.408	-0.301	0.1	-2.377	-0.364	0.28	0.594	-2.083	0.593	-0.392	0.016	0.095	-2.244	-0.019	-0.177	0.619	0.119	0.189	0.666	-0.021	0.042	-0.159	-0.223	0.002	-1.959	-2.285	0.55	0.802	-0.286	0.078	0.066	0.001
SNP__SLC44A5	0.014	0.102	-0.219	-0.32	-0.214	0.166	-3.945	-0.041	0.54	-0.944	0.098	-0.494	-0.029	-0.116	-0.193	-0.172	-0.263	-0.062	-3.665	0.254	0.226	-0.47	-0.201	-0.126	0.39	-0.172	-0.032	-0.063	0.279	-3.573	0.174	0.014	-0.139	0.045	-0.082	0.058	-0.3	-0.284	-0.366	-0.36
SNP__LOC643847	-0.033	0.113	-0.196	0.435	-0.1	0.207	-0.493	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.28	0.23	-0.021	-0.225	-0.181	0.177	0.093	-0.11	0.111	-0.222	-0.037	-0.033	0.051	-0.159	0.307	-0.016	-3.563	0.153	-0.242	0.194	0.326	0.074	-0.458	-0.383
SNP__ZNF28	0.003	-0.12	0.172	0.093	0.166	0.219	0.1	0.152	0.408	-0.301	0.1	0.43	-0.364	-3.273	0.478	0.334	0.584	-0.376	0.016	-3.578	0.287	-0.019	-0.177	-0.641	0.119	0.029	0.182	-0.021	-0.158	-0.159	-0.223	0.002	0.457	0.286	0.55	0.917	-0.286	0.088	0.066	0.001
SNP__TRY6	0.012	0.553	0.186	0.355	0.322	-1.816	0.45	-1.938	0.854	0.715	-0.643	0.29	1.134	-4.448	-0.251	-2.001	-1.912	0.015	-2.121	-0.395	-0.392	0.18	0.067	0.122	-0.125	-2.332	0.191	-0.039	0.48	0.526	-0.864	-2.463	-3.111	-0.313	0.262	-2.35	-0.319	0.188	-0.042	0.028
SNP__RHD	-2.45	-0.136	-0.18	-0.234	-0.44	0.218	-0.163	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	-1.752	0.344	-0.015	0.387	0.262	0.226	0.206	0.018	-0.156	0.057	0.245	0.482	-0.299	0.165	-2.045	-1.621
SNP__ODF4	-0.021	-0.166	0.165	-0.156	-0.362	0.458	-0.517	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-0.61	-0.217	-0.182	0.164	-0.556	-0.156	-0.366	-0.318	-3.845	-0.307	-0.299	-3.855	-4.116
