Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751
SNP__GRB7	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	-0.034
SNP__TCAP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034
SNP__POU6F2	0.01	0.649	0.2	0.468	0.372	-2.998	0.082	-0.094	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.657	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.104	0.17	0.191	-0.085	0.578	0.431	-0.201	-0.027	0.546	-1.934	-2.616	0.126	0.315	0.558
SNP__PPARBP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	-0.362	0.282	-0.144	0.294	-0.034
SNP__NEUROD2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034
SNP__PNMT	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034
SNP__LOC645532	0.007	0.125	0.185	0.108	0.164	0.226	0.439	0.123	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	0.039	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.033	0.474	-0.195	0.037	-2.549	0.25	0.037	0.218	0.053	-2.489
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034
SNP__PERLD1	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034
SNP__LOC643827	-0.26	-0.178	-0.209	-0.352	-0.211	-0.099	0.064	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-2.709	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	-0.24	0.047	-2.826	0.168	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.159
SNP__WNK1	0.026	0.099	0.18	0.122	0.305	-2.678	-0.54	-0.009	-0.122	0.189	-3.535	0.077	-0.939	0.322	0.394	0.55	0.107	-3.139	0.382	0.808	-0.046	0.007	-0.115	-0.394	-0.18	-0.318	0.118	0.462	-0.447	-0.055	0.032	-0.177	0.578	0.01	0.164	0.007	0.06	0.193	0.045	0.583
SNP__STARD3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	-0.034
SNP__LOC643473	-0.26	-0.178	-0.209	-0.352	-0.211	-0.07	0.064	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.573	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.159
SNP__UGT2B17	0.01	-0.141	-0.225	-0.182	-0.133	-0.365	0.075	-1.995	0.185	-0.225	-0.258	0.075	-1.975	0.354	-0.145	0.018	-0.167	-0.398	-0.088	-0.067	0.394	-0.254	-0.291	-0.072	-0.197	-0.166	-0.37	-0.316	0.435	-0.051	-0.232	0.456	-0.486	-0.171	0.975	-0.063	-0.064	-1.543	-1.43	-0.039
SNP__RPS10P2	0.013	0.304	-2.773	0.122	0.437	-0.355	0.09	-0.023	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	0.05	-0.604	-0.007	0.422	-0.08	0.305	0.168	0.109	0.067	0.143	-1.165	0.252	0.157	-0.255	-0.374	0.868	0.028	0.109	0.056	0.024	-0.133	-0.292	-0.202
SNP__ANKRD15	-0.657	-0.203	-2.643	-1.013	-3.018	0.182	-0.496	-0.573	-0.451	0.095	0.341	-0.475	-1.121	-0.033	-0.739	-0.129	0.558	0.296	-1.137	-0.27	0.831	0.742	-2.347	0.383	0.366	-1.564	0.112	-0.84	-0.124	-0.627	-0.228	-0.826	-2.804	-0.073	-0.722	-0.41	-0.332	-0.181	-0.306	-0.084
SNP__LOC553158	-0.003	-0.092	-0.2	-0.161	-0.475	-0.154	0.018	0.141	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	-0.369	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	-0.056	0.51	0.075	0.009	-0.327	-0.431
SNP__CFHL4	0.651	0.5	0.162	0.706	0.482	0.492	0.442	0.058	2.355	0.418	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	-1.672	0.176	0.221	2.628	-2.421	-0.061	0.408	0.351	0.315	0.099	2.833	0.39	0.745	0.263	-0.264	-1.268	0	0.029	0.153	0.243	0.291	0.282	0.569
SNP__LOC442117	0.015	-0.202	-0.243	-0.174	-1.788	-0.878	0.066	-1.931	-0.432	-0.227	-2.15	-1.141	-0.466	-0.032	-1.806	0.124	0.783	-1.455	-0.09	-1.049	-0.029	-0.254	-0.291	0.035	-0.206	1.777	-1.562	0.116	0.17	-0.052	-0.234	-1.502	-2.091	-0.171	-0.178	-1.975	-0.008	-1.681	-0.307	-0.04
SNP__C6orf142	0.009	1.173	-0.215	1.823	-0.608	1.949	1.676	2.071	1.548	-0.236	-0.367	1.675	-1.374	2.177	2.205	0.02	1.728	0.706	1.688	1.511	-0.392	2.174	0.149	1.363	0.084	2.165	-0.129	0.392	0.246	-0.056	1.373	0.473	2.372	0.017	1.813	0.346	0.144	-2.114	2.116	-0.222
SNP__BCAS1	0.013	1.068	-2.242	2.02	0.565	0.515	0.076	0.262	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.274	0.352	0.268	0.169	0.238	0.305	2.058	2.247	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.371	0.333	0.855	-0.137	0.32	0.395
