Cell lines	AU565	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg21789545__COL9A1	0.032243	0.84176	0.15382	0.60232	0.87411	0.76947	0.29447	0.81352	0.29131	0.21061	0.51965	0.26305	0.39998	0.09472	0.035937	0.064909	0.11929	0.36511	0.13804	0.70646	0.18448	0.093677	0.44263	0.087827	0.25976	0.45375	0.055235	0.84428	0.029728	0.1361	0.08538	0.24205	0.17193	0.4613
Meth__cg07706362__ZNF91	0.02389	0.063875	0.049325	0.15351	0.44974	0.23044	0.25966	0.25536	0.094027	0.1118	0.21252	0.095408	0.056635	0.068056	0.066057	0.077313	0.07734	0.082076	0.15454	0.073781	0.071208	0.065604	0.33607	0.057427	0.06927	0.21862	0.0316	0.33995	0.054326	0.2585	0.22469	0.17681	0.20092	0.36876
Meth__cg04962134__TRIM51	0.03257	0.41912	0.40642	0.60961	0.5416	0.75502	0.046795	0.53144	0.33468	0.13493	0.60049	0.48944	0.26591	0.13094	0.028118	0.048687	0.067823	0.33735	0.12657	0.44208	0.14533	0.07216	0.4938	0.051698	0.16284	0.38713	0.041767	0.42671	0.043137	0.068173	0.13457	0.19256	0.44837	0.41456
Meth__cg02868123__REGL	0.020571	0.92329	0.098351	0.83298	0.0081173	0.91322	0.14209	0.91277	0.20443	0.17409	0.60442	0.066798	0.2637	0.052942	0.022113	0.029324	0.16588	0.36231	0.095724	0.79629	0.13711	0.039633	0.73383	0.051827	0.15782	0.51022	0.13924	0.80554	0.022377	0.27341	0.096722	0.069209	0.44819	0.18183
Meth__cg03469082__GABRG1	0.11362	0.29931	0.08205	0.16065	0.75428	0.52636	0.10811	0.61805	0.47361	0.23683	0.29827	0.22772	0.098792	0.18157	0.099445	0.045397	0.066898	0.082784	0.076362	0.046627	0.065978	0.10788	0.1398	0.16248	0.077967	0.3631	0.089515	0.23815	0.043284	0.11651	0.23043	0.093537	0.21924	0.12874
Meth__cg13145440__LOC81558	0.025445	0.021538	0.031544	0.024952	0.01576	0.036101	0.022875	0.023298	0.066229	0.056028	0.031185	0.022458	0.022082	0.060483	0.021002	0.22497	0.5053	0.028642	0.033834	0.027272	0.026247	0.030093	0.057427	0.057166	0.024205	0.022124	0.026711	0.033679	0.14466	0.014341	0.025726	0.030296	0.030147	0.022792
Meth__cg12348970__SLC24A2	0.061648	0.79221	0.10536	0.83973	0.87984	0.90845	0.42715	0.82377	0.65527	0.40965	0.82163	0.32367	0.84294	0.0694	0.12252	0.10511	0.11404	0.85765	0.070384	0.86772	0.16296	0.17335	0.52326	0.12852	0.37765	0.78508	0.097175	0.89111	0.068115	0.18968	0.12134	0.12283	0.50647	0.49118
Meth__cg01692572__SIAHBP1	0.045145	0.062333	0.056387	0.076846	0.037303	0.083619	0.052586	0.046135	0.25144	0.12588	0.077884	0.054462	0.037935	0.060848	0.1538	0.26996	0.080032	0.28216	0.068779	0.1302	0.28139	0.08209	0.090196	0.10408	0.034761	0.042062	0.038505	0.29197	0.052132	0.048275	0.076764	0.075476	0.051846	0.032932
Meth__cg10636246__AIM2	0.078349	0.42648	0.10706	0.29387	0.89499	0.40348	0.072034	0.48964	0.77098	0.18747	0.41184	0.60802	0.85491	0.051833	0.12641	0.20325	0.21065	0.38265	0.12165	0.038783	0.25737	0.094659	0.44243	0.10576	0.21646	0.86453	0.050966	0.052246	0.095673	0.26087	0.488	0.08654	0.57979	0.78215
Meth__cg04329382__FLJ27365	0.85458	0.8226	0.68875	0.84172	0.056457	0.062846	0.86849	0.85108	0.097449	0.80254	0.31112	0.093929	0.33913	0.63559	0.03723	0.89502	0.88391	0.42962	0.80544	0.89358	0.85648	0.49429	0.45237	0.75062	0.041198	0.076272	0.10046	0.044448	0.82426	0.052548	0.19722	0.87459	0.34806	0.064757
Meth__cg17829936__TAAR5	0.03286	0.95411	0.28154	0.89205	0.95515	0.90887	0.076818	0.82327	0.62402	0.64642	0.546	0.85224	0.21329	0.17096	0.059693	0.35671	0.17546	0.082153	0.071199	0.94311	0.62844	0.061166	0.66772	0.070583	0.33228	0.92846	0.046344	0.93352	0.036805	0.44807	0.12903	0.046996	0.86878	0.80056
Meth__cg00343092__BZRP	0.063095	0.050612	0.026033	0.049284	0.025702	0.027573	0.062804	0.039407	0.041575	0.13613	0.030518	0.031766	0.032729	0.059665	0.018807	0.14798	0.40577	0.15469	0.22864	0.29248	0.36347	0.11131	0.085416	0.081348	0.036602	0.027072	0.022837	0.026116	0.024525	0.029264	0.065044	0.11194	0.032092	0.039155
Meth__cg02854288__FHIT	0.061897	0.06852	0.16638	0.055975	0.059663	0.061664	0.057463	0.053334	0.03789	0.17927	0.064595	0.047255	0.12118	0.095371	0.079046	0.20832	0.064975	0.080901	0.10348	0.072132	0.068869	0.10789	0.079872	0.084777	0.061742	0.067774	0.071365	0.059179	0.057739	0.073696	0.068494	0.073866	0.060924	0.06024
Meth__cg04916911__NTS	0.02687	0.2207	0.035313	0.097286	0.79202	0.39597	0.036703	0.084586	0.28571	0.38313	0.23373	0.13463	0.40953	0.087776	0.058509	0.033673	0.047392	0.035737	0.091887	0.037549	0.055363	0.048565	0.093511	0.057407	0.040052	0.39705	0.065934	0.35302	0.036812	0.044842	0.058726	0.038118	0.15502	0.053984
Meth__cg21365602__GBP4	0.051039	0.5484	0.738	0.81164	0.81957	0.84344	0.086888	0.63387	0.11849	0.62895	0.80662	0.82043	0.10086	0.12945	0.16772	0.67466	0.57588	0.093401	0.12152	0.07885	0.75776	0.10521	0.78602	0.20343	0.27176	0.85066	0.099369	0.82014	0.055766	0.72402	0.096307	0.089131	0.78697	0.80919
Meth__cg22578204__TIMP3	0.084288	0.11236	0.59456	0.13012	0.97914	0.09126	0.066757	0.082239	0.0478	0.74499	0.088493	0.52987	0.14429	0.14636	0.038612	0.068701	0.080961	0.058205	0.062129	0.049315	0.078542	0.068761	0.6856	0.08022	0.36531	0.18435	0.075377	0.22711	0.053871	0.55253	0.07761	0.055187	0.086661	0.11004
Meth__cg05828624__REG1A	0.11688	0.88003	0.14558	0.76402	0.66054	0.74007	0.12989	0.31849	0.62568	0.14474	0.55594	0.33424	0.12905	0.24965	0.12652	0.090954	0.10497	0.14491	0.1295	0.47312	0.1462	0.25992	0.70619	0.1746	0.51529	0.8387	0.16111	0.66509	0.12049	0.11224	0.125	0.14362	0.3206	0.17422
Meth__cg24423088__KRTAP8-1	0.035409	0.87774	0.73051	0.91413	0.96024	0.95469	0.055007	0.87092	0.74529	0.11024	0.79797	0.75947	0.18863	0.053517	0.04127	0.042047	0.040557	0.82177	0.13374	0.86726	0.060967	0.13873	0.37721	0.067815	0.042549	0.88467	0.066332	0.92012	0.025143	0.047809	0.15728	0.051495	0.36579	0.83517
Meth__cg01283289__FLJ21963	0.03262	0.65978	0.71404	0.41907	0.39366	0.3024	0.033848	0.79843	0.51895	0.70892	0.40256	0.65708	0.34814	0.060285	0.23035	0.032146	0.03641	0.65001	0.23312	0.075893	0.70823	0.045219	0.75674	0.064958	0.38816	0.37025	0.55851	0.72248	0.18569	0.70909	0.2608	0.046543	0.74583	0.76781
Meth__cg24202119__CAPSL	0.070496	0.68779	0.74782	0.76102	0.83774	0.861	0.08256	0.6845	0.138	0.51813	0.5686	0.37015	0.43103	0.081246	0.060423	0.1271	0.074117	0.17053	0.24528	0.04236	0.13736	0.1117	0.57189	0.12067	0.076132	0.22408	0.077327	0.21506	0.069943	0.32752	0.10865	0.11565	0.44914	0.66471
Meth__cg01885635__ZNF621	0.36892	0.1165	0.67539	0.11141	0.065856	0.37244	0.41203	0.068071	0.55305	0.18301	0.283	0.0455	0.22918	0.2815	0.37162	0.1576	0.11932	0.19375	0.74541	0.1643	0.18047	0.2862	0.26345	0.29502	0.054143	0.37848	0.097219	0.1158	0.23003	0.083996	0.099814	0.15959	0.086738	0.097889
Meth__cg21660392__ABCA8	0.073809	0.43995	0.14626	0.5206	0.86946	0.84653	0.047789	0.81434	0.60688	0.46896	0.76419	0.80437	0.91522	0.22565	0.12478	0.091921	0.064857	0.81434	0.14374	0.52935	0.20355	0.18108	0.3256	0.11125	0.47744	0.47555	0.32293	0.87593	0.10297	0.12707	0.11378	0.10566	0.49147	0.31285
Meth__cg10007262__RELN	0.016704	0.8761	0.11385	0.61988	0.10922	0.066135	0.50801	0.70839	0.065965	0.8831	0.037131	0.72974	0.037615	0.030388	0.032552	0.34525	0.50044	0.52682	0.22647	0.17232	0.2739	0.033414	0.90204	0.043775	0.53332	0.70588	0.394	0.9358	0.023764	0.70846	0.15793	0.38101	0.51495	0.89558
Meth__cg23989635__CDH1	0.64228	0.063581	0.96862	0.048779	0.0549	0.040911	0.045953	0.050443	0.093967	0.077402	0.039968	0.045505	0.10406	0.076948	0.66219	0.038011	0.068377	0.056241	0.10807	0.049387	0.055096	0.045754	0.066226	0.41594	0.049494	0.044189	0.12654	0.028337	0.060104	0.032951	0.052377	0.047912	0.041385	0.036959
Meth__cg05840553__LRSAM1	0.034102	0.037754	0.084672	0.17504	0.033333	0.033345	0.22983	0.027688	0.27767	0.065823	0.064339	0.044718	0.062293	0.232	0.03523	0.043027	0.033506	0.10984	0.41865	0.12137	0.085908	0.38478	0.14447	0.11307	0.035631	0.027473	0.034806	0.036389	0.2459	0.039464	0.037555	0.19606	0.037779	0.035625
Meth__cg06940107__C21orf100	0.075508	0.18542	0.28102	0.21691	0.87566	0.81948	0.35835	0.44743	0.1981	0.16071	0.70708	0.64171	0.76755	0.16398	0.085128	0.071719	0.32565	0.90484	0.16216	0.70863	0.51531	0.079646	0.30817	0.16649	0.073781	0.71389	0.32253	0.3782	0.10943	0.58805	0.16823	0.061394	0.4776	0.24814
Meth__cg12085660__C19orf37	0.11709	0.11415	0.57334	0.10625	0.076244	0.076229	0.10627	0.098595	0.071639	0.29165	0.11125	0.098853	0.14697	0.15202	0.10774	0.092345	0.10739	0.096911	0.11417	0.10059	0.12511	0.12177	0.106	0.10248	0.085	0.086536	0.089796	0.083283	0.12207	0.079217	0.082914	0.092851	0.093213	0.088456
Meth__cg19921353__HLA-DPB1	0.039591	0.7603	0.31357	0.30265	0.86879	0.85607	0.090205	0.70528	0.42308	0.22964	0.75403	0.31285	0.43791	0.16054	0.065351	0.12064	0.12967	0.76101	0.21073	0.14786	0.18569	0.088374	0.22606	0.10365	0.13998	0.06756	0.17374	0.75442	0.049309	0.45585	0.1711	0.10064	0.27645	0.37443
Meth__cg23430664__XYLT2	0.036109	0.24643	0.32281	0.04323	0.090114	0.032528	0.068319	0.035031	0.19968	0.21506	0.062414	0.044699	0.059334	0.0697	0.06549	0.068006	0.080721	0.097182	0.29772	0.10551	0.098303	0.077282	0.23267	0.10628	0.02731	0.026754	0.065913	0.086188	0.051913	0.039506	0.06666	0.046661	0.04393	0.032915
Meth__cg25802871__FTSJ2	0.14646	0.16834	0.12143	0.11645	0.052664	0.12382	0.12194	0.10114	0.119	0.29657	0.13896	0.1116	0.10679	0.15529	0.095767	0.93465	0.11841	0.127	0.13108	0.12603	0.11197	0.14319	0.087464	0.1365	0.12651	0.11859	0.10674	0.085733	0.12177	0.087764	0.13414	0.13087	0.11724	0.12022
Meth__cg02293044__GAS2L1	0.034499	0.063633	0.055323	0.49429	0.042724	0.050426	0.086557	0.046696	0.91737	0.056791	0.07527	0.13675	0.060378	0.28089	0.031995	0.26409	0.3257	0.15572	0.12446	0.062683	0.59418	0.14174	0.11058	0.074515	0.030167	0.036728	0.04585	0.040131	0.18286	0.037624	0.052821	0.10993	0.040003	0.03087
Meth__cg02089348__TMEM129	0.50542	0.70448	0.15485	0.48914	0.041147	0.052837	0.53466	0.082397	0.90115	0.27296	0.27095	0.034444	0.050987	0.076851	0.09855	0.46813	0.52612	0.47356	0.75269	0.80677	0.23806	0.1132	0.078622	0.3318	0.022415	0.30965	0.040608	0.51066	0.30176	0.072755	0.15352	0.82591	0.28323	0.080272
Meth__cg05698090__CERK	0.15814	0.28215	0.51807	0.14335	0.063018	0.087615	0.13952	0.07909	0.52576	0.20822	0.10503	0.21799	0.077526	0.11359	0.074122	0.37667	0.22133	0.83388	0.17393	0.28277	0.37796	0.17781	0.26881	0.22968	0.079793	0.064929	0.092542	0.23868	0.057756	0.16538	0.13576	0.18452	0.099841	0.082219
Meth__cg13814950__DAPK1	0.081718	0.075342	0.13524	0.82032	0.046157	0.044666	0.070341	0.08925	0.10895	0.11136	0.060428	0.049418	0.0393	0.14594	0.47768	0.63092	0.69178	0.053524	0.062792	0.046968	0.06233	0.49021	0.12374	0.068366	0.056622	0.040281	0.078646	0.045294	0.052407	0.060172	0.086285	0.4763	0.053179	0.050737
Meth__cg02946850__GRM8	0.025803	0.81848	0.69226	0.48042	0.27586	0.89172	0.14019	0.6881	0.15909	0.17997	0.73174	0.21969	0.41247	0.10585	0.069539	0.12884	0.09275	0.76126	0.10342	0.87078	0.2696	0.098087	0.27641	0.044114	0.10827	0.38338	0.10909	0.24187	0.080086	0.18048	0.28368	0.13211	0.39904	0.22465
Meth__cg03067226__TPI1	0.037145	0.046574	0.10126	0.049523	0.041572	0.031754	0.033819	0.06331	0.30541	0.27108	0.036592	0.072869	0.036888	0.059305	0.049752	0.17002	0.067049	0.13296	0.27743	0.066707	0.11334	0.053439	0.27963	0.048425	0.030337	0.043332	0.057472	0.13052	0.043586	0.026026	0.064058	0.066741	0.084049	0.03659
Meth__cg05228408__CLCN6	0.18508	0.17733	0.3351	0.22947	0.095578	0.067816	0.30068	0.055323	0.13005	0.17672	0.0862	0.16596	0.1123	0.10295	0.44382	0.18686	0.24813	0.3988	0.73759	0.28341	0.24403	0.31365	0.063676	0.18291	0.047606	0.039759	0.47595	0.44419	0.072604	0.11229	0.10744	0.14941	0.068446	0.10838
Meth__cg07705835__IL17RC	0.047608	0.032915	0.6562	0.030887	0.040031	0.024437	0.026348	0.041265	0.072575	0.072148	0.030319	0.083566	0.048208	0.050113	0.13874	0.078344	0.13869	0.06828	0.43548	0.087047	0.039288	0.030527	0.051338	0.075232	0.046941	0.053291	0.45694	0.054836	0.03514	0.024896	0.06156	0.057762	0.04026	0.045433
Meth__cg10005894__ST6GAL1	0.096057	0.078521	0.43636	0.076578	0.082628	0.069187	0.090006	0.071193	0.072608	0.098845	0.076491	0.15505	0.06958	0.13387	0.087829	0.077402	0.27689	0.087653	0.14035	0.074791	0.10833	0.096063	0.095253	0.12162	0.060172	0.062569	0.061534	0.060215	0.071367	0.079679	0.1386	0.063646	0.061757	0.081178
Meth__cg24272559__LOC116123	0.060052	0.14199	0.58204	0.30614	0.75531	0.56246	0.1159	0.82939	0.26026	0.14388	0.48132	0.78887	0.5846	0.11879	0.11105	0.10832	0.1105	0.23836	0.1432	0.084615	0.14542	0.20372	0.34294	0.07621	0.32274	0.15471	0.10888	0.086618	0.077178	0.28251	0.2039	0.085604	0.12295	0.090744
Meth__cg20637800__BRI3	0.047011	0.040368	0.030945	0.097576	0.047487	0.027436	0.046828	0.031295	0.04073	0.084336	0.029932	0.02691	0.039692	0.082515	0.025019	0.15736	0.077288	0.12389	0.051744	0.26493	0.14685	0.10983	0.072849	0.056027	0.024295	0.021347	0.030816	0.02741	0.022993	0.026973	0.14915	0.082944	0.040484	0.032189
Meth__cg15713086__C20orf108	0.02196	0.64021	0.12515	0.11463	0.74774	0.192	0.034101	0.082733	0.080357	0.095018	0.095451	0.063567	0.077366	0.15293	0.05491	0.054678	0.041069	0.071104	0.05238	0.057492	0.31447	0.11038	0.34155	0.047619	0.080335	0.078314	0.13304	0.23881	0.054387	0.095024	0.10043	0.052946	0.10481	0.22016
Meth__cg19144013__PIR	0.17297	0.62017	0.54763	0.040411	0.026576	0.027691	0.034047	0.057093	0.064402	0.60321	0.069594	0.040172	0.037477	0.37579	0.047311	0.028614	0.040689	0.75731	0.19007	0.5559	0.48513	0.05667	0.21501	0.34762	0.034119	0.095737	0.070607	0.33712	0.10621	0.039667	0.05662	0.51122	0.3421	0.036793
Meth__cg03891319__ACY1	0.067761	0.063529	0.1529	0.10483	0.40392	0.048061	0.063932	0.061134	0.11928	0.19048	0.056929	0.089607	0.041441	0.080921	0.33429	0.086526	0.051391	0.090423	0.088996	0.19994	0.052598	0.11202	0.080786	0.067437	0.049142	0.037829	0.043501	0.084861	0.036389	0.043111	0.065182	0.067309	0.051075	0.049409
Meth__cg06392241__NUDT4	0.2122	0.36074	0.69862	0.036818	0.053551	0.15241	0.055729	0.037144	0.036972	0.49877	0.13808	0.0433	0.030092	0.061519	0.052156	0.76523	0.91822	0.76771	0.086548	0.19022	0.18239	0.18511	0.46601	0.12156	0.037729	0.032977	0.10012	0.031323	0.067536	0.049791	0.051549	0.12321	0.22327	0.28627
Meth__cg11255230__BCL2	0.058229	0.047037	0.55592	0.061695	0.030986	0.048217	0.045033	0.06842	0.13638	0.13044	0.063956	0.066774	0.044491	0.068206	0.045438	0.0603	0.06968	0.050825	0.082668	0.048167	0.091053	0.1417	0.068672	0.16317	0.059613	0.03797	0.068294	0.051524	0.059351	0.052423	0.11867	0.071912	0.055781	0.057389
Meth__cg04856689__CRHR1	0.048688	0.082585	0.60708	0.068755	0.026708	0.059503	0.063497	0.05979	0.10613	0.16144	0.075975	0.057595	0.054745	0.10645	0.059884	0.09727	0.077694	0.057015	0.097007	0.041353	0.099178	0.15033	0.13153	0.10006	0.049127	0.039526	0.03818	0.056599	0.064652	0.045581	0.10185	0.075122	0.080339	0.067695
Meth__cg09604203__MYBL2	0.16586	0.047668	0.028068	0.030574	0.020886	0.029326	0.043426	0.033331	0.069469	0.051346	0.035387	0.047702	0.023956	0.065823	0.095947	0.030376	0.033037	0.49585	0.05936	0.18835	0.50458	0.087984	0.053438	0.089494	0.021539	0.023867	0.025142	0.051732	0.022719	0.21897	0.038663	0.036726	0.040445	0.033666
Meth__cg16169604__GPR148	0.062819	0.90043	0.70305	0.82253	0.92817	0.10544	0.10556	0.12959	0.54363	0.71376	0.11329	0.31893	0.73255	0.13722	0.095287	0.069859	0.086095	0.06274	0.08063	0.099176	0.4903	0.13962	0.7876	0.1082	0.1781	0.066593	0.069254	0.56437	0.12544	0.71395	0.71841	0.079643	0.6372	0.84085
Meth__cg18896687__MAFK	0.032897	0.049904	0.28606	0.049495	0.039053	0.030884	0.067594	0.034067	0.10547	0.081248	0.040847	0.052913	0.037044	0.080759	0.049039	0.055001	0.043271	0.056075	0.44648	0.038202	0.067258	0.062575	0.097657	0.070442	0.035439	0.035438	0.035134	0.029125	0.031151	0.026311	0.11302	0.054486	0.032553	0.03722
Meth__cg04237663__KCNV1	0.67979	0.38549	0.67394	0.90249	0.92558	0.033694	0.72678	0.8313	0.68749	0.38854	0.22154	0.53246	0.12251	0.072309	0.22971	0.059006	0.039588	0.076855	0.067861	0.05812	0.040701	0.1356	0.73534	0.4905	0.40479	0.51562	0.50436	0.52549	0.041082	0.74084	0.24696	0.58094	0.60091	0.60665
Meth__cg00426963__KIF27	0.036374	0.050957	0.044067	0.050306	0.040382	0.036689	0.059678	0.052673	0.055063	0.082086	0.044975	0.04015	0.03035	0.12495	0.047811	0.062408	0.056875	0.068696	0.40651	0.043983	0.058397	0.13995	0.10311	0.19909	0.052577	0.041018	0.058641	0.038311	0.059253	0.052875	0.083654	0.060595	0.048531	0.0516
Meth__cg20856834__OR12D3	0.078551	0.33772	0.068294	0.29556	0.85452	0.32433	0.16548	0.41601	0.1267	0.17212	0.34907	0.39893	0.19428	0.12907	0.051487	0.10456	0.11555	0.090675	0.57459	0.77038	0.077639	0.072189	0.092895	0.18239	0.103	0.33074	0.078133	0.31164	0.045422	0.44699	0.10443	0.19622	0.20189	0.19971
Meth__cg07347137__ZCCHC11	0.058723	0.071988	0.054574	0.055675	0.061865	0.042872	0.061087	0.055244	0.048558	0.091095	0.04286	0.046713	0.048618	0.090972	0.04328	0.84694	0.62861	0.23986	0.064415	0.065705	0.070151	0.11024	0.13448	0.11681	0.0428	0.033257	0.036614	0.040464	0.041318	0.06058	0.18273	0.057955	0.057903	0.050633
