Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
SNP__FBXL20	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__ZNFN1A3	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__RPL31P1	0.006	-4.25	-0.24	-0.037	0.118	0.076	-0.011	-3.725	0.175	-0.238	0.057	-3.503	-2.536	-0.103	-0.267	-0.099	0.613	0.096	0.218	-3.535	-0.041	-4.092	0.46	0.412	0.344	-4.152	-0.443	0.138	-3.342	-0.034	-2.052	-3.431	0.422	0.48	0.013	0.203	-3.924	0.039	0.214	0.058	-2.736	-0.417	-0.377
SNP__NCOA7	0.006	0.125	0.029	-0.569	-0.095	-0.558	0.19	0.183	-0.229	0.04	0.072	-0.438	-0.062	-0.137	0.025	-0.043	-0.452	0.832	0.244	0.306	-0.24	-0.049	0.201	0.071	-0.248	-0.13	0.144	0.249	0.556	0.294	-3.369	0.044	0.161	-0.195	0.027	-0.227	-0.147	0.226	-0.356	-0.325	0.062	-0.454	0.015
SNP__LOC402095	0.006	0.099	-0.053	-0.097	-0.173	-0.161	-0.004	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	0.06	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	-4.366	0.429	-0.033	0.247	-3.944	-0.21	0.067	0.161	-0.168	-0.029	-0.096	0.031	0.03	0.028	-3.42	-0.806	-0.066	-0.373
SNP__IGHV3-9	0.717	-1.798	0.673	2.341	-0.959	0.618	-2.449	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.526	1.032	1.326	-1.306	2.483	1.498	0.717	-1.884	0.777	1.049	-1.647	1.114	-0.949	1.818	0.688
SNP__RNF152	0.013	-0.2	0.086	-0.162	-2.938	-0.178	-1.059	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.318	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-1.075	-0.73	-0.548	-3.768	-0.031	-0.263	-0.216	0.137	-0.198	-0.015	-0.16	-0.028	-0.793	-0.357	-0.615	-0.284	0.239	0.234
SNP__ZNF291	1.389	1.241	-2.232	0.842	-2.143	-1.568	0.798	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	1.187	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.442	1.309	-1.604	0.992	-0.64	1.137	1.19	1.798	1.79	1.377	-1.361	1.031	-1.919	1.042	0	-1.574	1.463	1.105
SNP__IGHV2-10	0.717	-1.798	0.673	2.341	-0.959	0.618	-2.449	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.526	1.032	1.326	-1.306	2.483	1.498	0.717	-1.884	0.777	1.049	-1.647	1.114	-0.949	1.818	0.688
SNP__LCE3B	-1.958	0.495	-0.129	-2.13	0.134	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	0.986	-1.643	0.174	0.268	-0.255	-0.111	0	-1.569	-1.451	0.291	0.045	-1.976	-1.915	-2.744	-2.627
SNP__LOC653403	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.15	0.396	-1.881	0.567	-0.012	-2.171	0.074	-2.458	-0.193	0.117	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-0.151	0.06	0.027	-0.382	0.314	-1.669	-0.226	-1.972	-0.148	0.004	-0.19	-0.163	-0.323	-1.966	-0.327	-0.316	0.377	0.08
SNP__CES4	-0.627	-2.149	-0.004	0.161	0.179	0.089	2.752	-0.05	-0.2	0.091	2.452	0.254	0.626	0.919	0.504	-1.56	-0.316	-0.113	0.877	0.916	0.442	-0.133	-0.436	2.724	-0.074	0.245	-0.22	1.808	-0.41	0.158	0.152	-1.816	1.372	1.53	0.026	-0.24	0.185	-0.145	0.295	-2.051	2.179	2.961	1.452
SNP__WNK1	0.026	0.099	0.122	0.305	-2.678	-0.54	-0.009	-0.122	0.189	-3.535	0.077	-0.939	0.322	0.394	0.55	0.107	-3.139	0.382	0.808	-0.046	0.007	-0.115	-0.394	-0.18	-0.318	0.118	0.462	-0.447	0.882	-0.055	-0.226	0.032	-0.177	0.578	0.01	0.164	0.06	0.193	-0.352	0.045	-0.3	0.583	0.28
SNP__LOC440300	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.455	-0.64	-0.24	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-0.224	-0.037	0	-2.542	0.085	-0.388
SNP__LOC645280	-0.014	-0.082	-0.134	0.64	-0.12	0.05	0.131	-2.895	-0.216	-0.288	-0.012	-0.384	0.122	-0.092	0.026	0.799	-0.376	0.041	0.217	0.746	-4.462	0.157	-0.404	-0.139	-0.131	-0.122	0.062	0.04	-0.382	0.328	-0.175	-0.202	0.226	-0.148	0.004	-0.19	0.174	-0.31	0.214	-0.302	0.343	-4.17	-3.988
