Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.834	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__TCAP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC553158	-0.003	-0.092	-0.2	-0.161	-0.475	-0.154	0.018	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	-0.056	0.51	0.075	0.009	-0.327	-2.757	-0.431	-0.368
SNP__PNMT	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__NEUROD2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__FBXL20	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__LOC220929	0.021	-3.307	0.326	-0.091	0.102	-2.386	-0.139	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.183	0.083	0.042	0.762	-2.689	-0.356	0.09	-0.589	-2.667	0.019	0.213	-0.043	-1.109	0.189	0.189	0.033	0.416	-0.204	0.008	-0.773	-0.302	0.08	-0.074	0.009
SNP__PERLD1	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__UGT2B17	0.01	-0.141	-0.225	-0.182	-0.133	-0.365	0.075	0.185	-0.225	-0.258	0.075	-1.975	0.354	-0.145	0.018	-0.167	-0.088	-0.067	0.394	-0.254	-0.291	-0.072	-0.197	-0.166	-0.37	-0.316	0.435	-0.051	-0.232	0.456	-0.486	-0.171	0.975	-0.063	-0.064	-1.543	-1.43	-1.564	-0.039	0.527
SNP__MGAM	0.006	-2.204	0.186	0.355	0.322	-0.135	0.422	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.234	-0.327	0.23	-0.287	-0.321	-0.317	-0.042	0.028
SNP__STARD3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC645532	0.007	0.125	0.185	0.108	0.164	0.226	0.439	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.033	0.474	-0.195	0.037	-2.549	0.25	0.037	0.218	0.053	0.061	-2.489	-3.192
SNP__LOC646227	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__ERBB2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	3.576	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__BTNL3	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__BCAS1	0.013	1.068	-2.242	2.02	0.565	0.515	0.076	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.352	0.268	0.169	0.238	0.305	2.058	2.247	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.371	0.333	0.855	-0.137	0.32	0.853	0.395	0.305
SNP__IGHV3-9	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__C17orf37	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
