Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	ZR751	ZR75B
Meth__cg16282101__FAHD2A	0.01718	0.020575	0.020788	0.024409	0.050515	0.024266	0.014651	0.019112	0.018655	0.026594	0.026581	0.012206	0.017996	0.019522	0.014916	0.031225	0.011697	0.016019	0.01524	0.012894	0.022527	0.022453	0.035376	0.025032	0.018326	0.014886	0.028296	0.020815	0.020883	0.019542	0.027259	0.014631	0.016931	0.022179	0.017933
Meth__cg02545106__KM-HN-1	0.29365	0.10673	0.11435	0.32793	0.12918	0.35449	0.074061	0.084953	0.062787	0.13833	0.16733	0.056999	0.13164	0.2286	0.05745	0.25435	0.095981	0.097244	0.11842	0.080157	0.082272	0.1311	0.70291	0.28161	0.11697	0.13186	0.60471	0.16252	0.06016	0.18949	0.080303	0.056459	0.19152	0.1386	0.26949
Meth__cg15613048__KIF17	0.028906	0.39098	0.58713	0.98059	0.49326	0.98419	0.02713	0.038304	0.2018	0.59073	0.90799	0.018821	0.030936	0.92909	0.18233	0.054623	0.28737	0.94761	0.46755	0.042479	0.033173	0.099593	0.78508	0.97879	0.053415	0.049809	0.92083	0.41577	0.12993	0.27937	0.34061	0.018573	0.027642	0.9731	0.96635
Meth__cg03117949__USP16	0.20569	0.26837	0.31529	0.44988	0.24541	0.31764	0.22456	0.12244	0.12553	0.13814	0.36378	0.12568	0.21578	0.12807	0.22002	0.24012	0.15127	0.28538	0.20133	0.55631	0.090531	0.31153	0.41182	0.14164	0.25119	0.084991	0.45919	0.29939	0.073702	0.096095	0.1406	0.11347	0.65139	0.74768	0.76773
Meth__cg09144422__DUS2L	0.040165	0.088265	0.093886	0.66293	0.45126	0.061174	0.029504	0.036742	0.041366	0.2772	0.24494	0.023674	0.039296	0.10558	0.19998	0.055375	0.025435	0.052142	0.050994	0.062367	0.10836	0.26007	0.92317	0.20524	0.073925	0.035178	0.29033	0.10775	0.033723	0.2182	0.56585	0.036704	0.029401	0.029684	0.056847
Meth__cg04005701__SMYD4	0.021386	0.03297	0.042415	0.12369	0.033653	0.070978	0.038681	0.084099	0.029931	0.031469	0.04841	0.030107	0.032482	0.028898	0.16046	0.04212	0.029744	0.02549	0.026882	0.14093	0.033054	0.18809	0.10911	0.030506	0.037006	0.024475	0.075799	0.028984	0.093496	0.080916	0.54391	0.029025	0.073655	0.043721	0.034428
Meth__cg23002761__FBLIM1	0.87155	0.48758	0.54211	0.037717	0.97348	0.68325	0.038836	0.63374	0.05524	0.096801	0.71362	0.59995	0.040044	0.12471	0.05134	0.096554	0.022967	0.60053	0.4796	0.43121	0.042689	0.12334	0.55076	0.96405	0.075994	0.043894	0.84412	0.045826	0.6225	0.027286	0.084958	0.033386	0.97153	0.96004	0.95284
Meth__cg12603043__EHD2	0.014393	0.79661	0.57101	0.015228	0.025422	0.0087876	0.020765	0.022736	0.64376	0.025704	0.038102	0.026493	0.018247	0.020842	0.014009	0.10366	0.014781	0.014862	0.050648	0.030744	0.02961	0.036797	0.024044	0.5002	0.030667	0.96058	0.036709	0.90306	0.015875	0.01688	0.015337	0.035983	0.018127	0.023302	0.018529
Meth__cg02154186__PNMA2	0.54852	0.33736	0.1365	0.66625	0.79819	0.1659	0.45899	0.32462	0.1735	0.95309	0.86561	0.18159	0.50014	0.0633	0.12616	0.31567	0.12938	0.7262	0.65733	0.091316	0.070667	0.49281	0.25244	0.095109	0.11065	0.05919	0.93008	0.1271	0.052321	0.17927	0.67307	0.091515	0.18624	0.4484	0.38853
Meth__cg13694867__SIM2	0.038007	0.036648	0.026311	0.58798	0.31524	0.075711	0.12015	0.046886	0.047533	0.052806	0.11566	0.018707	0.13061	0.033674	0.038773	0.11532	0.018893	0.095414	0.053629	0.48508	0.062391	0.55176	0.72921	0.077486	0.0576	0.037696	0.6712	0.052827	0.14115	0.054991	0.031887	0.024476	0.5204	0.044503	0.23879
Meth__cg20053158__ASCL1	0.029556	0.028594	0.030979	0.79897	0.1409	0.54026	0.018764	0.13417	0.5392	0.44728	0.6244	0.029982	0.22311	0.033142	0.38499	0.04759	0.025454	0.096685	0.027263	0.052077	0.031728	0.03138	0.90807	0.35407	0.021651	0.023431	0.91996	0.26779	0.033175	0.04463	0.51225	0.024106	0.39919	0.026342	0.030248
Meth__cg18017908__C17orf76	0.19105	0.11994	0.24517	0.616	0.67345	0.19476	0.065094	0.13261	0.56744	0.41306	0.43513	0.10402	0.1148	0.14825	0.73764	0.16665	0.075222	0.17006	0.17442	0.089081	0.37132	0.45185	0.32175	0.15135	0.20723	0.31841	0.21824	0.21935	0.84405	0.046303	0.74036	0.10311	0.29847	0.20538	0.11744
Meth__cg03143365__MAN2B1	0.068487	0.046268	0.094848	0.049481	0.12337	0.58736	0.056126	0.090538	0.062836	0.24567	0.11051	0.034962	0.054384	0.059153	0.12287	0.099858	0.051371	0.06014	0.093143	0.049754	0.062752	0.075774	0.12491	0.1347	0.066801	0.046746	0.093551	0.053563	0.040313	0.043573	0.076171	0.07148	0.0629	0.089602	0.068591
Meth__cg26747293__FLJ39155	0.036226	0.039429	0.059729	0.64608	0.13537	0.048838	0.039361	0.056845	0.064938	0.041424	0.91231	0.028942	0.033127	0.052674	0.056704	0.053405	0.026578	0.056442	0.051022	0.056002	0.036438	0.030743	0.86631	0.047022	0.10077	0.043836	0.90899	0.17703	0.077631	0.090499	0.08785	0.045218	0.22936	0.066804	0.093961
Meth__cg03679734__CKMT1B	0.042737	0.84522	0.077657	0.57647	0.1669	0.36364	0.26924	0.37833	0.42739	0.087421	0.34659	0.68434	0.23081	0.6795	0.053665	0.057525	0.039051	0.60022	0.67905	0.14789	0.48092	0.054969	0.14196	0.73097	0.056793	0.80165	0.87784	0.53049	0.052467	0.24559	0.052117	0.63033	0.036947	0.063778	0.059853
Meth__cg09772154__FGFR2	0.052388	0.098032	0.050643	0.060641	0.10398	0.054132	0.080311	0.060474	0.071123	0.037939	0.50657	0.74175	0.075339	0.077251	0.080112	0.12443	0.497	0.8306	0.61321	0.09033	0.27884	0.034067	0.91249	0.05893	0.041849	0.057109	0.078138	0.07846	0.041212	0.041183	0.058456	0.068384	0.015353	0.033754	0.081591
Meth__cg08223748__MEF2C	0.021038	0.02196	0.015775	0.63461	0.042923	0.033485	0.017955	0.015339	0.020013	0.070811	0.038723	0.012863	0.018051	0.019276	0.017514	0.030938	0.016278	0.018113	0.016383	0.14297	0.019616	0.021241	0.052219	0.025277	0.02237	0.01863	0.048579	0.022303	0.030787	0.027708	0.083186	0.014734	0.017512	0.024581	0.019632
Meth__cg20008332__SOX11	0.47999	0.031618	0.75936	0.89222	0.79703	0.92186	0.030594	0.88169	0.064363	0.34575	0.11328	0.028811	0.039014	0.034118	0.038924	0.12765	0.026574	0.81899	0.59649	0.85058	0.042957	0.065553	0.81723	0.035366	0.57894	0.56253	0.86167	0.044751	0.82664	0.18372	0.40894	0.028538	0.47643	0.73733	0.7312
Meth__cg01693157__TUBA1	0.092783	0.24189	0.11641	0.26008	0.64522	0.03313	0.35281	0.13273	0.92063	0.028921	0.060434	0.076697	0.29433	0.89874	0.046532	0.0551	0.049885	0.31413	0.53949	0.13187	0.84001	0.05627	0.45373	0.43452	0.063276	0.36892	0.066035	0.86555	0.39729	0.029925	0.033393	0.043679	0.032658	0.037607	0.039504
Meth__cg27016990__KCNQ3	0.013135	0.013717	0.0089426	0.95047	0.043867	0.54976	0.012177	0.013215	0.01693	0.057715	0.50376	0.043626	0.014877	0.028787	0.050753	0.020882	0.0083918	0.51328	0.028333	0.010405	0.04695	0.47987	0.91569	0.12061	0.058531	0.010416	0.98172	0.84438	0.0085607	0.015077	0.23414	0.0086112	0.18625	0.013704	0.014257
Meth__cg04862249__ZFP3	0.30501	0.088223	0.048406	0.21954	0.635	0.16672	0.043992	0.035163	0.30098	0.47627	0.70077	0.023653	0.047335	0.041309	0.03038	0.08083	0.077763	0.042876	0.030413	0.034086	0.060816	0.040932	0.82049	0.050864	0.063844	0.13389	0.10145	0.043836	0.040543	0.033925	0.87469	0.040536	0.20328	0.77345	0.75479
Meth__cg18763191__ST3GAL5	0.016935	0.031723	0.05446	0.026919	0.094448	0.023935	0.033195	0.054444	0.061186	0.03395	0.14301	0.025794	0.023836	0.056615	0.02397	0.052736	0.027945	0.026327	0.031014	0.032626	0.046516	0.038518	0.027892	0.042974	0.068037	0.047664	0.030161	0.22296	0.023013	0.0211	0.034247	0.10124	0.024739	0.025438	0.034821
Meth__cg04574442__ALG8	0.058524	0.038049	0.043701	0.071167	0.10226	0.051485	0.041924	0.042279	0.035389	0.050276	0.24232	0.037625	0.036855	0.045036	0.043653	0.097336	0.038244	0.0434	0.026456	0.020071	0.040984	0.026201	0.060617	0.213	0.12035	0.049587	0.057334	0.040846	0.044261	0.021283	0.047066	0.044707	0.015218	0.044156	0.12125
Meth__cg19965810__KCNH7	0.02045	0.042011	0.1158	0.76285	0.21601	0.98389	0.032501	0.032404	0.60021	0.80302	0.19314	0.020234	0.2729	0.038678	0.45871	0.065319	0.044206	0.85627	0.96694	0.029752	0.050005	0.592	0.92141	0.53027	0.058284	0.054183	0.77361	0.036369	0.027407	0.9042	0.0353	0.94595	0.95394	0.95551	0.9551
Meth__cg21574752__COPG2	0.16058	0.064118	0.035847	0.056261	0.24879	0.064935	0.06375	0.039412	0.035191	0.062209	0.14042	0.022679	0.07456	0.041764	0.022422	0.03593	0.029391	0.042142	0.037116	0.05966	0.030073	0.13655	0.096154	0.037422	0.20401	0.03377	0.081326	0.068889	0.030389	0.026218	0.054367	0.049232	0.054785	0.062421	0.073849
Meth__cg18829411__HMGN1	0.043297	0.07278	0.28731	0.24073	0.27997	0.030968	0.05804	0.065869	0.038242	0.10067	0.41776	0.04997	0.056522	0.065232	0.066772	0.067405	0.042075	0.025243	0.035846	0.29068	0.056671	0.52457	0.10206	0.18564	0.39912	0.066735	0.074009	0.042644	0.13485	0.037597	0.16365	0.068574	0.06682	0.094662	0.078062
Meth__cg25148589__GRIA2	0.070535	0.092082	0.04322	0.18851	0.7531	0.76964	0.043357	0.055919	0.33029	0.31085	0.79149	0.20254	0.35609	0.63692	0.18378	0.87021	0.28486	0.66269	0.097461	0.44415	0.10148	0.35095	0.91287	0.89407	0.45958	0.053657	0.91502	0.17447	0.42191	0.47316	0.53664	0.12878	0.71555	0.24255	0.064497
Meth__cg15646782__FAM55C	0.025501	0.023432	0.1133	0.02589	0.042402	0.02982	0.030079	0.018506	0.02351	0.031156	0.054928	0.017534	0.025537	0.025034	0.037187	0.042028	0.020058	0.033231	0.025457	0.023604	0.029718	0.019083	0.048203	0.034733	0.037438	0.02588	0.050452	0.023333	0.015327	0.020065	0.026182	0.0355	0.021186	0.29278	0.48403
Meth__cg17345480__SPPL3	0.078066	0.11973	0.13251	0.085106	0.096107	0.066082	0.4749	0.080278	0.099898	0.48452	0.32185	0.070881	0.43245	0.11413	0.06606	0.25609	0.47561	0.071011	0.089898	0.1098	0.115	0.097457	0.12405	0.070458	0.093686	0.56971	0.13637	0.14502	0.066223	0.060994	0.058386	0.24593	0.076463	0.11241	0.10041
Meth__cg14166009__HKR1	0.34495	0.099768	0.066724	0.9424	0.92938	0.96234	0.53119	0.22867	0.13539	0.43737	0.59846	0.066569	0.45573	0.06789	0.69719	0.12856	0.36033	0.94013	0.33168	0.079024	0.11461	0.14215	0.89951	0.445	0.27628	0.91785	0.087438	0.1287	0.14466	0.10048	0.61053	0.39191	0.10133	0.64182	0.7991
Meth__cg23349790__IGSF21	0.047087	0.073661	0.060164	0.98092	0.34326	0.98626	0.035991	0.039629	0.98014	0.97528	0.56165	0.053604	0.045123	0.041201	0.10853	0.052552	0.034947	0.91358	0.71173	0.069407	0.067827	0.084265	0.93816	0.063015	0.074564	0.046485	0.97206	0.15527	0.049497	0.049195	0.075278	0.040689	0.7598	0.060093	0.065716
Meth__cg14333454__SFN	0.2481	0.70906	0.66022	0.81847	0.12676	0.087928	0.59096	0.66875	0.58015	0.11765	0.10458	0.36052	0.52168	0.089089	0.67332	0.2093	0.43222	0.14745	0.23534	0.74054	0.69329	0.12186	0.15418	0.21135	0.1259	0.74892	0.18947	0.10326	0.51256	0.048016	0.085772	0.25699	0.10892	0.2144	0.14626
Meth__cg08432727__SOX11	0.5703	0.16878	0.21822	0.67821	0.90665	0.40599	0.030947	0.066054	0.31481	0.53143	0.2783	0.015426	0.026468	0.38737	0.046556	0.11119	0.09411	0.54119	0.087914	0.72983	0.043429	0.12099	0.83813	0.03805	0.58443	0.55174	0.50583	0.33795	0.32561	0.12883	0.53218	0.023137	0.4725	0.42301	0.41638
Meth__cg03658471__TMEM23	0.064944	0.050202	0.052802	0.046496	0.10452	0.10679	0.045898	0.05596	0.074459	0.11168	0.11991	0.050169	0.053367	0.052717	0.058255	0.10317	0.049911	0.049105	0.058295	0.047425	0.41615	0.051714	0.090837	0.063444	0.10964	0.045961	0.11178	0.055653	0.063764	0.060462	0.052185	0.047059	0.068493	0.085862	0.066082
Meth__cg03752689__C1orf74	0.042542	0.067494	0.033835	0.057336	0.16555	0.046188	0.23107	0.16316	0.055865	0.076224	0.053363	0.14412	0.24349	0.073661	0.082391	0.79504	0.060321	0.073316	0.15066	0.077388	0.05069	0.048673	0.10417	0.059547	0.055355	0.06557	0.097663	0.44632	0.041048	0.56935	0.10007	0.90375	0.056563	0.043748	0.032903
Meth__cg11710969__ARMC3	0.082711	0.32786	0.59169	0.80515	0.59096	0.89114	0.47855	0.32377	0.25021	0.098169	0.54712	0.78467	0.36784	0.29108	0.087545	0.13719	0.068522	0.097703	0.086486	0.22676	0.14867	0.35322	0.75583	0.80108	0.12575	0.075659	0.29249	0.069274	0.07869	0.4129	0.47717	0.3272	0.37041	0.81731	0.74778
Meth__cg24183958__GRB10	0.587	0.018056	0.076909	0.45066	0.09816	0.52372	0.015261	0.026522	0.018945	0.21908	0.062002	0.015926	0.01645	0.18603	0.015621	0.027976	0.01764	0.60659	0.43861	0.25573	0.035535	0.54176	0.028649	0.10985	0.073412	0.021891	0.074635	0.02728	0.26522	0.021487	0.01964	0.47414	0.92675	0.72007	0.55603
Meth__cg06716436__EDG5	0.034796	0.030067	0.063404	0.24943	0.056713	0.028869	0.022249	0.04741	0.025488	0.024052	0.073647	0.035394	0.024631	0.022356	0.026431	0.053688	0.016496	0.03571	0.028851	0.024611	0.029285	0.033315	0.065283	0.038391	0.12995	0.031167	0.035271	0.022907	0.019075	0.019691	0.03313	0.033567	0.036588	0.038752	0.045031
Meth__cg07314984__PHKA2	0.034237	0.078103	0.058732	0.043113	0.17257	0.096535	0.14454	0.05965	0.10057	0.44529	0.15586	0.076607	0.13326	0.070109	0.11146	0.093918	0.064107	0.089324	0.084381	0.065158	0.044263	0.19464	0.16329	0.35876	0.082969	0.073701	0.33289	0.081626	0.07324	0.11685	0.073557	0.057015	0.067062	0.085492	0.083532
Meth__cg23507131__DARC	0.047369	0.18713	0.14509	0.56013	0.2116	0.18778	0.23657	0.048415	0.33666	0.13068	0.75714	0.036632	0.21474	0.31547	0.56375	0.10158	0.034872	0.17404	0.13147	0.058223	0.07047	0.11723	0.23564	0.065486	0.056793	0.18915	0.35668	0.046418	0.064989	0.31863	0.75583	0.054832	0.18974	0.19036	0.25813
Meth__cg26534508__GPR137B	0.027279	0.031094	0.0173	0.069733	0.021667	0.017681	0.018357	0.020262	0.4053	0.069785	0.05165	0.017388	0.021836	0.087363	0.025822	0.045708	0.021322	0.11909	0.044515	0.019319	0.057666	0.11084	0.7361	0.06925	0.059755	0.015373	0.51936	0.02643	0.095146	0.019352	0.096428	0.027724	0.851	0.16111	0.37562
Meth__cg08893585__BARX2	0.096721	0.059931	0.12147	0.5388	0.38237	0.071482	0.043034	0.05566	0.12869	0.15986	0.29512	0.080342	0.053536	0.094254	0.091342	0.13923	0.042367	0.059482	0.064135	0.090107	0.064008	0.077473	0.73096	0.060533	0.11547	0.057075	0.27203	0.063355	0.075985	0.045269	0.098919	0.086598	0.11123	0.062419	0.12452
Meth__cg22189618__NAP1L3	0.0385	0.060962	0.030598	0.91594	0.23621	0.23629	0.078915	0.048913	0.065083	0.20446	0.15648	0.040066	0.065873	0.0672	0.09413	0.057252	0.039552	0.050038	0.051565	0.12179	0.03885	0.32104	0.39817	0.055556	0.077293	0.038105	0.59374	0.090296	0.057647	0.033034	0.082349	0.041306	0.28494	0.12679	0.041592
Meth__cg10080004__SYT5	0.040291	0.14712	0.049803	0.52945	0.58201	0.47513	0.15589	0.04344	0.81159	0.70424	0.64516	0.037406	0.13108	0.034761	0.74549	0.065366	0.45377	0.39123	0.11375	0.027157	0.082386	0.25727	0.70075	0.16077	0.076876	0.37998	0.52166	0.59621	0.32877	0.2267	0.47267	0.1092	0.15215	0.21182	0.16491
Meth__cg02440177__ZNF702	0.027422	0.36053	0.024436	0.96091	0.98385	0.78677	0.027658	0.035311	0.030193	0.064182	0.29848	0.017238	0.019298	0.026461	0.37272	0.12008	0.33147	0.97392	0.53451	0.028301	0.029277	0.035711	0.93128	0.03106	0.12582	0.27757	0.95454	0.027436	0.039962	0.4511	0.95354	0.20409	0.0195	0.55042	0.6685
Meth__cg00412772__C19orf33	0.052191	0.2106	0.066568	0.947	0.31073	0.14333	0.95233	0.91071	0.94705	0.038785	0.11957	0.95016	0.86368	0.77258	0.96437	0.68423	0.96634	0.068497	0.054887	0.066449	0.95557	0.053702	0.11069	0.94626	0.054679	0.60229	0.91569	0.86792	0.76323	0.042516	0.051095	0.58835	0.042744	0.88517	0.93803
Meth__cg13854874__CHAF1B	0.056382	0.17467	0.057022	0.079778	0.18644	0.59474	0.060424	0.047026	0.067473	0.18003	0.052283	0.050462	0.046954	0.059102	0.11305	0.092567	0.062471	0.069743	0.060421	0.080774	0.047882	0.06144	0.2075	0.095427	0.2397	0.047786	0.1213	0.060738	0.19061	0.13736	0.062434	0.070218	0.049906	0.19103	0.066093
Meth__cg18153124__KCNQ3	0.039059	0.05436	0.028558	0.94589	0.081124	0.93726	0.030065	0.041507	0.096636	0.22285	0.41368	0.065709	0.034332	0.048995	0.34205	0.069701	0.057466	0.25798	0.045316	0.033445	0.041915	0.29779	0.66296	0.5132	0.27294	0.053237	0.9209	0.77017	0.036647	0.33917	0.092633	0.035601	0.11592	0.045263	0.038328
Meth__cg04017769__TACC1	0.023923	0.028951	0.024292	0.019902	0.021001	0.024894	0.022175	0.022461	0.55729	0.031072	0.064649	0.014578	0.021965	0.022133	0.025914	0.068733	0.015144	0.033035	0.029069	0.018469	0.024423	0.52555	0.095989	0.025409	0.070515	0.025311	0.048424	0.026953	0.14703	0.023607	0.028473	0.020398	0.58186	0.029435	0.030509
Meth__cg07195282__ZNF563	0.04788	0.039248	0.046602	0.039055	0.061695	0.60003	0.03536	0.053606	0.045095	0.062099	0.10288	0.029161	0.042814	0.039505	0.044003	0.047051	0.027836	0.026107	0.18085	0.048016	0.042654	0.039537	0.51826	0.052796	0.080396	0.057719	0.53941	0.041399	0.045683	0.20529	0.041135	0.039769	0.049895	0.054403	0.090399
Meth__cg22253036__DDX6	0.1775	0.22629	0.10466	0.9153	0.37753	0.27173	0.89617	0.89516	0.22552	0.66996	0.5064	0.82443	0.74587	0.33704	0.11805	0.1578	0.10042	0.24932	0.15096	0.14266	0.76072	0.092668	0.12218	0.096768	0.24226	0.43016	0.23377	0.83503	0.080699	0.075577	0.14707	0.81593	0.11796	0.11513	0.14042
Meth__cg06479426__SLCO4A1	0.038473	0.046408	0.026472	0.038085	0.054726	0.035555	0.063489	0.060184	0.040625	0.074502	0.07578	0.27111	0.065624	0.038552	0.03923	0.083787	0.075217	0.038888	0.047368	0.56291	0.44254	0.040885	0.92324	0.046442	0.045577	0.038472	0.089423	0.040898	0.047936	0.034171	0.024218	0.051724	0.035888	0.035111	0.040414
Meth__cg05076631__PGF	0.10754	0.6165	0.11186	0.95987	0.21072	0.098927	0.067065	0.11871	0.078992	0.082321	0.10768	0.086462	0.074546	0.084398	0.068072	0.095813	0.061426	0.28147	0.07119	0.20663	0.060471	0.1282	0.13569	0.091017	0.098801	0.091572	0.75111	0.071408	0.090111	0.058828	0.051135	0.043475	0.11445	0.52134	0.50808
Meth__cg25943276__C11orf39	0.2853	0.14788	0.055937	0.17645	0.47974	0.87213	0.040179	0.056811	0.47405	0.75288	0.41727	0.043951	0.040911	0.10743	0.76615	0.15019	0.07408	0.38149	0.48562	0.20319	0.05852	0.54892	0.35166	0.092976	0.10206	0.22093	0.39334	0.045895	0.12862	0.043122	0.070116	0.055745	0.28381	0.3437	0.47836
Meth__cg16978070__FLJ39370	0.035838	0.031336	0.033929	0.30178	0.11715	0.027011	0.030327	0.024456	0.023606	0.073508	0.041925	0.021546	0.03714	0.025095	0.039746	0.063027	0.026891	0.037744	0.033233	0.034313	0.028077	0.01517	0.088647	0.036088	0.066242	0.030824	0.05615	0.029656	0.026363	0.022876	0.039917	0.035001	0.031311	0.029279	0.024081
Meth__cg19211800__MARCKS	0.023108	0.021273	0.044901	0.023662	0.017573	0.021137	0.020396	0.025504	0.028182	0.027813	0.44786	0.017717	0.63037	0.018898	0.017266	0.039578	0.019155	0.20304	0.027301	0.021085	0.026539	0.038407	0.035891	0.02432	0.049434	0.021478	0.44434	0.022957	0.022824	0.025836	0.027132	0.016393	0.018488	0.030478	0.027164
Meth__cg26825755__ACSM2	0.03162	0.84684	0.7752	0.053456	0.068011	0.049958	0.68454	0.13401	0.045287	0.043953	0.059708	0.18246	0.49248	0.069407	0.035246	0.077886	0.064191	0.051009	0.1656	0.84363	0.42737	0.066698	0.11771	0.051618	0.1197	0.040541	0.11221	0.10191	0.037198	0.089463	0.048921	0.62579	0.057464	0.17431	0.17911
Meth__cg00297584__FLJ42957	0.050934	0.68024	0.35158	0.066487	0.58059	0.4674	0.084554	0.086549	0.057106	0.16307	0.62407	0.030699	0.087054	0.075134	0.31746	0.1702	0.063205	0.060088	0.054098	0.14686	0.063236	0.28942	0.070898	0.42892	0.11635	0.06097	0.87938	0.068917	0.05001	0.13507	0.085444	0.14108	0.13774	0.62389	0.41665
Meth__cg27225570__DUSP15	0.059048	0.053923	0.022166	0.61548	0.39198	0.15651	0.023285	0.027743	0.029709	0.20446	0.93576	0.025606	0.028244	0.12959	0.020053	0.057174	0.028693	0.42806	0.29613	0.026906	0.025035	0.035032	0.54836	0.025988	0.04947	0.021873	0.91954	0.039327	0.04567	0.07292	0.12141	0.12441	0.93907	0.024232	0.17299
