Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
SNP__LOC643827	-0.26	-0.178	-0.352	-0.211	-0.099	0.064	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-2.709	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.162	-0.24	-0.164	0.047	-2.826	0.168	0.002	-0.053	-0.07	-0.142	0.196	-0.139	-0.296	-0.159	0.024
SNP__ACOT1	-0.006	0.339	0.142	-0.418	0.204	-0.18	0.531	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-0.147	-0.064	0.097	-0.191	0.297	0.026	-0.436	-0.187	-0.081	-1.966	-2.039	-1.651	-0.202	0.111	-0.318	-0.255	0.303	1.592	0.04	0.184	-0.121	-0.014	0.027	0.006	-0.45	0.429	0.279	-2.152	-0.052	0.276
SNP__KRTAP9P1	-1.183	-1.304	-1.258	-1.314	-0.202	0.096	-1.572	-1.506	0.575	-1.732	-0.461	0.346	-0.646	-1.553	-0.373	-0.782	0.407	-0.04	-1.288	1.183	-1.97	-1.631	-1.416	-0.589	-0.133	-1.122	-1.452	-1.299	-1.634	-0.555	-0.207	-0.938	0.468	-1.484	0.06	0.276	-0.892	-1.419	0.101	-1.009	0.708	-1.293	-1.371
SNP__CRKRS	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__SIRPB1	-0.723	-0.75	2.227	0.526	0.315	0.09	-0.904	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.649	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	-0.378	2.051	0.127	0.42	-0.216	-0.546	1.408	1.834	0.043	-0.677	-0.354	0.056	-0.282	-3.013	-2.989
SNP__PPARBP	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__ODF4	-0.021	-0.166	-0.156	-0.362	0.458	-0.517	0.009	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.276	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-4.426	-0.61	-0.207	-0.217	-0.182	0.164	-0.556	-0.156	-0.318	-3.845	-3.502	-0.307	-0.299	-3.855	-4.116
SNP__WWOX	-2.18	-0.55	0.092	0.19	-2.109	-1.822	-0.483	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-2.29	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	-2.395	0.457	-2.223	-2.09	-1.648	-1.899	-0.561	-0.206	-2.091	0.026	0.541	1.107	-0.132	-1.443	-2.033	0.479	-0.056	-0.372
SNP__LOC644144	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	0.004	-0.163	-0.576	-0.138	0.22	0.06	-0.305	0.334	-3.028	0.101	0.301	0.082	0.011	0.023
SNP__FHIT	0.008	-0.512	-0.527	-0.136	-1.144	-0.552	0.538	-0.124	-0.233	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-2.869	-0.262	-1.066	-0.422	-0.748	0.159	-0.429	-0.566	-0.69	-0.584	-0.186	-1.065	-2.842	-0.058	-0.229	-0.613	-0.183	0.859	0.017	-0.265	-2.101	0.266	0.492	-0.31	-0.272	-0.059	-0.371
SNP__MGC48595	-0.006	0.339	0.142	-0.418	0.204	-0.18	0.531	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-3.549	-0.064	0.097	-0.191	0.297	0.026	-0.436	-0.187	-0.081	-1.966	-2.039	-1.651	-0.202	0.111	-0.318	-0.255	0.303	1.592	0.04	0.184	-0.121	-0.014	0.027	0.006	-2.601	0.429	0.279	-2.152	-0.052	-0.394
SNP__FLJ10120	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	0.004	-0.163	-0.576	-0.138	0.22	0.06	-0.305	0.334	-3.028	0.101	0.301	0.082	0.011	0.023
SNP__TRBV6-2	0.0098	0.453	0.355	0.322	-0.135	-0.257	-0.564	0.042	-0.1872	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.557	0.267	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	0.122	-0.0176	0.343	0.191	-0.0206	-0.0298	0.099	0.459	0.526	-0.864	0.0144	-0.0908	-0.282	0.0294	0.1064	-0.2956	-0.317	-0.042	0.028
SNP__RIMS1	0.009	-0.208	0.001	-0.619	-0.508	-0.563	0.064	-0.083	-0.233	1.122	0.08	-3.083	-0.036	-0.169	0.02	-0.056	-0.507	-0.125	0.423	0.686	-0.981	-0.047	-0.377	0.011	-0.046	-0.129	0.41	0.231	-0.474	0.284	0.355	-0.619	-2.669	-0.217	0.017	-2.44	-0.147	0.226	-0.348	-0.315	0.062	-0.222	-0.379
