Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg04000821__LAIR2	0.54062	0.038629	0.77874	0.067934	0.049184	0.19668	0.30864	0.076478	0.041897	0.70601	0.12745	0.16983	0.05413	0.08494	0.094848	0.078031	0.043982	0.23881	0.24225	0.70191	0.06539	0.58028	0.1191	0.065293	0.043784	0.14093	0.050493	0.057235	0.053525	0.046976	0.0348	0.0482	0.18195	0.051384	0.86565	0.053975	0.11627
Meth__cg02058918__GABBR2	0.94139	0.06917	0.087121	0.080334	0.08012	0.48256	0.95193	0.04975	0.067283	0.089428	0.37945	0.06458	0.066302	0.072844	0.070762	0.12195	0.066492	0.66331	0.49315	0.55761	0.091487	0.65936	0.88019	0.11015	0.11496	0.92766	0.11824	0.080908	0.06147	0.078861	0.065558	0.050267	0.63484	0.14317	0.11604	0.47099	0.30749
Meth__cg01343729__ZNF688	0.044454	0.034711	0.066312	0.045827	0.026992	0.040532	0.049447	0.0427	0.031439	0.042612	0.043152	0.029595	0.039598	0.034202	0.04147	0.04124	0.030814	0.044338	0.059417	0.039439	0.057352	0.042997	0.083293	0.054304	0.041555	0.063305	0.062373	0.040295	0.035896	0.032609	0.033004	0.025627	0.025599	0.08369	0.053726	0.050445	0.054042
Meth__cg00615377__RBM9	0.079363	0.067375	0.20395	0.17169	0.75395	0.035771	0.74465	0.061351	0.082116	0.26139	0.80537	0.12495	0.12263	0.056203	0.055706	0.091474	0.06266	0.73914	0.39959	0.79253	0.06016	0.83628	0.1074	0.11435	0.074634	0.74337	0.13734	0.070647	0.067497	0.059602	0.30949	0.050363	0.16064	0.12472	0.7657	0.8268	0.78353
Meth__cg06856528__TMEFF2	0.51451	0.083097	0.91975	0.49665	0.053589	0.037271	0.87811	0.32069	0.05619	0.58687	0.90077	0.47739	0.24713	0.054293	0.067046	0.24035	0.034162	0.85886	0.65844	0.57009	0.13221	0.41344	0.8661	0.80104	0.078103	0.86563	0.069072	0.035192	0.13109	0.051987	0.5555	0.28654	0.85876	0.77515	0.86888	0.4165	0.77391
Meth__cg08190291__ADAMTS5	0.48605	0.042749	0.89968	0.11959	0.2954	0.033975	0.73552	0.078636	0.040004	0.049139	0.045053	0.034699	0.041795	0.035749	0.036088	0.088267	0.040613	0.81177	0.55947	0.43117	0.051724	0.047091	0.79726	0.83766	0.094142	0.90909	0.085817	0.042217	0.032798	0.10334	0.031858	0.040871	0.45911	0.082262	0.80346	0.65958	0.76708
Meth__cg17347389__TRIM9	0.83369	0.73551	0.9246	0.92404	0.155	0.046816	0.88131	0.05453	0.082559	0.23349	0.12795	0.5986	0.14051	0.073327	0.098344	0.095594	0.052662	0.82109	0.92548	0.52668	0.083703	0.89319	0.42154	0.47653	0.15796	0.79553	0.58316	0.052246	0.34666	0.12754	0.20498	0.1041	0.073657	0.06517	0.43143	0.76646	0.80781
U133A__S100A2	5.7104	5.2629	6.0272	5.0266	5.1361	8.7308	5.1261	11.8664	8.1017	4.6494	5.0442	9.7223	5.0393	12.6387	7.9326	10.0914	6.775	6.5171	4.9131	4.8508	7.9401	6.4604	5.843	5.1111	6.0773	4.8966	5.6079	8.4846	10.926	8.9102	5.3655	6.2769	5.9202	5.5082	5.3582	5.3529	5.7302
Meth__cg05497616__CAMK4	0.23717	0.022135	0.7814	0.056395	0.035643	0.027946	0.94392	0.03862	0.028898	0.037845	0.15906	0.18071	0.042658	0.043307	0.12138	0.14629	0.02589	0.95364	0.95527	0.52895	0.037387	0.13259	0.066106	0.038442	0.22038	0.8846	0.060328	0.034107	0.027111	0.025543	0.038833	0.025965	0.51826	0.21694	0.4796	0.058139	0.28978
Meth__cg17009433__GLDC	0.87673	0.063463	0.59152	0.077768	0.052545	0.061966	0.54201	0.043595	0.042032	0.070801	0.88436	0.10373	0.048259	0.047316	0.20419	0.35574	0.35736	0.069499	0.082967	0.053364	0.16269	0.061098	0.80459	0.52493	0.089482	0.8327	0.12489	0.041281	0.072931	0.083584	0.059424	0.041724	0.042705	0.074407	0.061172	0.40316	0.57563
U133A__HLA-B	8.2861	6.5287	6.9258	8.4347	9.7896	8.1642	8.915	9.9839	12.112	8.8869	10.6615	11.5088	6.3218	9.5062	10.8249	12.3107	8.5989	6.9006	8.3908	9.4948	11.9091	8.045	8.1669	9.2382	9.8055	7.5816	6.226	9.7036	8.7843	9.7905	9.8309	11.646	8.6981	10.2594	9.7333	7.8149	7.1263
Meth__cg25999867__LOC112937	0.96825	0.026758	0.97901	0.83024	0.96207	0.76791	0.97911	0.97308	0.023843	0.97699	0.7702	0.083739	0.030666	0.054917	0.026754	0.025358	0.029998	0.98103	0.97599	0.34718	0.021057	0.97937	0.93117	0.91955	0.051366	0.95854	0.031183	0.024266	0.16435	0.021369	0.027382	0.016853	0.94543	0.73895	0.44533	0.96619	0.9685
Meth__cg17497271__GPR176	0.16872	0.045778	0.63083	0.10526	0.046107	0.039286	0.34986	0.037114	0.059329	0.054254	0.073442	0.051579	0.051773	0.045559	0.042918	0.074517	0.034785	0.14919	0.08464	0.29999	0.056791	0.14592	0.94073	0.073636	0.20701	0.82604	0.096882	0.040586	0.051308	0.035066	0.029397	0.035873	0.095445	0.17434	0.10753	0.10026	0.14056
Meth__cg13997435__S100A2	0.051686	0.15071	0.049348	0.38887	0.55394	0.040764	0.6049	0.020118	0.35763	0.63282	0.65598	0.024283	0.34525	0.03444	0.040098	0.08549	0.0314	0.57216	0.77358	0.85043	0.049118	0.26298	0.094232	0.51519	0.15065	0.49597	0.27491	0.036023	0.033339	0.049017	0.27137	0.05212	0.047993	0.34487	0.67144	0.55196	0.43255
U133A__TAP1	5.7327	7.5006	6.8227	6.3813	7.6236	5.9818	6.3709	6.5781	9.653	6.8374	6.8908	7.7278	5.7944	7.9218	7.8805	9.3298	6.9324	6.4186	6.1383	7.2276	9.1618	6.1234	6.0921	6.3952	7.2535	5.9068	6.5505	7.8065	7.5458	7.6768	5.8906	8.5288	6.2797	7.491	6.9934	6.2227	6.26
Meth__cg08806153__HOXD11	0.16955	0.028823	0.55343	0.30099	0.022961	0.92144	0.88024	0.04869	0.026703	0.027612	0.034781	0.045008	0.025252	0.23966	0.14371	0.047724	0.35318	0.044519	0.057122	0.30353	0.027353	0.18591	0.90769	0.028045	0.023683	0.66209	0.19953	0.017439	0.021575	0.016175	0.018622	0.022895	0.16861	0.028417	0.57985	0.53078	0.68602
Meth__cg15457899__SCN3B	0.98204	0.42207	0.50346	0.73666	0.04861	0.98232	0.98289	0.20757	0.083613	0.98334	0.98504	0.4217	0.30947	0.092995	0.49166	0.095358	0.94886	0.98745	0.97247	0.98406	0.72372	0.36485	0.97875	0.98083	0.86117	0.977	0.16063	0.97971	0.06625	0.063077	0.0224	0.0247	0.14199	0.94306	0.044822	0.54705	0.95169
Meth__cg00756058__DZIP1	0.96833	0.030265	0.97005	0.56045	0.024725	0.030488	0.62167	0.34321	0.019434	0.97643	0.026764	0.017164	0.024186	0.4943	0.026056	0.097789	0.018138	0.97245	0.96711	0.97205	0.02222	0.53529	0.9283	0.97159	0.095064	0.94587	0.046695	0.026231	0.017612	0.018472	0.030433	0.022009	0.77069	0.86617	0.024053	0.66824	0.94356
Meth__cg08056146__SOX7	0.89398	0.23643	0.95995	0.65105	0.17343	0.89943	0.97038	0.083296	0.024424	0.14337	0.62864	0.045337	0.066663	0.56007	0.028877	0.092923	0.15546	0.97623	0.95465	0.067744	0.040623	0.96713	0.9327	0.91788	0.087733	0.91658	0.1332	0.040554	0.027685	0.031104	0.72079	0.038615	0.91664	0.86888	0.96465	0.90127	0.95223
Meth__cg09009111__EMILIN2	0.95931	0.36212	0.77883	0.16975	0.6147	0.74647	0.97072	0.17908	0.062433	0.5822	0.81768	0.39096	0.061625	0.061221	0.10239	0.13354	0.034717	0.96889	0.97023	0.51791	0.057141	0.96049	0.84083	0.96074	0.11742	0.90885	0.42463	0.068822	0.11788	0.11449	0.041485	0.0459	0.90421	0.88097	0.65392	0.48216	0.54448
Meth__cg14289511__FLJ45256	0.92972	0.036629	0.89717	0.20005	0.23066	0.036248	0.84967	0.10008	0.083595	0.47545	0.04209	0.83351	0.077982	0.38084	0.47617	0.064379	0.26582	0.61734	0.76477	0.91956	0.051225	0.84179	0.8671	0.75217	0.046984	0.88043	0.059923	0.021788	0.050697	0.052437	0.91853	0.027145	0.91275	0.44878	0.88438	0.49973	0.84474
Meth__cg11033833__GPR101	0.37128	0.052913	0.93676	0.14978	0.071769	0.90417	0.85092	0.45628	0.06601	0.26855	0.86445	0.77907	0.060684	0.13927	0.46991	0.087463	0.075284	0.93245	0.91194	0.84043	0.07378	0.51311	0.68765	0.13719	0.039628	0.85272	0.12127	0.16117	0.043154	0.17087	0.11079	0.057041	0.75655	0.14786	0.71612	0.3569	0.79992
Meth__cg24022301__PTGFR	0.49693	0.039644	0.55118	0.07811	0.23902	0.031601	0.11007	0.051658	0.041756	0.052852	0.058297	0.12376	0.034372	0.071267	0.046946	0.046579	0.049889	0.64214	0.686	0.3305	0.067604	0.14541	0.12587	0.46474	0.063515	0.35235	0.12349	0.042957	0.041736	0.049384	0.072401	0.037268	0.24661	0.16066	0.47286	0.2755	0.37657
Meth__cg25510610__WHSC1L1	0.065297	0.84063	0.080734	0.2792	0.10846	0.094192	0.093313	0.1183	0.89148	0.083563	0.038154	0.14409	0.71898	0.16021	0.040709	0.14851	0.030468	0.091227	0.12076	0.063158	0.40179	0.069904	0.068132	0.051708	0.10509	0.062059	0.45036	0.059879	0.05782	0.70668	0.13604	0.22008	0.097326	0.18265	0.085613	0.046833	0.1329
Meth__cg03495868__PTGFR	0.23126	0.049485	0.82489	0.056408	0.33505	0.045487	0.085833	0.05499	0.042466	0.05745	0.08086	0.10369	0.049937	0.045513	0.039923	0.067821	0.040475	0.7118	0.54085	0.20379	0.042936	0.57046	0.095482	0.55823	0.11736	0.76571	0.2815	0.038888	0.039607	0.031788	0.066423	0.053353	0.5991	0.15897	0.38121	0.34064	0.37514
Meth__cg11207564__CCL3L3	0.683	0.083652	0.33438	0.57937	0.5918	0.029621	0.39088	0.15402	0.3615	0.18582	0.14155	0.14307	0.1758	0.10992	0.48695	0.036469	0.039814	0.26222	0.32697	0.77326	0.030731	0.75045	0.071772	0.21325	0.060282	0.23149	0.079416	0.060593	0.031548	0.050913	0.14409	0.067419	0.11219	0.071392	0.78362	0.3499	0.22456
Meth__cg13921352__FAM19A4	0.9379	0.046175	0.94305	0.95403	0.62215	0.77864	0.94514	0.032074	0.037555	0.057954	0.95515	0.058543	0.16645	0.04372	0.047589	0.066022	0.32417	0.44345	0.12141	0.82105	0.058084	0.94878	0.69913	0.54808	0.11831	0.79208	0.047021	0.043063	0.037185	0.62217	0.037951	0.049146	0.31038	0.33067	0.56353	0.68333	0.9302
Meth__cg04504095__FOXC1	0.082977	0.072987	0.093016	0.0747	0.08761	0.062198	0.36718	0.031878	0.065016	0.098862	0.076941	0.01757	0.070081	0.019663	0.041055	0.076421	0.019913	0.077956	0.10628	0.066745	0.033033	0.12061	0.10693	0.11903	0.12863	0.20085	0.13765	0.02552	0.018537	0.020172	0.032413	0.11818	0.086212	0.11467	0.081816	0.1291	0.17282
Meth__cg13591701__FAM20A	0.96324	0.17296	0.8442	0.27756	0.12055	0.81983	0.95241	0.48299	0.13352	0.16112	0.33941	0.18522	0.144	0.13365	0.15926	0.12747	0.16887	0.97056	0.95975	0.63378	0.1581	0.88096	0.58368	0.70383	0.25125	0.93867	0.13267	0.15282	0.15016	0.12757	0.11069	0.153	0.94461	0.58372	0.7748	0.47056	0.29861
U133A__LMO4	7.4737	7.1325	7.3624	8.5532	7.9792	9.7098	5.7002	8.2677	7.6793	8.0974	7.6477	7.4546	7.7206	8.0476	7.8791	8.7906	7.5205	6.2739	5.9112	7.0129	7.6279	7.9445	7.5364	7.9322	9.2733	7.7056	6.1979	8.918	6.745	6.2862	9.1307	8.2001	7.5695	8.3962	6.7757	4.2304	6.628
Meth__cg21380842__KCNJ6	0.28985	0.038801	0.94292	0.040672	0.041207	0.75003	0.07741	0.073338	0.033548	0.036657	0.81384	0.11187	0.1246	0.036293	0.057026	0.064354	0.088415	0.14804	0.30472	0.076632	0.043735	0.155	0.56897	0.046875	0.060623	0.88979	0.1038	0.04791	0.053598	0.10662	0.09049	0.049197	0.12865	0.046688	0.056339	0.14145	0.19975
Meth__cg14409941__ADAMTS2	0.96119	0.032123	0.82008	0.038249	0.031036	0.22597	0.81407	0.33908	0.035625	0.053343	0.16776	0.024448	0.046102	0.032795	0.029032	0.095328	0.03091	0.93831	0.94281	0.90534	0.040288	0.96161	0.88275	0.52219	0.13702	0.91943	0.051305	0.030017	0.030763	0.060583	0.037153	0.031273	0.25959	0.050801	0.10587	0.035239	0.039681
Meth__cg21006686__NOS1	0.94101	0.037051	0.9372	0.8299	0.83227	0.31155	0.83437	0.54561	0.034891	0.88465	0.54905	0.52718	0.031561	0.46924	0.6053	0.051531	0.037815	0.89638	0.8798	0.77321	0.12451	0.94405	0.14028	0.85875	0.042599	0.41752	0.13984	0.069146	0.75959	0.033841	0.046043	0.032686	0.31518	0.2174	0.93336	0.53417	0.53299
Meth__cg23614979__NAV2	0.066831	0.06306	0.11979	0.29357	0.11625	0.040339	0.59223	0.048904	0.058711	0.87385	0.14444	0.042601	0.19056	0.041782	0.060536	0.09563	0.040008	0.81271	0.41345	0.056419	0.069758	0.11366	0.067404	0.14085	0.084446	0.2202	0.11451	0.040182	0.034518	0.045818	0.038146	0.041711	0.028196	0.096068	0.057895	0.050558	0.053477
U133A__HLA-F	7.3246	7.1514	7.3996	7.6905	9.2785	7.8591	7.9913	8.793	10.7475	8.2523	9.6511	10.4241	6.5921	8.7351	9.7487	10.5898	8.0524	7.2474	7.8303	8.8431	10.4878	7.9252	7.8877	8.5341	8.7941	7.2825	6.829	8.7181	8.5194	9.0699	8.8619	10.3623	8.1545	8.6017	8.9212	7.4898	7.3955
U133A__HLA-G	8.6143	7.7347	8.7024	8.5798	9.5409	8.7046	9.0598	9.5749	11.289	9.1028	10.2618	10.21	7.4684	9.2845	10.1384	11.4304	8.9859	7.7501	8.5791	9.3896	11.228	8.8795	8.9788	9.256	9.8145	8.2706	8.0526	9.6119	9.275	9.4308	9.6748	10.8822	8.9972	9.6493	9.7121	8.3077	7.5665
Meth__cg01366419__WBSCR17	0.90713	0.071024	0.92285	0.70332	0.13147	0.86784	0.91447	0.31599	0.16588	0.18844	0.90784	0.91588	0.15135	0.09319	0.2676	0.10506	0.23683	0.60662	0.63264	0.64387	0.087669	0.88982	0.82392	0.30958	0.19256	0.84544	0.17254	0.06493	0.11895	0.19991	0.036089	0.34728	0.60128	0.092315	0.85456	0.31035	0.25617
Meth__cg07639720__BNC1	0.70259	0.15118	0.86614	0.18854	0.50791	0.33556	0.86212	0.84776	0.44675	0.8318	0.60121	0.17163	0.35651	0.14814	0.035921	0.075965	0.22299	0.49725	0.78595	0.42252	0.06153	0.57083	0.83083	0.60236	0.11994	0.29475	0.14946	0.19236	0.047625	0.039314	0.050582	0.13105	0.17807	0.39291	0.075212	0.24006	0.20858
Meth__cg25421647__UBE2L3	0.95923	0.75787	0.8254	0.81081	0.85038	0.35562	0.94125	0.52885	0.044004	0.94167	0.77196	0.37077	0.052819	0.087789	0.054707	0.092235	0.49996	0.9557	0.9061	0.58185	0.038977	0.73624	0.56619	0.12315	0.22728	0.1843	0.53989	0.031005	0.027114	0.058922	0.14737	0.070205	0.04905	0.078067	0.11481	0.54005	0.46352
Meth__cg25490410__TUBGCP5	0.092013	0.057788	0.10848	0.051061	0.070312	0.053542	0.10195	0.06364	0.084958	0.10013	0.096794	0.062924	0.090924	0.066634	0.075971	0.46874	0.077118	0.096588	0.10223	0.41286	0.074085	0.054317	0.59474	0.12023	0.16935	0.18042	0.074097	0.052736	0.042808	0.090417	0.081692	0.047153	0.066612	0.17719	0.076514	0.087184	0.086256
Meth__cg05732130__FLJ13912	0.07145	0.028893	0.049145	0.040166	0.033717	0.035691	0.042848	0.030891	0.05805	0.036819	0.049547	0.020696	0.037759	0.02805	0.085961	0.069635	0.035893	0.038828	0.070242	0.064258	0.027669	0.033852	0.068977	0.040204	0.097218	0.042493	0.072391	0.026088	0.021106	0.033968	0.030041	0.016309	0.030393	0.29576	0.063115	0.032847	0.061724
Meth__cg04101379__DZIP1	0.77623	0.052824	0.95091	0.76086	0.39284	0.037964	0.8545	0.056646	0.31928	0.92134	0.063343	0.24746	0.42273	0.61977	0.03582	0.53097	0.074231	0.94782	0.91433	0.92849	0.031014	0.93433	0.83833	0.90482	0.13518	0.8957	0.11241	0.048196	0.26308	0.073253	0.33511	0.41092	0.8949	0.86862	0.1493	0.92521	0.93218
Meth__cg01795122__EMP3	0.56532	0.56387	0.91658	0.84134	0.17067	0.021983	0.88119	0.037107	0.060973	0.79146	0.9192	0.39332	0.31491	0.57514	0.022753	0.24216	0.017227	0.79435	0.89459	0.87882	0.025554	0.905	0.050387	0.87359	0.10945	0.93524	0.49253	0.034537	0.022414	0.028657	0.44071	0.24885	0.93105	0.073258	0.54698	0.82713	0.92521
Meth__cg04451988__C10orf38	0.2651	0.035638	0.78055	0.034906	0.037936	0.029623	0.31883	0.017351	0.031927	0.037607	0.030505	0.047006	0.041725	0.036418	0.029806	0.059099	0.04097	0.83954	0.41656	0.32813	0.033861	0.04486	0.11734	0.063575	0.068908	0.74858	0.073262	0.035735	0.033022	0.041173	0.029747	0.032404	0.33554	0.050889	0.039311	0.038027	0.039363
Meth__cg13818573__C1QL1	0.48406	0.053936	0.86073	0.1276	0.14231	0.61055	0.69101	0.1242	0.16364	0.45779	0.84935	0.3167	0.15088	0.10695	0.050901	0.08159	0.55814	0.7573	0.3698	0.15356	0.075098	0.86533	0.94317	0.055571	0.076274	0.7955	0.053937	0.07669	0.10094	0.075282	0.040175	0.055422	0.91836	0.22889	0.77989	0.44425	0.59552
Meth__cg12874092__VIM	0.93535	0.17695	0.98619	0.017637	0.56029	0.01704	0.97934	0.017528	0.0091108	0.98641	0.094174	0.23194	0.016964	0.016682	0.0111	0.020677	0.015159	0.97836	0.9792	0.64735	0.020785	0.98288	0.038988	0.070573	0.048694	0.93911	0.27269	0.015201	0.012244	0.013827	0.014388	0.06775	0.98033	0.94419	0.39834	0.94847	0.97627
Meth__cg14719055__RBBP7	0.40304	0.56126	0.046301	0.55295	0.15772	0.88089	0.058199	0.74346	0.44373	0.052234	0.035508	0.10139	0.33015	0.69068	0.10383	0.10135	0.10345	0.091935	0.17375	0.749	0.87997	0.40286	0.88278	0.056882	0.30574	0.12715	0.411	0.48146	0.84519	0.89972	0.7684	0.74133	0.56894	0.063474	0.21936	0.28391	0.22173
Meth__cg10539507__NKX6-1	0.27448	0.059019	0.093273	0.63065	0.5291	0.069356	0.90672	0.089657	0.080843	0.083427	0.33274	0.171	0.094412	0.073412	0.070549	0.38882	0.088565	0.90565	0.9059	0.57531	0.076323	0.4674	0.55903	0.68216	0.17453	0.84223	0.10935	0.047027	0.056732	0.092968	0.071326	0.22086	0.66851	0.58932	0.90158	0.82697	0.91679
Meth__cg08132931__ADD2	0.57405	0.041512	0.52487	0.39783	0.038083	0.61366	0.70325	0.060746	0.038432	0.055316	0.076793	0.063322	0.046242	0.047636	0.041958	0.064777	0.062246	0.66354	0.55288	0.09088	0.075227	0.62142	0.39222	0.40567	0.10175	0.79733	0.065307	0.038033	0.03305	0.036807	0.67471	0.040585	0.27854	0.29422	0.45561	0.62045	0.66157
Meth__cg08069899__CCND2	0.18543	0.037618	0.75491	0.051816	0.041886	0.73348	0.32492	0.97996	0.14357	0.89761	0.96711	0.62489	0.12618	0.036762	0.070773	0.11005	0.03509	0.78426	0.5727	0.64466	0.056722	0.38823	0.77503	0.30048	0.058091	0.87158	0.068334	0.034991	0.098896	0.048023	0.025175	0.040857	0.23899	0.12661	0.5952	0.080063	0.058214
Meth__cg05428978__CDCA7	0.026622	0.019869	0.034106	0.023501	0.020492	0.023202	0.035263	0.033876	0.025607	0.028696	0.026232	0.074813	0.024832	0.025461	0.022094	0.050775	0.030898	0.63199	0.41873	0.022228	0.019679	0.026814	0.055343	0.21545	0.039673	0.040179	0.042627	0.022606	0.016504	0.021857	0.021739	0.019122	0.01697	0.43907	0.035491	0.4236	0.032318
Meth__cg25584626__LOC51334	0.018906	0.022715	0.59299	0.015538	0.01467	0.016984	0.56912	0.028053	0.018883	0.021596	0.022285	0.023877	0.018527	0.017703	0.015171	0.093406	0.018746	0.35933	0.042085	0.30814	0.017095	0.028327	0.039441	0.031778	0.027834	0.07518	0.035506	0.014438	0.014384	0.014915	0.022123	0.018532	0.017871	0.065684	0.018975	0.029722	0.02172
Meth__cg23698058__PRKACB	0.75169	0.021059	0.033197	0.024813	0.021894	0.02031	0.03261	0.02008	0.023328	0.026083	0.021867	0.017787	0.034124	0.0221	0.029434	0.05482	0.020192	0.031057	0.030943	0.15682	0.024642	0.021871	0.051603	0.026388	0.27554	0.037323	0.022692	0.020807	0.019262	0.020008	0.020772	0.017827	0.024608	0.068159	0.036319	0.030013	0.026699
Meth__cg13163729__SIX3	0.068506	0.063566	0.86875	0.21311	0.55546	0.84868	0.75208	0.094886	0.049965	0.51796	0.84127	0.057334	0.063754	0.62234	0.43672	0.10018	0.13257	0.80674	0.83865	0.61565	0.75055	0.36855	0.81808	0.34444	0.089934	0.39014	0.11775	0.056727	0.055231	0.089445	0.066464	0.044205	0.44981	0.07634	0.51021	0.72749	0.54301
Meth__cg21688264__SNAP91	0.033559	0.039291	0.50529	0.036969	0.038297	0.030115	0.94749	0.96084	0.032683	0.051732	0.086014	0.039286	0.29757	0.032253	0.057619	0.1008	0.057335	0.087991	0.04271	0.60622	0.04142	0.94016	0.64237	0.48976	0.14978	0.88673	0.066098	0.038972	0.026523	0.089027	0.44778	0.056055	0.6887	0.051154	0.78888	0.59332	0.73141
Meth__cg20256494__CABP7	0.92997	0.15955	0.56855	0.11923	0.070694	0.58993	0.77195	0.40921	0.074714	0.057206	0.7645	0.31057	0.097486	0.094671	0.081729	0.16807	0.41025	0.95432	0.96755	0.088903	0.091958	0.9432	0.92014	0.11637	0.24318	0.9165	0.18163	0.05871	0.082978	0.15857	0.083267	0.046111	0.37606	0.22607	0.18223	0.42421	0.60145
Meth__cg09231514__QIL1	0.41347	0.028816	0.94336	0.94405	0.024377	0.17749	0.33856	0.12778	0.24565	0.40542	0.45972	0.54338	0.23134	0.070924	0.44236	0.095935	0.23105	0.65722	0.42214	0.036754	0.047595	0.097556	0.82458	0.42024	0.23451	0.75398	0.071843	0.047361	0.027166	0.045336	0.0306	0.03927	0.13034	0.087894	0.2632	0.045407	0.051906
Meth__cg17801256__ZMYM4	0.054571	0.040847	0.045466	0.045496	0.029904	0.036724	0.037984	0.028742	0.027127	0.049982	0.037643	0.030868	0.043678	0.033578	0.03891	0.075575	0.040866	0.034111	0.038913	0.040645	0.035859	0.029551	0.10399	0.048755	0.2235	0.071486	0.037708	0.031072	0.028005	0.033566	0.035528	0.031947	0.023094	0.091225	0.048153	0.57386	0.56913
