Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg04872051__CHST7	0.66589	0.021583	0.045138	0.38282	0.96257	0.026263	0.057911	0.020534	0.42909	0.11798	0.17823	0.63333	0.59275	0.4512	0.77742	0.03926	0.70698	0.024517	0.026745	0.035959	0.62582	0.64602	0.5716	0.053628	0.62888	0.55763	0.92514	0.57583	0.62303	0.027617	0.70128	0.03786	0.044729	0.9657	0.067134	0.56987	0.31417	0.035185
Meth__cg21092462__KCNH1	0.046638	0.03681	0.3275	0.32301	0.15475	0.061643	0.22267	0.14994	0.18492	0.42183	0.26013	0.21687	0.56402	0.2616	0.086514	0.042716	0.18218	0.032147	0.17265	0.10291	0.17479	0.064897	0.29235	0.52129	0.074399	0.12443	0.36941	0.060483	0.033914	0.061194	0.32661	0.30498	0.28611	0.35525	0.12514	0.094632	0.13817	0.096902
Meth__cg19356189__KLK10	0.11129	0.082353	0.92857	0.41018	0.39302	0.11997	0.24895	0.34246	0.32816	0.078506	0.5566	0.91555	0.57589	0.24072	0.68844	0.4355	0.30062	0.06801	0.18811	0.18347	0.90827	0.22113	0.14488	0.12476	0.41859	0.12415	0.20444	0.11531	0.24514	0.0795	0.10198	0.21146	0.44753	0.71902	0.13391	0.13097	0.15143	0.13023
Meth__cg07448499__CTSH	0.083849	0.45002	0.086418	0.3481	0.16731	0.4902	0.64087	0.10888	0.076454	0.11554	0.093154	0.10081	0.12319	0.11014	0.10981	0.08985	0.094523	0.13918	0.31157	0.12256	0.39036	0.41827	0.082408	0.30371	0.55621	0.17661	0.19431	0.14369	0.09067	0.052864	0.093978	0.48334	0.064184	0.1009	0.17504	0.087278	0.077933	0.12365
Meth__cg19769182__PRRT2	0.037045	0.29785	0.96693	0.40754	0.032196	0.092293	0.24132	0.1436	0.95666	0.0377	0.30117	0.95604	0.89284	0.60145	0.45075	0.13072	0.48187	0.38093	0.052162	0.036646	0.035122	0.039123	0.038944	0.51508	0.091804	0.12661	0.18863	0.44018	0.029273	0.03873	0.83291	0.036698	0.30502	0.95193	0.074698	0.084018	0.065829	0.053215
Meth__cg18799866__SLC9A7	0.58096	0.035449	0.048425	0.047203	0.36135	0.027403	0.050901	0.035611	0.29861	0.017432	0.96996	0.53136	0.3449	0.22732	0.51996	0.032104	0.34706	0.030995	0.017329	0.042731	0.54051	0.29026	0.53182	0.090909	0.038588	0.21771	0.40973	0.42979	0.57316	0.02896	0.63887	0.051683	0.037908	0.054901	0.029277	0.45779	0.14227	0.028815
Meth__cg02992632__FGF12	0.053696	0.039929	0.88949	0.047491	0.037733	0.2858	0.046329	0.13297	0.62441	0.040211	0.30802	0.089996	0.27615	0.46875	0.045789	0.7518	0.18002	0.18992	0.03752	0.039647	0.045741	0.080511	0.036344	0.38926	0.047756	0.091996	0.59197	0.063586	0.078201	0.049365	0.1015	0.066135	0.54854	0.04821	0.05356	0.59911	0.04959	0.047053
Meth__cg25092328__PXMP4	0.044222	0.045294	0.049441	0.89603	0.59255	0.31103	0.083673	0.036136	0.64542	0.061511	0.53938	0.5809	0.53962	0.66569	0.042064	0.038839	0.89714	0.055342	0.04602	0.050468	0.036922	0.042638	0.034108	0.07076	0.44422	0.093869	0.064818	0.087793	0.045192	0.04262	0.043641	0.04471	0.036054	0.074453	0.10053	0.89752	0.046594	0.55754
Meth__cg17803089__FANCE	0.048114	0.055721	0.88901	0.87025	0.10841	0.60572	0.14836	0.55885	0.36952	0.1257	0.25146	0.59345	0.80312	0.31428	0.42465	0.062197	0.92507	0.072333	0.12836	0.058791	0.057908	0.056709	0.26112	0.27816	0.81446	0.11951	0.56634	0.086289	0.040876	0.060325	0.70946	0.34105	0.28035	0.16128	0.14317	0.082691	0.28729	0.20304
Meth__cg17710288__NPM3	0.11016	0.1261	0.21759	0.10602	0.11027	0.054491	0.10861	0.057854	0.091743	0.13579	0.1747	0.15485	0.80216	0.23987	0.098165	0.10227	0.15493	0.11954	0.074062	0.07354	0.084078	0.072596	0.068883	0.071213	0.06584	0.19888	0.14697	0.18954	0.076607	0.084053	0.093909	0.093259	0.70425	0.090115	0.11316	0.11169	0.9156	0.87684
Meth__cg15065896__GOLGA4	0.068394	0.050351	0.053935	0.049893	0.044561	0.58638	0.063921	0.061031	0.048247	0.057754	0.052671	0.04398	0.075534	0.058446	0.053166	0.059259	0.069867	0.049051	0.042313	0.059974	0.056542	0.068704	0.062937	0.10442	0.056308	0.095189	0.065247	0.064077	0.048019	0.054576	0.043191	0.05707	0.046079	0.042394	0.096722	0.054735	0.049081	0.059491
Meth__cg08560942__ACHE	0.03743	0.025572	0.050649	0.093884	0.054734	0.039465	0.37955	0.035747	0.12569	0.039174	0.05646	0.050926	0.086077	0.12257	0.03429	0.038303	0.18262	0.037336	0.046157	0.043853	0.05615	0.033182	0.041132	0.32161	0.052203	0.076745	0.16042	0.060819	0.041409	0.056592	0.046019	0.038762	0.046194	0.24965	0.12105	0.049778	0.043637	0.029181
Meth__cg26763524__FDX1	0.089277	0.066323	0.21215	0.68926	0.54487	0.07953	0.45331	0.52918	0.46097	0.32301	0.062766	0.47185	0.31148	0.42784	0.10186	0.054111	0.15785	0.077635	0.25079	0.13623	0.26207	0.08044	0.11262	0.077934	0.14088	0.14805	0.61526	0.12728	0.055952	0.05968	0.33532	0.57969	0.52991	0.34929	0.22946	0.18271	0.33126	0.25504
Meth__cg17602451__BCL2	0.063162	0.035492	0.95173	0.055695	0.10524	0.95404	0.070302	0.14865	0.21232	0.038886	0.93365	0.79234	0.74046	0.21557	0.63814	0.27776	0.755	0.4052	0.034002	0.046118	0.038418	0.94636	0.10622	0.90867	0.054939	0.094513	0.93449	0.1315	0.40849	0.21134	0.57873	0.50248	0.69178	0.94823	0.16002	0.61579	0.047757	0.042401
Meth__cg14737977__ITGA3	0.065457	0.11248	0.080396	0.19356	0.24761	0.071128	0.1975	0.038292	0.37274	0.061105	0.77974	0.1445	0.11204	0.375	0.07349	0.056862	0.12216	0.095521	0.083244	0.062694	0.080382	0.06955	0.087869	0.17699	0.10404	0.15631	0.12191	0.14787	0.08362	0.083322	0.072556	0.28878	0.097536	0.10495	0.11757	0.25204	0.12578	0.24152
Meth__cg03568064__MAPK8IP1	0.059307	0.039297	0.97565	0.51788	0.048806	0.17978	0.063394	0.28794	0.59254	0.18795	0.96504	0.85649	0.95987	0.50633	0.061203	0.85715	0.61739	0.63279	0.83218	0.73398	0.032513	0.07558	0.15989	0.9018	0.70913	0.045611	0.98051	0.076497	0.030625	0.033326	0.66383	0.12847	0.48688	0.85245	0.4896	0.25505	0.77908	0.059458
Meth__cg07068998__NRAS	0.047341	0.049213	0.39444	0.077123	0.048546	0.041993	0.035095	0.11322	0.075717	0.09926	0.94866	0.11676	0.18759	0.60321	0.046591	0.036206	0.62382	0.036321	0.075417	0.07542	0.070721	0.051198	0.083115	0.069266	0.13345	0.78274	0.22168	0.059261	0.034575	0.35139	0.11533	0.94607	0.9318	0.43314	0.13612	0.91194	0.93361	0.93911
Meth__cg11719157__PITPNA	0.089367	0.080186	0.38627	0.08956	0.074867	0.70041	0.52573	0.17793	0.078278	0.096133	0.060399	0.29248	0.39681	0.086928	0.69398	0.2571	0.098322	0.47428	0.34439	0.42686	0.63727	0.31384	0.19315	0.60882	0.68938	0.13756	0.13393	0.23229	0.24373	0.070171	0.13831	0.25919	0.073203	0.57863	0.53847	0.12652	0.14663	0.43009
Meth__cg02007463__ITGA7	0.062819	0.049491	0.72803	0.28245	0.071863	0.24474	0.08146	0.047763	0.088372	0.090842	0.10306	0.081745	0.31486	0.069306	0.0601	0.09785	0.11671	0.063985	0.11573	0.070703	0.051646	0.072845	0.079401	0.34147	0.050979	0.092335	0.81796	0.12764	0.090756	0.041056	0.10892	0.054555	0.047865	0.51833	0.065309	0.076779	0.19431	0.093486
Meth__cg27194921__PXMP4	0.058903	0.046454	0.054984	0.90776	0.63413	0.32088	0.11314	0.047972	0.61599	0.056904	0.54333	0.59542	0.58408	0.67132	0.046681	0.038978	0.86789	0.078276	0.044553	0.052314	0.043643	0.05982	0.044134	0.067022	0.45421	0.08068	0.16615	0.054342	0.047332	0.050372	0.042582	0.044985	0.056678	0.065128	0.056308	0.89211	0.041486	0.54423
Meth__cg24166097__NPM3	0.088623	0.12197	0.14269	0.074263	0.085901	0.050821	0.081244	0.078624	0.1029	0.10826	0.10949	0.27509	0.7705	0.30916	0.079809	0.090545	0.14536	0.090708	0.043999	0.07428	0.064831	0.067081	0.06923	0.091625	0.07877	0.14247	0.15209	0.10381	0.086241	0.086689	0.088866	0.087317	0.92903	0.096934	0.23795	0.073978	0.93161	0.90764
Meth__cg24323031__PAQR8	0.050042	0.057501	0.78823	0.085991	0.070185	0.61597	0.052202	0.045762	0.089828	0.063396	0.08026	0.11345	0.95383	0.093254	0.061624	0.064837	0.14058	0.065692	0.07173	0.076956	0.063004	0.063754	0.063305	0.082311	0.073899	0.094413	0.3726	0.095665	0.041074	0.051217	0.071593	0.074215	0.06011	0.1364	0.077536	0.073802	0.094969	0.10454
Meth__cg11726593__IMPA1	0.43298	0.03894	0.92209	0.82356	0.50668	0.33685	0.042209	0.7904	0.76239	0.50204	0.56189	0.45207	0.2373	0.5849	0.14347	0.11205	0.25258	0.37837	0.52689	0.31829	0.51882	0.10711	0.55706	0.12149	0.39156	0.11418	0.75873	0.096994	0.043647	0.049511	0.058703	0.32221	0.72797	0.40705	0.036789	0.31585	0.84287	0.3216
Meth__cg22559669__TSPAN5	0.036068	0.022717	0.5807	0.047295	0.034394	0.023503	0.041421	0.023602	0.2007	0.031792	0.066165	0.2143	0.4514	0.18915	0.0595	0.02536	0.098565	0.019715	0.024206	0.032181	0.17072	0.028731	0.028222	0.038982	0.2051	0.074612	0.06642	0.0893	0.024294	0.024105	0.08734	0.42858	0.029513	0.20815	0.05059	0.041304	0.031019	0.04246
Meth__cg08617916__RASSF5	0.032871	0.034054	0.049301	0.02489	0.018803	0.025508	0.027982	0.019386	0.59591	0.024731	0.027565	0.043773	0.038359	0.51671	0.024636	0.022765	0.038698	0.017394	0.019585	0.033288	0.025323	0.028773	0.027389	0.03728	0.025381	0.02267	0.048853	0.028942	0.027345	0.033122	0.034264	0.018404	0.022307	0.078423	0.036519	0.026653	0.028292	0.031705
Meth__cg20910746__BBOX1	0.079761	0.047342	0.06931	0.10448	0.099718	0.16757	0.30616	0.11463	0.063221	0.066072	0.078231	0.14677	0.11635	0.066746	0.086257	0.3683	0.16245	0.33026	0.2078	0.19067	0.10913	0.73935	0.30422	0.19447	0.21008	0.26766	0.12299	0.12502	0.11109	0.059998	0.55165	0.20473	0.039365	0.095006	0.29988	0.10318	0.07525	0.1929
Meth__cg10749413__ABCA7	0.023317	0.02556	0.033142	0.025203	0.033583	0.02578	0.023929	0.018663	0.024121	0.020844	0.026975	0.085862	0.039233	0.025657	0.022776	0.022831	0.053875	0.016511	0.019737	0.030639	0.025178	0.11346	0.022347	0.02826	0.025484	0.071206	0.04153	0.036892	0.028567	0.019416	0.026802	0.027251	0.029126	0.023002	0.02407	0.029124	0.029403	0.040837
Meth__cg07789904__MAD2L2	0.024388	0.030101	0.074271	0.21133	0.058733	0.030889	0.045704	0.094399	0.040239	0.047111	0.060409	0.51528	0.11352	0.053586	0.095631	0.036949	0.13157	0.018849	0.11259	0.04834	0.038353	0.032991	0.089676	0.042998	0.064164	0.043804	0.11186	0.11054	0.02552	0.024533	0.13488	0.31862	0.084364	0.054499	0.06947	0.047948	0.28466	0.098318
Meth__cg20057066__FLJ42957	0.059506	0.046324	0.13262	0.29707	0.085837	0.048726	0.058153	0.058499	0.06121	0.052691	0.06539	0.1319	0.42363	0.061009	0.05998	0.048187	0.095714	0.053593	0.037734	0.048824	0.063393	0.053534	0.10723	0.080404	0.29295	0.078	0.32982	0.084866	0.050048	0.052179	0.054582	0.22455	0.074481	0.075808	0.13844	0.078374	0.31981	0.27041
Meth__cg10334385__FLJ25143	0.054465	0.041529	0.3056	0.19631	0.11734	0.15312	0.066189	0.067143	0.05887	0.091413	0.65056	0.12335	0.11695	0.068849	0.059345	0.10228	0.11912	0.072413	0.063988	0.065486	0.23955	0.069517	0.051784	0.10853	0.054522	0.10444	0.25763	0.091154	0.058495	0.083418	0.099745	0.10179	0.082429	0.11171	0.09208	0.28828	0.060171	0.061493
Meth__cg23750556__SRPX	0.57547	0.03967	0.077326	0.039758	0.10937	0.063728	0.056613	0.092814	0.17199	0.04864	0.063118	0.62571	0.14045	0.15704	0.09488	0.074685	0.49953	0.066143	0.048876	0.069912	0.5894	0.065096	0.40287	0.14904	0.50601	0.065114	0.4081	0.11575	0.60722	0.065813	0.63001	0.040163	0.080145	0.083536	0.07777	0.46482	0.2708	0.065458
Meth__cg20744464__MFI2	0.03616	0.044649	0.94852	0.95388	0.065948	0.85984	0.034285	0.1741	0.069094	0.049272	0.032243	0.78675	0.96073	0.090426	0.070385	0.13277	0.51873	0.22019	0.022107	0.022351	0.21545	0.026235	0.077079	0.069521	0.043285	0.021287	0.25557	0.13735	0.034811	0.030895	0.61814	0.35488	0.11238	0.048932	0.016344	0.82425	0.038754	0.032024
Meth__cg13964084__C6orf134	0.021082	0.11628	0.028466	0.084576	0.079493	0.068388	0.021755	0.033388	0.10959	0.74846	0.97843	0.30888	0.87743	0.35643	0.018547	0.018747	0.22736	0.019814	0.66159	0.51633	0.020591	0.032216	0.031657	0.032503	0.026312	0.053543	0.051127	0.075447	0.025628	0.024002	0.022704	0.020373	0.56368	0.3997	0.025801	0.028061	0.46847	0.97482
Meth__cg06742978__ACCN2	0.067261	0.074345	0.93554	0.37352	0.54971	0.11542	0.25251	0.083153	0.1006	0.55203	0.048938	0.64219	0.5758	0.099217	0.10472	0.031132	0.072255	0.027517	0.34517	0.28584	0.070499	0.044994	0.35638	0.34722	0.12304	0.078999	0.34952	0.082194	0.17619	0.036628	0.32771	0.059238	0.054644	0.56698	0.23275	0.11697	0.3384	0.044883
Meth__cg18851831__DYRK1B	0.081268	0.072079	0.67812	0.063353	0.11148	0.072289	0.057291	0.034199	0.064366	0.12099	0.49103	0.66555	0.68821	0.087508	0.062767	0.66373	0.59854	0.93642	0.06046	0.060853	0.049735	0.082756	0.052932	0.080184	0.076153	0.078246	0.14588	0.071058	0.045673	0.93134	0.89045	0.052163	0.95378	0.070407	0.067048	0.93112	0.67355	0.37011
Meth__cg17550582__SLC2A10	0.035295	0.56561	0.037308	0.028708	0.02313	0.48185	0.038585	0.55259	0.029256	0.035733	0.041853	0.065764	0.47272	0.028898	0.79592	0.080905	0.14917	0.036164	0.026056	0.37519	0.32202	0.067433	0.026661	0.67741	0.040432	0.080905	0.053778	0.17487	0.028858	0.044669	0.061795	0.018173	0.022641	0.025441	0.11643	0.03253	0.026035	0.034093
Meth__cg19511844__ORMDL3	0.0263	0.02883	0.93714	0.82419	0.6125	0.18871	0.03638	0.034751	0.50429	0.13289	0.055745	0.052792	0.48829	0.42103	0.025669	0.073937	0.4559	0.030466	0.17747	0.31716	0.030721	0.048531	0.3058	0.18701	0.71615	0.094236	0.55925	0.10034	0.026971	0.041576	0.55691	0.28517	0.65722	0.026665	0.033513	0.39507	0.033229	0.032844
Meth__cg14260918__ZNF673	0.45135	0.014321	0.045672	0.020833	0.17226	0.018916	0.024595	0.026454	0.41774	0.020341	0.022444	0.45031	0.50782	0.33504	0.61641	0.022315	0.20714	0.014566	0.015089	0.022267	0.45836	0.076064	0.41283	0.043148	0.38314	0.30492	0.26981	0.075134	0.47927	0.016377	0.52735	0.032894	0.02778	0.043871	0.043171	0.42155	0.12578	0.021251
Meth__cg00547789__RAB39B	0.45571	0.065511	0.9275	0.90559	0.073125	0.040321	0.90418	0.25461	0.048997	0.040751	0.89576	0.13005	0.85234	0.25805	0.29611	0.31688	0.11554	0.36725	0.050847	0.052213	0.20631	0.33548	0.3993	0.81527	0.63551	0.10716	0.88848	0.080916	0.25624	0.033202	0.3333	0.11255	0.94546	0.93122	0.27802	0.50209	0.35981	0.041241
Meth__cg25282780__AK3	0.14683	0.13406	0.15162	0.83741	0.42328	0.40876	0.097045	0.10175	0.95376	0.83954	0.1279	0.26877	0.94728	0.87696	0.15556	0.047862	0.22531	0.092611	0.1012	0.10992	0.1329	0.098696	0.095587	0.78138	0.19983	0.14282	0.18945	0.24633	0.10659	0.087217	0.11648	0.87513	0.19861	0.57591	0.18458	0.11104	0.11536	0.07957
