Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg02067021__DNAJC5B	0.028909	0.026682	0.40225	0.034316	0.10982	0.41566	0.02546	0.91101	0.026228	0.21216	0.52697	0.82479	0.072321	0.02292	0.31178	0.37539	0.045791	0.88515	0.12727	0.093623	0.90452	0.9329	0.028769	0.095865	0.029474	0.036055	0.39376	0.13701	0.38071	0.019328	0.037123	0.035141	0.038767	0.065511	0.029191	0.025946
Meth__cg02497758__MAFB	0.16919	0.053579	0.5967	0.047388	0.03218	0.83965	0.059214	0.10725	0.10396	0.04432	0.77766	0.06293	0.12066	0.042712	0.53016	0.091848	0.074752	0.37544	0.59527	0.095504	0.40497	0.87696	0.041478	0.075934	0.11371	0.10408	0.26313	0.076376	0.35566	0.10185	0.026899	0.040469	0.11393	0.049511	0.051027	0.080684
Meth__cg17892328__GLUL	0.030847	0.087281	0.67699	0.026985	0.014447	0.98906	0.023272	0.029768	0.027285	0.031395	0.034904	0.026968	0.24812	0.022744	0.99228	0.022697	0.039555	0.12423	0.026755	0.028253	0.042636	0.78052	0.024812	0.024035	0.050636	0.036701	0.065045	0.013324	0.063831	0.023372	0.01698	0.017645	0.044162	0.035965	0.02232	0.028107
Meth__cg17018527__TM6SF1	0.15635	0.022408	0.95684	0.16462	0.027754	0.54933	0.027267	0.66862	0.016869	0.01858	0.51531	0.032992	0.35164	0.022872	0.41189	0.023062	0.030877	0.025317	0.65419	0.54332	0.13683	0.56205	0.025588	0.035741	0.37382	0.024742	0.026603	0.020735	0.025381	0.019205	0.017205	0.082877	0.19358	0.029132	0.37122	0.61308
Meth__cg18328334__TNS1	0.17726	0.072396	0.83301	0.099766	0.083825	0.78525	0.10077	0.93312	0.84325	0.086103	0.89058	0.84758	0.87984	0.69124	0.91159	0.85021	0.54273	0.90794	0.15398	0.16046	0.57172	0.82769	0.080907	0.11815	0.15698	0.082647	0.69797	0.91978	0.49813	0.087738	0.5313	0.1272	0.10697	0.11128	0.11574	0.18133
Meth__cg08615333__TGFB3	0.058346	0.03908	0.81863	0.068886	0.072273	0.87989	0.053721	0.89822	0.052509	0.053832	0.58844	0.86724	0.8214	0.064406	0.83482	0.60806	0.15361	0.47318	0.13361	0.2025	0.85897	0.81177	0.057025	0.086523	0.073597	0.038126	0.88446	0.85737	0.65699	0.055006	0.046645	0.046168	0.27327	0.037415	0.051905	0.062215
Meth__cg18384643__MRPS33	0.033375	0.020036	0.059104	0.021999	0.019856	0.045077	0.035408	0.59541	0.019186	0.026052	0.23121	0.043117	0.13629	0.022126	0.035548	0.018835	0.057851	0.020108	0.022336	0.038596	0.036993	0.068361	0.036684	0.037403	0.078177	0.044137	0.023206	0.023308	0.031498	0.012937	0.032094	0.021187	0.12896	0.046781	0.043347	0.039221
Meth__cg25884854__TMEM106C	0.051768	0.034374	0.050392	0.039893	0.030004	0.10812	0.03344	0.036235	0.059614	0.037402	0.056565	0.18152	0.037635	0.039988	0.043553	0.043134	0.07495	0.15902	0.029916	0.036471	0.4196	0.090284	0.029514	0.031481	0.085521	0.03769	0.043394	0.037732	0.036081	0.033094	0.027658	0.035018	0.088337	0.068446	0.042134	0.044784
Meth__cg06747888__TBR1	0.34451	0.14694	0.9166	0.11045	0.068479	0.91287	0.10154	0.91489	0.30024	0.086213	0.87401	0.8873	0.92516	0.21282	0.89441	0.69516	0.29074	0.8852	0.073411	0.084	0.89432	0.80047	0.066035	0.10285	0.1454	0.13495	0.93282	0.15766	0.90857	0.62492	0.15039	0.53994	0.13363	0.11234	0.38505	0.16266
Meth__cg09715672__C10orf116	0.022985	0.022412	0.047482	0.019293	0.02779	0.89494	0.021364	0.021224	0.020619	0.018782	0.79714	0.46058	0.045859	0.021155	0.25056	0.021548	0.041306	0.57209	0.017205	0.49982	0.93641	0.92727	0.020455	0.023344	0.04907	0.045187	0.73479	0.019793	0.51893	0.26842	0.01972	0.019836	0.044034	0.024902	0.021815	0.019921
Meth__cg16076328__TACSTD1	0.048157	0.032155	0.054132	0.047269	0.03079	0.97575	0.044638	0.059391	0.053394	0.044347	0.16427	0.17513	0.047956	0.040875	0.036856	0.048993	0.075729	0.24791	0.03592	0.044132	0.98074	0.53993	0.045314	0.044937	0.062829	0.080457	0.95715	0.032867	0.69085	0.036161	0.046324	0.022653	0.069187	0.04406	0.040764	0.056111
Meth__cg27324619__PIB5PA	0.047257	0.043591	0.094461	0.047492	0.041244	0.12244	0.047148	0.16717	0.047999	0.0649	0.11139	0.07087	0.074558	0.046968	0.060777	0.060336	0.060397	0.054293	0.053668	0.085555	0.78296	0.075022	0.04459	0.11672	0.081483	0.070625	0.076199	0.054197	0.07682	0.02863	0.05745	0.041031	0.10701	0.057936	0.044118	0.04228
Meth__cg25661884__RDH8	0.081234	0.059298	0.79416	0.29093	0.11973	0.10045	0.18663	0.6501	0.050253	0.073595	0.56484	0.83948	0.63812	0.053901	0.31018	0.098273	0.1221	0.23613	0.26862	0.45993	0.84376	0.15237	0.17146	0.13788	0.18652	0.10604	0.29765	0.048661	0.31285	0.074003	0.044243	0.46591	0.13964	0.39482	0.20005	0.48093
Meth__cg24127989__IMPDH1	0.036357	0.021158	0.066434	0.035781	0.040831	0.4554	0.02838	0.67278	0.86436	0.17844	0.082511	0.89264	0.31292	0.6922	0.31138	0.043122	0.074263	0.24567	0.022575	0.095494	0.35118	0.42855	0.034043	0.049871	0.046959	0.030549	0.47524	0.022835	0.028658	0.018622	0.025352	0.029738	0.048071	0.055723	0.037517	0.03191
Meth__cg13496736__OVOL1	0.10847	0.095285	0.11774	0.11128	0.039861	0.96726	0.081658	0.10965	0.031532	0.053561	0.2139	0.31223	0.10866	0.041202	0.83519	0.30538	0.11567	0.67063	0.037037	0.11069	0.97239	0.8639	0.082814	0.049196	0.08762	0.092716	0.18602	0.11522	0.62323	0.025162	0.028514	0.027825	0.11706	0.03852	0.40294	0.34891
Meth__cg07640473__SEMA3F	0.026867	0.025677	0.88506	0.040579	0.039975	0.8	0.048008	0.85396	0.03167	0.049449	0.97912	0.12626	0.08538	0.037801	0.53039	0.030363	0.048484	0.25015	0.045507	0.058389	0.75673	0.9603	0.037097	0.10301	0.060152	0.08906	0.60151	0.58203	0.765	0.034869	0.043344	0.048554	0.18153	0.028054	0.032835	0.050105
Meth__cg11390468__IFT57	0.401	0.53604	0.096333	0.92269	0.089311	0.058763	0.59994	0.082902	0.91498	0.0759	0.057234	0.083131	0.23275	0.7273	0.075385	0.11597	0.11125	0.062515	0.098968	0.090021	0.084204	0.10363	0.1935	0.090457	0.86972	0.21241	0.041672	0.075542	0.083084	0.59922	0.06295	0.088105	0.12747	0.06842	0.1936	0.12681
Meth__cg04653308__PPP2R4	0.11889	0.10337	0.23153	0.111	0.301	0.68219	0.11429	0.60047	0.12361	0.22276	0.48858	0.68238	0.34509	0.15534	0.40823	0.52885	0.13246	0.57075	0.32675	0.28407	0.73994	0.41105	0.17219	0.10304	0.12463	0.12452	0.20374	0.13461	0.41822	0.22229	0.12733	0.19544	0.19895	0.14034	0.11432	0.11508
Meth__cg05745851__CCDC62	0.082814	0.054615	0.72457	0.68261	0.034471	0.9351	0.051287	0.41617	0.034944	0.033766	0.044397	0.32208	0.21023	0.056411	0.93935	0.039938	0.15715	0.27001	0.045731	0.048068	0.93597	0.9124	0.71611	0.10478	0.08932	0.12201	0.063957	0.051792	0.12041	0.043424	0.077014	0.032744	0.52039	0.045679	0.66277	0.94668
Meth__cg02870945__REEP1	0.021888	0.027956	0.25028	0.027579	0.027037	0.65465	0.030451	0.087008	0.027125	0.021208	0.46218	0.057462	0.098518	0.027262	0.31351	0.043067	0.06202	0.46782	0.023183	0.024049	0.1736	0.68671	0.020261	0.027954	0.035977	0.040657	0.033393	0.035222	0.052399	0.02048	0.028002	0.13288	0.084914	0.024142	0.032288	0.036513
Meth__cg03133269__WNT4	0.096028	0.51066	0.94859	0.10913	0.073864	0.62224	0.133	0.12271	0.070387	0.05946	0.93693	0.63527	0.64021	0.081885	0.66735	0.086149	0.33345	0.34433	0.83898	0.13262	0.63484	0.18204	0.087151	0.1202	0.17192	0.10458	0.067728	0.072703	0.096848	0.072219	0.42519	0.098923	0.11162	0.081068	0.17831	0.62339
Meth__cg08197122__DCC1	0.028681	0.1817	0.035791	0.21942	0.052707	0.029089	0.033455	0.030134	0.069591	0.14858	0.025072	0.013252	0.03857	0.048351	0.02045	0.018672	0.030422	0.043072	0.029773	0.024693	0.034099	0.046306	0.13954	0.047165	0.038079	0.046035	0.020744	0.04985	0.040604	0.086386	0.037986	0.037109	0.12396	0.03136	0.17734	0.12477
Meth__cg11015241__ATP10A	0.8912	0.094203	0.42937	0.50186	0.88716	0.25921	0.68524	0.9275	0.081399	0.077586	0.84655	0.93807	0.17355	0.15087	0.88458	0.89032	0.19666	0.26751	0.65833	0.52665	0.14411	0.8623	0.33277	0.070266	0.22716	0.081761	0.93265	0.038654	0.12731	0.072815	0.83696	0.94716	0.67263	0.87414	0.21598	0.31637
Meth__cg26616347__IRF5	0.14677	0.058382	0.38473	0.33128	0.43503	0.81039	0.2491	0.84899	0.12392	0.13907	0.73231	0.76733	0.31242	0.10286	0.31604	0.29645	0.098395	0.1091	0.40374	0.1771	0.47389	0.46016	0.18779	0.094738	0.11156	0.06692	0.60522	0.12047	0.055207	0.62283	0.041242	0.19644	0.17922	0.58015	0.31227	0.45994
Meth__cg00003994__MEOX2	0.86347	0.038321	0.54108	0.58768	0.038327	0.84666	0.60042	0.91269	0.047265	0.043733	0.6338	0.15465	0.36316	0.039763	0.82158	0.066535	0.060197	0.53098	0.11628	0.092329	0.048368	0.70791	0.11481	0.088951	0.69585	0.078094	0.071066	0.066858	0.066631	0.19139	0.051345	0.1817	0.15807	0.36893	0.75733	0.79806
Meth__cg06043042__NEUROG3	0.15624	0.049172	0.29622	0.10043	0.096935	0.88662	0.089643	0.44942	0.058683	0.056037	0.26245	0.239	0.22819	0.054236	0.23365	0.25997	0.1094	0.03377	0.044484	0.11284	0.11994	0.80528	0.10266	0.085232	0.19796	0.07577	0.08662	0.12003	0.060688	0.056438	0.03999	0.1634	0.10687	0.42162	0.16215	0.18044
Meth__cg15820809__BIK	0.052375	0.040701	0.070758	0.051755	0.034797	0.9658	0.053618	0.043484	0.032347	0.046746	0.78657	0.10642	0.055359	0.029788	0.059956	0.040306	0.071641	0.24398	0.058426	0.059011	0.065891	0.35009	0.065664	0.06105	0.089945	0.063227	0.052933	0.023467	0.043933	0.033591	0.036598	0.044121	0.095405	0.060941	0.088118	0.066068
Meth__cg14900471__GATA4	0.59751	0.043478	0.045923	0.04867	0.046531	0.96331	0.51893	0.97572	0.046011	0.048386	0.66624	0.93777	0.913	0.063614	0.56293	0.16459	0.10229	0.19708	0.97727	0.97043	0.8262	0.66471	0.91823	0.076553	0.13263	0.12066	0.055234	0.58156	0.30173	0.041103	0.084255	0.76386	0.90974	0.97187	0.74347	0.78676
Meth__cg26388152__CORO6	0.38934	0.084082	0.54224	0.30758	0.23443	0.76058	0.1784	0.043769	0.027486	0.038846	0.59879	0.22637	0.61849	0.052722	0.3366	0.049113	0.11187	0.39057	0.46033	0.47744	0.72754	0.064349	0.28383	0.061972	0.058073	0.17211	0.25166	0.038502	0.15055	0.12824	0.044039	0.31976	0.078953	0.31516	0.20978	0.26021
Meth__cg10056627__GNMT	0.037872	0.033369	0.035688	0.035415	0.034823	0.96978	0.032241	0.17536	0.031639	0.039107	0.50741	0.042186	0.091908	0.038654	0.036747	0.1342	0.079862	0.59919	0.19234	0.14124	0.97305	0.92815	0.037462	0.055978	0.062828	0.067712	0.39016	0.028179	0.08957	0.035873	0.032133	0.028195	0.13919	0.040544	0.038196	0.044339
Meth__cg01120308__PICALM	0.10948	0.057783	0.1458	0.69281	0.37181	0.060406	0.80778	0.046029	0.85136	0.50536	0.054097	0.057689	0.17855	0.54096	0.047176	0.15733	0.39901	0.039891	0.86158	0.87457	0.061223	0.075167	0.37706	0.70669	0.5674	0.10477	0.055519	0.051273	0.059003	0.11608	0.12682	0.17651	0.22813	0.11697	0.18105	0.4761
Meth__cg20367961__EDN2	0.056359	0.051505	0.10835	0.072609	0.23695	0.65201	0.050534	0.19795	0.036938	0.10127	0.77935	0.20644	0.32688	0.051388	0.34326	0.5923	0.10634	0.84114	0.058672	0.10921	0.89922	0.78352	0.074444	0.10997	0.15478	0.063587	0.42947	0.05472	0.5225	0.8427	0.090328	0.14629	0.17677	0.15613	0.070379	0.074824
Meth__cg15812873__SULT1A1	0.07856	0.069042	0.92125	0.26235	0.037515	0.63037	0.19664	0.40718	0.033968	0.036431	0.88408	0.080069	0.23832	0.0391	0.76217	0.024731	0.090532	0.034752	0.52741	0.41266	0.54389	0.61971	0.1655	0.07046	0.15973	0.034532	0.10808	0.031093	0.056955	0.1047	0.032165	0.040765	0.20961	0.040436	0.033749	0.049032
Meth__cg00514407__SERPINE2	0.58217	0.033351	0.9435	0.63094	0.55902	0.95539	0.8139	0.66957	0.048716	0.068034	0.45585	0.46366	0.91599	0.034898	0.88727	0.51229	0.10008	0.94061	0.19381	0.35856	0.8438	0.76788	0.058328	0.06514	0.28167	0.065276	0.14975	0.036565	0.21675	0.84293	0.032978	0.93854	0.12583	0.24051	0.29509	0.88356
Meth__cg24648715__TCEAL3	0.15185	0.62653	0.081578	0.090062	0.51208	0.052984	0.078667	0.34874	0.6241	0.64844	0.072856	0.088279	0.12061	0.60262	0.55542	0.49514	0.21145	0.053323	0.077546	0.064647	0.18517	0.10224	0.078076	0.49399	0.43917	0.56411	0.081288	0.078716	0.58559	0.7381	0.054433	0.295	0.15053	0.6633	0.34207	0.062455
Meth__cg25943276__C11orf39	0.82808	0.2853	0.84698	0.14788	0.055937	0.17645	0.17534	0.87213	0.040179	0.056811	0.47405	0.75288	0.41727	0.040911	0.10743	0.76615	0.15019	0.07408	0.38149	0.48562	0.05852	0.35166	0.092976	0.10206	0.39334	0.08133	0.12862	0.043122	0.070116	0.055745	0.28815	0.28381	0.060854	0.65295	0.3437	0.47836
Meth__cg04244987__NCKIPSD	0.082972	0.086977	0.87412	0.083409	0.050168	0.3553	0.071116	0.14431	0.042849	0.080518	0.12609	0.68747	0.21628	0.06446	0.11072	0.076025	0.48313	0.05758	0.076643	0.11057	0.075656	0.56297	0.06867	0.19636	0.085229	0.10688	0.13261	0.045982	0.090002	0.13318	0.18009	0.073784	0.12917	0.052503	0.13114	0.2076
Meth__cg07054095__ZNF549	0.55726	0.024064	0.065058	0.021408	0.025451	0.023657	0.035704	0.17872	0.021467	0.024556	0.043085	0.057754	0.7278	0.022401	0.029918	0.023069	0.033748	0.020143	0.43373	0.1378	0.06517	0.04456	0.029242	0.053517	0.061684	0.036295	0.035407	0.034811	0.025604	0.020063	0.094377	0.03324	0.075264	0.085003	0.5827	0.33645
Meth__cg07015629__ERBB4	0.028972	0.021499	0.97683	0.028247	0.027846	0.59754	0.024187	0.028632	0.0257	0.018349	0.49682	0.037232	0.12567	0.02063	0.17622	0.10898	0.10278	0.37226	0.029687	0.033638	0.038869	0.66832	0.024732	0.033371	0.10227	0.038201	0.031529	0.024754	0.25318	0.016617	0.022457	0.015801	0.094244	0.024886	0.023187	0.02297
Meth__cg03139057__DLL3	0.023566	0.016275	0.45102	0.053216	0.023754	0.87786	0.14077	0.92098	0.080528	0.041389	0.63066	0.59284	0.66999	0.052819	0.79745	0.50525	0.062588	0.064459	0.16224	0.2523	0.94119	0.87085	0.060748	0.071511	0.072545	0.020128	0.81329	0.04417	0.058207	0.14191	0.019963	0.76187	0.045556	0.028345	0.025753	0.25695
Meth__cg17420360__FLJ13236	0.01805	0.012955	0.029971	0.018376	0.015875	0.45266	0.016365	0.027105	0.028583	0.020987	0.88824	0.021291	0.49849	0.020759	0.80169	0.020878	0.025942	0.030721	0.014877	0.02198	0.94908	0.040915	0.019137	0.025531	0.034392	0.01484	0.48062	0.023148	0.017223	0.019322	0.015727	0.24063	0.043576	0.020327	0.02464	0.017984
Meth__cg07005513__FADS2	0.90942	0.12243	0.95404	0.13628	0.46808	0.11169	0.10888	0.18751	0.11463	0.15819	0.117	0.32649	0.94408	0.14553	0.90027	0.10943	0.17314	0.77774	0.95651	0.74022	0.85575	0.56192	0.12055	0.13508	0.9283	0.19365	0.19856	0.12441	0.54109	0.093548	0.10963	0.075322	0.81937	0.6274	0.49127	0.61032
Meth__cg00890257__DEGS2	0.036081	0.031748	0.8652	0.035831	0.025889	0.95042	0.040683	0.048854	0.025988	0.037979	0.95392	0.085079	0.34779	0.025783	0.047133	0.056367	0.11488	0.81643	0.03047	0.034024	0.040714	0.94248	0.034897	0.047244	0.09694	0.052733	0.039111	0.0368	0.050968	0.026805	0.02638	0.022949	0.1333	0.038124	0.029955	0.033008
Meth__cg04759439__CAST1	0.11001	0.13404	0.15365	0.12158	0.084172	0.91478	0.11301	0.14707	0.095127	0.1081	0.74175	0.10827	0.12931	0.094259	0.096029	0.11257	0.13658	0.15623	0.059358	0.14899	0.22046	0.20026	0.13587	0.12104	0.94331	0.099325	0.11442	0.072973	0.44005	0.13799	0.14421	0.093166	0.25698	0.11686	0.12052	0.1676
Meth__cg12999109__ASAH3	0.1046	0.038674	0.17023	0.053287	0.03652	0.92898	0.075771	0.92298	0.064464	0.042691	0.80096	0.39293	0.37811	0.063894	0.88193	0.94787	0.1373	0.70766	0.074811	0.079126	0.92101	0.86271	0.063345	0.14187	0.24839	0.075923	0.9203	0.44319	0.94559	0.043162	0.046024	0.049245	0.11597	0.053438	0.057515	0.082597
Meth__cg08445039__FKBP9	0.024539	0.15646	0.025137	0.253	0.11233	0.021066	0.17194	0.022698	0.1218	0.27434	0.025721	0.063485	0.055412	0.11462	0.040185	0.022171	0.031954	0.017983	0.065292	0.075508	0.025783	0.048216	0.2678	0.033913	0.11476	0.0719	0.028148	0.025528	0.019976	0.15165	0.049533	0.035235	0.039834	0.02985	0.043117	0.038743
Meth__cg21335942__SETD6	0.031252	0.019339	0.032149	0.02839	0.026709	0.027806	0.033307	0.059634	0.022991	0.02986	0.033723	0.032866	0.035507	0.026412	0.03451	0.025787	0.059763	0.62117	0.019366	0.033764	0.23887	0.038737	0.026154	0.047719	0.063923	0.050172	0.053608	0.028347	0.43036	0.03066	0.050653	0.022179	0.15279	0.033596	0.031059	0.033646
Meth__cg20264732__RBM35B	0.046686	0.034188	0.057528	0.039043	0.027442	0.95268	0.043285	0.07562	0.02793	0.036657	0.047701	0.045649	0.076788	0.032751	0.42705	0.072816	0.07017	0.92495	0.033588	0.046215	0.93122	0.88563	0.052389	0.071887	0.075573	0.098937	0.83739	0.031245	0.94422	0.027784	0.032487	0.030411	0.082999	0.036573	0.037412	0.041099
Meth__cg03860466__PRDX2	0.08008	0.039673	0.080301	0.062886	0.03408	0.07331	0.058447	0.059442	0.03434	0.049264	0.092768	0.073446	0.085777	0.059155	0.057329	0.048155	0.15275	0.04331	0.037912	0.070466	0.62437	0.084652	0.063408	0.06217	0.098808	0.096439	0.44101	0.03259	0.034778	0.035708	0.040593	0.036494	0.11555	0.053537	0.050409	0.04629
Meth__cg19123107__C9orf7	0.061645	0.05413	0.066508	0.096416	0.051142	0.25337	0.056468	0.10374	0.053416	0.051023	0.38688	0.15531	0.21605	0.053128	0.21343	0.077856	0.098383	0.24419	0.042191	0.051523	0.12806	0.2615	0.050667	0.13471	0.14758	0.074956	0.079644	0.050669	0.076781	0.037835	0.044489	0.088986	0.11998	0.06065	0.072717	0.066743
Meth__cg20249919__PCSK6	0.12444	0.10926	0.14551	0.11266	0.077416	0.93321	0.13265	0.070489	0.093124	0.11862	0.1238	0.20417	0.21052	0.1072	0.16803	0.11862	0.17459	0.42517	0.10138	0.13186	0.11867	0.67509	0.1091	0.19833	0.25918	0.16704	0.14093	0.083073	0.073112	0.10472	0.093629	0.10656	0.28437	0.11777	0.11546	0.13193
Meth__cg27202708__C1orf65	0.38334	0.014166	0.77252	0.03381	0.049418	0.68292	0.42561	0.33024	0.019917	0.028971	0.29333	0.55738	0.77997	0.022644	0.29829	0.021212	0.043772	0.023371	0.23631	0.38222	0.92047	0.25044	0.033923	0.032303	0.1296	0.038379	0.158	0.016474	0.18166	0.36721	0.022437	0.59226	0.06549	0.028816	0.12375	0.16207
Meth__cg23410627__CH25H	0.16686	0.050078	0.90113	0.33952	0.3956	0.62966	0.47918	0.3827	0.053508	0.058414	0.55094	0.84985	0.79756	0.092927	0.88582	0.055145	0.25632	0.86562	0.22197	0.17741	0.5326	0.40902	0.21704	0.092065	0.50919	0.16451	0.19503	0.045523	0.50972	0.33364	0.037071	0.77874	0.27431	0.37751	0.27841	0.76518
Meth__cg08185661__SYT9	0.046786	0.028492	0.94487	0.059991	0.021447	0.92144	0.037173	0.59523	0.025866	0.034102	0.97	0.21236	0.88602	0.02567	0.046632	0.57775	0.0678	0.29544	0.53527	0.047994	0.18255	0.90706	0.031756	0.034397	0.71407	0.037266	0.041872	0.076466	0.56446	0.025697	0.026636	0.12501	0.13957	0.025744	0.025164	0.088372
Meth__cg07789083__GPRC5C	0.036872	0.059097	0.05759	0.040527	0.032972	0.94627	0.041848	0.69508	0.068327	0.039228	0.52834	0.3652	0.086113	0.07834	0.7122	0.032472	0.12302	0.51863	0.032038	0.049625	0.050345	0.081592	0.040346	0.10121	0.067548	0.14632	0.32297	0.034282	0.30609	0.038958	0.035084	0.028723	0.074135	0.051731	0.031423	0.04203
Meth__cg05562817__MGC33839	0.047898	0.075152	0.093729	0.71677	0.2378	0.052471	0.12321	0.089842	0.50683	0.10304	0.065211	0.5035	0.11111	0.52285	0.11281	0.06103	0.11307	0.044588	0.056171	0.080851	0.066259	0.07335	0.15728	0.13798	0.11494	0.2402	0.052443	0.24782	0.063856	0.41959	0.058231	0.054567	0.066196	0.073545	0.26077	0.21489
Meth__cg26985289__CLSTN1	0.035142	0.028741	0.32397	0.035519	0.098733	0.97535	0.043485	0.10551	0.030727	0.035559	0.34654	0.25842	0.52603	0.036271	0.74285	0.047591	0.086114	0.03261	0.033952	0.043687	0.31471	0.077019	0.15974	0.060066	0.075375	0.053586	0.077656	0.027194	0.033474	0.36443	0.029197	0.026708	0.12349	0.036397	0.039186	0.39645
Meth__cg15520279__HOXD8	0.98144	0.018905	0.022715	0.023171	0.020308	0.89328	0.026691	0.020341	0.021074	0.034736	0.50134	0.13261	0.97556	0.023227	0.025898	0.41585	0.060801	0.97393	0.015127	0.027154	0.03394	0.96206	0.97679	0.051472	0.43635	0.040184	0.62465	0.69662	0.023344	0.01867	0.98218	0.014354	0.86949	0.97762	0.98597	0.98279
