Cell lines	21MT1	21NT	600MPE	AU565	BT20	BT474	BT549	CAL120	CAL148	CAL851	CAMA1	EFM19	EFM192A	EFM192B	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__GNTIVH	-0.152	-0.226	0	0.087	-0.89	-0.287	-1.829	-0.366	-0.102	0.04	0.268	0.277	0.184	0.311	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	0.473	-0.286	-0.029	-5.759	-0.242	-0.362	0.183	0.043	-0.039	0.167	0.747	0.227	-0.018	0.049	-0.21	-4.154	0.011	0.196	-0.014	-0.004	0.916	0.315	0.074	-0.046	-0.007
SNP__LOC646663	-0.018	-0.316	0.003	-0.119	-2.47	0.093	0.219	0.342	-0.105	-0.027	0.1	-0.403	0.316	-0.007	0.152	0.408	-0.301	0.1	-2.377	-0.364	0.28	0.594	-2.083	0.593	-0.392	0.016	0.095	-2.244	-2.111	-0.019	-0.177	0.619	0.119	0.189	0.666	-0.021	0.042	-0.159	-0.223	0.002	-1.959	-2.285	0.55	0.802	-0.286	0.078	0.066	0.001
SNP__LOC645532	-0.33	-0.261	0.007	0.125	0.185	0.108	0.226	0.174	-0.094	-0.222	0.439	-0.405	-0.025	0.237	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	-0.318	0.581	-0.019	-0.26	0.356	0.032	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.033	0.474	-0.195	0.037	-2.549	0.25	0.037	0.218	0.053	0.061	-2.489	-3.192
SNP__LOC643827	0.005	-0.01	-0.26	-0.178	-0.209	-0.352	-0.099	-2.388	-0.109	0.001	0.064	-0.427	-2.278	-2.576	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-0.29	-0.094	0.287	-4.747	-0.088	0.152	-0.006	-0.191	0.002	-0.159	-0.186	0.2	-0.24	0.047	-2.826	0.168	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__PTPRN2	-0.841	-0.843	-0.54	0.091	0.186	0.355	0.212	-0.104	0.26	0.316	0.084	2.334	0.13	-0.295	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.264	0.45	0.006	0.092	0.206	0.248	0.691	0.507	-0.225	0.13	-0.332	2.594	-0.039	0.258	0.53	-0.226	0.002	-0.266	-0.906	0.263	-0.308	-0.319	-0.288	-0.046	0.028
SNP__LOC643847	-2.361	-2.467	-0.033	0.113	-0.196	0.435	0.207	0.048	-0.115	0.082	-0.493	-0.019	-0.103	-0.017	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.28	0.23	-0.021	-0.225	-0.181	-0.009	0.177	0.093	-0.11	0.111	-0.222	-0.037	-0.033	0.051	-0.159	0.307	-0.016	-3.563	0.153	-0.242	0.194	0.326	0.074	-0.458	-0.383
SNP__EB-1	-0.849	-1.848	0	-0.231	-0.895	0.219	-1.335	-0.408	-0.132	-0.04	0.268	0.864	-2.232	-0.972	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-2.498	-0.286	-0.029	-2.022	-0.242	-0.031	0.183	0.101	-1.554	0.134	0.719	0.221	-0.062	-0.271	0.162	-0.278	0.011	-1.876	-0.239	-0.004	0.561	0.315	-0.262	-0.046	-0.007
SNP__LOC645280	0.215	-0.12	-0.014	-0.082	-3.43	-0.134	-0.12	-0.346	-0.663	-0.245	0.05	-0.342	-0.351	-0.312	-2.895	-0.216	-0.288	-0.012	-0.384	0.122	-0.092	0.026	0.799	0.041	0.217	0.746	-4.462	0.157	-0.305	-0.404	-0.139	-0.131	-0.122	0.062	0.04	0.328	-0.202	0.226	-0.148	0.004	-0.19	0.227	0.174	-0.31	-0.302	0.343	-4.17	-3.988
SNP__SLC25A18	-0.288	-0.12	-0.01	-0.086	-0.197	-0.134	2.812	2.762	2.502	-0.245	0.05	-0.342	-0.432	-0.369	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	0.301	0.217	0.723	0.172	0.157	-0.305	-0.404	1.888	-0.131	-0.122	0.062	0.04	0.328	-0.202	-0.752	2.554	0.004	-0.206	0.227	0.058	-0.3	-0.32	-0.289	0.37	0.095
SNP__SHCL1	-0.316	-0.263	0.37	-3.776	-0.191	-0.146	-0.093	-0.135	-0.103	0.012	0.096	-0.362	-0.391	-0.378	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.234	0.241	-0.253	-0.189	-0.923	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.532	-0.576	-0.138	-0.114	0.06	-0.305	-0.354	0.334	-0.139	0.301	0.082	0.011	0.023
SNP__HSF2BP	-0.009	-0.265	0.006	-4.25	0.188	-0.24	0.118	-0.133	-2.428	-0.079	0.076	-0.029	-0.438	-4.226	-3.725	0.175	-0.238	0.057	-3.503	-2.536	-0.103	-0.267	-0.099	0.096	0.218	-3.535	-0.041	-4.092	0.059	0.46	0.412	0.344	-4.152	-0.443	0.138	-0.034	-3.431	0.422	0.48	0.013	0.203	-0.053	-3.924	0.039	0.058	-2.736	-0.417	-0.377
SNP__BCAS1	-0.003	-0.022	0.013	1.068	-2.242	2.02	0.515	0.342	0.249	-0.052	0.076	0.832	1.304	1.34	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.352	0.268	0.169	0.238	0.305	0.634	2.058	2.247	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.371	0.333	0.855	-0.137	0.32	0.853	0.395	0.305
SNP__ANKRD15	-1.691	-2.397	-0.657	-0.203	-2.643	-1.013	0.182	-0.413	-0.14	0.457	-0.496	-0.406	-0.517	-0.924	-0.451	0.095	0.341	-0.475	-1.121	-0.033	-0.739	-0.129	0.558	-1.137	-0.27	0.831	0.742	-2.347	-0.365	0.383	0.366	-1.564	0.112	-0.84	-0.124	-0.627	-0.228	-0.826	-2.804	-0.073	-0.722	-0.41	-0.332	-0.181	-0.306	-0.296	-0.084	-0.001
SNP__LOC643473	0.005	-0.01	-0.26	-0.178	-0.209	-0.352	-0.07	-0.06	-0.109	0.47	0.064	-0.427	0.159	-0.027	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	-0.094	0.287	-0.184	-6.439	1.469	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__RPL31P1	-0.009	-0.265	0.006	-4.25	0.188	-0.24	0.118	-0.133	-2.428	-0.079	0.076	-0.029	-0.438	-4.226	-3.725	0.175	-0.238	0.057	-3.503	-2.536	-0.103	-0.267	-0.099	0.096	0.218	-3.535	-0.041	-4.092	0.059	0.46	0.412	0.344	-4.152	-0.443	0.138	-0.034	-3.431	0.422	0.48	0.013	0.203	-0.053	-3.924	0.039	0.058	-2.736	-0.417	-0.377
SNP__NCOA7	0.254	0.374	0.006	0.125	-0.209	0.029	-0.095	-0.227	-0.105	-3.728	-0.558	0.289	-0.13	-0.077	0.183	-0.229	0.04	0.072	-0.438	-0.062	-0.137	0.025	-0.043	0.832	0.244	0.306	-0.24	-0.049	-0.386	0.201	0.071	-0.248	-0.13	0.144	0.249	0.294	0.044	0.161	-0.195	0.027	-0.227	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__FLJ20433	-0.035	-0.053	0.003	-0.163	-3.396	0.153	0.228	-0.114	-0.109	0.002	0.458	0.246	0.129	-0.005	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.066	-2.514	0.146	-0.01	-0.088	0.026	-0.038	0.095	-0.133	0.089	1.099	-0.163	-1.534	0.047	-0.158	-0.198	0.02	-0.131	-0.147	0.091	-0.054	0.292	-0.296	-0.066	0.024
SNP__ADAM5	-0.95	-0.888	0.722	-0.542	-0.174	-1.888	-1.395	1.824	0.54	-0.296	1.685	-2.017	-0.486	1.457	-0.335	0.756	-0.295	0.052	0.27	1.495	-0.137	-1.496	1.673	-0.036	-0.376	0.852	-1.129	0.042	-0.761	-0.433	-0.696	0.258	-0.275	0.8	-0.446	0.644	-0.599	0.491	0.417	0.026	0.455	-2.281	-0.349	2.017	0.319	1.256	-0.507	-0.445
SNP__LOC553158	-0.296	-0.189	-0.003	-0.092	-0.2	-0.161	-0.154	-0.38	-0.685	0.05	0.018	-0.376	-0.418	-0.364	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	0.328	0.111	0.432	-4.011	0.16	-0.289	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	-0.056	0.51	0.075	0.009	-0.327	-2.757	-0.431	-0.368
SNP__SIRPB1	-0.829	-0.263	-0.723	-0.75	-0.607	2.227	0.315	1.759	0.258	-0.407	0.09	1.647	-0.436	-0.36	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.38	-0.347	1.928	1.238	-0.928	0.015	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.834	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__IGHV3-9	0.615	0.882	0.717	-1.798	0.585	0.673	-0.959	0.591	1.474	0.312	0.618	0.738	-0.883	-1.205	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	0.465	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__IGHV2-10	0.615	0.882	0.717	-1.798	0.585	0.673	-0.959	0.591	1.474	0.312	0.618	0.738	-0.883	-1.205	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	0.465	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__LRRN6C	-0.302	-0.342	-0.647	-0.178	-0.236	-1.03	-0.879	-0.368	-0.109	0.015	0.044	-2.435	0.497	0.286	1.187	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.151	-0.267	-2.607	0.735	-0.081	-0.365	-0.479	-0.244	0.066	0.368	-3.104	-0.064	0.306	-0.216	-0.833	-0.866	-0.035	-0.357	-0.376	-0.311	-0.167	-0.306	-0.296	-0.064	0.019
SNP__ERBB2	2.766	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	2.145	1.521	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	3.576	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__ACOT1	-1.466	-1.677	-0.006	0.339	-0.173	0.142	0.204	-0.184	-0.126	-0.356	-0.18	0.223	0.104	0.344	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-0.147	-0.064	0.097	0.297	0.026	-0.436	-0.187	-0.081	-0.391	-1.966	-2.039	-1.651	-0.202	0.111	-0.318	0.303	0.04	0.184	-0.121	-0.014	0.027	-2.016	0.006	-0.45	0.279	-2.152	-0.052	0.276
SNP__C17orf37	2.495	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	2.145	1.521	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__KLRC2	0.017	-0.351	0.038	-4.945	0.128	0.073	-0.258	0.362	-0.126	0.092	-0.537	-0.02	-0.465	-0.409	-0.087	0.204	-1.394	0.077	-0.416	0.21	0.23	0.269	-0.566	0.364	0.146	-0.033	0.007	-0.092	-0.046	-0.409	-0.216	-0.322	0.115	0.239	0.193	-0.051	-1.749	-0.206	0.108	0.002	0.177	0.016	-0.249	0.216	-0.858	-0.32	0.568	0.28
SNP__ADAM3A	-0.237	-0.866	0.722	-0.027	-0.174	-1.888	-1.395	1.824	0.54	-0.296	1.685	-2.017	0.196	1.457	0.214	0.756	-0.295	0.052	0.27	1.495	-0.137	-1.496	0.71	-0.036	0.196	0.852	-1.129	0.042	0.31	-0.433	0.089	0.258	-0.275	0.8	-0.446	0.644	-0.001	0.491	0.417	0.026	0.455	-2.281	-0.349	2.017	0.319	1.256	0.106	0.188
SNP__LARGE	-0.322	-0.189	-0.004	-0.142	-3.874	-0.161	-0.154	-0.38	-3.398	-0.555	0.018	-0.394	-0.491	-0.393	0.287	-0.231	0.567	-0.012	-0.425	0.074	-0.114	-0.193	-0.483	0.89	-0.549	-0.439	0.167	-3.103	-0.385	-0.404	-0.239	-0.172	0.115	-0.013	0.027	0.314	-0.226	-0.182	-0.306	0.004	0.114	-2.398	-0.065	-2.538	-0.327	-2.579	0.369	0.08
SNP__LOC644144	-0.316	-0.263	0.37	-3.761	-0.191	-0.146	-0.098	-0.135	-3.329	0.012	0.096	-0.008	-0.391	-0.378	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	-0.923	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.305	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__SLC25A24	-0.027	-0.284	0.014	0.102	0.444	-0.243	0.224	0.076	-0.085	-0.056	0.456	-0.004	0.151	0.279	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	-3.632	0.224	0.636	0.251	0.226	-0.322	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.063	0.268	0.164	0.188	-4.56	-3.419	0.083	-0.27	0.043	-4.56	-0.303	-0.389	-0.36
