Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg05732530__DUSP2	0.033096	0.27743	0.6625	0.050073	0.026955	0.58939	0.037165	0.029875	0.01698	0.035716	0.029074	0.094371	0.71303	0.026204	0.025687	0.65093	0.021097	0.045956	0.21268	0.57472	0.58622	0.22489	0.4521	0.96375	0.22509	0.044266	0.093569	0.18325	0.032656	0.86347	0.021608	0.035501	0.57819	0.05839	0.035471	0.025809	0.076085	0.038494
Meth__cg08818784__KLK10	0.5101	0.026629	0.99129	0.48659	0.031376	0.94963	0.58841	0.024941	0.022889	0.027022	0.43505	0.030064	0.98568	0.87857	0.022393	0.88063	0.027546	0.0359	0.045195	0.98454	0.98734	0.11981	0.98767	0.97335	0.67038	0.037613	0.98305	0.058114	0.038154	0.03906	0.12634	0.046324	0.98827	0.058053	0.038743	0.029056	0.77162	0.040967
Meth__cg07356771__CHDH	0.026199	0.68475	0.029897	0.031692	0.031843	0.43945	0.036983	0.041484	0.022654	0.026497	0.023215	0.025638	0.10288	0.016125	0.021177	0.36616	0.029444	0.054787	0.50864	0.021048	0.035629	0.25344	0.039094	0.92074	0.032423	0.035239	0.05302	0.41344	0.027247	0.02763	0.080016	0.44051	0.96754	0.035192	0.029138	0.034941	0.40837	0.023572
Meth__cg18798750__MGC14289	0.049053	0.84478	0.67195	0.056974	0.055974	0.031635	0.36782	0.046112	0.030801	0.039793	0.055716	0.040781	0.29286	0.024889	0.062288	0.52385	0.059337	0.11489	0.29688	0.70531	0.3726	0.057228	0.093698	0.079285	0.085444	0.10387	0.087833	0.5349	0.03061	0.035993	0.061026	0.042162	0.94839	0.046666	0.040596	0.039115	0.12716	0.055356
Meth__cg09374949__ISYNA1	0.054859	0.46293	0.068084	0.62426	0.052458	0.58406	0.065715	0.059676	0.052122	0.049591	0.068799	0.44104	0.36624	0.054665	0.051148	0.59179	0.062387	0.079556	0.9626	0.64923	0.2449	0.099305	0.062798	0.97288	0.066482	0.057238	0.12983	0.063644	0.054183	0.032957	0.68779	0.26454	0.044358	0.052059	0.051379	0.063939	0.55999	0.067021
Meth__cg09461185__PTGS2	0.27461	0.038629	0.35745	0.91049	0.04068	0.86779	0.82195	0.037314	0.041297	0.062703	0.036939	0.080099	0.51721	0.56406	0.050129	0.4099	0.047833	0.070196	0.1417	0.39501	0.30875	0.046599	0.8876	0.07389	0.51176	0.13479	0.36239	0.093631	0.032751	0.035625	0.048917	0.26988	0.31282	0.069041	0.16368	0.74684	0.33993	0.69057
Meth__cg18056600__ZMYND15	0.034968	0.78702	0.65487	0.8171	0.13152	0.97023	0.26807	0.044132	0.025547	0.10166	0.074294	0.054043	0.23717	0.046147	0.039956	0.90923	0.16912	0.060016	0.1937	0.9427	0.4272	0.94923	0.26714	0.93798	0.44228	0.068048	0.098863	0.43477	0.4894	0.026201	0.88608	0.1104	0.8874	0.078109	0.18742	0.075264	0.23251	0.49803
Meth__cg15536490__TFAP2C	0.059396	0.18763	0.90018	0.6959	0.077408	0.5813	0.31737	0.097177	0.064123	0.59638	0.088887	0.14152	0.70011	0.14539	0.075386	0.87556	0.085656	0.055352	0.19264	0.52182	0.4541	0.75795	0.50407	0.58258	0.15627	0.071632	0.10173	0.22787	0.064712	0.052081	0.63587	0.18675	0.53061	0.071436	0.050237	0.65072	0.20046	0.59185
Meth__cg15364537__MFSD4	0.056693	0.40783	0.75873	0.61152	0.077646	0.89274	0.72975	0.043005	0.033433	0.048755	0.064689	0.080726	0.94665	0.37587	0.07156	0.81699	0.052281	0.060861	0.04076	0.10699	0.60519	0.047832	0.18582	0.95146	0.72027	0.13021	0.96833	0.18095	0.059419	0.37721	0.044805	0.85868	0.9847	0.1322	0.47134	0.28902	0.86102	0.11638
Meth__cg25778479__ANKMY2	0.13868	0.059934	0.20861	0.17621	0.40256	0.073638	0.094149	0.1289	0.37931	0.19328	0.08907	0.36464	0.063223	0.1571	0.39664	0.12768	0.058815	0.10553	0.080937	0.13785	0.087484	0.16631	0.08313	0.12266	0.10698	0.13112	0.081333	0.11472	0.081179	0.079984	0.058068	0.061514	0.050818	0.28035	0.52473	0.074087	0.22203	0.061239
Meth__cg21134096__RHEB	0.0591	0.80409	0.073474	0.25685	0.050213	0.38983	0.59127	0.045855	0.058559	0.099249	0.04698	0.095693	0.56663	0.058934	0.055846	0.092021	0.055991	0.092595	0.062429	0.63158	0.63018	0.21641	0.057073	0.090781	0.87607	0.14538	0.084052	0.61373	0.043105	0.059249	0.56939	0.072567	0.13086	0.16298	0.087719	0.059569	0.16822	0.50062
Meth__cg10844844__KCNK5	0.045353	0.046784	0.11262	0.1082	0.051501	0.93447	0.045847	0.078723	0.082708	0.049055	0.048573	0.088788	0.14181	0.16412	0.094278	0.071303	0.064668	0.16101	0.20365	0.085412	0.061903	0.27395	0.04549	0.30666	0.17251	0.11483	0.89048	0.096294	0.0512	0.29755	0.14244	0.22145	0.070856	0.068318	0.056492	0.088064	0.089488	0.099977
Meth__cg09896445__GPC5	0.052953	0.07502	0.87469	0.062014	0.042911	0.66027	0.59354	0.050423	0.04713	0.089186	0.11321	0.072314	0.71434	0.87473	0.050337	0.074205	0.083188	0.10063	0.2443	0.09706	0.079939	0.053313	0.043438	0.11976	0.09701	0.15093	0.80108	0.1385	0.055796	0.077021	0.1006	0.076718	0.12872	0.12806	0.034884	0.07458	0.25455	0.059226
Meth__cg06540105__CCDC74A	0.025068	0.029118	0.51142	0.50641	0.029709	0.027781	0.035413	0.027242	0.030817	0.035493	0.034353	0.06455	0.84155	0.17082	0.021893	0.038187	0.20337	0.050798	0.01675	0.051647	0.033994	0.37268	0.022148	0.067865	0.043071	0.040483	0.64242	0.055068	0.024253	0.027808	0.24845	0.36213	0.1152	0.040506	0.031277	0.27132	0.12971	0.060927
Meth__cg04739570__PODXL2	0.066825	0.058281	0.60351	0.069193	0.044006	0.67678	0.67613	0.052799	0.065917	0.084987	0.055498	0.61847	0.79551	0.0417	0.052468	0.11182	0.55203	0.18264	0.32317	0.71109	0.28045	0.8478	0.097177	0.84827	0.73387	0.12336	0.89681	0.098513	0.062706	0.36705	0.083231	0.10311	0.070805	0.12386	0.068793	0.058443	0.11858	0.05713
Meth__cg18489434__VASH1	0.02591	0.062511	0.32793	0.03072	0.019924	0.04804	0.91829	0.017826	0.020009	0.019703	0.025068	0.023749	0.8641	0.89591	0.013975	0.018211	0.010102	0.06052	0.019013	0.9583	0.64823	0.021631	0.024404	0.90165	0.26311	0.050081	0.93095	0.03111	0.014456	0.017027	0.011484	0.030802	0.30975	0.042539	0.017709	0.03902	0.081398	0.02921
Meth__cg06822229__ACSL4	0.54625	0.049987	0.068283	0.13296	0.25989	0.054279	0.080743	0.56196	0.61257	0.64085	0.23476	0.14092	0.19426	0.083409	0.54412	0.60474	0.51824	0.15666	0.076467	0.060636	0.054067	0.23329	0.54466	0.10495	0.079209	0.47311	0.32981	0.13253	0.55184	0.064906	0.56783	0.084959	0.28821	0.1044	0.63381	0.45848	0.56087	0.092167
Meth__cg15800421__CCR10	0.063282	0.68288	0.13441	0.54481	0.087386	0.047359	0.41267	0.047096	0.049716	0.061213	0.072406	0.52434	0.67607	0.80753	0.14902	0.6879	0.088762	0.10737	0.057732	0.85728	0.83672	0.53769	0.308	0.077042	0.82966	0.073465	0.58134	0.55084	0.054517	0.058548	0.070508	0.33343	0.66671	0.12519	0.15676	0.58494	0.2834	0.45362
Meth__cg21934269__RPL39	0.6101	0.035922	0.028665	0.043674	0.37412	0.030115	0.038391	0.44459	0.55031	0.65107	0.039043	0.044578	0.042946	0.035165	0.48712	0.34335	0.55873	0.067916	0.035111	0.02475	0.028463	0.047278	0.54098	0.087525	0.056457	0.1365	0.45986	0.080152	0.57222	0.038784	0.099526	0.040819	0.2668	0.083699	0.61755	0.40361	0.54429	0.036291
Meth__cg17178888__FLJ14166	0.037024	0.036153	0.95486	0.041336	0.032211	0.96278	0.90582	0.032903	0.032035	0.038652	0.042942	0.025061	0.12781	0.023874	0.039275	0.040603	0.043327	0.062198	0.61216	0.038137	0.04295	0.044041	0.038531	0.0553	0.040034	0.077529	0.90166	0.10123	0.054822	0.038252	0.36566	0.038474	0.74384	0.060062	0.038496	0.12007	0.087421	0.1259
Meth__cg09297361__SNX22	0.088315	0.074757	0.16029	0.083927	0.07085	0.80501	0.108	0.049962	0.057494	0.073798	0.095671	0.078274	0.36926	0.062836	0.063492	0.8564	0.07315	0.095148	0.060985	0.11906	0.27048	0.17676	0.061242	0.43491	0.20989	0.083968	0.19689	0.11905	0.070192	0.05567	0.29279	0.11565	0.5308	0.13907	0.080336	0.3604	0.17136	0.5555
Meth__cg18237405__CPNE5	0.047635	0.067703	0.94888	0.8773	0.041084	0.46514	0.072921	0.19863	0.033638	0.065176	0.22857	0.1519	0.84288	0.082138	0.055842	0.25449	0.15216	0.06144	0.16252	0.69783	0.39642	0.36048	0.42697	0.88846	0.7281	0.075397	0.45869	0.13018	0.033895	0.03859	0.87613	0.65235	0.53881	0.35973	0.48512	0.53773	0.43302	0.94488
Meth__cg18840461__ANKRD43	0.2675	0.054667	0.46991	0.049751	0.038971	0.14867	0.033957	0.036048	0.042246	0.040556	0.036485	0.025678	0.13008	0.041361	0.036578	0.045262	0.037158	0.10195	0.07916	0.061588	0.10295	0.094089	0.10937	0.59381	0.047291	0.08253	0.13715	0.1214	0.047236	0.046773	0.096693	0.070845	0.37966	0.059021	0.039756	0.046669	0.066599	0.046529
Meth__cg26399201__ANKRD43	0.048666	0.50248	0.97622	0.12499	0.062503	0.77031	0.044063	0.15171	0.041855	0.043418	0.53587	0.1427	0.30456	0.23522	0.051294	0.12171	0.063837	0.13031	0.62294	0.32912	0.47534	0.36913	0.18707	0.71196	0.077129	0.082381	0.15715	0.17734	0.044773	0.051901	0.26225	0.26514	0.89635	0.1518	0.038478	0.15736	0.28273	0.10875
Meth__cg17878972__HRASLS	0.062828	0.3283	0.79106	0.63805	0.038612	0.057541	0.080825	0.028549	0.054197	0.063224	0.068438	0.050309	0.12714	0.26967	0.070258	0.22127	0.080075	0.099439	0.10906	0.68877	0.81626	0.068956	0.10395	0.43245	0.16463	0.12999	0.27989	0.18618	0.096731	0.051574	0.055961	0.054715	0.065148	0.15132	0.060294	0.060324	0.11049	0.059576
Meth__cg15931943__FHIT	0.029246	0.024592	0.032352	0.029412	0.019725	0.058098	0.028772	0.019822	0.019985	0.023602	0.020781	0.01692	0.083538	0.018388	0.027567	0.031973	0.047561	0.032311	0.02937	0.15922	0.028475	0.036108	0.021427	0.15215	0.026649	0.049996	0.032479	0.041875	0.019408	0.027162	0.025432	0.023669	0.030796	0.044487	0.028769	0.026906	0.057959	0.026815
Meth__cg16317961__MAPRE2	0.04852	0.052553	0.077016	0.048996	0.04845	0.051213	0.062478	0.02836	0.042995	0.044458	0.042302	0.066081	0.11744	0.32521	0.047003	0.045291	0.04108	0.10439	0.042381	0.15138	0.12977	0.055584	0.071261	0.095627	0.061888	0.10083	0.31012	0.064455	0.058544	0.040803	0.046979	0.10978	0.32399	0.060932	0.042943	0.051819	0.1737	0.052403
Meth__cg09072120__PRTFDC1	0.030489	0.099081	0.97658	0.24235	0.027423	0.43821	0.035777	0.023486	0.025395	0.023401	0.015631	0.018981	0.47434	0.52713	0.026712	0.9682	0.017625	0.041123	0.024168	0.018265	0.025169	0.4064	0.20293	0.045657	0.024964	0.035156	0.61808	0.19393	0.017412	0.47793	0.57239	0.11628	0.93793	0.030284	0.68579	0.28524	0.90227	0.093138
Meth__cg22136753__CSRP2BP	0.064948	0.16367	0.07244	0.065169	0.05074	0.85064	0.057402	0.13655	0.048869	0.063526	0.054964	0.073171	0.48746	0.050566	0.053618	0.2502	0.23228	0.11372	0.0396	0.059929	0.061021	0.29748	0.043016	0.78357	0.10287	0.090592	0.083261	0.10363	0.052823	0.46246	0.37905	0.38374	0.13478	0.032714	0.065922	0.08038	0.13258	0.3179
Meth__cg04037228__LIMD1	0.10509	0.072787	0.16687	0.23712	0.90778	0.1224	0.43341	0.18754	0.82966	0.91862	0.30445	0.93146	0.30373	0.36375	0.60975	0.086752	0.058434	0.092965	0.64883	0.59891	0.23516	0.83295	0.7815	0.075989	0.28292	0.11205	0.086852	0.094472	0.30558	0.063225	0.51663	0.092745	0.03947	0.21968	0.87559	0.074401	0.46123	0.060777
Meth__cg06746171__ATOX1	0.21874	0.21185	0.90074	0.56731	0.13759	0.8593	0.2508	0.065534	0.077102	0.38852	0.072078	0.36045	0.43483	0.1921	0.099038	0.15452	0.21337	0.17325	0.48901	0.42068	0.25324	0.40054	0.41448	0.78735	0.56913	0.11368	0.82111	0.20963	0.046474	0.73487	0.10937	0.70679	0.32709	0.40347	0.1069	0.12197	0.3078	0.073457
Meth__cg00718513__	0.28091	0.04774	0.13012	0.12325	0.38122	0.046487	0.06697	0.11187	0.48577	0.12091	0.13058	0.11412	0.085273	0.039001	0.31714	0.075766	0.044891	0.059576	0.092951	0.066601	0.064197	0.054758	0.21622	0.10417	0.12465	0.13973	0.10309	0.057172	0.041052	0.062521	0.064757	0.3744	0.060901	0.18206	0.17159	0.11628	0.10426	0.099275
Meth__cg00042156__MGC16291	0.57086	0.041955	0.1013	0.84318	0.92626	0.78103	0.61532	0.86331	0.95065	0.93317	0.88142	0.83943	0.1543	0.52859	0.76674	0.84039	0.29624	0.073244	0.72791	0.57128	0.56745	0.75069	0.9494	0.049534	0.31504	0.041277	0.32168	0.096966	0.7485	0.036559	0.16028	0.075569	0.088962	0.72405	0.18328	0.89812	0.093713	0.94495
Meth__cg12085660__C19orf37	0.096612	0.11709	0.13806	0.11415	0.093653	0.57334	0.10625	0.076244	0.076229	0.10627	0.098595	0.071639	0.29165	0.1457	0.11125	0.098853	0.14697	0.15202	0.10774	0.092345	0.10739	0.11417	0.10059	0.10033	0.12511	0.12177	0.106	0.10248	0.085	0.086536	0.089796	0.083283	0.079217	0.082914	0.092851	0.093213	0.15255	0.088456
Meth__cg11278262__KRTCAP2	0.043048	0.8449	0.95883	0.63018	0.71834	0.045802	0.9618	0.02204	0.082555	0.34647	0.58895	0.34862	0.89904	0.97236	0.20744	0.89366	0.037604	0.36573	0.059146	0.80822	0.39545	0.61175	0.040109	0.82567	0.92108	0.072405	0.94211	0.59195	0.044532	0.54472	0.12694	0.93802	0.95963	0.097185	0.044984	0.49784	0.77707	0.3566
Meth__cg20492121__GLUL	0.021101	0.53873	0.98104	0.80418	0.016658	0.74462	0.32771	0.030575	0.04505	0.018399	0.02754	0.42018	0.28587	0.24143	0.050493	0.96578	0.019003	0.075999	0.015908	0.28979	0.40015	0.55377	0.046434	0.23423	0.50327	0.022887	0.052215	0.4074	0.037008	0.018017	0.045629	0.34044	0.041623	0.024375	0.02683	0.038313	0.053191	0.16033
Meth__cg15910208__KLK10	0.085643	0.055867	0.95581	0.50333	0.26313	0.51875	0.48264	0.037851	0.041635	0.08114	0.13663	0.039091	0.89495	0.09518	0.04103	0.61557	0.062531	0.072841	0.042038	0.87052	0.93067	0.66336	0.54281	0.66981	0.5322	0.34834	0.9042	0.12569	0.062375	0.034558	0.050064	0.11345	0.94977	0.092333	0.4356	0.27874	0.31392	0.068856
Meth__cg25438963__HIST1H3C	0.10732	0.081891	0.96349	0.10268	0.86425	0.74559	0.96155	0.97297	0.9736	0.96248	0.95404	0.17811	0.94271	0.075249	0.89066	0.074984	0.080867	0.17918	0.54997	0.97888	0.15078	0.11549	0.097042	0.20395	0.76404	0.12764	0.17301	0.11851	0.9575	0.08784	0.22438	0.066102	0.87097	0.36428	0.95626	0.1223	0.12973	0.14061
Meth__cg14135551__DAAM2	0.052536	0.039751	0.21821	0.082405	0.049354	0.49706	0.45053	0.076489	0.029736	0.070137	0.043104	0.035065	0.73193	0.031627	0.044087	0.047531	0.051099	0.17561	0.038733	0.076628	0.077343	0.085574	0.049732	0.19501	0.090958	0.073292	0.11807	0.16078	0.057974	0.043204	0.057321	0.082594	0.459	0.054771	0.067023	0.075515	0.10408	0.26118
Meth__cg19841506__ZMYND15	0.035162	0.83335	0.77316	0.858	0.11714	0.98488	0.20926	0.034124	0.030107	0.090386	0.034916	0.040243	0.20213	0.02218	0.027942	0.9533	0.098532	0.081003	0.20772	0.97517	0.44933	0.97698	0.17631	0.95448	0.39702	0.0449	0.070012	0.40178	0.47775	0.026658	0.54179	0.048458	0.93533	0.075872	0.23403	0.052951	0.19228	0.53049
Meth__cg26833602__SUSD3	0.035428	0.36917	0.89214	0.40119	0.021368	0.84301	0.030429	0.97196	0.028974	0.026325	0.028006	0.13913	0.68242	0.86623	0.033916	0.9435	0.9124	0.33927	0.198	0.045004	0.77556	0.39163	0.088237	0.053263	0.9575	0.054565	0.9012	0.32689	0.14667	0.11336	0.51946	0.034997	0.48817	0.059552	0.030438	0.68625	0.040333	0.085784
Meth__cg04533591__RPL39	0.53908	0.056145	0.046337	0.074796	0.30351	0.032346	0.055363	0.40082	0.50846	0.35441	0.048798	0.1385	0.081902	0.042004	0.44474	0.25523	0.53655	0.11927	0.065083	0.077707	0.058298	0.038226	0.41233	0.06598	0.070911	0.24826	0.3814	0.075529	0.46518	0.05784	0.47453	0.069052	0.2161	0.13139	0.56168	0.35955	0.50513	0.044734
Meth__cg19937039__SERPINA10	0.64774	0.042989	0.17923	0.78556	0.46636	0.098803	0.4085	0.93283	0.53037	0.14964	0.53551	0.44723	0.56938	0.060902	0.39371	0.36016	0.87777	0.12491	0.15	0.22955	0.20259	0.58863	0.73609	0.11139	0.21542	0.11117	0.10148	0.08529	0.72054	0.066276	0.066321	0.4955	0.33286	0.53932	0.67268	0.21574	0.27729	0.14878
Meth__cg25397076__RBP7	0.037989	0.022225	0.47337	0.14027	0.16119	0.98177	0.84996	0.050058	0.03332	0.034611	0.9704	0.036938	0.92748	0.075112	0.035791	0.96856	0.40773	0.061145	0.23692	0.54138	0.18386	0.22066	0.25772	0.95742	0.58542	0.062783	0.94773	0.072128	0.063325	0.03015	0.060581	0.072617	0.97969	0.046536	0.034541	0.10469	0.10649	0.97086
Meth__cg26453670__RNPC1	0.06653	0.027105	0.18348	0.13617	0.037411	0.35645	0.38496	0.058163	0.034193	0.07157	0.1171	0.13386	0.079888	0.058188	0.03924	0.047306	0.33551	0.12721	0.36145	0.079845	0.15419	0.12385	0.10104	0.2793	0.21659	0.083501	0.33175	0.057477	0.034234	0.11894	0.41243	0.14179	0.04819	0.039404	0.053215	0.045784	0.090646	0.033855
Meth__cg07636178__HIST1H3C	0.072693	0.04531	0.88453	0.046099	0.72535	0.61914	0.91582	0.93195	0.91973	0.89087	0.9009	0.043941	0.87195	0.019439	0.83472	0.043015	0.04331	0.18603	0.089543	0.92732	0.060813	0.056509	0.046055	0.13671	0.61555	0.061767	0.14318	0.05319	0.90511	0.053449	0.078796	0.053097	0.8133	0.33053	0.88969	0.064498	0.22695	0.065776
Meth__cg19616230__SLC34A2	0.02461	0.024371	0.98587	0.72833	0.077445	0.97804	0.98037	0.022479	0.022406	0.038494	0.67699	0.048933	0.9605	0.11989	0.027959	0.028431	0.020942	0.056934	0.92586	0.98642	0.97891	0.96329	0.39238	0.97256	0.97791	0.06425	0.95503	0.062156	0.76716	0.028237	0.10612	0.16731	0.83767	0.95984	0.029669	0.6888	0.97405	0.79203
Meth__cg08169325__EPIM	0.032037	0.2094	0.86827	0.67567	0.10782	0.090965	0.29921	0.46134	0.084749	0.033635	0.060935	0.13096	0.85727	0.050494	0.085692	0.75057	0.047015	0.23645	0.11831	0.196	0.32591	0.079789	0.45319	0.072428	0.31128	0.17272	0.20437	0.088386	0.025078	0.18069	0.049214	0.042541	0.8653	0.054553	0.084433	0.13306	0.50501	0.51154
Meth__cg04434339__ST6GAL2	0.044605	0.040234	0.52409	0.039688	0.031403	0.50659	0.91644	0.064277	0.031511	0.032268	0.032518	0.0812	0.12829	0.56707	0.040486	0.034193	0.048638	0.07903	0.024842	0.84333	0.84377	0.034907	0.039083	0.79837	0.47594	0.37413	0.88712	0.12819	0.039866	0.022915	0.093304	0.58709	0.64032	0.40919	0.032998	0.066663	0.079791	0.047857
Meth__cg10523019__RHBDD1	0.38741	0.29378	0.5372	0.17292	0.028289	0.035746	0.64707	0.053845	0.029574	0.047621	0.053765	0.12852	0.54156	0.026207	0.034104	0.29826	0.03446	0.078996	0.90812	0.030207	0.047841	0.43937	0.40612	0.065069	0.65314	0.070616	0.073263	0.094858	0.027141	0.23809	0.89746	0.031237	0.40089	0.025887	0.034372	0.03106	0.075655	0.3405
Meth__cg19384697__UPK3B	0.077999	0.07585	0.11037	0.34731	0.0963	0.46246	0.15257	0.10996	0.078267	0.10479	0.096249	0.063856	0.25621	0.18838	0.12869	0.15206	0.32762	0.097802	0.11949	0.069637	0.084561	0.47694	0.066121	0.76983	0.11446	0.11524	0.14927	0.072077	0.10636	0.37344	0.55879	0.32279	0.078963	0.084227	0.069977	0.13846	0.10491	0.37555
Meth__cg10549973__UNQ9438	0.043119	0.85524	0.97299	0.38549	0.39079	0.96303	0.17224	0.049704	0.036838	0.064012	0.25604	0.74269	0.5033	0.5671	0.048766	0.16429	0.73013	0.099784	0.86551	0.92228	0.066206	0.90947	0.44668	0.92402	0.57734	0.078667	0.093897	0.13549	0.61132	0.58401	0.65229	0.10345	0.77996	0.10096	0.071578	0.49257	0.18052	0.599
Meth__cg07190485__STOM	0.036894	0.0312	0.14304	0.17407	0.040671	0.42307	0.03104	0.02883	0.03384	0.028305	0.031479	0.048834	0.058923	0.023445	0.047898	0.042183	0.047765	0.066215	0.054715	0.051	0.031205	0.044527	0.027652	0.049028	0.41528	0.061301	0.078801	0.08855	0.028254	0.06489	0.20728	0.068726	0.030792	0.038104	0.035854	0.03644	0.076676	0.040817
Meth__cg07755653__STX11	0.048791	0.057977	0.057338	0.10877	0.0472	0.10663	0.26974	0.078205	0.028587	0.053004	0.16628	0.030475	0.32789	0.029807	0.039172	0.046533	0.084383	0.10424	0.08283	0.16159	0.04479	0.03828	0.061432	0.094819	0.054182	0.069424	0.76314	0.05784	0.030268	0.10206	0.078057	0.058449	0.40354	0.054718	0.036262	0.061396	0.14947	0.055434
Meth__cg27025856__HDAC11	0.053353	0.70867	0.47145	0.56287	0.084708	0.92511	0.77129	0.097671	0.049185	0.21619	0.056302	0.17443	0.54809	0.10823	0.05676	0.12708	0.08578	0.13033	0.69588	0.056601	0.063515	0.80216	0.2178	0.16607	0.21125	0.36138	0.16768	0.71838	0.043625	0.046992	0.1565	0.084269	0.084629	0.14435	0.079824	0.084647	0.2435	0.059659
Meth__cg06055013__ATRNL1	0.083411	0.076548	0.8255	0.07345	0.067823	0.090813	0.1229	0.069482	0.052013	0.07386	0.32991	0.11155	0.31223	0.39725	0.071541	0.04508	0.080833	0.12275	0.56636	0.48094	0.22257	0.093793	0.1153	0.51393	0.089732	0.12098	0.87821	0.12011	0.086954	0.5063	0.53823	0.047199	0.39314	0.1206	0.066349	0.094039	0.19379	0.071279
