Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
SNP__RIMS1	0.009	-0.208	0.001	-0.619	-0.508	-0.563	0.064	-0.083	-0.233	1.122	0.08	-3.083	-0.036	-0.169	0.02	-0.056	-0.507	-0.125	0.423	0.686	-0.981	-0.047	-0.377	0.011	-0.046	-0.129	0.41	0.231	-0.474	0.284	0.355	-0.619	-0.002	-2.669	-0.217	0.017	-2.44	-0.147	0.226	-0.348	-0.315	0.062	-0.222	-0.379
SNP__GSDML	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.495	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__LOC645280	-0.014	-0.082	-0.134	0.64	-0.12	0.05	0.131	-2.895	-0.216	-0.288	-0.012	-0.384	0.122	-0.092	0.026	0.799	-0.376	0.041	0.217	0.746	-4.462	0.157	-0.404	-0.139	-0.131	-0.122	0.062	0.04	-0.382	0.328	-0.175	-0.202	0.003	0.226	-0.148	0.004	-0.19	0.174	-0.31	0.214	-0.302	0.343	-4.17	-3.988
SNP__SHCL1	0.37	-3.776	-0.146	0.229	-0.093	0.096	0.186	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.357	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	-0.532	-0.163	-0.576	0.006	-0.138	-0.114	0.06	-0.305	0.334	-0.139	0.101	0.301	0.082	0.011	0.023
SNP__ADAM5	0.722	-0.542	-1.888	1.636	-1.395	1.685	-0.479	-0.335	0.756	-0.295	0.052	0.27	1.495	-0.137	-1.496	1.673	0.633	-0.036	-0.376	0.852	-1.129	0.042	-0.433	-0.696	0.258	-0.275	0.8	-0.446	-0.489	0.644	0.397	-0.599	0.383	0.491	0.417	0.026	0.455	-0.349	2.017	0.285	0.319	1.256	-0.507	-0.445
SNP__C6orf142	0.009	1.173	1.823	-0.608	1.949	1.676	2.071	1.548	-0.236	-0.367	1.675	-1.374	2.177	2.205	0.02	1.728	0.706	1.688	1.511	-0.392	2.174	0.149	1.363	0.084	2.165	-0.129	0.392	0.246	-0.426	-0.056	2.279	1.373	-0.004	0.473	2.372	0.017	1.813	0.144	-2.114	-0.35	2.116	0.062	-0.222	-0.379
SNP__TRBV6-2	0.0098	0.453	0.355	0.322	-0.135	-0.257	-0.564	0.042	-0.1872	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.557	0.267	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	0.122	-0.0176	0.343	0.191	-0.0206	-0.0298	0.099	0.459	0.003	0.526	-0.864	0.0144	-0.0908	-0.282	0.0294	0.1064	-0.2956	-0.317	-0.042	0.028
SNP__GSTM1	1.308	0.102	-0.243	-0.13	1.142	0.296	0.01	0.868	-0.518	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	1.676	-0.257	-0.444	2.34	1.976	1.276	2.435	2.546	1.445	1.813	-0.172	1.723	-0.409	-0.063	1.59	1.282	1.255	0.164	0.188	1.108	1.492	-0.27	0.043	0.045	-0.303	-0.303	1.499	1.386
SNP__LRRN6C	-0.647	-0.178	-1.03	-0.386	-0.879	0.044	-0.067	1.187	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.151	-0.267	-2.607	0.735	-0.081	-0.479	-0.244	0.066	0.368	-3.104	-0.064	-0.433	0.306	-0.219	-0.216	-0.741	-0.833	-0.866	-0.035	-0.357	-0.311	-0.167	0.241	-0.306	-0.296	-0.064	0.019
SNP__LOC441440	-0.26	-0.178	1.861	2.288	2.394	0.064	0.017	-0.573	0.129	0.094	0.347	1.881	0.04	-0.124	-0.018	0.1	0.011	-0.29	-0.094	2.423	0.464	-0.088	-0.006	1.694	2.642	-0.159	-0.186	0.2	0.162	2.292	1.231	0.047	0.315	-0.211	2.084	0.002	-0.053	-0.378	2.062	0.196	-0.139	-0.296	1.735	0.024
SNP__ZNFN1A3	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__IGHV3-9	0.717	-1.798	0.673	2.341	-0.959	0.618	-2.449	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.526	1.032	1.326	-1.306	0.744	2.483	1.498	0.717	-1.884	0.777	1.049	-1.647	1.114	-0.949	1.818	0.688
SNP__LCE3B	-1.958	0.495	-0.129	-2.13	0.134	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	0.986	-1.643	0.174	0.268	0.015	-0.255	-0.111	0	-1.569	-1.451	0.291	0.045	-1.976	-1.915	-2.744	-2.627
SNP__CRKRS	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.388	-0.013	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__LOC643827	-0.26	-0.178	-0.352	-0.211	-0.099	0.064	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-2.709	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.162	-0.24	-0.164	0.047	0.315	-2.826	0.168	0.002	-0.053	-0.07	-0.142	0.196	-0.139	-0.296	-0.159	0.024
SNP__LOC553158	-0.003	-0.092	-0.161	-0.475	-0.154	0.018	0.141	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	-0.369	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	-0.38	0.314	-0.219	-0.216	0	-0.182	-0.152	0.004	-0.056	0.075	0.009	0.188	-0.327	-2.757	-0.431	-0.368
SNP__LOC644144	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	0.004	-0.163	-0.576	0.006	-0.138	0.22	0.06	-0.305	0.334	-3.028	0.101	0.301	0.082	0.011	0.023
SNP__DMBT1	0.014	-0.15	-3.561	-0.116	-0.159	-0.167	-0.068	-0.078	-0.204	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.224	-0.264	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.167	-0.224	0.032	0.319	0.013	-0.043	-0.218	-0.202	0.018	0.142	-0.198	0.033	0.008	-3.272	-0.254	-0.118	-0.304	0.08	0.118	-0.366
SNP__IGHV2-10	0.717	-1.798	0.673	2.341	-0.959	0.618	-2.449	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.526	1.032	1.326	-1.306	0.744	2.483	1.498	0.717	-1.884	0.777	1.049	-1.647	1.114	-0.949	1.818	0.688
SNP__KLRC2	0.038	-4.945	0.073	0.172	-0.258	-0.537	-2.021	-0.087	0.204	-1.394	0.077	-0.416	0.21	0.23	0.269	-0.566	-0.339	0.364	0.146	-0.033	0.007	-0.092	-0.409	-0.216	-0.322	0.115	0.239	0.193	0.572	-0.051	-0.226	-1.749	0.26	-0.206	0.108	0.002	0.177	-0.249	0.216	0.199	-0.858	-0.32	0.568	0.28
SNP__NAALADL2	0.008	-3.295	0.18	-0.944	-1.94	0.062	0.323	0.02	-0.23	0.113	0.076	0.496	0.212	0.196	0.59	0.063	0.315	-0.123	0.453	0.269	0.409	0.28	0.688	0.56	-1.384	-0.058	-0.006	0.455	-2.874	0.315	0.128	-0.573	-0.044	0.167	-0.153	0.005	-0.156	-0.704	0.469	0.523	0.722	0.061	-0.034	0.008
SNP__FLJ10120	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	0.004	-0.163	-0.576	0.006	-0.138	0.22	0.06	-0.305	0.334	-3.028	0.101	0.301	0.082	0.011	0.023
SNP__LOC252968	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.585	0.549	-0.207	-0.217	-0.002	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.281	0.247	0.834	-0.431	-0.364
