Cell lines	21MT1	21NT	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__LOC646605	-0.302	-0.251	-0.648	-0.203	-0.236	-1.03	-0.275	0.166	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.181	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__PPARBP	1.611	1.539	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__SMAD4	2.115	2.227	0.013	-0.541	-0.881	0.086	-0.128	-0.147	-0.178	-0.444	0.428	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.318	-0.803	-0.454	-0.443	-0.217	-0.028	-0.461	-0.556	-0.641	-0.525	-0.405	-0.548	-0.031	-0.56	0.211	-0.147	-0.015	-0.168	-0.367	-0.793	-0.615	-0.284	0.239	0.234
SNP__LCE3B	0.111	0.284	-1.958	0.495	-2.398	-0.129	-2.13	0.134	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-1.451	0.291	-1.976	-1.915	-2.744	-2.627
SNP__DMRTA1	-0.302	-0.251	-0.648	-0.203	-0.236	-1.03	-0.275	0.045	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.181	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__FLJ35282	-0.302	-0.251	-0.648	-0.203	-0.236	-1.03	-0.658	-1.017	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.627	-0.228	-2.484	-2.568	-0.025	-0.357	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__GALNTL2	0.196	0.301	0.008	-0.153	0.157	-0.037	-0.153	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	-0.314	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__CRKRS	1.611	1.539	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__CDKN2B	-0.302	-0.251	-0.648	-0.203	-2.827	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-1.014	-1.026	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__LOC645532	-0.33	-0.261	0.007	0.125	0.185	0.108	0.164	0.226	0.439	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	0.039	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.033	0.474	-0.195	0.037	-2.549	0.037	0.218	0.053	0.061	-2.489	-3.192
SNP__LRRN6C	-0.302	-0.342	-0.647	-0.178	-0.236	-1.03	-0.386	-0.879	0.044	1.187	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.151	-0.267	-2.607	0.735	-0.081	-0.479	-0.244	0.066	0.368	-3.104	-0.064	0.306	-0.216	-0.833	-0.866	-0.035	-0.357	-0.311	-0.167	-0.306	-0.296	-0.064	0.019
SNP__LOC643847	-2.361	-2.467	-0.033	0.113	-0.196	0.435	-0.1	0.207	-0.493	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.041	0.28	0.23	-0.021	-0.225	-0.181	0.177	0.093	-0.11	0.111	-0.222	-0.037	-0.033	0.051	-0.159	0.307	-0.016	-3.563	-0.242	0.194	0.326	0.074	-0.458	-0.383
SNP__LOC402360	-0.302	-0.251	-0.647	-0.203	-0.236	-1.03	-0.262	0.094	0.044	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.865	-0.064	-0.627	-0.228	-0.833	-2.568	-0.025	-0.357	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__WWOX	-0.935	-1.405	-2.18	-0.55	-2.831	0.092	0.19	-2.109	-1.822	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-2.29	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	-2.395	0.457	-2.223	-1.648	-0.561	-0.206	-2.091	0.026	0.541	1.107	-0.132	-2.033	0.479	-0.056	-0.372
SNP__LOC646636	-0.302	-0.251	-0.647	-0.178	-0.236	-1.03	-0.402	-0.102	0.044	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.842	-0.064	-0.627	-0.216	-0.833	-2.568	-0.035	-0.357	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__LOC646609	-0.302	-0.251	-0.648	-0.203	-0.236	-1.03	-0.658	-0.225	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.627	-0.228	-2.484	-2.568	-0.025	-0.357	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__ELAVL2	-0.302	-0.251	-0.647	-0.203	-0.236	-1.03	-0.262	0.094	0.044	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.865	-0.064	-0.627	-0.228	-0.833	-2.568	-0.025	-0.357	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__IGHV3-9	0.615	0.882	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__RIMS1	0.25	0.401	0.009	-0.208	-0.243	0.001	-0.619	-0.508	-0.563	-0.083	-0.233	1.122	0.08	-3.083	-0.036	-0.169	0.02	-0.056	-0.507	-0.125	0.423	0.686	-0.981	-0.047	-0.377	0.011	-0.046	-0.129	0.41	0.231	0.284	-0.619	-2.669	-0.217	0.017	-2.44	-0.147	0.226	-0.315	0.062	-0.222	-0.379
SNP__IGHV2-10	0.615	0.882	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__LOC646611	-0.302	-0.251	-0.648	-0.203	-0.236	-1.03	-0.262	0.032	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.627	-0.228	-2.484	-2.568	-0.025	-0.357	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__LOC442117	-0.328	-3.225	0.015	-0.202	-0.243	-0.174	-1.788	-0.878	0.066	-0.432	-0.227	-2.15	-1.141	-0.466	-0.032	-1.806	0.124	0.783	-1.455	-0.09	-1.049	-0.029	-0.254	-0.291	0.035	-0.206	1.777	-1.562	0.116	0.17	-0.052	-0.234	-1.502	-2.091	-0.171	-0.178	-0.008	-1.681	-0.307	-0.324	-0.04	0.033
SNP__ANKRD15	-1.691	-2.397	-0.657	-0.203	-2.643	-1.013	-3.018	0.182	-0.496	-0.451	0.095	0.341	-0.475	-1.121	-0.033	-0.739	-0.129	0.558	0.296	-1.137	-0.27	0.831	0.742	-2.347	0.383	0.366	-1.564	0.112	-0.84	-0.124	-0.627	-0.228	-0.826	-2.804	-0.073	-0.722	-0.332	-0.181	-0.306	-0.296	-0.084	-0.001
SNP__ZNF291	-1.364	-0.27	1.389	1.241	1.103	-2.232	0.842	-2.143	-1.568	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	1.187	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.442	1.309	-1.604	-0.64	1.19	1.798	1.79	1.377	-1.361	1.031	-1.919	0	-1.574	1.463	1.105
SNP__FBXL20	-0.024	0.081	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__LCE3C	0.111	0.284	-1.958	0.495	-2.398	-0.129	-2.13	-1.861	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-1.451	-2.241	-1.976	-1.915	-2.744	-2.627
SNP__SLC25A24	-0.027	-0.284	0.014	0.102	0.444	-0.243	-0.156	0.224	0.456	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	0.04	-3.632	0.224	0.636	0.251	0.226	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.063	0.268	0.164	0.188	-4.56	-3.419	-0.27	0.043	-4.56	-0.303	-0.389	-0.36
SNP__FLJ20433	-0.035	-0.053	0.003	-0.163	-3.396	0.153	0.184	0.228	0.458	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	-1.534	0.047	-0.158	-0.198	0.02	-0.131	0.091	-0.054	0.292	-0.296	-0.066	0.024
SNP__NCOA7	0.254	0.374	0.006	0.125	-0.209	0.029	-0.569	-0.095	-0.558	0.183	-0.229	0.04	0.072	-0.438	-0.062	-0.137	0.025	-0.043	-0.452	0.832	0.244	0.306	-0.24	-0.049	0.201	0.071	-0.248	-0.13	0.144	0.249	0.294	0.044	0.161	-0.195	0.027	-0.227	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__PTPRN2	-0.841	-0.843	-0.54	0.091	0.186	0.355	2.806	0.212	0.084	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.492	0.264	0.45	0.006	0.092	0.206	0.691	0.507	-0.225	0.13	-0.332	2.594	-0.039	0.258	0.53	-0.226	0.002	-0.266	0.263	-0.308	-0.319	-0.288	-0.046	0.028
SNP__CDKN2A	-0.302	-0.251	-0.648	-0.203	-2.561	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-2.756	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
